l_ukrainian:
 ENABLE_ESTATE_DECISION:0 "Увімкнути станове рішення"
 enable_estate_action_GRANT_MONOPOLY_CHARTER_BURGHERS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBurghersName]: Створити торгові монополії§!"
 enable_estate_action_RECRUIT_MINISTER_BURGHERS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBurghersName]: Найняти міністра§!"
 enable_estate_action_GRANT_ADMIRALSHIP_BURGHERS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBurghersName]: Надати адміральство§!"
 enable_estate_action_GRANT_NEW_WORLD_CHARTER_BURGHERS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBurghersName]: Надати права на Новий Світ§!"
 enable_estate_action_COMISSION_MERCHANT_SHIPS_FOR_WAR_BURGHERS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetBurghersName]: Набрати кораблі на війну§!"
 enable_estate_action_MAKE_GENEROUS_DONATION_CHURCH_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetClergyName]: Зробити щедру пожертву§!"
 enable_estate_action_RECRUIT_MINISTER_CHURCH_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetClergyName]: Найняти міністра§!"
 enable_estate_action_RECRUIT_INQUISITOR_CHURCH_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetClergyName]: Найняти інквізитора§!"
 enable_estate_action_RELIGIOUS_DELEGATION_CHURCH_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetClergyName]: Релігійне представництво§!"
 enable_estate_action_DEMAND_SUPPORT_CHURCH_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetClergyName]: Вимагати адміністративну підтримку§!"
 enable_estate_action_SEEK_SUPPORT_OF_CLERGY_CHURCH_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetClergyName]: Шукати підтримки духовенства§!"
 enable_estate_action_NEW_WORLD_MISSION_CHURCH_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetClergyName]: Колоніальні місії§!"
 enable_estate_action_EXPAND_COSSACK_REGISTRY_COSSACKS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetCossacksName]: Розширити реєстр козаків§!"
 enable_estate_action_RAISE_COSSACK_HOST_COSSACKS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetCossacksName]: Підняти козацьке військо§!"
 enable_estate_action_COSSACK_CONQUISTADOR_COSSACKS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetCossacksName]: Козацька дослідницька експедиція§!"
 enable_estate_action_RECRUIT_MINISTER_COSSACKS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetCossacksName]: Найняти міністра§!"
 enable_estate_action_CONSCRIPT_COSSACK_ELITE_COSSACKS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetCossacksName]: Мобілізувати козацьку еліту§!"
 enable_estate_action_SUPPLY_ARMS_COSSACKS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetCossacksName]: Постачати зброю§!"
 enable_estate_action_PERMIT_SELF_GOVERNANCE_COSSACKS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetCossacksName]: Дозволити самоврядування§!"
 enable_estate_action_RECRUIT_MINISTER_DHIMMI_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetDhimmiName]: Найняти міністра§!"
 enable_estate_action_LIGHTEN_DHIMMI_TAX_BURDEN_DHIMMI_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetDhimmiName]: Полегшити зіммі податкове навантаження§!"
 enable_estate_action_PROMOTE_DHIMMI_NOBLES_DHIMMI_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetDhimmiName]: Підтримати знать зіммі§!"
 enable_estate_action_RECRUIT_FROM_THE_DHIMMI_DHIMMI_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetDhimmiName]: Рекрутувати зіммі§!"
 enable_estate_action_DEMAND_CONTRIBUTION_DHIMMI_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetDhimmiName]: Ввести новий релігійний податок§!"
 enable_estate_action_PROCURE_LOANS_JAINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetJainsName]: Взяти позику§!"
 enable_estate_action_INVESTIGATE_CORRUPTION_JAINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetJainsName]: Розслідувати корупцію§!"
 enable_estate_action_PATRONIZE_JAIN_FAMILIES_JAINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetJainsName]: Заступництво джайнським сім'ям§!"
 enable_estate_action_COMMISSION_JAIN_SCRIPTURES_JAINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetJainsName]: Написання священних книг джайнів§!"
 enable_estate_action_DEMAND_SUPPORT_JAINS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetJainsName]: Вимагати дипломатичну підтримку§!"
 enable_estate_action_PROMOTE_MARATHA_NOBILITY_MARATHA_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetMarathasName]: Просунути знать маратхів§!"
 enable_estate_action_RECRUIT_MINISTER_MARATHA_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetMarathasName]: Найняти міністра§!"
 enable_estate_action_RECRUIT_MARATHI_TROOPS_MARATHA_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetMarathasName]: Набрати маратхів§!"
 enable_estate_action_DEMAND_SUPPORT_MARATHA_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetMarathasName]: Вимагати військову підтримку§!"
 enable_estate_action_CALL_DIET_NOBLES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetNobilityName]: Скликати раду§!"
 enable_estate_action_GRANT_GENERALSHIP_NOBLES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetNobilityName]: Надати генеральство§!"
 enable_estate_action_RECRUIT_CONQUISTADOR_ESTATES_NOBLES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetNobilityName]: Найняти землепрохідця§!"
 enable_estate_action_DEMAND_SUPPORT_NOBLES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetNobilityName]: Вимагати військову підтримку§!"
 enable_estate_action_RECRUIT_MINISTER_NOBLES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetNobilityName]: Найняти міністра§!"
 enable_estate_action_DEMAND_MORE_TROOPS_NOBLES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetNobilityName]: Підняти додаткове ополчення§!"
 enable_estate_action_SUPPORT_TRIBES_NOMADIC_TRIBES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetTribesName]: Підтримати клани§!"
 enable_estate_action_REDISTRIBUTE_HORDE_AUTHORITY_TRIBES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetTribesName]: Перерозподілити ординську владу§!"
 enable_estate_action_STRENGTHEN_TRIBAL_AUTONOMY_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetTribesName]: Зміцнити автономію племені§!"
 enable_estate_action_CONTRIBUTE_WARRIORS_NOMADIC_TRIBES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetTribesName]: Передати воїнів§!"
 enable_estate_action_RAISE_HOST_NOMADIC_TRIBES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetTribesName]: Підняти військо§!"
 enable_estate_action_RECRUIT_MINISTER_NOMADIC_TRIBES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetTribesName]: Найняти міністра§!"
 enable_estate_action_RECRUIT_RAJPUT_GENERAL_RAJPUT_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetRajputsName]: Найняти генерала раджпутів§!"
 enable_estate_action_LOOK_UP_PURBIAS_RAJPUT_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetRajputsName]: Вербувати пурбіїв§!"
 enable_estate_action_DEMAND_SUPPORT_RAJPUT_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetRajputsName]: Вимагати військову підтримку§!"
 enable_estate_action_EXEMPT_FROM_JIZYA_RAJPUT_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetRajputsName]: Звільнення від джизії§!"
 enable_estate_action_PROMOTE_RAJPUT_NOBILITY_RAJPUT_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetRajputsName]: Просунути знать раджпутів§!"
 enable_estate_action_RECRUIT_RAJPUT_TROOPS_RAJPUT_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetRajputsName]: Раджпутські збори§!"
 enable_estate_action_ASK_FOR_CONTRIBUTION_VAISYAS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetVaishyasName]: Запросити контрибуції§!"
 enable_estate_action_DEMAND_SUPPORT_VAISYAS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetVaishyasName]: Вимагати дипломатичну підтримку§!"
 enable_estate_action_SEEK_GUILD_SUPPORT_VAISYAS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetVaishyasName]: Шукати підтримку гільдій§!"
 enable_estate_action_RECRUIT_MINISTER_VAISYAS_tt:1 "[Root.EnableEstateDecisionText] §Y[Root.GetVaishyasName]: Найняти міністра§!"
 enable_estate_action_COMISSION_MERCHANT_SHIPS_FOR_WAR_VAISYAS_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetVaishyasName]: Набрати кораблі на війну§!"
 enable_estate_action_GRANT_QIZILBASH_HORSES_tt:0 "[Root.EnableEstateDecisionText] §Y[Root.GetQizilbashName]: Надати кизилбаші коней§!"
 enable_estate_action_PROMOTE_CAUCASIAN_TROOPS_tt:1 "[Root.EnableEstateDecisionText] §Y[Root.GetGhilmanName]: Сприяти кавказьким військам§!"
 disable_estate_action_MAKE_GENEROUS_DONATION_BRAHMINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBrahminsName]: Зробити щедру пожертву§!"
 disable_estate_action_SEEK_SUPPORT_OF_BRAHMINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBrahminsName]: Отримати схвалення брагманів§!"
 disable_estate_action_RECRUIT_MINISTER_BRAHMINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBrahminsName]: Найняти міністра§!"
 disable_estate_action_RECRUIT_INQUISITOR_BRAHMINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBrahminsName]: Найняти інквізитора§!"
 disable_estate_action_DEMAND_SUPPORT_BRAHMINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBrahminsName]: Вимагати адміністративну підтримку§!"
 disable_estate_action_SEEK_BRAHMIN_LEGITIMACY_BRAHMINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBrahminsName]: Просити підтримки§!"
 disable_estate_action_ASK_FOR_CONTRIBUTION_BURGHERS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBurghersName]: Запросити контрибуції§!"
 disable_estate_action_DEMAND_SUPPORT_BURGHERS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBurghersName]: Вимагати дипломатичну підтримку§!"
 disable_estate_action_GRANT_MONOPOLY_CHARTER_BURGHERS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBurghersName]: Створити торгові монополії§!"
 disable_estate_action_RECRUIT_MINISTER_BURGHERS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBurghersName]: Найняти міністра§!"
 disable_estate_action_GRANT_ADMIRALSHIP_BURGHERS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBurghersName]: Надати адміральство§!"
 disable_estate_action_GRANT_NEW_WORLD_CHARTER_BURGHERS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBurghersName]: Надати права на Новий Світ§!"
 disable_estate_action_COMISSION_MERCHANT_SHIPS_FOR_WAR_BURGHERS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetBurghersName]: Набрати кораблі на війну§!"
 disable_estate_action_MAKE_GENEROUS_DONATION_CHURCH_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetClergyName]: Зробити щедру пожертву§!"
 disable_estate_action_RECRUIT_MINISTER_CHURCH_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetClergyName]: Найняти міністра§!"
 disable_estate_action_RECRUIT_INQUISITOR_CHURCH_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetClergyName]: Найняти інквізитора§!"
 disable_estate_action_RELIGIOUS_DELEGATION_CHURCH_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetClergyName]: Релігійне представництво§!"
 disable_estate_action_DEMAND_SUPPORT_CHURCH_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetClergyName]: Вимагати адміністративну підтримку§!"
 disable_estate_action_SEEK_SUPPORT_OF_CLERGY_CHURCH_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetClergyName]: Шукати підтримки духовенства§!"
 disable_estate_action_NEW_WORLD_MISSION_CHURCH_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetClergyName]: Колоніальні місії§!"
 disable_estate_action_EXPAND_COSSACK_REGISTRY_COSSACKS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetCossacksName]: Розширити реєстр козаків§!"
 disable_estate_action_RAISE_COSSACK_HOST_COSSACKS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetCossacksName]: Підняти козацьке військо§!"
 disable_estate_action_COSSACK_CONQUISTADOR_COSSACKS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetCossacksName]: Козацька дослідницька експедиція§!"
 disable_estate_action_RECRUIT_MINISTER_COSSACKS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetCossacksName]: Найняти міністра§!"
 disable_estate_action_CONSCRIPT_COSSACK_ELITE_COSSACKS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetCossacksName]: Мобілізувати козацьку еліту§!"
 disable_estate_action_SUPPLY_ARMS_COSSACKS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetCossacksName]: Постачати зброю§!"
 disable_estate_action_PERMIT_SELF_GOVERNANCE_COSSACKS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetCossacksName]: Дозволити самоврядування§!"
 disable_estate_action_RECRUIT_MINISTER_DHIMMI_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetDhimmiName]: Найняти міністра§!"
 disable_estate_action_LIGHTEN_DHIMMI_TAX_BURDEN_DHIMMI_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetDhimmiName]: Полегшити зіммі податкове навантаження§!"
 disable_estate_action_PROMOTE_DHIMMI_NOBLES_DHIMMI_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetDhimmiName]: Підтримати знать зіммі§!"
 disable_estate_action_RECRUIT_FROM_THE_DHIMMI_DHIMMI_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetDhimmiName]: Рекрутувати зіммі§!"
 disable_estate_action_DEMAND_CONTRIBUTION_DHIMMI_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetDhimmiName]: Ввести новий релігійний податок§!"
 disable_estate_action_PROCURE_LOANS_JAINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetJainsName]: Взяти позику§!"
 disable_estate_action_INVESTIGATE_CORRUPTION_JAINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetJainsName]: Розслідувати корупцію§!"
 disable_estate_action_PATRONIZE_JAIN_FAMILIES_JAINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetJainsName]: Заступництво джайнським сім'ям§!"
 disable_estate_action_COMMISSION_JAIN_SCRIPTURES_JAINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetJainsName]: Написання священних книг джайнів§!"
 disable_estate_action_DEMAND_SUPPORT_JAINS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetJainsName]: Вимагати дипломатичну підтримку§!"
 disable_estate_action_PROMOTE_MARATHA_NOBILITY_MARATHA_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetMarathasName]: Просунути знать маратхів§!"
 disable_estate_action_RECRUIT_MINISTER_MARATHA_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetMarathasName]: Найняти міністра§!"
 disable_estate_action_RECRUIT_MARATHI_TROOPS_MARATHA_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetMarathasName]: Набрати маратхів§!"
 disable_estate_action_DEMAND_SUPPORT_MARATHA_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetMarathasName]: Вимагати військову підтримку§!"
 disable_estate_action_CALL_DIET_NOBLES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetNobilityName]: Скликати раду§!"
 disable_estate_action_GRANT_GENERALSHIP_NOBLES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetNobilityName]: Надати генеральство§!"
 disable_estate_action_RECRUIT_CONQUISTADOR_ESTATES_NOBLES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetNobilityName]: Найняти землепрохідця§!"
 disable_estate_action_DEMAND_SUPPORT_NOBLES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetNobilityName]: Вимагати військову підтримку§!"
 disable_estate_action_RECRUIT_MINISTER_NOBLES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetNobilityName]: Найняти міністра§!"
 disable_estate_action_DEMAND_MORE_TROOPS_NOBLES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetNobilityName]: Підняти додаткове ополчення§!"
 disable_estate_action_SUPPORT_TRIBES_NOMADIC_TRIBES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetTribesName]: Підтримати клани§!"
 disable_estate_action_REDISTRIBUTE_HORDE_AUTHORITY_TRIBES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetTribesName]: Перерозподілити ординську владу§!"
 disable_estate_action_STRENGTHEN_TRIBAL_AUTONOMY_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetTribesName]: Зміцнити автономію племені§!"
 disable_estate_action_CONTRIBUTE_WARRIORS_NOMADIC_TRIBES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetTribesName]: Передати воїнів§!"
 disable_estate_action_RAISE_HOST_NOMADIC_TRIBES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetTribesName]: Підняти військо§!"
 disable_estate_action_RECRUIT_MINISTER_NOMADIC_TRIBES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetTribesName]: Найняти міністра§!"
 disable_estate_action_RECRUIT_RAJPUT_GENERAL_RAJPUT_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetRajputsName]: Найняти генерала раджпутів§!"
 disable_estate_action_LOOK_UP_PURBIAS_RAJPUT_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetRajputsName]: Вербувати пурбіїв§!"
 disable_estate_action_DEMAND_SUPPORT_RAJPUT_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetRajputsName]: Вимагати військову підтримку§!"
 disable_estate_action_EXEMPT_FROM_JIZYA_RAJPUT_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetRajputsName]: Звільнення від джизії§!"
 disable_estate_action_PROMOTE_RAJPUT_NOBILITY_RAJPUT_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetRajputsName]: Просунути знать раджпутів§!"
 disable_estate_action_RECRUIT_RAJPUT_TROOPS_RAJPUT_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetRajputsName]: Раджпутські збори§!"
 disable_estate_action_ASK_FOR_CONTRIBUTION_VAISYAS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetVaishyasName]: Запросити контрибуції§!"
 disable_estate_action_DEMAND_SUPPORT_VAISYAS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetVaishyasName]: Вимагати дипломатичну підтримку§!"
 disable_estate_action_SEEK_GUILD_SUPPORT_VAISYAS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetVaishyasName]: Шукати підтримку гільдій§!"
 disable_estate_action_RECRUIT_MINISTER_VAISYAS_tt:1 "[Root.DisableEstateDecisionText] §Y[Root.GetVaishyasName]: Найняти міністра§!"
 disable_estate_action_COMISSION_MERCHANT_SHIPS_FOR_WAR_VAISYAS_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetVaishyasName]: Набрати кораблі на війну§!"
 disable_estate_action_GRANT_QIZILBASH_HORSES_tt:0 "[Root.DisableEstateDecisionText] §Y[Root.GetQizilbashName]: Надати кизилбаші коней§!"
 disable_estate_action_PROMOTE_CAUCASIAN_TROOPS_tt:1 "[Root.DisableEstateDecisionText] §Y[Root.GetGhilmanName]: Сприяти кавказьким військам§!"
 has_enabled_estate_action_MAKE_GENEROUS_DONATION_BRAHMINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBrahminsName]: Зробити щедру пожертву§!"
 has_enabled_estate_action_SEEK_SUPPORT_OF_BRAHMINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBrahminsName]: Отримати схвалення брагманів§!"
 has_enabled_estate_action_RECRUIT_MINISTER_BRAHMINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBrahminsName]: Найняти міністра§!"
 has_enabled_estate_action_RECRUIT_INQUISITOR_BRAHMINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBrahminsName]: Найняти інквізитора§!"
 has_enabled_estate_action_DEMAND_SUPPORT_BRAHMINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBrahminsName]: Вимагати адміністративну підтримку§!"
 has_enabled_estate_action_SEEK_BRAHMIN_LEGITIMACY_BRAHMINS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBrahminsName]: Просити підтримки§!"
 has_enabled_estate_action_ASK_FOR_CONTRIBUTION_BURGHERS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBurghersName]: Запросити контрибуції§!"
 has_enabled_estate_action_DEMAND_SUPPORT_BURGHERS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBurghersName]: Вимагати дипломатичну підтримку§!"
 has_enabled_estate_action_GRANT_MONOPOLY_CHARTER_BURGHERS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBurghersName]: Створити торгові монополії§!"
 has_enabled_estate_action_RECRUIT_MINISTER_BURGHERS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBurghersName]: Найняти міністра§!"
 has_enabled_estate_action_GRANT_ADMIRALSHIP_BURGHERS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBurghersName]: Надати адміральство§!"
 has_enabled_estate_action_GRANT_NEW_WORLD_CHARTER_BURGHERS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBurghersName]: Надати права на Новий Світ§!"
 has_enabled_estate_action_COMISSION_MERCHANT_SHIPS_FOR_WAR_BURGHERS_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetBurghersName]: Набрати кораблі на війну§!"
 has_enabled_estate_action_MAKE_GENEROUS_DONATION_CHURCH_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetClergyName]: Зробити щедру пожертву§!"
 has_enabled_estate_action_RECRUIT_MINISTER_CHURCH_tt:0 "[Root.HasEstateDecisionText] §Y[Root.GetClergyName]: Найняти міністра§!"
