l_ukrainian:
 veche_republic:0 "Вічова республіка"
 orthodox_icon_events.5.d:0 "Наша ікона святого Миколи викликала захоплення в одного з купців в посольстві з держави [benevolent_if_distant_neighbor.GetName]. Він був настільки приголомшений іконою, побаченою в провінції [nicholas_icon_was_here.GetCapitalName], історією святого і нашою відданістю його спадщині, що вирішив піднести нам три дарунки. Один для церкви, де він побачив ікону, один для творця ікони і один для благодійника, який заплатив за це."
 orthodox_icon_events.5.a:0 "Ми повинні подякувати йому від імені нашиї церкви."
 orthodox_icon_events.5.b:0 "Ми наймемо художника на знак подяки."
 orthodox_icon_events.5.c:0 "Найбільш щедрий подарунок для благодійника."
 orthodox_icon_events.6.t:0 "Листвиця"
 orthodox_icon_events.6.d:0 "Духовенство з провінції [climacus_church_province.GetCapitalName] стверджує що, завдяки їх іконі Іоанна Лествичника і прикладу саморозвитку, який вона подає, наша провінція процвітає. Дійсно, врожаї стали більш рясні, а люди спокійніше і лояльніше, ніж зазвичай. 'Листвиця' допомогла багатьом самовдосконалюватися і, схоже, ми у святого в боргу."
 orthodox_icon_events.6.a:0 "'Морем сліз можна окропити навіть пустелю.'"
 orthodox_icon_events.6.b:0 "'Прагненням до бога ти досягаєш процвітання.'"
 orthodox_icon_events.6.c:0 "'Промені чудес оствітили всесвіт.'"
 siberian_events.1.t:0 " Сім'я [Root.GetInfluentialRussians]"
 siberian_events.1.d:0 "Впливове сімейство [Root.GetInfluentialRussians] запропонувало нам проспонсорувати нові поселення в провінції [siberian_frontier_province.GetName] та навколишніх регіонах, спорудивши форти на славу нашої держави. Натомість вони хочуть отримати права на використання цього регіону. Якщо ми погодимося на таку угоду, ми не зможемо контролювати їх в цьому регіоні і вони отримають основну вигоду, хоча і побудують для нас інфраструктуру і форти."
 siberian_events.1.a:0 "Прекрасна ідея."
 siberian_events.1.b:0 "Ми маємо стримувати владу [Root.GetInfluentialRussians]s."
 siberian_events.2.t:0 "Ясак"
 siberian_events.2.d:0 "Сибір це дикий і обширний регіон, переміщення по якому досить складне, однак і там живуть люди. Вона населена безліччю племен: деякі з радістю продають нам хутра, a інші платять податок в обмін на захист. Або $YEAR$ рік був надзвичайно успішним для місцевих, або наші збирачі були надзвичайно ефективні під час збору данини, але ясак на цей раз був більше ніж зазвичай."
 siberian_events.2.a:0 "Прекрасно."
 siberian_events.3.t:0 "Промишлєннікі"
 siberian_events.3.d:0 "Велика кількість тварин в Сибіру є справжнім золотим дном не тільки для країни, але і для багатьох бідних селян і мешканців міст. Наші жителі стали все частіше організовувати експедиції для полювання на хутрових тварин, подорожуючи далеко від обжитих селищ. Вони повертаються з цінними хутрами, які коштують величезних коштів  в провінції [russian_center_of_trade.GetName]. Деякі йдуть занадто далеко в пошуках наживи. Поведінка 'торговців' обурила місцеве населення в провінції [siberian_frontier_province.GetName] і створює ризик для наших поселенців в тих місцях."
 siberian_events.3.a:0 "Ми нічого не можемо зробити."
 siberian_events.3.b:0 "Нам варто краще контролювати їх."
 siberian_events.4.t:0 "Козацькі експедиції"
 siberian_events.4.d:0 "Група козаків у складі експедиції пройшла вглиб річок Сибіру. Така експедиція часто може бути порожньою тратою грошей і часу, проте, іноді, це досить вигідно, оскільки волелюбні козаки не гребують використовувати силу, погрози та обман при взаємодії c місцевим населенням. Експедиція повернулася сьогодні з хорошими новинами, вони принесли нам велику вигоду: ресурси і карти цих територій."
 siberian_events.4.a:0 "Радий чути!"
 EST_VAL_COSSACK_EXPLORERS:0 "Козацький першопроходець: §Y$VAL$%§!"
 siberian_events.4.b:0 "Ми контролюємо козаків!"
 siberian_events.5.t:0 "Експедиція в провінцію [cossack_exploration_province.GetName]"
 siberian_events.5.d:0 "Підприємці іноді спонсорують козаків для проведення експедицій вглиб річок Сибіру. Така експедиція часто може бути порожньою тратою грошей і часу, проте, іноді, це досить вигідно, оскільки волелюбні козаки не гребують використовувати силу, погрози та обман при взаємодії c місцевим населенням. Учасники недавньої експедиції збагатилися, але створили нам конфлікт c місцевим племенем і сусідньою країною."
 siberian_events.5.a:0 "Просто неприємний побічний ефект."
 siberian_events.5.b:1 "Нам доведеться компенсувати заподіяну шкоду сторонам конфлікту."
 siberian_events.6.t:0 "Дари з Сибіру"
 siberian_events.6.d:0 "Сибір багата хутровими тваринами, а також дорогоцінними металами та деякими куди більш екзотичними товарами. Місцевий вождь під нашим захистом надіслав нам цінний подарунок - [Root.GetRandom_Siberian_Resource], в надії зміцнити наше взаємовигідне співробітництво."
 siberian_events.6.a:0 "Дуже щедро"
 restricted_movement:0 "Перешкоди в переміщенні"
 desc_restricted_movement:0 "Ми відкликали права селян на переміщення з обжитих земельних ділянок незважаючи на будь-які обставини."
 serfs_moving_away:0 "Дезертирство селян"
 desc_serfs_moving_away:0 "Хоча їх переміщення значно обмежене, селяни в цьому регіоні використовують будь-яку лазівку для можливості втекти від свого пана і переїхати на нові землі."
 confiscated_appanage:0 "Розширення території"
 desc_confiscated_appanage:0 "Після смерті одного з царевичів, ми розширили володіння корони в цій провінції, отримавши кращий доступ до земель для оподаткування та вдосконалення."
 tatar_feudatories:0 "Татарські князі"
 desc_tatar_feudatories:0 "Церква може й не схвалювати це, але ми дали права татарам-мусульманам у нашій країні в обмін на їх військову службу."
 tatar_feudatory_province:0 "Татарські князі"
 desc_tatar_feudatory_province:0 "B обмін на військову службу ми дали татарам високий рівень автономії у цій провінції."
 tatar_raided_province_modifier:0 "Татарські набіги"
 desc_tatar_raided_province_modifier:0 "Татари влаштували набіг на цю провінцію."
 russian_principality_events.1.t:0 "Змова князя у провінції [appanage_province.GetName]"
 russian_principality_events.1.d:0 "Ще з часів Київської Русі російські князівства використовували родове право спадкування. Зазвичай це означає, що на чолі роду буде стояти найвпливовіший нащадок, але ця система занадто складна і тому іноді з'являються бажаючі обійти давній Київський порядок. C тих пір, як помер попередній правитель, $A_PREVIOUS_RULER$ з роду [Root.Monarch.Dynasty.GetName], династія розділилася на тих, хто підтримує домагання молодого князя з провінції [appanage_province.GetName] і прихильників поточного спадкоємця, яким є [Root.Heir.GetName]. Молодий князь витратив небагато часу на те, щоб переконати багатьох своїх дядьків, братів і сестер підтримати його як можна швидше, і тепер наш [Root.Monarch.GetTitle] [Root.Monarch.GetName] отримав від нього ультиматум."
 russian_principality_events.1.a:0 "Ми стоїмо за [Root.Monarch.GetName]!"
 russian_principality_events.1.b:0 "Призначте князя з провінції [appanage_province.GetName] нашим новим спадкоємцем."
 russian_principality_events.1.c:0 "Давайте підтримаємо князя з провінції [appanage_province.GetName]."
 russian_principality_events.2.t:0 "Інтенсифікація сільського господарства"
 russian_principality_events.2.d:0 "Надзвичайно довгий період миру і стабільності дозволив селянам у великих монастирських і боярських маєтках переймати більш сучасні методи ведення сільського господарства. Подсічно-вогневе землеробство все ще залишається звичайною справою в багатьох частинах країни, але швидкість поширення сівозміни на нашій землі постійно зростає."
 russian_principality_events.2.a:0 "Прекрасно."
 russian_principality_events.3.t:1 "Місцеві поміщіки"
 russian_principality_events.3.d:1 "Внаслідок стирання спогадів про татарське ярмо і розширення земель, якими володіє [Root.Monarch.GetTitle], стає очевидно, що нам життєво необхідно мати більше дрібних землевласників. Земельна аристократія традиційно є основним кандидатом на отримання цих привілеїв, але висока внітрішня стабільнісь, ймовірно, дозволяє нам посприяти тому, щоб землю отримали люди, які не з чуток знайомі c економікою і сільським господарством."
 russian_principality_events.3.a:1 "Продовжимо надавати привілєї боярам."
 russian_principality_events.3.b:1 "Розділемо цю землю між невеликих землевласників."
 russian_principality_events.4.t:0 "Придбання землі"
 russian_principality_events.4.d:0 "Наше [Root.GovernmentName] неухильно зростає і вже не має бажання виявляти повагу ханам Центральної Азії, так само як і посилати їм данину. Надзвичайно багатий врожай у цьому році дозволив нам значно збільшити запаси. Ми могли б використовувати це, щоб збільшити свою скарбницю на чорний день, але ми могли б витратити їх на придбання земель дрібних князів і монастирів."
 russian_principality_events.4.a:0 "Земля - це справжнє багатство."
 russian_principality_events.4.b:0 "Нам потрібне золото для королівської скарбниці."
 russian_principality_events.4.c:0 "Ми повинні використовувати це як важіль для управління країною."
 russian_principality_events.5.t:0 "Голод $YEAR$ року"
 russian_principality_events.5.d:0 "Поєднання хвороб і суворих погодних умов повністю знищило урожай в [Root.GetAdjective]их землях. B часи, подібні цим, багато звертаються до держави або до церкви за підтримкою, інші ж покидають свої землі, або шукають захисту у могутніх бояр, монастирів чи навіть приєднуються до козаків в диких степах."
 russian_principality_events.5.a:0 "Ми залишимо це боярам."
 russian_principality_events.5.b:0 "Ми дозволимо Церкві розібратися з цим."
 russian_principality_events.5.c:0 "[Root.Monarch.GetTitle] [Root.Monarch.GetHerselfHimself] допоможе їм."
 russian_principality_events.5.dd:0 "Вони можуть приєднатися до вільних козаків."
 russian_principality_events.6.t:0 "Багатство провінції  [province_to_rob.GetCapitalName]"
 russian_principality_events.6.d:0 "Завдяки придбанню міста [province_to_rob.GetCapitalName], під наш контроль потрапив великий регіональний центр виробництва і торгівлі. Місцеві ремісники і купці одночасно багаті та успішні, а місто безсумнівно стане відмінним доповненням до нашого прекрасного князівства. Поки важко зрозуміти, наскільки [province_to_rob.Culture.GetName] культура вірна нам, тому ми повинні розглянути можливість примусового переміщення найбагатших і впливових місцевих сімей в місто [province_to_grow.GetCapitalName], де ми зможемо більш ефективно їх контролювати і обкладати податком. Деякі сказали б, що збиток, який ми завдамо місту [province_to_rob.GetCapitalName], більше будь-якої вигоди, на яку ми можемо сподіватися в місті [province_to_grow.GetCapitalName], але отриманий контроль, безумовно, цього вартий."
 russian_principality_events.6.a:0 " Провінція [province_to_grow.GetCapitalName] повинна рости!"
 russian_principality_events.6.b:0 "Ми залишимо їх в спокої в обмін на слухняність."
 russian_principality_events.7.t:0 "Юр'їв день"
 russian_principality_events.7.d:0 "Традиційно селяни мали право переходити від одного феодала до іншого (під контрольними формами?) в Юр'їв день. Це забезпечувало певний ступінь мобільності при одночасному збереженні врожаю цього року. Проте останнім часом багато землевласників скаржаться, що селяни зловживають цим привілеєм, щоб шукати кращої долі. Поміщики провінції [serfdom_province.GetName] просили аудієнції, благаючи, щоб ми відмінили цей селянський привілей. B іншому випадку вони стверджують, що не зможуть нести військову службу, якої потребує держава."
 russian_principality_events.7.a:0 "Заборонити Вихід селянський."
 russian_principality_events.7.b:0 "Ми не будемо відміняти наші закони на цих землях."
 russian_principality_events.8.t:0 "Смерть удільного князя"
 russian_principality_events.8.da:0 "Князь [Root.GetName] помер і [Root.Monarch.GetName] сумує через втрату брата. Як нинішній [Root.Monarch.GetTitle] ми повинні зайнятися перерозподілом земель, що входили до його наділ. Інші брати, без сумніву, розраховують на свою частку, але ми могли б використовувати цю можливість для збільшення своїх власних земель..."
 russian_principality_events.8.db:0 "Князь [brothers_appanage.GetName] помер [Root.Monarch.GetName] сумує через втрату брата. AЯк нинішній [Root.Monarch.GetTitle] ми повинні зайнятися перерозподілом земель, що входили до його наділ. Інші брати, без сумніву, розраховують на свою частку, але ми могли б використовувати цю можливість для збільшення своїх власних земель..."
 russian_principality_events.8.a:0 "Давайте конфіскуємо землю для себе."
 russian_principality_events.8.b:0 "Ми повинні конфісковувати землю для себе."
 russian_principality_events.8.c:0 "Ми повинні забезпечити собі підтримку наших братів."
 russian_principality_events.9.t:0 "Татарські феодали (???)"
 russian_principality_events.9.d:0 "C приєднанням татарських земель ми стали володарями народів, в яких століттями перебували в рабстві. Це не просто перемога [Root.GetAdjective]ого народу , це ще й нові можливості. Ми болісно довго усвідомлювали, що татари - чудові вершники і орієнтуються в степах краще, ніж хто-небудь інший. І дозволивши місцевим лідерам правити від нашого імені, ми можемо змусити їх служити в нашій армії."
 russian_principality_events.9.a:0 "Чудова ідея!"
 russian_principality_events.9.b:0 "В межах наших кордонів у мусульман не буде таких прав."
 russian_principality_events.10.t:0 "Кремль в місті [kremlin_here.GetCapitalName]"
 russian_principality_events.10.d:0 "По мірі зростання нашої держави зростає важливість нашої столиці, міста [kremlin_here.GetCapitalName]. Як і в багатьох російських містах, центром міста [kremlin_here.GetCapitalName] є кремль, в якому розташовані знать, адміністрація та військо. Поза межами цих стін знаходиться постійно зростаючий Посадський район та ще більш віддалені передмістя. Наш престиж ґрунтується на розмірі і захищенності кремля, проте багато хто стурбований тим, що він занадто малий та старободний. Держава з нашими амбіціями зобов'язана забезпечувати постійне вдосконалення, розширення і зміцнення кремля."
 russian_principality_events.10.a:0 "Це вимагатиме великої кількості робочої сили."
 russian_principality_events.10.b:0 "Це вимагатиме участі всіх міських станів."
 russian_principality_events.10.c:0 "Церква за це заплатить."
 russian_principality_events.10.dd:0 "Зараз ми не можемо дозволити собі розширення Кремля."
 russian_tsardom_events.1.t:0 "Бунт у провінції [rioting_city_province.GetName]"
 russian_tsardom_events.1.d:0 "Невдоволення, пов'язене з введенням ноого податку, що співпав з нестачею іжї, цілком закономірно завершилося бунтом у провінції [rioting_city_province.GetCapitalName]. Жителі цього колись вірного міста тепер стверджують, що уряд порушує їхні права і закріпачує їхніх синів. Втікаючі з навколишніх сіл селяни приєднуються до повсталих, що ще більше розпалює ситуацію і наші [Root.GetLowLevelOfficialForCountry] все гірше контролюють ситуацію."
 russian_tsardom_events.1.a:0 "Відправити військо."
 russian_tsardom_events.1.b:0 "Задовольнити деякі їхні вимоги."
 russian_tsardom_events.2.t:0 "Придворна політика"
 russian_tsardom_events.2.d:0 "Вам буде дуже важко змінити свій стан у дворі [Root.GetAdjective] та наблизитися  до [Root.Monarch.GetTitle] якщо Ви не належите до однієї з небагатьох старих сімей, які мають тривалу вислугу років. Навіть якщо хтось прославиться в силу своїх значних здібностей, старі сім'ї все одно будуть домінувати при дворі. Останнім часом деякі молоденькі придворні зробили собі ім'я, вірно служачи нашій державі, але у них немає можливостей піднятися вгору. Ми могли б організувати для них спеціальну посаду, але старі сім'ї будуть активно протистояти цьому і не будуть упадати, якщо ми виступимо проти них."
 russian_tsardom_events.2.a:0 "Хто тут [Root.Monarch.GetTitle]?!"
 russian_tsardom_events.2.b:0 "Нам потрібна їх вірність."
 russian_tsardom_events.3.t:0 "Заселення степів провінції [steppe_province.GetName]"
 russian_tsardom_events.3.d:0 "[Root.GovernmentName] зростає та об'єднує безліч народів. FЕкспансія в степу допомогла нам взяти під свій контроль вільнодумних козаків і диких татар. Звичайно, велика частина степів все так само безлюдна. Хоча наша імперія велика, наші ресурси не безмежні. І перед нами часто стоїть вибір, чи хочемо ми, щоб наші піддані заселяли нові землі? Або ми хочемо, щоб вони залишалися під владою татар? Або ж ми повинні дозволити вільним козакам їх колонізувати?"
 russian_tsardom_events.3.a:0 "Татари можуть залишитися... Поки будуть підкорюватися нашим правилам."
 russian_tsardom_events.3.b:0 "Переселимо туди [Root.GetAdjective]их селян."
 russian_tsardom_events.3.c:0 "Хай ці землі належать вільним козакам."
 russian_tsardom_events.4.t:0 "Прогалини засічної лінії"
 russian_tsardom_events.4.d:0 "Ha протягом століть татари здійснювали набіги на наші поселення, що в підсумку призвело до будівництва оборонної лінії вздовж кордону зі степом. Засічна лінія - це система фортець і гарнізонів, призначених для того, щоб зупиняти будь-які степові набіги. Однак, як тільки в цій системі виявиться прогалина, з'являється ризик прониклення татар за наші кордони. Під час нещодавньго рейду вони змогли проникнути крізь нашу оборону і залишили незахищені поселення провінції [tatar_raided_province.GetName] спустошеними."
 russian_tsardom_events.4.a:0 "Ми змусимо татар заплатити!"
 russian_tsardom_events.5.t:0 "Собор $YEAR$ року"
 russian_tsardom_events.5.d:0 "B разі необхідності, правителі нашої держави могли звернутися до людей з столиці для надання підтримки в прийнятті важливих рішень, що стосуються майбутнього країни. Участь у такій асамблеї, або Соборі, є обов'язком будь-якого поважного підданого, крім того, це дозволяє зміцнити національну єдність у важкі часи. Можливо, в цей небезпечний час, настав підходящий момент для скликання Собору, щоб ми могли рухатися вперед разом c підтримкою народу?"
 russian_tsardom_events.5.a:0 "Чудова ідея."
 russian_tsardom_events.5.b:0 "[Root.Monarch.GetTitle] [Root.Monarch.GetName] не потребує такої підтримки!"
 russian_tsardom_events.6.t:0 "Розширення бюрократії"
 russian_tsardom_events.6.d:0 "Оскільки наше [Root.GovernmentName] розширюється, потрібно все більше людей для управління ним. Раніше ми покладалися на місцевих губернаторів провінцій, але з часом потреба у збільшенні кількості людей в центральній канцелярії [Root.GetAdjective]ого приказу зростає все більше. Якщо не набрати такі кадри найближчим часом, то у нас не буде вистачати досвідчених чиновників при подальшому розширенні бюрократії."
 russian_tsardom_events.6.a:0 "Призначити більше адміністраторів."
 russian_tsardom_events.6.b:0 "Залишимо те, що маємо."
 russian_tsardom_events.7.t:0 "Зрадники?"
 russian_tsardom_events.7.d:0 "[Root.Monarch.GetTitle] [Root.Monarch.GetName] звернув увагу на те, що голова сімейства [GetInfluentialRussians] накопичує таку владу та вплив, що наше [Root.GovernmentName] може опинитися під загрозою. He зовсім ясно, чи є в роду [GetInfluentialRussians] прагнення до престолу, але якщо ми хочемо забезпечити перевагу династії [Root.Monarch.Dynasty.GetName] треба діяти, поки не стало надто пізно."
 russian_tsardom_events.7.a:0 "Розділіть їхні землі серед більш лояльних людей."
 russian_tsardom_events.7.b:0 "Нема чого боятися помісного дворянства."
 russian_tsardom_events.8.t:0 "Відсутність людей"
 russian_tsardom_events.8.d:0 "Щоб впоратися зі зростаючим числом провінцій під нашим правлінням, нам довелося дати провінційним губернаторам послаблення при призначенні місцевих службовців. B області  [state_with_problems.GetAreaName] це призвело до зменщення сплачуваних селянами  податків і числа рекрутів. Центральна влада наказала стратити тих, хто загруз у корупції і гарантувати, що наші армія і казна перестануть відчувати труднощі."
 russian_tsardom_events.8.a:0 "Нам потрібні адміністратори."
 russian_tsardom_events.8.b:0 "Обмежити службу солдатів і селян в адміністрації."
 russian_tsardom_events.9.t:0 "Іноземні офіцери"
 russian_tsardom_events.9.d:0 "Вже тривалий час [Root.GetName] приваблює безліч європейців, які бажають вступити на службу. З одного боку це корисно для розвитку військової справи, з іншого, ціна найму висока, до того ж наші власні службовці можуть подумати що ми нехтуємо ними на важливих посадах."
 russian_tsardom_events.9.a:0 "Найняти їх."
 russian_tsardom_events.9.b:0 "Ми не потребуємо іноземних фахівців."
 russian_tsardom_events.10.t:0 "Christian Converts"
 russian_tsardom_events.10.d:0 "Sometimes the subjects of various heathen chiefs, kings or other petty rulers flee their homeland to seek refuge under our protection. These people will then often convert to Christianity and swear their allegiance to us, eager to start a new life under our benevolent rule. This is in itself a most welcome development, but our own landholders view the new-comers with some suspicion. A peasant's place is his land and his movement should be restricted as far as possible.\nConverts of this kind have lately been flooding the [converts_moved_here.GetAreaName] area, to the great irritation of their old overlords. A group of local heathen strongmen has lodged an official protest to our representatives in the area, demanding that we give up their countrymen."
 russian_tsardom_events.10.a:0 "We will welcome our new brothers in faith!"
 russian_tsardom_events.10.b:0 "Send them back to their old communities."
 russian_tsardom_events.11.t:0 "The Governor of [corrupt_governor.GetAreaName]"
 russian_tsardom_events.11.d:0 "In many cases our local officials consider it a perk of the job to be able to siphon parts of the local taxes and tributes into their own pockets.\nThe governor of [corrupt_governor.GetAreaName] seems to have crossed a line, however, as the local population in the area has risen in revolt due to his ill-concealed attempts to enrich himself from their hard earned toil and sweat."
 russian_tsardom_events.11.a:0 "We must replace this governor at once to placate the locals."
 russian_tsardom_events.11.b:0 "We cannot tolerate such insubordination. Crush the rebels!"
 tolerated_tatar_communities:0 "Tolerated Tatar Communities"
 desc_tolerated_tatar_communities:0 "We have allowed the Tatar communities in this region to remain largely intact in return for their loyalty."
 settling_russians_in_steppe:0 "Resettling the Steppes"
 desc_settling_russians_in_steppe:0 "We are resettling large numbers of peasants from our core regions in this province."
 cossack_province:0 "Cossack Dominance"
 desc_cossack_province:0 "We have allowed the Cossacks a free hand in the settlement of this province."
 peasants_fleeing_military_service_or_taxes:1 "Peasants fleeing Military Service and Taxes"
 desc_peasants_fleeing_military_service_or_taxes:1 "The local administration has been able to bolster its numbers due to many soldiers and serfs using a government job to escape a life of servitude."
 restrictions_on_social_mobility:0 "Occupational Restrictions"
 desc_restrictions_on_social_mobility:0 "We have restricted the possibility to serve in the administration to those who have fathers already working there. This prohibits any attempts by our peasants to escape military service by enlisting in the growing bureaucracy."
 fugitive_christian_converts:0 "Fugitive Christian Converts"
 desc_fugitive_christian_converts:0 "This province has received an influx of fugitives from surrounding non-christian provinces. The fugitives have been very willing to adopt our religion and swear loyalty to our state but it has also increased tensions in the area."
 corrupt_governor_modifier:0 "Local Concessions"
 desc_corrupt_governor_modifier:0 "A corrupt governor has left the local population very hostile to us. We have undertaken a number of local measures to compensate them."
 custom_yearly_harmony:1 "Religious Observances"
 custom_yearly_harmony_desc:1 "More so than most others, we are a people who hold strict religious observations, strengthening the harmony of our nation."
 custom_harmonization_speed:1 "Integration of Communities"
 custom_harmonization_speed_desc:1 "The tricky affair of meshing beliefs is made much easier by moving whole communities from our own heartlands into new holdings."
 custom_meritocracy:1 "Strict Examinations"
 custom_meritocracy_desc:1 "By holding our examinees to only the highest of standards, we ensure that the greatest of minds are those who assist our administration."
 custom_monarch_admin_power:1 "Regal Education"
 custom_monarch_admin_power_desc:1 "Never shall a produce of our dynasty be lacking in education in matters of governance. Education for our soon-to-be monarchs shall be rigorous and omnipresent."
 custom_max_absolutism:1 "Supreme Constitution"
 custom_max_absolutism_desc:1 "With it written into the very soul of our nation that our ruler is the most perfect and supreme person on the Earth, standing above all human laws and having no judge above their person, we can push further with absolute control over our lands."
 custom_yearly_absolutism:1 "Unquestionable Authority"
 custom_yearly_absolutism_desc:1 "The concept of representation and autonomous control are like poison to our nation. Our people will all answer to the absolute will of central governance."
 custom_administrative_efficiency:1 "Ruthless Administration"
 custom_administrative_efficiency_desc:1 "There are many checks and balances to ensure a steady flow in our administration. By ignoring most of them and making our main policy one of expansion, we can acquire more land quickly."
 custom_institution_spread_from_true_faith:1 "Religious Brotherhood"
 custom_institution_spread_from_true_faith_desc:1 "Harboring a sense of trust with fellow brothers-in-faith that their word, while not always spoken with best intention, is at least true at the core, we can assist the spreading of new, beneficial ideas."
 custom_global_institution_spread:1 "Forefront of New Thought"
 custom_global_institution_spread_desc:1 "It is so often the way that when new meets old, the old must give way. Our nation is well accustomed to embracing radical new ideas with as little turbulence as possible."
 custom_embracement_cost:1 "Thrifty Persuasion"
 custom_embracement_cost_desc:1 "Convincing the populace to abandon backwards ideas and embracing the new can be an expensive affair. Ours are a people, however, who are always able to find cost effective solutions."
 custom_max_states:1 "Expanded Governance Staff"
 custom_max_states_desc:1 "Keeping a large number of governors on our payroll, with adequate checks and balances, ensures that administrating large swathes of land comes without much burden."
 custom_church_power_modifier:1 "State Religion Rights"
 custom_church_power_modifier_desc:1 "Certain rights and privileges are granted for the faithful to ensure that our people find strength through faith."
 custom_yearly_corruption:1 "Public Punishments"
 custom_yearly_corruption_desc:1 "Corruption is rife through man but, with public demonstrations of punishments for those found embezzling, we can tackle the worst of it."
 custom_caravan_power:1 "Support for Caravan Traders"
 custom_caravan_power_desc:1 "By building and maintaining our overland trade networks, our Caravan Traders will have an easier time bringing wonderful, taxable goods to our nation."
 custom_monthly_fervor_increase:1 "Religious Foundations"
 custom_monthly_fervor_increase_desc:1 "By ensuring that Religion is at the heart of all matters for our state and our people, we can work up greater fervor to direct at matters of importance."
 custom_global_trade_goods_size_modifier:1 "Production Quotas"
 custom_global_trade_goods_size_modifier_desc:1 "Across our lands production sites will be expected to meet firm quotas designed to bolster our economy."
 custom_adm_tech_cost_modifier:1 "Foreign Talent"
 custom_adm_tech_cost_modifier_desc:1 "Our nation has long been accepting of individuals fleeing other nations. When it turns out that these individuals are ones of talent, we are quick to employ them."
 custom_build_time:1 "Corner Cutting"
 custom_build_time_desc:1 "Beautiful structures are overrated. So long as our infrastructure is built quickly, aesthetics can take a back seat."
 custom_state_maintenance_modifier:1 "Provincial Allowances"
 custom_state_maintenance_modifier_desc:1 "By granting special privileges and allowances to our State Governors, we can cut back slightly on the expenses of their services."
 custom_autonomy_change_time:1 "Flexible Rule"
 custom_autonomy_change_time_desc:1 "As a nation, we shall be pragmatic with how tightly we grip onto our people, judging the local situations to see if the people least governed are those best governed."
 custom_merc_discipline:1 "Recruitment Standards"
 custom_merc_discipline_desc:1 "When we sully ourselves dealing with men of fortune, we shall at least ensure that we contract out the most capable fighters."
 custom_rival_border_fort_maintenance:1 "Border Communities"
 custom_rival_border_fort_maintenance_desc:1 "Communities on the very border of our enemies' lands can be convinced that it is in their best interests to help out financially with their own defenses."
 custom_siege_blockade_progress:1 "Tight Blockades"
 custom_siege_blockade_progress_desc:1 "We shall instruct our captains that no ship be spared and no supply be slipped through when we are blockading a province into submission."
 custom_cav_to_inf_ratio:1 "Battle Organisation"
 custom_cav_to_inf_ratio_desc:1 "We shall take lessons from the greatest cavalry armies of history to ensure that our horses' hooves echo throughout the land."
 custom_artillery_bonus_vs_fort:1 "Massed Barrage"
 custom_artillery_bonus_vs_fort_desc:1 "With careful placement and accuracy, we can bring down enemy fortifications faster."
 custom_monarch_military_power:1 "Legacy of Combat"
 custom_monarch_military_power_desc:1 "No member of our esteemed dynasty can be called an adult until they have proven their proficiency in combat. A strong military tradition keeps our family and our nation strong,"
 custom_backrow_artillery_damage:1 "Battlefield Support"
