l_ukrainian:
 AI_CITY_STATE_NAME:0 "Місто $PROVINCE$"
 NEED_PRESTIGE_FOR_TRADE_LEAGUE:0 "Для того, щоб очолити Торгову Лігу, престиж лідера повинен перевищувати $PRESTIGE|Y$."
 SUBJECT_NO_TRADE_LEADER:0 "Суб'єкти не можуть створювати Торгові Ліги."
 MUST_BE_MERCHANT_REPUBLIC_FOR_TRADE_LEAGUE:0 "Лідером може бути тільки торгова республіка."
 TRADELEAGUE_DISBAND_NO_LEADER1:0 "Немає лідерів після держави $COUNTRY$."
 TRADELEAGUE_DISBAND_NO_LEADER2:0 "Лідер зобов'язаний мати високий рівень престижу і"
 TRADELEAGUE_DISBAND_NO_LEADER3:0 "мати певну форму правління."
 TRADELEAGUE_DISBAND_TOO_FEW1:0 "Торгова Ліга держави $OLD_LEADER$ була розпущена."
 TRADELEAGUE_DISBAND_TOO_FEW2:0 "Після відходу держави $COUNTRY$, в Лізі не залишилося членів."
 INVITETOTRADELEAGUETITLE:0 "Запросити в Торгову Лігу"
 INVITETOTRADELEAGUEDESC:0 "Запропонувати державі $THEY$ членство в Торговій Лізі, очолюваної державою $LEADER$."
 KICKFROMTRADELEAGUETITLE:0 "Вигнати з Торгової Ліги"
 KICKFROMTRADELEAGUEDESC:0 "Держава $COUNTRY$ буде вигнана з Торгової Ліги, очолюваної державою $LEADER$."
 LEAVETRADELEAGUETITLE:0 "Покинути Торгову Лігу"
 LEAVETRADELEAGUEDESC:0 "Держава $COUNTRY$ покине Торгову Лігу, очолювану державою $LEADER$."
 REQUESTTOJOINTRADELEAGUETITLE:0 "Увійти в Торгову Лігу"
 REQUESTTOJOINTRADELEAGUEDESC:0 "Надіслати державі $COUNTRY$ прохання на приєднання до Торгової Лізі, очолюваної державою $LEADER$."
 ALREADY_IN_TRADELEAGUE:0 "Держава $COUNTRY$ вже перебуває в торговельній лізі, очолюваної державою $LEADER$."
 ONLY_TRADELEAGUE_LEADER_MAY_INVITE:0 "Тільки лідер Торгової Ліги може запрошувати до неї нових членів."
 REQUEST_JOIN_TO_TRADELEAGUE_LEADER:0 "Запит на приєднання до Торгової Ліги може бути відправлений тільки її лідеру, державі $LEADER$."
 REQUEST_JOIN_TO_TRADELEAGUE_REQDESC:0 "Держава $ACTOR$ бажає приєднатися до нашої Торгової Ліги. Нам задовольнити їхнє прохання?"
 INVITE_TO_TRADELEAGUE_REQDESC:0 "Держава $ACTOR$ пропонує нам вступити до їхньої Торгової Ліги. Нам задовольнити їхнє прохання?"
 TRADELEAGUE_MAX_SIZE:0 "Ми не можемо мати більше однієї провінції, інакше ми будемо зобов'язані покинути Торгову Лігу."
 TRADELEAGUE_MAX_SIZE_THEY:0 "Члени Торгової Ліги не можуть мати більше однієї провінції або будуть автоматично виключені з Торгової Ліги."
 TRADELEAGUE_DEFENSIVE_PACT:0 "Всі члени Торгової Ліги вступають в оборонні війни."
 TRADELEAGUE_MEMBERSHIP_GIVES:0 "Як лідер Торгової Ліги, ми отримуємо такі бонуси:"
 TRADELEAGUE_MEMBER_TRANSFER:0 "§RКожен член Ліги зобов'язаний передати свій торгівельний вплив лідеру.§!"
 TRADELEAGUE_TRADING_BONUS:0 "Торговий бонус для членів Ліги:"
 ICON_TRADELEAGUEINVITE:0 "§YЗапрошення§! на членство до Торгової Ліги"
 ICON_TRADELEAGUEREQUEST:0 "§YЗапит§! на членство до Торгової Ліги"
 ICON_REQUESTSHAREMAP:0 "§YПрохання§! передати свої мапи регіону $REGION$"
 AUTO_DUE_TO_MOD:1 "$WHAT$"
 AUTO_HEADER:0 "Не може бути нижче §Y$VAL$%§!, через такі чинники:\n$WHAT$"
 MODIFIER_YEARLY_CORRUPTION:0 "Річна зміна корупції"
 CORRUPTION_IRO:0 "§YКорупція§!\nПоточний рівень: $CURR|Y$.\nЩороку корупція змінюється на $CHANGE$ завдяки таким чинникам:\n$WHY$"
 CORRUPTION_DRO:0 "Поточний рівень корупції має такі ефекти:"
 STEALMAPTITLE:0 "Викрасти мапи"
 SPYCOST:0 "Ця дія знизить нашу §Y$ADJ|Y$у§! мережу шпигунів на $COST$."
 STEALMAPDESC:0 "Викрасти мапи регіону у вибраної цілі."
 STEALMAP_OFFDESC:0 "Держава $ACTOR$ отримає знання про регіон $REGION$ викравши $RECIPIENT_ADJ$і мапи. Число провінцій про які ми знаємо, збільшиться на $NUM_PROVS|Y$, а розмір шпигунської мережі зменшиться на $COST$."
 SHAREMAPTITLE:0 "Попросити мапи"
 SHAREMAP_REQDESC:0 "Держава $ACTOR$ хоче розширити свої знання про регіон $REGION$. Прийнявши цю пропозицію, вони дізнаються про нові провінції, числом до $NUM_PROVS|Y$, а ми збільшимо свій престиж на $PRESTIGE$."
 SHAREMAP_OFFDESC:0 "Ми просимо їх поділитися знаннями про регіон $REGION$, якщо вони погодяться, ми дізнаємося про нові провінції ($NUM_PROVS|Y$). Наш престиж зменшиться на $LOSE$, а їхній збільшиться на $GAIN$."
 SHAREMAP_NO_UNITS:0 "У нас немає армій, що примикають до досліджуваного регіону."
 SHAREMAP_NO_UNDISCOVERED:0 "Вони не знають про провінції, про які ми і так не знаємо."
 SHAREMAP_NO_REGIONS:0 "Вони не знають жодного регіона, про який би ми не знали."
 SHAREMAP_RIVAL:0 "Неможливо попросити мапи у свого суперника."
 SHAREMAP_ENEMY:0 "Вони вважають нас своїм суперником і не нададуть нам свої мапи."
 UNCONDITIONALSURRENDERTITLE:0 "Беззастережна капітуляція"
 UNCONDITIONALSURRENDERDESC:1 "Запропонувавши беззастережну капітуляцію, ми надамо їм кілька місяців $MONTHS$ на те, щоб відправити нам мирну пропозицію."
 UNCONDITIONALSURRENDERREQDESC:1 "Запропонувати беззастережну капітуляцію? Держава $COUNTRY$ отримає кілька місяців $MONTHS|Y$ , щоб відправити нам мирну пропозицію, яке буде автоматично прийнято. Якщо ж вони нічого не відправлять, в їхній країні почнуть діяти сили, що вимагають миру.\n\nВсі наші армії, що знаходяться в наших національних провінціях, будуть вигнані, що захистить їх на час очікування мирного договору.\n\nВсі провінції, що знаходяться під нашим контролем або контролем наших союзників, будуть передані ворогові."
 WEUNCONDITIONALLYSURRENDERED:1 "Ми підписали беззастережну капітуляцію і чекаємо відповіді."
 THEYUNCONDITIONALLYSURRENDERED:1 "Держава $COUNTRY$ запропонувала нам беззастережну капітуляцію і тепер чекає від нас відповіді."
 WEUNCONDITIONALLYSURRENDEREDOTHER:1 "Ми запропонували беззастережну капітуляцію іншій державі."
 THEYUNCONDITIONALLYSURRENDEREDOTHER:1 "Держава $COUNTRY$ прийняла беззастережну капітуляцію."
 REASON_UNCONDITIONAL_SURRENDER_OFFER_BLOCKED:1 "§RВи не можете нічого запропонувати, оскільки запропонована беззастережна капітуляція.§!"
 LEAGUE_TRADE_EMBARGO:0 "Неможливо скасувати, оскільки лідер ліги, держава $LEADER$, ввела ембарго державі $TARGET$."
 restore_roman_empire_title:0 "Відновити Римську Імперію"
 restore_roman_empire_desc:0 "Не так давно римляни створили велику імперію, поширивши свою владу на все Середземномор'я і далеко за його межі. Якщо ми заявимо права на їхні землі, то зможемо вдосталь поглумитися над претендентами в Константинополі або в Священної Римської Імперії, водночас оголосивши себе істинними спадкоємцями Стародавнього Риму."
 restore_roman_empire_tt:0 "Всі ваші провінції перестануть бути частиною Священної Римської Імперії."
 FLEET_BLOCKADING_PORTS:0 "§Y$ADJ$і§! кораблі блокують порт у "
 PORT_BLOCKADED_REASON:0 "§YПорт заблоковано§! кораблями в"
 UNIT_AUTO_REPAIR_DAMAGED:0 "§YПолагодити пошкоджені кораблі§!"
 BAGUETTE:0 "багет"
 UNIT_AUTO_REPAIR_DAMAGED_DELAYED:0 "Всі пошкоджені кораблі будуть від'єднані і спрямовані в порт для ремонту, після чого будуть відправлені назад."
 ARMY_ACCESS:0 "\n\nУ нас є право проходу з ними:"
 ARMY_NO_ACCESS:0 "\n\nУ нас §Rнемає§! права проходу з ними:"
 PRIMITIVE_ACCESS:0 "\nНаш першопрохідник може пересуватися цими примітивними землями!"
 EXILED_ACCESS:0 "\nВигнані армії можуть спокійно пересуватися."
 BOARD_SHIPS_ACCESS:0 "\nВійська завантажені на судна."
 CONDOTTIERI_ACCESS:0 "\nЦей підрозділ було найнято державою $HIREDBY$, яка дарувала нам прохід військ"
 ATWAR_ACCESS:0 "\nВоюємо!"
 ATWAR_CONTROLLER_ACCESS:0 "\nУ війні з державою, яка контролює провінцію."
 ATWAR_OVERLORD_ACCESS:1 "\n$TAKER|Y$ у війні з §Y$GIVERS|Y$им§! сюзереном – державою $OVERLORD|Y$."
 ATWAR_CONTROLLER_OVERLORD_ACCESS:0 "\nВоюємо із сюзереном держави, яка контролює провінцію."
 CONDOTTIERI_TO_ENEMY_ACCESS:1 "\n$GIVER|Y$ орендувала свої війська §Y$TAKERS|Y$ому§! ворогові – державі $ENEMY|Y$."
 DEPENDENCY_ACCESS:1 "\n$GIVER|Y$ Дипломатичні домовленості з державою $TAKER|Y$."
 FEDERATION_ACCESS:1 "\nЧлени федерації дають право проходу, коли один з них знаходиться в стані війни."
 IN_WAR_TOGETHER_ACCESS:1 "\n$TAKER|Y$ і $GIVER|Y$ беруть участь у спільній війні."
 SAME_OVERLORD_ACCESS:0 "\n$TAKER|Y$ і $GIVER|Y$ є суб'єктами одного й того ж сюзерена."
 HAS_ACCESS:1 "\nДержава $GIVER|Y$ вирішила надати державі $TAKER|Y$ доступ."
 ENEMY_GRANTED_ACCESS:1 "\n$GIVER|Y$ надає право проходу §Y$TAKERS|Y$ому§! ворогові – державі $ENEMY|Y$."
 EMPIRE_ENEMY_ACCESS:0 "\n$TAKER|Y$ у війні з Імператором."
 EMPIRE_FRIEND_ACCESS:0 "\n$TAKER|Y$ воює разом з Імператором."
 WARALLY_GRANTED_ACCESS:1 "\n$GIVER|Y$ надає право проходу §Y$TAKERS|Y$ому§! союзникові – державі $WARALLY|Y$."
 IMPASSABLE_ACCESS:0 "\nПустище.§!"
 COLONY_TO_SUBJECT_ACCESS:1 "\n$GIVER|Y$ це колонія §Y$TAKERS|Y$ого§! суб'єкта – держави $SUBJECT|Y$."
 ACCESS_FORT_AREA:0 "\nЗона контролю не §Yнейтральна§!."
 ASK_FOR_ACCESS:0 "\nСпочатку ми повинні запитати у них."
 IS_EMPEROR_ACCESS:1 "\n$TAKER|Y$ є імператором, тож усі принци повинні надати їм право проходу під час війни."
 NO_PORT_ACCESS:0 "\nУ цій провінції немає порту."
 HOSTILE_PORT_ACCESS:0 "\nПорт знаходиться під контролем ворога."
 NO_FLEET_ACCESS:0 "\nМи повинні отримати право базування флоту, щоб відправити сюди свої кораблі."
 WE_WILL_SUCCEED:0 "У нас вийде."
 CD_CONODTIERRIS_SENT:0 "Відправив кондотьєрів державі $LIST$."
 CD_CONODTIERRIS_RECEIVED:0 "Найняв кондотьєрів у держави $LIST$."
 DIPIRO_CONDOTIERRIS:0 "Держава $WHO|Y$ найняла кондотьєрів у держави $NAME|Y$."
 noattitude:0 "Невідоме"
 sailor_event.1.t:0 "Безкрайнє і безмежне море"
 sailor_event.1.d:0 "На відміну від війни на полі бою, благаючої до почуття обов'язку і прагнення прославитися, море кличе до себе тих вільних душею людей, хто не обтяжений подібними якостями. Старі моряки переказують історії про ходіння по океанах і експедиціях [Root.GetAdjective]их флотів в минулому так, немов це були пригоди, – примітні місця і події залишаються в пам'яті, жертви забуваються.\n\nПри такій спадщині, чи варто дивуватися, що [Root.GetName]а молодь мріє про морські терена? У минулому році багато хто з них записались до флоту. Частина з них може закінчити свої дні на морському дні, але ті, що повернуться, поза всяким сумнівом вдихнуть нове життя в історії і легенди."
 sailor_event.1.a:0 "Ми пишемо спадщину, що надихне майбутні покоління."
 sailor_event.2.t:0 "Суворе життя посеред океану"
 sailor_event.2.d:0 "Чимало людей вступило до лав нашого флоту в пошуках пригод і можливості залишити позаду свої домівки, побачити море і землі за межами [Root.GetAdjective]их кордонів. Не всі з них були готові до часто суворого, але ще частіше – сумного та нудного морського життя. Зав'язнувши в нескінченно одноманітній роботі й не менш одноманітних їжі та компанії, багато молодих моряків починають шкодувати про своє рішення.\n\nБільш пристосовані товариші швидко затаврували таких сухопутними щурами та звільнили від обов'язків, тим самим перетворивши на тягар. В кінцевому рахунку, комусь вдасться звикнути до реалій та почати приносити користь, іншим же краще повернутися додому."
 sailor_event.2.a:0 "Зворотний бік пропаганди."
 sailor_event.3.t:0 "Моряки прагнуть допомогти армії"
 sailor_event.3.d:0 "Наша армія зазнала серйозних втрат протягом останніх років, і тисячі життів були втрачені в битвах. Тим часом, флот не розділив долю армії. Незважаючи на жертви, принесені ними для захисту країни, в рядах нашого флоту все ще вистачає людей.\n\nВнаслідок цього, адміралтейство почало підштовхувати тих, хто готовий ризикувати собою на море, до того, щоб допомогти нашій змученій армії. Зрештою, якщо нікому захищати порти, то навіть найкращим кораблям і екіпажам буде нікуди пристати."
 sailor_event.3.a:0 "Нові рекрути повинні попрямувати туди, де вони найпотрібніші."
 sailor_event.4.t:0 "Солдати прагнуть допомогти флоту"
 sailor_event.4.d:0 "В останніх конфліктах безліч людей загинуло в море. У той час як наша армія непогано відновилася, капітанам [Root.GetAdjective]их кораблів все важче знайти новобранців. По країні ходять чутки про жертви, принесені флотом, і навіть [Root.Monarch.GetName] і його двір не залишилися до них глухі.\n\nОстаннім часом армійські командири почали відправляти тих, хто міг би служити під їхнім початком, до моря, щоб ті записалися на флот. І хоча їм належить ще багато чому навчитися, допомога цих новобранців буде потрібна, щоб відновити наш флот."
 sailor_event.5.t:0 "Шлях до моря"
 sailor_event.5.d:0 "Хоча [Root.GetName] і не має традицій мореплавання подібно прибережним країнам, ми тим не менше пишаємося прибережними ділянками землі, що надають нам доступ до моря. [Root.GetAdjective]е узбережжя відкриває безліч можливостей і притягує молодих людей, що шукають нового життя.\n\nХоча наші можливості в мореплавстві обмежені, молоді люди з навичками кораблеводіння стали б чудовою рекрутською базою для флоту. Можливо, варто допомогти цим подаючим надію морякам оселитися в їхньому новому будинку?"
 sailor_event.5.a:0 "Варто заохотити їхні прагнення."
 sailor_event.5.b:0 "Вони скоро втомляться від моря."
 central_african.1.t:0 "Схід Маросерани"
 central_african.1.d:0 "Ми достеменно не знаємо, хто вони або звідки прийшли. Новий правлячий клас зародився в [Root.GetAdjective]ому суспільстві і почав його міняти. Відомі під ім'ям Маросерана, вони прибули з континенту, але [Root.Culture.GetName]а культура і місцеві релігійні практики є невід'ємною частиною їхньої влади. Поклоняючись правителям минулого і зробивши так, щоб [Root.Monarch.GetTitle] призначив медіумів для спілкування з духами предків, вони тим самим міцно зв'язали свою владу з історією держави [Root.GetName]. У поєднанні з більш формальними контактами з важливими торговими партнерами, ремісниками і вченими по всій країні, нові практики, привнесені маросерана, швидше за все підуть нашій країні на користь."
 central_african.1.a:0 "Правителі і народ повинні вчитися один у одного."
 central_african.2.t:0 "Переписати Ібонію"
 central_african.2.d:0 "Серед історій нашого народу Ібонія є однією з найбільш поширених. По країні поширено безліч версій цієї історії, що оповідає про героя Ібоніямасібоніяманоро, його пригоди і порятунок їм своєї коханої Ямпеласоамананоро.\n\nХоч ми і пишаємося, що ці історії переказуються протягом століть, за кордоном Ібонія в основному нікому не відома. Щоб поширити наші перекази по світу, нам варто їх записати. Однак, це ставить нас перед вибором, який версії віддати перевагу. Швидше за все, варто вибрати ту, що поширена в столиці. Однак, тим самим [Root.Monarch.GetName] втратить довіру тих, хто виріс на інших варіантах епосу. Так чи варто ризикувати?"
 central_african.2.a:0 "Ібонію потрібно надрукувати і розповсюдити по світу."
 central_african.2.b:0 "Нехай вона й надалі звучить багатоголоссям [Root.GetAdjective]ого народу."
 central_african.3.t:0 "Солдати порушують фаді"
 central_african.3.d:0 "Іноземцям часто важко зрозуміти фаді, концепцію соціальних і релігійних табу, що обмежують поведінку в малагасійському суспільстві. Наші війська, розташовані на малагасійських землях, часом піддаються критиці з боку місцевих через нездатність слідувати цим правилам, але до цього моменту їм вдавалося уникати серйозних неприємностей. Однак, нещодавно кілька з них випадково розбили табір у місцевості, куди не можна навіть просто увійти належними чином не підготувавшись.\n\nНа відміну від попередніх інцидентів, на цей раз місцеві сприйняли все дуже серйозно й довели питання до вищих інстанцій, перетворивши його в дипломатичний скандал. Як нам слід вчинити в даній ситуації?"
 central_african.3.a:0 "Відхилити протест, це всього лише дурне марновірство."
 central_african.3.b:0 "Принести вибачення за наше незнання місцевих звичаїв."
 central_african.4.t:0 "[From.GetAdjective]і гості порушують фаді"
 central_african.4.d:0 "Соціальні норми і табу, які ми називаємо фаді, грають велику роль у [Root.GetTagDE], але ще більше їх виявляється на місцевому рівні. Наша влада пристосовується до них і, фактично, повага до цих місцевих правил і дозвіл слідувати їм є частиною політики, яка робить громади лояльними до [Root.Monarch.GetTitleOGO].\n\nКілька солдатів з [From.GetTagOGO], що перетинали наші землі, повели себе безвідповідально й порушили місцеве фаді. Що ще гірше, вони відмовилися принести вибачення і лицемірно обізвали наші звичаї забобонами, у той же час дотримуючись власних і не відчуваючи до них того ж ставлення. Це є ні що інше як образа нашого народу."
 central_african.4.a:0 "Подібні образи не можна залишати без уваги."
 central_african.5.t:0 "Лукаса"
 central_african.5.d:0 "Щоб зберегти нашу культуру та історію мудрі майстри [Root.GetTagOGO] створили лукаса – дошки пам'яті, щоб записувати все – від генеалогії, до мап. Складна мнемонічна система подряпин і намистин на дощечках покликана допомогти історикам згадувати і розповідати історії минулого.\n\n$ARTIST$ прояви[Root.Adm_Advisor.GetAAEndVLa] особливий талант у створенні лукаса, і нам слід скористатися можливістю зберегти знання, поки [Root.Adm_Advisor.GetSheHe] не покину[Root.Adm_Advisor.GetAAEndVLa] нас. Що нам слід увічнити?"
 central_african.5.a:0 "Закони нашої адміністрації."
 central_african.5.b:0 "Торговельні маршрути та партнерів."
 central_african.5.c:0 "Наших найвеличніших воїнів."
 central_african.5.e:0 "Предків роду [Root.Monarch.Dynasty.GetName]."
 central_african.6.t:0 "Розширення мбудє"
 central_african.6.d:0 "Влада [Root.Monarch.GetTitleOGO] завжди врівноважувалися впливом мбудє, ради з чоловіків та жінок, найбільш обізнаних у духовних питаннях та історії. Деякі з найвпливовіших старшин у раді нещодавно померли, і тепер [Root.Monarch.GetName] отримує куди менше порад, ніж ті, що правили раніше.\n\nНа щастя, безліч молодих та перспективних кандидатів, які довели свої здібності по частині читання дощок пам'яті та розуміння старих традицій, готові висунутися на їхнє місце. Чи варто нам дозволити їм зайняти місце в Мбудє та тим самим зберегти вплив ради?"
 central_african.6.a:0 "Дозволити молодим кандидатам приєднатися."
 central_african.6.b:0 "Продавити реформи, доки рада слабка."
 central_african.7.t:0 "Конфлікт мбудє і [Root.Monarch.GetTitleOGO]"
 central_african.7.d:0 "З тих пір як ми вирішили розширити мбудє, деякі з наших рішень натикаються на протидію з його боку. Схоже, що нове покоління привнесло з собою нову інтерпретацію нашої історії і наших законів. В результаті цього, [Root.Monarch.GetTitleKHTO] і рада стали куди гірше знаходити спільну мову, а мудрість правителя виявилась під питанням.\n\nСхвалення ради відіграє життєво важливу роль в управлінні країною, і, якщо [Root.Monarch.GetTitleKHTO] вирішить ігнорувати раду, це серйозно вдарить по [Root.Monarch.GetHerHis] репутації. Як же нам вирішити цей конфлікт?"
 central_african.7.a:0 "Ігнорувати нових членів ради."
 central_african.7.b:0 "Рада краще знає, що робити."
 central_african.8.t:0 "Конфлікт поколінь у мбудє"
 central_african.8.d:0 "Наше рішення залучити до складу мбудє – керівної ради – кілька відносно молодих членів, призвело до конфліктів між радниками. Спочатку готові вчитися у старших, тепер вони сперечаються з ними про те, як читати дошки пам'яті та ставлять під сумнів ключові моменти відомостей, які повідомляються старшими членами ради.\n\nХоча можливо, що старе покоління просто старіє, нахабство, з якою молодші висунули подібне припущення, просто вражає. Чи повинен [Root.Monarch.GetTitleKHTO] змусити їх замовкнути, чи прислухатися до їхніх порад?"
 central_african.8.a:0 "Пам'ять старійшин ніколи нас не підводила."
 central_african.8.b:0 "Нова інтерпретація визначить майбутнє."
 central_african.9.t:0 "Антоніо Фернандес"
 central_african.9.d:0 "Людина прийшла з боку узбережжя. Він називає себе Португальським вигнанцем, 'dеgrеgаdо'. Він має талант до мов і стверджує, що раніше працював перекладачем у прибережному поселенні, з яким ми торгуємо. Тепер же він бажає вивчити внутрішні землі й знайти джерело золота, яким торгують по всьому узбережжю.\nУ нас немає причин недовіряти цій людині, але жадібні португальські торговці – це зовсім інша справа."
 central_african.9.a:0 "Ми будемо поводитися з ним як з гостем."
 central_african.9.b:0 "Португальцям не можна довіряти."
 central_african.10.t:0 "Зростання торгівлі з Індією"
 central_african.10.d:0 "Коли європейці вперше оселилися на узбережжі, здавалося, що вони відправляються в невідомість при кожному зручному випадку. Однак, тепер їхні кораблі почали повертатися, навантажені прянощами і тканинами. Ми могли б обмінювати їх на золото і слонову кістку, а європейці більш ніж охоче здійснювали б такий обмін. Таким чином європейці надають нам куди як більш зручний спосіб торгувати з далекими землями Індії."
 central_african.10.a:0 "Потрібно вимагати більшого в обмін на наші товари."
 central_african.10.b:0 "Надішліть до Індії стільки, скільки зможуть відвезти європейські кораблі!"
 central_african.11.t:0 "Спільне походження"
 central_african.11.d:0 "Спадкування по материнській лінії не тільки визначає порядок спадкування і право на владу, а й відсилає нас в далеке минуле до нашої спільної матері. Племена і сім'ї державиf $COUNTRY$ will могли б уникнути стількох конфліктів і сварок, просто пам'ятаючи цей простий принцип нашого народу. Всі ми походимо від загальної матері."
 central_african.11.a:0 "$COUNTRY$ хай буде в мирі."
 central_african.12.t:0 "Земля полум'я"
 central_african.12.d:0 "Багато поколінь Малаві славилися своїм ковальським мистецтвом. Через те, що цілі поля були забудовані кузнями, що працюють під відкритим небом, нашу країну прозвали 'Земля полум'я'.\nЗараз, коли наш ворог підбирається ближче, пора роздути це полум'я і показати, що з наших печей виходять не тільки цвяхи і інструменти, але також ножі та списи!"
 central_african.12.a:0 "Наше залізо вижене ворога з цієї землі."
 central_african.13.t:0 "Чева"
 central_african.13.d:0 "Чева прийшли з далекого заходу і оселилися тут пліч-о-пліч з нашими предками. Коли саме це сталося, не пам'ятають навіть наші старійшини, але чева повідали нам про свою таємну мову і візерунки на тілі. Навіть зараз ми з повагою ставимося до цих узорів, адже чева стали частиною нас, а ми стали частиною їх. Не важливо, фірі ти або банда, ти все одно маєш їхні маски і прислухаєшся до їхніх мудрих порад."
 central_african.13.a:0 "Ми слухаємо."
 central_african.14.t:0 "Секретні спільноти ньяу"
 central_african.14.d:0 "Для чужинців це виглядає як дивні шепотки за спиною, незвичайні ритуали і езотеричні обряди ініціації. Для нас же це природний шлях поширення знань, розуміння суті речей і історії. Всіх молодих чоловіків і жінок у всіх селах призводять в таємні товариства ньяу, де вони вчаться і діляться з іншими своїм сприйняттям світу. Це буде супроводжувати їх протягом всього життя і за допомогою ритуалів сформує зв'язок з іншими селами."
 central_african.14.a:0 "Такий шлях нашого народу."
 central_african.14.b:0 "Заборонити цю нісенітницю!"
 central_african.15.t:0 "[Root.Monarch.GetTitle] в наших спогадах"
 central_african.15.d:0 "[Root.Monarch.GetTitle] пішов з життя, і нам необхідно вирішити, як згадати його на урочистостях. Ми дозволили вічному полум'ї, що палав з тих пір, як він зійшов на трон, згаснути, і величезний дерев'яний звір, утримуваний високо в повітрі дюжиною чоловіків, буде на церемонії. О, [Root.Monarch.GetTitle] [Root.Monarch.GetName], яка ж тварина буде нагадувати нам про старих правителів, поки ми розпалюємо нове полум'я??"
 central_african.15.a:0 "Ньобву, слон, щоб нагадувати про їхню велич."
 central_african.15.b:0 "Ндондо, змія, щоб нагадувати про те, як були побудовані наші будинки."
 central_african.15.c:0 "Касіямаліро, радісне нагадування про те, що всі ми одного разу приєднаємося до предків."
 central_african.15.e:0 "Мканго, лев, щоб ми пам'ятали, з предками жартувати не варто."
 central_african.16.t:0 "Камбарантама"
