l_ukrainian:
 NUDGE_END_NODE_TITLE:0 "Немає вихідних шляхів"
 economic_urbanization_modifier:0 "Урбанізація"
 desc_economic_urbanization_modifier:0 "У цій провінції спостерігається великий наплив людей з навколишньої сільської місцевості."
 industrial_urbanization_modifier:0 "Наплив робітників"
 desc_industrial_urbanization_modifier:0 "Зростаюча економіка цієї провінції залучає людей з усієї країни. Це є благом у багатьох відношеннях, але це також спричинило певні заворушення, оскільки працівники змушені жити разом у дуже тісних районах міста."
 metalworks_modifier:0 "Металургійні заводи"
 desc_metalworks_modifier:0 "Ця провінція перетворилася на головний центр виробництва металу після впровадження машин, що працюють на вугіллі."
 textile_mills_modifier:0 "Текстильні фабрики"
 desc_textile_mills_modifier:0 "Ця провінція перетворилася на головний центр виробництва текстилю."
 shipyards_of_x_modifier:0 "Великі корабельні"
 desc_shipyards_of_x_modifier:0 "Ця провінція перетворилася на головний центр промислового суднобудування."
 gave_in_to_luddite_protests:0 "Захист ремісників"
 desc_gave_in_to_luddite_protests:0 "Ми зробили ряд поступок, щоб заспокоїти непокірних ремісників цієї провінції, захищаючи їхню роботу за рахунок відмови від сучаснішої конкуренції."
 impoverished_artisans:0 "Збіднілі ремісники"
 desc_impoverished_artisans:0 "Місцевий сектор ремесел значною мірою страждає від конкуренції з останніми змінами у технологіях виробництва. Ремісники не в змозі прогодувати свої сім'ї та залишають регіон у пошуках нового життя в інших місцях."
 fire_compensation:0 "Промисловці платять за відновлення провінції"
 desc_fire_compensation:0 "Місцеві промисловці були зобов'язані заплатити за відновлення цієї провінції після поширення небезпечної пожежі з місцевої фабрики."
 industrialization_events.1.t:0 "Пароатмосферна машина"
 industrialization_events.1.d:0 "На основі старого експериментального повітряного насоса винахідник з провінції [invention_province.GetName] створив новий тип машини, що використовує тиск пару для відкачування води з вогких шахт. Пароатмосферна машина дозволяє вести видобуток там, де це було раніше неможливо, і це значно підвищило ефективність вугільних і рудних копалень в нашій країні."
 industrialization_events.1.a:0 "Попереду нас чекає захоплююче майбутнє."
 industrialization_events.1.a.tt:0 "Підвищується ймовірність подій індустріалізації для провінцій, які виробляють §Yвугілля§!, §Yзалізо§! та §Yмідь§!."
 industrialization_events.2.t:0 "Коксові доменні печі"
 industrialization_events.2.d:0 "[Root.inventor_name.GetName], винахідник і підприємець з провінції [invention_province.GetName] розробив новий тип працюючої на коксі доменної печі для виробництва чавуну. Використовуючи вугілля замість деревного вугілля, виробництво заліза значно збільшилася, виробництво заліза істотно зросла, що дозволило нам поставляти на ринок велику кількість дешевого заліза."
 industrialization_events.2.d.england:0 "Абрахам Дербі, винахідник і підприємець, розробив новий тип працюючої на коксі доменної печі для виробництва чавуну. Використовуючи вугілля замість деревного вугілля, виробництво заліза значно збільшилася, виробництво заліза істотно зросла, що дозволило нам поставляти на ринок велику кількість дешевого заліза."
 industrialization_events.2.a:0 "Чудово."
 industrialization_events.2.a.tt:0 "Підвищується ймовірність подій індустріалізації для провінцій, які виробляють §Yвугілля§! і §Yзалізо§!."
 industrialization_events.3.t:0 "Покращена парова машина"
 industrialization_events.3.d:0 "Працюючи над поліпшенням проектів попередніх пароатмосферних машин, підприємець і винахідник [Root.inventor_name.GetName] зумів створити новий тип машини з роздільними конденсатором і обертальним механізмом замість старого механізму з поступально-обертальним рухом. Парова машина, яку пропонує [Root.inventor_name.GetName], обіцяє стати в два рази більш продуктивною, ніж попередні моделі, і зробить неоціненну допомогу, як привід для механізмів у всіх типах промислових підприємств."
 industrialization_events.3.d.england:0 "Працюючи над поліпшенням проектів попередніх пароатмосферних машин, підприємець і винахідник Джеймс Ватт зумів створити новий тип машини з роздільними конденсатором і обертальним механізмом замість старого механізму з поступально-обертальним рухом. Парова машина, яку пропонує Ватт, обіцяє стати в два рази більш продуктивною, ніж попередні моделі, і зробить неоціненну допомогу, як привід для механізмів у всіх типах промислових підприємств."
 industrialization_events.3.a:0 "Чух-чух."
 industrialization_events.3.a.tt:0 "У провінціях збільшується ймовірність подій індустріалізації."
 industrialization_events.4.t:0 "Обертовий плуг"
 industrialization_events.4.d:0 "Експериментуючи з новими формами і покритим залізом відвалом плугу, винахідник з провінції [invention_province.GetName], [Root.inventor_name.GetName], створив набагато легший плуг, працювати з яким легше та ефективніше. У поєднанні з іншими новітніми винаходами в області сільськогосподарських інструментів, новий плуг в перспективі суттєво збільшить продуктивність сільського господарства в нашій країні."
 industrialization_events.4.a:0 "Дивовижно."
 industrialization_events.4.a.tt:0 "У провінціях збільшується ймовірність подій індустріалізації."
 industrialization_events.5.t:0 "Летючий човник"
 industrialization_events.5.d:0 "[Root.inventor_name.GetName], місцевий винахідник з провінції [invention_province.GetName], запатентував нову конструкцію 'обертового' човника, що обіцяє зробити революцію в ткацькій справі, усуваючи необхідність у другій людині, яка би ловила човник, що проходить через нитки основи. Незважаючи на те, що продуктивність як і раніше обмежена швидкістю обертання - основним вузьким місцем в текстильній промисловості, човник швидко поширюється серед ткачів по всій країні."
 industrialization_events.5.a:0 "Якби тільки наші прядильники не відставали..."
 industrialization_events.5.a.tt:0 "Підвищується ймовірність подій індустріалізації для провінцій, які виробляють §Yвовну§!, §Yтканини§!, §Yшовк§! або §Yбавовну§!."
 industrialization_events.6.t:0 "Прядка 'Дженні'"
 industrialization_events.6.d:0 "Основним обмеженням продуктивності праці в ткацькому виробництві була швидкість обертання нитки. Ще до введення 'літаючого' човника на одного ткача було потрібно чотири прядильника. Щоб подолати цю перешкоду, [Root.inventor_name.GetName], винахідник з провінції [invention_province.GetName], створив машину, що дозволяє одному працівникові виконувати роботу багатьох прядильників. У поєднанні з 'літаючим' човником, ця машина обіцяє значно підвищити ефективність ткацької промисловості в найближчому майбутньому."
 industrialization_events.6.a:0 "Неймовірно!"
 industrialization_events.6.a.tt:0 "Підвищується ймовірність подій індустріалізації для провінцій, які виробляють §Yвовну§!, §Yтканини§!, §Yшовк§! або §Yбавовну§!."
 industrialization_events.7.t:0 "Канали і магістралі"
 industrialization_events.7.d:0 "Погані дороги вже давно є обмежуючим фактором економічного зростання в провінції [industrial_province.GetName], суттєво уповільнюючого перевезення товарів, людей і капіталів. Дивлячись на інші області, місцеві підприємці почали вводити платні дороги для оплати їх утримання, плануючи будівництво транспортних каналів для полегшення ведення місцевого товарообігу."
 industrialization_events.7.a:0 "Достойна мета, вони отримають наше заступництво!"
 industrialization_events.7.b:0 "Відмінна ініціатива, але державі не варто втручатися."
 industrialization_events.8.t:0 "Насіння величі"
 industrialization_events.8.d:0 "Прийнявши уроки просвітління близько до серця, група дворян-землевласників, почала працювати над підвищенням ефективності сільського господарства. Передові методи застосування машин при посіві насіння, нові культури, нові методи ротації і селекції, дозволили землевласникам з провінції [agricultural_province.GetName] значно збільшити випуск продуктів харчування власного виробництва."
 industrialization_events.8.a:0 "Чудовий приклад для наслідування."
 industrialization_events.9.t:0 "Економічний розвиток"
 industrialization_events.9.d:0 "Використовуючи новітні технологічні інновації в машинобудуванні, місцеві підприємці зуміли істотно підвищити виробництво своєї продукції в провінції [industrialization_province.GetName]. Внаслідок цього багато хто тепер вирушає в провінцію з сільської місцевості, прагнучи знайти нову роботу в зростаючому місті [industrialization_province.GetCapitalName]."
 industrialization_events.9.a:0 "[industrialization_province.GetCapitalName] буде для них чудовим домом."
 industrialization_events.10.t:0 "Зростання текстильної промисловості у провінції [industrialization_province.GetName]"
 industrialization_events.10.d:0 "Завдяки використанню сучасних механізмів і методів праці, місцева текстильна промисловість в провінції [industrialization_province.GetName] перетворилася в набагато більш великий бізнес. Там, де раніше був простий експорт тканин, тепер розташовується процвітаючий сектор з виробництва одягу, значно сприяючи місцевій економіці.\nОднак, не всі задоволені таким розвитком, а ремісники з провінції [old_cloth_province.GetName] звернулися до [old_cloth_province.Owner.GetAdjective]ої влади, щоб боротися з етлй 'низькоякісної продукцією', які, на їхню думку, заполонила ринок."
 industrialization_events.10.a:0 "Час не чекає нікого."
 industrialization_events.11.t:0 "Зростання паперової промисловості"
 industrialization_events.11.d:0 "Протягом деякого часу паперові млини в провінції [industrialization_province.GetName] виробляють папір в невеликих кількостях. Наразі, з появою нових технологій виробництва, виробники паперу розширили своє виробництво, дозволивши місцевій економіці розквітнути. Незабаром папір може стати головним експортом провінції!"
 industrialization_events.11.a:0 "Рукописи не горять."
 industrialization_events.12.t:0 "Зростання скловиробної промисловості у провінції [glass_province.GetName]"
 industrialization_events.12.d:0 "У провінції [glass_province.GetName] завжди вироблялося лісове скло, але з досягненнями в області виробництва скла провінція перетворилася в перспективний центр місцевого бізнесу. При належній підтримці скло може стати основним експортним товаром цього району."
 industrialization_events.12.a:0 "Будьмо!"
 industrialization_events.13.t:0 "Промислова урбанізація"
 industrialization_events.13.d:0 "Зростаюча економіка провінції [urbanization_province.GetName] привертає в провінцію людей зі всієї держави [Root.GovernmentName]. Постійний потік людей залишає сільську місцевість, щоб шукати нові можливості для роботи і нове життя у місті [urbanization_province.GetCapitalName]."
 industrialization_events.13.a:0 "Запрошуються всі і кожен!"
 industrialization_events.14.t:0 "Металургія в провінції [iron_province.GetName]"
 industrialization_events.14.d:0 "Впровадження сучасних промислових відкриттів, наприклад, коксу, парових машин і насосів, внесло значний внесок у розвиток місцевої економіки у провінції [iron_province.GetName]. Місцеві металурги тепер є одними з кращих у регіоні."
 industrialization_events.14.a:0 "Це світанок нової епохи."
 industrialization_events.15.t:0 "Текстильні фабрики провінції [textile_province.GetName]"
 industrialization_events.15.d:0 "Зростаючий попит на текстиль і впровадження нових методів і механізмів дозволили текстильної промисловості у провінції [textile_province.GetName] зростати та процвітати протягом останніх років. Це, в свою чергу, призвело до економічного підйому всього регіону, і багато хто зараз переходять із сільської місцевості на нові фабрики."
 industrialization_events.15.a:0 "Ці ткацькі верстати одягатимуть націю."
 industrialization_events.16.t:0 "Корабельні провінції [ship_province.GetName]"
 industrialization_events.16.d:0 "Нові досягнення в організації праці, а також технічні нововведення призвели до швидкого росту корабелень в провінції [ship_province.GetName]. Кораблі і військово-морські поставки зараз здійснюються більш ефективно, і, в внаслідок загального економічного підйому провінція привертає більше людей для роботи на місцевих корабельнях."
 industrialization_events.16.a:0 "[Root.GetName] править хвилями."
 industrialization_events.17.t:0 "Ворожість до нових методів виробництва"
 industrialization_events.17.d:0 "Зміни в методах виробництва, що призвели до технологічного прогресу, не віталися усіма. Деякі вважають, що їхні засоби існування знаходяться під загрозою через зростання механізації і створюють проблеми у вигляді протестів і саботажу. У провінції [luddite_province.GetName] ситуація переросла в повномасштабне повстання серед ремісників."
 industrialization_events.17.a:0 "Люддіти!"
 industrialization_events.17.b:0 "Нам доведеться вести переговори."
 industrialization_events.18.t:0 "Збіднілі ремісники"
 industrialization_events.18.d:0 "Нові методи виробництва привели до розвитку перспективної текстильної промисловості в нашій країні. Однак це зростання значно зменшило добробут багатьох старих ремісничих родин. Багато з них збідніли та змушені шукати менш вигідну роботу в зростаючій галузі."
 industrialization_events.18.a:0 "Такий природний порядок речей."
 industrialization_events.18.b:0 "Зробимо все можливе, щоб підтримати цих людей."
 industrialization_events.19.t:0 "Поширення хвороби в місті [disease_province.GetCapitalName]"
 industrialization_events.19.d:0 "За останні кілька років місто [disease_province.GetCapitalName] випробувало неймовірні темпи зростання, і колись такі амбітні плани по його облаштуванню виявилися повністю порушені. Багато хто живе в трущобах в умовах антисанітарії. По місту стрімко поширюється хвороба."
 industrialization_events.19.a:0 "Ми повинні щось зробити!"
 industrialization_events.19.b:0 "Ми нічого не можемо зробити."
 industrialization_events.20.t:0 "Нещасний випадок на шахті в провінції [mining_province.GetName]"
 industrialization_events.20.d:0 "New technology has allowed the mines of [mining_province.GetName] to be greatly expanded and they now operate at an efficiency that would have shocked our ancestors.\nThe new machinery is not without its risks, however. An explosion in a local mine has led to a cave-in that trapped many miners as well as causing a major production set back."
 industrialization_events.20.a:0 "Невдало."
 industrialization_events.21.t:0 "Пожежа в місті [fire_province.GetCapitalName]"
 industrialization_events.21.d:0 "A fire that started in a local factory has quickly spread among the cramped houses of [fire_province.GetCapitalName] and devastated the city. Some see this as yet another problem with the growing urbanisation and industrialization of our time."
 industrialization_events.21.a:0 "Власники фабрики повинні допомогти відновити місто."
 industrialization_events.21.b:0 "Ми повинні допомогти цим бідним людям."
 industrialization_events.22.t:0 "Місцеве виробництво зруйновано"
 industrialization_events.22.d:0 "Our policy of extracting raw materials from our far-away provinces to fuel the industrialization in our homeland has resulted in a crushing economic development in the [overseas_production_province.GetAreaName] area. Despite a proud history of [overseas_production_province.GetFancyTradeGood] the region has now been reduced to exporting unrefined products, little more than raw material for others to rework."
 industrialization_events.22.a:0 "Ми повинні підтримати місцевих ремісників."
 industrialization_events.22.b:0 "Це на краще."
 anglican_religion_desc:0 "Англіканізм – це форма протестантизму, в якій глава держави також є Верховним главою Церкви. Теологічно та інституційно, англіканізм зберігає багато елементів католицизму, а також піддається впливу реформатських пуритан і континентальних протестантів."
 anglican:0 "Англіканство"
 divorce_consort_aspect:0 "§YРозлучитися з консортом§!"
 desc_divorce_consort_aspect:0 " Монарх занепокоєний тим, що його дружина не змогла дати йому належного спадкоємця. Вона повинна піти."
 gain_consort_aspect:1 "§YОдружитися з місцевою дворянкою§!"
 desc_gain_consort_aspect:0 "У країні є багато відповідних завидних наречених, готових вийти заміж за нашого монарха. З огляду на нашу нинішню відсутність дружини, ми повинні розглянути цей список претенденток."
 dissolve_monasteries_aspect:0 "§YРозпустити монастирі§!"
 desc_dissolve_monasteries_aspect:0 "Папистське чернецтво є застарілим і єретичним. Ми повинні розпустити більше інших неконформістських релігійних громад, позбавити їх своїх земель та конфіскувати їхні цінності."
 monopoly_aspect:0 "§YНадати монополію§!"
 desc_monopoly_aspect:0 "Монопольні патенти мають бути присуджені лише лояльним і вірним людям, що дотримуються церковної доктрини."
 stability_aspect:0 "§YВізит верховного правителя§!"
 desc_stability_aspect:0 "Подорож по всій країні верховного правителя, який одночасно є главою держави, посилить громадський дух і підтримає відданість."
 anglican_events.1.t:0 "Показ королівського герба"
 anglican_events.1.d:0 "Following the destruction and removal of Papist symbols, Anglican churches were left somewhat bare of decoration. It has been decreed that in place of these blasphemous icons, the Royal Arms of [Root.Monarch.GetName] is to be displayed. The presence of the Royal Arms cements in the public consciousness the reality of the new order; that [Root.Monarch.GetName] is appointed by God not only as [Root.Monarch.GetTitle] of [Country], but also as Supreme Governor of the Church."
 anglican_events.1.a:0 "З гордістю демонструйте королівський герб в кожній церкві."
 anglican_events.2.t:0 "Непокора"
 anglican_events.2.d:0 "Attending Anglican services is mandatory in the [Root.GovernmentName] of $COUNTRY$. Recusancy is punishable by harsh fines. A person found guilty must forfeit all their goods and chattels, their lands, tenements, and hereditaments, and all of their rents and annuities. Enforcement, however, is difficult due to the sheer number of potential recusants, and so we should focus our efforts on the most concerning offenders.\n\nPopery is a particularly heinous crime. As the Pope denies the legitimacy of the [Root.Monarch.GetTitle], so too must faithful Catholics, and thus all Catholics may be considered traitors to the state.\n\nRadical nonconformists such as the Puritans may also be targeted by these laws should they stray too far from the established doctrines of the Church.\n\nThe law enforces the uniformity of religious belief in $COUNTRY$, but it might also be used to discourage factionalism within the court. The mere suggestion of recusancy can destroy one’s reputation at court."
 anglican_events.2.a:0 "Переслідувати католиків."
 anglican_events.2.b:0 "Переслідувати пуритан."
 anglican_events.2.c:0 "Зосередитися на політичних загрозах."
 anglican_events.3.t:0 "Пророцтва та проповіді"
 anglican_events.3.d:1 "The Anglican Church does not require that its clergy devote much time to preaching. A monthly or even quarterly sermon is adequate according to the law, which is usually lifted directly from the Book of Homilies.\n\nMany parishioners desire a more personal and involved approach to religious services, and have taken matters into their own hands by pooling money to pay for educated lecturers to preach in their towns. These lecturers however do not always have the most orthodox of theological views. It is often the case that the most eager to preach are those with the most radical ideas, and so these private sermons have become associated with the Puritan movement.\n\nWhile there are advantages to a more religiously literate populace, cracking down on Puritanism would increase the authority of the Church."
 anglican_events.3.a:0 "Заборонити ці неконформістські проповіді."
 anglican_events.3.b:0 "Хай вони проповідують, як хочуть."
 anglican_events.4.t:0 "Парламентські дебати про доктрину"
 anglican_events.4.d:0 "The [Root.GetAdjective] Parliament is often called upon to debate matters of religion. Typically, the [Root.Monarch.GetTitle] will propose a new wave of reforms for the Anglican Church and the Parliament will take a stance along established factional lines; the Members in the Commons more likely to support radical or even Puritan measures, the Lords temporal more likely to favour a more conservative approach. Rarely does the [Root.Monarch.GetTitle] get their way precisely, and when they do coercive measures are often involved."
 anglican_events.4.a:0 "Pass the reforms exactly as the [Root.Monarch.GetTitle] proposed."
 anglican_events.4.b:0 "Лорди беруть гору."
 anglican_events.4.c:0 "У палати громад є свій шлях."
 anglican_events.5.t:0 "Марпрелатські трактати"
 anglican_events.5.d:1 "Dissatisfied with the conservative establishment of the Anglican Church, a group of Puritans writing under the pseudonym ‘Martin Marprelate’ began publishing a series of scathing pamphlets directed at the Church leadership. The Bishops of $COUNTRY$, according to these writers, are ‘proud, popish, presumptuous, profane, paltry, pestilent and pernicious prelates’ who usurp authority from God.\n\nThese tracts have garnered public attention and risk making a mockery of the Establishment lest something be done about them."
 anglican_events.5.a:0 "Ігнорувати цю нісенітницю."
 anglican_events.5.b:0 "Відповідайте відповідно, це війна памфлетів!"
 anglican_events.5.c:0 "Знайдіть і заарештуйте авторів."
 anglican_events.6.t:0 "Повстання Молитовника"
 anglican_events.6.d:0 "The doctrines of the Anglican Church are contained within the Book of Common Prayer. It is a book that needs periodic revisions to accord with changes in Anglican thought, as it shifts between more radical and more traditional theology. The most recent edition contains material that has greatly angered the people of [prayer_book_province.GetName], many of whom still cling to Catholic dogmas and practices. They have risen up in revolt, demanding that the Book be reverted to its previous edition."
 anglican_events.6.a:0 "Скасувати нове видання та зробити поступки традиціоналістам."
 anglican_events.6.b:0 "Ми не потерпимо папістської зради!"
 anglican_events.7.t:0 "Крипто-католицький державний діяч"
 anglican_events.7.d:0 "The [Root.GetAdjective] Reformation did not sway the hearts and minds of the entire population. Many continue to harbour Catholic sympathies, even among the court. It has been discovered that $STATESMAN$ has been secretly attending a Catholic Mass, a practice strictly forbidden by law. If exposed they stand to lose all of their land and property, and will no longer be eligible for public office."
 anglican_events.7.a:0 "Наразі вони дуже корисні."
 anglican_events.7.b:0 "Ніяких католиків у моєму дворі!"
 anglican_events.7.c:0 "Голову йому геть!"
 anglican_events.8.t:0 "Молитви святим"
 anglican_events.8.d:0 "When $COUNTRY$ broke with Rome, we did away with the superstitious notion that prayers should be directed to the Saints rather than to God himself. As our new theology has no place for the papist concept of Purgatory, there is no need for Saints to intercede on behalf of our souls. Despite this, many people continue the practice of praying to Saints, and many churches give excessive reverence to their patron."
 anglican_events.8.a:0 "Це нешкідливо, ми можемо це дозволити."
 anglican_events.8.b:0 "Необхідно дотримуватись одноманітності"
 anglican_events.9.t:0 "Скасування святкових днів"
 anglican_events.9.d:0 "The Catholic liturgical calendar is filled with feast days that function as public holidays and occasions for celebration. No longer under Papal authority, our own Church must decide how far this practice ought to continue. Those most fervent reformers argue that superfluous holidays encourage sinful temptation and distract from gainful labour. This has been met with broad agreement in terms of theology, but abolishing feast days is likely to upset the populace who do so enjoy the occasional day off."
 anglican_events.9.a:0 "Скасувати більше святкових днів."
 anglican_events.9.b:0 "Дозвольте їм весело провести час."
 anglican_events.10.t:0 "Пуритани вирушають в колонії"
 anglican_events.10.d:0 "The Puritans have for some time criticized the hierarchy and doctrines of the Church of $COUNTRY$. The Reformation has to their eyes merely replaced the Pope with the [Root.Monarch.GetTitle] and they openly denounce the state’s slothful attitude to reform. Theological disputes aside, Puritans have also been persecuted as nonconformists, depending on the leanings of the current [Root.Monarch.GetTitle]. Finally exhausted by the religious affairs of Europe, many Puritans have decided to migrate in the New World. They have organised themselves into a colonial company an requested a charter to establish new settlements in the Americas."
 anglican_events.10.b:1 "Інтегруруйте їх у створену колонію."
 anglican_events.10.a:1 "Хай вони будують своє поселення."
 anglican_events.11.t:0 "Спори щодо вбрання"
 anglican_events.11.d:0 "The matter of clerical vestments remains a contentious issue in the Anglican Church. The extravagant and superstitious rags of the papists are surely to be done away with, but the degree of austerity required of the clergy continues to inflame debate and protest.\n\nConservative Anglicans wish to reinstate some of the elaborate trappings of the old Catholic priesthood, while moderates argue that a simple surplice is sufficient. Radical reformers insist that vestments are not merely lacking scriptural support, but deface and corrupt the ordinances which God has instituted."
 anglican_events.11.a:0 "Дозволити традиційне вбрання."
 anglican_events.11.b:0 "Тільки стихарі."
 anglican_events.11.c:0 "Скасувати все вбрання."
 anglican_events.12.t:0 "Биття вівтарів"
 anglican_events.12.d:0 "The early years of the English Reformation are a time of fervent iconoclasm. Any adornment or relic that even suggests Papism, the existence of Purgatory, or the divinity of saints is being ruthlessly stripped from the churches. Anything that could lead the laity astray must be destroyed; altars are smashed, paintings painted over, shrines ruined.\n\nA perpetual issue for the new Anglican Church is the matter of how far this iconoclasm should be taken. Some more radical reformers push for an end to roods, candlesticks, and crucifixes, while others seek the restoration of some of the more harmless ornaments."
 anglican_events.12.a:0 "Розбийте вівтарі та арештуйте протестуючих папістів!!"
 anglican_events.12.b:0 "Знищіть лише те, що безперечно є папістське."
 anglican_events.12.c:0 "Покладіть край цьому іконоборству."
 anglican_events.13.t:0 "Католицькі підбурювачі"
 anglican_events.13.d:0 "Though $COUNTRY$ has formally split from the Rome, the Pope continues to meddle in our affairs by orchestrating plots against [Root.Monarch.GetName]. Jesuits and priests number among his agents, sheltered by traitorous recusants.\n\nThese crypto-Catholics employ cunning methods of hiding Papist agents from the law, deviously building secret areas behind walls, under the floorboards, and even in concealed underground passageways. Hiding in these 'priest holes' can injure or even suffocate their occupants, so they are at least unlikely to be able to make a quick escape once located."
 anglican_events.13.a:0 "Провести національне полювання за священиками. Шукати в кожному будинку!"
 anglican_events.13.b:0 "Дізнайтеся, звідки вони."
 anglican_events.14.t:0 "Церква держави $COUNTRY$"
 anglican_events.14.d:0 "As the Protestant Reformation radically shifts the religious landscape of Europe, $COUNTRY$ must take a firm stance on its faith. This has of course provoked much discussion in court, with some favouring the Protestant cause and others defending the traditional religion.\n\n[Root.Monarch.GetTitle] [Root.Monarch.GetName], however, has a novel idea for the creation of a different sort of Church. A Church with the [Root.Monarch.GetTitle] as its Supreme Governor, a happy union of Church and state. Neither Protestant, Catholic, nor Reformed, it would take a flexible approach to doctrine as fits the circumstance.\n\nSuch a Church would have its advantages. No longer subject to any higher ecclesiastical authority, the [Root.Monarch.GetTitle] could marry and divorce at will, determine the nation’s theological direction, and have the assurance that they are appointed to rule directly by God."
 anglican_events.14.a:0 "Заснувати нову державну церкву"
 anglican_events.14.b:0 "Євангелізувати нову Церкву в світі!"
 anglican_events.14.c:0 "Це звучить недостатньо переконливо для заснування нової релігії."
 anglican_events.14.c.tt:0 "Іншої можливості навернутися в англіканство не буде."
 anglican_events.15.t:0 "Нонконформістський монарх"
 anglican_events.15.d:0 "[Root.Monarch.GetName] has landed in the unenviable position of being both a religious nonconformist and the Supreme Governor of the Church of $COUNTRY$. The Anglicans of $COUNTRY$ struggle to tolerate this state of affairs, and the legitimacy of the Church is dramatically weakened."
 anglican_events.15.a:0 "Це будуть важкі зміни."
 anglican_events.15.b:0 "Монарх повинен бути англіканським."
 angry_nonconformists:0 "Нонконформісти обурені"
 desc_angry_nonconformists:0 "Держава змусила монарха навернутися в англіканську віру, що дуже розгнівало християн-нонконформістів у нашій країні."
 political_recusancy:0 "Політизований нонконформізм"
 desc_political_recusancy:0 "Ми використовуємо закони нонконформізму, щоби протидіяти політичним загрозам у країні."
 commons_decide_doctrine:0 "Палата громад обирає доктрини"
 desc_commons_decide_doctrine:0 "Палата громад має надмірний вплив на доктринальні питання в державній Церкві."
 prayer_book_rebels_appeased:0 "Відновлено текст молитовника на догоду заколотникам"
 desc_prayer_book_rebels_appeased:0 "Ми скасовуємо зміни в Загальному Молитовнику, щоб вгамувати народне повстання проти реформ."
 prayers_to_saints_allowed:0 "Молитися святим дозволено"
 desc_prayers_to_saints_allowed:0 "Незважаючи на богословські проблеми, пов'язані з практикою, ми дозволяємо людям звертатися з молитвами до святих."
 prayers_to_saints_banned:0 "Молитися святим заборонено"
 desc_prayers_to_saints_banned:0 "Відповідно до англіканської доктрини, молитва святим, а не безпосередньо Богу, вважається єретичною."
 feast_days_abolished:0 "Святкові дні скасовано"
 desc_feast_days_abolished:0 "Надлишкові релігійні свята було скасовано."
 anglican_feast_days:0 "Святкові дні відновлено"
 desc_anglican_feast_days:0 "Ми відновили деякі старі літургійні святкові дні, давши нашим громадянам кілька так необхідних вихідних."
 puritan_colonists:0 "Пуританські колоністи"
 desc_puritan_colonists:0 "Пуритани стікаються в наші колонії на американському континенті, втративши власні поселення."
 puritan_settlement:0 "Пуританське поселення"
 desc_puritan_settlement:0 "У цьому поселенні мешкають пуритани, які бажають створити свої релігійні громади."
 anglican_iconoclasm:0 "Англіканське іконоборство"
 desc_anglican_iconoclasm:0 "Люди із захопленням руйнують папістські ікони по всій країні."
 priest_hunters:0 "Полювання на священиків"
 desc_priest_hunters:0 "Католицькі підбурювачі в нашій країні є постійною загрозою. Ми розгорнули заходи в загальнонаціональному масштабі по розшуку збіглих католицьких священиків."
 anglican_evangelism:0 "Англіканський євангелізм"
 desc_anglican_evangelism:0 "Ми маємо намір поширити англіканську віру за межами наших кордонів. Позаяк це державна церква, це завдало шкоди нашій міжнародній репутації."
 anglican_evangelism_opinion:0 "Англіканський євангелізм"
