l_ukrainian:
 # New Manchu culture
 manchu_new:0 "Maньчжуpcьк"
 mch_eight_banners_desc:0 "Традиційні чжурчженьські мисливські загони добре послужили нам в конфліктах з нашими суперниками, але якщо ми коли-небудь захочемо завоювати імперію, ми повинні реорганізувати наші сили в дисципліновані полки-корогви."
 mch_invade_joseon_title:0 "Вторгнення до Чосону"
 mch_invade_joseon_desc:0 "Корейська династія Чосон з гордістю вважає себе підпорядкованою лише імператору в Пекіні. Слід змусити їх визнати нового володаря."
 mch_khan_of_the_mongols_title:0 "Підкорити монголів"
 mch_khan_of_the_mongols_desc:0 "Для досягнення наших імперських цілей нам необхідно створити армію; східні монголи – вправні воїни, і вони прекрасно доповнять наші війська. Однак вони навряд чи підкоряться нашому правлінню без демонстрації сили."
 mch_mandate_of_heaven_title:0 "Небесний мандат"
 mch_mandate_of_heaven_desc:0 "Оскільки Пекін перебуває під нашим контролем, настав час висунути претензії на Небесний мандат. Ми проголосимо в Китаї нову династію, яка проіснує тисячу років!"
 mch_green_standard_army_title:0 "Армія Зеленого штандарта"
 mch_green_standard_army_desc:0 "Китайські армії перебувають у занепокоєнні, їхні генерали швидко втрачають довіру до своїх господарів. Якщо ми зможемо контролювати достатню частину Північного Китаю, ці генерали можуть вирішити перебігти до нас, замість служити приреченому імператорові."
 mch_devastate_china_title:0 "Спустошити Метрополіс"
 mch_devastate_china_desc:0 "Багато китайських міст відмовляються здаватися нашим арміям, чим змушують нас до тривалих облог, які сповільнюють нашу кампанію. Ми повинні зразково покарати одне з найбільших міст Китаю, щоби показати всім наслідки опору."
 mch_extinguish_ming_title:0 "Викоренити Мін"
 mch_extinguish_ming_desc:0 "До тих пір, поки існує бодай-який бастіон лоялізму династії Мін, наше правління над Китаєм ніколи не буде по-справжньому безпечним. Ми повинні ліквідувати Мін повністю."
 extinguish_ming_tt:0 "Держава §Y[Root.GetName]§! вважатиме національними всі неналежні їм провінції на §Yкитайському§! субконтиненті"
 mch_ten_great_campaigns_title:0 "Десять великих кампаній"
 mch_ten_great_campaigns_desc:0 "Ми хочемо перевершити досягнення всіх династій минулого. Межі Цін повинні простягнутися до Внутрішньої Азії та на Південь, ми повинні правити народами, які ніколи раніше не підпорядковувалися Пекіну."
 mch_confucian_administration_title:0 "Конфуціанська адміністрація"
 mch_confucian_administration_desc:0 "Імперською бюрократією століттями керували конфуціанські вчені еліти. Ми просто не можемо керувати Китаєм без їхньої згоди. Ми повинні відновити та реорганізувати бюрократію."
 mch_reform_the_censorate_title:0 "Реформуйте Цензорат"
 mch_reform_the_censorate_desc:0 "Корупція була звичним явищем протягом останніх років правління династії Мін. Цензорат Цін повинен бути очима і вухами Імператора, шукати корупцію по всьому Китаю та викривати нечесних чиновників."
 mch_establish_tributaries_title:0 "Призначити данників"
 mch_establish_tributaries_desc:0 "Ми витіснили Мін, тому народи світу повинні визнати нас своїми новими володарями. Відновлення імперських данників буде складним завданням, і деякі можуть легковажно занадто зачароватися своєю новознайденою незалежністю, щоби підкоритися без спротиву."
 mch_harmonious_empire_title:0 "Гармонійна імперія"
 mch_harmonious_empire_desc:0 "Китай повинен бути повністю об'єднаний під владою Цін. Його народ повинен гармонійно працювати під нашим мудрим правлінням, вільним від чвар між народами та релігіями."
 mch_library_of_the_four_treasuries_title:0 "Бібліотека чотирьох скарбниць"
 mch_library_of_the_four_treasuries_desc:0 "Прийшов час укласти повну історію Китаю, зібравши книги з усієї країни, для копіювання їх до наших нових бібліотек. Це також дасть можливість піддати цензурі книги, що містять ідеї, котрі можуть порушити гармонію маньчжурського правління."
 mch_three_feudatories_title:0 "Три феодаторії"
 mch_three_feudatories_desc:0 "Із просуванням нашої кампанія далі на південь Китаю, ми повинні обміркувати, чи не буде легше, принаймні в короткостроковій перспективі, делегувати владу в цьому регіоні губернаторам династії Мін, які перейшли на бік Цін. Ми повинні знайти спосіб використати ситуацію на півдні."
 mch_revoke_the_feudatories_title:0 "Скасувати феодаторії"
 mch_revoke_the_feudatories_desc:0 "Регіональним губернаторам на півдні не можна по-справжньому довіряти, ще й наші шпигуни повідомляють, що вони таємно змовляються повалити нашу династію. Ми повинні скасувати привілеї, які ми надали їм з міркувань прагматизму, й управляти Південним Китаєм безпосередньо."
 mch_annex_tibet_title:0 "Анексувати Тибет"
 mch_annex_tibet_desc:0 "Наші старі суперники зі степу, чиї лорди повинні прийняти наше панування, влаштувалися в Тибеті. Прийшов час інтегрувати Тибет до Піднебесної."
 mch_secure_inner_asia_title:0 "Здобути внутрішню Азію"
 mch_secure_inner_asia_desc:0 "Внутрішня Азія була постійним джерелом небезпеки та занепокоєння для правителів Китаю. Хоча в минулому було спрямовано експедиції для умиротворення регіону, Китай ніколи по-справжньому не керував цим регіоном. Це повинно змінитися."
 mch_integrate_taiwan_title:0 "Інтегрувати Тайвань"
 mch_integrate_taiwan_desc:0 "Лоялісти Мін, пірати та європейські опортуністи рояться над узбережжям Тайваню. Острів ніколи не було інтегровано до Китаю, і більшість вважає його дикою глушиною. Але ми більше не можемо заперечувати його стратегічне значення в руках наших ворогів."
 mch_burma_campaign_title:0 "Бірманська кампанія"
 mch_burma_campaign_desc:0 "Ще більше прихильників династії Мін втекло до пагорбів Бірми в пошуках притулку серед вождів Шан та Бамар. Ми повинні показати їм, що від справжніх володарів Мандата не сховатися."
 mch_subjugate_dai_viet_title:0 "Підпорядкувати Дай В'єт"
 mch_subjugate_dai_viet_desc:0 "Володарі Дай В'єта вважають себе імператорами, на кшталт китайських, і навіть наслідують конфуціанську бюрократію. Попри всі їхні облуди, вони ніщо інше, як самозванці, їх потрібно змусити підкоритися істинному Імператорові."
 devastate_china_tooltip2:0 "Володійте будь-якою провінцією в §YПівденному Китаї§! або регіоні §YСінань§! з розвитком не менше §Y25§!"
 # Manchu mission modifiers
 mch_mountain_title:0 "Святині біля гори"
 mch_mountain_desc:0 "Гора Букарі, яку корейці також називають Пекту, є місцем священного першоджерела для нашого народу. Згідно з легендою, небесна діва, що жила біля гірського озера, завагітніла від фрукта, скинутого сорокою. Її син став першим вождем чжурчженів. Ми повинні вшанувати наших предків, збудувавши храми навколо Гори."
 breached_great_wall:0 "Пролом у Великому мурі"
 desc_breached_great_wall:0 "Наші армії зробили пролом у Великому мурі, що дозволило вільно пересуватися між нашими та ворожими володіннями."
 mch_treason_modifier:0 "Зрада на Великому мурі"
 desc_mch_treason_modifier:0 "Полководець, якому було доручено захищати Великий мур від північних варварів, ганебно відмовився від своєї посади, дозволивши ордам дикунів безчинствувати в Китаї."
 mukden_palace_modifier:0 "Мукденський палац"
 desc_mukden_palace_modifier:0 "Мукденський палац є свідченням наших імперських амбіцій. Ми правитимемо в китайському стилі, але не забудемо наших маньчжурських шляхів."
 mukden_palace_modifier_fallback:0 "Мукденський палац"
 desc_mukden_palace_modifier_fallback:0 "Мукденський палац є свідченням наших імперських амбіцій. Ми правитимемо в китайському стилі, але не забудемо наших маньчжурських шляхів."
 terrified_china:0 "Жорстокий приклад"
 desc_terrified_china:0 "Ми безжально розграбували одне з найбільших міст Китаю. Казки про цю страшну руїну поширюють розпач серед лав наших ворогів. Тільки по-справжньому божевільні не здадуться прямо зараз."
 confucian_administration:0 "Конфуціанська адміністрація"
 desc_confucian_administration:0 "Ми прийняли конфуціанський стиль бюрократії, за якого китайських чиновників вибирають шляхом ретельного вивчення класичних видань з керування імперією."
 confucian_administration_fallback:0 "Конфуціанська адміністрація"
 desc_confucian_administration_fallback:0 "Ми прийняли конфуціанський стиль бюрократії, за якого китайських чиновників вибирають шляхом ретельного вивчення класичних видань з керування імперією."
 qing_censorate:0 "Цензорат династії Цін"
 desc_qing_censorate:0 "Ми вирішили, що Цензорат Цін буде справедливішим і ретельнішим, ніж відповідна установа переможеної династії Мін."
 the_sacred_edict:0 "Священний Едикт"
 desc_the_sacred_edict:0 "Імператор бажає стабільного і гармонійного Китаю, об'єднаного за конфуціанськими принципами. Двічі щомісяця в кожному селі шістнадцять сентенцій конфуціанської моралі повинні читатися місцевою мовою населення."
 mch_sacred_mountain:0 "Святині Священної гори"
 desc_mch_sacred_mountain:0 "Ми звели храми на горі Букарі – священному місці, де зародився чжурчженьський народ."
 mch_korean_subjugation:0 "Підкорення Кореї"
 desc_mch_korean_subjugation:0 "Ми нарешті підкорили королівство Чосон і корейський народ."
 library_of_the_four_treasuries:0 "Бібліотека чотирьох скарбниць"
 desc_library_of_the_four_treasuries:1 "Усю історію Китаю зібрано в наших архівах, і будь-які матеріали, ворожі Цін, вилучено з метою уникнення розповсюдження розбрату."
 inner_asian_trade:0 "Торгівля у Внутрішній Азії"
 desc_inner_asian_trade:0 "Після того, як Внутрішню Азію було нарешті підкорено, торгівля в регіоні може знову процвітати."
 mch_combat_modifier:0 "Полювання на корогви"
 desc_mch_combat_modifier:1 "Відправка мисливських загонів, організованих навколо 'корогв' – чудова практика для бойової тактики чжурчженів."
 # Tungning tag
 FRM:0 "Дуннін"
 FRM_ADJ:0 "Дуннінськ"
 # Manchu mission events
 mch_missions.1.t:0 "Зрада на Великому мурі"
 mch_missions.1.d:0 "Мало хто зараз вірить в державу Мін. Навіть її генерали вголос задаються питанням, – Можливо було б розсудливо відступити перед [Root.GetAdjective]им вторгненням? Людина, якій доручено захищати Шанхайський перевал – У Саньґуй – талановитий і амбіційний командир, який до цього стикався з [Root.Culture.GetName]ими арміями в бою. Останні події в столиці та за її межами похитнули його відданість [MNG.Monarch.GetTitleOMU] династії Мін, він укладає несподіваний союз зі своїми колишніми ворогами. В обмін на обіцянки титулів і посад за нового порядку, У Саньґуй погодився зрадити [Root.GetTagOGO]. Ми можемо безпечно пройти через Шанхайський перевал і далі, до ослабленого Пекіна."
 mch_missions.1.d2:0 "У Саньґуй, колишній генерал династії Мін, старанно охороняє Шанхайський перевал, попри крах самої держави. І [Root.Monarch.GetName], і [726.Owner.Monarch.GetTitleKHTO] [726.Owner.GetTagOGO] все частіше направляють відчайдушних послання, намагаючись переконати У та його армію прийняти чиюсь сторону в цій війні.\n\n[726.Owner.Monarch.GetTitle] вда[726.Owner.Monarch.GetMEndVSia] до боягузливого акту примусу, погрожуючи життю батька У Саньґуя, якщо той не присягне [726.Owner.GetTagOMU]. Замість того, щоби підкоритися претендентам з [726.Owner.GetTagOGO], У розлютився й присягнув на вірність [Root.GetTagOMU]. Браму Шанхайського перевалу відкрито. Нам віддано наказ йти на Пекін."
 mch_missions.1.a:0 "У зробив розумний вибір."
 mch_missions.3.t:0 "Армія Зеленого штандарта"
 mch_missions.3.d:0 "Дезертирство і втеча широко поширені в Китаї. Зрозуміло, що Мін втратили свій священний мандат, і що на зміну їм приходить нова сила. Тисячі низькооплачуваних і незадоволених солдатів династії Мін принесли клятву вірності [Root.GetTagOMU] в надії, що ми зможемо принести мир, стабільність і, в кінцевому підсумку, процвітання. Ми об'єднали цих перебіжчиків в армію Зеленого штандарта й очікуємо, що вони стануть експертами в боротьбі проти своїх колишніх земляків."
 mch_missions.3.a:0 "Вони лише здобули від служби під нашим проводом."
 mch_missions.4.d:0 "Перед неминучим крахом нашої держави, дезертири стрімко переходять на сторону наших [From.GetAdjective]их ворогів. Вони об'єднали цих дезертирів в армію Зеленого штандарта, і ми очікуємо найближчим часом зустрітися з ними на полі бою."
 mch_missions.4.a:0 "Зрадники!"
 mch_missions.5.t:0 "Коксінґа втікає на Тайвань"
 mch_missions.5.d:0 "Під час розпаду нашої країни ми втратили більшість наших портів і, таким чином, контролюємо те, що залишилося від нашого флоту. Генерал, відомий як Коксінґа, заявляючи, що він прихильник династії Мін, захопив кілька кораблів і втік на Тайвань. Уряд Мін історично не проявляв великого інтересу до острова, вважаючи його більшою мірою незначною глушиною. Однак Коксінґа бачить в острові потенціал і прагне використовувати його як базу, з якої він в кінцевому підсумку захопить материк."
 mch_missions.5.a:0 "Боягуз!"
 # Ming disaster
 ming_crisis:0 "Криза династії Мін"
 ming_crisis_desc:0 "Династія Мін розвалюється через внутрішні чвари. Вони ризикують втратити мандат."
 ming_crisis.1.t:0 "Криза династії Мін"
 ming_crisis.1.d:0 "Велика імперія Мін переживає жахливу кризу. Династія [Root.Monarch.Dynasty.GetName] не змогла правити відповідно з Небесним Мандатом і втратила благословення і славу, що забезпечив їм Мандат. Безгосподарність і чвари панують у Китаї, а серед населення швидко поширюється невдоволення; вже повстали великі маси. Нам слід думати про наших предків і прагнути розвивати доброчесність, оскільки Небесний Мандат нелегко зберегти."
 ming_crisis.1.a:0 "Ми втримаємо Мандат."
 ming_crisis.2.t:0 "Мандат відновлено"
 ming_crisis.2.d:0 "Ми відновили довіру людей; не залишилося нікого, хто сумнівався б в нашому праві володіти Небесним мандатом. Нам слід подумати над вчинками, які привели нас до кризи, і прислухатися до порад мудрих дідів, щоб уникнути повторення своїх помилок."
 ming_crisis.2.a:0 "Ніхто не буде допитувати нас знову."
 ming_crisis.3.t:0 "Повстання Лі Цзичена і династія Шунь"
 ming_crisis.3.d:0 "Ми втратили контроль над північчю. Селянський воєначальник Лі Цзичен зібрав велику кількість повстанців і бандитів під своїм командуванням і захопив контроль над загрозливо великою частиною Імперії. Лі оголосив себе імператором і претендує на Небесний Мандат. У прокламації зі своєї столиці Лі оголосив про початок династії Шунь і обіцяв відновити традиційні ритуали та звичаї згідно з волею Небес."
 ming_crisis.3.a:0 "Вбийте цього повстанця!"
 ming_crisis.3.b:0 "Мені б дуже хотілося бути в [CSH.GetName] прямо зараз..."
 ming_crisis.4.t:0 "Протекторат Юньнань"
 ming_crisis.4.d:1 "Завжди було важко управляти різнорідними народами південно-західних провінцій, а тим більше зараз, коли нас наздогнала криза. [CDL.Monarch.GetName] об'єдна[CDL.Monarch.GetMEndVLa] розрізнених повстанців під своїм командуванням і вимагає, щоб [Root.GetAdjective]а держава визнала [From.Monarch.GetHerHis] захисником Юньнаня. Ми ризикуємо повністю втратити контроль над регіоном, якщо не почнемо рішучі дії."
 ming_crisis.4.a:0 "Створити протекторат"
 ming_crisis.4.b:1 "Велику [Root.GetAdjective]у імперію не буде розділено!"
 ming_crisis.4.c:0 "[CDL.GetName], мабуть, виглядає чудово в цей час..."
 ming_crisis.5.t:0 "Втрата контролю над Півднем"
 ming_crisis.5.d:1 "Південний Китай знаходиться в хаосі. Натовпи повстанців і бандитів спустошують місцевість і навіть контролюють декілька міст, які мають життєво важливе значення для держави. Оскільки [Root.GetAdjective]а держава не впоралась з цією кризою, місцеві губернатори взяли справи у свої руки. Вони зібрали армії для боротьби з повстанцями, і тепер відмовляються приймати накази від наших генералів. Наші посланці повідомляють, що вони мають намір продовжувати керувати своїми феодальними державами навіть після закінчення кризи. Дозвіл автономного управління своєю територією створить небезпечний прецедент, але ми навряд чи в змозі кинути виклик цим лордам."
 ming_crisis.5.a:0 "Дозволити губернаторам управляти самостійно."
 ming_crisis.5.b:1 "Велику імперію [Root.GetName] не буде розділено!"
 ming_crisis.5.c:0 "[YUE.GetName] - відмінне місце для життя..."
 ming_crisis.5.e:0 "Думаю, почну нове життя в [WUU.GetName]..."
 ming_crisis.6.t:0 "Повстання китайських селян в області [ming_disaster_rebel_province.GetAreaName]"
 ming_crisis.6.d:1 "Селяни з області [ming_disaster_rebel_province.GetAreaName] підняли заколот після десятиліть безгосподарності та нехтування [Root.GetAdjective]ою державою. Якщо їх заколот пошириться занадто далеко, це може спричинити ще більшу кризу, тому ми повинні або негайно розв'язати їхні проблеми, або негайно зіткнутися з ними в бою."
 ming_crisis.6.a:0 "Це повстання буде придушене."
 ming_crisis.6.b:0 "Поступитися їхнім вимогам."
 # Mongol Missions
 mongols_restore_the_khanate_title:0 "Претензії на ханство"
 mongols_restore_the_khanate_desc:0 "Ми маємо відновити монгольське ханство у старій столиці – Каракорумі. Звідти ми скличемо курултай і вимагатимемо, щоб усі племена визнали нашу владу."
 mongols_unite_the_mongols_title:0 "Об'єднати монголів"
 mongols_unite_the_mongols_desc:0 "За Чингісхана монгольський народ був об'єднаний в єдину орду під єдиним правителем. Ми повинні зібрати послідовників Великого хана з усіх племен і відновити спільну монгольську ідентичність."
 mongols_restore_yuan_title:0 "Відновити Велику Юань"
 mongols_restore_yuan_desc:0 "Нас вигнав з Китаю бунтівній Мін і ми втратили Небесний мандат. Потрібно відновити імперію Хубілай-хана й повернути мандат!"
 mongols_reconquer_china_title:0 "Відновити панування над Китаєм"
 mongols_reconquer_china_desc:0 "За династії Юань монголи правили всім Китаєм. Ми маємо прагнути до тієї ж мети."
 mongols_subjugate_korea_title:0 "Підкорити Корею"
 mongols_subjugate_korea_desc:0 "Мунке Хан змусив корейців підкоритися монгольській владі. З тих пір вони перестали схилятися перед нами, тож потрібно їм нагадати хто справжній господар."
 mongols_invade_japan_title:0 "Знищити сьоґунат"
 mongols_invade_japan_desc:0 "Навіть великим полководцям старого ханства не вдалося підкорити Японію. Коли наш флот відпливе із заходу, жоден божественний вітер не стане на заваді нашій долі!"
 mongols_annex_tibet_title:0 "Анексувати Тибет"
 mongols_annex_tibet_desc:0 "Багато монголів почали переймати тибетську буддійську віру. Ми повинні завоювати Тибет, щоби переконатися, що ця віра перебуває під надійним контролем ханства."
 oir_tumu_crisis_title:0 "Тумуська катастрофа"
 oir_tumu_crisis_desc:0 "Мін слабка і вразлива для вторгнення. Ми повинні зібрати наші армії та перемогти їх на полі бою, перш ніж вони встигнуть належним чином організувати свої сили."
 mongols_central_asia_title:0 "Відновити владу над степами"
 mongols_central_asia_desc:0 "Степи вийшли з підконтролю після розпаду монгольського ханства. Ми повинні підкорити їхній народ нашій владі та відновити порядок."
 mongols_persia_title:0 "Відновити Ільханат"
 mongols_persia_desc:0 "Прийшов час підкорити Персію, як це зробив наш великий предок у давні часи. Але хто нею керуватиме, коли битву буде виграно?"
 mongols_anatolia_title:0 "Вторгнення в Сирію та Анатолію"
 mongols_anatolia_desc:0 "Ми повинні продовжувати нашу кампанію на захід, здійснюючи набіги на Сирію і Анатолію. Ми не можемо дозволити туркам протистояти нашій владі!"
 mongols_religion_mission_title:0 "Захист віри"
 mongols_religion_mission_desc:0 "Незалежно від того, приймемо ми нову віру чи зміцнимо наші давні традиції, монгольський народ має досягти релігійної гармонії."
 mongols_tatars_title:0 "Підкорити татар"
 mongols_tatars_desc:0 "Очевидно, що було помилкою дозволити так званій Золотій Орді правити самостійно. Розгромивши їхнє ханство, нам належить об'єднати татар і поставити їх на місце."
 mongols_yam_title:0 "Відновити Ям"
 mongols_yam_desc:0 "Чингісхан створив систему дорожніх станцій, мереж постачання та збору розвідувальної інформації, яку використовували в усій Монгольській імперії для полегшення тягаря управління державою, що охоплює тисячі миль. Ми повинні відновити Ям, щоби наші війська та посланці могли ефективно пересуватися державою."
 mongols_pax_mongolica_title:0 "Pax Mongolica"
 mongols_pax_mongolica_desc:0 "Кажуть, що за часів правління великих ханів минулого, будь-яка жінка могла без страху подорожувати з одного кінця імперії в інший із золотим самородком на голові. Ми відновимо цей мир на наших землях."
 mongols_russia_title:0 "Зруйнувати Русь"
 mongols_russia_desc:0 "Русь кинула нам виклик, коли ми вперше вимагали їхньої покори. Сподіваємося, що вони засвоїли урок після спустошення, якого ми завдали їхнім землям, інакше ми будемо змушені повторити насильства минулого."
 tumu_crisis_complete_tt:0 "Примусили §YМін§! здатися під час §YТумуської катастрофи§! або володіють §YПекіном§! і вважають його національною провінцією."
 # Mongol Mission Modifiers
 tibetan_missionaries:0 "Тибетські ченці"
 desc_tibetan_missionaries:0 "Ми відправили ченців з Тибету поширювати буддистську віру в наших землях."
 mongol_rule_tibet:0 "Завоювання Тибету"
 desc_mongol_rule_tibet:0 "Ми відхилили пропозицію Далай-лами і вирішили правити Тибетом силою."
 mongol_religion_unity:0 "Єдина віра"
 desc_mongol_religion_unity:0 "Монгольський народ подолав свої релігійні відмінності."
 mongol_fleet_modifier:0 "Побудова монгольського флоту"
 desc_mongol_fleet_modifier:0 "Цього разу жоден божественний вітер не завадить нашим планам. Сьоґунат має впасти!"
 mongol_defeated_japan:0 "Знищення сьоґунату"
 desc_mongol_defeated_japan:0 "Ми розграбували Кіото, опору сьоґунату, домігшись того, чого так і не змогли наші предки."
 pax_mongolica:0 "Pax Mongolica"
 desc_pax_mongolica:0 "Жінка може йти з одного кінця імперії до іншого із золотим самородком на голові та бути впевненою, що вона подорожує в безпеці."
 mongol_european_conquest:0 "Вторгнення в Європу"
 desc_mongol_european_conquest:0 "Після перемоги над Руссю відкривається шлях до Європи. Вони знову пізнають жах перед монгольськими ордами!"
 mongol_kurultai:0 "Щорічний курултай"
 desc_mongol_kurultai:0 "Тут щорічно проводиться великий курултай, де всі племена мають заявити про свою вірність нашому ханові."
 mongol_kurultai_tooltip:0 "Провінція §YКаракорум§! отримує модифікатор §YЩорічний курултай§!."
 reorganized_mongols:0 "Реорганізація монгольських племен"
 desc_reorganized_mongols:0 "Ми організували монгольські племена в окремі одиниці з чітко визначеними територіальними межами. Незважаючи на наші розбіжності, чварам прийшов кінець."
 genghis_khan_reborn:0 "Відродження Чингісхана"
 desc_genghis_khan_reborn:0 "Далай-лама проголосив, що наш правитель – відроджений Чингісхан."
 # Mongol Mission Events
 mch_missions.6.t:1 "[Root.Monarch.GetTitle] і Далай-лама"
 mch_missions.6.d:1 "[Root.Monarch.GetName], хан монголів, скептично оцінював значення зустрічі з кволим, лисим ченцем. Без сумніву, Далай-лама просто хапається за останні уламки своєї втраченої сили. Тепер, коли Тибет перебуває під [Root.GetAdjective]ою владою, не було реальної потреби вести переговори зі старим порядком. Одначе, багато монгольських вождів прийняли буддійську віру і зверталися до Лами за духовним проводом, і тому [Root.Monarch.GetTitleKHTO] мав це зробити. \n\nНа превеликий подив [Root.Monarch.GetTitleOGO], далай-лама зробив по-справжньому цікаву пропозицію. Якщо ми проголосимо тибетський буддизм новою вірою всього монгольського народу, далай-лама у свою чергу оголосить світові, що [Root.Monarch.GetName] – відроджений Чингісхан. Це дало б [Root.Monarch.GetTitleOMU] величезну легітимність. Щоправда, не всі охоче приймуть цю нову віру."
 mch_missions.6.a:0 "Співпрацювати з далай-ламою."
 mch_missions.6.b:0 "Ми не слухатимемо ці забобонні нісенітниці."
 mongol_tibetan_rulership_tt:1 "Усі підконтрольні нам провінції в регіоні §YТибет§! з релігією §YВаджраяна§! отримають модифікатор §YЗавоювання Тибету§! на наступні §Y20 років§!, що надасть такі ефекти:\nЗміна місцевої автономії: §G-0.05§!\nМісцеві заворушення: §G-3§!"
 mch_missions.7.t:0 "Возз'єднання монголів"
 mch_missions.7.d:0 "З часів падіння великої Монгольської імперії було багато спроб возз'єднати монгольський народ. І нікому це не вдалося більш ніж на короткий проміжок часу. Як і багато хто до нас, ми зібрали орду з воїнів і вождів всіх племен, але ця єдність, скоріш за все, буде тимчасовою, якщо ми не прагнутимемо більшого. Ми можемо, як це зробив Чингісхан, проголосити, що всі монголи – це один народ, а всіляке розділення між ними застаріле. Як альтернатива ми могли б реорганізувати племена, визнавши їхню самобутність, але при цьому чітко визначити їхні права і території."
 mch_missions.7.a:0 "Ми всі монголи."
 mch_missions.7.b:0 "Племена мають бути реорганізовані."
 unite_mongol_culture_tt:1 "Усі підконтрольні провінції з §Yкорчинською§!, §Yхалхаською§!, або §Yойратською§! культурами змінять її на §Yмонгольську§!"
 # Wokou Pirates
 SOO:0 "Со"
 SOO_ADJ:0 "Сойськ"
 pirates.21.t:0 "Повернення ери вако"
 pirates.21.d:0 "Після вторгнення Кореї в Цусіму в 1419 році клан Со підписав Договір Какіцу, відповідно до якого торгівля з Кореєю була узаконена в обмін на припинення піратства. Контролюючи японсько-корейську торгівлю, клан Со отримував нечувані прибутки та став вельми шанованим в Сьогунаті, а його представники широко відомими, як фахівці в області корейської дипломатії.\n\nЗ ослабленням сьогунату деякі зараз деякі припускають, що клану слід повернутися до старої традиції піратства. Вождь новопосталих піратів стверджує, що є реінкарнацією легендарного пірата Акібацу Мацури, який привів флот з 500 кораблів, щоб зробити набіг на узбережжя Кореї."
 pirates.21.a:0 "Піратське життя для мене!"
 pirates.21.b:0 "Ми – торговці та дипломати, а не пірати."
 SOO_ideas:0 "Ідеї Со"
 SOO_ideas_start:0 "Традиції Со"
 SOO_ideas_bonus:0 "Амбіції Со"
 soo_wakan:0 "Вакан"
 soo_wakan_desc:0 "Вакан – японські поселення в найпівденнішій частині Корейського півострова, є єдиною офіційною брамою, визнаною урядом. Якщо нам вдасться її контролювати, захистивши переселенців, ми можемо монополізувати корейську торгівлю."
 soo_tradition_of_wakou:0 "Традиції вако"
 soo_tradition_of_wakou_desc:0 "Хоч ми й цінуємо законну і мирну торгівлю, дозволену офіційно, нам необхідно підготуватися й до гіршої ситуації з озброєними сутичками. На щастя, наші піратські традиції можуть допомогти нам розв'язати цю проблему силою."
 soo_fight_for_tsushima:0 "Битва за Цусіму"
 soo_fight_for_tsushima_desc:0 "Положення між Азійським континентом і Японськими островами, визначальне для нашої батьківщини Цусіми та її морської зони, як місця жорстоких битв і міждержавних конфронтацій. Нехай будуть сильними наші флоти, щоби ми могли не тільки захистити свою країну, але й розширити її володіння!"
 soo_bahan_ship:0 "Кораблі бахан"
 soo_bahan_ship_desc:0 "Наші каперські кораблі, відомі як бахан, вселяють жах, коли над ними майорить прапор Хачіман. Ніхто не перехопить наш флот, що перебуває під захистом цього бога війни!"
 soo_tough_negotiator:0 "Жорсткі переговори"
 soo_tough_negotiator_desc:0 "Ми є плавильним казаном різних культур і знаємо, наскільки важкими бувають переговори між різними народами. Навіть в жорсткій і, здавалося б, нескінченній війни ми повинні спробувати знайти дипломатичні рішення."
 soo_port_improvement:0 "Утримання портів"
 soo_port_improvement_desc:0 "Ми — торговці в чужих країнах, але зараз настав час розглянути можливість розширення за морями. Покращимо наші порти, що дасть нам змогу побудувати великий військовий флот."
 soo_elementary_school:0 "Початкові школи"
