l_english:
 MERC_COST_BASE:0 "Від складу: $VAL|Y$¤\n"
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_3:0 "$COMPANY|Y$"
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_4:0 "помер служачи нам."
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_5:0 "Тепер їх очолює $LEADER$."
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_6:0 "Хай він доведе свою компетентність служачи нам."
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_LOG:1 "У нанятої нами найманської компанії $COMPANY$ з'явився новий полководець."
 MERCENARY_COMPANY_NEW_GENERAL_HIRED_BTN1:0 "Гаразд"
 HIRE_MERCENARY_COMPANY_INSTANT:0 "Найманську компанію $COMPANY|Y$ можна найняти."
 ANY_EMPLOYED_MERCENARY_COMPANY_TRIGGER:0 "Будь-яка найнята найманська компанія"
 NOT_ANY_EMPLOYED_MERCENARY_COMPANY_TRIGGER:0 "Не найнята найманська компанія"
 TRIGGER_HOME_PROVINCE:0 "Рідна провінція"
 TRIGGER_LOCATION:0 "Поточне місцезнаходження"
 DISBAND_MERCENARY_COMPANY_EFFECT:0 "Найманську компанію $COMPANY|Y$ буде розформовано."
 IS_FOREIGN_COMPANY_TRIGGER:0 "Є іноземною найманською компанією"
 IS_NOT_FOREIGN_COMPANY_TRIGGER:0 "Є місцевою найманською компанією"
 NUM_HIRED_MERCENARY_COMPANIES_GREATER_TRIGGER:0 "Найнято щонайменше $NUM|Y$ найманських компаній"
 NOT_NUM_HIRED_MERCENARY_COMPANIES_GREATER_TRIGGER:0 "Найнято менше, ніж $NUM|Y$ найманських компаній"
 COMPANY_IS_TEMPLATE:0 "Це $COMPANY|Y$."
 COMPANY_IS_NOT_TEMPLATE:0 "Це не $COMPANY|Y$."
 KILL_MERCENARY_COMPANY_LEADER:0 "$NAME|Y$, лідер найманської компанії $COMPANY|Y$, помре!"
 CONVERT_MERCENARY_COMPANY_LEADER:0 "$NAME|Y$ ($FIRE$/$SHOCK$/$MANUEVER$/$SIEGE$) лідер найманської компанії $COMPANY|Y$, стане нашим генералом!"
 COMPANY_HAS_MANPOWER:0 "Залишилось $VAL|Y$% або більше рекрутів у резерві."
 COMPANY_HAS_NOT_MANPOWER:0 "Залишилося менше $VAL|Y$% рекрутів у резерві."
 COMPANY_HIRED_MONTHS:0 "Було найнято на $VAL|Y$ місяців або більше"
 COMPANY_NOT_HIRED_MONTHS:0 "Було найнято менше ніж на $VAL|Y$ місяців."
 COMPANY_ADD_MANPOWER:1 "Найманська компанія $COMPANY|Y$ відновить до $VAL|Y$% рекрутів у резерві."
 COMPANY_LOSE_MANPOWER:1 "Найманська компанія $COMPANY|Y$ втратить до $VAL|R$% рекрутів у резерві."
 ONLY_MERCENARY_MODIFIER:0 "§YДіє лише на полки найманців§!"
 merc_swiss_guard:0 "Швейцарська гвардія"
 merc_bande_nere:0 "Чорні загони"
 merc_schwarze_garde:0 "Чорна гвардія"
 merc_doppelsoeldner:0 "Доппельзольднери"
 merc_reislaufer:0 "Швейцарські найманці"
 merc_hessian_jaegerkorps:0 "Гессенський єгерський корпус"
 merc_routiers:0 "Рут'є"
 merc_bascoli:0 "Басколі"
 merc_levends:0 "Левенди"
 merc_stratioti:0 "Стратіоти"
 merc_morlachs:0 "Морлахи"
 merc_guardia_corsa:0 "Корсиканська гвардія"
 merc_hadjuks:1 "Гайдуки"
 merc_gallowglasses:0 "Галлогласи"
 merc_redshanks:0 "Редшанки"
 merc_scottish_guard:0 "Шотландська гвардія"
 merc_sajkasi:0 "Шайкаші"
 merc_seimeni:0 "Сеймени"
 merc_armatoles:0 "Арматоли"
 merc_white_company:0 "Білий загін"
 merc_flemish_company:0 "Фламандська компанія"
 merc_huai_army:0 "Хуайська армія"
 merc_xiang_army:0 "Хунаньська армія"
 merc_wolf_troops:0 "Вовчі війська"
 merc_shanxi_guard:0 "Шаньсійська гвардія"
 merc_yongning_warriors:0 "Воїни Їньчуаня"
 merc_kanto_ronin:0 "Роніни з Канто"
 merc_kyushu_wokou:0 "Кюсюйські вако"
 merc_shikoku_yojimbo:0 "Йодзімбо з Сікоку"
 merc_purbiyas:0 "Пурбії"
 merc_gorkhalis:0 "Гуркхи"
 merc_gosains:0 "Госсайни"
 merc_banjara_company:0 "Банджарська компания"
 merc_bukhara_band:0 "Бухарська банда"
 merc_mesopotamian_mamluks:0 "Месопотамські мамлюки"
 merc_nile_mamluks:1 "Мамлюки Нілу"
 merc_delhi_mamluks:0 "Мамлюки Делі"
 merc_zeybeks:0 "Зейбеки"
 merc_sekban:0 "Секбани"
 merc_zanj_company:0 "Зінджійська компанія"
 merc_knights_templar:0 "Тамплієри"
 merc_black_army:0 "Чорна армія"
 merc_black_army_2:0 "Резерви Чорної армії"
 merc_lombard_free_company:0 "Ломбардська вільна компанія"
 merc_tuscan_free_company:0 "Тосканська вільна компанія"
 twenty_good_men:0 "Двадцять справних чоловіків"
 golden_company:0 "Золота компанія"
 cadets:0 "Кадети"
 merc_forlorn_hope:0 "Загін самогубців"
 merc_buccaneer_battalion:0 "Буканьєрський батальйон"
 merc_bandeirantes:0 "Бандейранти"
 merc_madagascar_company:0 "Мадагаскарська компанія"
 merc_sahel_company:0 "Сахельська компанія"
 merc_asafo_company:0 "Компанія Асафо"
 merc_nubian_company:0 "Нубійська компанія"
 merc_tonkinese_army:0 "Тонкінська армія"
 merc_mongol_mercenaries:0 "Монгольські найманці"
 merc_royal_circassian_guards:0 "Черкеська гвардія"
 merc_bedouin_auxiliaries:0 "Бедуїнське підкріплення"
 merc_kurdish_company:0 "Курдська компанія"
 merc_laz_auxiliaries:0 "Лазьке підкріплення"
 merc_tabarestan_company:0 "Табарестанська компанія"
 merc_novgorod_company:0 "Новгородська компанія"
 merc_crimean_company:0 "Кримська компанія"
 merc_buryat_band:0 "Бурятська банда"
 merc_lithuanian_company:0 "Литовська компанія"
 merc_frisian_free_company:0 "Фризька вільна компанія"
 merc_finnish_company:0 "Фінська компанія"
 merc_almogavars:0 "Альмогавари"
 merc_moorish_battalion:0 "Мавританський батальйон"
 merc_kutai_company:0 "Кутайська компанія"
 merc_miquelet_company:0 "Вільні мікелети"
 merc_free_company_of_volunteers:0 "Вільна компанія добровольців"
 merc_crabats:0 "Крабати"
 merc_free_swiss_guard:0 "Вільна швейцарська гвардія"
 merc_colonial_rangers:0 "Колоніальні рейнджери"
 merc_independent_cossack_host:0 "Незалежні січові козаки"
 merc_kazakh_company:0 "Казахська компанія"
 merc_yaka_free_warriors:0 "Вільні воїни Яка"
 merc_great_lakes_free_warriors:0 "Вільні воїни Великих озер"
 merc_thai_company:0 "Тайська компанія"
 merc_yucatan_company:0 "Юкатанська компанія"
 merc_misquito_coast_company:0 "Компанія берега Мискіто"
 merc_navajo_raiders:0 "Рейдери Навахо"
 merc_chonnonton_warriors:0 "Чоннонтонські вільні воїни"
 merc_free_mohawks:0 "Вільні воїни могавки"
 merc_muscogee_mercenaries:0 "Маскогські найманці"
 merc_quito_company:0 "Компанія Кіто"
 merc_silver_company:0 "Срібна компанія"
 merc_dahomey_amazons:0 "Дагомейські амазонки"
 merc_gascon_musket_company:0 "Гасконська мушкетерська компанія"
 merc_tyrolean_guard:0 "Тирольська гвардія"
 merc_mongol_banner:0 "Монгольська корогва"
 merc_swiss_canton_mercenaries:0 "Швейцарська національна гвардія"
 merc_tamil_company:0 "Тамільська компанія"
 merc_company_of_the_ganges:0 "Компанія з Гангу"
 merc__local_free_company:0 "Вільна компанія"
 merc__local_grand_company:0 "Велика компанія"
 merc__local_independent_army:0 "Незалежна армія"
 tyw_events.9.tt1:0 "Члени нашої Ліги зможуть завербувати найманців  §Yредшанків§!."
 tyw_events.9.tt2:0 "Члени нашої Ліги зможуть завербувати найманців §Yшотландську гвардію§!."
 generic_more_mercs_available_tt:0 "Більше найманців стане доступно через §Y10§! років."
 generic_more_mercs_available_indefinite_tt:0 "Стане доступно більше найманців."
