l_ukrainian:
 EARLDOM:0 "Ерлство"
 SON_OF_HEAVEN:0 "Син Неба"
 DAUGHTER_OF_HEAVEN:0 "Дочка Неба"
 MISL:0 "Місаль"
 JATHEDAR:0 "Джатедар"
 MISLDAR:0 "Місальдар"
 GREAT_MISLDAR:0 "Великий місальдар"
 HERBAD:0 "Хірбад"
 MOBED:0 "Мобед"
 MOBEDYAR:0 "Мобед'яр"
 MOABADAN_MOABAD:0 "Моабадан моабад"
 PANDIT:0 "Пандіт"
 PANDITRAO:0 "Пандітрао"
 HIGH_GURU:0 "Вищий гуру"
 O_KANNUSHI:0 "О'Каннуші"
 RABBI:0 "Рабин"
 GREAT_RABBI:0 "Великий рабин"
 GRAND_RABBI:0 "Головний рабин"
 KOHEN_GADOL:0 "Коен-гадоль"
 IMAMATE:0 "Імамат"
 GREAT_IMAMATE:0 "Великий імамат"
 HIGH_IMAMATE:0 "Верховний імамат"
 IMAM:0 "Імам"
 GREAT_IMAM:0 "Великий імам"
 HIGH_IMAM:0 "Верховний імам"
 PRIEST:0 "Жрець"
 PRIESTESS:0 "Жриця"
 HIGH_PRIEST:0 "Верховний жрець"
 HIGH_PRIESTESS:0 "Верховна жриця"
 PRINCEDOM:0 "Князівство"
 GRAND_PRINCEDOM:0 "Верховне князівство"
 GREAT_PRINCEDOM:0 "Велике князівство"
 DOGE:0 "Дож"
 DOGARESSA:0 "Догареса"
 GREAT_DOGE:0 "Великий дож"
 GREAT_DOGARESSA:0 "Велика догареса"
 GONFALONIERE:0 "Гонфалоньєр"
 WILLAQ_UMU:0 "Вілак Уму"
 MICHOQ:0 "Мічок"
 SARPAY:0 "Сарпай"
 PARAMOUNT_PRIEST:0 "Найвищий жрець"
 PARAMOUNT_PRIESTESS:0 "Найвища жриця"
 MONASTIC_ORDER:0 "Чернечий орден"
 SOVREIGN_MONASTIC_ORDER:0 "Суверенний чернечий орден"
 SOVREIGN_MONASTIC_CONFEDERATION:0 "Суверенна чернеча конфедерація"
 MASTER:0 "Магістр"
 MISTRESS:0 "Магістр"
 GRAND_MASTER:0 "Великий магістр"
 GRAND_MISTRESS:0 "Великий магістр"
 SUPREME_GRAND_MASTER:0 "Магістр-Вседержитель"
 SUPREME_GRAND_MISTRESS:0 "Магістр-Вседержитель"
 SISTERHOOD:0 "Сестринство"
 GRAND_SISTERHOOD:0 "Велике сестринство"
 ABBESS:0 "Абатиса"
 MOTHER_SUPERIOR:0 "Мати-настоятелька"
 LANDMEISTER:0 "Ландмейстер"
 HOCHMEISTER:0 "Гохмейстер"
 SERENE_DOGE:0 "Найсвітлійший дож"
 SERENE_DOGARESSA:0 "Найсвітліша догареса"
 SERENE_REPUBLIC:0 "Найсвітліша республіка"
 GRAND_REPUBLIC:0 "Верховна республіка"
 GREAT_REPUBLIC:0 "Велика республіка"
 CONSUL:0 "Консул"
 CONSULESS:0 "Консулеса"
 GRAND_CONSUL:0 "Головний консул"
 GRAND_CONSULESS:0 "Головна консулеса"
 GREAT_CONSUL:0 "Великий консул"
 GREAT_CONSULESS:0 "Велика консулеса"
 ALTEPETL:0 "Альтепетль"
 ALTEPETL_FEDERATION:0 "Альтепетльська федерація"
 CUAUHTLAHTOANI:0 "Куатлатоані"
 CIHUATLAHTOANI:0 "Кіхуатлатоані"
 TLATOANI:0 " Тлатоані"
 HUEHUETLATOANI:0 "Гуей-тлатоані"
 CAH:0 "Ках"
 KUCHKABAL:0 "Кучкабаль"
 GREAT_LEAGUE:0 "Велика ліга"
 NACOM:0 "Наком"
 HALACH_UINIK:0 "Халач-вінік"
 K_UHUL_AJAW:0 "Кухуль ахав"
 KURAKA:0 "Курака"
 APU:0 "Апу"
 SAPA_INKA:0 "Сапа Інка"
 ARCHDUCHY:0 "Ерцгерцогство"
 ARCHDUKE:0 "Ерцгерцог"
 ARCHDUCHESS:0 "Ерцгерцогиня"
 ARCHKING:0 "Ерцкороль"
 VIZIER:0 "Візир"
 GRANDVIZIER:0 "Головний візир"
 GRANDVIZIER_fem:0 "Головний візир"
 PAPACY:0 "Папство"
 POPE:0 "Папа"
 POPETTE:0 "Папеса"
 GRAND_PENSIONARY:0 "Головний пенсіонарій"
 STADTHOLDER:0 "Штатгальтер"
 STADTHOLDERESS:0 "Штатгальтереса"
 GREAT_STADTHOLDER:0 "Великий штатгальтер"
 GREAT_STADTHOLDERESS:0 "Велика штатгальтереса"
 COLONIAL_PROVINCE:0 "Колоніальна провінція"
 COLONY:0 "Колонія"
 DOMINION:0 "Домініон"
 LIEUTENANT_GOVERNOR:0 "Лейтенант-губернатор"
 LIEUTENANT_GOVERNESS:0 "Лейтенант-губернеса"
 GOVERNOR:0 "Губернатор"
 GOVERNESS:0 "Губернеса"
 GOVERNOR_GENERAL:0 "Генерал-губернатор"
 GOVERNESS_GENERAL:0 "Генерал-губернеса"
 CAPTAINCY:0 "Капітанство"
 VICEROYALTY:0 "Віце-королівство"
 CAPTAIN_GENERAL:0 "Генерал-капітан"
 VICEROY:0 "Віце-король"
 VICEREINE:0 "Віце-королева"
 NAWABATE:0 "Навабат"
 NIZAMATE:0 "Нізамат"
 NAWAB:0 "Наваб"
 NAWAB_BEGUM:0 "Наваб-бегум"
 NIZAM:0 "Нізам"
 NIZAM_BEGUM:0 "Нізам-бегум"
 SULTANA_BEGUM:0 "Султана-бегум"
 PADISHAH_BEGUM:0 "Падишах-бегум"
 SULTAN_CONSORT:0 "Султан-консорт"
 PADISHAH_CONSORT:0 "Падишах-консорт"
 MIRZA:0 "Мурза"
 NIZAMZADA:0 "Нізамзада"
 NAWABZADA:0 "Набобзада"
 SHAHDOKHT:0 "Шахдохт"
 CHANCELOR:0 "Канцлер"
 SPEAKER:0 "Спікер"
 SPEAKER_fem:0 "Спікер"
 PRESIDENT:0 "Президент"
 BURGMEISTER:0 "Бургомістр"
 SYNDIC:0 "Синдик"
 GRAND_SYNDIC:0 "Головний синдик"
 LORD:0 "Лорд"
 LADY:0 "Леді"
 PRINCE:0 "Князь"
 CONSORT:0 "Консорт"
 PRINCESS:0 "Княгиня"
 GREAT_PRINCE:0 "Великий князь"
 GREAT_PRINCESS:0 "Велика княгиня"
 GRAND_PRINCE:0 "Ясновельможний князь"
 GRAND_PRINCESS:0 "Ясновельможна княгиня"
 GREAT_PRINCIPALITY:0 "Велике князівство"
 COUNCILOR:0 "Радник"
 GRAND_COUNCILOR:0 "Головний радник"
 HIGH_COUNCILOR:0 "Верховний радник"
 MARCH:0 "Марка"
 MARGRAVE:0 "Маркграф"
 MARGRAVINE:0 "Маркграфиня"
 MARGRAVE_CONSORT:0 "Маркграф-консорт"
 VICEROY_CONSORT:0 "Віце-король-консорт"
 ARCHDUKE_CONSORT:0 "Ерцгерцог-консорт"
 GRAND_DUKE_CONSORT:0 "Великий герцог-консорт"
 KING_CONSORT:0 "Король-консорт"
 EMPEROR_CONSORT:0 "Імператор-консорт"
 RECTOR:0 "Ректор"
 RECTORA:0 "Ректора"
 GRAND_RECTOR:0 "Головний ректор"
 GRAND_RECTORA:0 "Головна ректора"
 GREAT_RECTOR:0 "Великий ректор"
 GREAT_RECTORA:0 "Велика ректора"
 KEFALIJA:0 "Кефал"
 DUZHD:0 "Дуж"
 PRINC:0 "Князь"
 PRINCEZA:0 "Княгиня"
 VOJVODA:0 "Воєвода"
 VOJVODKINJA:0 "Воєводкиня"
 KRALJ:0 "Краль"
 KRALJICA:0 "Кральіца"
 CAR:0 "Цар"
 CARICA:0 "Цариця"
 SHOGUNATE:0 "Сьоґунат"
 SHOGUN:0 "Сьоґун"
 SHOGUNESS:0 "Сьоґунка"
 DOMAIN:0 "Домен"
 GRAND_DOMAIN:0 "Головний домен"
 GREAT_DOMAIN:0 "Великий домен"
 DAIMYO:0 "Даймьо"
 GRAND_DAIMYO:0 "Головний даймьо"
 GREAT_DAIMYO:0 "Великий даймьо"
 INDEP_DAIMYO:0 "Незалежний даймьо"
 GRAND_INDEP_DAIMYO:0 "Головний незалежний даймьо"
 GREAT_INDEP_DAIMYO:0 "Великий незалежний даймьо"
 NAYAK:0 "Наяк"
 NAYAKA:0 "Наяка"
 BEILE:0 "Беіле"
 GEGE:0 "Геге"
 JUNWANG:0 "Цзюньван"
 HETMANATE:0 "Гетьманат"
 GRAND_HETMANATE:0 "Верховний гетьманат"
 GREAT_HETMANATE:0 "Великий гетьманат"
 ATAMAN:0 "Отаман"
 HETMAN:0 "Гетьман"
 GREAT_HETMAN:0 "Великий гетьман"
 GROSSMEISTER:0 "Гросмейстер"
 VOIVODE:0 "Воєвода"
 DESPOT:0 "Деспот"
 BAN_TITLE:0 "Бан"
 AUTOKRATOR:0 "Автократор"
 AUTOKRATEIRA:0 "Автократейра"
 DESPOTATE:0 "Деспотат"
 DESPOTISSA:0 "Деспотіса"
 BASILEUS:0 "Базилевс"
 BASILISSA:0 "Базиліса"
 MBRET:0 "Мбрет"
 GRAND_DUKE:0 "Великий герцог"
 GRAND_DUCHESS:0 "Велика герцогиня"
 GRAND_DUCHY:0 "Велике герцогство"
 JAM:0 "Джам"
 GRAND_JAM:0 "Головний джам"
 GREAT_JAM:0 "Великий джам"
 GERAD:0 "Герад"
 DAI_male:0 "Даі"
 DAI_female:0 "Даі"
 RAS_title:0 "Рас"
 LE_ELT:0 "Ле-ельт"
 ABETO:0 "Абето"
 JANHOY:0 "Джахой"
 NEGUS:0 "Негус"
 NIGIST:0 "Нігіст"
 NEGUSA_NEGAST:0 "Негуса нагаст"
 NIGISTE_NIGIST:0 "Нігіста нігіст"
 ITEGE:0 "Ітеге"
 NOMARCH:0 "Номарх"
 PHARAOH:0 "Фараон"
 GREAT_PHARAOH:0 "Великий фараон"
 HEGEMON:0 "Гегемон"
 TYRANT:0 "Тиран"
 REX:0 "Рекс"
 REGINA:0 "Регіна"
 IMPERATOR:0 "Імператор"
 IMPERATRIX:0 "Імператриця"
 FAAMA:0 "Фаама"
 GRAND_FAAMA:0 "Великий фаама"
 MANSA:0 "Манса"
 GREAT_MANSA:0 "Великий манса"
 KHEDIVE:0 "Хедив"
 SHARIFATE:0 "Шаріфат"
 GRAND_SHARIFATE:0 "Верховний шаріфат"
 GREAT_SHARIFATE:0 "Великий шаріфат"
 SHARIF:0 "Шаріф"
 GRAND_SHARIF:0 "Верховний шаріф"
 GREAT_SHARIF:0 "Великий шаріф"
 MAYOR:0 "Мер"
 MAYORESS:0 "Мер"
 POPE_ELECTOR:0 "Папа-курфюрст"
 POPETTE_ELECTOR:0 "Папеса-курфюрста"
 BISHOP_ELECTOR:0 "Єпископ-курфюрст"
 ARCHBISHOP_ELECTOR:0 "Архієпископ-курфюрст"
 PATRIARCH_ELECTOR:0 "Патріарх-курфюрст"
 MATRIARCH_ELECTOR:0 "Матріарх-курфюрста"
 PRINCE_ELECTOR:0 "Князь-курфюрст"
 PRINCESS_ELECTOR:0 "Княгиня-курфюрста"
 KING_ELECTOR:0 "Король-курфюрст"
 QUEEN_ELECTOR:0 "Королева-курфюрста"
 ARCHBISHOP_ELECTOR_fem:0 "Архієпископ-курфюрста"
 BISHOP_fem:0 "Єпископ"
 ARCHBISHOP_fem:0 "Архієпископ"
 ATAMAN_fem:0 "Отаманка"
 ELDER_fem:0 "Старійшина"
 HIGH_ELDER_fem:0 "Верховна старійшина"
 PARAMOUNT_ELDER_fem:0 "Найвища старійшина"
 BISHOP_ELECTOR_fem:0 "Єпископ-курфюрста"
 CHANCELOR_fem:0 "Канцлер"
 COUNCILOR_fem:0 "Радниця"
 GRAND_COUNCILOR_fem:0 "Головна радниця"
 HIGH_COUNCILOR_fem:0 "Верховна радниця"
 GONFALONIERE_fem:0 "Гонфалоньєр"
 HEGEMON_fem:0 "Гегемона"
 HETMAN_fem:0 "Гетьманка"
 GREAT_HETMAN_fem:0 "Велика гетьманка"
 JAM_fem:0 "Джам"
 GRAND_JAM_fem:0 "Верховна джам"
 GREAT_JAM_fem:0 "Велика джам"
 SHARIFA:0 "Шаріфа"
 GRAND_SHARIFA:0 "Верховна шаріфа"
 GREAT_SHARIFA:0 "Велика шаріфа"
 GREAT_MANSA_fem:0 "Велика манса"
 GRAND_PENSIONARY_fem:0 "Головна пенсіонарія"
 PHARAOH_fem:0 "Фараон"
 GREAT_PHARAOH_fem:0 "Велика фараон"
 PRESIDENT_fem:0 "Президентка"
 PROTECTOR_fem:0 "Протекторка"
 SYNDIC_fem:0 "Синдик"
 GRAND_SYNDIC_fem:0 "Головна синдик"
 TYRANT_fem:0 "Тирана"
 CAPTAIN_DEFENDER:0 "Капітан-захисник"
 CAPTAIN_DEFENDER_fem:0 "Капітан-захисниця"
 MUGO:0 "Муго"
 GREAT_MUGO:0 "Великий муґо"
 MUGABE:0 "Муґабе"
 GREAT_MUGABE:0 "Великий муґабе"
 MWAMI:0 "Мвані"
 UMUGABEKAZI:0 "Умуґабеказі"
 OMUKAMA:0 "Омукама"
 GREAT_OMUKAMA:0 "Великий Омукама"
 MULOPWE:0 "Мулопве"
 MULOPWE_fem:0 "Мулопве"
 GREAT_MULOPWE:0 "Великий Мулопве"
 GREAT_MULOPWE_fem:0 "Велика Мулопве"
 MWENEMUTAPA:0 "Мвенемутапа"
 MWENEMUTAPA_fem:0 "Мвенемутапа"
 GREAT_MWENEMUTAPA:0 "Великий Мвенемутапа"
 GREAT_MWENEMUTAPA_fem:0 "Велика Мвенемутапа"
 MAMBO:0 "Мамбо"
 GRAND_MAMBO:0 "Верховний Мамбо"
 GRAND_MAMBO_fem:0 "Верховна Мамбо"
 GREAT_MAMBO:0 "Великий Мамбо"
 GREAT_MAMBO_fem:0 "Велика Мамбо"
 KABAKA:0 "Кабака"
 GREAT_KABAKA:0 "Великий Кабака"
 NNABAGEREKA:0 "Ннабагерека"
 GREAT_NNABAGEREKA:0 "Великий Ннабагерека"
 BALOPWE:0 "Балопве"
 BALOPWE_fem:0 "Балопве"
 BAKUNGU:0 "Бакунгу"
 ANDRIANONI:0 "Андріаноні"
 GRAND_ANDRIANONI:0 "Верховний Андріаноні"
 GREAT_ANDRIANONI:0 "Великий Андріаноні"
 FILOHANY:0 "Філохани"
 MPANJAKE_BE:0 "Мпанджак-бе"
 ATIO:0 "Атіо"
 ATIO_FEM:0 "Атіо"
 TATKISHO:0 "Таткішо"
 TATKISHO_FEM:0 "Таткішо"
 TATO:0 "Тато"
 TATO_FEM:0 "Тато"
 PRINCE_CONSORT:0 "Принц-консорт"
 QUEEN_CONSORT:0 "Королева-консорт"
 EMPRESS_CONSORT:0 "Імператриця-консорт"
 ELECTRESS:0 "Курфюрстіна"
 ELECTOR:0 "Курфюрст"
 NUTSAL:0 "Нуцал"
 NUTSAL_fem:0 "Нуцал"
 ATABEG:0 "Атабек"
 ATABEG_fem:0 "Атабек"
 DAUPHIN:0 "Дофін"
 DAUPHINE:0 "Дофіна"
 BARANGAY:0 "Баранґай"
 GRAND_BARANGAY:0 "Верховний баранґай"
 GREAT_BARANGAY:0 "Великий баранґай"
 DATU:0 "Дату"
 GREAT_LAKAN:0 "Великий лакан"
 GREAT_LAKAN_fem:0 "Велика лакан"
 LAKAN:0 "Лакан"
 WANG:0 "Ван"
 MONG:0 "Монг"
 SAOPHA:0 "Саофа"
 ILKHANATE:0 "Ільханат"
 ILKHAN:0 "Ільхан"
 ILKHATUN:0 "Ільхатун"
 HEIR_fem:0 "Спадкоємиця"
 MWENE_KONGO:0 "Маніконґо"
 GREAT_MWENE_KONGO:0 "Великий маніконґо"
 MWENE_KONGO_fem:0 "Маніконґа"
 GREAT_MWENE_KONGO_fem:0 "Велика маніконґа"
 CAPTAIN_GENERAL_fem:0 "Капітан-генерал"
 SHARIFZADE:0 "Шаріфзаде"
 SYMBASILEUS:0 "Симбасилевс"
 SYMBASILISSA:0 "Симбасиліса"
 DUKE_CONSORT:0 "Герцог-Консорт"
 KNIAZHICH:0 "Княжич"
 KNIAZHNA:0 "Княжна"
 TSAREVICH:0 "Царевич"
 TSAREVNA:0 "Царівна"
 BURGMEISTER_fem:0 "Бюргермейстеріна"
 GRAND_POSADNIK:0 "Верховний посадник"
 GREAT_POSADNIK:0 "Великий посадник"
 POSADNITSA:0 "Посадниця"
 GRAND_POSADNITSA:0 "Верховна посадниця"
 GREAT_POSADNITSA:0 "Велика посадниця"
 HOCHMEISTER_fem:0 "Гохмейстеріна"
 LANDMEISTER_fem:0 "Ландмейстеріна"
 GROSSMEISTER_fem:0 "Гросмейстеріна"
 IMAM_fem:0 "Імама"
 GREAT_IMAM_fem:0 "Велика імама"
 HIGH_IMAM_fem:0 "Верховна імама"
 GREAT_KHOJA_fem:0 "Велика ходжа"
