l_ukrainian:
 flavor_ter.1.t:0 "Прянощі мають текти неспинно"
 mnd_peg_golden_land_desc:0 "Суварнабхумі було легендарним стародавнім королівством. Багато імперій прагнули повторити славу Золотої землі, хоча жодна з них ще не досягла успіху. Ми будемо першими."
 mnd_peg_religious_devotion_title:0 "Чернече завзяття"
 mnd_peg_religious_devotion_desc:0 "Ми повинні заслужити добру волю буддійських ченців, які доглядають за нашими пагодами, і щедро жертвувати на будівництво і відновлення святих місць."
 peg_devotion:0 "Релігійне завзяття"
 desc_peg_devotion:0 "Релігійне завзяття нашого народу допомогло нам зосередитися на утриманні наших пам'яток."
 mnd_peg_golden_pagoda_title:0 "Відновити Золоту пагоду"
 mnd_peg_golden_pagoda_desc:0 "Золота пагода в Дагоні – це наше головне досягнення, але воно потребує реконструкції. Вона має стати найбільшою пам’яткою в буддійському світі."
 mnd_peg_ceylon_title:0 "Зв'язки з Цейлоном"
 mnd_peg_ceylon_desc:0 "Цейлон – це найсвятіше місце в буддизмі Теравади і має велике значення для наших чернечих традицій."
 restored_sadhuim:0 "Відновлено Садхуїм"
 desc_restored_sadhuim:0 "Місто Садхуїм відновлено."
 mon_restoration:0 "Переселення монів"
 desc_mon_restoration:0 "Ми повинні повернути культурі монів колишню значимість."
 restored_golden_pagoda:0 "Відновлення Золотий пагоди"
 desc_restored_golden_pagoda:0 "Золоту пагоду відновлено."
 peg_ceylon_modifier:0 "Ланкійський буддизм"
 desc_peg_ceylon_modifier:0 "Ми відновили наші зв'язки з ланкійським буддизмом."
 sailor_mon:0 "Угоди з оранглаутами"
 desc_sailor_mon:0 "Ми досягли угоди з оранглаутами."
 mon_renaissance:0 "Монський ренесанс"
 desc_mon_renaissance:0 "Монська цивілізація переживає нову золоту добу."
 shan_confederation_title:0 "Об'єднання шанів"
 shan_confederation_desc:0 "Дрібні шанські правителі повинні бути об’єднані під єдиним прапором. Тільки тоді ми зможемо поширити наше правління на всю Бірму і створити велику імперію."
 shan_domination_title:0 "Шанське панування"
 shan_domination_desc:0 "Нарешті ми єдині. Тепер ми повинні мобілізувати наші армії проти Королівства Ава, яке зарозуміло проголошує гегемонію над усією Бірмою. Час шанського панування починається сьогодні."
 shan_confederation_tt:0 "Усі держави з §Yшанською§! основною культурою повинні або стати нашими союзниками, або нашими суб'єктами."
 shan_confederation_tt_2:0 "Жодна країна з §Yшанською§! основною культурою не має армії більшої ніж держава §Y[Root.GetName]§!"
 mnd_siam_prepare_title:0 "Підготувати вторгнення"
 mnd_siam_prepare_desc:0 "Готуючись до вторгнення до Малакки, ми повинні побудувати гідний флот, а також подбати про те, щоб наші дії не спровокували китайського імператора."
 mnd_siam_mlc_title:0 "Вторгнення до Малакки"
 mnd_siam_mlc_desc:0 "Малакка стала квітучим торговим портом і стане прекрасним доповненням до наших володінь на Малайському півострові."
 mnd_siam_trade_title:0 "Контроль над торгівлею прянощами"
 mnd_siam_trade_desc:0 "Тепер, коли ми контролюємо Малакку, торгівля прянощами відкрита для нас. Ми повинні забезпечити додаткові склади навколо Малаккської протоки, щоб затвердити наше домінування в торгівлі прянощами."
 mnd_siam_transfer_development_title:0 "Населити місто [Root.Capital.GetCapitalName]"
 mnd_siam_transfer_development_desc:0 "[Root.Capital.GetCapitalName] – велике місто, але його можна було б зробити ще більшим, якби ми змусили людей з периферії або наших переможених ворогів селитися в місті."
 mnd_siam_mandala_title:0 "Культивувати мандалу"
 mnd_siam_mandala_desc:0 "Ми повинні організовувати державу подібно до мандали; у держави немає можливості безпосередньо управляти кожним куточком наших володінь, і тому ми довіряємо нашим васалам управляти від нашого імені."
 mnd_siam_great_monument_title:0 "Погляньте на мої труди"
 mnd_siam_great_monument_desc:0 "Найбільшою ознакою квітучої цивілізації є її пам'ятники. Нехай впадуть у відчай всі, які споглядають наші труди."
 emerald_buddha_mission_tt:0 "   Є модифікатор провінції §YСмарагдовий Будда§!"
 mnd_siam_city_of_worlds_desire_title:0 "Найбажаніше місто світу"
 mnd_siam_city_of_worlds_desire_desc:0 "Недостатньо, щоб місто [Root.Capital.GetCapitalName] було великим містом. Це повинно бути найвеличніше місто у світі, осередок всієї світської влади."
 mnd_siam_devaraja_title:0 "Девараджа"
 mnd_siam_devaraja_desc:0 "[Root.Monarch.GetTitle] – не просто смертн[Root.GetMEndAYJ] правител[Root.GetMEndLjKa], а й духовний центр нашої держави. Ми повинні зробити так, щоб серця наших людей були наповнені знанням, що монархія знаходиться в безпеці, а віра захищена."
 mnd_siam_revolution_title:0 "Сіамська революція"
 mnd_siam_revolution_desc:0 "Іноземні держави із заходу починають зазіхати на [Root.GetTagKUDY]. Ми повинні з'ясувати їхні наміри і, або їх вигнати, або знайти спосіб, щоб їхня присутність принесла нам користь."
 mnd_siam_royal_duel_title:0 "Виграти королівський двобій"
 mnd_siam_royal_duel_desc:0 "Зазвичай [Root.Monarch.GetTitleKHTO] особисто вступає в бій, крокуючи полем битви на спині слона. Немає більшого військового досягнення для [Root.Monarch.GetTitleOGO], ніж особисто перемогти іншого монарха в бою."
 mnd_siam_subjugate_khmer_title:0 "Розчавити кхмерів"
 mnd_siam_subjugate_khmer_desc:0 "У 1431 році ми розграбували кхмерське місто Ангкор і знищили їхню колись панівну імперію. Але цього недостатньо. Ми повинні повністю їх підкорити."
 mnd_siam_divide_the_lao_title:0 "Розділити Лансанг"
 mnd_siam_divide_the_lao_desc:0 "Лансанг – велике, але крихке королівство. Для нас було б найзручніше, якби ці слабкості були виявлені, перш ніж ми спробуємо приєднати їхню державу."
 mnd_siam_subjugate_the_lao_title:0 "Підпорядкувати Лаос"
 mnd_siam_subjugate_the_lao_desc:0 "Роздрібнивши Лансанг, ми можемо підпорядкувати собі менші лаоські королівства, зробивши їх васалами [Root.GetTagOGO]."
 mnd_siam_subjugate_vietnam_title:0 "Підпорядкувати В'єтнам"
 mnd_siam_subjugate_vietnam_desc:0 "Правителі Дай В'єта вважають, що вони знаходяться в безпеці за своїми горами та під захистом китайського імператора. Ми покажемо їм, як вони помиляються."
 mnd_siam_defy_china_title:0 "Кинути виклик Китаю"
 mnd_siam_defy_china_desc:0 "Китай завжди був великою тінню над Південно-Східною Азією, незмінною, але непостійною загрозою для нашого суверенітету. Ми повинні стати достатньо сильними, щоб відкрито кинути виклик Імператорові та розпочати вторгнення на південь Китаю."
 mnd_siam_take_the_mandate_title:0 "Відібрати мандат"
 mnd_siam_take_the_mandate_desc:0 "Китайські імператори пишаються тим, що володіють Небесним мандатом. "
 siam_mandate_modifier:0 "Сіамський мандат"
 desc_siam_mandate_modifier:0 "Ми відібрали Небесний мандат, що зробило нас законними правителями Китаю."
 siam_accepted_mon:0 "Захист культури монів"
 desc_siam_accepted_mon:0 "Ми захистили народ мон від тих, хто завдавав їм шкоди та вигнав їх з рідних місць."
 mnd_siam_inherit_sukhothai_title:0 "Успадкувати Сукхотай"
 mnd_siam_inherit_sukhothai_desc:0 "Ми встановили принца Трайлока правителем Сукхотаю після підкорення їхнього королівства десятиліття тому. Ми повинні забезпечити об’єднання наших королівств в одне ціле."
 mnd_siam_subjugate_chiang_mai_title:0 "Підпорядкувати Чиангмай"
 mnd_siam_subjugate_chiang_mai_desc:0 "Правителі Чиангмая вірять, що вони в безпеці на ізольованому півночі. Ми покажемо їм, що вони не зможуть уникнути нашого правління."
 mnd_siam_protect_the_mon_title:0 "Захистити монів"
 mnd_siam_protect_the_mon_desc:0 "Люди мон колись правили великою імперією і є основоположниками багатьох аспектів нашої власної культури. Їх золотий вік давно минув, тому ми повинні запропонувати їм наш захист."
 mnd_siam_defeat_burma_title:0 "Розчавити Бірму"
 mnd_siam_defeat_burma_desc:0 "Ми не можемо допустити виникнення нової імперії на заході. Ми повинні зробити все, що в наших силах, щоб усунути будь-які потенційні загрози, перш ніж вони зможуть по-справжньому кинути нам виклик."
 mnd_siam_conquer_burma_title:0 "Вдертися до Бірми"
 crush_burma_tt:0 "Жодна незалежна держава або держава-данник зі столицею в регіоні §YБірма§! не має загального розвитку більше §Y50§!"
 mnd_siam_conquer_burma_desc:0 "Не можна вірити, що Бірма назавжди залишиться умиротвореною. Ми повинні підпорядкувати регіон під наше правління."
 had_siamese_revolution_tt:0 "Завершено лихо §YСіамська революція§!"
 had_siamese_revolution_tt_2:0 "Жодна §Yзахідна§! держава не володіє жодною провінцією на субконтиненті §YОст-Індія§!"
 mnd_siam_absolutism_title:0 "Королівський абсолютизм"
 mnd_siam_absolutism_desc:0 "Влада [Root.Monarch.GetTitleOGO] безмежна. Ми повинні централізувати державу і запровадити абсолютне правління, щоб усі могли грітися в їхньому сяйві."
 mnd_siam_japan_title:0 "Посольство в Японії"
 mnd_siam_japan_desc:0 "З правителями Японії, як відомо, важко потоваришувати, оскільки вони з недовірою ставляться до іноземного впливу. Але якщо нам вдасться створити успішне посольство, ми зможемо залучити на наш бік декількох страхітливих самураїв до боротьби за нас."
 japanese_mercs_flag:0 "Найманська компанія §YЯпонські добровольці§! стане доступна для найму"
 merc_japanese_volunteers:1 "§JЯпонські добровольці§!"
 siam_mandala_modifier:0 "Велика мандала"
 desc_siam_mandala_modifier:0 "Використовуючи мандалу як модель для нашого уряду, ми створили справді гармонійну націю, де всі знають своє місце."
 siam_monument_modifier:0 "Будівники пам'яток"
 desc_siam_monument_modifier:0 "Ми зарекомендували себе великими архітекторами та майстрами логістики грандіозного будівництва."
 siam_best_city_modifier:0 "Найбажаніше місто світу"
 desc_siam_best_city_modifier:0 "Наша столиця, безперечно, є найкращим містом у світі, осяяним центром усієї мирської влади."
 siam_trade:0 "Сіамське торгове домінування"
 desc_siam_trade:0 "Ми досягли домінування над торгівлею прянощами, що дозволило нам спрямувати її багатство до держави."
 khmer_end_dark_age_tt:0 "Закінчиться лихо §YТемний вік Камбоджі§!"
 mnd_khm_restore_angkor_title:0 "Відновити Ангкор"
 mnd_khm_restore_angkor_desc:0 "Колись велике місто Ангкор лежить у руїнах після його жорстокого розграбування сіамськими арміями. Його треба відновити."
 mnd_khm_city_of_temples_title:0 "Місто храмів"
 mnd_khm_city_of_temples_desc:0 "Ангкор-Ват колись був найпрекраснішим храмом у всьому світі, але зараз він перебуває у стані занепаду. Ми повинні його відновити."
 mnd_khm_religion_title:0 "Справи віри"
 mnd_khm_religion_desc:0 "Наше навернення до буддизму Тхеравади було не зовсім плавним переходом, і є багато тих, хто все ще дотримується старої індуїстської віри. Багато людей також зберігають старіші вірування в місцевих богів. Ми маємо знайти вирішення наших релігійних розбіжностей."
 mnd_khm_resurgence_title:0 "Відродження кхмерів"
 mnd_khm_resurgence_desc:0 "Цей темний вік не може тривати вічно. Ми боротимося з темрявою і знайдемо шлях назад до світла."
 mnd_khm_golden_age_title:0 "Друга золота доба"
 mnd_khm_golden_age_desc:0 "Кхмерська імперія знову повстане, розпочавши нашу другу золоту добу."
 new_khmer_golden_age:0 "Нова золота доба кхмерів"
 desc_new_khmer_golden_age:0 "Попереду нас чекає нова золота доба."
 mnd_khm_enlightened_rule_title:0 "Освічене правління"
 mnd_khm_enlightened_rule_desc:0 "Король – це не просто смертна людина, а маяк божественного просвітлення. Ми повинні зробити нашу державу всеосяжною, щоб поширити її просвітництво на всіх наших підданих."
 mnd_khm_rebuild_title:0 "Відбудувати міста"
 mnd_khm_rebuild_desc:0 "Навали та стихійні лиха спустошили наші поселення. Ми повинні знову заселити ферми і забезпечити достатньо їжі для всіх."
 mnd_khm_irrigation_title:0 "Просунуте зрошення"
 mnd_khm_irrigation_desc:0 "Наша імперія колись була багатою і квітучою завдяки розгалуженій мережі каналів, які використовувалися як для зрошення, так і для судноплавства. Ми повинні відновити ці канали, щоб покращити наше сільське господарство."
 mnd_khm_protect_the_cham_title:0 "Захистити чамів"
 mnd_khm_protect_the_cham_desc:0 "Чампа зазнала поразки від Дай В'єта і навряд чи протримається довго. Ми повинні підпорядкувати королівства чамів, щоб позбавити їх від долі в'єтнамського панування."
 mnd_khm_subjugate_dia_viet_title:0 "Підпорядкувати Дай В'єт"
 mnd_khm_subjugate_dia_viet_desc:0 "Дай В'єт має великі амбіції щодо розширення своїх південних кордонів. Не можна допустити посягання на нашу територію."
 mnd_khm_avenge_angkor_title:0 "Помстися за Ангкор"
 mnd_khm_avenge_angkor_desc:0 "Розграбування Ангкору було великим приниженням. Ми відплатимо тим самим."
 mnd_khm_subjugate_ayu_title:0 "Підпорядкувати Аюттхаю"
 mnd_khm_subjugate_ayu_desc:0 "Поразка, яку ми зазнали від Аюттхаї, ніколи не повинна повторитися. Ми повинні підкорити їхнє королівство."
 mnd_khm_restored_empire_title:0 "Відновити імперію"
 mnd_khm_restored_empire_desc:0 "Кхмерська імперія колись управляла величезним простором материка, пануючи над багатьма народами під керівництвом освічених правителів. Ми повинні відновити нашу імперію."
 mnd_khm_reclaim_the_north_title:0 "Повернути Північ"
 mnd_khm_reclaim_the_north_desc:0 "Північна частина нашої імперії підпала під владу Лансанга. Ми повернемо свої законні території."
 mnd_khm_subjugate_laos_title:0 "Підпорядкувати Лансанг"
 mnd_khm_subjugate_laos_desc:0 "Ми терпіли незалежність Лаосу на тлі занепаду нашої імперії, але тепер, коли ми відроджуємось, ми цього так не залишимо."
 mnd_khm_overseas_adventures_title:0 "Заморські пригоди"
 mnd_khm_overseas_adventures_desc:0 "Немає жодної причини, щоб ми не виходили за межі старої імперії, наводячи погляди за межі берега і на багатства Борнео."
 mnd_khm_defy_china_title:0 "Кинути виклик Китаю"
 mnd_khm_defy_china_desc:0 "Китай вважає, що йому завдячують данину з усієї Південно-Східної Азії. Ми не повинні кланятися цьому фальшивому імператору."
 mnd_khm_take_the_mandate_title:0 "Забрати мандат"
 mnd_khm_take_the_mandate_desc:0 "Якщо ми зможемо забрати Небесний Мандат, ми зможемо керувати Китаєм, доводячи всім своє божественне право на владу."
 mnd_khm_invade_burma_title:0 "Вторгнутись до Бірми"
 mnd_khm_invade_burma_desc:0 "Є ймовірність, що розсварені королівства Бірми об'єднаються в одну державу та кинуть виклик нашій владі. Ми повинні розширити наші кордони на захід, щоб цього не сталося."
 angkor_restoration:0 "Відновлення Ангкора"
 desc_angkor_restoration:0 "Завдяки роботі з відновлення функціональності Ангкор-Вату, наші архітектори набули досвіду та прагнення, необхідних для початку подальших будівельних проєктів по всій імперії."
 angkor_complete:0 "Місто храмів"
 desc_angkor_complete:0 "Ангкор-Ват перевершив свою колишню славу і тепер вважається найпрекраснішою спорудою у світі."
 khm_navy:0 "Заморські пригоди"
 desc_khm_navy:0 "З нещодавно побудованим флотом Кхмерська імперія готова розпочати кампанії за океаном."
 subjugation_of_ayu:0 "Підпорядкування Аюттхайї"
 desc_subjugation_of_ayu:0 "Тепер, коли ми перемогли та підпорядкували своїх найбільших суперників, усі, хто вклоняється нам, дізнаються про ціну інакомислення."
 khm_burma_campaign:0 "Спадщина бірманської кампанії"
 desc_khm_burma_campaign:0 "Наше вторгнення до Бірми було кривавою справою, і ми багато чого навчилися в ході конфлікту."
 lna_emerald_buddha_title:0 "Захистити святиню"
 lna_emerald_buddha_desc:0 "Смарагдовий Будда повинен зберігатися в нашій країні в безпеці, тому що багато тих, хто прагне його вкрасти."
 lna_emerald_buddha_tt:0 "Будь-яка провінція з модифікатором §YСмарагдовий Будда§!"
 lna_rice_fields_title:0 "Мільйон рисових полів"
 lna_rice_fields_desc:0 "Ланна – родючий і працьовитий край. Ми повинні повною мірою використати його потенціал."
 lna_sukhothai_title:0 "Підкорити Сукхотай"
 lna_sukhothai_desc:0 "Якщо ми хочемо стати панівною державою серед тайських народів, спочатку ми повинні повернути владу над Сукхотай."
 lna_ayu_title:0 "Підпорядкувати Аюттхайю"
 lna_ayu_desc:0 "Королі Аюттхаї хотіли б, щоб ми стали не більш ніж васальною державою під їхньою владою. Тільки ось вони не знають, що їхня доля залежатиме від нас."
 protected_emerald_buddha:0 "Захистили Смарагдового Будду"
 desc_protected_emerald_buddha:0 "Святиня, де знаходиться священний Смарагдовий Будда, була захищена належним чином від тих, хто бажає її в нас вкрасти."
 suk_restore_sukhothai_title:0 "Відновити Сукхотай"
 suk_restore_sukhothai_desc:0 "Сукхотай значно зменшився, перетворившись на простого васала великої держави Аюттхайї. Ми повинні повернути свою минулу славу, утвердивши владу Сукхотая."
 suk_absorb_ayu_title:0 "Поглинути Аюттхайю"
 suk_absorb_ayu_desc:0 "Ми повинні інтегрувати Аюттхаю, щоб знову стати панівною сіамською державою."
 suk_conquer_chiang_mai_title:0 "Підпорядкувати Ланну"
 suk_conquer_chiang_mai_desc:0 "Володарі Чіангмая вважають, що вони в безпеці на ізольованій півночі. Ми покажемо їм, що вони не зможуть легко уникнути нашого правління."
 buddha:0 "Будда"
 buddha_desc:0 "Засновник буддійської віри. Буддійські ідеї продовжують займати значне місце в нашій практиці гіндуїзму."
 sun_consider_islam_title:0 "Подумаємо про іслам"
 sun_consider_islam_desc:0 "Ісламська віра швидко поширюється по всій Нусантарі. Нам слід більше дізнатися про цю віру і подумати, чи підходить вона нам."
 sun_develop_cities_title:0 "Розвиток нових міст"
 sun_develop_cities_desc:0 "З часом міста ростуть та падають. Ми повинні розвивати нові центри торгівлі та населення, щоб вони стали осередками влади нашої держави."
 sun_candi_temples_title:0 "Відбудувати храми Канді"
 sun_candi_temples_desc:0 "Ява всіяна храмами Канді, яким ганебно дозволили прийти в занепад і вийти з ужитку. Ми повинні поставити перед собою завдання відбудови та відновлення цих храмів."
 sun_borobudur_title:0 "Відновити Боробудур"
 sun_borobudur_desc:0 "Маджапагіт дозволив зруйнуватися великому храму Боробудур. Ми повинні його відновити."
 sun_borobudur:0 "Боробудур відновлено"
 desc_sun_borobudur:0 "Наші зусилля у відновленні храму збільшили наші архітектурні знання."
 sun_rice_production_title:0 "Покращити виробництво рису"
 sun_rice_production_desc:0 "Армія воює шлунком. Ми повинні вдосконалити наше виробництво рису, щоб забезпечити здоров'я населенню та добре забезпечити армію."
 sun_majapahit_relations_title:0 "Спадщина Бубата"
 sun_majapahit_relations_desc:0 "Багато років тому нас зрадив Маджапагіт, що призвело до жахливої битви при Бубаті. Відтоді наші стосунки зіпсувалися, і, певно, їх вже неможливо виправити. Мабуть, єдиний спосіб забезпечити нашу безпеку – підпорядкувати Маджапагіт нашому правлінню."
 sun_majapahit_relations_tt:0 "§YМаджапагіт§! є незалежним або данником, і його підтримає держава §Y[Root.GetName]§! під час §YПадіння Маджапагіта§!."
 sun_can_vassalize_maj:0 "Якщо ми гарантуємо незалежність §YМаджапагіта§!, вони стануть нашим васалом."
 sun_rule_java_title:0 "Правити Явою"
 sun_rule_java_desc:0 "Вся Ява має ввійти до Королівства Сунда."
 sun_conquer_lampung_title:0 "Підкорити Лампунг"
 sun_conquer_lampung_desc:0 "Південна Суматра багата на виробництво перцю, тому стане чудовою ціллю для нашої експансії."
 sun_subjugate_sumatra_title:0 "Підпорядкувати Суматру"
 sun_subjugate_sumatra_desc:0 "Дрібні султани Суматри роз'єднані й не готові до справжньої війни. Ми повинні вдарити, перш ніж вони встигнуть об'єднатися."
 flavor_sun.1.t:0 "Сунітська віра"
 flavor_sun.1.d:0 "Оскільки все більше наших людей приймають іслам, ми повинні серйозно задуматися над тим, чи слід нам прийняти його як нашу державну релігію. Є ті, хто засудить нас за те, що ми відвертаємося від минулого, але ми повинні думати, що краще для нашої нації та наших людей."
 flavor_sun.1.a:0 "Ми приймемо сунітську віру."
 flavor_sun.1.b:0 "Ми не відмовимося від [Root.Religion.ReligionAdjectiveKOJI] віри."
 sun_kept_the_faith:0 "Зберігли віру"
 desc_sun_kept_the_faith:0 "Ми відмовилися зректися нашої віри та вирішили протистояти зростанню ісламу в нашій країні."
 sunda_construction:0 "Будівництво храмів Канді"
 desc_sunda_construction:0 "Ми присвятили себе будівництву нових храмів Канді."
 ruler_of_java:0 "Правителі Яви"
 desc_ruler_of_java:0 "Тепер Сунда безпосередньо керує всією Явою."
 flavor_sun.2.t:0 "Нова столиця, нова держава"
 flavor_sun.2.desc:0 "Під нашим правлінням Бантен і Чиребон стали великими містами, і ми заснували нове місто під назвою Джаякерта поблизу Калапи. Будь-яке з цих міст могло б стати чудовою резиденцією для нашої влади, якби ми захотіли перемістити двір і знаменувати нову еру для нашого народу."
 flavor_sun.2.a:0 "Столицею залишиться [Root.Capital.GetCapitalName]."
 flavor_sun.2.b:0 "Нашою столицею буде Бантен."
 flavor_sun.2.c:0 "Хорошим вибором буде Чиребон."
 flavor_sun.2.d:0 "Джаякерта – наша славна фортеця."
 flavor_sun.3.t:0 "Знаменне весілля"
 flavor_sun.3.d:0 "Багато років тому маджапагітський генерал Гаджа Мада обманом втягнув нас у політичний шлюб, який зробив Сунду простою васальною державою Маджапагіта. Сьогодні немає жодного шахрайства. Коли наш принц візьме свою нову яванську дружину, підпишуться договори, що закріплюють підпорядкування Маджапагіта правлінню [Root.GetGovernmentOMU] [Root.GetTagOGO]."
 flavor_sun.3.a:0 "Маджапагіт більше не турбуватиме нас."
 mnd_bei_impress_sulu_title:0 "Вразити Сулу"
 mnd_bei_impress_sulu_desc:0 "Ми підтримуємо тісні зв'язки із невеликим султанатом Сулу. Ми повинні закріпити ці зв'язки, щоб прокласти шлях до їхньої можливої інтеграції до нашої імперії."
 mnd_bei_conquer_mindanao_title:0 "Підкорити Мінданао"
 mnd_bei_conquer_mindanao_desc:0 "За допомогою наших підданих із Сулу ми розпочнемо вторгнення до Мінданао."
 mnd_bei_conquer_philippines_title:0 "Вісайське завоювання"
 mnd_bei_conquer_philippines_desc:0 "Із завоюванням Вісайських островів наші кампанії на північному сході буде завершено."
 mnd_bei_impress_maynila_title:0 "Вразити Манілу"
 mnd_bei_impress_maynila_desc:0 "Раджа Маніли напевно знає, що не зможе протистояти нам. Можливо, домігшись його прихильності, він просто підкориться нашому правлінню."
 mnd_bei_conquer_luzon_title:0 "Підкорити Лусон"
 mnd_bei_conquer_luzon_desc:0 "Тепер, коли Маніла знаходиться під нашим правлінням, відкрито шлях для [Root.GetAdjective]ого завоювання Лусона."
 bei_easy_colony:0 "Потенційна брунейська колонія"
 desc_bei_easy_colony:0 "Це місце було позначено як серйозний кандидат створення брунейської колонії."
 mnd_bei_conquer_sambas_title:0 "Підкорити Самбас"
 mnd_bei_conquer_sambas_desc:0 "Сусіднє королівство Самбас – це все, що стоїть на шляху нашого панування над західним Борнео."
 mnd_bei_unite_borneo_title:0 "Об'єднати Борнео"
 mnd_bei_unite_borneo_desc:0 "Ми повинні об'єднати весь Борнео під владою Брунейськоъ імперії."
 mnd_bei_conquer_berau_title:0 "Підкорити Берау"
