l_ukrainian:
 LOADING_TIP_0:0 "У республіках вибори проходять кожні 4-8 роки."
 LOADING_TIP_56:0 "Не поспішайте діяти, дізнайтеся про друзів і суперників свого ворога, перш ніж оголошувати війну. Вони можуть бути корисними."
 LOADING_TIP_57:0 "Утримання армій, флоту та радників з часом дорожчає. Переконайтесь, що ваша економіка витримає таке навантаження."
 LOADING_TIP_58:0 "Зведення будівель може збільшити цінність ваших провінцій."
 LOADING_TIP_59:0 "Збільшення продуктивності в провінціях з цінними товарами приносить більше прибутку, ніж у провінціях з дешевими товарами."
 LOADING_TIP_60:0 "Націоналізація провінції буде значно дешевшою, якщо у вас на неї виготовлені претензії."
 LOADING_TIP_61:0 "Переконайтеся, що ви завойовуєте відмічені воєнні цілі, вони допоможуть швидше збільшувати воєнний рахунок."
 LOADING_TIP_62:0 "Агресивна експансія впливає на сусідні країни більше,\nніж на віддалені."
 LOADING_TIP_63:0 "Стежте за агресивною експансією, оскільки проти вас може сформуватися коаліція."
 LOADING_TIP_64:0 "Васалізація та дипломатична анексія можуть допомогти вам у розширенні ваших територій без дратування ваших сусідів."
 LOADING_TIP_65:0 "Якщо вам здається, що гра занадто важка, спробуйте зменшити складність."
 LOADING_TIP_66:0 "Втягнуті у надто дорогу війну? Не бійтеся оголосити військовий податок або взяти позику."
 LOADING_TIP_67:0 "Кожна група національних ідей має унікальний набір випадкових подій. Деякі з них є корисними, інші – ні."
 LOADING_TIP_68:0 "Імператор Священної Римської Імперії може призначати нових курфюрстів, якщо їх менше семи."
 LOADING_TIP_69:0 "Неможливо взяти фортецю штурмом, поки в її стінах не буде пробоїни."
 LOADING_TIP_70:0 "Галери мають перевагу в бою у внутрішніх морях. Прикладами таких є Балтійське, Середземне та Чорне моря."
 LOADING_TIP_71:1 "Призначення лідера з високим рівнем маневреності зменшить втрати підрозділу від виснаження."
 LOADING_TIP_72:0 "Клацніть F10 для зберегти знімку обраного заздалегідь типу мапи."
 LOADING_TIP_73:0 "Скорочення утримання флоту знижує торгову силу від суден. Якщо у вас є багато легких кораблів, ви втратите прибуток від торгівлі."
 LOADING_TIP_74:0 "Втома від війни зменшується повільно лише під час миру й взагалі не зменшується під час війни."
 LOADING_TIP_75:0 "Слідкуйте за утвореними коаліціями. Війна з усіма вашими сусідами може мати небезпечні наслідки."
 LOADING_TIP_76:0 "Ви можете виготовити претензії не лише на сусідні провінції, але й на землі, які межують з тією ж морською зоною, що й ваша національна провінція."
 LOADING_TIP_77:0 "Більшість часто уживаних команд мають гарячі клавіші. Перевірте підказки, щоб дізнатися про них."
 LOADING_TIP_78:0 "Використовуйте CTRL+цифрові клавіші, щоб призначити загін у групу. Використовуйте цифрові клавіші, щоб миттєво вибрати групу."
 LOADING_TIP_79:0 "Резерв рекрутів відновлюється повільно. Можливо варто поповнити армію найманцями для збереження людських ресурсів."
 LOADING_TIP_80:0 "Клацніть клавішу Home, щоб перейти до вашої столиці."
 LOADING_TIP_81:0 "Висококваліфіковані радники обходяться набагато дорожче за менш кваліфікованих. Переконайтеся, що ви можете собі дозволити кваліфікованіших радників, перш ніж їх наймати."
 LOADING_TIP_82:0 "Бойові якості війська визначають не лише його показники вогню і натиску, тримайте в голові й ваші модифікатори цих показників."
 LOADING_TIP_83:0 "Фортеці вищих рівнів майже неможливо захопити без артилерії. Переконайтеся, що ви захопили з собою достатньо вогневої сили."
 LOADING_TIP_84:0 "Розміщення армії в бунтівній провінції значно зменшує рівень місцевих заворушень."
 LOADING_TIP_85:0 "Ви можете використовувати свій флот, щоб не дати ворожому війську перетнути протоку."
 LOADING_TIP_86:0 "Ви можете знайти зроблені знімки тут: ../Documents/Paradox Interactive/Europa Universalis IV/Screenshots"
 LOADING_TIP_87:0 "Клацніть F11, щоб зробити знімок гри."
 LOADING_TIP_88:0 "Роздаючи накази бойовим одиницям, утримуйте Shift\nдля створення заданого маршруту."
 LOADING_TIP_89:0 "Ви можете видалити файл збереження гри, натиснувши на ньому ПКМ."
 LOADING_TIP_90:0 "Клавіші Z та C можуть бути використані для скасування, або підтвердження рішень у подіях та дипломатичних рішеннях."
 LOADING_TIP_91:0 "Клавіша B відкриває інтерфейс перерозподілу армії."
 LOADING_TIP_92:0 "У вікні перерозподілу армії можна перерозподіляти підрозділи на ту, чи іншу сторону за допомогою клавіш Z та B."
 LOADING_TIP_93:0 "Клавішу B можна використовувати для скасування виділення верхньої армії або флоту, коли вибрано декілька армій/флотилій."
 LOADING_TIP_94:0 "Османська Імперія – найсильніша у грі держава, тому рекомендована для новачків."
 LOADING_TIP_95:0 "Складність 'Дуже легко' підходить для новачків, які відчувають, що не впораються з 'Нормально'."
 LOADING_TIP_96:0 "Якщо вибрати складність 'Важко', ШІ майстерний наскільки можливо, майже без шахраювання."
 LOADING_TIP_97:0 "Якщо вибрати складність 'Дуже Важко', ШІ майстерний наскільки можливо, багато шахраює, щоб ускладнити гру навіть за визначні держави."
 LOADING_TIP_98:1 "Використовуйте місцевість на свою перевагу! Розташовуйте свої армії так, щоб у випадку атаки атакувальник отримав штраф за перехід ріки чи важкопрохідний ґрунт."
 LOADING_TIP_99:0 "Армія, яка тримає в облозі фортецю на ворожій території вважатиметься атакувальником у бою. Якщо її буде атаковано, вона зазнає штрафи за місцевість."
 LOADING_TIP_100:0 "На опанування цієї гри йде багато часу, не дивуйтеся, якщо дізнаєтесь щось нове після тисячі награних годин."
 LOADING_TIP_101:0 "Можна програти битву (чи декілька), проте виграти війну.\nЧасто має сенс продовжити боротьбу після невдалого початку."
 LOADING_TIP_102:0 "Слава Україні!\nГероям слава!"
