l_ukrainian:

 revolution.30.name:0 "[Root.philosopher_dude.GetName] фонтанує ідеями"
 french_revolution.301.desc2:0 "Невідомо чим головн[Root.GetEAEndAYJ] [Root.GetEventAdvisorTitle] [Root.GetEventAdvisorName] виклика[Root.GetEAEndVLa] гнів [Root.Monarch.GetTitleOGO], але Комітет громадської безпеки все ж визначив [Root.GetEventAdvisorHerHis], як потенційного реакціонера. Заради певності, якщо їхні підозри виявляться правильними, вони рекомендують стратити [Root.GetEventAdvisorHerHis] на гільйотині."
 french_revolution.301.desc3:0 "Схоже, що один з членів Комітету громадської безпеки почув як [Root.GetEventAdvisorName], головн[Root.GetEAEndAYJ] [Root.GetEventAdvisorTitle] держави [Root.GetUsableName] робить звинувачувальні заяви підозрюваному в контрреволюції. Ще не встигла стихнути луна від доповіді про це, як Комітет затаврував [Root.GetEventAdvisorHerHis] ворогом народу й рекомендує страту на гільйотині."
 french_revolution.301.A:0 "Чергова жертва мадам Гільйотини."
 french_revolution.301.B:0 "Ми [Root.GetEventAdvisorHerHis] помилуємо."

 french_revolution.303.name:0 "Терор править бал"
 french_revolution.303.desc:0 "Часті чистки залишили ворогів Революції в жаху. Ніхто не наважується виступити проти курсу, встановленого урядом, залишаючи країну згуртованою, як ніколи раніше. Слався [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName]!"
 french_revolution.303.A:0 "Якщо вони не можуть нас любити, нехай вони нас бояться."

 french_revolution.5.female:0 "Після революції королева та інші члени королівської сім'ї перебували під домашнім арештом у палаці Тюїльрі, де її перетворили на мимовільну маріонетку нового режиму. Хоча вона обіцяла гарантувати соціальний поступ Революції, вона не приховувала свого презирства до цієї брудної конституційної монархії, яка була їй нав'язана, і замість цього планувала втекти та шукати притулку в наших ворогів у державі [flee_to_country.GetUsableName], і звідки, як вона сподівалася, зможе відновитися на престолі. Однак революційні сили перехопили її перш, ніж вона змогла перетнути кордон.\n\nЦе надихнуло всіх тих, хто зневажає монархію і бажає назавжди позбавити нас від цього лиха. Вона постала перед Національною асамблеєю й перед судом за звинуваченням у змові з іноземними державами та, таким чином, у зраді. У разі визнання її винною, вона буде змушена відректися від престолу, позбутися всіх титулів і піддатися страті на гільйотині. Однак напруга зростає, а голосування, швидше за все, відбудеться дуже швидко."
 french_revolution.5.male:0 "Після революції король та інші члени королівської сім'ї перебували під домашнім арештом у палаці Тюїльрі, де його перетворили на мимовільну маріонетку нового режиму. Хоча він обіцяв гарантувати соціальний поступ Революції, він не приховував свого презирства до цієї брудної конституційної монархії, яка була йому нав'язана, і замість цього планував втекти та шукати притулку в наших ворогів у державі [flee_to_country.GetUsableName], і звідки, як він сподівався, зможе відновитися на престолі. Однак революційні сили перехопили його перш, ніж він зміг перетнути кордон.\n\nЦе надихнуло всіх тих, хто зневажає монархію й бажає назавжди позбавити нас від цього лиха. Він постав перед Національною асамблеєю і перед судом за звинуваченням у змові з іноземними державами та, таким чином, у зраді. У разі визнання його винним, він буде змушений відректися від престолу, позбутися всіх титулів і піддатися страті на гільйотині. Однак напруга зростає, а голосування, швидше за все, відбудеться дуже швидко."

 french_revolution.8.desc:0 "Нашого улюбленого  [Root.Monarch.GetTitleOGO] було вбито! Змовники-роялісти сховали свою бомбу в бочці на візку, припаркованому на вулиці Сен-Нікез, де Наполеон мав проїхати по дорозі в Оперу, щоб побачити відкриття ораторії Йозефа Гайдна 'Die Schöpfung.' Бомба, що отримала прізвисько 'Пекельна машина', була наповнена порохом, легкозаймистими матеріалами та кулями й приведена в дію за допомогою довгого фітіля. Вибух стався якраз в той час, коли Наполеон наблизився, миттєво його убивши."
 french_revolution.8.B:0 "Quelle tragédie! – Яка трагедія!"

 rus_revolutionary_zeal:0 "Російська революція"
 desc_rus_revolutionary_zeal:0 "Народ Росії прийняв Революцію! Тепер ми повинні поширити її по всіх куточках землі!"

 REVOLUTIONARY_SPANISH_REPUBLIC:0 "Верховна хунта"
 FIRST_OFFICER:0 "Перший офіцер"
 REVOLUTIONARY_SWEDISH_REPUBLIC:0 "Sakerhetstinget"
 REVOLUTIONARY_DANISH_REPUBLIC:0 "Sikkerhedtinget"
 FIRST_LAWSPEAKER:0 "Перший закономовець"
 FIRST_LAWSPEAKER_fem:0 "Перша закономовиця"
 SUPREME_VIZIER:0 "Верховний візир"
 SUPREME_VIZIER_fem:0 "Верховна візира"
 CHAIRMAN:0 "Голова"
 CHAIRMAN_fem:0 "Голова"

 revolution.31.name:0 "Еспанська революція"
 revolution.31.desc:0 "Революція! Натовп штурмував королівський палац в місті [Root.Capital.GetCapitalName] та захопив [Root.Monarch.GetTitleOGO]. [Root.Monarch.GetName] бу[Root.Monarch.GetMEndVLa] негайно страчен[Root.Monarch.GetMEndAYJ] разом з іншими членами королівської родини, які не змогли врятуватися.\n\nУ республіці було оголошено Верховною центральною хунтою, яка складається з двох представників від кожного з районів еспанської держави на чолі з відомим філософом і юристом Гаспаром Мельхором де Йовелланосом. Він обіцяє скасувати кріпосне право, встановити рівність перед законом і перерозподілити дворянські землі між державою та селянством, що приведе Еспанію та решту Європи до світлішого майбутнього, вільного від гніту."
 revolution.31.A:0 "Viva la revolución!"

 revolution.32.name:0 "[Root.GetAdjective]а революція"
 revolution.32.desc.swedish:0 "Революція! Вона почалася з перевороту, організованого групою дворян, які швидко здобули популярність, як '[GetYear] ars man' – 'Люди [GetYear] року', і під тиском котрих [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] бу[Root.Monarch.GetMEndVLa] змушен[Root.Monarch.GetMEndAYJ] відректися від престолу і відправитися у вигнання. Попри те, що змовники прагнули встановити конституційну монархію, ситуація швидко загострилася, оскільки радикальна кліка юристів, бізнесменів і лібералів розбурхала натовп підбурливими промовами, розпалюючи народне обурення проти монарха. Королівський палац у місті [Root.Capital.GetCapitalName] був узятий штурмом, чиновники лише з жахом могли дивитися на падіння символу старого режиму і проголошення республіки.\n\nТимчасовий контроль над державою взяв на себе 'Säkerhetstinget' або 'Комітет громадської безпеки', де панували радикали. Вони обіцяють встановити рівність перед законом і перерозподілити дворянські землі між державою та селянством, що приведе [Root.GetTagKUDY] та решту Європи до світлішого майбутнього, вільного від гніту."
 revolution.32.desc.norwegian:0 "Революція! Вона почалася з перевороту, організованого групою дворян, які швидко здобули популярність, як 'Menn fra [GetYear]' – 'Люди [GetYear] року', і під тиском котрих [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] бу[Root.Monarch.GetMEndVLa] змушен[Root.Monarch.GetMEndAYJ] відректися від престолу і відправитися у вигнання. Попри те, що змовники прагнули встановити конституційну монархію, ситуація швидко загострилася, оскільки радикальна кліка юристів, бізнесменів і лібералів розбурхала натовп підбурливими промовами, розпалюючи народне обурення проти монарха. Королівський палац у місті [Root.Capital.GetCapitalName] був узятий штурмом, чиновники лише з жахом могли дивитися на падіння символу старого режиму і проголошення республіки.\n\nТимчасовий контроль над державою взяв на себе 'Sikkerhedtinget' або 'Комітет громадської безпеки', де панували радикали. Вони обіцяють встановити рівність перед законом і перерозподілити дворянські землі між державою та селянством, що приведе [Root.GetTagKUDY] та решту Європи до світлішого майбутнього, вільного від гніту."
 revolution.32.desc.danish:0 "Революція! Вона почалася з перевороту, організованого групою дворян, які швидко здобули популярність, як '[GetYear] ars maend' – 'Люди [GetYear] року', і під тиском котрих [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] бу[Root.Monarch.GetMEndVLa] змушен[Root.Monarch.GetMEndAYJ] відректися від престолу і відправитися у вигнання. Попри те, що змовники прагнули встановити конституційну монархію, ситуація швидко загострилася, оскільки радикальна кліка юристів, бізнесменів і лібералів розбурхала натовп підбурливими промовами, розпалюючи народне обурення проти монарха. Королівський палац у місті [Root.Capital.GetCapitalName] був узятий штурмом, чиновники лише з жахом могли дивитися на падіння символу старого режиму і проголошення республіки.\n\nТимчасовий контроль над державою взяв на себе 'Sikkerhedtinget' або 'Комітет громадської безпеки', де панували радикали. Вони обіцяють встановити рівність перед законом і перерозподілити дворянські землі між державою та селянством, що приведе [Root.GetTagKUDY] та решту Європи до світлішого майбутнього, вільного від гніту."
 revolution.32.A.swedish:0 "For ett fritt Norden!"
 revolution.32.A.norwegian:0 "For et fritt Nord!"
 revolution.32.A.danish:0 "For et frit Norden!"

 revolution.33.name:0 "Штурм Лондонського Тауера"
 revolution.33.desc:0 "'Мені крає серце, що честь [Root.GеtStаtеFоrmOGO] опустилася до проституції.' За ці зухвалі слова [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] заарештува[Root.Monarch.GetMEndVLa] і посади[Root.Monarch.GetMEndVLa] у в'язницю популярного політика Джона Вілкса. Однак це викликало великі протести в Лондоні, де юрби зібралися під кричущим девізом: 'За Вілкса і свободу!'. Чиновники зачитали 'Акт про заворушення', у якому військам приписується відкривати вогонь по протестантах, але це лише загострило напруженість, оскільки натовп все зростав. Незабаром по всьому місту піднялися протести, а великий натовп взяв штурмом Лондонський Тауер, звільнивши всіх політичних в'язнів. На чолі з самим Вілксом натовп повернув до Букінгемського палацу. [Root.Monarch.GetTitleOGO_CAP] було схоплено під час спроби втечі з міста й тепер [Root.Monarch.GetSheHe] постане перед судом за змову проти [Root.GetAdjective]ого народу, і вердикт суду очевидний.\n\nРеволюційний комітет на чолі з Вілксом взяв на себе контроль над новою республікою, пообіцявши скасувати кріпосне право, встановити рівність перед законом і перерозподілити дворянські землі між державою та селянством, що приведе [Root.GetTagKUDY] до світлішого майбутнього, заснованого на ідеалах свободи і рівності всіх людей."
 revolution.33.A:0 "Хай живе Республіка!"

 revolution.34.name:0 "Падіння [Root.GetGovernmentOGO]"
 revolution.34.desc:0 "Революція! Давня незадоволеність відсутністю значущих реформ з боку [Root.GetGovernmentOGO] скипіла, коли революціонери взяли штурмом палац Топкапи в місті [Root.Capital.GetCapitalName], захопивши гарем [Root.Monarch.GetTitleOGO] і королівську скарбницю. [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] намага[Root.Monarch.GetMEndVSia] втекти, але уникнути полону надовго не вийшло. [Root.Monarch.GetMJOGOCap] було швидко засуджено за злочини проти народу та віри.\n\nІмператорський диван було очищено від усіх реакціонерів і реорганізовано в керівну раду нової Республіки, яку тепер очолює самозваний Верховний візир [Root.new_supreme_vizier.GetName]. Новий режим обіцяє скасувати кріпосне право, встановити рівність перед законом і перерозподілити дворянські землі між державою та селянством, щоб усі, хто сповідують [Root.Religion.ReligionGroupSmall] стали як брати, вільні від утисків."
 revolution.34.desc.heir:0 "Революція! Давня незадоволеність відсутністю значущих реформ з боку [Root.GetGovernmentOGO] скипіла, коли революціонери взяли штурмом палац Топкапи в місті [Root.Capital.GetCapitalName], захопивши гарем [Root.Monarch.GetTitleOGO] і королівську скарбницю. [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] намага[Root.Monarch.GetMEndVSia] втекти, але уникнути полону надовго не вийшло. [Root.Monarch.GetMJOGOCap] було швидко засуджено за злочини проти народу та віри.\n\nІмператорський диван був очищено від усіх реакціонерів і реорганізовано в керівну раду нової республіки, яку тепер очолює самозваний Верховний візир [Root.new_supreme_vizier.GetName]. Новий режим обіцяє скасувати кріпосне право, встановити рівність перед законом і перерозподілити дворянські землі між державою та селянством, щоб усі, хто сповідують [Root.Religion.ReligionGroupSmall] стали як брати, вільні від утисків.\n\nПроте [Root.Heir.GetTitleHeirKHTO] [Root.Heir.GetName] залишається на волі у провінціях та зібра[Root.Heir.GetHEndVLa] армію османських лоялістів, які обіцяють повернути [Root.GetGovernmentSCHO]..."
 revolution.34.A:0 "Свобода є абсолютним правом народу!"

 revolution.35.name:0 "Наполеон Бонапарт"
 revolution.35.desc:0 "Хаос революції та загрози іноземної інтервенції дали амбітним молодим офіцерам шанс проявити себе – шанс, за який ухопився обома руками такий собі Наполеон Бонапарт – лейтенант корсиканської артилерії. Його успіх в декількох боях приніс йому популярність. Зовсім недавно він самотужки придушив повстання монархістів у місті [Root.Capital.GetCapitalName], після того, як розгорнув важкі гармати на міських вулицях, успіх цієї вирішальної дії викликав захоплення народу. Уже багато лідерів Революції ставляться до нього прихильно й наполягають на його підвищенні до високих постів. Проте, він – людина з великими амбіціями, той, хто, мабуть, не задовольниться владою, як простий [Root.Monarch.GetTitleKHTO]."

 revolution.36.desc:0 "Не задоволений тим, що є лише першим консулом, Наполеон Бонапарт пропонує коронувати його імператором Італії. Він обґрунтовує це тим, що відновлення спадкового правонаступництва ускладнить відновлення старого режиму Італії – адже в його житті було кілька роялістських заколотів, – але немає жодних сумнівів у тому, що його головна мотивація полягає в досягненні його власних амбіцій верховній владі. Ця пропозиція зустріла широку підтримку серед населення, яке прагне відносної стабільності дореволюційних років; проте твердолобі прихильники революції висловлюють занепокоєння у зв'язку з цією спробою сконцентрувати ще більше влади в руках Наполеона."
 revolution.36.A:0 "Італія стане Імперією!"

 revolution.37.name:0 "Революція в місті [Root.Capital.GetCapitalName]"
 revolution.37.desc:0 "Революція! Великі натовпи зібралися в місті [Root.Capital.GetCapitalName] вимагаючи широкого спектра поступок, головною з яких є більш демократична конституція.  Розгублен[Root.Monarch.GetMEndAYJ] масштабами протестів, [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] намага[Root.Monarch.GetMEndVSia] розрядити ситуацію, пропонуючи значні поступки. Однак лідер революціонерів, [Root.new_ruler.GetName], запевняє, що вони так легко не відступлять. 'Хіба можемо ми бути впевнені,' – запитав він, – 'що деспот стримає своє слово?' Після цього, [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] наказа[Root.Monarch.GetMEndVLa] військам розігнати натовп; проте війська відмовилися вести вогонь по протестантах, а натомість вигнали [Root.Monarch.GetHersHis].\n\nНовим керманичем революційної республіки був оголошений [Root.new_ruler.GetName], який обіцяє скасувати кріпосне право, встановити рівність перед законом, перерозподілити дворянські землі між державою та селянством і привести людей [Root.GetTagOGO] у майбутнє, кероване ідеалами свободи та рівності всіх людей."
 revolution.37.A:0 "Es lebe die Revolution! – Хай живе революція!"

 revolution.38.name:0 "Революція в місті [Root.Capital.GetCapitalName]"
 revolution.38.desc:0 "Революція! Протести в [Root.GetGovernmentDE], що вимагають перерозподілу землі, більш демократичної конституції та більшої автономії для ненімецьких регіонів, перетворилися на масову демонстрацію в місті [Root.Capital.GetCapitalName]. [Root.Monarch.GetTitle] [Root.Monarch.GetName] спробува[Root.Monarch.GetMEndVLa] розрядити ситуацію, пропонуючи символічні поступки, але це не заспокоїло натовп. Насильство з боку військових викликало гнів народу, і чернь взяла штурмом палац Гофбург, захопивши [Root.Monarch.GetTitleOGO], як[Root.Monarch.GetMEndUOgo] було негайно страчено.\n\nНовий революційний комітет проголосив, що [Root.GetUsableName] стає республікою, пообіцявши скасувати кріпосне право, встановити рівність перед законом, забезпечити більші права для меншин та перерозподілити дворянські землі між державою та селянством, що приведе державу [Root.GetUsableName] та решту Європи до світлішого майбутнього, вільного від гніту."
 revolution.38.A:0 "Вперед, до свободи!"

 center_of_revolution.2.name:0 "Сердита людина з провінції [william_jones_province.GetName]"
 center_of_revolution.2.desc:0 "[Root.william_jones.GetName], поет і вчений з провінції [william_jones_province.GetName], зробив собі ім'я серед своїх [william_jones_province.Culture.GetName]их братів, поширивши велику кількість націоналістичних памфлетів і навіть склавши національний [william_jones_province.Culture.GetName]ий гімн. Засуджуючи те, що він характеризує як [Root.GetAdjective]е пригнічення і спираючись на ідеали [revolution_target.GetAdjective]ої революції, він закликає своїх земляків зібрати свої речі, покинути свою батьківщину та шукати свободи в 'Обіцяній землі' Нового Світу.\n\nСхоже, його слова знайшли відгук серед людей, один з впливових дворян хвалив його як 'найпалкішу [william_jones_province.Culture.GetName]у людину, яку я коли-небудь зустрічав'. Вже зараз багато його земляків, радикалізованих його ідеями, відправляються [destination_country.Get_UVDO] [destination_country.GetTagKUDY]."
 center_of_revolution.2.A:0 "Хай їдуть, нам буде краще без них."
 center_of_revolution.2.B:0 "Ми не можемо допустити цю міграцію до колоній."
 opinion_hostile_expats:0 "Ворожі експатріанти"
 center_of_revolution.3.name:0 "Переворот в колоніях"
 center_of_revolution.3.desc:0 "Революційні ідеї, які зі швидкістю лісової пожежі поширюються по країні, починають проникати в наші колонії. Натхненні успіхом [revolution_target.GetAdjective]ої революції та оплакуючи відсутність свободи у своїй країні, багато розчарованих інтелектуалів і амбітних підприємців ринули [colonial_country.Get_UVDO] [colonial_country.GetTagKUDY], де вони сподіваються домогтися створення незалежної республіки, вільної від [Root.GetAdjective]ого панування."
 center_of_revolution.3.A:0 "Це може стати проблемою."
 center_of_revolution.4.name:0 "Свобода в колоніях"
 center_of_revolution.4.desc:0 "Посли від [colonial_country.GetTagOGO] приїхали до міста [Root.Capital.GetCapitalName] з таємною місією: знемагаючи під тягарем [rival_country.GetAdjective]ого правління, вони шукають підтримки своєї незалежності. Якщо ми зможемо запропонувати їм матеріальну підтримку, вони зможуть вирватися на свободу, принісши її людям Нового Світу і послаблюючи тих, хто противиться просуванню Революції на континенті [Root.Capital.GetContinentName]."
 center_of_revolution.4.desc.already_supporting:0 "Посли від [colonial_country.GetTagOGO] приїхали до міста [Root.Capital.GetCapitalName] з таємною місією: знемагаючи під тягарем [rival_country.GetAdjective]ого правління, вони потребують нашої подальшої підтримки їхньої незалежності. Якщо ми зможемо запропонувати їм додаткову матеріальну підтримку, вони зможуть вирватися на свободу, принісши її людям Нового Світу і послаблюючи тих, хто противиться просуванню Революції на континенті [Root.Capital.GetContinentName]."
 center_of_revolution.4.A:0 "Надішліть їм фінансову допомогу."
 center_of_revolution.4.B:0 "Надішліть їм іншу допомогу."
 center_of_revolution.4.C:0 "Нам краще зосередитися на чомусь іншому."
 center_of_revolution.5.name:0 "[From.GetName] підтримує нашу незалежність"
 center_of_revolution.5.desc:0 "Прагнучи поширити ідеали своєї революції та послабити своїх суперників з держави [rival_country.GetUsableName] будь-яким можливим способом, держава [From.GetName] погодилась надати нам матеріальну допомогу в нашому прагненні здобути незалежність від [rival_country.GetAdjective]ого уряду."
 center_of_revolution.5.A:0 "Дуже добре."
 center_of_revolution.6.name:0 "[From.GetName] каламутить воду в наших колоніях"
 center_of_revolution.6.desc:0 "Хоча вони заперечують всі звинувачення, ми виявили, що [From.GetName], не задовольнившись простою відмовою від всього, що є правильним і хорошим на континенті [Root.Capital.GetContinentName], надає таємну підтримку заколотникам [colonial_country.Get_UV] [colonial_country.GetTagDE]. Нам доведеться вжити швидких заходів проти обох держав, щоб запобігти втраті наших колоній!"
 center_of_revolution.6.A:0 "Та як вони посміли?!"
 opinion_funded_independence_war:0 "Профінасували війну за незалежність"
 opinion_funding_our_colonies_for_independence:0 "Профінасували незалежность колоній"
 opinion_refused_to_fund_independence_war:0 "Відмовилися фінансувати війну за незалежність"
 revolutionary_sentiment:0 "Революційні настрої"
 center_of_revolution.7.name:0 "Колишні революціонери повертаються в стрій"
 center_of_revolution.7.desc.is_former_target:0 "Після краху Революції ті, хто ніколи по-справжньому не ототожнював себе з її цілями, були знов почуті. Хоча ідеологічні суперечки напевно будуть терзати нашу країну ще довгі роки, революційний запал у провінціях поступово згасає."
 center_of_revolution.7.desc.former_target_exists:0 "Після краху [former_revolutionary_country.GetAdjective]ої революції, революційний запал населення в області [revolutionary_province.GetAreaName] трохи згас. Ті, що прагнули змінити систему, неохоче змирилися з продовженням життя за [Root.GetGovernmentOGO]."
 center_of_revolution.7.desc.no_former_target:0 "Після повної поразки тих, хто прагнув до революції, революційний запал населення в області [revolutionary_province.GetAreaName] трохи згас. Вони неохоче змирилися з продовженням життя за [Root.GetGovernmentOGO]."
 center_of_revolution.7.A:0 "Природний порядок речей відновлено."
 center_of_revolution.8.name:0 "Контрреволюціонери в провінції [revolutionary_province.GetName]"
 center_of_revolution.8.desc:0 "Підривні ідеали [revolution_target.GetAdjective]ої революції утвердилися в провінції [revolutionary_province.GetName], спотворюючи природний порядок речей. Однак, розсудливі представники дворянства не приймуть таке становище без бою. Вони об'єднали свої сили та обіцяють вигнати революціонерів з провінції [revolutionary_province.GetName], якщо ми надамо їм нашу підтримку."
 center_of_revolution.8.A:0 "Ми їх підтримаємо."
 center_of_revolution.8.B:0 "Ми не заважатимемо місцевій адміністрації."
 center_of_revolution.9.name:0 "Реакціонери в провінції [reactionary_province.GetName]!"
 center_of_revolution.9.desc:0 "Прихильники старого режиму в провінції [reactionary_province.GetName] показали себе ворогами народу, якими вони й є. У ретельно спланованій змові вони підкупили членів місцевої міліції та домоглися арешту наших чиновників за сфабрикованими звинуваченнями. Зараз вони стверджують, що це їхній обов'язок – допомогти людям провінції [reactionary_province.GetName] пережити ці важкі часи та захистити їх від найгірших наслідків революційного уряду. Як ми повинні з ними вчинити?"
 center_of_revolution.9.A:0 "Ми розчавимо цих ворогів народу!"
 center_of_revolution.9.B:0 "Вони не варті нашої уваги."
 center_of_revolution.10.name:0 "Республіканські інтриги в провінції [province_to_revolution.GetName]"
 center_of_revolution.10.desc:0 "Патріоти в провінції [own_revolutionary_province.GetName] попередили нас про можливість поширення ідеалів Революції. Республіканці з провінції [province_to_revolution.GetName] звернулися до них з проханням про [Root.GetAdjective]у допомогу в перевороті проти реакціонерів, які керують їхньою провінцією. Однак реакціонери міцно вкоренилися в провінції [own_revolutionary_province.GetCapitalName] і вони навряд чи досягнуть успіху без нашої матеріальної підтримки – чого їхні [neighbour_country.GetAdjective]і господарі напевно не схвалять."
 center_of_revolution.10.A:0 "Вони отримають нашу підтримку."
 center_of_revolution.10.B:0 "Ми не повинні втручатися у [neighbour_country.GetAdjective]і справи."
 center_of_revolution.11.name:0 "Переворот в провінції [province_to_revolution.GetName]"
 center_of_revolution.11.desc:0 "Небезпечні ідеалісти, що підтримують революційні думки, взяли під контроль провінцію [province_to_revolution.GetName], вигнавши або стративши тих з наших адміністраторів, що не присягнули на вірність їхньої справи. Свідки кажуть, що серед них були відомі [From.GetAdjective]і революціонери, хоча [From.GetAdjective]ий представник в місті [Root.Capital.GetCapitalName] заперечує, що йому що-небудь відомо про переворот."
 center_of_revolution.11.A:0 "Ми цього не потерпимо."
 opinion_revolutionary_coup_in_our_province:0 "Підтримка революціонерів у нашій державі"
 opinion_non_intervention:0 "Неінтервенціонізм"
 center_of_revolution.12.name:0 "[revolution_target.GetAdjective]і вигнанці прибувають до міста [Root.Capital.GetCapitalName]"
 center_of_revolution.12.desc:0 "Багато представників [revolution_target.GetAdjective]ої знаті втекли до міста [Root.Capital.GetCapitalName], рятуючись від революції, що охопила їхню країну. Тепер вони пропонують допомогти [Root.Monarch.GetTitleOMU] покласти край революційній загрозі, відновивши законних правителів [revolution_target.GetTagOGO], що дозволить їм легко відновити їхнє колишнє становище. Їхня поява вже посилила антиреволюційні настрої в нашій країні та навіть похитнула деяких з тих, хто раніше грав з небезпечно прогресивними ідеями."
 center_of_revolution.12.A:0 "Їм тут дуже раді."

 revolution.10.desc.nahuatl:0 "Революція! Влада [Root.GetGovernmentOGO] звалилася під власною вагою, коли революційні маси штурмували ключові урядові будівлі. [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] та його прихильники серед [Root.NoblesRD] були оточені революціонерами та принесені в жертву богам в надії, що їхній божественний гнів може бути пом'якшений такими іменитими підношеннями.\n\nЗараз призначений суто тимчасовий Комітет громадської безпеки, який проведе нову Республіку через цей революційний період. Однак існує безліч загроз, оскільки монархи та деспоти в усьому світі побоюються, що їх спіткає доля [Root.Monarch.GetTitleOGO] й уже готуються до війни проти нас. З іншого боку, ліберальні сили чекають від нас допомоги в їх власній боротьбі, тож ми зможемо заручитися їхньою підтримкою."
 revolution.10.opt.nahuatl:0 "Вівтарі забарвляться кров'ю ворогів Республіки!"

 revolution.39.name:0 "Батавська республіка"
 revolution.39.desc:0 "Революція! Kоли генерал Герман Віллем Данделс повернувся із заслання, щоби підтримати їхню справу, великі натовпи зібралися в місті [Root.Capital.GetCapitalName] вимагаючи широкого спектра поступок, головною з яких є більш демократична конституція. Після побачених написів на стіні [Root.Monarch.GetTitleKHTO] [Root.Monarch.GetName] втік[Root.Monarch.GetMEndLA] з країни на рибальському човні, перш ніж [Root.Monarch.GetHerHis] змогли зловити.\n\nПроголошено революційну 'Батавську' республіку, названу на честь старих заколотників проти Римської імперії. Її лідери, які користуються повною підтримкою генерала Данделса, обіцяють скасувати кріпосне право, встановити рівність перед законом, перерозподілити дворянські землі між державою та селянством, і привести людей [Root.GetTagOGO] у майбутнє, кероване ідеалами свободи та рівності всіх людей."
 revolution.39.A:0 "Хай живе революція!"

 junior_revolutionary_republic_reform:0 "Революційна держава"
 junior_revolutionary_republic_reform_desc:0 "Революційна республіка – це управління державою невеликою виконавчою владою за підтримки виборної палати депутатів. Ця держава робить все можливе для підтримки справи революції та поширення ідеалів свободи і рівності."

 republics.102.t:0 "Стабільність [Root.GetGovernmentOGO]"
 republics.102.d.pirate:0 "Суперечки між піратськими капітанами та [Root.Monarch.GetTitleKYM] вийшли з-під контролю. Не сподіваючись, що [Root.Monarch.GetName] відмовиться від своєї влади за власним бажанням, капітани об'єднали свої сили, щоб [Root.Monarch.GetHerHis] повалити. Коли [Root.Monarch.GetHerHis] тіло надійно гойдалося на шибениці, вони зібралися разом, щоб сформувати 'Раду заколотників', яка проведе [Root.GetGovernmentSCHO] через цей неспокійний час."
 republics.102.d.revolution:0 "Довіра до інституцій Республіки погіршилася до такої міри, що стали широко розповсюджуватися розмови про контрреволюційний переворот. З ростом підозр становище [Root.Monarch.GetTitleOGO] стало зовсім безнадійним. У цей непростий час [Root.Get_UV] [Root.GetTagDE] керівники Комітету громадської безпеки взяли під свій контроль Республіку до тих пір, поки не буде відновлена стабільність."
 republics.102.A.pirate:0 "Хай живуть заколотники!"
 republics.102.A.pirate.tooltip:0 "§YРада заколотників (2/2/2) прийде до влади. Це перепинить вибори, поки республіканські традиції залишатимуться нижче 50.§!"
