l_ukrainian:
 BOLD:0 "Сміливий"
 SET_GOVERNMENT_RANK:0 "Держава $WHO$ отримає уряд рівня $RANK$."
 SET_GOVERNMENT_AND_RANK:0 "Форма правління держави $WHO|Y$ зміниться на $GOV|Y$ з рангом рівня $RANK|Y$.\n"
 CREATE_REVOLT:0 "В провінції §Y$WHERE$§W підніметься повстання. Число полків заколотників буде становити §R$SIZE$§W.\n"
 CREATE_PIRATE:0 "В області §Y$WHERE$§W з'являться пірати. Число піратських кораблів буде становити §R$SIZE$§W.\n"
 NATIVE_FEROCITY:0 "Жорстокість тубільців у провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 NATIVE_HOSTILENESS:0 "Агресивність тубільців у провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 NATIVE_SIZE:0 "Чисельність тубільців у провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 CHANGE_BASE_TAX:0 "Базовий податок у провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 CHANGE_BASE_PROD:0 "Базове виробництво в провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 CHANGE_BASE_MP:0 "Базове число рекрутів у провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 COLONYSIZE:0 "Чисельність населення в провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 MISSIONARIES:0 "Число місіонерів $DIRECTION$ на $VALUE$.\n"
 MERCHANTS:0 "Число торговців $DIRECTION$ на $VALUE$.\n"
 COLONISTS:0 "Число колоністів $DIRECTION$ на $VALUE$.\n"
 SPIES:0 "Число шпигунів $DIRECTION$ на $VALUE$.\n"
 DIPLOMATS:0 "Число дипломатів $DIRECTION$ на $VALUE$.\n"
 HRE_STATUS:0 "Провінція §Y$WHERE$§W $DIRECTION$ частиною Священної Римської Імперії.\n"
 BECOME:0 "стане"
 NOLONGER:0 "перестане бути"
 PROV_MANPOWER:0 "Число рекрутів у провінції $WHERE$ $DIRECTION$ на $VALUE$.\n"
 DISCOVER:0 "Буде відкрито провінцію §Y$WHERE$§W.\n"
 ADD_BUILDING:0 "Будівлю §Y$NAME$§W буде побудовано в провінції §Y$WHERE$§W.\n"
 REM_BUILDING:0 "Будівлю §R$NAME$§W буде знищено в провінції §Y$WHERE$§W.\n"
 GOODS_CHANGE:0 "Провінція §Y$WHERE$§W почне виробляти §Y$NAME$§W.\n"
 PCULTURE_CHANGE:0 "Новою культурою провінції §Y$WHERE$§W стане §Y$NAME$§W.\n"
 SECEDE_PROVINCE:0 "Передасть свої провінції (§Y$WHERE$§W) державі §Y$WHO$§W.\n"
 INHERIT:0 "Приєднає державу §Y$WHO$§W.\n"
 RELEASE:0 "Надасть незалежність державі §Y$WHO$§W.\n"
 admiralty:0 "Адміралтейство"
 artisan_workshop:0 "Майстерня ремісників"
 cathedral:0 "Собор"
 constable:0 "Комендатура"
 courthouse:0 "Суд"
 customs_house:0 "Митниця"
 building_farm_estate:0 "Ферма"
 building_fine_arts_academy:0 "Академія мистецтв"
 fiscal_bureau:0 "Фінансова установа"
 fort1:0 "Укріплення 1 рівня"
 fort2:0 "Укріплення 2 рівня"
 fort3:0 "Укріплення 3 рівня"
 fort4:0 "Укріплення 4 рівня"
 fort5:0 "Укріплення 5 рівня"
 fort6:0 "Укріплення 6 рівня"
 inspection_agency:0 "Інспекція"
 local_market:0 "Ринок"
 marketplace:0 "Ярмарок"
 naval_college:0 "Морська академія"
 none:0 "відсутній"
 building_plantations:0 "Плантація"
 building_refinery:0 "Виноробня"
 regimental_camp:0 "Казарма"
 shipyard:0 "Корабельня"
 tax_assessor:0 "Податкова служба"
 temple:0 "Храм"
 building_textile:0 "Текстильна мануфактура"
 building_tradecompany:1 "Торговий пункт"
 building_mills:0 "Млин"
 building_university:0 "Університет"
 war_college:0 "Військова академія"
 building_weapons:0 "Військова мануфактура"
 building_wharf:0 "Морська мануфактура"
 workshop:0 "Майстерня"
 ---:0 " "
 dan:0 "Данія"
 got:0 "Ґотланд"
 reb:0 "Повстанці"
 rus:0 "Росія"
 swe:0 "Швеція"
 aboriginal:0 "Тубільна"
 aimara:0 "Аймарська"
 aka:0 "Акська"
 gulf_arabic:0 "Халіджийська"
 al_iraqiya_arabic:0 "Іракська"
 al_misr_arabic:0 "Єгипетська"
 al_suryah_arabic:0 "Сирійська"
 albanian:0 "Албанська"
 aleutian:0 "Алеутська"
 altaic:0 "Алтайська"
 amazonian:0 "Амазонська"
 american:0 "Американська"
 andalucian:0 "Андалузька"
 aquitaine:0 "Аквітанська"
 arawak:0 "Аравакська"
 armenian:0 "Вірменська"
 ashanti:0 "Ашантійська"
 assamese:0 "Ассамська"
 austrian:0 "Австрійська"
 avadhi:0 "Авадхська"
 azerbadjani:0 "Азербайджанська"
 aztek:0 "Ацтекська"
 baltic:0 "Балтійська"
 baluchi:0 "Белуджська"
 bantu:0 "Тагіку"
 basque:0 "Баскська"
 bavarian:0 "Баварська"
 bedouin_arabic:0 "Бедуїнська"
 bengali:0 "Бенгальська"
 berber:0 "Берберська"
 bihari:0 "Біхарська"
 breton:0 "Бретонська"
 british:0 "Британська"
 bulgarian:0 "Болгарська"
 burgundian:0 "Бургундська"
 burman:0 "Бірманська"
 burmese:0 "Бірманська"
 byelorussian:0 "Білоруська"
 byzantine:0 "Візантійська"
 cambodian:0 "Камбоджійська"
 cantonese:0 "Кантонська"
 carib:0 "Карибська"
 carribean:0 "Карибська"
 castillian:0 "Кастильська"
 catalan:0 "Каталонська"
 central_american:0 "Центральноамериканська"
 central_thai:0 "Центральнотайська"
 cham:0 "Чамська"
 cherokee:0 "Черокська"
 chihan:0 "Ханська"
 chin:0 "Чінська"
 cosmopolitan_french:0 "Франкійська"
 cree:0 "Крійська"
 creek:0 "Крікська"
 croatian:0 "Хорватська"
 czech:0 "Чеська"
 dakota:0 "Дакотська"
 danish:0 "Датська"
 delaware:0 "Делаварська"
 dravidian:0 "Дравідська"
 dutch:0 "Голландська"
 dyola:0 "Діольська"
 east_asian:0 "Східноазійська"
 east_slavic:0 "Східнослов'янська"
 english:0 "Англійська"
 estonian:0 "Естонська"
 ethiopian:0 "Ефіопська"
 filipino:0 "Пилипинська"
 finnish:0 "Фінська"
 finno_ugric:0 "Угорська"
 flemish:0 "Фламанська"
 franconian:0 "Франконська"
 french:0 "Французька"
 gaelic:0 "Кельтська"
 galician:0 "Галісійська"
 gascon:0 "Гасконська"
 georgian:0 "Грузинська"
 germanic:0 "Німецька"
 greek:0 "Грецька"
 guajiro:0 "Гуахірська"
 guarani:0 "Гуаранська"
 gujarati:0 "Гуджаратська"
 hannoverian:0 "Ганноверська"
 hejazi_culture:0 "Хеджазька"
 hessian:0 "Гессенська"
 highland_scottish:0 "Гельська"
 hindustani:0 "Гіндустанська"
 hungarian:0 "Мадярська"
 huron:0 "Гуронська"
 iberian:0 "Іберійська"
 inca:0 "Інкська"
 indian:0 "Індійська"
 indonesian:0 "Індонезійська"
 ingrian:0 "Інгрійська"
 inuit:0 "Інуїтська"
 irish:0 "Ірландська"
 iroquois:0 "Ірокезька"
 japanese:0 "Сайгокська"
 javan:0 "Яванська"
 kannada:0 "Каннада"
 khazak:0 "Казахська"
 khmer:0 "Кхмерська"
 kirgiz:0 "Киргизька"
 kongolese:0 "Конголезька"
 korean:0 "Корейська"
 kurdish:0 "Курдська"
 lao:0 "Лаоська"
 latin:0 "Латинська"
 latvian:0 "Латвійська"
 ligurian:0 " Лігурійська"
 lithuanian:0 "Литовська"
 leonese:0 "Леонська"
 lombard:0 "Ломбардська"
 lowland_scottish:0 "Шотландська"
 luri:0 "Лурійська"
 madagasque:0 "Малагасійська"
 maghreb_arabic:0 "Магрибська"
 malayan:0 "Малайська"
 malayalam:0 "Малаяламська"
 mahri_culture:0 "Махрійська"
 mali:0 "Малійська"
 maltese:0 "Мальтійська"
 manchu:0 "Маньчжурська"
 marathi:0 "Маратхійська"
 mataco:0 "Матакоська"
 mayan:0 "Майянська"
 melanesian:0 "Меланезійська"
 moluccan:0 "Молуккська"
 mon:0 "Монська"
 mongol:0 "Монгольська"
 navajo:0 "Навахська"
 neapolitan:0 "Неаполітанська"
 nepali:0 "Непальська"
 normand:0 "Норманська"
 north_american:0 "Північноамериканська"
 norwegian:0 "Норвезька"
 nubian:0 "Нубійська"
 occitain:0 "Окситанська"
 omani_culture:0 "Оманська"
 oriya:0 "Орійська"
 pacific:0 "Тихоокеанська"
 papuan:0 "Папуаська"
 pashtun:0 "Пуштунська"
 patagonian:0 "Патагонська"
 piedmontese:0 "П'ємонтська"
 persian:0 "Перська"
 polish:0 "Польська"
 polynesian:0 "Полінезійська"
 pommeranian:0 "Померанська"
 pontic_greek:0 "Понтійська"
 portugese:0 "Португальська"
 prussian:0 "Пруська"
 pueblo:0 "Пуеблійська"
 romagnan:0 "Романьйольська"
 rheinlaender:0 "Рейнська"
 romanian:0 "Волоська"
 russian:0 "Москвинська"
 ruthenian:0 "Руська"
 sapmi:0 "Саамська"
 saxon:0 "Саксонська"
 scandinavian:0 "Нордична"
 schlesian:0 "Силезька"
 semitic:0 "Семітська"
 senegambian:0 "Сенегамбійська"
 serbian:0 "Сербська"
 sardinian:0 "Сардинська"
 shan:0 "Шанська"
 shawnee:0 "Шаунійська"
 shona:0 "Шонська"
 siberian:0 "Сибірська"
 sicilian:0 "Сицилійська"
 sikh:0 "Сикхська"
 slovak:0 "Словацька"
 slovenian:0 "Словенська"
 somali:0 "Сомалійська"
 south_american:0 "Південноамериканська"
 south_slavic:0 "Південнослов'янська"
 southeast_asian:0 "Індокитайська"
 sulawesi:0 "Сулавесійська"
 swabian:0 "Швабська"
 swahili:0 "Суахільська"
 swedish:0 "Шведська"
 swiss:0 "Швейцарська"
 tamil:0 "Тамільська"
 tartar:0 "Татарська"
 telegu:0 "Телузька"
 teremembe:0 "Теремембська"
 thai:0 "Тайська"
 tibetan:0 "Тибетська"
 tuareg:0 "Туарезька"
 tunguz:0 "Тунгуська"
 tupinamba:0 "Тупінамбська"
 turkish:0 "Турецька"
 turkmeni:0 "Туркменська"
 tuscan:0 "Тосканська"
 ukrainian:0 "Українська"
 umbrian:0 "Умбрійська"
 uralic:0 "Уральська"
 uzbehk:0 "Узбецька"
 venetian:0 "Венецианська"
 mon_khmer:0 "Мон-кхмерська"
 malay:0 "Малайська"
 northern_thai:0 "Північнотайська"
 eastern_aryan:0 "Восточноарийська"
 sinhala:0 "Сингальська"
 hindusthani:0 "Хіндустанська"
 kanauji:0 "Канауджійська"
 panjabi:0 "Пенджабська"
 kashmiri:0 "Кашмірська"
 western_aryan:0 "Західноарійська"
 sindhi:0 "Сіндхійська"
 rajput:0 "Раджпутанська"
 vietnamese:0 "В'єтнамська"
 wallonian:0 "Валлонська"
 welsh:0 "Валлійська"
 west_indian:0 "Західноіндійська"
 west_slavic:0 "Західнослов'янська"
 yakut:0 "Якутська"
 yemeni_culture:0 "Йеменська"
 yorumba:0 "Йорубська"
 zapotek:0 "Сапотекська"
 chinese:0 "Китайська"
 lost_cultures_group:0 "Втрачені культури"
 atlantean:0 "Атланти"
 spartan:0 "Спартанська"
 athenian:0 "Афінська"
 old_egyptian:0 "Давньоєгипетська"
 roman:0 "Римська"
 jan_mayenese:0 "Ян-Маєнська"
 pruthenian:0 "Прутенська"
 phoenician:0 "Фінікійська"
 scanian:0 "Сканська"
 anglosaxon:0 "Англосаксонська"
 babylonian:0 "Вавилонська"
 etrurian:0 "Етруська"
 parthian:0 "Парфянська "
 aramaic:0 "Арамейська"
 hebrew:0 "Єврейська"
 scythian:0 "Скіфська"
 southern_african:0 "Південно-африканська"
 african:0 "Східно-бантуйська"
 great_lakes_group:0 "Велико-озерна"
 kongo_group:0 "Конголезька"
 yaka:0 "Яка"
 lunda:0 "Лунда"
 mbangala:0 "Мбангала"
 luba:0 "Луба"
 kuba:0 "Куба"
 mbundu:0 "Мбунду"
 chokwe:0 "Чокве"
 makua:0 "Макуа"
 nguni:0 "Нгуні"
 khoisan:0 "Хойсанська"
 nyasa:0 "Ньяса"
 sawabantu:0 "Савабанту"
 jukun:0 "Джукуні"
 acholi:0 "Ачолі"
 bena:0 "Бена"
 masaba:0 "Масаба"
 bemba:0 "Бемба"
 ganda:0 "Ґанта"
 takama:0 "Такама"
 rwandan:0 "Руандська"
 togoku:0 "Тогоку"
 kyushuan:0 "Кюсюйська"
 novgorodian:0 "Новгородська"
 ryazanian:0 "Рязанська"
 transylvanian:0 "Трансільванська"
 carpathian:0 "Карпатська"
 noculture:0 "Немає культури"
 TERRA_INCOGNITA:0 "Недосліджена територія"
 CAPITAL_Froson:0 "Фросон"
 CAPITAL_Halmstad:0 "Гальмстад"
 CAPITAL_Kalmar:0 "Кальмар"
 CAPITAL_Kien_Kasjarkka:0 "Кіен Кашарка"
 CAPITAL_Lund:0 "Лунд"
 CAPITAL_Marstrand:0 "Марстранд"
 CAPITAL_Mora_Socken:0 "Мура"
 CAPITAL_Nyslott:0 "Нюслотт"
 CAPITAL_Raseborg:0 "Расеборг"
 CAPITAL_Skara:0 "Скара"
 CAPITAL_Sordavala:0 "Сортавала"
 CAPITAL_Stockholm:0 "Стокгольм"
 CAPITAL_Tavastehus:0 "Тавастехус"
 CAPITAL_Umea:0 "Умео"
 CAPITAL_Viborg:0 "Виборг"
 CAPITAL_Visby:0 "Вісбю"
 CAPITAL_Abo:0 "Або"
 CAPITAL_Orebro:0 "Еребру"
 DEVELOPMENT:0 "Розвиток: "
 animism:0 "Анімізм"
 buddhism:0 "Тхеравада"
 vajrayana:0 "Ваджраяна"
 mahayana:0 "Махаяна"
 catholic:0 "Католицизм"
 christian:0 "Християнство"
 confucianism:0 "Конфуціанство"
 eastern:0 "Східна"
 hinduism:0 "Гіндуїзм"
 muslim:0 "Іслам"
 orthodox:0 "Православ'я"
 pagan:0 "Язичництво"
 protestant:0 "Протестантизм"
 reformed:0 "Реформаторство"
 shamanism:0 "Фетишизм"
 shiite:0 "Шиїзм"
 shinto:0 "Синтоїзм"
 sunni:0 "Сунізм"
 totemism:0 "Тотемізм"
 noreligion:0 "Немає релігії"
 noreligion_religion_desc:0 "У цій місцевості немає населення і, відповідно, релігії."
 animism_religion_desc:1 "Анімізм – вірування у те, що світ населений рядом надприродних істот – духів, при чому світ не поділяється на земний та духовний. Духи можуть жити де-завгодно, від гір до блискавок, в залежності від проживання їхніх прихильників.\nУ грі Анімізмом позначено широке коло вірувань від Південної Америки до Африки чи Індонезії."
 norse_pagan_reformed_religion_desc:0 "Скандинавське язичництво – політеїстична традиційна система вірувань народів Скандинавії.\nЧаси цієї релігії давно минули й у 1444 році не лишилося провінції, або країни де б її практикували."
 jewish_religion_desc:1 "Найдавніша авраамічна релігія у грі – юдаїзм – будується на Торі та традиціях і святих писаннях єврейського народу вже понад 3000 років.\nДо початку гри юдаїзм – віра меншин у багатьох країнах світу й розповсюджена тільки в двох провінціях Симен і Демба в Ефіопії."
 zoroastrian_religion_desc:1 "Зороастрійська релігія є традиційною вірою іранського народу і давньої Перської Імперії. Зороастрійці – монотеїсти, які слідують вченню пророка Заратустри.\nУ даті старту гри зороастризм перебуває в занепаді протягом століть після ісламського завоювання Ірану і, крім концентрації навколо провінції Єзд, вони існують тільки як не представлені в грі меншини в Індії та Персії."
 ibadi_religion_desc:0 "Ібадизм, за твердженням його прихильників, набагато старше сунітського і шиїтського ісламу, але далеко не такий популярний. Ібадисти особливо підкреслюють суворе дотримання ними тлумачення ісламу і шаріату, який вони вважають таким же давнім, але більш ортодоксальним.\nУ грі ібадисти існують у більшості тільки в Омані і навколо оази Мзаб, що в Північній Африці."
 sikhism_religion_desc:0 "Сикхізм – це віра, заснована Гуру Нанаком на рубежі XVI століття в Пенджабі. Монотеїстична релігія, сикхізм зародилася в районі, де змішуються іслам і гіндуїзм, однак у багатьох відношеннях він відмінний від них обох.\nНа початку гри жодна країна або провінція не сповідує сикхізм, але, ймовірно, він з'явиться за кілька десятиліть від початку гри."
 buddhism_religion_desc:1 "Як і всі буддійські гілки, Тхеравада виникає з вчення Ґаутами Будди, що з'явилося в V столітті до нашої ери. Послідовники Тхеравади покладаються на палійські канони в релігійних і правових принципах, акцент ставиться на чернечих обов'язках і досягненні стану Аргат або просвітлення.\nУ грі буддизм Тхеравади в основному практикується на Шрі-Ланці та у Південно-Східній Азії."
 vajrayana_religion_desc:1 "Також відомий як тантричний буддизм або навіть ламаїзм, Ваджраяна – гілка буддизму, де мета послідовників – стати Бодгісаттвою за допомогою тантричних методів. Вважається, що просвітлення не може бути досягнуто просто звичайним навчанням, але направляти цей процес повинен особливий учитель.\nУ грі буддизм Ваджраяни в основному практикується в Тибеті і, в якійсь мірі, в північних азійських степах."
 mahayana_religion_desc:1 "Махаяна – це найпоширеніший різновид буддизму. Мета її прихильників – досягнення просвітлення і, можливо, набуття статусу Будди.\nУ грі тільки Дай В'єт починає з Махаяною, оскільки багато країн, де вона була домінуючою, відносяться, натомість, за категоріями до конфуціанських."
 catholic_religion_desc:1 "Католицизм – один із напрямів християнства, що уходить корінням у старий латинський обряд, що визнає Папу головою християнського світу.\nУ 1444 році католицизм є домінуючою християнською церквою в Західній і Північній Європі, але, ймовірно, незабаром буде зруйнований протестантизмом і реформізмом під час Реформації."
 confucianism_religion_desc:1 "Конфуціанство – це термін, що позначає вчення Конфуція – філософа, який жив у V столітті до нашої ери. Конфуцій підкреслював особистий розвиток і важливість хорошого уряду.\nУ грі Китай і Корея розпочинають з конфуціанством, яке також поширене серед чжурчженьських держав у Маньчжурії."
 hinduism_religion_desc:1 "Гіндуїзм – це назва широкого діапазону політеїстичних індійських вірувань із загальним пантеоном.\nБудучи однією з найдавніших релігій, у грі гіндуїзм у першу чергу присутній в Індії та деяких частинах Південно-Східної Азії, де він втрачає свої позиції в боротьбі з буддизмом та ісламом."
 orthodox_religion_desc:1 "Православна християнська віра сягає корінням до грецьких обрядів і вважає себе набагато ближчою до первинних християнських ідеалів, ніж католицька церква. Православ'я відкидає ідею єдиного Папи і замість цього ділиться на ряд церков під головуванням патріархів.\nУ грі велика частина Східної Європи православна."
 protestant_religion_desc:1 "Протестантизм охоплює широкий спектр релігійних традицій, починаючи з навчання Мартіна Лютера під час Реформації. Вони виступають проти цілого ряду конвенцій, які з плином часу розробили в католицькій церкві й проти ідеї самого Папства.\nУ грі протестантизм охоплює, в основному, країни, натхненні вченням Лютера і які сформували державні церкви."
 reformed_religion_desc:0 "Реформізм охоплює широкий спектр релігійних традицій, натхненний такими людьми, як Жан Кальвін або Джон Нокс. Як правило, з'являється пізніше, ніж релігії, класифіковані як протестантизм. Реформізм також відкидає папську владу і хоче повернутися до правил священних писань, але, на відміну від протестантів, реформісти дотримуються безкомпромісніших ідей, таких як напередвизначення та іконоборство. Вони не збираються формувати державну церкву."
 shamanism_religion_desc:1 "Фетишизм охоплює дуже широкий спектр корінних африканських релігій, де на чільному місці стоять шанування предків, використання магії і народна медицина.\nУ грі фетишизм поширений у великій частині Африки."
