l_ukrainian:
 FAVORSGAINED_TITLE: "Накопичено прихильність"
 ESTATEMOD_LOST_4: "$LOST_MOD$."
 ESTATEMOD_LOST_5: "$LOST_EFFECT$"
 ESTATEMOD_LOST_6: ""
 ESTATEMOD_LOST_LOG: "Сплив час дії модифікатора $LOST_MOD$ на стан $ESTATE$."
 ESTATEMOD_LOST_BTN1: "Гаразд"
 ESTATEMOD_LOST_BTN2: "Гаразд"
 ESTATEMOD_LOST_BTN3: "Перейти"
 ESTATEMOD_LOST_MAP: ""
 CULTURALUNION_TITLE: "Створено культурний союз"
 CULTURALUNION_SETUP: "Ми створили культурний союз."
 CULTURALUNION_HEADER: "Наш Канцлер повідомляє:"
 CULTURALUNION_1: "Створено культурний союз!"
 CULTURALUNION_2: "Завдяки тому, що рівень розвитку складає"
 CULTURALUNION_3: "щонайменше $DEV$,"
 CULTURALUNION_4: "$GROUP|Y$ група тепер є культурним союзом."
 CULTURALUNION_5: "Вся $GROUP$ група тепер є визнаною в нашій державі."
 CULTURALUNION_6: ""
 CULTURALUNION_LOG: "$GROUP$ група тепер є культурним союзом."
 CULTURALUNION_BTN1: "Гаразд"
 CULTURALUNION_BTN2: "Гаразд"
 CULTURALUNION_BTN3: "Перейти"
 CULTURALUNION_MAP: ""
 CULTURALUNION_LOST_TITLE: "Втрата культурного союзу"
 CULTURALUNION_LOST_SETUP: "Ми втрачаємо культурний союз."
 CULTURALUNION_LOST_HEADER: "Наш Канцлер повідомляє:"
 CULTURALUNION_LOST_1: "Культурний союз втрачено!"
 CULTURALUNION_LOST_2: "Через падіння рівня розвитку"
 CULTURALUNION_LOST_3: "нижче $DEV$,"
 CULTURALUNION_LOST_4: "$GROUP|Y$ група більше не може утворювати культурний союз."
 CULTURALUNION_LOST_5: ""
 CULTURALUNION_LOST_6: ""
 CULTURALUNION_LOST_LOG: "$GROUP$ група більше не може утворювати культурний союз."
 CULTURALUNION_LOST_BTN1: "Гаразд"
 CULTURALUNION_LOST_BTN2: "Гаразд"
 CULTURALUNION_LOST_BTN3: "Перейти"
 CULTURALUNION_LOST_MAP: ""
 CULTURALUNION_CS_TITLE: "Створено культурний союз"
 CULTURALUNION_CS_SETUP: "Ми створили культурний союз."
 CULTURALUNION_CS_HEADER: "Наш Канцлер повідомляє:"
 CULTURALUNION_CS_1: "Створено культурний союз!"
 CULTURALUNION_CS_2: "З досягненням урядового рангу"
 CULTURALUNION_CS_3: "$RANK|Y$"
 CULTURALUNION_CS_4: "$GROUP|Y$ група тепер є культурним союзом."
 CULTURALUNION_CS_5: "Вся $GROUP$ група тепер є визнаною в нашій державі."
 CULTURALUNION_CS_6: ""
 CULTURALUNION_CS_LOG: "$GROUP$ група являє тепер культурний союз."
 CULTURALUNION_CS_BTN1: "Гаразд"
 CULTURALUNION_CS_BTN2: "Гаразд"
 CULTURALUNION_CS_BTN3: "Перейти"
 CULTURALUNION_CS_MAP: ""
 CULTURALUNION_CS_LOST_TITLE: "Втрата культурного союзу"
 CULTURALUNION_CS_LOST_SETUP: "Ми втрачаємо культурний союз."
 CULTURALUNION_CS_LOST_HEADER: "Наш Канцлер повідомляє:"
 CULTURALUNION_CS_LOST_1: "Культурний союз втрачено!"
 CULTURALUNION_CS_LOST_2: "Через втрату урядового рангу"
 CULTURALUNION_CS_LOST_3: "$RANK|Y$,"
 CULTURALUNION_CS_LOST_4: "$GROUP|Y$ група більше не може утворювати культурний союз."
 CULTURALUNION_CS_LOST_5: ""
 CULTURALUNION_CS_LOST_6: ""
 CULTURALUNION_CS_LOST_LOG: "$GROUP$ група втратила культурний союз."
 CULTURALUNION_CS_LOST_BTN1: "Гаразд"
 CULTURALUNION_CS_LOST_BTN2: "Гаразд"
 CULTURALUNION_CS_LOST_BTN3: "Перейти"
 CULTURALUNION_CS_LOST_MAP: ""
 GOLDDEPLETED_TITLE: "Золота жила виснажена!"
 GOLDDEPLETED_SETUP: "Золота жила виснажена!"
 GOLDDEPLETED_HEADER: "Наш комендант повідомляє:"
 GOLDDEPLETED_1: "Золота жила у провінції"
 GOLDDEPLETED_2: "$PROV$"
 GOLDDEPLETED_3: "частково виснажена і дає набагато менше золота."
 GOLDDEPLETED_4: ""
 GOLDDEPLETED_5: ""
 GOLDDEPLETED_6: ""
 GOLDDEPLETED_LOG: "Золота жила у провінції $PROV$ виснажена."
 GOLDDEPLETED_BTN1: "Щоо? Де мій золотий батон?"
 GOLDDEPLETED_BTN2: "Щоо? Де мій обіцяний золотий батон?"
 GOLDDEPLETED_BTN3: "Перейти"
 GOLDDEPLETED_MAP: ""
 NEWTRADEGOOD_TITLE: "Новий товар!"
 NEWTRADEGOOD_SETUP: "Провінція починає виробляти новий товар"
 NEWTRADEGOOD_HEADER: "Наш губернатор доповідає:"
 NEWTRADEGOOD_1: "Новий товар"
 NEWTRADEGOOD_2: "У провінції"
 NEWTRADEGOOD_3: "$PROV$"
 NEWTRADEGOOD_4: "почали виробляти $GOOD|Y$."
 NEWTRADEGOOD_5: ""
 NEWTRADEGOOD_6: ""
 NEWTRADEGOOD_LOG: "Тепер в провінції $PROV$ виробляють $GOOD|Y$."
 NEWTRADEGOOD_BTN1: "Гаразд"
 NEWTRADEGOOD_BTN2: "Гаразд"
 NEWTRADEGOOD_BTN3: "Перейти"
 NEWTRADEGOOD_MAP: ""
 NEWSEATINPARLIAMENT_TITLE: "Нове місце в парламенті"
 NEWSEATINPARLIAMENT_SETUP: "Провінція отримала місце в парламенті."
 NEWSEATINPARLIAMENT_HEADER: "Наш канцлер повідомляє:"
 NEWSEATINPARLIAMENT_1: "Нове місце в парламенті"
 NEWSEATINPARLIAMENT_2: "Жителі провінції"
 NEWSEATINPARLIAMENT_3: "$PROV$"
 NEWSEATINPARLIAMENT_4: "отримали місце в нашому парламенті, тепер вони матимуть свого представника в нашому уряді $GOV$."
 NEWSEATINPARLIAMENT_5: ""
 NEWSEATINPARLIAMENT_6: ""
 NEWSEATINPARLIAMENT_LOG: "Провінція $PROV$ отримала місце в парламенті."
 NEWSEATINPARLIAMENT_BTN1: "Гаразд"
 NEWSEATINPARLIAMENT_BTN2: "Гаразд"
 NEWSEATINPARLIAMENT_BTN3: "Перейти"
 NEWSEATINPARLIAMENT_MAP: "Місце в парламенті" 
 ISSUETHROUGHPARLIAMENT_TITLE: "Поправка пройшла парламент"
 ISSUETHROUGHPARLIAMENT_SETUP: "Дебати в парламенті було виграно!"
 ISSUETHROUGHPARLIAMENT_HEADER: "Наш канцлер повідомляє:"
 ISSUETHROUGHPARLIAMENT_1: "Перемога!"
 ISSUETHROUGHPARLIAMENT_2: "Парламент затвердив"
 ISSUETHROUGHPARLIAMENT_3: "$ISSUE$"
 ISSUETHROUGHPARLIAMENT_4: "$EFF$"
 ISSUETHROUGHPARLIAMENT_5: ""
 ISSUETHROUGHPARLIAMENT_6: ""
 ISSUETHROUGHPARLIAMENT_LOG: "$ISSUE$ було затверджено парламентом."
 ISSUETHROUGHPARLIAMENT_BTN1: "Гаразд"
 ISSUETHROUGHPARLIAMENT_BTN2: "Тепер заживемо по-новому!"
 ISSUETHROUGHPARLIAMENT_BTN3: "Перейти"
 ISSUETHROUGHPARLIAMENT_MAP: "$ISSUE$"  
 ISSUEFAILED_TITLE: "Поправка НЕ пройшла парламент"
 ISSUEFAILED_SETUP: "Дебати в парламенті було програно!"
 ISSUEFAILED_HEADER: "Наш канцлер повідомляє:"
 ISSUEFAILED_1: "Дебати провалено!"
 ISSUEFAILED_2: "Парламент відхилив"
 ISSUEFAILED_3: "$ISSUE$"
 ISSUEFAILED_4: "Наш уряд $GOV$ втратив $PRESTIGE$ престижу."
 ISSUEFAILED_5: ""
 ISSUEFAILED_6: ""
 ISSUEFAILED_LOG: "$ISSUE$ було відхилено парламентом."
 ISSUEFAILED_BTN1: "Гаразд"
 ISSUEFAILED_BTN2: "Скотиняки такі!"
 ISSUEFAILED_BTN3: "Перейти"
 ISSUEFAILED_MAP: "Дебати провалено"  
 TORDESILLAS_US_TITLE: "Тордесільяський договір"
 TORDESILLAS_US_SETUP: "Папа підтвердив наше право на землі колоніального регіону."
 TORDESILLAS_US_HEADER: "Звіт нашого Архієпископа:"
 TORDESILLAS_US_1: "Тордесільяський договір"
 TORDESILLAS_US_2: "Папа підтверджує наше законне право на регіон, "
 TORDESILLAS_US_3: "відомий як $REGION$."
 TORDESILLAS_US_4: "Інші католицькі країни не будуть колонізувати цей регіон, а наші колонії будуть рости швидше."
 TORDESILLAS_US_5: ""
 TORDESILLAS_US_6: ""
 TORDESILLAS_US_LOG: "Дотримуючись Тордесільяського договору, Папа дарував нам права на регіон, відомий як $REGION$."
 TORDESILLAS_US_BTN1: "Гаразд"
 TORDESILLAS_US_BTN2: "Гаразд"
 TORDESILLAS_US_BTN3: "Перейти"
 TORDESILLAS_US_MAP: "Тордесільяський договір"
 TORDESILLAS_THEM_TITLE: "Тордесільяський договір"
 TORDESILLAS_THEM_SETUP: "Папа підтверджує право іншої держави на землі колоніального регіону."
 TORDESILLAS_THEM_HEADER: "Звіт нашого Архієпископа:"
 TORDESILLAS_THEM_1: "Тордесільяський договір"
 TORDESILLAS_THEM_2: "Тепер нам зрозуміло, що Папа не є безгрішним."
 TORDESILLAS_THEM_3: "Він довів це, заявивши що"
 TORDESILLAS_THEM_4: "регіон $REGION$"
 TORDESILLAS_THEM_5: "тепер належить"
 TORDESILLAS_THEM_6: "державі $WHO$"
 TORDESILLAS_THEM_LOG: "Держава $WHO$ тепер має повні права на регіон, відомий як $REGION$, завдяки Тордесільяському договору."
 TORDESILLAS_THEM_BTN1: "Гаразд"
 TORDESILLAS_THEM_BTN2: "Гаразд"
 TORDESILLAS_THEM_BTN3: "Перейти"
 TORDESILLAS_THEM_MAP: "Тордесільяський договір" 
 TREASURE_FLEET_TO_US_TITLE: "Прибув золотий флот"
 TREASURE_FLEET_TO_US_SETUP: "Одна з наших колоній прислала золотий флот."
 TREASURE_FLEET_TO_US_HEADER: "Звіт нашого канцлера:"
 TREASURE_FLEET_TO_US_1: "Прибув золотий флот"
 TREASURE_FLEET_TO_US_2: "відправлений $ADJNAME$ою колонією"
 TREASURE_FLEET_TO_US_3: "Він приніс нам $GOLD$¤"
 TREASURE_FLEET_TO_US_4: "добутого на золотих копальнях в колонії $FROM$."
 TREASURE_FLEET_TO_US_5: "$INFLATION$"
 TREASURE_FLEET_TO_US_6: "$PIRATES$"
 TREASURE_FLEET_TO_US_LOG: "Прибув золотий флот, відправлений $ADJNAME$ою колонією"
 TREASURE_FLEET_TO_US_BTN1: "Гаразд"
 TREASURE_FLEET_TO_US_BTN2: "Гаразд"
 TREASURE_FLEET_TO_US_BTN3: "Перейти"
 TREASURE_FLEET_TO_US_MAP: "Золотий флот (+$GOLD$)" 
 TREASURE_FLEET_WE_INTERCEPT_TITLE: "Захоплено золотий флот"
 TREASURE_FLEET_WE_INTERCEPT_SETUP: "Успішно захоплено золотий флот"
 TREASURE_FLEET_WE_INTERCEPT_HEADER: "Звіт нашого канцлера:"
 TREASURE_FLEET_WE_INTERCEPT_1: "Ми успішно захопили золотий флот"
 TREASURE_FLEET_WE_INTERCEPT_2: "Капери передали $GOLD$¤"
 TREASURE_FLEET_WE_INTERCEPT_3: "в нашу скарбницю."
 TREASURE_FLEET_WE_INTERCEPT_4: "Згідно їхніх доповідей, флот колонії $FROM$ перевозив $MAX$¤."
 TREASURE_FLEET_WE_INTERCEPT_5: "$INFLATION$"
 TREASURE_FLEET_WE_INTERCEPT_6: ""
 TREASURE_FLEET_WE_INTERCEPT_LOG: "Наші капери захопили $GOLD$¤, напавши на флот держави $FROM$."
 TREASURE_FLEET_WE_INTERCEPT_BTN1: "Гаразд"
 TREASURE_FLEET_WE_INTERCEPT_BTN2: "Гаразд"
 TREASURE_FLEET_WE_INTERCEPT_BTN3: "Перейти"
 TREASURE_FLEET_WE_INTERCEPT_MAP: "Золотий флот (+$GOLD$)"  
 PIR_TAKE_GOLD: "Ворожі капери пограбували наш флот, ми втратили §R$VAL$§!¤."
 INFLATION_TREASURE_FLEET: "Це золото збільшить нашу інфляцію на §R$VAL$%§!."
 REBELS_ENFORCE_TITLE: "Повстанці змусили прийняти їхні вимоги"
 REBELS_ENFORCE_SETUP: "Нашу державу розривають на частини повстання"
 REBELS_ENFORCE_HEADER: "$MESSENGER$"
 REBELS_ENFORCE_1: "Повстанці перемогли!"
 REBELS_ENFORCE_2: "$MONARCHTITLE$, зрадники"
 REBELS_ENFORCE_3: "$REBELNAME$"
 REBELS_ENFORCE_4: "змусили нас прийняти їхні вимоги"
 REBELS_ENFORCE_5: "$EFFECTS$"
 REBELS_ENFORCE_6: ""
 REBELS_ENFORCE_LOG: "$REBELNAME$ перемогли"
 REBELS_ENFORCE_BTN1: "Жах!"
 REBELS_ENFORCE_BTN2: "Жах!"
 REBELS_ENFORCE_BTN3: "Перейти"
 REBELS_ENFORCE_MAP: ""
 MERCHANT_ARRIVED_TITLE: "Прибув торговець"
 MERCHANT_ARRIVED_SETUP: "Торговець прибуває в торговельний вузол."
 MERCHANT_ARRIVED_HEADER: "Наш канцлер повідомляє:"
 MERCHANT_ARRIVED_1: "Прибув торговець!"
 MERCHANT_ARRIVED_2: "Торговець $NAME$"
 MERCHANT_ARRIVED_3: " з держави $COUNTRY$"
 MERCHANT_ARRIVED_4: "прибув у вузол"
 MERCHANT_ARRIVED_5: "$LOCATION$"
 MERCHANT_ARRIVED_6: ""
 MERCHANT_ARRIVED_LOG: "Торговець $NAME$ з держави $COUNTRY$ прибув у вузол $LOCATION$."
 MERCHANT_ARRIVED_BTN1: "Гаразд"
 MERCHANT_ARRIVED_BTN2: "Гаразд"
 MERCHANT_ARRIVED_BTN3: "Перейти"
 MERCHANT_ARRIVED_MAP: ""
 MERCHANT_CANCEL_TITLE: "Торговця відкликано"
 MERCHANT_CANCEL_SETUP: "Торговець вертається додому."
 MERCHANT_CANCEL_HEADER: "Наш канцлер повідомляє:"
 MERCHANT_CANCEL_1: "Торговець повертається додому"
 MERCHANT_CANCEL_2: "Торговець $NAME$"
 MERCHANT_CANCEL_3: " з держави $COUNTRY$"
 MERCHANT_CANCEL_4: "прибув додому із провінції"
 MERCHANT_CANCEL_5: "$LOCATION$"
 MERCHANT_CANCEL_6: "$NAME$ відбуває у державу $COUNTRY$"
 MERCHANT_CANCEL_LOG: "$NAME$ покинув провінцію $PROVINCE$."
 MERCHANT_CANCEL_BTN1: "Гаразд"
 MERCHANT_CANCEL_BTN2: "Гаразд"
 MERCHANT_CANCEL_BTN3: "Перейти"
 MERCHANT_CANCEL_MAP: ""
 TRADEPOSTCREATED_TITLE: "Була заснована факторія"
 TRADEPOSTCREATED_SETUP: "Коли ми створили факторію в провінції."
 TRADEPOSTCREATED_HEADER: "Звіт нашого канцлера"
 TRADEPOSTCREATED_1: "У провінції $PROVINCE$"
 TRADEPOSTCREATED_2: "була заснована"
 TRADEPOSTCREATED_3: "факторія."
 TRADEPOSTCREATED_4: "Це принесе нам прибуток."
 TRADEPOSTCREATED_5: ""
 TRADEPOSTCREATED_6: ""
 TRADEPOSTCREATED_LOG: "У провінції $PROVINCE$ була заснована факторія."
 TRADEPOSTCREATED_BTN1: "Гаразд"
 TRADEPOSTCREATED_BTN2: "Гаразд"
 TRADEPOSTCREATED_BTN3: "Перейти"
 TRADEPOSTCREATED_MAP: "Заснована факторія!" 
 TRADEPOSTCREATEDOTHER_TITLE: "Заснована факторія"
 TRADEPOSTCREATEDOTHER_SETUP: "Коли держава створює факторію в провінції."
 TRADEPOSTCREATEDOTHER_HEADER: "Звіт нашого канцлера"
 TRADEPOSTCREATEDOTHER_1: "Держава $COUNTRY$"
 TRADEPOSTCREATEDOTHER_2: "створила факторію" 
 TRADEPOSTCREATEDOTHER_3: "у провінції"
 TRADEPOSTCREATEDOTHER_4: "$PROVINCE$"
 TRADEPOSTCREATEDOTHER_5: "Це побільшає її торговельний вплив у регіоні."
 TRADEPOSTCREATEDOTHER_6: ""
 TRADEPOSTCREATEDOTHER_LOG: "Держава $COUNTRY$ заснувала факторію в провінції $PROVINCE$."
 TRADEPOSTCREATEDOTHER_BTN1: "Гаразд"
 TRADEPOSTCREATEDOTHER_BTN2: "Гаразд"
 TRADEPOSTCREATEDOTHER_BTN3: "Перейти"
 TRADEPOSTCREATEDOTHER_MAP: "Заснована факторія!"
 NEWACTIVECARDINAL_TITLE: "Обрано нового кардинала"
 NEWACTIVECARDINAL_SETUP: "Обрано нового кардинала"
 NEWACTIVECARDINAL_HEADER: "Новини Святого Престолу"
 NEWACTIVECARDINAL_1: "Новий кардинал!"
 NEWACTIVECARDINAL_2: "§Y$PROVINCE$§W представила свого кардинала"
 NEWACTIVECARDINAL_3: "Він прихильний до держави §Y$COUNTRY$§W."
 NEWACTIVECARDINAL_4: "На даний момент вони мають §Y$NCARDINALS$§W діючих кардиналів."
 NEWACTIVECARDINAL_5: ""
 NEWACTIVECARDINAL_6: ""
 NEWACTIVECARDINAL_LOG: "Новий кардинал від провінції $PROVINCE$"
 NEWACTIVECARDINAL_BTN1: "Гаразд"
 NEWACTIVECARDINAL_BTN2: "Гаразд"
 NEWACTIVECARDINAL_BTN3: "Перейти"
 NEWACTIVECARDINAL_MAP: ""
 FUTURECARDINALDEAD_TITLE: "Смерть діючого кардинала"
 FUTURECARDINALDEAD_SETUP: "Помирає діючий кардинал"
 FUTURECARDINALDEAD_HEADER: "Новини Святого Престолу"
 FUTURECARDINALDEAD_1: "Смерть кардинала!"
 FUTURECARDINALDEAD_2: "§Y$PROVINCE$§W більше не є резиденцією кардинала."
 FUTURECARDINALDEAD_3: "Він був прихильний до держави $COUNTRY$."
 FUTURECARDINALDEAD_4: ""
 FUTURECARDINALDEAD_5: ""
 FUTURECARDINALDEAD_6: ""
 FUTURECARDINALDEAD_LOG: "$PROVINCE$ більше не є резиденцією кардинала"
 FUTURECARDINALDEAD_BTN1: "Гаразд"
 FUTURECARDINALDEAD_BTN2: "Гаразд"
 FUTURECARDINALDEAD_BTN3: "Перейти"
 FUTURECARDINALDEAD_MAP: ""
 FUTURECARDINALLOYALTYSTOP_TITLE: "Зрада кардинала"
 FUTURECARDINALLOYALTYSTOP_SETUP: "Кардинал, який нас підтримував, змінив свою прихильність."
 FUTURECARDINALLOYALTYSTOP_HEADER: "Новини Святого Престолу"
 FUTURECARDINALLOYALTYSTOP_1: "Кардинал більше не підтримує нас!"
 FUTURECARDINALLOYALTYSTOP_2: "На жаль, кардинал $NAME$ змінив свого покровителя на державу $LOYALNAME$."
 FUTURECARDINALLOYALTYSTOP_3: "Зараз їх підтримують §Y$NUMACTIVE$§! діючих і §Y$NUMFUTURE$§! майбутніх кардиналів на місце в курії."
 FUTURECARDINALLOYALTYSTOP_4: ""
 FUTURECARDINALLOYALTYSTOP_5: "Ми витратили §Y$YOURPOINTS$§! впливу на цього кардинала."
 FUTURECARDINALLOYALTYSTOP_6: ""
 FUTURECARDINALLOYALTYSTOP_LOG: "Кардинал $NAME$ більше не підтримує нас!"
 FUTURECARDINALLOYALTYSTOP_BTN1: "Неприємно"
 FUTURECARDINALLOYALTYSTOP_BTN2: "Неприємно"
 FUTURECARDINALLOYALTYSTOP_BTN3: "Перейти"
 FUTURECARDINALLOYALTYSTOP_MAP: ""
 FREEIDEA_TITLE: "Розблоковано нову унікальну ідею"
 FREEIDEA_SETUP: "Ми розблокували нову унікальну ідею"
 FREEIDEA_HEADER: "$MESSENGER$"
 FREEIDEA_1: "$TYPE$!"
 FREEIDEA_2: "$TITLE$, ми розблокували унікальну ідею"
 FREEIDEA_3: "$LEVEL$."
 FREEIDEA_4: "$DESC$"
 FREEIDEA_5: "Що дає такі бонуси:"
 FREEIDEA_6: "$BONUSEFFECT$"
 FREEIDEA_LOG: "Ми розблокували унікальну ідею $LEVEL$."
 FREEIDEA_BTN1: "Гаразд"
 FREEIDEA_BTN2: "Гаразд"
 FREEIDEA_BTN3: "Докладніше"
 FREEIDEA_MAP: ""
 IDEA_TITLE: "Можливість прийняти нову ідею"
 IDEA_SETUP: "Розблоковано нову ідею"
 IDEA_HEADER: "$MESSENGER$"
 IDEA_1: "$TYPE$!"
 IDEA_2: "Ми розблокували нову ідею в групі $TYPE$."
 IDEA_3: "$NAME$"
 IDEA_4: "$DESC$"
 IDEA_5: "Що дає такі бонуси:"
 IDEA_6: "$BONUSEFFECT$"
 IDEA_LOG: "Ми прийняли ідею $NAME$."
 IDEA_BTN1: "Гаразд"
 IDEA_BTN2: "Гаразд"
 IDEA_BTN3: "Докладніше"
 IDEA_MAP: ""
 IDEAGROUP_TITLE: "Розблоковано нову групу ідей"
 IDEAGROUP_SETUP: "Ми отримуємо можливість прийняти нову групу ідей"
 IDEAGROUP_HEADER: "$MESSENGER$"
 IDEAGROUP_1: "$TYPE$!"
 IDEAGROUP_2: "$TITLE$, ми розблокували нову групу ідей: $TYPE$."
 IDEAGROUP_3: ""
 IDEAGROUP_4: ""
 IDEAGROUP_5: ""
 IDEAGROUP_6: ""
 IDEAGROUP_LOG: "Ми розблокували нову групу ідей: $TYPE$"
 IDEAGROUP_BTN1: "Гаразд"
 IDEAGROUP_BTN2: "Гаразд"
 IDEAGROUP_BTN3: "Докладніше"
 IDEAGROUP_MAP: ""
 DIPLOMAT_RETURNED_TITLE: "Повернувся дипломат"
 DIPLOMAT_RETURNED_SETUP: "Дипломат вертається додому"
 DIPLOMAT_RETURNED_HEADER: "Наш канцлер повідомляє:"
 DIPLOMAT_RETURNED_1: "Повернувся дипломат!"
 DIPLOMAT_RETURNED_2: "Наш дипломат"
 DIPLOMAT_RETURNED_3: "$NAME$"
 DIPLOMAT_RETURNED_4: "повернувся додому з держави $COUNTRY$."
 DIPLOMAT_RETURNED_5: ""
 DIPLOMAT_RETURNED_6: "Він готовий до нових завдань."
 DIPLOMAT_RETURNED_LOG: "Наш дипломат повернувся з держави $COUNTRY$."
 DIPLOMAT_RETURNED_BTN1: "Гаразд"
 DIPLOMAT_RETURNED_BTN2: "Гаразд"
 DIPLOMAT_RETURNED_BTN3: "Перейти"
 DIPLOMAT_RETURNED_MAP: "Дипломат повернувся"
 FLEETBASING_TITLE: "Отримано дозвіл на базування флоту"
 FLEETBASING_SETUP: "Держава надає нам дозвіл на базування флоту."
 FLEETBASING_HEADER: "Вісник держави"
 FLEETBASING_1: "$RECIPIENT_COUNTRY$"
 FLEETBASING_2: " повідомляє, що вона зробила"
 FLEETBASING_3: "$RESULT$ $WHO$"
 FLEETBASING_4: "дозвіл на базування флоту."
 FLEETBASING_5: ""
 FLEETBASING_6: "Угода дозволить нашому флоту використовувати іноземні порти, а також розширити діапазон торгівлі і колонізації."
 FLEETBASING_LOG: "Держава $RECIPIENT$ надала нам дозвіл на базування флоту."
 FLEETBASING_BTN1: "Гаразд"
 FLEETBASING_BTN2: "Гаразд"
 FLEETBASING_BTN3: "Перейти"
 FLEETBASING_MAP: ""
 OFFER_FLEETBASING_TITLE: "Пропозиція дозволу базування флоту"
 OFFER_FLEETBASING_SETUP: "Держава приймає пропозицію дозволу базування флоту"
 OFFER_FLEETBASING_HEADER: "Вісник держави"
 OFFER_FLEETBASING_1: "$RECIPIENT_COUNTRY$"
 OFFER_FLEETBASING_2: "повідомляє, що"
 OFFER_FLEETBASING_3: "держава $ACTOR$"
 OFFER_FLEETBASING_4: "$RESULT$ надати $WHO$"
 OFFER_FLEETBASING_5: "дозвіл на базування флоту."
 OFFER_FLEETBASING_6: "Угода дозволить їхньому флоту використовувати іноземні порти,а також розширити діапазон торгівлі і колонізації."
 OFFER_FLEETBASING_LOG: "Держава $ACTOR$ надала $WHO$ дозвіл на базування флоту."
 OFFER_FLEETBASING_BTN1: "Гаразд"
 OFFER_FLEETBASING_BTN2: "Гаразд"
 OFFER_FLEETBASING_BTN3: "Перейти"
 OFFER_FLEETBASING_MAP: ""
 COALITIONUS_SETUP: "Держава запрошує нас у свою коаліцію"
 COALITIONUS_HEADER: "Наш канцлер повідомляє:"
 COALITIONS_1: "Військова коаліція!"
 COALITIONUS_2: "$MONARCHTITLE$, ми були здивовані, дізнавшись, що"
 COALITIONUS_3: "держава $ACTOR$"
 COALITIONUS_4: "запропонувала нам вступити"
