l_ukrainian:
 exploration_events.1.t:0 "Розвідка у провінції $PROVINCENAME$"
 exploration_events.5.d:0 "Слова Христофора Колумба ідеально описують плем'я, яке ми знайшли в провінції $PROVINCENAME$: 'Місцеві жителі дозволяють нам ходити, де ми хочемо, і віддають нам усе, що ми у них просимо... Вони дуже наївні і не розуміють зла, вбивства або викрадення... Ваша Високосте, можете бути впевнені, що в усьому світі немає і не може бути кращих людей... Вони люблять своїх ближніх, як самих себе, мова їх ллється рікою, а посмішки не зникають з облич'."
 exploration_events.5.a:0 "Требя скористатися їхньою наївністю!"
 exploration_events.5.b:0 "Будьте і ви добрі з ними."
 exploration_events.6.t:0 "Небажані пасажири"
 exploration_events.6.d:0 "Під час обстеження околиць ми виявили залишене село, і поки що звинувачуємо у всьому посуху, від якої провінція страждає протягом довгого часу. Коли ми повернулися на корабель, то були шоковані: один з найбільших ведмедів, яких ми тільки бачили, намагався піднятися на борт корабля! Моряки вирішили захопити голодного звіра в надії привезти його в нашу країну, але у ведмедя були інші плани. Всі спроби заарканити його були марні, ведмідь відчайдушно пручався і нам довелося вбити його. Ця битва спустошила провінцію $PROVINCENAME$ і зробила всі спроби колонізації безперспективними."
 exploration_events.6.a:0 "Як вони взагалі примудрилися?"
 exploration_events.7.t:0 "Зелені пагорби провінції $PROVINCENAME$"
 exploration_events.7.d:0 "Тубільці провінції $PROVINCENAME$ були зачаровані скляними намистами, латунними дзвіночками та тканинами, якими наші дослідники обмінялися з ними за свіжу рибу та оленину. У своїй доповіді екіпаж судна вказав, що аборигени були бідні, але здавалися мирними. Однак деякі події занепокоїли їх, оскільки жителі за одну ніч просто покинули свої будинки. Екіпаж обшукав село, але нічого особливого не було знайдено, крім невеликого золотого брязкальця, захованого серед рибальських сіток; це свідчить про те, що провінція може принести нам якусь вигоду."
 exploration_events.7.a:0 "Чудово!"
 exploration_events.8.t:0 "Десь там, за обрієм"
 exploration_events.8.d:0 "Один з наших експедиційних кораблів стояв біля берегів провінції $PROVINCENAME$, коли до нього підпливла пара цікавих туземців на каное. Екіпаж запросив туземців на борт і шляхом жестів пояснив, що прийшов з мирними намірами. І, перш ніж ті сіли в шлюпку і повернулися додому в провінцію $PROVINCENAME$, команда переломила з ними хліб. Через якийсь час до каравели наблизилося ще шість каное з аборигенами, що надихнулися розповіддю про мирних велетнів на гігантських кораблях."
 exploration_events.8.a:0 "Запросити їх знову."
 exploration_events.8.b:0 "Схопити їх!"
 exploration_events.9.t:0 "Загроза з провінції $PROVINCENAME$"
 exploration_events.9.d:0 "Після досить бурхливого спілкування з туземцями провінції $PROVINCENAME$, нам нарешті вдалося переконати їх в наших добрих намірах. Коли ми висадили двох людей на берег, до них підійшли двоє аборигенів, чоловік і старий. Вони не були зацікавлені в подарунках, і коли наші люди підняли піки, щоб змусити індіанців відійти, одна з пік випадково зачепила старого. Він побіг до свого села і привів інших чоловіків, які стали кидати списи в нашу команду, поки не були налякані вогнем корабельних гармат. Дорослі втекли до лісу, кинувши своїх дітей у селі. Ми залишили кілька дрібничок і бісер дітям в якості жесту доброї волі і відступили на корабель."
 exploration_events.9.a:0 "Змусити їх зрозуміти наші добрі наміри."
 exploration_events.9.b:0 "Якщо вони повернуться, то вбийте їх!"
 exploration_events.10.t:0 "Звірі провінції $PROVINCENAME$"
 exploration_events.10.d:0 "Всі ми з дитинства чули історії про мореплавця Ганнона Мандрівника, який виявив легендарний острів, населений 'дикими волохатими людьми'. Ганнон спробував захопити кілька особин; ті тікали, видираючись по кручах і захищаючись камінням, але трьох все ж вдалося зловити. Вони кусались і дряпали тих, хто їх вів, і не хотіли коритися до самого кінця. Кінець-кінцем звірів вбили і доставили шкури до Карфагену. Літописці, що мандрували з Ганноном, прозвали цих 'людей' горилами. Ми припускаємо, що мавпи, яких ми виявили в провінції $PROVINCENAME$ є тими самими горилами, яких зустрів Ганнон."
 exploration_events.10.a:0 "Спробуйте приручити їх дрібничками."
 exploration_events.10.b:0 "Візьміть їх і привезіть до королівського двору!"
 exploration_events.11.t:0 "Отруєння"
 exploration_events.11.d:0 "Експедиція,яка була відправлена досліджувати узбережжя провінції $PROVINCENAME$, потрапила під шквал стріл, випущених індіанцями, які намагалися напасти на корабель. У поспіху втікаючи від ворога, який з дикими криками кинувся до своїх каное, екіпажу довелося кинути тіла вбитих товаришів. Коли вони відпливли на кілька миль від провінції $PROVINCENAME$, то виявили, що весь правий борт корабля був усипаний стрілами.\nЗемлепрохідця, який командував операцією, було серйозно поранено отруйною стрілою. Він зліг з лихоманкою, пітнів і вигукував незв'язні речі протягом декількох днів. Незважаючи на догляд лікаря і компреси, змочені в оливковій олії і сечі, він помер."
 exploration_events.11.a:0 "Яка жахлива доля!"
 exploration_events.12.t:0 "П'яний землепроходець"
 exploration_events.12.d:0 "Очільник нашої експедиції, авторитетний землепроходець, поставив себе в жахливо незручне становище, коли переоцінив свої можливості і випив занадто багато фруктової браги жителів провінції $PROVINCENAME$. Не будемо вказувати всі деталі в даній доповіді, однак достатньо сказати, що навіть кнури ведуть себе пристойніше. Індіанці веселилися і насміхалися над ним... Чутки про цю подію дійшли до відому високопоставлених людей, які вкрай засудили подібну поведінку."
 exploration_events.12.a:0 "Фруктова брага? Не могли б ви привезти трохи?"
 exploration_events.13.t:0 "Перната їжа"
 exploration_events.13.d:0 "Здається в провінції $PROVINCENAME$ живуть тільки птахи: куди не глянь – одні лише птахи, птахи і нічого крім птахів. Великі чорні птахи, яких екіпаж судна прозвав 'пінгвінами' через їх маленькі крильця, не проявляють страху перед людьми. Ми зловили одного – в його погляді не було ні зтурбованості ні бажання втекти. Потім ми схопили його за ногу і смикнули її декілька разів, через що той видав гучний крик. Навколо відразу ж стовпилися пінгвіни і спробували покусати нас своїми великими дзьобами. Запаси провізії на кораблі скоро закінчаться, а ці жирні птахи виглядають досить апетитно."
 exploration_events.13.a:0 "Хай живуть собі."
 exploration_events.13.b:0 "Ом-ном-ном!"
 exploration_events.14.t:0 "Несподіваний помічник"
 exploration_events.14.d:0 "Щойно корабель увійшов у бухту провінції $PROVINCENAME$, невелика група індіанців зібралася на пляжі і мовчки стежила за експедицією. Один з членів екіпажу стрибнув у воду і почав танцювати під акомпанемент труб. Це розсмішило індіанців і скинуло напругу, яка скувала обидві сторони. Потім на пляж було спущено харчі та напої, щоб весело відсвяткувати зустріч. Один із місцевих мешканців виявив великий інтерес до корабля, мечів та інших речей із спорядження, взятих з собою одним з учасників експедиції. З допомогою перекладачів ми дізналися від однієї молодої жінки багато про острівне життя тууземців і про те, що вона дуже хотіла б побачити світ."
 exploration_events.14.a:0 "Гаразд, вона стане учасником експедиції."
 exploration_events.14.b:0 "Для неї краще залишатися в своєму селі."
 exploration_events.15.t:0 "Смерть по прибуттю"
 exploration_events.15.d:0 "Життя на борту корабля важке для моряків. У тих провінціях, де побувала експедиція, не було недоліку доброзичливих і товариських людей. Однак, занадто тісний контакт з місцевими туземками, можливо, став причиною смерті одного з очільників експедиції. Згідно з доповіддю, він підхопив дивну хворобу, через яку його стан різко погіршився, і врешті-решт зупинилося серце. Він був похований в морських глибинах, недалеко від провінції $PROVINCENAME$."
 exploration_events.15.a:0 "Спочивай з миром."
 exploration_events.16.t:0 "Перше навколосвітнє плавання"
 exploration_events.16.d:0 "Наш флот був сповнений рішучості знайти західний шлях до багатих прянощами островів в Індонезії. Йому знадобилося 99 днів, щоб перетнути Атлантичний океан, після чого він виявив протоку, названу згодом на його честь і розташовану на краю Південної Америки. Протока була дуже вузькою і складною для проходу кораблів і коли вони, нарешті, досягли океану, капітан плакав від радості. Океан був на диво спокійним, через що команда прозвала його 'Pacific', від латинського слова, що означає 'Тихий'.\n\n Незабаром капітан помер від ран, викликаних отруйною стрілою, що поранила його при наданні допомоги вождю Себу в завоюванні сусіднього племені. З всієї флоти вціліло лише два кораблі, один з яких спробував повернутися назад через Тихий океан, але затонув. Останній корабель як і раніше рухався на захід, перетнув Індійський океан, обігнув мис Доброї Надії і прибув додому, ставши першим кораблем, який здійснив навколосвітнє плавання."
 exploration_events.16.a:0 "Ми перші здійснили навколосвітнє плавання!"
 exploration_events.17.t:0 "Друга навколосвітня"
 exploration_events.17.d:0 "Незважаючи на те, що ми не були першими, хто здійснив навколосвітню подорож, ми також увічнили себе на віки."
 exploration_events.17.a:0 "Легендарний подвиг, хоч ми і не були першими..."
 exploration_events.18.d:0 "Наш флот відправився в плавання, щоб знайти шлях до багатих міст Європи. Йому було потрібно 99 днів, щоб перетнути океан на заході, після того, як він пройшов повз мис Доброї Надії на самому півдні Африки.\n\nНезабаром капітан помер від ран, викликаних отруєною стрілою, що вразила його при наданні допомоги місцевому вождю у завоюванні сусіднього племені. З усього флоту вціліло лише два кораблі, один з яких спробував повернутися назад через відкрите море, але затонув. Останній корабель як і раніше рухався на захід, перетнув Тихий океан і прибув додому, ставши першим судном, що здійснило навколосвітнє плавання."
 exploration_events.19.d:0 "Наш флот відправився у плавання, щоб знайти західний шлях до багатих прянощами островів Індонезії. Йому було потрібно 99 днів, щоб перетнути океан на заході, після чого він виявив Магелланову протоку, розташовану на краю Південної Америки. Протока була дуже вузька й складна для проходу кораблів та, коли вони, нарешті, досягли океану, капітан плакав від радості.\n\nНезабаром капітан помер від ран, викликаних отруєною стрілою, що вразила його при наданні допомоги вождю племені Себу із завоюванням ворожого племені. З уього флоту вціліло лише два кораблі, один з яких спробував повернутися назад через Тихий океан, але затонув. Останній корабель як і раніше рухався на захід, перетнув Індійський океан, обігнув мис Доброї Надії та прибув додому, ставши першим кораблем, що здійснив навколосвітнє плавання."
 exploration_events.20.d:0 "Наш флот відправився у плавання, щоб знайти західний морський шлях до казково багатих островів та міст заходу. Йому було потрібно багато днів, щоб перетнути океан на заході, після чого він виявив Індонезійські острови.\n\nНезабаром капітан помер від ран, викликаних отруєною стрілою, що вразила його при наданні допомоги місцевому вождю у завоюванні сусіднього племені. З уього флоту вціліло лише два кораблі, один з яких спробував повернутися назад через відкрите море, але затонув. Останній корабель як і раніше рухався на захід, перетнув Індійський океан, обігнув мис Доброї Надії та прибув додому, ставши першим кораблем, що здійснив навколосвітнє плавання."
 exploration_events.21.d:0 "Після довгої подорожі наш імперський флот виявив морський шлях – від Піднебесної і назад – морський шлях, що огинає всю земну кулю! Нашим дослідникам було потрібно 49 днів, щоб досягти землі П'яти Індій, та ще 49 днів, щоб дістатися до Тіанфанга – відомого також як Мекка. Звідти вони пливли ще 7 тижнів через Великий Західний Океан, який варвари називають Атлантичним, поки не досягли Америк. Як нам повідомили, континент названий на честь якогось варварського вождя. Після 99 днів плавання наш флот зміг знайти шлях навколо цього континету до іншого океану. Океан був настільки спокійний, що вони вирішили назвати його Тайпин – Тихий, щоб прославити світ під правлінням Сина Неба!\n\nКапітан флоту та багато інших моряків загинули від екзотичних хвороб поки перетинали океан Тайпин, але більшість кораблів спромоглися дістатися до землі Вранішнього Сонця. Після останнього короткого ривка наш великий флот став першим, що здійснив навколосвітнє плавання."
 exploration_events.22.d:0 "Шах [Root.Monarch.GetName] бін $RANDOM_OLD_MONARCH$ Хан аль-Музаффар Дайма\n\nМоєму поважному візирові, що встановлює порядок у світі, керуючому справами нашого народу та захиснику моїх доменів: при отриманні даного наказу та стане Вам відомо, що наша дослідницька експедиція вдало повернулася. Наші найкращі мореплавці вирушили з Константинополя у місяць Мухаррам, сподіваючись принести нові знання про світ. Досягнувши краю землі, вони виявили межі нашого континенту, обійшовши його з півдня, та потрапили у величезний океан, що відокремлює нас від землі Китаю. Вони назвали океан селах аль-Бахрі на честь його спокійної природи. Звідти вони вирушили у землі Яви та Інду й розповіли місцевим віруючим про могутність Блискучої Порти – кажуть, що моє ім'я навіть було згадано у їхніх п'ятничних молитвах. Під захистом всемогутнього Аллаха мореплавці повернулися до нас через Єгипет. Нехай ця подія послужить демонстрацією неймовірної могутності династії Османів по всім семи сторонам світу, й спонукатиме іноземних послів до захоплення нашим досягненням.\n\nЗаписано у першому триместрі благородного місяця Рамадан у Константинополі Неприступному."
 exploration_events.23.d:0 "До тепер ми вважали, що весь світ складається з трьох великих регіонів: Японія, Китай та Індія. Нещодавно ми дізналися про 'Нанбан' – цивілізацію південних варварів. Для того щоб встановити контакт з ними безпосередньо, ми організували велику експедицію. Наш флот виявив тропічні острови на півдні і зустрів людей з дивними звичаями на заході. Наші кораблі пропливли між дрейфуючою кригою на півночі і відкрили невідомі континенти і острови на сході.\nАле найголовнішим досягненням всієї експедиції стало те, що ми перші в світі здійснили навколосвітнє плавання! Імператор був дуже задоволений нашими досягненнями коли кораблі нарешті повернулися додому. Його Величність запросив мореплавця та інших членів команди до двору і організував небачені досі урочистості. Ця пам'ятна подія стане початком домінування Японії в Семи морях."
 opinion_worship:0 "Поклоніння"
 disturbed_ritual:0 "Перерваний ритуал"
 angry_natives:0 "Агресивні туземці"
 friendly_natives:0 "Доброзичливі туземці"
 drunken_explorer:0 "П'яний землепроходець"
 desc_drunken_explorer:0 "Землепроходець напився фруктової браги і поставив себе у незручне становище."
 seven_cities_events.1.t:0 "Ельдорадо"
 seven_cities_events.1.d:0 "Торговець перед смертю розповів історію про покритого золотом правителя, який змиває з себе позолоту, у той час як його придворні кидають у води озера золото і дорогоцінні самоцвіти. Цей чоловік стверджував, що його врятував сам Ельдорадо і що він власними очима бачив і ритуал, і золоте місто. Ще до своєї хвороби він зробив грубу карту, що показує дорогу до Ельдорадо. Зараз ми знаходимося в провінції $PROVINCENAME$, і орієнтири збігаються з однією з позначок на карті."
 seven_cities_events.1.a:0 "Карта приведе нас до скарбів."
 seven_cities_events.1.b:0 "Краще пошукайте що-небудь дійсно цінне."
 seven_cities_events.2.t:0 "Фонтан молодості"
 seven_cities_events.2.d:0 "Давно відомі легенди про фонтан, вода якого дарує вічну молодість. Деякі заперечують саму можливість його існування, тоді як інші витрачають роки на марні пошуки. Однак ми зможемо знайти фонтан – дехто в провінції $PROVINCENAME$ вже виявив його і готовий показати дорогу, за окрему плату, звичайно."
 seven_cities_events.2.a:0 "Заплатіть йому або їй! Дайте все, що забажає!"
 seven_cities_events.2.b:0 "Надто неймовірно."
 seven_cities_events.3.t:0 "Сібола"
 seven_cities_events.3.d:0 "Відправлений вперед розвідник повернувся з новинами про Сиболу, одне з Семи золотих міст. Він зустрів ченця, який від індіанців провінції $PROVINCENAME$ почув історію про місто, що повне багатств. Жителі цього міста прикрашають будинки бірюзою, їдять із срібного або золотою посуду і володіють безліччю величезних дорогоцінних каменів."
 seven_cities_events.3.a:0 "Знайдіть ченця і переконайте його відвести нас у Сіболу!"
 seven_cities_events.3.b:0 "Чого це нам вірити цьому безумцю?"
 seven_cities_events.4.t:0 "Місто Цезарів"
 seven_cities_events.4.d:0 "Місто, повне золота, срібла і діамантів – чого ще можна бажати? Наш конкістадор знайшов орієнтир, який вказує дорогу до Міста Цезарів, яке повинно розташовуватися між двома горами: алмазною і золотою. Нам потрібні досвідчені провідники, перекладачі для переговорів з місцевими та припаси для далекого шляху. Якщо ми знайдемо місто, то витрати окупляться сповна."
 seven_cities_events.4.a:0 "Скажіть, що вам потрібно, і отримаєте це!"
 seven_cities_events.4.b:0 "Забудьте про Місто Цезарів, просто продовжуйте досліджувати землі."
 seven_cities_events.5.t:0 "Сьєрра-дель-Плата"
 seven_cities_events.5.d:0 "Білий Король править землями, де знаходяться Срібні гори. У всякому разі, так стверджує врятована нами команда, корабель якої розбився в провінції $PROVINCENAME$. Тут вони змогли знайти спільну мову з місцевими, які розказали їм історію про величезну гору з блискучого металу, яку можна знайти в глибині континенту, на відстані днів, а то і тижнів шляху від узбережжя. Ті шматки металу, що вони принесли з собою, надають їх історії правдоподібності, а тепер вони пропонують свою допомогу в пошуках Сьєрра-дель-Плата, Срібних гір."
 seven_cities_events.5.a:0 "Беріть їх з собою і знайдіть срібло!"
 seven_cities_events.5.b:0 "У цій історії немає ані краплини правди!"
 seven_cities_events.6.t:0 "Норумбега"
 seven_cities_events.6.d:0 "Французький мореплавець повідомив нам про виявлену ним річку, більше сорока ліг завширшки та повну островів. Згідно з його записами, в п'ятнадцяти лігах по річці стоїть місто Норумбега, жителі якого пропонують на продаж різноманітні хутра. Вони носять соболині хутра, а їх мова схожа на латинь. Ці високі й гарні люди поклоняються сонцю. Їх місто дуже багате, а поруч з ним напевно є поклади золота, адже більшість мешканців Норумбеги носять золоті прикраси."
 seven_cities_events.6.a:0 "Відправте конкістадора! Ми повинні знайти це місце."
 seven_cities_events.6.b:0 "Безглузда трата часу."
 seven_cities_events.7.t:0 "Королівство Сагеней"
 seven_cities_events.7.d:0 "До нас дійшли чутки про північноамериканське королівство Сагеней, яким керують білошкірі світловолосі люди, чиї скарбниці повні золота, срібла та рубінів. Землепроходець, чиї кораблі виявилися сковані кригою в провінції $PROVINCENAME$, де, як виявилося, поширена [Root.Culture.GetGroupName]а культура, зустрів місцевих і вони повідали йому про Королівство Сагеней. Жестами і знаками, показуючи на наявне у них срібло і золото, вони пояснили, що дорогоцінні метали були отримані від агресивного і войовничого народу. Їхня шкіра біла, як і в першопрохідця, і одягаються вони подібним чином. Мешканці Сагенея чисельні, законослухняні і багаті."
 seven_cities_events.7.a:0 "Вперед, знайдіть мені Королівство Сагеней!"
 seven_cities_events.7.b:0 "Ха, чуток недостатньо. Потрібні докази!"
 seven_cities_events.8.t:0 "Ківіра"
 seven_cities_events.8.d:0 "Відсутність багатств в провінції $PROVINCENAME$ розчарувала конкістадора, але історії, розказані йому туземцем, який назвався 'Турок', знову надихнули його. Багата країна Ківіра лежить на схід – чи на північ? – від землі $PROVINCENAME$, і вожді цієї країни п'ють із золотих чаш, що звисають з дерев."
 seven_cities_events.8.a:0 "Знайдіть золоті чаші Ківіри!"
 seven_cities_events.8.b:0 "Безперспективна затія, я впевнений."
 seven_cities_events.100.t:0 "Смерть конкістадора"
 seven_cities_events.100.d:1 "Експедиція відправила вперед розвідника із зазначенням посилати хрести такого розміру, скільки багатства він знайде. Незабаром прибув хрест висотою з людину, тож основна група прискорила крок, відчувши запах здобичі. Коли вони увійшли у велике поселення в провінції $PROVINCENAME$, виявилося, що його мешканці вбили розвідника та чекали на решту загону в засідці. Більшість загинуло від рук дикунів, але кільком вдалося вирватися. Вони сказали нам, що конкістадор поліг у бою одним із перших, а вина за подію лежить на розвіднику. Він послав калабас з червоним пером, що у тубільців є символом війни."
 seven_cities_events.100.a:0 "Ми тужимо з приводу смерті великого конкістадора."
 seven_cities_events.101.t:0 "Їжте шкіру або помріть з голоду"
 seven_cities_events.101.d:0 "Припаси експедиції закінчувалися ще на підході до провінції $PROVINCENAME$, але зараз нам доводиться виживати, використовуючи те, що можуть дати ці землі. Правильно приготовлена змія на смак не відрізняється від курки, а шкіра... якщо закрити очі якнайміцніше, можна уявити, що замість шматка чобота або обладунку у роті в'ялена яловичина. Будь ласка, надішліть допомогу, інакше ми ніколи не доберемося до цілі."
 seven_cities_events.101.a:0 "Допомога вже в дорозі!"
 seven_cities_events.101.b:0 "Знайдіть місцевих жителів, нехай вони нагодують вас."
 seven_cities_events.102.t:0 "Атака аборигенів"
 seven_cities_events.102.d:0 "Вони виглядали страхітливо, ці напівголі жінки з луками і списами в руках, а їх бойовий клич звучав немов рев тигра. Учасники експедиції, які змогли вижили і уникли полону, назвали цих жінок-войовниць землі $PROVINCENAME$ Амазонками. У числі полонених був і конкістадор, який очолював експедицію."
 seven_cities_events.102.a:0 "Знайдіть їх і змусьте звільнити полонених!"
 seven_cities_events.102.b:0 "Вони самі відпустять конкістадора і інших бранців коли ті їм набриднуть."
 seven_cities_events.103.t:0 "Проблиск надії"
 seven_cities_events.103.d:0 "Ми билися з племенами, їли дивні фрукти і тварин, страждали від невідомих хвороб і болісно долали кожен крок, що вів нас все далі від населених міст. Лише впертість, цікавість і віра нашого лідера в те, що ми знайдемо золото, змушували нас рухатися вперед. Але навіть його залізна воля почала здавати в останні дні. Ми б повернули назад, якщо б не виявили в провінції $PROVINCENAME$ дещо, що додало нам сил."
 seven_cities_events.103.a:0 "Це золото!?"
 seven_cities_events.104.t:0 "Завіяні привидами"
 seven_cities_events.104.d:0 "Мабуть, це вина вартових, які поснули в дозорі. Чи варто звинуватити провідників-індіанців, найнятих, щоб провести нас через негостинні землі $PROVINCENAME$? Або наш ватажок так голосно хропів уві сні, що ніхто не прокинувся, коли індіанці безшумно схопили і віднесли їх у гущавину лісу? Загалом, наш конкістадор зник цієї ночі, і ми повинні його знайти."
 seven_cities_events.104.a:0 "Візьміть солдатів на допомогу і знайдіть конкістадора!"
 seven_cities_events.104.b:0 "Рано чи пізно вони з'являться."
 seven_cities_events.105.t:0 "Довга свиня"
 seven_cities_events.105.d:0 "В провінції $PROVINCENAME$ експедиція зустрілася з невеликим дружнім племенем, яке запросило їх на банкет на честь перемоги над сусідніми дикунами. На бенкеті було багато незвичайного м'яса, яке на смак нагадувало свинину і, очевидно, належало якійсь 'довгій свині'. Правда відкрилася вже після банкету: головною стравою були бранці з переможеного племені, принесені в жертву і з'їдені, щоб отримати їхню силу..."
 seven_cities_events.105.a:0 "І слуху про це не повинно просочитися!"
