l_ukrainian:
 # Country formation decisions
 TTS:0 "Дві Сицилії"
 ambrosian_republic.5.d:1 "Франческо Сфорца – один з найвеличніших полководців сучасності та видатний провідник кондотьєрів. Найбільшу прикрість викликає те, що ми опинилися на протилежних боках в нашій війні проти Венеції. Проте Сфорца є ​​популярним серед міланців і навіть має претензії на трон.\n\nОдна з фракцій нашого розділеного уряду звернулася до Сфорци з щедрою пропозицією; якщо він полишить наших ворогів і приєднається до нас, Мілан запропонує йому провінцію [sforza_promised_province.GetName] та посаду капітана і захисника. Сфорца міг би стати великим надбанням для республіки, але багато хто ставить під сумнів, що вірність Мілану переможе його власні амбіції."
 ambrosian_republic.5.d2:1 "Франческо Сфорца – один з найвеличніших полководців сучасності та видатний провідник кондотьєрів. Дуже прикро, що ми опинилися на протилежних боках в нашій війні проти держави [sforza_origin_country.GetName]. Проте Сфорца ​​популярний серед міланців і навіть має претензії на трон.\n\nОдна з фракцій нашого розділеного уряду звернулася до Сфорци з щедрою пропозицією; якщо він полишить наших ворогів і приєднається до нас, Мілан запропонує йому провінцію [sforza_promised_province.GetName] та посаду капітана і захисника. Сфорца міг би стати великим надбанням для республіки, але багато хто ставить під сумнів, що вірність Мілану переможе його власні амбіції."
 ambrosian_republic.5.d3:1 "Франческо Сфорца – один з найвеличніших полководців сучасності та видатний провідник кондотьєрів. Дуже прикро, що ми опинилися на протилежних боках під час придушення бунту. Проте Сфорца популярний серед міланського народу й навіть має претензії на трон.\n\nФракція у складі розділеного уряду звернулася до Сфорци з щедрою пропозицією; якщо він полишить наших ворогів і приєднається до нас, Мілан запропонує йому провінцію [sforza_promised_province.GetName] та посаду капітана і захисника. Сфорца міг би стати великим надбанням для республіки, але багато хто ставить під сумнів, що вірність Мілану переможе його власні амбіції."
 ambrosian_republic.5.a:0 "Ми призначимо його командиром наших армій."
 ambrosian_republic.5.b:0 "Нам не потрібен Сфорца."
 ambrosian_republic.6.t:0 "Зіткнення Сфорци з Республікою"
 ambrosian_republic.6.d:0 "У Сфорци є ​​багато суперників у межах Золотої Амброзійської Республіки. Більш ідеалістичні та з науковим підходом політики, що засновували республіку, підозрюють його у змові з метою захоплення трону, тоді як прагматичніші політики обурюються його популярності серед народу.\n\nНещодавно Сфорца дізнався про змову позбавити його військового командування та звільнити з посади в уряді. Обурений Сфорца висуває державі ультиматум: прийміть його абсолютне військове правління або знову зійдетеся з ним на полі бою."
 ambrosian_republic.6.a:0 "Ввести військове правління під командуванням Сфорци."
 ambrosian_republic.6.b:0 "Протистояти свавіллю Сфорци. Ми боремося за свободу!"
 ambrosian_republic.7.t:0 "Сфорца захоплює трон"
 ambrosian_republic.7.d:0 "Колись амбітний опортуніст Сфорца, зрадив Республіку і оголосив себе законним герцогом Мілана! Його популярність серед народу й залізна влада над армією та державними механізмами роблять непокору його правлінню, здається, приреченою. Можливо ми повинні прийняти повернення монархії. А може свобода вартує будь-якої ціни."
 ambrosian_republic.7.a:0 "Вітайте герцога Сфорцу!"
 ambrosian_republic.7.b:0 "Неприпустимо! Призначте нового капітана."
 ambrosian_republic.7.c:0 "Ніколи! Відновімо Республіку так, як це задумали засновники."
 ambrosian_republic.8.t:0 "Смерть Сфорци"
 ambrosian_republic.8.d:0 "Великий капітан Сфорца помер, раптово і несподівано. Його популярність серед людей та залізний захват у політиці Мілана – це все, що зміцняло молоду республіку, а зараз різні урядові фракції борються за своє бачення майбутнього.\nФракція Giorgio Lampugnano хоче відновити ідеали, під якими була заснована наша республіка, відновивши демократію та припинивши військове правління. Натомість, фракція Jacopo Piccinino стверджує, що лише сильний генерал-капітан може утримувати республіку цілісною і протистояти її численним ворогам."
 ambrosian_republic.8.a:0 "Вітайте нового капітана!"
 ambrosian_republic.8.b:0 "Відновити республіку так, як задумали засновники."
 opinion_swayed_sforza:0 "Обрядити Сфорцу в столу"
 ambrosian_republic_disaster:0 "Золота Амброзійська Республіка"
 ambrosian_republic_disaster_desc:0 "За відсутності сильного претендента на престол вчені-ідеалісти засновують у Мілані нову республіку."
 ambrosian_republic_resolved_tt:0 "§YУряд Мілана буде стабілізовано§!"
 ambrosian_republic_disaster_resolved_tt:0 "Уряд Мілана стабілізується"
 # Bonfire of the Vanities
 signoria_reform:0 "Італійська Синьйорія"
 signoria_reform_desc:0 "Республіка найкраще функціонує під фактичною юрисдикцією нашої найвидатнішої політичної сім'ї. Будь-яке припущення, що це ледве можна відрізнити від монархії, звичайно ж, нісенітниця."
 signoria:0 "Італійська Синьйорія"
 signoria_desc:0 "Республіка найкраще функціонує під фактичною юрисдикцією нашої найвидатнішої політичної сім'ї. Будь-яке припущення, що це ледве можна відрізнити від монархії, звичайно ж, нісенітниця."
 savonarola_dead_tt:0 "Савонарола не є правителем держави [Root.GetName]"
 had_disaster_for_6_months:0 "Лихо триватиме щонайменше 6 місяців"
 bonfire_of_the_vanities_disaster:0 "Багаття марнославства"
 bonfire_of_the_vanities_disaster_desc:0 "Радикальний клірик захоплює владу у Флоренції, налаштовуючи наше прекрасне місто на небезпечний політичний і духовний шлях."
 flavor_tus.17.t:0 "Відновлення порядку в державі [Root.GetName]"
 flavor_tus.17.d:0 "Медічі навели порядок у місті Флоренція. Божевільний чернець Савонарола мертвий, а його ім'я зганьблене, він назавжди запам'ятається як божевільний, який ледь не привів державу [Root.GetName] до загибелі."
 flavor_tus.17.d2:0 "Медічі були рішуче вигнані з міста і навряд чи коли-небудь їх приймуть назад. Під праведним керівництвом Савонароли, новий порядок у державі [Root.GetName] характеризується релігійним фанатизмом і підпорядкуванням до Божих законів, як їх інтерпретував наш Пророк."
 flavor_tus.17.a:0 "Ми маємо стабільний уряд!"
 flavor_tus.18.t:0 "Савонарола: Пророк"
 flavor_tus.18.d:0 "Стовпи диму підіймаються з міста [Root.Capital.GetCapitalName], коли люди спалюють свої речі в 'багатті марнославства'. Натовпи збираються, щоб спостерігати за спаленням відьом і єретиків. Ряди плакальників, відданих послідовників Пророка, зростають, оскільки Савонарола цементує свою владу над серцями наших громадян. Вирішено; держава [Root.GetName] відмовляється від своїх грішних шляхів і присвятить себе лише волі Божій і своєму новому Пророкові."
 flavor_tus.18.a:0 "Наближається кінець днів. Ми молимось про спасіння."
 flavor_tus.19.t:0 "Папа Римський засуджує Савонаролу"
 flavor_tus.19.d:0 "Новини про вчинки Савонароли поширилися до самого архієретика, Папу Римського. Не дивно, що Пантифік засудив проповідника і закликав до негайного судового розгляду у Ватикані, заклик, який Савонарола зухвало відхилив. У відповідь Папа дав зрозуміти, що Савонаролу було відлучено від католицької церкви, а всіх, хто надає йому притулок, слід вважати єретиками вищого порядку."
 flavor_tus.19.a:0 "Папа Римський – єретик!"
 flavor_tus.19.b:0 "Запевняйте людей, що Папа Римський просто помиляється."
 add_savanarola_support_tt:0 "§YСавонарола збирає послідовників і веде нас до теократії§!"
 lose_savanarola_support_tt:0 "§YСавонарола втрачає послідовників, що веде нас до реставрації Медічі§!"
 SAVANAROLA_GOVERNMENT:0 "Уряд Савонароли"
 BROTHER:0 "Брат"
 # Great Peasants' War
 great_peasant_war.1.t:0 "Велика селянська війна"
 great_peasant_war.1.d:0 "Селянство повстає проти законних господарів, вимагаючи припинення кріпосного права та формального захисту своїх прав. Це не місцевий бунт; насіння інакомислення поширюються далеко по всій Імперії та часто насаджуються небезпечними єретиками. Усі князі Німеччини повинні стежити за своїм захистом та підготуватися до війни проти того самого народу, яким вони колись правили."
 great_peasant_war.1.a:0 "Нам слід нагадати цим селянам про їхнє місце."
 gpw_effects_tt:0 "§YЗаворушення зростають по всій Священній Римській Імперії.§!\nСеляни частіше бунтують.\nУспішні селянські заколоти можуть бути стимулом для повалення аристократії та нав'язування кардинально іншої системи правління."
 great_peasant_war.2.t:0 "Вимоги [Root.GetAdjective]их селян"
 great_peasant_war.2.d:0 "Попри всі труднощі, непокірні селяни держави [Root.GetName] розгромили сили [Root.Monarch.GetTitleOGO] і тепер можуть диктувати свої умови. Деякі з більш радикальних селянських вождів вимагають не менше, ніж повного усунення аристократії, але більшість готові прийняти великі поступки, щоб вони могли повернутися до своїх домівок та сімей, не боячись репресій."
 great_peasant_war.2.a:0 "Геть аристократію!"
 great_peasant_war.2.b:0 "У нас немає вибору, окрім як капітулювати."
 great_peasant_war.3.t:1 "Велика селянська війна"
 great_peasant_war.3.d:1 "Бурхливий конфлікт між селянством та владою вирував десятиліттями в межах Священної Римської Імперії. Настав час Імператору прийняти тверде й остаточне рішення: захищати права селян або нав'язати контроль дворянства."
 great_peasant_war.3.a:0 "Розтрощити рештки агітаторів."
 great_peasant_war.3.b:1 "Надати поступки селянам."
 great_peasants_war_triggered_modifier:0 "Велика селянська війна"
 desc_great_peasants_war_triggered_modifier:0 "Велика селянська війна втягує Священну Римську Імперію у прірву. Поки це триває, повсталі селяни будуть сміливішими та навіть можуть повалити уряд."
 great_peasant_war.4.t:0 "Кінець Великої селянської війни"
 great_peasant_war.4.d:0 "Селяни здебільшого стали менш неслухняними та навчилися приймати своє місце внизу природного порядку."
 great_peasant_war.4.a:0 "Дякую Тобі, Господи"
 end_gpw_tt:0 "§YВелика селянська війна підходить до свого завершення.§!"
 # King in Prussia
 king_in_prussia.1.t:0 "Пруська корона"
 king_in_prussia.1.d:0 "Тоді як наша велика нація підіймається на все вищі висоти, [Root.Monarch.GetTitleKHTO] да[Root.Monarch.GetMEndVLa] зрозуміти, що має намір підняти статус Прусії до звання Королівства, а самого себе – до титулу короля. Як князь Священної Римської Імперії було б дещо непристойно, якби він не порадилися з Імператором з цього питання, тому ми написали пропозицію, яку з його сторони було б розумно ретельно розглянути."
 king_in_prussia.1.a:0 "Ми будемо королями"
 king_in_prussia.2.t:0 "Король Прусії"
 king_in_prussia.2.d:1 "Прусія – висхідна сила Священної Римської Імперії, займає все більш панівне становище в імперській політиці та позиціює себе як претендента на світовій арені. [PRU.Monarch.GetTitle] [PRU.Monarch.GetName] оголоси[PRU.Monarch.GetMEndVLa] про свій намір створити королівство Прусію, піднявши націю зі поточного статусу – [PRU.GovernmentName] – на вищий рівень. Це майже безпрецедентно в межах Священної Римської Імперії, тож Імператор має подумати як розв'язати це питання."
 king_in_prussia.2.a:0 "Підвищити Прусію до Імперського королівства"
 king_in_prussia.2.b:0 "Нехай [PRU.Monarch.GetHerHim] називає себе королем у Прусії"
 king_in_prussia.2.c:0 "Ми не визнаємо цього самозваного монарха."
 king_in_prussia.3.t:0 "Король Прусії"
 king_in_prussia.3.d:0 "Наш близький друг і союзник, Імператор [emperor.Monarch.GetName], милостиво вирішив підняти Прусію до звання Імперського королівства! Такий привілей не надавався з часу піднесення королівства Богемії. Королі Прусії з гордістю носитимуть свою корону, завжди пам'ятаючи про милість, надану їм Імператором."
 king_in_prussia.3.d2:0 "Імперська традиція говорить, що єдиними королями в Імперії може бути Король Риму, тобто сам Імператор і король Богемії. Однак ми досягли цікавого правового компромісу з Імператором: наші монархи будуть використовувати титул 'короля Прусії'. Оскільки Прусія лежить поза межами Священної Римської Імперії – ми можемо назвати себе королями, без необхідності для імператора порушувати імперські традиції."
 king_in_prussia.3.d3:0 "Імператор, ця безчесна шавка, відмовився визнати наше право називати себе королями незалежно від того, які розумні компроміси ми пропонували. Ми, звичайно, не будемо зважати на нього й будемо називати себе королями."
 king_in_prussia.3.a:0 "Слава Богу та Імператору!"
 king_in_prussia.3.b:0 "Задовільний компроміс."
 king_in_prussia.3.c:0 "Нам не потрібен дозвіл імператора."
 elevated_prussia:0 "Піднесена Прусія"
 opinion_king_in_prussia:0 "Король Прусії"
 opinion_prussia_not_recognized:0 "Заперечує пруську легітимність"
 # Duke of Alencon
 emp_mission_events.10.t:0 "Герцог Алансона"
 emp_mission_events.10.d:0 "Під час Столітньої війни герцогів Алансона було вигнано з їхніх земель через англійське вторгнення. Тепер, коли традиційні території герцогства повернуто у французькі руки, аристократи Дому Валуа-Алансона закликають [Root.Monarch.GetTitleOGO] повернути втрачені землі та титули."
 emp_mission_events.10.a:0 "Повернути герцога."
 emp_mission_events.10.b:0 "Алансон належить Короні."
 EST_VAL_DUKE_OF_ALENCON:0 "Герцог Алансонський: §Y$VAL$%§!"
 # Misc government reforms
 admiralty_reform:0 "Рада Адміралів"
 admiralty_reform_desc:0 "Життя нашої держави залежить від нашої могутності на морі. З цією метою ми передали кермо влади Раді адміралів, члени якої безумовно є досвідченими і патріотичними.\n\nУнеможливлює вибори."
 protectorate_parliament_reform:0 "Протекторатський парламент"
 protectorate_parliament_reform_desc:0 "Під доброзичливим керівництвом лорда-захисника нашою державою керує верховний парламент, лояльний до Речі Посполитої.\n\nУнеможливлює вибори."
 protectorate_parliament_legacy:0 "Протекторатський парламент"
 protectorate_parliament_legacy_desc:0 "Під доброзичливим керівництвом лорда-захисника нашою державою керує верховний парламент, лояльний до Речі Посполитої.\n\nУнеможливлює вибори."
 COMMONWEALTH:0 "Річ Посполита"
 ADMIRALTY:0 "Адміралтейство"
 HIGH_ADMIRALTY:0 "Високе адміралтейство"
 SUPREME_ADMIRALTY:0 "Верховне адміралтейство"
 LORD_HIGH_ADMIRAL:0 "Лорд вищий адмірал"
 SUPREME_ADMIRAL:0 "Верховний адмірал"
 prussian_republic_reform:0 "Стратократична адміністрація"
 prussian_republic_reform_desc:0 "Пруською республікою керують не корумповані олігархи, не воля незнаних мас, а її найбільш кваліфіковані та перевірені військові командири. Розширення та захист наших кордонів є головними директивами для держави.\n\nУнеможливлює вибори."
 prussian_republic:0 "Стратократична адміністрація"
 prussian_republic_descs:0 "Пруською республікою керують не корумповані олігархи, не воля незнаних мас, а її найбільш кваліфіковані та перевірені військові командири. Розширення та захист наших кордонів є головними директивами для держави.\n\nУнеможливлює вибори."
 STRATOCRACY:0 "Юнкерська стратократія"
 FIELD_MARSHAL:0 "Фельдмаршал"
 ARCHPIRATE:0 "Архистратиг"
 # The Borgia Pope
 borgia_pope_tt:0 "§YКорупція поширюється церквою, що збиває вірян з пуття.§!"
 borgia_pope:0 "Папа Борджіа"
 desc_borgia_pope:0 "Родріґо Борджіа обрано Папою Римським. Його папство затьмарене чутками про корупцію. Непотизм процвітає, а довіра громадян до церкви страждає."
 scandalized_papacy:0 "Скандальне папство"
 desc_scandalized_papacy:0 "Передбачувана діяльність родини Борджіа є плямою на репутації папства."
 borgia_diplomacy:0 "Дипломатія Борджіа"
 desc_borgia_diplomacy:0 "Незважаючи на прискіпливі чутки про родину Борджіа, їхні дипломатичні здібності не мають собі рівних, тому вони не дозволяють ворогам псувати їхню репутацію."
 flavor_pap.16.t:0 "Папа Борджіа"
 flavor_pap.16.d:0 "Білий дим підіймається з даху Сікстинської капели. На тлі звинувачень у симонії, конклав обрав архієпископа Валенсії Родріґо Борджія на Престол святого Петра. Борджії з'явикися відносно недавно на сцені римської політики, тому вони викликали гнів у більш утверджених римських родин, які бажали це місце для себе.\n\nХоча багато чуток навколо цього Папи Борджіа, ймовірно, є перебільшеннями, які пропагують його вороги, але, як відомо, він відкрито тримає коханку й уже підняв свого сина-підлітка Чезаре до звання кардинала. Багато спекуляцій, що правління цього Папи Римського буде скандальним і корупційним."
 flavor_pap.16.a:0 "Папство вижило."
 flavor_pap.17.t:0 "Чезаре Борджіа"
 flavor_pap.17.d:0 "Чезаре Борджіа, син Папи Римського, став першою людиною, яка пішла у відставку з посади кардинала. Шукаючи натомість, кар’єру військового авантюриста, він уже зарекомендував себе як здібний і нещадний кондотьєр. Святий Отець вирішив визнати його здібності, призначивши Чезаре роль генерал-капітана церкви, надавши йому контроль над папськими арміями."
 flavor_pap.17.a:0 "Aut Caesar, aut nihil. – Або Цезар, або ніщо (Пан або пропав)."
 flavor_pap.18.t:0 "Скандальне папство"
 flavor_pap.18.d:0 "Сила-силенна розпутних чуток оточують вчинки родини Борджіа. Звинувачення у вбивствах кантарели, нібито смертельною отрутою, яку важко виявити, використовувались для усунення політичних конкурентів. Сам Святий Отець, як кажуть, регулярно займається симонією та корупцією, а ще більше шалені чутки точаться про стосунки між його дітьми, Чезаре та Лукрецією. Схоже, для цих звинувачень недостатньо доказів, вони поширені серед католиків."
 flavor_pap.18.a:0 "Брехня і наклеп!"
 flavor_pap.18.b:0 "Ми можемо обернути цю ситуацію на нашу користь."
 flavor_pap.19.t:0 "Кінець папства Борджії"
 flavor_pap.19.d:0 "Смерть Папи Борджіа відзначилася тихим святкуванням серед патріціанських сімей Риму. Кардинали обрали одного з найстійкіших конкурентів Борджіа йому на заміну. [Root.Monarch.GetName] обіцяє винищити корупцію свого попередника та відновити довіру до святості церкви.\n\nЧезаре Борджіа тим часом бачив, що його влада  без папської підтримки зникла за ніч. Побоюючись за своє життя, він втік до Наварри, де сподівається знайти порятунок від своїх ворогів."
 flavor_pap.19.d2:0 "Смерть Папи Борджіа відзначилася тихим святкуванням серед патріціанських сімей Риму. Кардинали обрали одного з найстійкіших конкурентів Борджіа йому на заміну. [Root.Monarch.GetName] обіцяє винищити корупцію свого попередника та відновити довіру до святості церкви."
 flavor_pap.19.a:0 "Церква повинна відновити свою репутацію."
 flavor_pap.20.t:0 "Прибуття Чезаре Борджіа"
 flavor_pap.20.d:0 "Чезаре Борджіа, син Папи та перевірений військовий командир, прибув до суду Наварри. Він шукає притулку від своїх ворогів в Італії, оскільки без папської підтримки його влада розвалилася. В замін він пропонує свою службу в ролі командора, якщо ми маємо в ньому потребу."
 flavor_pap.20.a:0 "Чезаре Борджіа тут раді."
 # Switzerland incident
 incident_switzerland.1.t:0 "Швейцарія та Імперія"
 incident_switzerland.1.d:1 "Із закінченням великих релігійних потрясінь, які охопили не лише Імперію, але й значну частину Європи, кантони Швейцарії переглядають свої дедалі слабкіші стосунки з Імперією. Хоча багато хто воював і загинув за мир, деталі врегулювання не сподобалися швейцарським елітам, і багато хто закликає до формального і повного відокремлення Швейцарії від Священної Римської Імперії."
 incident_switzerland.1.a:0 "Нам більше не потрібна Імперія."
 incident_switzerland.1.b:0 "Швейцарія залишиться в складі імперії."
 swixit_tt:1 "§YІмператор отримує претензію на всі імператорські провінції, що належать Швейцарії.§!\n§YІмператор може бурхливо відреагувати на це рішення.§!"
 incident_switzerland.2.t:0 "Швейцарія та Імперія"
 incident_switzerland.2.d:1 "Швейцарія покинула імперію! Керовані невдоволенням релігійним миром, а також послабленням зв'язків з імператорськими інституціями, швейцарці вирішили, що членство в Священній Римській Імперії вже не відповідає їхнім інтересам."
 incident_switzerland.2.a:0 "Надати їм дозвіл на вихід."
 incident_switzerland.2.b:0 "Членство не є довільним."
 # Pope incident
 pope_in_hre_triggered_modifier:0 "Папа в Імперії"
 desc_pope_in_hre_triggered_modifier:0 "Членство Папи у Священній Римській Імперії має серйозні наслідки для католиків за межами імперії."
 incident_pope.1.t:0 "Священна імперія?"
 incident_pope.1.d:0 "Італію, яка вже не є 'Примарним королівством', було повернено в склад Священної Римської Імперії завдяки невтомним зусиллям Імператора. Папська держава тепер повинна вибрати, чи приймати гегемонію Імператора, чи бути приреченою сидіти голою і вразливою на порозі Імперії.\n\nПрийняття авторитету Імператора мало б серйозні наслідки для католицького світу. Незважаючи на те, що католики в Імперії можуть посилити свою віру через легітимність, надану папським членством, навряд чи ті, що знаходяться за межами Імперії, доброзичливо приймуть таке рішення й можуть навернутися до єресі."
 incident_pope.1.a:0 "Ми приєднаємось до Імперії."
 incident_pope.1.b:0 "Святий Престол повинен залишатися незалежний."
 pope_incident_tt:0 "Імператор вирішить, чи приймати папські держави до Священної Римської Імперії.\n§YЦе матиме наслідки для всього католицького світу.§!"
 pope_incident_tt2:1 "§YЦе матиме наслідки для всього католицького світу.§!\n§YКатолики за межами Імперії отримають штрафи до престижу.§!"
 incident_pope.2.t:0 "Священна імперія?"
 incident_pope.2.d:0 "Італію, яка вже не є 'Примарним королівством', було повернено в склад Священної Римської Імперії завдяки невтомним зусиллям Імператора. Папа Римський вирішив прийняти гегемонію Імперії, а не бути приреченим сидіти голим і вразливим на її порозі.\n\nДозвіл Папи Римського стати імперським князем матиме серйозні наслідки для католицького світу. Незважаючи на те, що католики в Імперії можуть посилити свою віру через легітимність, надану Папським членством, навряд чи ті, що знаходяться за межами Імперії, доброзичливо приймуть таке рішення, вони можуть навернутися до єресі."
 incident_pope.2.a:0 "Папа приєднається до Імперії"
 incident_pope.2.b:0 "Святий Престол повинен залишатися незалежний."
 incident_pope.3.t:0 "Нечестива імперія"
 incident_pope.3.d:1 "Імперський сейм Імперії прийняв рішення ухвалити жахливий і нестерпний указ: що Імперія більше не буде слідувати католицькій вірі. Усі наші зусилля, спрямовані на відновлення гідності Святої Матері Церкви, були марними і тому ми повинні серйозно розглянути питання про відмову від цієї заплямованої установи."
 incident_pope.3.a:0 "Покиньмо це лігво гріха."
 incident_pope.3.b:0 "Ми повинні залишитися задля блага християнства."
 pope_left_empire:0 "Папа залишив Імперію"
 # Dutch revolt rework
 dutch_unification_tt:0 "§YДержава [dutch_unification_country.GetName] отримає провінції, приналежні нашим голландським, фризьким, або фламандськими суб'єктами.§!"
 dutch_revolt_modifier:0 "Голландське повстання"
 desc_dutch_revolt_modifier:0 "Люди цієї провінції бажають незалежних Нідерландів."
 dutch_revolt_tt:0 "Усі провінції в регіоні §YНижні країни§! з §Yголландською§!, §Yфризьскою§!, або §Yфламандською§! культурами отримають модифікатор §YГолландське повстання§!, надаючи §R+10§! місцевого заворушення допоки лихо не мине."
 dutch_revolt_disaster:0 "Голландське повстання"
 dutch_revolt_disaster_desc:0 "Голландці, які живуть під владою держави [Root.GetName] стали невдоволеними та прагнуть до створення незалежної держави насильницькими засобами."
