l_ukrainian:
 #Estate Privileges and related
 estate_nobles_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_dhimmi_manpower_revoke_effect_tooltip:0 "Модифікатор §Y'Призов зіммі'§! буде вилучено з усіх приналежних НЕ §Yмусульманських§! провінцій."
 estate_dhimmi_manpower_mod:0 "Призов зіммі"
 desc_estate_dhimmi_manpower_mod:0 "Держава збільшила призов зіммі."
 estate_dhimmi_tolerance:0 "Гарантовано права релігійних меншостей"
 estate_dhimmi_guaranteed_autonomy:0 "Збільшення автономії зіммі"
 estate_dhimmi_guaranteed_autonomy_effect_tooltip:4 "Кожна приналежна НЕ §Yмусульманська§! провінція отримає:\nМісцева ефективність місіонерів: §R-100%§!\nМісцевий вплив на релігійну єдність: §G-100%§!"
 estate_dhimmi_guaranteed_autonomy_revoke_effect_tooltip:0 "Модифікатор §Y'Збільшення автономії зіммі'§! буде вилучено з усіх приналежних НЕ §Yмусульманських§! провінцій."
 estate_dhimmi_guaranteed_autonomy_mod:0 "Збільшення автономії зіммі"
 desc_estate_dhimmi_guaranteed_autonomy_mod:0 "Держава гарантувала більшу автономію зіммі."
 estate_nomadic_tribes_share_of_the_spoils:0 "Поділитися здобиччю"
 estate_nomadic_tribes_chieftains_autonomy:0 "Розширення автономії вождів"
 estate_nomadic_tribes_guaranteed_leadgership_in_host:0 "Гарантоване управління військом"
 estate_nomadic_tribes_tribal_host:0 "Збільшене племінне військо"
 estate_brahmins_brahmin_governance:0 "Управління брагманів"
 estate_brahmins_legitimacy_to_rule:0 "Право брагманів на правління"
 estate_brahmins_brahmin_leadership:0 "Верховенство брагманів"
 estate_brahmins_flexible_deities:0 "Вибір верховного божества"
 estate_brahmins_flexible_deities_effect_tooltip:1 "Розблокує рішення, яке дозволяє змінювати верховне божество кожні §Y20§! років за §Y25§! легітимності."
 brahmin_hindu_deity_decision_title:0 "Переобрати верховне божество"
 brahmin_hindu_deity_decision_desc:0 "Іноді людина шкодує про свій вибір. Чому вибір верховного божества, зроблений людиною в молодості, повинен обтяжувати його все життя? На щастя, наші домовленості з брагманами дозволяють нам певну гнучкість у цьому питанні."
 decision_once_every_ten_years:0 "Це рішення можна ухвалювати лише раз на §Y10§! років."
 estate_brahmins_loyalty_privilege:0 "Рада брагманів"
 estate_brahmins_guaranteed_autonomy:0 "Розширення автономії брагманів"
 estate_brahmins_guaranteed_autonomy_effect_tooltip:4 "Кожна приналежна §Yдхармічна§! провінція отримає:\nМісцева ефективність місіонерів: §R-100§!\nМісцевий вплив на релігійну єдність: §G-100%§!"
 estate_brahmins_guaranteed_autonomy_revoke_effect_tooltip:0 "Модифікатор §Y'Розширення автономії брагманів'§! буде вилучено з усіх приналежних §Yдхармічних§! провінцій."
 estate_brahmins_guaranteed_autonomy_mod:0 "Розширення автономії брагманів"
 desc_estate_brahmins_guaranteed_autonomy_mod:0 "Держава гарантувала брагманам більшу автономію."
 estate_jains_diplomacy:0 "Політичний вплив джайнів"
 estate_jains_clerical_class:0 "Клерикальна рада джайнів"
 estate_jains_indebted_to_jains:0 "Заборгованість перед джайнами"
 estate_jains_conscientious_objection:0 "Відмови через переконання"
 estate_maratha_military:0 "Верховенство маратхів"
 estate_maratha_advisor:0 "Вербування маратхів-майстрів муштри"
 estate_maratha_loyalty_privilege:0 "Розширення автономії маратхів"
 estate_maratha_special_privilege:0 "Військове керівництво маратхів"
 estate_rajput_rajput_regiments:0 "Створення раджпутських полків"
 estate_rajput_military:0 "Домінування раджпутів"
 estate_rajput_advisor:0 "Вербування раджпутів-майстрів муштри"
 estate_rajput_loyalty_privilege:0 "Розширення автономії раджпутів"
 estate_rajput_officer_corp:0 "Раджпутський офіцерський корпус"
 estate_rajput_look_up_purbias:1 "Вербування пурбіїв"
 estate_vaisyas_loyalty_privilege:0 "Підтримка підприємництва вайш'їв"
 estate_vaisyas_advisor:0 "Консультативна рада вайш'їв"
 estate_vaisyas_wartaxes:0 "Стягування військових внесків"
 estate_nobles_supremacy_over_crown:0 "Верховенство над [Root.GetStateFormKYM]"
 estate_brahmins_supremacy_over_crown:0 "Верховенство над [Root.GetStateFormKYM]"
 estate_burghers_monopoly_of_textiles:1 "Монополія на текстиль"
 estate_burghers_monopoly_of_textiles_mod:1 "Монополія міщан на текстиль"
 desc_estate_burghers_monopoly_of_textiles_mod:2 "Держава надала [Root.Owner.GetBurghersDV] монопольні права на текстильне виробництво."
 estate_nobles_junker_primacy:1 "Верховенство юнкерів"
 estate_nobles_strong_duchies:0 "Сильні герцогства"
 estate_nobles_golden_liberty:0 "Золота свобода"
 estate_nobles_veto_heir_apparent:0 "Вето прямого спадкоємця"
 estate_burghers_the_great_privilege:0 "Великий привілей"
 estate_burghers_the_great_privilege_effect_tooltip:0 "Кожна ваша провінція в регіоні §YНижні землі§! отримає модифікатор §Y'Великий привілей'§!, що матиме такі ефекти:\nМінімальна місцева автономія: §R+50.00§!"
 estate_burghers_the_great_privilege_revoke_effect_tooltip:0 "Модифікатор §Y'Великий привілей'§! буде вилучено з усіх приналежних провінцій в регіоні §YНижні землі§!."
 estate_burghers_the_great_privilege_mod:0 "Великий привілей"
 desc_estate_burghers_the_great_privilege_mod:0 "Бургундська держава надала городянам Нижніх земель підвищену автономію в обмін на перехід під пряме управління Бургундії."
 estate_brahmins_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_church_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_maratha_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_burghers_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_vaisyas_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_cossacks_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_nomadic_tribes_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_dhimmi_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_jains_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_rajput_land_rights:0 "Розширення володінь стану $ESTATE_NAME$"
 estate_church_inwards_perfection:0 "Внутрішня досконалість"
 estate_church_enforced_interfaith_dialogue:0 "Підтримка міжрелігійного діалогу"
 estate_church_enforced_one_faith:0 "Підтримка релегійної єдності"
 estate_burghers_exclusive_trade_rights:0 "Виняткові торгові права"
 estate_vaisyas_exclusive_trade_rights:0 "Виняткові торгові права"
 estate_jains_exclusive_trade_rights:0 "Виняткові торгові права"
 estate_burghers_exclusive_trade_rights_mod:0 "Виняткові торгові права"
 desc_estate_burghers_exclusive_trade_rights_mod:0 "Держава передала виняткові торгові права в цій провінції зацікавленим групам."
 estate_burghers_control_over_monetary_policy:0 "Контроль за монетарною політикою"
 estate_vaisyas_control_over_monetary_policy:0 "Контроль за монетарною політикою"
 estate_jains_control_over_monetary_policy:0 "Контроль за монетарною політикою"
 estate_burghers_private_trade_fleets:0 "Приватні торгові флоти"
 estate_vaisyas_private_trade_fleets:0 "Приватні торгові флоти"
 estate_jains_private_trade_fleets:0 "Приватні торгові флоти"
 estate_church_for_the_faith:0 "Експансіоністське завзяття"
 estate_brahmins_for_the_faith:0 "Експансіоністське завзяття"
 estate_privileges_and_agendas_events.1.name:0 "Права стану $ESTATE_NOBLES$"
 estate_privileges_and_agendas_events.1.desc:0 "[Root.GetRulerTitleAndNameOrRegencyCap] прагне зменшити привілеї аристократії та централізувати владу під своїм керівництвом. Останні події викликали занепокоєння серед стану $ESTATE_NOBLES$, що [Root.Monarch.GetSheHe] готує переворот для скасування багатьох найзаповітніших свобод – головне – їхнього права обирати наступн[Root.Monarch.GetMEndUOgo] [Root.Monarch.GetTitleOGO]. Сільські землевласники вже мобілізуються проти такого розвитку подій і, безсумнівно, повстануть, якщо ми спробуємо ще більше обмежити їхні привілеї."
 estate_privileges_and_agendas_events.1.A:0 "Виборна монархія – невіддільна частина нашої держави."
 estate_privileges_and_agendas_events.1.B:0 "Ми скасуємо виборну монархію."
 estate_nobles_nieszawa_privileges:0 "Нешавські привілеї"
 estate_nobles_pacta_conventa:0 "Pacta Conventa"
 brahmins_hindu_loyalty_modifier:1 "Рівновага лояльності [Country.BrahminsRD]"
 brahmins_muslim_loyalty_modifier:1 "Рівновага лояльності [Country.BrahminsRD]"
 brahmins_other_loyalty_modifier:1 "Рівновага лояльності [Country.BrahminsRD]"
 brahmins_hindu_influence_modifier:0 "Вплив [Country.BrahminsRD]"
 brahmins_muslim_influence_modifier:0 "Вплив [Country.BrahminsRD]"
 brahmins_other_influence_modifier:0 "Вплив [Country.BrahminsRD]"
 church_loyalty_modifier:1 "Рівновага лояльності [Country.ChurchRD]"
 church_influence_modifier:0 "Вплив [Country.ChurchRD]"
 maratha_loyalty_modifier:1 "Рівновага лояльності [Country.MarathaRD]"
 maratha_influence_modifier:0 "Вплив [Country.MarathaRD]"
 maratha_muslim_loyalty_modifier:1 "Рівновага лояльності [Country.MarathaRD]"
 maratha_muslim_influence_modifier:0 "Вплив [Country.MarathaRD]"
 maratha_exclusive_loyalty_modifier:1 "Рівновага лояльності [Country.MarathaRD]"
 maratha_exclusive_influence_modifier:0 "Вплив [Country.MarathaRD]"
 nobles_loyalty_modifier:1 "Рівновага лояльності [Country.NoblesRD]"
 nobles_influence_modifier:0 "Вплив [Country.NoblesRD]"
 burghers_loyalty_modifier:1 "Рівновага лояльності [Country.BurghersRD]"
 burghers_influence_modifier:0 "Вплив [Country.BurghersRD]"
 rajput_loyalty_modifier:1 "Рівновага лояльності [Country.RajputRD]"
 rajput_influence_modifier:0 "Вплив [Country.RajputRD]"
 rajput_muslim_loyalty_modifier:1 "Рівновага лояльності [Country.RajputRD]"
 rajput_muslim_influence_modifier:0 "Вплив [Country.RajputRD]"
 rajput_exclusive_loyalty_modifier:1 "Рівновага лояльності [Country.RajputRD]"
 rajput_exclusive_influence_modifier:0 "Вплив [Country.RajputRD]"
 cossacks_loyalty_modifier:1 "Рівновага лояльності [Country.CossacksRD]"
 cossacks_influence_modifier:0 "Вплив [Country.CossacksRD]"
 dhimmi_loyalty_modifier:1 "Рівновага лояльності [Country.DhimmiRD]"
 dhimmi_influence_modifier:0 "Вплив [Country.DhimmiRD]"
 nomadic_tribes_loyalty_modifier:1 "Рівновага лояльності [Country.NomadicRD]"
 nomadic_tribes_influence_modifier:0 "Вплив [Country.NomadicRD]"
 UNREST_NAMED:0 "$SOURCE$: $VALUE|-=$\n"
 estate_land_seized:0 "Конфіскація земель стану"
 ESTATES_SALE_OF_TITLES_DESC:0 "Продати §Y10% земель Корони§! §Yстанам§!."
 ESTATES_SEIZE_LAND_DESC:0 "Буде відібрано §Y5% земель станів§! на користь §YКорони§!."
 ESTATES_SEIZE_LAND_UNREST_DESC:0 "Частина земель, які належать станам, отримає §R+5§! до §Yзаворушеннь§!, а найвпливовіший стан необачно підніме проти вас зброю."
 IS_NOT_MOST_POWERFUL_ESTATE:0 "$ESTATE$ не є найсильнішим станом."
 IS_MOST_POWERFUL_ESTATE:0 "$ESTATE$ є найсильнішим станом."
 ESTATE_LAND_SHARE_CHANGE_ENTRY:0 " $ESTATE$: $CHANGE|2Y=&$\n"
 APPLY_SPRITE_PACK_EFFECT:0 "Держава §Y[GetName]§! використовуватиме набір спрайтів $SPRITE_PACK|Y$."
 crown_land_level_0:0 "Королівські землеволодіння"
 crown_land_level_1:0 "Королівські землеволодіння"
 crown_land_level_2:0 "Королівські землеволодіння"
 crown_land_level_3:0 "Королівські землеволодіння"
 crown_land_level_4:0 "Королівські землеволодіння"
 crown_land_level_5:0 "Королівські землеволодіння"
 crown_land_level_6:0 "Королівські землеволодіння"
 crown_land_level_7:0 "Королівські землеволодіння"
 crown_land_level_8:0 "Королівські землеволодіння"
 crown_land_level_9:0 "Королівські землеволодіння"
 estate_privileges_and_agendas_events.2.name:0 "Майнові права станів"
 estate_privileges_and_agendas_events.2.desc:0 "[Root.GetAdjective]і стани запропонували [Root.Monarch.GetTitleOMU] компроміс для вирішення проблем, які виникли через слабкий контроль [Root.GetGovernmentOGO] за землями. В обмін на землі стани вимагають певних свобод..."
 estate_privileges_and_agendas_events.2.a:0 "Чесно кажучи, чого ви очікували, коли розпродали всю країну?"
 estate_privileges_and_agendas_events.2.b:0 "Пфф, ми розберемося з цим самі..."
 seize_land_unavailable_from_privilege:0 "§RНе можна конфіскувати землі, допоки діють прівелеї на законні права станів§!"
 estate_brahmins_statutory_rights:0 "Законні права станів"
 estate_nobles_statutory_rights:0 "Законні права станів"
 estate_burghers_statutory_rights:0 "Законні права станів"
 estate_church_statutory_rights:0 "Законні права станів"
 CANNOT_REVOKE_PRIVILEGE_BEFORE_EXPIRY:0 "§RНе можна скасовувати до $DATE|Y$.§!\n"
 PRIVILEGE_COOLDOWN_TIME:1 "Не можна скасовувати протягом $YEARS|Y$ років!\n\n"
 HAS_NO_ACTIVE_ESTATE_AGENDA:1 "Нема чинного плану стану\n"
 HAS_ACTIVE_ESTATE_AGENDA:1 "Є чинний план стану\n"
 IS_NOT_ACTIVE_ESTATE_AGENDA:0 "$NAME$ не є чинним планом стану"
 IS_ACTIVE_ESTATE_AGENDA:0 "$NAME$ є чинним планом стану"
 ESTATE_AGENDA_STARTS:0 "Починається виконання плану стану"
 ESTATE_UNHAPPY_EFFECTS:0 "Якщо цей стан буде незадоволений, це матиме такі ефекти:\n$EFFECT$"
 sale_of_titles:0 "Продаж титулів"
 summon_the_diet:0 "Скликати засідання"
 seize_land:0 "Відібрати землю"
 estate_unhappy_modifier:0 "Невдоволений стан"
 COMPLETED_ESTATE_AGENDA_TITLE:0 "Виконаний план стану"
 COMPLETED_ESTATE_AGENDA_DESC:0 "Ви виконали план стану $NAME|Y$, що дасть вам такі бенефіти:\n$EFFECT$"
 ACTIVE_ESTATE_AGENDA_TITLE:0 "Стан $ESTATE|Y$ пропонує план $AGENDA|Y$"
 NOT_ENOUGH_ESTATE_AGENDAS_COMPLETED:0 "Число виконаних планів стану $ESTATE|Y$: менше $VAL|Y$"
 ENOUGH_ESTATE_AGENDAS_COMPLETED:0 "Число виконаних планів стану $ESTATE|Y$: $VAL|Y$"
 NOT_ENOUGH_ESTATE_PRIVILEGES_GRANTED_CURRENTLY:0 "Число привілеїв, наданих стану $ESTATE|Y$: менше $VAL|Y$"
 ENOUGH_ESTATE_PRIVILEGES_GRANTED_CURRENTLY:0 "Число привілеїв, наданих стану $ESTATE|Y$: $VAL|Y$"
 ESTATE_MOD_EXPIRY:0 "(збігає $DATE|Y$)"
 INFLUENCE_FROM_ESTATE_LOYALTY:0 "Лояльність стану $ESTATE|Y$ в державі $OVERLORD|Y$"
 vassal_liberty_affected_by_loyalty:0 "Бажання свободи васала залежить від лояльності"
 can_give_agendas_without_interaction:1 "Стани можуть пропонувати плани в будь-коли"
 CONDITIONAL_MODIFIER_DESC:0 "Коли умови\n$CONDITIONS$ виконані:\n$MODIFIERS$"
 FAILED_ESTATE_AGENDA_TITLE:0 "План стану не реалізовано"
 FAILED_ESTATE_AGENDA_DESC:0 "Через зміни в державі, стани більше не будуть вимагати виконання плану $NAME|Y$, що надасть вам такі ефекти:\n$EFFECT$"
 TIMED_OUT_ESTATE_AGENDA_DESC:0 "Ви вичерпали терпіння вашого стану щодо виконання їхньго плану $NAME|Y$, який, як вони очікували, буде завершено $EXPIRY|Y$. Це надасть вам такі ефекти:\n$EFFECT$"
 LAND_OWNERSHIP_MODIFIER:1 "$PERCENT|Y0&$ земель у володінні дає такі ефекти:\n$MODIFIERS$\n"
 estate_privilege_cannot_be_revoked:0 "Цей привілей стану не може бути скасовано."
 estate_burghers_monopoly_of_textiles_effect_tooltip:2 "§RВідсутній прибуток від §Yтканини§! або §Yшовку§!"
 estate_burghers_monopoly_of_dyes:0 "Монополія на барвники"
 estate_burghers_monopoly_of_dyes_effect_tooltip:2 "§RВідсутній прибуток від §Yбарвників§!"
 estate_burghers_monopoly_of_dyes_mod:1 "Монополія на барвники"
 desc_estate_burghers_monopoly_of_dyes_mod:1 "Держава надала [Root.Owner.GetBurghersDV] монопольні права на виробництво барвників."
 estate_burghers_monopoly_of_glass:0 "Монополія на скло"
 estate_burghers_monopoly_of_glass_effect_tooltip:2 "§RВідсутній прибуток від §Yскла§!"
 estate_burghers_monopoly_of_glass_mod:1 "Монополія на скло"
 desc_estate_burghers_monopoly_of_glass_mod:1 "Держава надала [Root.Owner.GetBurghersDV] монопольні права на виробництво скла."
 estate_burghers_monopoly_of_paper:0 "Монополія на папір"
 estate_burghers_monopoly_of_paper_effect_tooltip:2 "§RВідсутній прибуток від §Yпаперу§!"
 estate_burghers_monopoly_of_paper_mod:1 "Монополія на папір"
 desc_estate_burghers_monopoly_of_paper_mod:1 "Держава надала [Root.Owner.GetBurghersDV] монопольні права на виробництво паперу."
 estate_vaisyas_monopoly_of_textiles:0 "Монополія на текстиль"
 estate_vaisyas_monopoly_of_textiles_effect_tooltip:2 "§RВідсутній прибуток від §Yтканини§! або §Yшовку§!"
 estate_vaisyas_monopoly_of_textiles_mod:1 "Монополія на текстиль"
 desc_estate_vaisyas_monopoly_of_textiles_mod:0 "Держава надала вайш'ям монопольні права на текстильне виробництво."
 estate_vaisyas_monopoly_of_dyes:0 "Монополія на барвники"
 estate_vaisyas_monopoly_of_dyes_effect_tooltip:2 "§RВідсутній прибуток від §Yбарвників§!"
 estate_vaisyas_monopoly_of_dyes_mod:1 "Монополія на барвники"
 desc_estate_vaisyas_monopoly_of_dyes_mod:0 "Держава надала вайш'ям монопольні права на виробництво барвників."
 estate_vaisyas_monopoly_of_glass:0 "Монополія на скло"
 estate_vaisyas_monopoly_of_glass_effect_tooltip:2 "§RВідсутній прибуток від §Yскла§!"
 estate_vaisyas_monopoly_of_glass_mod:1 "Монополія на скло"
 desc_estate_vaisyas_monopoly_of_glass_mod:0 "Держава надала вайш'ям монопольні права на виробництво скла."
 estate_vaisyas_monopoly_of_paper:0 "Монополія на папір"
 estate_vaisyas_monopoly_of_paper_effect_tooltip:2 "§RВідсутній прибуток від §Yпаперу§!"
 estate_vaisyas_monopoly_of_paper_mod:1 "Монополія на папір"
 desc_estate_vaisyas_monopoly_of_paper_mod:0 "Держава надала вайш'ям монопольні права на виробництво паперу."
 estate_jains_monopoly_of_textiles:0 "Монополія на текстиль"
 estate_jains_monopoly_of_textiles_effect_tooltip:2 "§RВідсутній прибуток від §Yтканини§! або §Yшовку§!"
 estate_jains_monopoly_of_textiles_mod:1 "Монополія на текстиль"
 desc_estate_jains_monopoly_of_textiles_mod:0 "Держава надала джайнам монопольні права на текстильне виробництво."
 estate_jains_monopoly_of_dyes:0 "Монополія на барвники"
 estate_jains_monopoly_of_dyes_effect_tooltip:2 "§RВідсутній прибуток від §Yбарвників§!"
 estate_jains_monopoly_of_dyes_mod:1 "Монополія на барвники"
 desc_estate_jains_monopoly_of_dyes_mod:0 "Держава надала джайнам монопольні права на виробництво барвників."
 estate_jains_monopoly_of_glass:0 "Монополія на скло"
 estate_jains_monopoly_of_glass_effect_tooltip:2 "§RВідсутній прибуток від §Yскла§!"
 estate_jains_monopoly_of_glass_mod:1 "Монополія на скло"
 desc_estate_jains_monopoly_of_glass_mod:0 "Держава надала джайнам монопольні права на виробництво скла."
 estate_jains_monopoly_of_paper:0 "Монополія на папір"
 estate_jains_monopoly_of_paper_effect_tooltip:2 "§RВідсутній прибуток від §Yпаперу§!"
 estate_jains_monopoly_of_paper_mod:1 "Монополія на папір"
 desc_estate_jains_monopoly_of_paper_mod:0 "Держава надала джайнам монопольні права на виробництво паперу."
 estate_nobles_monopoly_of_metals:0 "Монополія на видобуток і виплавку корисних копалин"
 estate_nobles_monopoly_of_metals_effect_tooltip:2 "§RВідсутній прибуток від §Yзаліза§! або §Yміді§!"
 estate_nobles_monopoly_of_metals_mod:1 "Монополія на видобуток і виплавку корисних копалин"
 desc_estate_nobles_monopoly_of_metals_mod:1 "Держава надала [Root.Owner.GetNobilityDV] монопольні права на виробництво заліза та міді."
 estate_nobles_monopoly_of_livestock:0 "Монополія на тваринництво"
 estate_nobles_monopoly_of_livestock_effect_tooltip:2 "§RВідсутній прибуток від §Yтваринництва§!"
 estate_nobles_monopoly_of_livestock_mod:1 "Монополія на тваринництво"
 desc_estate_nobles_monopoly_of_livestock_mod:1 "Держава надала [Root.Owner.GetNobilityDV] монопольні права на тваринництво."
 estate_nobles_monopoly_of_gems:0 "Монополія на коштовне каміння"
 estate_nobles_monopoly_of_gems_effect_tooltip:4 "§RВідсутній прибуток від §Yкоштовного каміння§!."
 estate_nobles_monopoly_of_gems_mod:1 "Монополія на коштовне каміння"
 desc_estate_nobles_monopoly_of_gems_mod:1 "Держава надала [Root.Owner.GetNobilityDV] монопольні права на видобуток та обробку коштовного каміння."
 estate_rajput_monopoly_of_metals:0 "Монополія на видобуток і виплавку корисних копалин"
 estate_rajput_monopoly_of_metals_effect_tooltip:2 "§RВідсутній прибуток від §Yзаліза§! або §Yміді§!"
 estate_rajput_monopoly_of_metals_mod:1 "Монополія на видобуток і виплавку корисних копалин"
 desc_estate_rajput_monopoly_of_metals_mod:0 "Держава надала раджпутам монопольні права на виробництво заліза та міді."
 estate_rajput_monopoly_of_livestock:0 "Монополія на тваринництво"
 estate_rajput_monopoly_of_livestock_effect_tooltip:2 "§RВідсутній прибуток від §Yтваринництва§!"
 estate_rajput_monopoly_of_livestock_mod:1 "Монополія на тваринництво"
 desc_estate_rajput_monopoly_of_livestock_mod:0 "Держава надала раджпутам монопольні права на тваринництво."
 estate_rajput_monopoly_of_gems:0 "Монополія на коштовне каміння"
 estate_rajput_monopoly_of_gems_effect_tooltip:2 "§RВідсутній прибуток від §Yкоштовного каміння§!"
 estate_rajput_monopoly_of_gems_mod:1 "Монополія на коштовне каміння"
 desc_estate_rajput_monopoly_of_gems_mod:0 "Держава надала раджпутам монопольні права на видобуток та обробку коштовного каміння."
 estate_maratha_monopoly_of_metals:0 "Монополія на видобуток і виплавку корисних копалин"
 estate_maratha_monopoly_of_metals_effect_tooltip:2 "§RВідсутній прибуток від §Yзаліза§! або §Yміді§!"
 estate_maratha_monopoly_of_metals_mod:1 "Монополія на видобуток і виплавку корисних копалин"
 desc_estate_maratha_monopoly_of_metals_mod:0 "Держава надала маратхам монопольні права на виробництво заліза та міді."
 estate_maratha_monopoly_of_livestock:0 "Монополія на тваринництво"
 estate_maratha_monopoly_of_livestock_effect_tooltip:2 "§RВідсутній прибуток від §Yтваринництва§!"
 estate_maratha_monopoly_of_livestock_mod:1 "Монополія на тваринництво"
 desc_estate_maratha_monopoly_of_livestock_mod:0 "Держава надала маратхам монопольні права на тваринництво."
 estate_maratha_monopoly_of_gems:0 "Монополія на коштовне каміння"
 estate_maratha_monopoly_of_gems_effect_tooltip:2 "§RВідсутній прибуток від §Yкоштовного каміння§!"
 estate_maratha_monopoly_of_gems_mod:1 "Монополія на коштовне каміння"
 desc_estate_maratha_monopoly_of_gems_mod:0 "Держава надала маратхам монопольні права на видобуток та обробку коштовного каміння."
 estate_church_monopoly_of_incense:0 "Монополія на пахощі"
 estate_church_monopoly_of_incense_effect_tooltip:2 "§RВідсутній прибуток від §Yпахощів§!"
 estate_church_monopoly_of_incense_mod:1 "Монополія на пахощі"
 desc_estate_church_monopoly_of_incense_mod:1 "Держава надала [Root.Owner.GetClergyDV] монопольні права на виробництво пахощів."
 estate_church_monopoly_of_wool:0 "Монополія на вовну"
 estate_church_monopoly_of_wool_effect_tooltip:2 "§RВідсутній прибуток від §Yвовни§!"
 estate_church_monopoly_of_wool_mod:1 "Монополія на вовну"
 desc_estate_church_monopoly_of_wool_mod:1 "Держава надала [Root.Owner.GetClergyDV] монопольні права на виробництво вовни."
 estate_church_monopoly_of_wine:0 "Монополія на вино"
 estate_church_monopoly_of_wine_effect_tooltip:2 "§RВідсутній прибуток від §Yвина§!"
 estate_church_monopoly_of_wine_mod:1 "Монополія на вино"
 desc_estate_church_monopoly_of_wine_mod:1 "Держава надала [Root.Owner.GetClergyDV] монопольні права на виробництво вина."
 estate_church_monopoly_of_slaves:0 "Монополія на работоргівлю"
 estate_church_monopoly_of_slaves_effect_tooltip:2 "§RВідсутній прибуток від §Yработоргівлі§!"
 estate_church_monopoly_of_slaves_mod:1 "Монополія на работоргівлю"
 desc_estate_church_monopoly_of_slaves_mod:1 "Держава надала [Root.Owner.GetClergyDV] монопольні права на работоргівлю, щоб завжди було достатньо жертв для жертвоприношення."
 estate_brahmins_monopoly_of_incense:0 "Монополія на пахощі"
 estate_brahmins_monopoly_of_incense_effect_tooltip:2 "§RВідсутній прибуток від §Yпахощів§!"
 estate_brahmins_monopoly_of_incense_mod:1 "Монополія на пахощі"
 desc_estate_brahmins_monopoly_of_incense_mod:0 "Держава надала брагманам монопольні права на виробництво пахощів."
 estate_brahmins_monopoly_of_wool:0 "Монополія на вовну"
 estate_brahmins_monopoly_of_wool_effect_tooltip:2 "§RВідсутній прибуток від §Yвовни§!"
 estate_brahmins_monopoly_of_wool_mod:1 "Монополія на вовну"
