l_ukrainian:
 mil_tech_cost_modifier:0 "Вартість військ. технологій"
 MON_DIP_LONG:0 "Дипломатичні"
 MON_MIL_LONG:0 "Військові"
 MON_ADM_LONG:0 "Адміністративні"
 PROVINCECORECOSTINCREASE:0 "§YЗбільшена вартість націоналізації§!\nНаціональні традиції держави §Y$COUNTRY$§! збільшили вартість націоналізації цієї провінції."
 RECRUIT_CANT_AFFORD_D:0 "Необхідно щонайменше: §Y$COST$§W£dip£."
 RECRUIT_CANT_AFFORD_M:0 "Необхідно щонайменше: §Y$COST$§W£mil£."
 RECRUIT_EXPLORER_IRO:1 "§YНайняти мореплавця§!\nЦе коштуватиме §Y$COST$§W£dip£ \n"
 RECRUIT_CONQUISTADOR_IRO:1 "§YНайняти землепрохідця§!\nЦе коштуватиме §Y$COST$§W£mil£ \n"
 RECRUIT_GENERAL_IRO:1 "§YНайняти генерала§!\nЦе коштуватиме §Y$COST$§W£mil£ \n"
 RECRUIT_ADMIRAL_IRO:1 "§YНайняти адмірала§!\nЦе коштуватиме §Y$COST$§W£dip£ \n"
 LEADER_STATS_BASE:0 "Цей командувач матиме від $MIN|Y$ до $MAX|Y$ позначок вміння.\n"
 LEADER_STATS_FIRE:0 "Вогнева міць підвищено на $VAL$ за рахунок:\n"
 LEADER_STATS_SHOCK:0 "Міць натиску підвищено на $VAL$ за рахунок:\n"
 LEADER_STATS_MANNY:0 "Маневреність підвищено на $VAL$ за рахунок:\n"
 LEADER_STATS_SIEGE:0 "Здатність до облоги підвищено на $VAL$ за рахунок:\n"
 LEADER_STATS_BLOCKAD:0 "Здатність до блокади підвищено на $VAL$ за рахунок:\n"
 NOAS_ALREADY_ASSAULTING:0 "Штурм фортеці вже відбувається."
 NOAS_NO_INFANTRY:0 "Не вистачає піхоти для штурму."
 NOAS_YOU_ARE_DEFENDING:0 "Ви не можете наказати ворогам, щоб вас штурмували."
 NOAS_NOT_LEADING:1 "Ви не є лідером облоги або сюзереном обложників, тому не можете віддати наказ штурмувати фортецю."
 NOAS_LOW_MORALE:0 "Вам необхідно мати вищій бойовий дух, щоб віддати наказ штурмувати."
 NOAS_NO_POINTS:0 "Вам необхідно §Y$COST$§W£mil£, щоб віддати наказ штурмувати, у вас є §Y$VAL$§W."
 ORDER_ASSAULT_IRO:0 "Штурм коштуватиме багатьох життів та §Y$COST$§W£mil£."
 BUILD_POWER_DESC:0 "§Y$VAL$§W балів – $TYPE$."
 BUILDING_COST2:0 "Вартість: §Y$AMOUNT$§W¤ золота\nЧас будівництва: §Y$TIME$§W місяців"
 BUILDING_MAINTENANCE_COST:0 "Утримання після побудови: §Y$AMOUNT$§W¤/місяць"
 NO_SPIES_TO_SEND:0 "У вас немає вільних дипломатів."
 CONFIRMAKECORE:0 "Зробити національною!"
 CONFIRMAKECORETEXT:0 "Бажаєте зробити провінцію §Y$PROV$§W вашою національною?"
 CONFIRMAKETERRITORIALCORETEXT:0 "Бажаєте зробити провінцію §Y$PROV$§W вашою національною територією?"
 CONFIRMAKECORECOST:0 "Це коштуватиме §Y$COST$§W балів ($TYPE$)."
 CONFIRMCANCELMAKECORE:0 "Скасувати націоналізацію!"
 CONFIRMCANCELMAKECOREDESC:0 "Бажаєте скасувати націоналізацію провінції §Y$PROV$§W?"
 MAKECORECOST_INFO:0 "Націоналізація провінції §Y$PROVINCE$§W коштуватиме §Y$COST$§W балів ($TYPE$)."
 CONFIRMFABRICATECLAIM:0 "Фабрикувати претензії"
 CONFIRMFABRICATECLAIMDESC:0 "Бажаєте сфабрикувати претензії на провінцію $PROV|Y$?"
 CONFIRMCHANGECULTURE:0 "Змінити культуру!"
 CONFIRMCHANGECULTURETEXT:0 "Бажаєте зробити §Y$CULTURE$§z§!§Yу§W культуру основною в провінції §Y$PROV$§W!?"
 CONFIRMCHANGECULTURECOST:0 "Це коштуватиме §Y$COST$§W балів ($TYPE$)."
 CONFIRMCANCELCHANGECULTURE:0 "Скасувати зміну культури!"
 CONFIRMCANCELCHANGECULTUREDESC:0 "Бажаєте скасувати зміну культури в провінції §Y$PROV$§W?"
 HARSHTREATMENT_SPEND_DESC:0 "Витратити $MIL|Y0$ £mil£ на жорстке придушення для зниження прогресу заворушення $NAME$ на $REDUCE|Y0$§Y%§!."
 CONFIRMHARSHTREATMENT:0 "Жорстке придушення!"
 CONFIRMHARSHTREATMENTTEXT:1 "Бажаєте витратити $MIL|Y0$ £mil£ на жорстоке придушення, щоб зменшити рівень заворушень у провінції $NAME$ на $REDUCE|Y0$%?"
 CONFIRMHARSHTREATMENTCOST:0 "Це коштуватиме §Y$COST$§W балів ($TYPE$)."
 NEW_IDEA:0 "Дозволяє вибрати наступну групу ідей.\n"
 NOT_TECH_FOR_FORCE_MARCH:0 "Вам необхідно досягти адміністративних технологій 15 рівня, щоби мати змогу використовувати форсований марш."
 FORCED_MARCH_TITLE:0 "§YФорсований марш§!"
 FORCED_MARCH_COST:0 "Швидкість пересування: §G$SPEED$%§!\nКоштує£mil£ за пройдену провінцію."
 NOFM_NO_POINTS:0 "Вам необхідно §Y$COST$§W£mil£ для форсованого маршу, у вас є тільки §Y$VAL$§W£mil£."
 NOT_AN_ARMY_FM:0 "Тільки армія може отримати наказ на форсований марш."
 ALREADY_ON_FM:0 "Ця армія вже робить форсований марш-кидок."
 IS_MOVING_FM:0 "Ви можете віддати наказ на форсований марш тільки коли армія не пересувається."
 FORCE_MARCH:0 "Форсований марш"
 FORCE_MARCH_IRO:0 "Форсований марш збільшує швидкість пересування до §Y$SPEED$%§W, використовуючи §Y$COST$§W£mil£ за кожну провінцію, пройдену військом."
 NO_MORALE_WHILE_FORCE_MARCH:1 "Армія не може відновлювати свій бойовий дух під час форсованого маршу."
 DISABLE_FORCE_MARCH:0 "Форсований марш збільшує швидкість пересування до §Y$SPEED$%§W, використовуючи §Y$COST$§W£mil£ за кожну провінцію, пройдену військом.\n§Y(клацніть, щоб припинити)§!"
 NOREDUCE_WAR_NO_POINTS:0 "Вам необхідно §Y$COST$§W£dip£ для зниження військової втоми, у вас є §Y$VAL$§W."
 NOREDUCE_WAR_NO_WE:0 "Ваша військова втома дорівнює §Y$VAL$§!, подальше зниження неможливе."
 WAR_EXAHUST_REDUCE:0 "Знизити військову втому на §Y$EFFECT$§! за $COST|Y$£dip£."
 NO_PROMOTE_MERC_NO_POINTS:0 "Вам необхідно §Y$COST$§W £dip£ для збільшення меркантилізму, у вас є тільки §Y$VAL$§W."
 PROMOTE_MERC_IRO:0 "Підняти меркантилізм на $VAL$, витративши §Y$COST$§W £dip£"
 ALREADY_MAX_MERC:0 "Ми вже маємо максимальний меркантилізм."
 MODIFIER_MERCENARY_MANPOWER:1 "Рекрути найманців"
 MODIFIER_REBEL_SUPPORT_EFFICIENCY:0 "Ефективність підтримки повстанців"
 MODIFIER_DISCOVERED_RELATION_IMPACT:0 "Успішність таємних операцій"
 MODIFIER_SABOTAGE_REPUTATION:0 "Підривати репутацію"
 MODIFIER_SOW_DISCONTENT:0 "Розпалити невдоволення"
 MODIFIER_INFILTRATE_ADMINITRATION:0 "Проникнути в адміністрацію"
 MODIFIER_RELATIONS_DECAY:0 "Спад стосунків"
 MODIFIER_RELATIONS_DECAY_OF_ME:0 "Покращення стосунків з часом"
 IDEA_GROUP_NEEDS:0 "Для цієї групи ідей необхідно '§Y$POW$§!' балів."
 CHACUL_NOT_OWNING_PROVINCE:0 "Ви не можете змінити культуру провінції, якою не володієте."
 CHACUL_NOT_CONTROLLING_PROVINCE:0 "Ви не можете змінити культуру провінції, яку не контролюєте."
 CHACUL_NOT_CORE:0 "Для зміни культури в провінції, вона повинна бути націоналізованою."
 CHACUL_ALREADY:0 "§Y$CULTURE$!§z§!§Yа§! культура вже основна для провінції $NAME$."
 CHACUL_NOT_RELIGION:0 "Провінція $NAME$ не сповідує §Y$RELIGION$§!, тому її культуру неможливо змінити. Спочатку відправте туди місіонера."
 HARSH_NOT_OWNING_PROVINCE:0 "Ви не можете придушити повстанців у провінції, якою не володієте."
 HARSH_NOT_CONTROL_PROVINCE:0 "Ви не можете придушити повстанців у провінції, яку не контролюєте."
 HARSH_NO_RR:0 "Немає повстанців для придушення."
 NOHTR_NO_POINTS:0 "Вам необхідно §Y$COST$§W£mil£ для придушення повстанців, у вас є §Y$VAL$§W."
 SORTIES_NOT_OWNING_PROVINCE:0 "Ви не можете здійснити вилазку в провінціях, якими не володієте."
 SORTIES_NOT_CONTROLLING_PROVINCE:0 "Ви не можете здійснити вилазку в провінціях, які не контролюєте."
 SORTIES_NOT_ENOUGH_GARRISON:0 "Ви не можете здійснити вилазку, якщо гарнізон фортеці складає менше $GARRISON$ людей."
 SORTIES_REFUSE:0 "Гарнізон відмовиться покинути фортецю, якщо сили ворога будуть переважати."
 SORTIES_NOT_SIEGE:0 "Ви не можете здійснити вилазку, якщо провінція не перебуває під облогою."
 CONFIRMSORTIESTEXT:0 "Бажаєте здійснити вилазку для захисту провінції §Y$PROV$§W?"
 CONFIRMSORTIES:0 "Здійснити вилазку!"
 NO_SORTIES_NO_POINTS:0 "Вам необхідно §Y$COST$§W£mil£ для здійснення вилазки, у вас є §Y$VAL$§W."
 HARSH_ALREADY:0 "У цій провінції недавно придушили повстанців і найближчим часом цього не варто повторювати."
 aristocracy_ideas:0 "Дворянські ідеї"
 aristocracy_ideas_bonus:0 "Справжня аристократія"
 noble_knights:0 "Шляхетні лицарі"
 noble_knights_desc:0 "Для кавалерії потрібна економічна система, яка би постачала багато коней. Якщо ми даруємо привілеї для наших феодалів, вони не тільки зрадіють, а й постачатимуть необхідних коней, намагаючись зберегти своє положення. Наш придворний блазень назвав це службою, що гарантує слуг."
 serfdom:0 "Кріпосне право"
 serfdom_desc:0 "Не кожен захоче бути простим солдатом в армії, особливо враховуючи погане харчування, низьке жалування і практично повну відсутність медичних послуг. Якби ми могли прив'язати селян до землі, ми б точно знали, де можна знайти рекрутів."
 noble_officers:0 "Офіцери із числа дворян"
 noble_officers_desc:0 "Важливим фактором є й те, хто очолюватиме наші війська. Наше дворянство сподівається, що цю перевагу буде надано саме їм. Це дозволить їм показати всю свою доблесть у ближньому бою з ворогом і ми надамо їм таку можливість."
 local_nobility:0 "Місцеве дворянство"
 local_nobility_desc:0 "Дворяни знають, що вони просто кращі за звичайних громадян, саме тому вони будуть віддані лише тим, хто на це заслуговує. Якщо ми підтвердимо їхні привілеї, вони звичайно ж запам'ятають нашу щедрість і будуть менш схильні до прийняття спокусливих пропозицій від інших країн."
 international_nobility:0 "Дворянство на міжнародній арені"
 international_nobility_desc:0 "Міжнародні відносини – справа доволі тонка. Деякі вважають, що для ведення справ з іноземцями найкраще годяться торговці. Ті, хто так вважають, ігнорують родинні відносини, які встановили наші дворяни за довгі роки взаємодії з іноземною елітою. Ці зв'язки могли би стати нам у нагоді у дипломатичній сфері."
 noble_resilience:0 "Шляхетні зв'язки"
 noble_resilience_desc:1 "Різні групи кінноти на цьому континенті часто часто очолюють дрібні дворяни. Заручившись знаттю, ми можемо скористатися їхнею мережею контактів, щоб знаходити все більше і більші групи кінноти."
 military_traditions:0 "Військові традиції"
 military_traditions_desc:0 "Військові ідеї постійно розбудовуються і ми забезпечуємо розвиток нашої військової справи на основі цих ідей. Ми просуваємо традиції військової служби серед нашого дворянства: бути шляхетною людиною значить бути тим, хто прославився на полі бою. Звичайно, хоробрість і все таке завжди корисно, але немає нічого краще, ніж перевага в класі над своїм ворогом."
 plutocracy_ideas:0 "Плутократичні ідеї"
 plutocracy_ideas_bonus:0 "Повна плутократія"
 tradition_of_payment:0 "Традиція оплати"
 tradition_of_payment_desc:0 "Завжди виникає спокуса забаритися кілька днів з оплатою найманцям, оскільки ніхто не знає, коли можуть трапитися випадкові витрати. Однак ми не займаємося подібною практикою і платимо нашим найманцям вчасно. Їхні капітани чудово про це знають."
 abolished_serfdom:0 "Скасування кріпосного права"
 abolished_serfdom_desc:0 "Ще із часів Прадавнього Рима відомо, що військо, яке складається з вільних громадян, завзятіше в бою ніж ті, хто змушені служити проти своєї волі. Ми повинні зробити своїх селян відносно вільними і вони боротимуться за свою волю."
 bill_of_rights:0 "Білль про права"
 bill_of_rights_desc:0 "Гарантуючи громадянам основні права, ми знижуємо ймовірність селянських повстань."
 free_merchants:0 "Вільні торговці"
 free_merchants_desc:0 "У більш консервативних та закостенілих суспільствах вважають, торговців нижчими за статусом, ніж землевласників. Але тільки не в нашій державі. Ми знаємо, що багатство означає владу, незважаючи на спосіб, в який його було здобуто."
 free_subjects:0 "Вільні суб'єкти"
 free_subjects_desc:0 "Покарання підданого – не найкращий спосіб змусити його працювати ефективніше. Згідно з думками одного натурфілософа, основною мотивацією для людей може служити ідея про одержання прибутку. Якщо ми замінимо ренту на щось подібне до оплати, у наших селян з'явиться стимул працювати більше."
 humanist_tolerance:0 "Гуманістична терпимість"
 humanist_tolerance_desc:0 "Завдяки нашим прагненням до терпимішого суспільства і спробам знайти більш раціональний шлях вирішення наших соціальних та релігійних проблем, ризик виникнення цивільних заворушень помітно знизився."
 emancipation:0 "Емансипація"
 emancipation_desc:0 "Довгий час ми обмежували право володіння землею лише тими, хто по нашим уявленням, заслуговує довіри. Якщо ми знімемо ці обмеження, то число землевласників зросте. Це у свою чергу створить основу для сезонної організації праці, й можливо, багатьох робітників зацікавить армійська служба."
 dynamic_court:0 "Динамічний двір"
 dynamic_court_desc:0 "Справді новаторський двір – це той, в якому будь-яка людина може досягти вершин успіху. Ми повинні зробити так, щоб старі традиції походження, або багатства не були перешкодою для талановитих людей, які прагнуть знайти своє щастя на службі у нашої державі."
 innovativeness_ideas:0 "Новаторські ідеї"
 innovativeness_ideas_bonus:0 "Попереду усієї планети"
 patron_of_art:0 "Заступництво мистецтвам"
 patron_of_art_desc:0 "Наш шлях до культурно освіченого суспільства починається тут. Наші твори мистецтва увійдуть в історію як найбільш відомі роботи своєї епохи."
 pragmatism:0 "Прагматизм"
 pragmatism_desc:0 "Занадто багато держав дозволяють уявленням про державу формувати свою політику. І це нерозумно. Якщо найманці краще відповідають нашим потребам, ми будемо використовувати їх, а не дорогу регулярну армію."
 scientific_revolution:0 "Наукова революція"
 scientific_revolution_desc:0 "Ми повинні додавати всі зусилля до підготовки ґрунту для соціальної й економічної революції, що ознаменує собою наукові відкриття й перехід від землеробського суспільства до індустріального."
 knowledge_transfer:0 "Передача знань"
 knowledge_transfer_desc:0 "Збереження отриманого досвіду – одне з найбільш важливих завдань для держави. Ми повинні переконатися в тому, що досвідчені військовослужбовці зможуть передати свої знання новобранцям."
 organised_recruiting:0 "Організований набір військ"
 organised_recruiting_desc:0 "У колишні часи командири самі підшукували людей у свої підрозділи й цей процес займав досить багато часу, оскільки лише деякі бажали зустріти смерть у нашій армії. Однак, застосувавши деякі методики, ми можемо ввести систему набору, за якої цей процес стане менш витратним за часом."
 optimism:0 "Оптимізм"
 optimism_desc:0 "Перемоги здобувають не тільки на полі бою, але й у штабі. Ми досить чітко аргументуємо свої підстави для війни, що дозволяє нашим людям відкинути всі сумніви й налаштуватись на перемогу."
 formalized_officer_corps:0 "Офіцерська служба"
 formalized_officer_corps_desc:0 "Звичайно офіцери призначалися із числа дворян, але в нашій державі лише деякі належать до цього класу, що у свою чергу призвело до нестачі офіцерів в армії. Однак багато хто у нашій армії мають чини нижче офіцерських. Ми повинні зробити деяких з них повноцінними офіцерами."
 religious_ideas:0 "Релігійні ідеї"
 religious_ideas_bonus:0 "Повністю релігійні"
 deus_vult:0 "Deus Vult – Цього хоче Бог"
 deus_vult_desc:0 "Приєднаєтеся до бойового кличу хрестоносців 'Цього хоче Бог' і розтрощіть невірних."
 missionary_schools:0 "Духовні семінарії"
 missionary_schools_desc:0 "Зараз відсутня нестача людей, готових поширювати дійсну віру, однак багато хто з них лише створюють ще більше проблем. Тому були організовані спеціальні школи для місіонерів, і тепер ми можемо бути впевнені, що наші місіонери досягнуть успіху у своїй справі."
 church_attendance_duty:0 "Обов'язкове відвідування церкви"
 church_attendance_duty_desc:0 "Після ухвалення рішення про обов'язкове відвідування церкви, зосередження уваги на релігійних віруваннях і цінностях безсумнівно зменшить витрати на підтримку правопорядку."
 divine_supremacy:0 "Верховенство церкви"
 divine_supremacy_desc:0 "Одним з найбільш важливих для нас питань є рятування нашої держави й прикордонних регіонів від невірних, що заполонили наші землі."
 devoutness:0 "Побожність"
 devoutness_desc:0 "Релігія є одним з найбільш важливих оплотів нашої влади. Покажіть народу набожні наміри правителя й ваші піддані спадкуватимуть цей приклад. У свою чергу ріст побожності серед народу допоможе зміцнити нашу владу."
 religious_tradition:0 "Релігійні традиції"
 religious_tradition_desc:0 "Сила нашої віри, а також суспільний прояв побожності й богослужіння викликають захват серед інших держав в усьому світі. Як результат, росте престиж і велич нашої держави."
 ecumenism:0 "Екуманізм"
 ecumenism_desc:0 "Ставлення до єретиків завжди було суперечним питанням у нашій державі. Хоча перевірений часом спосіб 'вогнем і мечем' може розв'язати всі проблеми, дипломатичні засоби також можуть виявитися корисними. Ініціювавши діалог між різними сектами, ми зможемо уникнути непорозуміння й забезпечити мир у наших землях."
 spy_ideas:0 "Шпигунські ідеї"
 spy_ideas_bonus:0 "Шпигунська мережа"
 privateers:0 "Капери"
 privateers_desc:0 "Ведення війни в першу чергу проти економіки ворога є одним з основних факторів перемоги. Ми підбурюємо буркотливих капітанів кораблів підривати економіку ворога."
 vetting:0 "Перевірки благонадійності"
 vetting_desc:0 "У нашій країні досить багато різних підприємств і іноді ми виявляємо керівників, яких запросто можуть підкупити ворожі держави. Кілька простих перевірок особистості допоможуть нам виявити найбільш схильних до корупції керівників."
 rumourmongering:0 "Поширення чуток"
 rumourmongering_desc:0 "Вороги вразливі на всіх фронтах. Слова часом можуть виявитися більш небезпечним знаряддям ніж десять тисяч солдатів. Для перемоги ми повинні бути готові використовувати всі доступні нам шпигунські засоби."
 efficient_spies:0 "Майстри шпигунства"
 efficient_spies_desc:0 "Багато селян готові продати навіть рідну матір, але знайти по-справжньому корисну людину досить важко. Однак згодом ми навчилися відокремлювати зерна від полови."
 shady_recruitment:0 "Таємні організації"
 shady_recruitment_desc:0 "Наші здібності знаходити й вербувати агентів серед простолюдинів змушують багатьох засумніватися в тому, що саме ми займаємося цим. І це не може не радувати."
 destabilising_efforts:0 "Дестабілізуючі зусилля"
 destabilising_efforts_desc:0 "Наші можливості в шпигунській справі дозволяють нам впливати на стабільність наших ворогів. У наших силах навіть перетворити їхніх кращих друзів у заклятих ворогів."
 espionage:0 "Шпигунство"
 espionage_desc:0 "Дозволяє нам тренувати ще більше шпигунів, що у свою чергу збільшує наші шанси виявити інформацію політичного або військового характеру про наших ворогів."
 diplomatic_ideas:0 "Дипломатичні ідеї"
 diplomatic_ideas_bonus:0 "Вправні дипломати"
 foreign_embassies:0 "Іноземні посольства"
 foreign_embassies_desc:0 "Дипломатія – досить тонке мистецтво, яке полягає в тому, щоб дві сторони були задоволені одним рішенням. Якщо ми організуємо посольства при інших державах, які постійно будуть звітувати перед нами, ми зможемо одержувати всю інформацію, необхідну для формування своїх вимог."
 claim_fabrication:0 "Придбання претензій"
 claim_fabrication_desc:0 "Одержати претензію досить-таки легко, набагато важче переконати когось, що ця претензія має вагомі підстави. Розширюючи свою дипломатичну мережу, ми можемо бути впевненими, що потрібні люди знають про те, що наші претензії є законними."
 cabinet:0 "Кабінет міністрів"
 cabinet_desc:0 "Після формування виконавчої ради ми зможемо зібрати в ньому найбільш вправних дипломатів."
 adaptability:0 "Пристосовність"
 adaptability_desc:0 "Ми ніколи не залишимо землі, які по праву належать нам і є нашою історичною спадщиною. Завдяки своїй пристосованості ми можемо назвати більше земель приналежними нам по праву. Навіть якщо станеться найгірше, ми завжди зможемо розпочати Реконкісту."
 revolution_and_counter:0 "Революція й контрреволюція"
 revolution_and_counter_desc:0 "Політика в наш час стає усе більш поляризованою та радикальною. Нам не залишається нічого іншого, крім оголошення війни державам, форма правління яких відрізняється від нашої. Прийнявши цю ідею, ми зможемо робити це без якихось штрафів."
 diplomatic_influence:0 "Дипломатичний вплив"
 diplomatic_influence_desc:0 "Сфокусувавши свою увагу на дипломатії ми зможемо підсилити свій вплив на міжнародній дипломатичній арені, а також знайти нових друзів."
 flexible_negotiation:0 "Гнучка система переговорів"
 flexible_negotiation_desc:0 "Ніколи не можна бути впевненим у тому, що відбудеться за столом переговорів, тому потрібно бути готовим до будь-якого розвитку подій."
 agent_training:0 "Підготовка агентів"
 agent_training_desc:0 "Ми плануємо багато таємних операцій, проте нам бракує виконавців. Розробка єдиного методу підготовки шпигунів допоможе отримати агентів, потрібних для небезпечних місій."
 additional_loyalist_recruitment:0 "Додаткове вербування лоялістів"
 additional_loyalist_recruitment_desc:0 "Це природно, що на землях наших суб'єктів проживають такі, що розуміють святість нашого права на владу. Винаймаючи і допомагаючи цим освіченим особам, ми зможемо зміцнити наше панування над залежними державами."
 audit_checks:0 "Аудиторські перевірки"
 audit_checks_desc:0 "Поки ми думаємо як нам краще інфільтруватися у інші держави, ми повинні пильно стежити за отруйними ідеями, що поширюються у наших володіннях. Створення груп, які будуть займатися аудитами, щоб переконатися, що наші міністри діють в інтересах держави, допоможе викоренити прогнилі елементи."
 offensive_ideas:0 "Наступальні ідеї"
 offensive_ideas_bonus:0 "Бліцкриг"
 grand_army:0 "Велика армія"
 grand_army_desc:0 "Дозволяє нам створювати самі величезні й могутні армії, які тільки бачив світ."
 glorious_arms:0 "Військова слава"
 glorious_arms_desc:0 "Лише сам вид нашої славної армії буде вселяти трепет нашим ворогам."
 bayonet_leaders:0 "Великі полководці"
 bayonet_leaders_desc:0 "Солдати слідують лише за тими, хто вміє добре командувати, тому ми повинні бути впевненими в професіоналізмі наших офіцерів на передовій."
 battlefield_commisions:0 "Підвищити солдат до офіцерів"
 battlefield_commisions_desc:0 "Дозволяє нам сконцентруватися на військовому розвитку й у такий спосіб підвищити наші військові традиції."
 improved_foraging:0 "Поліпшене постачання"
 improved_foraging_desc:0 "Раніше ми не були здатні ефективно боротися в землях, де було недостатньо продовольства. Однак зараз наші війська набагато краще забезпечуються продовольством, що дозволяє вести в бій ще більші війська."
 improved_manuever:0 "Маневрена війна"
 improved_manuever_new:0 "Розширені фланги"
 improved_manuever_desc:0 "Уміння командувати військом на полі бою є життєво необхідною навичкою для гарного командира. Знання того, де краще зосередити свої війська забезпечує нас певною перевагою."
 napoleonic_warfare:0 "Честь мундира"
 napoleonic_warfare_desc:0 "Традиційні армії покладалися на сувору дисципліну, щоб підтримати порядок у своїх рядах, однак, звертаючись до гордості солдатів, ми можемо досягти набагато вищого рівня підготовки."
 shock_tactics:0 "Тактика ніщивних ударів"
 shock_tactics_desc:0 "Бій — це не лише перевірка навичок і спорядження армій на полі бою. Це ще й перевірка психологічної міцності бійців. Ударна тактика ставить цю міцність під сумнів, оскільки більшість військ тікають, побачивши нашу піхоту та кавалерію, які вриваються в бій."
 melee_combat_training:0 "Рукопашний бій"
 melee_combat_training_desc:0 "Хоча мушкет все частіше замінює меч на полі бою, беззаперечно, що бій з часом призведе до фази ближнього бою, де солдати зіткнуться віч-на-віч, і щоб перемогти ворога наші солдати повинні добре знати мистецтво рукопашного бою."
 volley_fire:0 "Залповий вогонь"
 volley_fire_desc:0 "Залповий вогонь – це проста військова тактика, яка диктує одночасну стрільбу кожним солдатом, що перетворюється на шквал куль."
 fort_breaker:0 "Гроза фортець"
