l_ukrainian:
 embraced_absolutism:0 "Підтримані ідеї абсолютизму"
 dutch_republic.3.a:0 "Ми повинні переконатися у тому, що віруючі знають, хто їхні друзі, а хто - вороги."
 dutch_republic.3.b:0 "Дозвольте нам владнати ситуацію зменшивши нашу особисту пропаганду."
 dutch_republic.4.t:0 "Республіка та вільна торгівля"
 dutch_republic.4.d:0 "З такими правителями як [Root.Monarch.GetName], більшість аристократів не бачать необхідності у виборах. На їхню думку, вибори викличуть розбіжності у [Root.GetAdjective]ому суспільстві. З ними не згодні торговці. Вони вважають, що державницькі установи республіки, у тому числі й вільні вибори, дуже важливі для економічного росту держави [Root.GetName].\n\nАмбіційний та автократичний [Root.Monarch.GetTitle] може поставити під загрозу вільну торгівлю та вільності купців, якими вони насолоджуватися раніше. Якщо наш [Root.Monarch.GetTitle] правитиме довічно, то вони вимагають щоб [Root.Monarch.GetSheHe] довів відданість їхнім ідеалам."
 dutch_republic.4.a:0 "Їхні вимоги безпідставні. Вони належать республіці і повинні підкоритися."
 dutch_republic.4.b:0 "Ми можемо поступитися їм і провести реформи."
 dutch_republic.5.t:0 "Король у жовтогарячому"
 dutch_republic.5.d:0 "У республіці [Root.GetName] останнім часом посилилася підтримка Оранської династії. У результаті їх прихильники осміліли. У церкві про них говорять як про монархів, порівнюючи з біблійними царями. Наші люди не забули їхній внесок у здобуття незалежності нашої країни, та вихваляють їх як рятівників, що дуже вигідно для останніх. Проте, називати [Root.Monarch.GetHerHim] королем, навіть у проповіді, небезпечно послабленням наших республіканських засад."
 dutch_republic.5.a:0 "Невже люди не мають права знати, хто привів їх до волі?"
 dutch_republic.5.b:0 "З такою підтримкою вони можуть дозволити собі бути скромнішими."
 dutch_republic.6.t:0 "Дворяни поглядають у сторону інших династій"
 dutch_republic.6.d:0 "Останнім часом вплив Оранжистів знижується, хоч вони й утримують владу в державі [Root.GetName]. Дворяни, які прагнуть влади, підтримуючи правлячу династію, все більше схиляються до думки, що не дивлячись на спадок Оранської династії, Оранжисти все одно залежать від бюрократії та політичного середовища республіки.\n\nДеякі з них, з яких складається кістяк нашої армії, виступили з проханням до правителя змінити керування армією. Жодна із пропозицій не сприяє розвитку, але задоволення прохання заспокоїть стару гвардію."
 dutch_republic.6.a:0 "Якщо вони мають сумніви щодо нас, ми їх не тримаємо."
 dutch_republic.6.b:0 "Ми прикладемо всі зусилля, щоб заспокоїти їх."
 dutch_republic.7.t:0 "Справжня свобода"
 dutch_republic.7.d:0 "Незважаючи на монополію Оранської династії у кабінеті міністрів, у державі [Root.GetName] росте підтримка республіканських ідеалів. Штатисти вважають, що ми на шляху до створення повноцінної республіки, деякі навіть відкрито вимагають від Принця Оранського дозволити цю зміну. Незалежно від того, скільки правди в цих припущеннях, нещодавнє політичне маневрування допоможе нам втілити мрію про Голландську республіку."
 dutch_republic.7.a:0 "Можливо одного дня..."
 dutch_republic.8.t:0 "Жодних податків тиранам!"
 dutch_republic.8.d:0 "Оранжисти вже мали неабиякий вплив на [Root.GetAdjective]е суспільство, а останні події на політичній арені тільки зміцнили їхню силу у нашій удаваній республіці. Деякі з наших раніше вірнопідданих вважають, що пріоритети держави [Root.GetName] змінилися, і податки підуть на примхи дворянських родин, а згодом ми скотимося до локальних війн і тиранії. На знак протесту багато людей відмовляється платити податки на підтримку цьго уряду."
 dutch_republic.8.a:0 "Що вони знають про наші амбіції?"
 dutch_republic.9.t:0 "Така доля тиранів"
 dutch_republic.9.d:0 "[Root.Monarch.GetName] досяг практично абсолютної влади. Оранська династія забезпечила собі правління у державі [Root.GetName] на довгі роки вперед. Все вказує на те, що [Root.Monarch.GetTitle] не поступиться владою до кінця свого життя.\n\n$SPYMASTER$, один з [Root.Monarch.GetHerHis] найближчих радників, розділяє ці побоювання. Він несамовито відданий своїй країні. Настільки відданий, що готовий особисто покінчити з ворогами республіки. На зустрічі із зацікавленими людьми він дав зрозуміти, що [Root.Monarch.GetTitle] та владна верхівка Оранжистів являють собою більшу загрозу, і він може укоротити їхнє життя."
 dutch_republic.9.a:0 "Ми повинні діяти."
 dutch_republic.9.b:0 "$SPYMASTER$, ти щойно вчинив державну зраду."
 dutch_republic.9.b.tt:0 "Ви знаєте, що трапляється зі зрадниками держави?"
 dutch_republic.10.t:0 "Республіканські ідеї зраджено"
 dutch_republic.10.d:0 "Оранські князі користуються майже безмежною довірою. Вільні вибори пішли в минуле, хоча наша країна й називається республікою. Штатисти більше не єдині, хто ставить під сумнів республіканські установи держави [Root.GetName]. І всі ті шляхетні ідеали, які проповідує [Root.Monarch.GetTitle], і які лежать в основі нашого державного устрою, починають забуватися."
 dutch_republic.10.a:0 "Ми замінимо їх на наші власні ідеали."
 dutch_republic.11.t:0 "Запропонувати акт про єднання"
 dutch_republic.11.d:0 "Між нами та Голландською Республікою мир... на даний момент. Остаточні строки перемир'я вже погоджені, але залишилися деякі питання. Ми знаємо, що їхній нинішній правитель зацікавлений у послабленні Оранжистів - фракції дворян.\n\nЯкщо ми поставимо умову відсторонити наступного принца Оранського від влади, то ми покращимо відносини, і зможемо запобігти можливій війні."
 dutch_republic.11.a:0 "Це буде гарний спосіб почати все заново."
 dutch_republic.11.a.tt:0 "Запропонувати цю угоду країні [This.GetName]."
 dutch_republic.11.b:0 "У нас немає причин підтримувати поточну адміністрацію."
 dutch_republic.12.t:0 "Акт про єднання"
 dutch_republic.12.d:0 "Війна з державою [From.GetName] завершена і ми думали, що всі питання вирішені. Переговори затяглися через дрібні проблеми, але все змінилося на цьому тижні, коли [From.GetAdjective]і дипломати запропонували нове рішення. До нашого подиву, вигідне для республіки.\n\nЩоб політично ослабити Оранську династію, вони пропонують підписати угоду, що у майбутньому династія втратить титул [Root.Monarch.GetTitle]. Їхня справжня мета незрозуміла, але це зміцнить нашу владу, якщо діяти обережно."
 dutch_republic.12.a:0 "Ми вміємо бути розсудливими."
 dutch_republic.12.b:0 "Немислимо приймати такі вимоги ворогів!"
 dutch_republic.13.t:0 "Нерозривні узи"
 dutch_republic.13.d:0 "[Root.GetName] хоч і є республікою, але ми дотепер маємо багато впливу завдяки династичним вузам, які мають неабиякий вплив на наші відносини з іншими націями. Не дивлячись на це, чим частіше змінюються правителі, тим менш корисними стають такі вузи.\n\nНації, які були задоволені адміністрацією Штатистів, тепер турбуються про перспективу своїх зв'язків. Вони прагнуть, щоб впливові родини, включаючи Оранську династію, зберегли свій авторитет."
 dutch_republic.13.a:0 "Вони відстали від часу, на відміну від нас."
 dutch_republic.13.b:0 "Поступитися частиною влади, для забезпечення міцних зв'язків між націями."
 dutch_republic.14.t:0 "Оранські зв'язки в армії"
 dutch_republic.14.d:0 "Штатисти досягли успіхів у покращенні державних установ у країні [Root.GetName], але армія - єдина установа, яка продовжує чинити спротив цим змінам. Один з наших генералів походить із родини, пов'язаної з Оранською династією, він перешкоджає нашим намаганням очистити вищі військові чини від Оранських лоялістів.\n\nТепер він пішов ще далі і прагне просунути свого родича - теж Оранжиста - у радники до монарха [Root.Monarch.GetTitle]. Хоча парубок досить талановитий командуючий, ми не можемо сприяти посиленню впливу наших ворогів."
 dutch_republic.14.a:0 "Відправити їх туди, звідки вони вже не повернуться."
 dutch_republic.14.b:0 "Нехай він приходить до нас. Ми подивимося, що із цього вийде."
 dutch_republic.15.t:0 "Дворяни підтримують Оранську династію"
 dutch_republic.15.d:0 "Віра в спадкоємну владу сильна, як правило, у тих, хто сам її отримав у спадщину. Місцеві дворяни в державі [Root.GetName] не бачать цього зв'язку і стверджують, що бачать Оранську династію як основу національної єдності та стабільності.\n\nПравити тими, хто не вірить у те, що ми намагаємося побудувати - не легко. Іноді прямого конфлікту не уникнути. Іноді його можливо уникнути, але за певну ціну."
 dutch_republic.15.a:0 "Вони є суб'єктами Республіки, як і всі інші!"
 dutch_republic.15.b:0 "Ми готові заплатити ту ціну і поступитися частиною влади."
 dutch_republic.16.t:0 "Успіхи республіки"
 dutch_republic.16.d:0 "Влада Штатистів останнім часом зміцнилася, що можна сприйняти тільки як те, що республіка - це наше майбутнє. Успіхи країни [Root.GetName] - такі, як зростання економіки та ефективності адміністрації могли відбутися тільки в такій федерації, як наша.\n\nПоступившись частиною диктатури, на якій так наполягали королі старого гарту, ми досягли того, що було для них неможливо. Тепер прийшов час показати нашу впевненість у цих ідеях, поступившись деяким контролем на користь свободи."
 dutch_republic.16.a:0 "Це основа величі для країни!"
 dutch_republic.16.b:0 "Республіканізм - це ідея, гідна нашої присвяти."
 dutch_republic.17.t:0 "Країна без короля"
 dutch_republic.17.d:0 "Недавнє збільшення впливу Оранжистів викликало суперечки про ставлення до нас інших націй. Країна зі слабким монархом може виглядати легкою здобиччю, невартою поваги. Що це означає для нашої країни?\n\nОранжисти стверджують наступне - для успішного суперництва на міжнародній арені, [Root.Monarch.GetTitle] повинен показати свою здатність об'єднувати і правити. Марнославна демонстрація сили зазвичай розглядається, як непотрібна, але, можливо, це саме те, що зараз потрібно."
 dutch_republic.17.a:0 "Нехай тирани думають про на нас як їм заманеться."
 dutch_republic.17.b:0 "Давайте покажемо їм, що наш [Root.Monarch.GetTitle] не слабший за будь-якого іншого короля."
 dutch_republic.18.t:0 "Оранська дорога до слави"
 dutch_republic.18.d:0 "Перемога опозиції принесла несподівану користь нашій країні. Дворяни, які раніше не особливо цікавилися армією, тепер дивляться з надією на майбутнє, у якому принц Оранський приведе нашу націю до перемоги. Вони бачать яскраве й славне майбутнє [Root.GetAdjective]ої республіки. Незалежно від того, праві вони чи ні, такий жаданий лідер принесе тільки користь нашій армії."
 dutch_republic.18.a:0 "Направити прихильників Оранської династії в армію."
 dutch_republic.18.b:0 "Направити прихильників Оранської династії на флот."
 dutch_republic.19.t:0 "Генерали сумніваються в адміністрації"
 dutch_republic.19.d:0 "Республіканське правління - це зазвичай вміння знаходити компроміс, золоту середину. Але це не завжди так. У недавньому конфлікті Штатистів і Оранжистів виграла адміністрація, деякі дворяни побачили в цьому дурість і самовпевненість.\n\nБойовий дух нашої армії досить високий, але деякі генерали зневірилися в [Root.GetAdjective]их ідеалах. Через це в нашій армії може трапитися нестача лідерів."
 dutch_republic.19.a:0 "Вони побачать нашу мету так, як її бачимо ми."
 dutch_republic.20.t:0 "Переворот"
 dutch_republic.20.d:0 "$ARMY_ORGANISER$$COMMANDANT$$QUARTERMASTER$$GRAND_CAPTAIN$$RECRUITMASTER$ - людина дії. Саме тому він був найнятий адміністрацією й досі залишається головним військовим радником держави [Root.GetName], незважаючи на те, що він загальновідомий прихильник Оранжистів. Зараз його дії повернулися проти нас.\n\nЗапевняючи, що непорушність Штатистів губить республіку [Root.GetName], він зібрав супротивників Штатистів і готує переворот. Саме час вирішувати, як діяти."
 dutch_republic.20.a:0 "За Оранську династію!"
 dutch_republic.20.b:0 "За республіку!"
 dutch_republic.21.t:0 "Немає консенсусу"
 dutch_republic.21.d:0 "У деяких питаннях Генеральні штати знаходять компроміс, який потрібен для ефективності роботи республіки. Коли компромісу не може бути досягнуто - наша нація залишається без керування. Ми добилися щоб держава [Root.GetName] не керувалася залізною рукою. Однак, тепер це означає, що консенсусу може бути досягнуто шляхом політичного маневрування, а не під тиском влади. Іноді цього досягти взагалі не можливо."
 dutch_republic.21.a:0 "Республіка впала в анархію?"
 dutch_republic.22.t:0 "Генерал вимагає влади"
 dutch_republic.22.d:0 "Протягом століть, у воєнний час, більшість передавала владу обраній меншості. Усвідомлюючи це, ми не повинні йти на занадто великі поступки військовим, навіть зараз, коли наша нація готується до бою.\n\nГенерал, який дотепер відіграв велику роль у наших перемогах (в усякому разі, за його версією подій), ніяк не може дійти згоди з представниками республіки про подальший план дій. Його військові навички не підлягають сумніву, але Штатисти попереджають нас, що поступки його планам послаблять їхні політичні позиції в державі [Root.GetName]."
 dutch_republic.22.a:0 "Генеральні штати повинні зробити все для перемоги."
 dutch_republic.22.b:0 "Ми не зрадимо наші ідеали під загрозою терору!"
 dutch_republic.23.t:0 "Оранжисти згуртували дворян для війни"
 dutch_republic.23.d:0 "Війна! Але це не просто війна, ми воюємо з нашим заклятим ворогом. У такі часи провінції об'єднуються проти загального ворога й кожен дворянин прагне повести їх у бій. Хто впорається з цим краще за принца Оранського?\n\nЯкщо дозволити Оранській династії організувати шляхту та простий люд на війну, це зміцнить бойовий дух, але в той же час це посилить їхні позиції та згуртує дрібні доми навколо них. Штатисти не дурні і знають, що після війни Оранжисти так просто не віддадуть отриману владу."
 dutch_republic.23.a:0 "Оранська династія вже раніше приводила нашу націю до перемоги."
 dutch_republic.23.b:0 "Ми не можемо зрадити республіку заради цього."
 dutch_republic.24.t:0 "Штатисти вимагають повернути статус-кво"
 dutch_republic.24.d:0 "Війна закінчилася, чому значно посприяли зусилля Оранжистів, чиї дії дотепер користуються підтримкою населення і які зберігають більшу частину отриманих повноважень. Штатисти, які були готові піти на поступки династії під час війни, тепер вимагають повернення статусу-кво, іншими словами довоєнних порядків. На менше вони не згодні, тому що зосередження влади в руках полководця несе небезпеку представницьким установам, якими так пишається республіка."
 dutch_republic.24.a:0 "Все повинне встати на свої місця."
 dutch_republic.24.b:0 "Вони боролися на війні, дозволимо зберегти їм владу."
 dutch_republic.25.t:0 "Відновлення Республіки"
 dutch_republic.25.d:0 "[Root.GetName] віддала данину війні сповна. Люди боролися завзято, й хоча деякі можуть відчути гордість від шрамів, які наша республіка отримала після цього протистояння, багато хто не може забути жорстокої правди війни. Штатисти бачать у цьому можливість знайти підтримку серед тих, хто розділяє ці спогади, заявляючи, що справжня республіка не має ні потреби, ні бажання воювати. Це може зміцнити віру людей у майбутнє, але це майбутнє, швидше за все, належатиме Штатистам."
 dutch_republic.25.a:0 "Реалізуємо ці ідеї для громадян країни [Country]."
 dutch_republic.25.b:0 "Принц Оранський приведе нас до перемоги й в майбутньому."
 dutch_republic.26.t:0 "Зацікавленість у державі [Root.GetName]"
 dutch_republic.26.d:0 "Держава [Root.GetName] завжди була ключовим пунктом міжнародної торгівлі, але ключ до цього успіху завжди був предметом суперечок. Останнім часом економісти-теоретики стверджують, що республіканська форма правління була тому причиною. Вони стверджують, що якщо проводити правильну політику, процвітання може розповсюдитися по всій нашій державі [Root.Owner.GetName]."
 dutch_republic.26.a:0 "Розумний вихід."
 dutch_republic.26.b:0 "Їхні інтереси не обов'язково повинні збігатися з думкою інших [Root.Owner.GetAdjective]их жителів."
 dutch_republic.27.t:0 "Проблеми на наших кордонах"
 dutch_republic.27.d:0 "Деякі наші громадяни у порубіжних районах дивляться на іноземні держави з погордою або азартом завойовника. Інші зі страхом. Сусідство з націями, які можуть загрожувати нашому суверенітету, призвело до того, що деякі впливові місцеві лідери підтримали владу Штатистів у республіці, у надії уникнути приходу до влади амбіційного принца Оранського, який може вдатися до розширення [Root.GetAdjective]их кордонів, що призведе до непотрібного конфлікту з нашим сильнішим сусідом."
 dutch_republic.27.a:0 "Підтримуючи їх ми підтримуємо мирне майбутнє."
 dutch_republic.27.b:0 "Ми не станемо слухати цих боягузів!"
 dutch_republic.28.t:0 "Амбіції держави [Root.GetName]"
 dutch_republic.28.d:0 "Життя у прикордонній провінції, схоже, не є причиною для занепокоєння дворян держави [Root.GetName]. Вони навпаки вважають, що непокоїтися мають наші сусіди, тому що ми можемо вирішити, що їхні землі будуть краще процвітати під владою держави [Root.GetName], або в якості протекторату республіки. Схоже, що люди по той бік кордону передбачили це й почали побоюватися могутності держави [Root.Owner.GetName], особливо очолювану амбіційним принцом Оранським."
 dutch_republic.28.a:0 "В них буде привід боятися нас."
 dutch_republic.28.b:0 "Наша нація є сильною незалежно від того хто нею править."
 dutch_republic.29.t:0 "Плани країни  [Root.GetName]"
 dutch_republic.29.d:0 "Маючи спільні кордони з нацією, яку ми проголосили суперником, і яка є ворожою до всіх наших людей, ми змогли налаштувати проти неї громадян міста [Root.GetCapitalName].\n\nТому місцеві дворяни почали таємно планувати експансію на землі нашого суперника. Плани, що, як вони вважають, можуть бути втілені в життя, якщо в держави [Root.Owner.GetName] буде сильний лідер, для якого слава нації стоятиме на першому місці, а політичні ігри - на другому. Вони не дуже поважають республіканців, але вони вірять, що принц Оранський може задовольнити їхній амбіції."
 dutch_republic.29.a:0 "Просто, він може."
 dutch_republic.29.b:0 "Війна - це проблема Генеральних штатів, а не дворян."
 dutch_republic.30.t:0 "Дебати в місті [Root.GetCapitalName]"
 dutch_republic.30.d:0 "[Root.GetName] є однією з головних провінцій у нашій республіці і думка її представників дуже шанована в Генеральних штатах. Останні зміни в місті [Root.GetCapitalName] принесли успіх опозиції, що поставило питання - від якої з місцевих фракцій нам шукати підтримки. Майбутні дебати можуть переломити ситуацію, але опозиція не відступить без боротьби."
 dutch_republic.30.a:0 "Погодитися з Оранжистами."
 dutch_republic.30.b:0 "Погодиться зі Штатистами."
 strong_guild:0 "Сильна гільдія"
 desc_strong_guild:0 "Гільдія, що керує виробництвом основного товару провінції, посилилася після недавнього конфлікту."
 free_trade_of_goods:0 "Вільна торгівля"
 desc_free_trade_of_goods:0 "Гільдії дозволяють торгувати основним товаром цієї провінції по всій країні, без обмежень."
 allowed_imports:0 "Дозволений імпорт"
 influential_guild_members:0 "Впливові члени гільдії"
 desc_influential_guild_members:0 "Лідери місцевих гільдій стали досить сильними, щоб потіснити знать."
 influential_nobles:0 "Впливова знать"
 desc_influential_nobles:0 "Місцева знать зберігає свій вплив завдяки спадщині та традиціям."
 foreign_guild_infiltrated:0 "Проникнення в іноземну гільдію"
 desc_foreign_guild_infiltrated:0 "Члени нашої гільдії успішно проникли у гільдії своїх закордонних конкурентів."
 guilds_compromised:0 "Гільдії загрожують нашій безпеці"
 desc_guilds_compromised:0 "Міжнародне співробітництво між гільдіями ставить під загрозу наші державні таємниці."
 suspended_diplomat:0 "Відкликаний дипломат"
 desc_suspended_diplomat:0 "Дипломата, чия лояльність ретельно перевіряється, тимчасово відсторонено від служби."
 paranoid_recruitment:0 "Параноїдальний набір на службу"
 desc_paranoid_recruitment:0 "Вірні дворяни перевіряють на предмет змови всіх нових членів адміністрації."
 trade_with_neighbor:0 "Торгівля із сусідом"
 desc_trade_with_neighbor:0 "Ми дозволили торгові відносини із сусідньою державою."
 enemy_allowed_trade:0 "Ворог дозволив торгівлю"
 guilds_cooperating:0 "Співробітництво гільдій"
 desc_guilds_cooperating:0 "Завдяки єдності в політичних поглядах, гільдії навчилися ефективно співпрацювати."
 traders_look_abroad:0 "Торговці поглядають за кордон"
 desc_traders_look_abroad:0 "Зміцнивши свою владу в республіці, торговці звернули свій погляд на інші землі."
 aristocracy_united:0 "Єдність аристократії"
 desc_aristocracy_united:0 "Наша аристократія почала співпрацювати, у всякому разі тимчасово, щоб зберегти контроль над політикою."
 goods_crossing_borders:0 "Товари перетинають кордони"
 guilds_obstruct_trade:0 "Гільдія перешкоджає торгівлі"
 desc_guilds_obstruct_trade:0 "Гільдія перешкоджає нашій торгівлі місцевими товарами через політичні розбіжності."
 uncooperative_trader:0 "Торговець відмовляється співпрацювати"
 desc_uncooperative_trader:0 "Торговець відмовляється служити республіці через політичні розбіжності."
 attempted_assassination_of_heir:0 "Замах на вбивство спадкоємця"
 republic_factions.1.t:0 "Обмеження гільдій на товар [Root.GetTradeGoodsName]"
 republic_factions.1.d:0 "Торгівля товаром [Root.GetTradeGoodsName] у державі [Root.Owner.GetName] викликала конфлікт у державі [Root.GetName]. Торговці, які хочуть мати повну свободу торгівлі, вважають, що контролююча його виробництво гільдія стала занадто впливовою. На їхню думку такі картелі шкодять економіці.\n\nЗ іншого боку, лідери гільдії запевняють, що їхня організація робить виробництво товару [Root.GetTradeGoodsName] більш ефективним. На чию би сторону ми не стали, противники наших указів, швидше за все, постраждають, або навіть вдадуться до саботажу своєї роботи, щоби довести свою правоту."
 republic_factions.1.a:0 "Ми повинні працювати над прийняттям рішення, яке послабить цю картель."
 republic_factions.1.b:0 "Для забезпечення якості потрібна сильна гільдія."
 republic_factions.2.t:0 "Гільдії наполягають на меркантильних реформах"
 republic_factions.2.d:0 "Економічна теорія меркантилізму останнім часом стала популярною серед впливових членів гільдії. Вони зазвичай добре обізнані на цих питаннях... також, зовсім випадково, вони швидше за все, отримають вигоду від указів, які вони підтримують.\n\nАле іншим це навряд чи піде на користь. Могутні міжнародні торговці запевняють, що такі теорії заводять у глухий кут і вони докладуть усі зусилля, щоб не дати республіці прийняти їх. Це можна втілити в життя за допомогою гільдій, але для цього потрібні політичні зрушення."
 republic_factions.2.a:0 "Ми не можемо дозволити собі вивчати глухі кути."
 republic_factions.2.b:0 "Меркантилізм - це майбутнє, що би там не думали торговці."
 republic_factions.3.t:0 "Торговці закликають збільшити імпорт"
 republic_factions.3.d:0 "Вплив могутньої гільдії сприяв росту цін на товар [Root.GetTradeGoodsName] у країні [Root.Owner.GetName]. Дійшло до того, що торговці вважають, що буде дешевше імпортувати товари з-за кордону, ніж конкурувати з місцевими цінами. А деякі з них заявляють, що це досить складно через [Root.Owner.GetAdjective]е законодавство про імпорт. \n\nЗниження мита може дати нашим торговцям шанс укласти вигідну угоду із закордонними виробниками товару [Root.GetTradeGoodsName], однак гільдії, які категорично проти таких поступок, теж відіграють свою роль у цьому."
 republic_factions.3.a:0 "В першу чергу ми повинні піклуватися про торгівлю."
 republic_factions.3.b:0 "Ми не робитимемо жодних поступок, які можуть нашкодити нашим гільдіям."
 republic_factions.4.t:0 "Лідери гільдій оспорюють статус дворянства"
 republic_factions.4.d:0 "У державі [Root.GetName] наявність гільдій породила новий вид впливу і, відповідно, новий сорт впливових людей. Провідні фігури в гільдії нашого міста [Root.GetCapitalName] не тільки стають все багатшими за багатьох аристократів у провінції, вони також мають владу, хоча й відчувається недолік старих сімейних зв'язків, які довгий час визначали правителів міста.\n\nЦілком можливо, що такого роду зрушення неминучі, особливо враховуючи характер нашої республіки. Проте на даному етапі лише одна річ викликає сумніви – знать в країні [Root.GetName] проявляє ворожість до цих невихованих нуворишів та воліє виключити їх з місцевих політичних процесів."
 republic_factions.4.a:0 "Гроші є гроші, незалежно від їхнього віку."
 republic_factions.4.b:0 "Якщо блакитна кров задобрить нас, ми можемо притримати цих вискочок."
 republic_factions.5.t:0 "Таємні товариства в уряді"
 republic_factions.5.d:0 "Повний масштаб діяльності гільдії відомий лише її членам. Оскільки гільдії подекуди існують заради керування знаннями, це неминуче, однак подібні речі призводять до обвинувачень у змовах. Ви приділяли мало уваги цим фантазіям, вважаючи їх параноїдальними.\n\n\"Мій [Root.Monarch.GetTitle], наша республіка в небезпеці! Ми не можемо говорити тут.\"\nДворянин відтягує вас убік і розповідає про тих, хто може, або не може бути членом секретних гільдій в складі уряду держави [Root.GetName]. Він називає імена інших дворян, які також стурбовані цим всім. Їх так багато, що насправді він виглядає більшим змовником, ніж ті, кого він обвинувачує. Проте немає сумнівів у тому, що аристократи держави [Root.GetName] відчувають загрозу своєму існуванню, яку спричинили гільдії своїми таємними суспільствами."
 republic_factions.5.a:0 "Кого це взагалі хвилює? Може ці змови змусять політиків хоч раз знайти консенсус."
 republic_factions.5.a.tt:0 "Залишити ці підозри поки що без уваги."
 republic_factions.5.b:0 "Добре. Нехай це розслідують перевірені люди."

 republic_factions.6.t:0 "Гільдія понад усе"
 republic_factions.6.d:0 "Коли аристократи попередили нас про таємні товариства, які нібито проникли в [Root.GetAdjective]у політику, ми вирішили їх не слухати. Вони попереджали, що ми можемо поплатитися життям, якщо ця змова повернеться проти нас.\n\nНіякої драми не відбулося, однак один з наших близьких радників останнім часом ухвалює деякі досить сумнівні рішення, які, як він зрештою визнав, були послугами 'таємному' товариству, до якого він швидше за все належить. Інші політики вороже сприйняли такі дії, тому скандалу вже не уникнути."
 republic_factions.6.a:0 "Їх має бути покарано за зраду держави [Root.GetName]."
 republic_factions.6.b:0 "Спробуйте розрядити обстановку."
 republic_factions.7.t:0 "Міжнародні зв'язки гільдій"
