l_ukrainian:
 took_on_debt:0 "Взяв позику"
 opinion_electoral_state_accept:0 "Прийнято парламентом"
 opinion_electoral_state_decline:0 "Відхилено парламентом"
 opinion_electoral_state_removed_mend:0 "Спробуйте виправити ситуацію, викликану зміщенням парламенту"
 opinion_electoral_state_removed:0 "Парламент ліквідовано"
 opinion_religious_independence:0 "Проголосили релігійну незалежність"
 opinion_declined_legatus_natus:0 "Відхилено після народження"
 opinion_munificent_ally:0 "Щедрий союзник"
 opinion_reduced_war_expenditures:0 "Зниження військових витрат"
 opinion_supports_raids:0 "Підтримка набігів"
 opinion_allows_raids:0 "Дозволяє набіги"
 opinion_suppresses_raids:0 "Придушує набіги"
 opinion_declined_independent_state_support:0 "Вимога зробити Рим незалежною державою відхилена"
 opinion_pope_religious_tolerance:0 "Ваша релігійна терпимість розсердила Папу"
 opinion_accepted_primas_germaniae:0 "Прийнято титул германського Примасу"
 opinion_supported_primas_germaniae:0 "Підтримав нового германського Примаса"
 opinion_lost_primas_germaniae:0 "Не підтримав нового германського Примаса"
 opinion_improved_relations:0 "Покращення стосунків"
 opinion_eased_tension:0 "Спад напруженості"
 opinion_granted_privileges:0 "Надав привілеї дворянству"
 opinion_not_grant_privileges:0 "Не надав привілеї дворянству"
 opinion_diplomatic_solution:0 "Дипломатичне рішення"
 opinion_supports_dissidents:0 "Підтримує інакодумців"
 opinion_accepted_bribe:0 "Прийняв хабар"
 opinion_declined_bribe:0 "Не прийняв хабар"
 opinion_upset_pope:0 "Папа засмучений"
 opinion_gold_privateers:0 "Золоті капери"
 opinion_press_issue:0 "Спірні кордони"
 opinion_declined_emperor_province:0 "Вимога імператора звільнити імперську провінцію відхилена"
 opinion_protect_faith:0 "Впевненість в безпеці кордонів"
 opinion_disappointed_pope:0 "Папа розчарований"
 opinion_too_tolerate:0 "Толерантність до інших конфесій"
 opinion_drastic_changes:0 "Корінні зміни"
 opinion_sent_aid:0 "Відправлена допомога"
 opinion_forceful_conversion:0 "Насильне навернення"
 opinion_beheaded_nobles:0 "Обезголовлена Знать"
 opinion_reconcile:0 "Примиряти"
 opinion_ignorant_monarch:0 "Неосвічений монарх"
 opinion_supportive_monarch:0 "Підтримуваний монарх"
 opinion_union_in_name:0 "Не союз, а одна назва"
 opinion_backward_monarch:0 "Боязкий монарх"
 opinion_bad_monarch:0 "Бездарний правитель"
 opinion_one_and_same:0 "Одні і ті ж"
 opinion_restored_holy_see:0 "Відновлення Святого Престолу"
 opinion_demote_pope:0 "Передача королеві повноважень лідера в справах церкви"
 opinion_pope_realise_demotion:0 "Папа втратив свій релігійний авторитет"
 opinion_revoked_demotion:0 "До Папи знову повернувся релігійний авторитет"
 opinion_embraced_counter_reformation:0 "Становлення Контрреформації"
 opinion_green_standard:0 "Вербування невдоволених солдатів і офіцерів у військо Зеленого Прапора"
 opinion_abandoned_hre:0 "Крах Священної Римської Імперії"
 opinion_designated_staple_port:0 "Становлення Кале штапельним портом"
 opinion_denying_the_holy_mother:0 "Відкидання Богоматері"
 opinion_enforced_scandinavian_constitution:0 "Створення Скандинавської конституції"
 opinion_discarded_scandinavian_constitution:0 "Знищення Скандинавської конституції"
 opinion_pierre_daubusson:0 "Захопив султанського брата"
 opinion_common_enemy:0 "Спільний ворог"
 opinion_ignored_claim:0 "Ігнорує претензію"
 opinion_claim_slesvig_holstein:0 "Має претензії на Шлезвіг-Гольштейн"
 opinion_relinquished_claim:0 "Відмовилися від претензій"
 supported_rebels:0 "Підтримує повстанців"
 opinion_pol_religious_freedom:0 "Релігійна свобода в Польщі"
 opinion_pol_true_faith:0 "Польська істинна віра"
 opinion_polish_aggressions:0 "Польська агресія"
 opinion_accepted_jesuits:0 "Прийняття Єзуїтів"
 opinion_ideas:0 "Зацікавлені в наших ідеях"
 opinion_negotiated_rebels:0 "Переговори з повстанцями"
 opinion_suppressed_rebels:0 "Пригнічення повстанців"
 opinion_annex_part_of_empire:0 "Об'єднання Священної Римської Імперії"
 opinion_annex_vassal:0 "Приєднання васала"
 sankin_kotai:0 "Санкін котай"
 opinion_sword_hunt:0 "Полювання за мечами"
 opinion_unlawful_territory:0 "Незаконні території"
 secularized_monastic_order:0 "Секуляризував монастирський орден"
 secularized_bishopric:0 "Секуляризована єпархія"
 share_advanced_neighbor:0 "Розвиненіший сусід"
 razed_province:0 "Зруйнував наші провінції"
 pirated_us:0 "Піратствував проти нас"
 opinion_emperor_tus_refused:0 "Відмовився поступитися Імператору"
 opinion_papal_tus_refused:0 "Відмовився поступитися Імператору"
 opinion_emperor_tus_yielded:0 "Поступився Імператору"
 opinion_papal_tus_yielded:0 "Поступився Імператору"
 opinion_welcomed_fernandes:0 "Привітали Фернандеша"
 opinion_killed_fernandes:0 "Вбили Фернандеша"
 opinion_international_law:0 "Міжнародна репутація"
 stayed_out_of_crimean_succession:0 "Тримався подалі від кримського правонаступництва"
 refused_aid_in_crimean_succession:0 "Відмовився допомогти в боротьбі за кримське правонаступництво"
 support_in_crimean_succession:0 "Підтримав переможця в боротьбі за кримське правонаступництво"
 installed_ruler_crimean_succession:0 "Встановив правителя"
 opinion_approves_of_compliment:0 "Схвалює комплімент"
 opinion_grateful_for_invitation:0 "Вдячний за запрошення"
 opinion_went_on_grand_tour:0 "З'їздив у велику подорож"
 opinion_traders_in_x:0 "Дозволив торговців"
 opinion_refused_traders_in_x:0 "Заборонив торговців"
 opinion_expelled_traders:0 "Вигнав торговців"
 opinion_disapproves_of_threats:0 "Засудив погрози"
 opinion_approves_of_diplomacy:0 "Згоден з дипломатією"
 opinion_approves_of_submission:0 "Згоден з підкоренням"
 pawning_of_neumark:0 "Заставлений Ноймарк"
 bra_insecure_succession:0 "Ненадійне виборне правонаступництво"
 bra_unhampered_inheritance_privileges:0 "Традиційне успадкування"
 pru_edict_of_potsdam_opinion:0 "Потсдамський едикт"
 pru_france_huguenots:0 "Прийняті біженці-гугеноти"
 agricolas_reputation:0 "Репутація Агріколи"
 nor_strategic_marriage:0 "Стратегічний шлюб"
 nor_taxation_conflict_over_hebrides:0 "Напруженість через Гебридські острови"
 nor_gave_away_orkney:0 "Віддали Оркнейські острови"
 fra_gave_up_on_maine:0 "Покинули Мен"
 overlord_takes_stance_vs_hansa:0 "Ворожість стосовно Ганзи"
 hanseatic_kalmar_conflict:0 "Ганзейсько-Кальмарський унійний конфлікт"
 chi_did_not_seize_opportunity:0 "Не зазіхали на наші землі"
 siberian_intermezzo:0 "Сибірське інтермеццо"
 hun_refused_to_help_rebels:0 "Відмовилися допомагати богемським католикам"
 hun_crowned_by_rebels:0 "Прийнято корону від повстанців"
 sack_of_x:0 "Розграбували місто"
 hired_defectors:0 "Найняли перебіжчиків"
 refused_to_hire_defectors:0 "Не прийняли перебіжчиків"
 coffee_plant_spread:0 "Розповсюдження кави"
 opinion_ruler_of_our_culture:0 "Однакова культура правителя"
 opinion_ruler_of_our_religion:0 "Однакова релігія правителя"
 entertaining_heathens:0 "Чужовірні тенденції"
 opinion_lodi_released:0 "Звільнення лоді"
 opinion_rajput_connections:0 "Раджпутські зв'язки"
 opinion_rajput_claims:0 "Раджпутська ворожнеча"
 opinion_supported_war:0 "Підтримали нашу війну"
 opinion_supported_war_enemy:0 "Підтримали нашого ворога"
 tibetan_steppe_relations:0 "Тибетська дипломатія"
 sultan_impaled_opinion:0 "Посадив на палю нашего султана"
 impaled_the_sultan_opinion:0 "Посадив на палю султана"
 loyal_voidode:0 "Вірний воєвода"
 resisted_polish_interference:0 "Опір польському втручанню"
 supported_prussian_confederation:0 "Підтримка Пруської конфедерації"
 allowed_kalmyk_settlement:0 "Дозволив переселення калмиків"
 opinion_aragon_protector:0 "Іберійський захисник"
 anglo_portuguese_alliance:0 "Англо-португальський альянс"
 opinion_defected_privateer:0 "Збіглий пірат"
 opinion_sublimis_deus:0 "Sublimis Deus"
