l_ukrainian:
 LOCAL_AUTONOMY_EFFECTS: "Місцева автономія в провінції $NAME$ дає наступні ефекти:\n$EFFECT$"
 AUTONOMY_ALREADY_DECED: "Рівень автономії було знижено, наступна зміна буде доступною $UNTIL|Y$."
 AUTONOMY_NOT_OWNED: "Не можна змінити рівень автономії в провінціях, якими ви не володієте."
 AUTONOMY_AT_WAR: "Не можна змінити рівень автономії під час війни."
 AUTONOMY_NOT_CONTROLLED: "Не можна змінити рівень автономії в провінціях, які ви не контролюєте."
 AUTONOMY_INC_NO_EFFECT: "Підвищення автономії не буде мати ефекту, оскільки максимальне значення становить §Y$MAX$%§!."
 AUTONOMY_DEC_NO_EFFECT: "Зниження автономії не буде мати ефекту, оскільки мінімальне значення становить §Y$MAX$%§!."
 INC_AUTONOMY_TEXT: "Збільшивши рівень автономії в провінції §Y$WHERE$§! на $AMOUNT$, ви отримаєте модифікатор '§Y$WHAT$§W' до §Y$DATE$§W, що буде мати наступні ефекти:\n$EFFECT$\n\n"
 DEC_AUTONOMY_TEXT: "Понизивши рівень автономії в провінції §Y$WHERE$§! на $AMOUNT$, ви отримаєте модифікатор '§Y$WHAT$§W' до §Y$DATE$§W, що буде мати наступні ефекти:\n$EFFECT$\n\n"
 ENABLE_HRE_LEAGUES: "Будуть сформовані §Yпротестанська§! і §Yкатолицька§! Ліги."
 DISABLE_HRE_LEAGUES: "§Yпротестанська§! і §Yкатолицька§! Ліги були розпущені."
 LOCK_HRE_RELIGION: "§Y$RELIGION$§! стає офіційною релігією Священної Римської Імперії."
 UNLOCK_HRE_RELIGION: "§Y$RELIGION$§! більше не є офіційною релігією Священної Римської Імперії."
 TREATY_HRE_RELIGION: "Священна Римська Імперія прийняла §YДоговір про релігійний мир§!."
 BREAK_TREATY_HRE_RELIGION: "Буде порушено §YДоговір про релігійний мир§! у Священній Римській Імперії."
 HRE_RELIGION_NOT_LOCKED: "У Священній Римській Імперії немає офіційної релігії."
 HRE_RELIGION_SET: "§Y$NEW$§! стане новою релігією Священної Римської Імперії."
 HRE_HERETIC_RELIGION_SET: "§Y$NEW$§! стане протиборчою релігією у Священній Римській Імперії."
 PEACEOFFER_HRE_RELIGIOUS_PEACE: "Ця угода встановить релігійний мир у Імперії."
 NO_OBJECTIVE: "Немає цілі"
 HRE_RELIGIOUS_WAR: "§YРелігійна війна!"
 HRE_RELIGIOUS_WAR_DESC: "Священна Римська Імперія перебуває в стані боротьби між католицькою та протестанскими конфесіями. У цей час прихильники різних конфесій можуть вступити в Лігу протестантів або католиків. Ліга, чия віра не є домінуючою в СРІ, може оголосити війну імператорові, щоб спробувати змінити офіційну віру Імперії."
 HRE_RELIGIOUS_PEACE: "§YРелігійний мир§!"
 HRE_RELIGIOUS_PEACE_DESC: "В Імперії оголосили вічний релігійний мир. Князі Імперії можуть вільно обирати конфесії, а імператор може сповідувати будь-яку віру."
 HRE_OFFICIAL_RELIGION: "Домінуюча релігія – §Y$RELIGION$§!"
 HRE_OFFICIAL_RELIGION_DESC: "§Y$RELIGION$§! домінує у Священній Римській Імперії. Тільки правителі, які сповідують §Y$RELIGION$§!, мають право стати імператором."
 HRE_PERMANENT_RELIGION: "Офіційна релігія – §Y$RELIGION$§!"
 HRE_PERMANENT_RELIGION_DESC: "§Y$RELIGION$§ – офіційна релігія Священної Римської Імперії. Тільки правителі, які сповідують §Y$RELIGION$§!, мають право стати імператором, принци-виборці (курфюрсти) також повинні сповідувати §Y$RELIGION$§. Імператор може примусити до релігійної унії князівства, що сповідують інші конфесії."
 HRE_LEAGUE_MEMBER: "Держава §Y$COUNTRY$§! – член §YЛіги за $RELIGION$§!."
 HRE_LEAGUE_LEADER: "Держава §Y$COUNTRY$§! – лідер §YЛіги за $RELIGION$§!."
 HRE_LEAGUES_ENABLED: "§YПротестанська§! і §Yкатолицька§! Ліги можуть бути сформовані."
 HRE_LEAGUES_DISABLED: "§YПротестанська§! і §Yкатолицька§! Ліги не можуть бути сформовані."
 HRE_RELIGION_LOCKED: "Священна Римська Імперія має офіційну незмінну релігію."
 HRE_RELIGION_UNLOCKED: "Священна Римська Імперія не має офіційної незмінної релігії."
 HRE_RELIGION_TREATY: "Священна Римська Імперія підписала угоду про вічний релігійний мир."
 HRE_LEAGUE: "§YЛіга за $RELIGION$§!"
 HRE_LEAGUE_DESC: "§GНатисніть, щоб вступити до Ліги за $RELIGION$.§!"
 HRE_LEAGUE_MEMBER_DESC: "§GНатисніть, щоб покинути Лігу за $RELIGION$.§!"
 HRE_LEAGUE_CANNOT_JOIN_DESC: "Неможливо вступити до §YЛіги за $RELIGION$§! через наступні причини:"
 HRE_LEAGUE_CANNOT_LEAVE_DESC: "Неможливо покинути §YЛігу за $RELIGION$§! через наступні причини:"
 HRE_RELIGION_NO_TREATY: "Священна Римська Імперія не підписала угоду про вічний релігійний мир."
 IS_HRE_RELIGION: "§Y$RELIGION$§! – домінуюча релігія у Священній Римській Імперії."
 IS_NOT_HRE_RELIGION: "§Y$RELIGION$§! – не домінуюча релігія у Священній Римській Імперії."
 IS_HRE_HERETIC_RELIGION: "§Y$RELIGION$§! – протиборча релігія у Священній Римській Імперії."
 IS_NOT_HERETIC_HRE_RELIGION: "§Y$RELIGION$§! – не протиборча релігія у Священній Римській Імперії."
 FRONTEND_COUNTRY_DISCLAIMER: "§GЦе наближення. Значення у грі може відрізнятися від зазначеного вище, завдяки впливу будівель, модифікаторів та інших факторів.§!"
 FRONTEND_COUNTRY_PROVINCES: "§YРозмір країни§!"
 FRONTEND_COUNTRY_PROVINCES_DESC: "Кількість провінцій держави §Y$COUNTRY$§!. Чим більше провінцій вона має, тем сильніший її потенційний рівень розвитку."
 FRONTEND_COUNTRY_ECONOMY: "§YРівень розвитку§!"
 FRONTEND_COUNTRY_ECONOMY_DESC: "Загальний рівень розвитку держави §Y$COUNTRY$§!. Чим вище розвиток, тим краща економіка та більше доступних рекрутів."
 FRONTEND_COUNTRY_FORTS: "§YУкріпленість§!"
 FRONTEND_COUNTRY_FORTS_DESC: "Показує загальний рівень всіх фортів держави §Y$COUNTRY$§!. Чим вища укріпленість, тим важче захопити країну."
 WARSCORE_COST_VAL: "Військова вартість провінції: §Y$VALUE$%§!"
 WARSCORE_COST_DESC: "Вартість провінцій під час переговорів щодо укладення миру, може змінюватися залежно від мети війни."
 WARSCORE_COST_BASE: "Базова: $VALUE$\n"
 WARSCORE_COST_DEV: "Від рівня розвитку: $VALUE$\n"
 WARSCORE_COST_CAPITAL: "Столиця: $VALUE$\n"
 WARSCORE_COST_TAX: "Від рівня податків: $VALUE$\n"
 WARSCORE_COST_PROD: "Від виробництва: $VALUE$\n"
 WARSCORE_COST_MANPOWER: "Від рекрутів: $VALUE$\n"
 WARSCORE_COST_TRADE_POWER: "Від місцевої торгової сили: $VALUE$\n"
 WARSCORE_COST_BUILDINGS: "Від будівель: $VALUE$\n"
 WARSCORE_COST_FORT_LEVEL: "Від рівня укріплень: $VALUE$\n"
 WARSCORE_COST_AUTONOMY: "Від місцевої автономії: $VALUE$\n"
 WARSCORE_COST_COLONY: "Це колонія: $VALUE$\n"
 WARSCORE_COST_ENEMY_SIZE: "Розмір держави §Y$COUNTRY$§!: $VALUE$\n"
 WARSCORE_COST_ENEMY_COALITION_SIZE: "Розмір коаліції держави §Y$COUNTRY$§!: $VALUE$\n"
 WARSCORE_COST_MODIFIER: "Модифікатор вартості провінцій держави §Y$COUNTRY$§!: $VALUE$\n"
 WARSCORE_COST_ADM_EFF: "Адміністративна ефективність держави §Y$COUNTRY$§!: $VALUE$\n"
 WARSCORE_COST_MIN_COST: "Мінімальна ціна §Y$VALUE$%§!.\n"
 WARSCORE_COST_MAX_COST: "Максимальна ціна §Y$VALUE$%§!.\n"
 WARSCORE_COST_TOTAL: "Загальна вартість §Y$ADJ$их§! провінцій становить §Y$VALUE$%§!."
 ADDED_CARDINAL: "Провінція §Y$PROVINCE$§! буде резиденцією кардинала."
 REMOVED_CARDINAL: "Провінція §Y$PROVINCE$§! більше не буде резиденцією кардинала."
 ALLIED_OBJECTIVE_NO_WAR: "Не воює з державою $ENEMY$.\n"
 ALLIED_OBJECTIVE_DESC: "Ви можете вказати провінцію держави $ENEMY$ у якості мети своєму союзникові, для цього виберіть провінцію $PROVINCE$ для них ціллю і вони будуть намагатися її захопити."
 ALLIED_OBJECTIVE_SET_DESC: "Держава $ALLIED$ буде зосереджена на облозі цієї провінції."
 SUBJECT_FOCUS_NONE_DESC: "Держава $WHO$ буде діяти на свій розсуд."
 SUBJECT_FOCUS_AGGRESSIVE_DESC: "Держава $WHO$ буде налаштована на облогу провінцій, вони не будуть допомагати в битвах."
 SUBJECT_FOCUS_SUPPORTIVE_DESC: "Держава $WHO$ буде налаштована допомагати союзникам та уникати незалежних операцій."
 SUBJECT_MILITARY_FOCUS: "Дії васалів у війні"
 SET_FOCUS_FOR_ALL: "Визначити дії всіх васалів:"
 MIL_FOCUS_AGGRESSIVE: "Агресивно"
 MIL_FOCUS_NO_FOCUS: "Пасивно"
 MIL_FOCUS_SUPPORTIVE: "Підтримувати"
 TRIANGLE_TRADE: "Трикутна торгівля"
 prices.1.t: "Трикутна торгівля"
 prices.1.d: "Коли європейські країни почали колонізацію Північної та Південної Америки, вони створили великі плантації з виробництва бавовни, тютюну та цукру. Спочатку вони намагалися використовувати місцеве населення як рабів, але ті не витримували та швидко вмирали. Потім було вирішено завозити рабів з Африки, що поклало початок трикутній торгівлі. Європа продавала текстиль, ром та ремісничі товари в Африку, Африка продавала рабів до Нового Світу, а з Америки до Європи продавали бавовну, цукор і тютюн."
 prices.1.a: "Це збільшить попит на рабів."
 EUROPEANS_IN_CHINA: "Європейські купці в Китаї"
 prices.2.t: "Європейські купці в Китаї"
 prices.2.d: "Значна кількість європейських купців у Китаї викликала різкий зріст попиту на китайську порцеляну. Китайська порцеляна зараз користується шаленим попитом по всій Єврпі, китайці ж приймають оплату тільки золотом або сріблом."
 prices.2.a: "Це побільшить попит на порцеляну."
 JOHAN_FRIEDRICH_BOTTGER: "Виробництво порцеляни в Європі"
 prices.3.t: "Йоганн Фрідріх Беттгер"
 prices.3.d: "Йоганн Фрідріх Беттгер був німецьким алхіміком, який став першим європейцем, що зміг відтворити порцеляну. Він винайшов цю технологію у 1708 році, і вже у 1710 році був побудований перший завод з виробництва порцеляни в Мейсені."
 prices.3.a: "Це зменшить попит на порцеляну."
 PROTESTANT_DONT_EAT_FISH: "Протестанти не їдять рибу"
 prices.4.t: "Укорінення протестантизму"
 prices.4.d: "Поки протестантизм охоплює все більше та більше католицьких країн, кількість парафіян, що дотримують пост, стає меншою. Без 40 днів причащення, протягом яких католики змушені їсти рибу через заборону на м'ясо, попит на неї різко падає."
 prices.4.a: "Це зменшить попит на рибу."
 COFFEE_BOOM: "Кавовий бум"
 prices.5.t: "Кавовий бум"
 prices.5.d: "Протягом довгого часу плантації кави ретельно оберігалися арабами, які тримали монополію на виробництво цього продукту. Але в кінцевому підсумку європейським торговцям вдалося отримати дорогоцінну рослину та вивезти її у свої колонії, що зробило каву доступною для великої кількості європейців. У результаті відбувся кавовий бум і по всій Європі почали відкриватися кав'ярні."
 prices.5.a: "Це збільшить ціни на каву."
 COTTON_IMPORTS: "Імпорт бавовни в Європу"
 COTTON_IMPORTS_BANNED: "Заборона на імпорт бавовни"
 prices.6.t: "Імпорт бавовни"
 prices.6.d: "В епоху Відродження індійська бавовна ставала все більш популярною в Європі. Зрештою, [Root.GetAdjective]а вовняна промисловість виявилася під сильним тиском і зажадала заборони на імпорт бавовни."
 prices.6.a: "Ми не будемо обмежувати вільну торгівлю."
 prices.6.b: "Меркантилізм – це правильний шлях."
 TEA_AND_SUGAR: "Чай із цукром"
 prices.7.t: "Чай із цукром"
 prices.7.d: "Спочатку китайський напій, чай, швидко став новим [Root.GetAdjective]им національним напоєм після його ввозу в державу [Root.GetName]. Змішаний із цукром, він став напоєм не тільки багатіїв та бідних, але навіть [Root.Monarch.GetTitle] [Root.Monarch.GetName] не проти пригубити чашку – другу."
 prices.7.a: "Це збільшить попит на чай та цукор."
 SPICE_TRADE: "Торгівля спеціями"
 prices.8.t: "Торгівля спеціями"
 prices.8.d: "Створення Ост-Індської Торговельної Компанії заново відкрило прадавній ринок спецій. Зі створенням нових торговельних шляхів, контроль за потоком спецій, таких як перець або кориця, став важливішим, ніж будь-коли."
 prices.8.a: "Це збільшить ціни на спеції."
 ABOLITIONISM: "Аболіціонізм"
 prices.9.t: "Аболіціонізм"
 prices.9.d: "Після заборони рабства в державі [Root.GetName], аналогічна заборона в інших країнах є лише питанням часу. Очевидно трансатлантична работоргівля віджила своє."
 prices.9.a: "Це зменшить попит на рабів."
 HUAYNAPUTINA: "Виверження Хуайнапутіна"
 prices.10.t: "Виверження Хуайнапутіна"
 prices.10.d: "У лютому 1600 року перуанський вулкан, відомий як Хуайнапутіна, вибухнув гігантським вибухом. Наслідки виверження відчувалися по всьому світу, коли голод загубив мільйони життів, а торгівля зерном і вином обвалилася через недолік сонячного світла."
 prices.10.a: "Торгівля зерном та вином якийсь час буде невигідною."
 THEY: "(Ваші васали)"
 PRICE_IMPACT: "$NAME$: $VAL$\n"
 PRICE_CHANGED_EFF: "Ціна $TYPE|Y$ змінилася на $EFFECT$ до $DATE|Y$.\n"
 CALC_TRUE_IF: "Якщо, принаймні $VAL|Y$"
 INCOME_IN_TRADE: "Ми заробляємо тут §Y$VAL$§!¤."
 TRANSFER_IN_TRADE: "Ми передаємо §Y$VAL$§!¤ у вузол $WHERE$."
 INCOME_IN_TRADE2: "Збирає §Y$VAL$§!¤"
 TRANSFER_IN_TRADE2: "§Y$VAL$§!¤ до $WHERE$"
 RIVER_CROSSING: "Буде перейдено ріку"
 STRAIT_CROSSING: "Буде перейдено протоку"
 ALLOW_FOREIGN_ARMIES_TITLE: "Дозволити армії союзників використовувати ваші транспортники."
 ALLOW_FOREIGN_ARMIES_DESC: ""
 STOP_ALLOW_FOREIGN_ARMIES_TITLE: "Заборонити арміям союзників завантажуватись на цей флот."
 CARDINAL_NAME: "Кардинал провінції $LOC|Y$"
 katsina: "Кацина"
 english_channel: "Ла-Манш"
 champagne: "Шампань"
 saxony: "Саксонія"
 rheinland: "Рейнланд"
 ethiopia: "Ефіопія"
 patagonia: "Патагонія"
 ohio: "Огайо"
 amazonas_node: "Амазонія"
 rio_grande: "Ріо-Гранде"
 the_moluccas: "Молуккські острови"
 lima: "Ліма"
 cuiaba: "Куяба"
 DNZ_ideas: "Данцизькі ідеї"
 DNZ_ideas_start: "Данцизькі традиції"
 DNZ_ideas_bonus: "Данцизькі амбіції"
 danzig_law: "Закон Данцига"
 danzig_law_desc: "Із встановленням Закону Данцига ми отримали багато важливих привілеїв, пов'язаних з керуванням, економікою та зовнішньою політикою."
 vistula_river_trade: "Торгівля на Віслі"
 vistula_river_trade_desc: "Інвестиції Польщі та Тевтонського Ордену викликали збільшення об'ємів торгівлі пшеницею, деревиною та іншими товарами. Це призвело до накопичення торгового досвіду та загального процвітання."
 centralized_population: "Централізація населення"
 centralized_population_desc: "Велике населення та розвинена торгівля зробили нас привабливим як для ворогів, так і для союзників. Ми повинні використовувати це надалі, збільшуючи населення ще більше, щоб підкреслити наш незалежний статус."
 hanseatic_league_member: "Членство в Ганзейській Лізі"
 hanseatic_league_member_desc: "Ганзейські міста зобов'язані захищати один одного. Оскільки ми є одним з найважливіших членів союзу, ми отримуємо від цього істотні переваги."
 danziger_shipyard: "Данцизькі верфі"
 danziger_shipyard_desc: "Досвід, отриманий завдяки статусу одного з найбільших суднобудівників Ганзейської Ліги, допоміг нам підвищити ефективність військово-морського флоту, скоротивши при цьому витрати."
 continued_independence: "Тривала незалежність"
 continued_independence_desc: "Довгі роки різні держави зазіхали на нашу незалежність, але ми вистояли та зберегли незалежність. Це було б неможливим, якби не наша здатність пручатися вторгненням."
 lutheran_change: "Перехід у протестантизм"
 
 lutheran_change_desc: "Більша частина нашого населення сповідує протестантизм, і це означає, що наші люди почувають єдність сильніше, ніж раніше, а в нас з'явилася відмінна можливість підвищити податки."
 KRA_ideas: "Краківські ідеї"
 KRA_ideas_start: "Краківські традиції"
 KRA_ideas_bonus: "Краківські амбіції"
 kra_legendary_legacy: "Легендарна спадщина"
 kra_legendary_legacy_desc: "Легенда говорить, що наше місто засноване на вершині лігва дракона. Є в ній частка істини чи ні, значення має тільки те, що ми розділяємо хоробрість і мужність нашого легендарного засновника."
 kra_seat_of_gov: "Резиденція уряду"
 kra_seat_of_gov_desc: "Як ви знаєте, Краків був важливим державним центром. І хоча ми більше не входимо в Королівство Польське, ми як і раніше підтримуємо високу ефективність бюрократії та адміністрації."
 kra_city_rights: "Міське право"
 kra_city_rights_desc: "У зв'язку з відсутністю недореспубліканських традицій германських міст-держав, жителі Кракова повною мірою насолоджувалися перевагами над іноземними купцями."
 kra_cas_forts: "Казимирські укріплення"
 kra_cas_forts_desc: "Король Казимир звів у Кракову одні з найбільших стін у Європі, і вони не раз рятували нас від неминучої смерті. На жаль, історичні стіни не дожили до поточних часів, але ми не забули уроки, які тоді отримали."
 kra_jewish_community: "Єврейські співтовариства"
 kra_jewish_community_desc: "На відміну від наших сусідів, ми радісно вітаємо євреїв, що бігли на нашу територію від гонінь з усієї Європи – ми навіть дозволили їм займатися економікою та керуванням міст."
 kra_polish_athens: "Польські Афіни"
 kra_polish_athens_desc: "Краків завжди мав багату культурну спадщину. Наш внесок у культуру повторює дух прадавніх афінян."
 kra_free_city: "Вільне місто"
 kra_free_city_desc: "Насамперед, Краків є вільним і незалежним містом. Це єдиний спосіб захистити нашу свободу, і ми ніколи не зрадимо наших великих ідеалів."
 SIL_ideas: "Силезькі ідеї"
 SIL_ideas_start: "Силезькі традиції"
 SIL_ideas_bonus: "Силезькі амбіції"
 under_the_infuence: "Споконвічний тиск"
 under_the_infuence_desc: "Перебуваючи під постійним тиском з боку чехів, німців і ляхів, нам довелося освоїти премудрості дипломатії та зробити її нашою основною зброєю."
 silesian_duchies: "Силезькі князівства"
 silesian_duchies_desc: "З часів феодальної роздробленості Польщі, Сілезія була поділена між численними князівствами. Децентралізація значно полегшила керування цими областями."
 german_settlers: "Німецькі поселенці"
 german_settlers_desc: "Починаючи з XII століття ми спостерігаємо приплив німецьких поселенців. Багато їхніх законів та різні ремесла стали невід'ємною частиною Силезької держави, полегшивши подальший розвиток наших міст."
 raubritter: "Раубріттери"
 raubritter_desc: "Лицарі-Розбійники (Раубріттери) бродили вздовж торговельних шляхів і перешкоджали торгівлі, грабуючи купців і простий люд. Контроль над ними допоможе збільшити нашу торгову силу в регіоні."
 via_regia: "Царська дорога"
 via_regia_desc: "Царська дорога була важливим торговим шляхом, який перетинав Священну Римську імперію. Майже вся центральноєвропейська торгівля проходила через неї."
 hanseatic_ties: "Ганзейські узи"
 hanseatic_ties_desc: "Разом з Бреслау, що став членом Ганзейського союзу, ми збільшимо наш контроль над центральноєвропейською торгівлею."
 black_gold: "Чорне золото"
 black_gold_desc: "Сілезія багата природними ресурсами, зокрема вугіллям. Побудувавши шахти, ми можемо значно збільшити наші доходи."
 FEO_ideas: "Феодорські ідеї"
 FEO_ideas_start: "Феодорські традиції"
 FEO_ideas_bonus: "Феодорські амбіції"
 principate_guard: "Варта принципату"
 principate_guard_desc: "Влада невеликої, але багатої держави Феодоро, часто використовувала найманців у війнах з Генуезькою республікою. Під час облоги Феодоро три сотні молдавських солдат боролися проти язичників на стороні захисників."
 komnin_paleolog_gavras: "Комніни, Палеологи і Гавраси"
 komnin_paleolog_gavras_desc: "Марія Палеолог, принцеса Магнупу, була дружиною молдавського князя Стефана III. В 1426 році її родичка та донька Олексія I, Марія Готська, стала першою дружиною останнього імператора Трапезунда, Давида Мегаса Комніна. Відповідно одній легенді, принцеса Феодоро походила з вірменської династії Гаврас. Найвідомішим представником цієї династії був Феодор Гаврас, що згодом став Захисником Віри."
 aristocracy_in_moskovia: "Аристократія в Москві"
 aristocracy_in_moskovia_desc: "До кінця XIV століття купецьке сімейство Ховринів прибуло з Феодоро в Москву. Вони швидко стали однією із найбільш впливових і успішних дворянських родин столиці."
 avlita_port: "Порт Авліта"
 avlita_port_desc: "Заснована в 1425 році на ріці Чорній, Авліта була єдиним торговим портом Феодоро. Внаслідок цього постійно виникали суперечки з генуезькими колоніями на півдні з приводу доступу до берегів, а також торгівлі, яка проходила через кримські порти."
 mangup_kalamita: "Форти Мангуп і Каламіта"
 mangup_kalamita_desc: "Твердиня Каламіта була побудована для захисту торгового порту Авліта від атак генуезців. У комбінації з Кримськими горами, форт створював чудовий захист для Готських князів."
 turms: "Турми"
 turms_desc: "Територія Готії була розділена на 11 турм заради більш ефективного адміністративного та військового контролю."
 cave_monasteries: "Печерні монастирі"
 cave_monasteries_desc: "В епоху іконоборства багато православних ченців прибули у візантійський Крим і заснували печерні міста та монастирі. Одним з них був монастир святого Климента біля Каламіти."
 PSK_ideas: "Псковські ідеї"
 PSK_ideas_start: "Псковські традиції"
 PSK_ideas_bonus: "Псковські амбіції"
 veche_of_pskov: "Псковське віче"
 veche_of_pskov_desc: "Псковське віче, або Верховна рада, була чільною політичною силою в князівстві, якому в тому числі підкорялися не маючі реальної влади князі. Віче обирало посадників і сотників, які займалися внутрішніми справами, регулювало міжстанові відносини та вело зовнішню політику."
 legacy_of_daumantas: "Спадщина Довмонта"
 legacy_of_daumantas_desc: "Литовському графові Довмонту після багатьох боїв, у яких він командував армією Пскова, вдалося переконати псковичів обрати його своїм князем. Він прийняв православ'я, і під іменем Тимофій став легендарним героєм Пскова. Він зміг добитися повної незалежності від Новгорода, та успішно воював з литовцями та лівонськими лицарями, розгромивши їх у Раковорській битві."
 balt_mercenaries: "Балтійські найманці"
 balt_mercenaries_desc: "Псков, що перебував на західній окраїні російських земель, завжди підтримував контакти з балтійськими племенами. Хоч і трохи грубуваті, ці воїни завжди численні та рвуться в бій – за слушну ціну, зрозуміло."
 pskov_charter: "Псковська судна грамота"
 pskov_charter_desc: "Найстаріший російський звід законів був написаний у Пскові, та пізніше був включений у всеросійський варіант – Судебник."
 psk_knights_guard: "Лицарська дружина"
 psk_knights_guard_desc: "Створення нової князівської дружини, що полягає з найманих європейських лицарів, має пожвавити розвиток військового ремесла в князівстві."
 arts_and_crafts_of_pskov: "Мистецтва та ремесла Пскова"
 arts_and_crafts_of_pskov_desc: "Регіональний центр торгівлі, що зібрав безліч малих і не дуже мануфактур та ремісничих крамниць, Псков був одним з найбільших торгових центрів Русі, залучаючи безліч європейських купців."
 pskov_before_all_others: "Псков попереду всіх"
 pskov_before_all_others_desc: "З появою інших значних центрів Русі, ми повинні як ніколи раніше боротися за процвітання, велике майбутнє Пскова та панування на північних морських шляхах. Більше ніхто не затьмарить міць Пскова!"
 SMO_ideas: "Смоленські ідеї"
 SMO_ideas_start: "Смоленські традиції"
 SMO_ideas_bonus: "Смоленські амбіції"
 smolenskian_resolve: "Непохитна рішучість"
 smolenskian_resolve_desc: "Протягом десятиліть Смоленськ переживав лихоліття та переходив з рук одних завойовників у руки інших, що розглядали його не більш ніж дрібничку. Якщо ми зможемо звільнитися, то повинні відкинути будь-які релігійні та інші відмінності. Смоленськ перш за все!"
 armories_of_smolensk: "Смоленські збройові"
 armories_of_smolensk_desc: "Завдяки тривалій тиранії Литви та Польщі ми отримали у своє розпорядження безліч зразків західної зброї, а також тактику наших гнобителів. Тепер Смоленськ є унікальним російським князівством, що сприйняв як західне, так і східне військове мистецтво."
 smo_western_mercenaries: "Зв'язки з Європою"
