l_ukrainian:
 THREE_FIRES_FEDERATION:0 "Конфедерація трьох вогнів"
 native_trading_with_foreigners_reform:0 "Торгівля з іноземцями"
 native_becomes_monarchy_reform:0 "Династична лінія"
 native_becomes_republic_reform:0 "Народовладдя"
 native_becomes_theocracy_reform:0 "Держава віри"
 native_becomes_horde_reform:0 "Великі рівнини кличуть нас"
 tribe_organization:0 "Племінна структура"
 story_tradition:0 "Традиція оповідань"
 legal_basis:0 "Правова основа"
 national_identity:0 "Національна ідентичність"
 mechanic_enable_settled_mechanics_yes:1 "Можна підвищувати розвиток племінних земель"
 mechanic_enable_tribal_grazing_no:0 "Осілість більше не збільшує розруху"
 MIGRATORY_TRIBE_CULTURE_CONV:0 "§RМігруючі племена не можуть змінити культуру.§!"
 vassal_overlord_title:0 "Сюзерен"
 cb_native_american_tribal_feud_desc:0 "Ми можемо відбирати племінну землю в наших сусідів."
 MIGRATE_AT_WAR:0 "§RНе можна мігрувати в стані війни!§!"
 PEACEOFFER_MIGRATORY_NOT_TRIBAL_LAND:0 "§RНе є частиною племінної землі мігруючого племені, використовуйте 'Примусову міграцію' в мирному договорі!§!"
 ancestor_just_personality:0 "Справедливий"
 desc_ancestor_just_personality:0 ""
 ancestor_righteous_personality:0 "Праведний"
 desc_ancestor_righteous_personality:0 ""
 ancestor_tolerant_personality:0 "Толерантний"
 desc_ancestor_tolerant_personality:0 ""
 ancestor_kind_hearted_personality:0 "Добросердний"
 desc_ancestor_kind_hearted_personality:0 ""
 ancestor_free_thinker_personality:0 "Вільнодумець"
 desc_ancestor_free_thinker_personality:0 ""
 ancestor_well_connected_personality:0 "Зі зв'язками"
 desc_ancestor_well_connected_personality:0 ""
 ancestor_calm_personality:0 "Спокійний"
 desc_ancestor_calm_personality:0 ""
 ancestor_careful_personality:0 "Обережний"
 desc_ancestor_careful_personality:0 ""
 ancestor_secretive_personality:0 "Потайливий"
 desc_ancestor_secretive_personality:0 ""
 ancestor_intricate_web_weaver_personality:0 "Інтриган"
 desc_ancestor_intricate_web_weaver_personality:0 ""
 ancestor_benevolent_personality:0 "Доброзичливий"
 desc_ancestor_benevolent_personality:0 ""
 ancestor_zealot_personality:0 "Фанатик"
 desc_ancestor_zealot_personality:0 ""
 ancestor_pious_personality:0 "Побожний"
 desc_ancestor_pious_personality:0 ""
 ancestor_lawgiver_personality:0 "Законодавець"
 desc_ancestor_lawgiver_personality:0 ""
 ancestor_midas_touched_personality:0 "Благословенний Мидасом"
 desc_ancestor_midas_touched_personality:0 ""
 ancestor_incorruptible_personality:0 "Непідкупний"
 desc_ancestor_incorruptible_personality:0 ""
 ancestor_architectural_visionary_personality:0 "Архітектурний візіонер"
 desc_ancestor_architectural_visionary_personality:0 ""
 ancestor_scholar_personality:0 "Вчений"
 desc_ancestor_scholar_personality:0 ""
 ancestor_entrepreneur_personality:0 "Підприємець"
 desc_ancestor_entrepreneur_personality:0 ""
 ancestor_industrious_personality:0 "Працьовитий"
 desc_ancestor_industrious_personality:0 ""
 ancestor_expansionist_personality:0 "Експансіоніст"
 desc_ancestor_expansionist_personality:0 ""
 ancestor_charismatic_negotiator_personality:0 "Харизматичний перемовець"
 desc_ancestor_charismatic_negotiator_personality:0 ""
 ancestor_silver_tongue_personality:0 "Переконливий"
 desc_ancestor_silver_tongue_personality:0 ""
 ancestor_conqueror_personality:0 "Завойовник"
 desc_ancestor_conqueror_personality:0 ""
 ancestor_tactical_genius_personality:0 "Тактичний геній"
 desc_ancestor_tactical_genius_personality:0 ""
 ancestor_bold_fighter_personality:0 "Сміливий боєць"
 desc_ancestor_bold_fighter_personality:0 ""
 ancestor_strict_personality:0 "Строгий"
 desc_ancestor_strict_personality:0 ""
 ancestor_inspiring_leader_personality:0 "Надихаючий лідер"
 desc_ancestor_inspiring_leader_personality:0 ""
 ancestor_martial_educator_personality:0 "Військовий інструктор"
 desc_ancestor_martial_educator_personality:0 ""
 ancestor_navigator_personality:0 "Мореплавець"
 desc_ancestor_navigator_personality:0 ""
 ancestor_fierce_negotiator_personality:0 "Запеклий перемовець"
 desc_ancestor_fierce_negotiator_personality:0 ""
 ancestor_legendary_pirate_personality:0 "Легендарний пірат"
 desc_ancestor_legendary_pirate_personality:0 ""
 ancestor_humane_personality:0 "Гуманіст"
 desc_ancestor_humane_personality:0 ""
 ancestor_merchant_basileus_personality:0 "Басилевс торговців"
 desc_ancestor_merchant_basileus_personality:0 ""
 MIGRATION_BASE_COST:0 "Базова вартість: §Y50§!\n"
 MIGRATION_MULTIPLIER:0 "Поза племінними землями: §Yx§!$MULT|Y$\n"
 MIGRATION_MODIFIER:0 "Додатково модифікується:\n$MOD$"
 NATIVE_TRIBES_CANT_COLONISE:0 "§RТубільні племена не можуть колонізувати.§!"
 FEDERATION_ADVANCEMENT_NO_FEDERATION:0 "§RНе входить до складу федерації.§!"
 NOT_MIGRATORY_TRIBE_TRIGGER:0 "Немігруюче плем'я\n"
 MIGRATORY_TRIBE_TRIGGER:0 "Мігруюче плем'я\n"
 native_diplomatic_cermonies_reform:0 "Дипломатичні церемонії"
 native_hereditary_reform:0 "Спадкове правління"
 SETTLE_PROVINCE_NO_DEVELOPMENT:0 "§RНедостатньо племінного розвитку для заселення провінції.§!"
 BUILDING_SLOT_NATIVE_IN_NON_NATIVE:0 "Тубільці не можуть будувати на чужій землі"
 BUILDING_SLOT_NON_NATIVE_IN_NATIVE:0 "Не тубільці не можуть будувати на тубільній землі"
 native_remain_being_native_reform:0 "Племінна ідентичність"
