l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 LIBERTY_DESIRE_FROM_RELATIVE_POWER_ALL_SEA:0 "Співвідношення морської могутності держави $COUNTED$ та держави §Y$OVERLORD$§! (§Y$AMT$%§!): $VAL$"
 LIBERTY_DESIRE_FROM_RELATIVE_POWER_ECONOMY:0 "Співвідношення економічної потужності суб'єкта та держави §Y$OVERLORD$§! (§Y$AMT$%§!): $VAL$"
 LIBERTY_DESIRE_FROM_RELATIVE_POWER_ALL_ECONOMY:0 "Співвідношення економічної потужності держави $COUNTED$ та держави §Y$OVERLORD$§! (§Y$AMT$%§!): $VAL$"
 SIBERIAN_CONSTRUCTION:0 "будівництво сибірського фронтиру"
 COLONIST_CONSTRUCTION:0 "колонізація"
 SPECIFIC_BUILDING_CONSTRUCTION:1 "будівництво будівлі $BUILDING$"
 CANAL_TYPE_NAME:0 "канал"
 MONUMENT_TYPE_NAME:0 "пам'ятка"
 GREAT_PROJECT_UPGRADE_CONSTRUCTION_DESC:0 "Покращення $TYPE$ $NAME|Y$ буде завершено $DATE$"
 UPGRADE_GREAT_PROJECT:0 "Почнеться покращення $TYPE$ $NAME|Y$."
 hagia_sophia:0 "Ая-Софія"
 stonehenge:0 "Стоунхендж"
 tower_of_london:0 "Лондонський Тауер"
 buddha_statues:0 "Статуї Будди"
 parthenon:0 "Парфенон"
 GREAT_PROJECT_REPAIR_CONSTRUCTION_DESC:0 "Ремонт $TYPE$ $NAME|Y$ буде завершено $DATE$"
 BUILD_GREAT_PROJECT_IN_SUBJECT:0 "Розпочато будівництво $GREATPROJECTTYPE$"
 BUILD_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Вони будуватимуть $GREATPROJECT|Y$ в провінції $PROVINCE$."
 BUILD_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "побудувати $GREATPROJECTTYPE$ в нашій країні"
 UPGRADE_GREAT_PROJECT_IN_SUBJECT:0 "Розпочато покращення $GREATPROJECTTYPE$"
 UPGRADE_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Вони покращать $GREATPROJECT|Y$ в провінції $PROVINCE$."
 UPGRADE_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "покращити $GREATPROJECTTYPE$ в нашій країні"
 WARSCORE_COST_GREAT_PROJECTS:0 "З великих проектів: $VALUE$\n"
 ADD_CANAL:0 "Додає канал $NAME|Y$."
 REMOVE_CANAL:0 "Видаляє канал $NAME|Y$."
 CONFIRMGREATPROJECTTITLE:0 "Підтвердити $GREATPROJECT|Y$."
 CONFIRMGREATPROJECTTEXTLEDGER:0 "Ви впевнені, що хочете побудувати $GREATPROJECT|Y$ в провінції $PROVINCE$?"
 CANCEL_GREAT_PROJECT:0 "Скасувати будівництво $TYPE$."
 CANCEL_GREAT_PROJECT_IN_SUBJECT:0 "Будівництво $TYPE$ було скасовано"
 CANCEL_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "припинити будівництво $TYPE$ в нашій країні"
 CANCEL_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Будівництво споруди $BUILDING|Y$ в провінції $PROVINCE$ було зупинено."
 CANCEL_GREAT_PROJECT_PROGRESS:0 "Ви впевнені, що хочете скасувати будівництво будівлі $BUILDING$ в провінції $PROVINCE$? $PERCENTAGE_RETURNED|%1Y$ інвестицій буде повернуто."
 CONFIRMGREATPROJECTUPGRADETITLE:0 "Підтвердьте покращення."
 CONFIRMGREATPROJECTUPGRADETEXTLEDGER:0 "Ви впевнені, що хочете покращити $GREATPROJECT|Y$ в провінції $PROVINCE$?"
 CONFIRMGREATPROJECTUPGRADEDESC:0 "Це коштуватиме $COST|Y$¤ і матиме такі ефекти:\n$BENEFITS$"
 CANCEL_GREAT_PROJECT_UPGRADE:0 "Скасувати покращення."
 CANCEL_GREAT_PROJECT_UPGRADE_IN_SUBJECT:0 "Покращення $TYPE$ було скасовано"
 CANCEL_GREAT_PROJECT_UPGRADE_IN_SUBJECT_WHAT:0 "припинити покращення $TYPE$ в нашій країні"
 CANCEL_GREAT_PROJECT_UPGRADE_IN_SUBJECT_EFFECT:0 "Роботу над покращенням будівлі $BUILDING|Y$ в провінції $PROVINCE$ припинено."
 CANCEL_GREAT_PROJECT_UPGRADE_PROGRESS:0 "Ви впевнені що хочете скасувати покращення будівлі $BUILDING$ в провінції $PROVINCE$? $PERCENTAGE_RETURNED|%1Y$ інвестицій буде повернуто."
 SPEND_MANPOWER_TO_BOOST_PROGRESS:0 "Використати §Y$NUMBER$§W рекрутів для прискорення прогресу проєкту вперед на $DAYS|Y$ днів"
 SPEND_MONEY_TO_BOOST_PROGRESS:0 "Використати §Y$COST$§W¤ для прискорення прогресу проєкту вперед на $DAYS|Y$ днів"
 CANNOT_SPEND_MANPOWER_TO_BOOST_PROGRESS_NOT_ENOUGH_MANPOWER:0 "Вам не вистачає рекрутів, щоб прискорити прогрес проєкту."
 CANNOT_SPEND_MONEY_TO_BOOST_PROGRESS_NOT_ENOUGH_CASH:0 "Вам не вистачає грошей, щоб прискорити прогрес проєкту."
 CANNOT_UPGRADE_GREAT_PROJECT_ALREADY_AT_MAX:0 "$TYPE$ неможливо покращити, він вже настільки хороший, наскільки це можливо."
 CANNOT_BOOST_PROGRESS_NO_CONSTRUCTION:0 "Нема будівництва, прогрес якого можна було б прискорити."
 CONFIRMGREATPROJECT_BOOST_TITLE:0 "Підтвердити прискорення будівництва."
 CONFIRMGREATPROJECT_BOOST_MANPOWER_TEXT:0 "Ви впевнені, що хочете витратити $MANPOWER$ рекрутів для прискорення прогресу проєкту вперед на $DAYS$ днів?"
 CONFIRMGREATPROJECT_BOOST_MONEY_TEXT:0 "Ви впевнені, що хочете витратити $COST|Y$¤ для прискорення прогресу проєкту вперед на $DAYS$ днів?"
 BUILD_GREAT_PROJECT:0 "Починається будівництво $TYPE$ $NAME|Y$."
 TIER_0_DESCRIPTION:0 "Незначний"
 TIER_1_DESCRIPTION:0 "Примітний"
 TIER_2_DESCRIPTION:0 "Значний"
 TIER_3_DESCRIPTION:0 "Чудовий"
 MATCHING_TIER_DESCRIPTION:0 "Ваш $TYPE$ на цей час має рівень $TIERDESCRIPTION$. Це дає такі ефекти:"
 BETTER_TIER_DESCRIPTION:0 "Якщо ви покращите ваш $TYPE$ до рівня $TIERDESCRIPTION$, ви отримаєте такі ефекти:"
 WORSE_TIER_DESCRIPTION:1 "$TIERDESCRIPTION$: Ваш $TYPE$ вже перевершив цей рівень."
 DOESNT_EXIST_TIER_DESCRIPTION:0 "На рівні $TIERDESCRIPTION$ $TYPE$ даватиме такі ефекти:"
 ON_UPGRADED_EVENT_DESC:0 "§YПісля покращення§!:\n$EFFECT$\n"
 EXPENSEGREATPROJECTS:0 "Великі проекти"
 EXPENSEGREATPROJECTMAINTENANCE:0 "Утримання великих проектів"
 CANNOT_BOOST_PROGRESS_FINISHED:0 "Будівництво вже завершено."
 GREAT_PROJECT_DESCRIPTION:0 "$TYPE$: $NAME|Y$"
 CONFIRMGREATPROJECT_MOVE_TITLE:0 "Підтвердіть переміщення."
 CONFIRMGREATPROJECT_MOVE_TEXT:0 "Ви впевнені, що хочете перемістити $GREATPROJECT|Y$ до провінції $PROVINCE$?"
 MOVE_GREAT_PROJECT_IN_SUBJECT:0 "$GREATPROJECTTYPE$ - розпочато переміщення"
 MOVE_GREAT_PROJECT_IN_SUBJECT_EFFECT:0 "Вони перемістять $GREATPROJECT|Y$ до провінції $PROVINCE$."
 MOVE_GREAT_PROJECT_IN_SUBJECT_WHAT:0 "перемістити $GREATPROJECTTYPE$ до нашої країни"
 GREAT_PROJECT_MOVE_CONSTRUCTION_DESC:0 "Переміщення $TYPE$ $NAME|Y$ до провінції $PROVINCE$ буде завершено $DATE$"
 CANCEL_GREAT_PROJECT_MOVE:0 "Відмінити переміщення."
 CANCEL_GREAT_PROJECT_MOVE_IN_SUBJECT:0 "Переміщення $TYPE$ скасовано"
 CANCEL_GREAT_PROJECT_MOVE_IN_SUBJECT_WHAT:0 "припинити переміщення $TYPE$ до нашої країни"
 CANCEL_GREAT_PROJECT_MOVE_IN_SUBJECT_EFFECT:0 "Роботу по переміщенню $BUILDING|Y$ з провінції $PROVINCE$ припинено."
 MOVE_GREAT_PROJECT:1 "Починає переміщення $TYPE$ $NAME|Y$ до провінції $PROVINCE|Y$."
 CANCEL_GREAT_PROJECT_MOVE_PROGRESS:0 "Ви впевнені, що хочете зупинити переміщення будівлі $BUILDING$ з провінції $FROMPROVINCE$ до провінції $TOPROVINCE$? $PERCENTAGE_RETURNED|%1Y$ інвестицій буде повернуто."
 CANNOT_MOVE_GREAT_PROJECT_NO_PATH:0 "У вас немає доступного шляху з провінції $FROMPROVINCE|Y$ до провінції $TOPROVINCE|Y$."
 CANNOT_BUILD_GREAT_PROJECT_WRONG_LOCATION:0 "Тут не можна цього будувати."
 CAN_NOT_REDUCE_INFRASTRUCTURE_NOT_OWNED:0 "Нам необхідно заволодіти провінцією $WHERE|Y$, перш ніж ми зможемо погіршити в ній інфраструктуру."
 REDUCE_INFRASTRUCTURE_NOT_EXPANDED:0 "\n§RПерш ніж погіршити інфраструктуру провінції, її потрібно поліпшити.§!"
 REDUCE_INFRASTRUCTURE:0 "Погіршити інфраструктуру"
 REDUCE_INFRASTRUCTURE_DESC:0 "Погіршивши інфраструктуру в провінції $NAME|Y$ ми втратимо:\n$MODIFIERS$"
 REDUCE_INFRASTRUCTURE_TOOLTIP:0 "§YПогіршити інфраструктуру§!"
 REDUCE_INFRASTRUCTURE_TOOLTIP_MODIFIER:0 "Погіршення інфраструктури провінції видалить такі ефекти:\n$MODIFIER$\n"
 great_project_can_be_built_instant:0 "Можна побудувати великі проєкти"
 great_project_can_be_built_delayed:0 "Можна побудувати такі великі проєкти:\n$LIST$"
 enemy_invasion_imminent_instant:0 "Вторгнення ворога неминуче"
 enemy_invasion_imminent_delayed:0 "Наступні ворожі флоти можуть висадити війська в ваших провінціях:\n$LIST$"
 homepage_button_tooltip:0 "Перейти на домашню сторінку EUIV"
 forum_button_tooltip:0 "Перейти на форуми EUIV"
 facebook_button_tooltip:0 "Перейти на сторінку EUIV у Facebook"
 twitter_button_tooltip:0 "Перейти на сторінку EUIV у Twitter"
 MACRO_REQUIREMENT_NOT_FULFILLED_GREAT_PROJECT:0 "Ці переваги неможливо використати, оскільки необхідні для $TYPE$а $BUILDING$ вимоги в цій провінції не виконано."
 FORT_MAINTENANCE_LOCK_NONC:0 "Заборону консервації фортеці можна включити тільки на тих фортецях, які ви контролюєте, тому що тільки за них ви платите гроші."
 FORT_MAINTENANCE_LOCK_SIEGE:0 "Заборону консервації фортеці не можна переключити, коли провінція в облозі!"
 FORT_MAINTENANCE_LOCK_ON:0 "Фортеця в цій провінції ніколи не буде законсервована."
 FORT_MAINTENANCE_LOCK_OFF:0 "Фортецю в цій провінції можна законсервувати у цьому вікні або натиснувши кнопку 'Законсервувати фортеці' на вкладці Військової справи."
 FORT_MAINTENANCE_LOCK_ON_ACTION:0 "§GКлацніть, щоб дозволити законсервацію фортеці§!"
 FORT_MAINTENANCE_LOCK_OFF_ACTION:0 "§GКлацніть, щоб ніколи не законсервовувати фортецю§!"
 FREE_MERCHANT:0 "У вас є непризначений торговець."
 FREE_MERCHANTS:0 "Непризначені торговці: $NUMBER$."
 FORT_MAIN_LOCKED:0 "Ви не можете переключити режим фортеці, поки стоїть заборона перемикання консервації фортеці."
 CANNOT_DRAFT_WRONG_REFORMS:1 "Неможливо призвати транспортні кораблі без монархічної реформи 'Східна плутократія'."
 CANNOT_DRAFT_NO_AVAILABLE_UNITS:0 "Ви можете призвати загони лише до $PERCENTAGE$% від вашого ліміту ($MAXUNITS$ units). Зараз у вас $CURRENTUNITS$ кораблів."
 CANNOT_DRAFT_UNIT_TYPE:0 "Ви не можете набрати $TYPE$."
 mechanic_allow_draft_transport_ships_yes:0 "Можна дешево призвати транспортні кораблі."
 mechanic_allow_draft_transport_ships_no:0 "Не можна дешево призвати транспортні кораблі."
 DRAFT_TRANSPORT_SHIPS:0 "Призвати транспортні кораблі"
 MACRO_DRAFT_NAVY_TEMPLATE:0 "Призов кораблів"
 MACRO_DRAFT_SAVING_TOOLTIP:0 "Цей шаблон дозволить суттєво заощадити:"
 MACRO_DRAFT_COST_TOOLTIP:0 "Це коштуватиме $COSTDRAFTED|Y$¤ і заощадить $SAVINGPERCENTAGE$% від звичайної вартості в $COSTNORMAL|Y$¤."
 MACRO_DRAFT_MANPOWER_TOOLTIP:0 "Знадобиться $MANPOWERDRAFTED|Y$ моряків, що заощадить нам $SAVINGPERCENTAGE$% від звичайної вартості в $MANPOWERNORMAL|Y$ моряків."
 MODIFIER_MONTHLY_HEIR_CLAIM_INCREASE:0 "Щомісячне збільшення претензій спадкоємця"
 MODIFIER_MONTHLY_HEIR_CLAIM_INCREASE_MODIFIER:0 "Модифікатор щомісячного приросту претензій спадкоємця"
 EXTEND_REGENCY_EFFECT_DESC:0 "Регентство в державі $COUNTRY|Y$ буде продовжено на $VALUE$ років.\n"
 REGENCY_ENDING:0 "Регентство над спадкоємцем ($HEIR|Y$) завершується $DATE$."
 HAS_NOT_ESTATE_REGENCY:0 "НЕ регенство стану.\n"
 HAS_ESTATE_REGENCY:0 "Регенство стану.\n"
 CHANGE_ESTATE_REGENCY_TO_RULER_EFFECT_DESC:0 "Регентство в державі $COUNTRY|Y$ буде продовжено на $VALUE$ років.\n"
 ESTATE_REGENCY_FOR:0 "Регенство стану $ESTATE$ над спадкоємцем ($HEIR$, вік: §Y$AGE$§W)"
 ESTATE_INTERREGNUM:0 "Міжцарів'я стану $ESTATE$"
 ADD_GREAT_PROJECT_TIER:0 "Змінить розвиток $TYPE$ $NAME|Y$ на $TIERCHANGE$."
 MODIFIER_GREAT_PROJECT_UPGRADE_COST:0 "Вартість покращення великого проекту"
 MODIFIER_LOCAL_GREAT_PROJECT_UPGRADE_COST:0 "Місцева вартість покращення великого проекту"
 LEDGER_GREAT_PROJECTS:0 "Великі проекти"
 LEDGER_BUILT:0 "Побудовано"
 LEDGER_TIER:0 "Рівень"
 LEDGER_DESTROYED:0 "Зруйновано"
 NOTBUILT:0 "Не побудовано."
 concentrated_our_development:0 "Вкрали розвиток наших провінцій"
 CONFIRM_CONSOLIDATE_DEVELOPMENT_TITLE:1 "Концентрувати розвиток у наші землі"
 CONFIRM_CONSOLIDATE_DEVELOPMENT_TEXT:2 "Спрямувати розвиток з області $NAME$ на власні потреби. Ця область втратить $DEVELOPMENT|Y$ розвитку. Більшість втраченого розвитку потрапить до нашої столиці, щось буде втрачено. Загалом ми отримаємо $DEVGAINED|Y$ розвитку."
 CONFIRM_CONSOLIDATE_DEVELOPMENT_SUBJECT:0 "Це надасть такі ефекти для наших суб'єктів:"
 CONFIRM_CONSOLIDATE_DEVELOPMENT_SUBJECT_EFFECT:0 "  $SUBJECT|Y$:\n    Бажання свободи: $LIBERTYDESIRE|R$\n    Думка: $OPINION|R$"
 NO_CONSOLIDATION_POSSIBLE:1 "Звідси не можна концентрувати розвиток."
 CANT_CONSOLIDATE_DEVELOPMENT_COOLDOWN:1 "Ви не можете знову концентрувати розвиток з цієї області до $DATE$"
 crown_colony:0 "Коронна колонія"
 crown_colony_long_desc:0 "Коронна колонія має високий рівень прямого контролю з боку сюзерена. Вона приносить значні грошові надходження та рекрутів."
 crown_colony_title:0 "коронною колонією"
 crown_colony_title_plural:0 "Коронними колоніями"
 crown_colony_overlord:0 "Сюзерен коронної колонії"
 crown_colony_subject:0 "Суб'єкт коронної колонії"
 crown_colony_is_our:0 "§Y$NAME$§! - наша коронна колонія."
 private_enterprise:0 "Приватне підприємство"
 private_enterprise_long_desc:0 "Приватне підприємство зосередить свої зусилля на отриманні додаткового грошового прибутку від колонії та передачі його сюзерену."
 private_enterprise_title:0 "приватним підприємством"
 private_enterprise_title_plural:0 "приватними підприємствами"
 private_enterprise_overlord:0 "Сюзерен приватного підприємства"
 private_enterprise_subject:0 "Суб'єкт приватного підприємства"
 private_enterprise_is_our:0 "§Y$NAME$§! - наше приватне підприємство."
 self_governing_colony:0 "Самоврядна колонія"
 self_governing_colony_long_desc:0 "Самоврядна колонія зосередиться на розвитку та розширенні власних земель. Вони матимуть більше бажання свободи, ніж будь-який інший тип колонії, але зможуть розширюватися та розвиватися швидше."
 self_governing_colony_title:0 "самоврядною колонією"
 self_governing_colony_title_plural:0 "самоврядними колоніями"
 self_governing_colony_overlord:0 "Сюзерен самоврядної колонії"
 self_governing_colony_subject:0 "Суб'єкт самоврядної колонії"
 self_governing_colony_is_our:0 "§Y$NAME$§! - наша самоврядна колонія."
 COLONY_OVERLORD_EFFECTS_TOOLTIP:0 "Це надасть такі ефекти для нації-сюзерена:\n"
 COLONY_LAND_FORCE_LIMIT_BONUS:0 "Бонус до ліміту армії: $BONUS|G$§G%§W від колонії"
 COLONY_NAVAL_FORCE_LIMIT_BONUS:0 "Бонус до ліміту флоту: $BONUS|G$§G%§W від колонії"
 COLONY_MANPOWER_BONUS:0 "Бонус до рекрутів: $BONUS|G$§G%§W від колонії"
 COLONY_SAILORS_BONUS:0 "Бонус до моряків: $BONUS|G$§G%§W від колонії"
 COLONY_SUBJECT_EFFECTS_TOOLTIP:0 "І такі ефекти для колонії:"
 CHANGE_COLONIAL_TYPE:0 "Змінити тип колонії"
 CHANGE_COLONIAL_TYPE_EFFECT:0 "$SUBJECT$ стає $SUBJECTTYPE$."
 CHANGE_COLONIAL_TYPE_WHAT:0 "щоб змінити їх тип колонії."
 CHANGE_COLONIAL_TYPE_DESC:0 "Змінити тип колонії, який є зараз $SUBJECTTYPE$."
 MODIFIER_COLONIAL_TYPE_CHANGE_COST_MODIFIER:0 "Вартість зміни типу колонії"
 CANT_CHANGE_COLONIAL_TYPE_NOT_COLONY:0 "Суб'єкт не є колонією"
 CANT_CHANGE_COLONIAL_TYPE_COOLDOWN:0 "Ви не можете змінити колоніальні стосунки до $DATE$"
 CANT_CHANGE_COLONIAL_TYPE_ALREADY_IS:0 "Суб'єкт вже є $SUBJECTTYPE$"
 CANT_CHANGE_COLONIAL_TYPE_NOT_ENOUGH_CASH:0 "Ви не можете дозволити собі $COST$¤"
 MODIFIER_COLONIAL_SUBJECT_TYPE_UPGRADE_COST_MODIFIER:0 "Вартість покращення колонії"
 COLONY_UPGRADE_EFFECTS_TOOLTIP:0 "При застосуванні покращення:"
 UPGRADE_SUBJECT_TYPE:0 "Змінити стосунки з суб'єктом"
 UPGRADE_SUBJECT_TYPE_EFFECT:0 "Стосунки тепер включають:\n$SUBJECTTYPEUPGRADE$."
 UPGRADE_SUBJECT_TYPE_WHAT:0 "щоб змінити свої стосунки."
 UPGRADE_SUBJECT_TYPE_DESC:0 "Змінити стосунки з суб'єктом."
 CANT_UPGRADE_SUBJECT_TYPE_NOT_COLONY:0 "Суб'єкт не є колонією"
 CANT_UPGRADE_SUBJECT_TYPE_NO_UPGRADES_AVAILABLE:0 "Нема відповідних варіантів для зміни стосунків"
 CANT_UPGRADE_SUBJECT_TYPE_NOT_ENOUGH_CASH:0 "Ви не можете дозволити собі §Y$COST$§W¤"
 UPGRADE_SUBJECT_TYPE_SPECIFIC_DESC:0 "Додати покращення стосунків з суб'єктом $SUBJECTTYPEUPGRADE$.\nЦе коштуватиме §Y$COST$§W¤."
 increased_force_limit_from_colony:0 "Збільшений ліміт армії з колонії"
 CANT_CONSOLIDATE_DEVELOPMENT_NEED_DLC:0 "Потрібен DLC Левіафан"
 CONSOLIDATE_DEVELOPMENT_FROM_SUBJ:1 "Область $STATE$ буде розграбована державою $TAKER$, що змінить бажання свободи держави $GIVER$% на $LD|-$."
 CONSOLIDATE_DEVELOPMENT_FROM_OTHER_NATION:0 "Область $STATE$ буде розграбована державою $TAKER$."
 PEACE_PILLAGE_CAPITAL_STATE:0 "Держава @$TAKERFLAG$ розграбує столицю держави @$GIVERFLAG$"
 capital_state_pillaged_by_rival:0 "Держава $TARGET$ розграбувала нашу столицю"
 PEACE_PILLAGE_CAPITAL_STATE_DESC:0 "Держава $TAKER$ розграбує столичну область держави $GIVER$"
 PILLAGE_CAPITAL_CANNOT_DONT_OCCUPY:0 "Місто $CAPITAL|Y$ не окуповано державою $TAKER|Y$ або одним з її суб'єктів."
 PILLAGE_CAPITAL_CANNOT_NO_VALID_PROVINCES:0 "Захоплено всі провінції в столичному районі."
 NUM_OF_TIMES_PILLAGED_CAPITAL_STATE:1 "Число використання 'Розграбування столичної області' у мирному договорі"
 NUM_OF_TIMES_CONCENTRATED_DEVELOPMENT:0 "Число разів концентрації розвитку"
 COUNTRY_HAS_PILLAGED_CAPITAL_STATE_OF:0 "Держава $SCOPECOUNTRY|Y$ розграбувала столичну провінцію держави $OTHERCOUNTRY$.\n"
 COUNTRY_HAS_NOT_PILLAGED_CAPITAL_STATE_OF:0 "Держава $SCOPECOUNTRY|Y$ не розграбувала столичну провінцію держави $OTHERCOUNTRY$.\n"
 CANNOT_EXTEND_REGENCY_SUBJECT:0 "Неможливо подовжити регентство вашого сюзерена!"
 CANNOT_EXTEND_REGENCY_NOT_REGENT:1 "Зараз у вас не регентство!"
 CANNOT_EXTEND_REGENCY_NOT_MONARCHY:0 "Ви можете продовжити регентство спадкоємцю тільки при монархії!"
