l_ukrainian:
 shiva:0 "Культ Шиви"
 maya_rebels_name:0 "Фанатики ($RELIGION$)"
 maya_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 maya_rebels_army:0 "Армія навернення на $RELIGION$"
 maya_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 maya_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 nahuatl_rebels_title:0 "Релігійні фанатики"
 nahuatl_rebels_name:0 "Фанатики ($RELIGION$)"
 nahuatl_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 nahuatl_rebels_army:0 "Армія навернення на $RELIGION$"
 nahuatl_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 nahuatl_rebels_demand_desc:0 "Борці за релігію $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 tengri_pagan_reformed:0 "Тенгріанство"
 tengri_pagan_reformed_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 tengri_pagan_reformed_rebels_demand_desc:0 "Борці за релігію $RELIGION$ вимагають зробити її панівною релігією або, як мінімум, припинити переслідування за їхню віру."
 tengri_pagan_reformed_rebels_title:0 "Релігійні фанатики"
 tengri_pagan_reformed_rebels_name:0 "[Rebels.Religion.ReligionAdjective_CAP] фанатики"
 tengri_pagan_reformed_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 tengri_pagan_reformed_rebels_army:0 "[Root.Religion.ReligionAdjectiveJAKA_CAP] армія"
 zoroastrian_group:0 "Зороастризм"
 zoroastrian:0 "Зороастризм"
 zoroastrian_rebels_demand:0 "Навернути державу $COUNTRYNAME$"
 zoroastrian_rebels_demand_desc:0 "Релігійні борці віри $RELIGION$ вимагають зробити її панівною релігією або, щонайменше, припинити переслідування за їхню віру."
 zoroastrian_rebels_title:0 "Релігійні фанатики"
 zoroastrian_rebels_name:0 "[Rebels.Religion.ReligionAdjective_CAP] фанатики"
 zoroastrian_rebels_desc:0 "Релігійні фанатики прагнуть підняти повстання у провінціях, які належать країнам з іншою державною релігією. Вони намагаються розповсюдити свою релігію, позбувшись при цьому всіх невірних."
 zoroastrian_rebels_army:0 "[Root.Religion.ReligionAdjectiveJAKA_CAP] армія"
 jewish_flavor.1.t:0 "Песах"
 jewish_flavor.1.d:0 "Минуло вже багато часу, як Мойсей визволив наш народ від фараона, але ми повинні пам'ятати, як Господь покарав його. Дотримуючись Його наказу, ми покрили наші перемички та одвірки кров'ю ягняти, щоб Ангел смерті обійшов двері стороною і не вбив наших первістків. З того часу ми живемо вільними від кайданів фараона, але, як і раніше, повинні пам'ятати про це і дякувати за це Господу.\nЦе і є те, що ми святкуємо на Песах, один із трьох Шалош Регалім, і ми повинні святкувати, пам'ятаючи про це. Хоча зазвичай Шалош Регалім полягав у паломництві до Єрусалиму для принесення жертв у Храмі, але це стало неможливим після знищення Другого Храму. Тому ми повинні докласти всіх зусиль, щоб не забувати про це під час святкування. Жертовне ягня повинно бути принесене в жертву, а вся закваска викинута та спалена. Так наш народ ніколи про це не забуде."
 jewish_flavor.1.a:0 "Святкуймо"
 jewish_flavor.2.t:0 "Шавуот"
 jewish_flavor.2.d:0 "Покинувши землю фараона, наш народ сорок років блукав пустелею, поки не дістався землі обітованої. У той час, перебуваючи на горі Синай, Мойсей отримав Тору від Господа. Це те, що ми святкуємо на Шавуот, один із трьох Шалош Регалім. Хоча зазвичай Шалош Регалім полягав у паломництві до Єрусалиму для принесення жертв у Храмі, але це стало неможливим після знищення Другого Храму. Тому ми повинні докласти всіх зусиль, щоб не забувати про це під час святкування.\nШавуот також вшановує урожай пшениці після початку відліку Омера на Пасху. Таким чином, це символізує очікування і бажання отримати Тору, і ми повинні святкувати, пам'ятаючи про це. Ми повинні зосередитися на вивченні Тори, щоб стати нацією, відданою служінню Господу. Лише тоді Господь подбає про нас."
 jewish_flavor.2.a:0 "Святкуймо"
 jewish_flavor.3.t:0 "Суккот"
 jewish_flavor.3.d:0 "Покинувши землю фараона, наш народ сорок років блукав пустелею, поки не дістався землі обітованої. Увесь цей час нашим людям доводилося жити в крихких оселях, зведених посеред пустелі.\n Це те, про що ми пам'ятаємо, коли святкуємо Суккот, один із трьох Шалош Регалім. Хоча зазвичай Шалош Регалім полягав у паломництві до Єрусалиму для принесення жертв у Храмі, але це стало неможливим після знищення Другого Храму. Тому ми повинні докласти всіх зусиль, щоб не забувати про це під час святкування.\nБудуючи тимчасові оселі та живучи в них під час свята Суккот, ми поділяємо тяготи, яких довелося зазнати нашому народу в минулому, і ми пам'ятаємо про це. І, беручи участь у всіх цих спільних стражданнях, наш народ усвідомлює, що ми маємо більше спільного, ніж того, що розділяє нас."
 jewish_flavor.3.a:0 "Святкуймо"
 jewish_flavor.4.t:0 "Бар-міцва"
 jewish_flavor.4.desc:0 "Здається, що [Root.Heir.GetName], спадкоєм[Root.GetHEndKaEcj] наш[Root.GetMEndOjiOgo] [Root.Monarch.GetTitleOGO], тільки вчора народив[Root.Heir.GetHEndVSia], але вже прийшов час [Root.Heir.GetHerHim] повноліття. Згідно з юдейським законом, досі за [Root.Heir.GetHerHim] відповіда[Root.GetMEndVLa] [Root.Monarch.GetTitle] [Root.Monarch.GetName], але відтепер [Root.Heir.GetName] відповідатиме за свої вчинки самостійно.\nСеред юдеїв завжди існувала традиція, коли хлопчики досягають 13 років, а дівчатка 12, вони стають повноправними членами громади з усіма обов'язками, що звідси випливають. Вони вже можуть бути покликані читати Тору, очолювати молитовний кворум і брати участь у ньому, мають право одружуватися. Але вони також повинні знати юдейські закони та дотримуватись їх.\nОчікується, що ми влаштуємо вечірку з нагоди такої події. Це також буде чудова нагода представити [Root.Heir.GetHerHim] двору, а для сам[Root.Heir.GetHEndOjiOgo] спадкоєм[Root.Heir.GetHEndCiuYci] зміцнити свої зв'язки з ним, готуючись до того, коли [Root.Heir.GetName] зійде на престол і правитиме нашим народом."
 jewish_flavor.4.a:0 "Витратимося щедро"
 jewish_flavor.4.b:0 "Тільки не перестарайтесь"
 jewish_flavor.4.c:0 "Ми маємо бути поміркованими"
 jewish_flavor.4.d:0 "Немає потреби святкувати"
 lavish_bmv:0 "Розкішна Бар-міцва"
 desc_lavish_bmv:0 "[Root.Heir.GetName] мав пишну Бар-міцву."
 normal_bmv:0 "Звичайна Бар-міцва"
 desc_normal_bmv:0 "[Root.Heir.GetName] мав Бар-міцву."
 cheap_bmv:0 "Скромна Бар-міцва"
 desc_cheap_bmv:0 "[Root.Heir.GetName] провів скромну Бар-міцву."
 no_bmv:0 "Без Бар-міцви"
 desc_no_bmv:0 "[Root.Heir.GetName] не святкував Бар-міцву."
 shalosh_regalim_modifier:0 "Шалош Регалім"
 desc_shalosh_regalim_modifier:0 "Шалош Регалім є частиною наших найсвятіших свят, ми повинні ретельно підготувати все необхідне для їхнього святкування."
 passover_modifier:0 "Песах"
 desc_passover_modifier:0 "Після успішного Песаха наші люди можуть бути спокійні, знаючи, що Господь їх захистить."
 passover_tooltip:0 "Кожна провінція, яка займається §Yтваринництвом§!, отримає модифікатор §YШалош Регалім§! на §Y1 рік§!, що матиме такі ефекти:\nЕфективність виробництва в провінції: §G+10%§!."
 shavuot_modifier:0 "Шавуот"
 desc_shavuot_modifier:0 "Хоча наша країна не багата на зерно, наші успішні дипломатичні відносини з сусідами дозволили нам без проблем відсвяткувати Шавуот."
 shavuot_tooltip:0 "Кожна провінція, яка виробляє §Yзерно§!, отримає модифікатор §YШалош Регалім§! на §Y1 рік§!, що матиме такі ефекти:\nЕфективність виробництва в провінції: §G+10%§!."
 sukkot_modifier:0 "Суккот"
 desc_sukkot_modifier:0 "Розділивши труднощі під час святкування Суккот, наші люди більше усвідомлюють нашу спільну ідентичність."
 jewish_flavor.5.t:0 "Третій Храм"
 jewish_flavor.5.d:0 "Єрусалим знову належить нашому народу, і більшість його населення знову поклоняється Господу. Це гарна можливість здійснити мрію мільйонів юдеїв після того, як Другий Храм було зруйновано під час римської облоги Єрусалиму. Новий Храм буде навіть більшим, ніж попередній.\nОднак є проблема: Храмова гора, де були зведені наступні храми, тепер є домом для комплексу Аль-Акса, а отже, є священною для мусульман. Якщо ми побудуємо Храм у його початковому місці, нам доведеться зруйнувати комплекс Аль-Акса і викликати гнів мусульман. Але ми могли б повторно використати матеріали, що значно здешевило б наш проєкт. З іншого боку, якщо ми побудуємо його в іншому місці, то будуть незадоволені рабини, тому що ми вибрали несакральне місце і зреклися тисячолітньої віри.\nЩо нам робити?"
 jewish_flavor.5.a:0 "Мусульмани не могутніші за Господа. Ми збудуємо Його храм там, де йому належить."
 jewish_flavor.5.b:0 "Можливо, золота середина – краще. Не треба наживати ворогів на півсвіту."
 jewish_flavor.5.c:0 "Врешті-решт, це може бути не найкращий момент."
 third_temple_provincial_modifier:0 "Третій Храм"
 desc_third_temple_provincial_modifier:0 "Святий Храм височіє над Храмовою горою тричі Святому місті Єрусалимі."
 third_temple_country_modifier:0 "Побудовано Третій храм"
 desc_third_temple_country_modifier:0 "Наші молитви тричі на день були почуті, а Третій Храм тепер є реальністю в Єрусалимі. Юдеї всього світу радіють."
 third_temple_consequences_tooltip:0 "Думка §Yкожної мусульманської країни§! змінилася на §R-200§!, щорічно покращуючись на §Y2§!.\n§YКожна мусульманська країна§! отримує Casus Belli §YДипломатична образа§! на нас протягом §Y5 років§!.\nНаші §Yмусульманськ§! провінції повстануть."
 destroyed_al_aqsa_opinion:0 "Знищено комплекс Аль-Акса."
 build_the_third_temple_title:0 "Побудувати Третій Храм"
 build_the_third_temple_desc:0 "Протягом століть наш народ оплакував втрату Другого Храму та мріяв про його відновлення. Час прийшов. Ми знову побудуємо Третій Храм в Єрусалимі на славу Господню."
 jewish_flavor.6.t:0 "Повернутися до Господа"
 jewish_flavor.6.d:0 "Юдаїзм є релігією, що не прагне поширювати своє вчення, і, отже, до нашої маленької громади досить важко привнести нову кров. Крім того, згідно з нашою традицією, лише діти, народжені юдейками, є юдеями, що робить небезпечним для нашого народу дозволяти міжрелігійні шлюби, якщо наречена належить до нашої релігії.\nНа щастя, люди з [Root.GetTagOGO], які раніше сповідували інші авраамічні релігії, зрозуміли, що вони весь час вірили в Господа і повністю прийняли своє юдейство."
 jewish_flavor.6.a:0 "Їм усім раді, якщо їхня віра істинна."
 jewish_flavor.7.t:0 "Важлива справа суботнього дня"
 jewish_flavor.7.d:0 "Сьогодні субота, тому кожен юдей зобов'язаний відпочити та присвятити свій час молитвам. Однак постало питання першорядної важливості, і деякі радники вважають необхідним, щоб [Root.Monarch.GetName] зосередився на ній. Від однієї лише пропозиції у деяких рабинів брови полізли на лоба, а при дворі швидко пролунали слова осуду. Схоже, який би вибір ми не зробили, хтось розлютиться. Але що є меншим злом?"
 jewish_flavor.7.a:0 "Шабату має бути дотримано. Що б не трапилося, воно може зачекати."
 jewish_flavor.7.b:0 "Державою потрібно керувати в будь-який час. Розв'яжемо цю проблему якнайшвидше та повернемося до богослужіння."
 jewish_flavor.7.c:0 "Як побожний, [Root.Monarch.GetName] не буде робити нічого іншого, крім молитви. Опозицію буде придушено."
 jewish_flavor.7.e:0 "Релігія не така важлива, як проблеми управління. Це може й зачекати, доки [Root.Monarch.GetName] не знайде час."
 jewish_flavor.8.t:0 "Месія"
 jewish_flavor.8.d:0 "Наші люди прагнули повернутися на Святу Землю з моменту виникнення діаспори. Хоча наші люди все ще розкидані по всьому світові, повзуть чутки, що [Root.Monarch.GetName] може бути довгоочікуваним Месією. Чи поверне Бог наш народ на Святу Землю, чи ми візьмемо все у власні руки?"
 jewish_flavor.8.a:0 "Господь подбає про юдеїв. [Root.Monarch.GetName] не Месія."
 jewish_flavor.8.b:0 "Ми повернемо людей на Сіон, оскільки [Root.Monarch.GetName] – Месія."
 no_messiah_country_modifier:0 "Наш правитель не Месія"
 desc_no_messiah_country_modifier:0 "Наш правитель [Root.Monarch.GetName] не той Месія, який поверне нас на Святу Землю, але Бог все одно вкаже нам шлях."
 estate_not_built_temple:0 "Обіцянка майбутньої відбудови Храму"
