l_ukrainian:
 ASSIMILATED_CULTURE_HEADER:0 "$TITLE|Y$"
 mughal_government_eastern_aryan_assimilated_desc:0 "Шовк, бавовна, тканина – все це паливо для економіки Східної Індії. Їхня залежність від цих товарів зробила регіон центром інновацій для нових методів виробництва, які ми не вагаючись запозичимо."
 mughal_government_evenks_assimilated:0 "Маньчжурська кавалерійська тактика"
 mughal_government_evenks_assimilated_desc:0 "Сила знаменитої маньчжурської кінноти в її чудовій тактиці. Випереджаючи ворога, вона створює можливості для руйнівних флангових атак. Хоча наша власна кавалерія також знайома з цими методами, додавання маньчжурського досвіду до нашого власного дозволить зробити її по–справжньому грізною."
 mughal_government_french_assimilated:1 "Французька придворна культура"
 mughal_government_french_assimilated_desc:0 "Французька аристократична культура відома в усьому світі. Французькі дипломати і посли дбають про те, щоби про важливість їхньої нації було відомо на міжнародному рівні. Їх треба поставити на службу нашій державі."
 mughal_government_germanic_assimilated:0 "Німецький друк"
 mughal_government_germanic_assimilated_desc:0 "Винахід ручного набору революціонізував глобальне суспільство, а німецький народ знаходиться в центрі цього всього. Контроль преси допоможе нам поширити наші ідеї та інституції на далекі куточки нашої імперії."
 mughal_government_great_lakes_group_assimilated:0 "Застрільники Великих озер"
 mughal_government_great_lakes_group_assimilated_desc:0 "Племена Великих озер в Африці готують відмінних застрільників. Включивши їх до наших великих армій ми зможемо ефективніше грабувати багатства наших ворогів."
 mughal_government_hindusthani_assimilated:0 "Невпинне розширення"
 mughal_government_hindusthani_assimilated_desc:0 "Як і різні втілення Делійського султанату перед нами, ми викраємо велику Індійську імперію. Гіндустан – це тільки початок!"
 mughal_government_iberian_assimilated:0 "Іберійський колоніалізм"
 mughal_government_iberian_assimilated_desc:0 "Іберийські народи націлені на відкриття та завоювання невідомих земель, повторюючи наші власні експансіоністські амбіції. Як частина нашого народу, вони завоюватимуть і заселятимуться там, де ми накажемо."
 mughal_government_iranian_assimilated:0 "Західні радники"
 mughal_government_iranian_assimilated_desc:0 "Перськомовні вчені і торговці є одними з найкваліфікованіших міністрів, доступних нам. Об'єднавши багато перських центрів навчання, ми зможемо почати готувати таких радників у межах нашої власної держави."
 mughal_government_japanese_g_assimilated:0 "Японські самураї"
 mughal_government_japanese_g_assimilated_desc:0 "Японська самурайська воїнська каста стала легендою через глибоко вкорінені цінності абсолютної відданості й повної відмови від здачі в бою. Хоча якість їхніх лез значно поступається нашій металообробці, нашим воїнам не завадило би повчити самурайські цінності."
 mughal_government_korean_g_assimilated:0 "Корейські літератори"
 mughal_government_korean_g_assimilated_desc:0 "У корейській політиці значною мірою домінує конкуренція наукових ідей. Це створило грамотну культуру дебатів, яка, якщо ми запозичемо її, зробить нашу націю центром інтелектуальних інновацій."
 mughal_government_latin_assimilated:0 "Принц Ренесансу"
 mughal_government_latin_assimilated_desc:0 "Культура відродження, що охопила Італію, створила філософію, яка прагне до нових ідей та інституцій. Наша країна повинна відповідати їхньому прагненню йти в ногу з часом, коли ми їх інтегруємо."
 mughal_government_lost_cultures_group_assimilated:0 "Втрачене знання"
 mughal_government_lost_cultures_group_assimilated_desc:0 "У нас є піддані, походження яких заперечує всяку логіку. Однак вони принесли нам багато досвіду зі свого шляху ведення війн."
 mughal_government_turko_semitic_assimilated:0 "Левантська кавалерія"
 mughal_government_turko_semitic_assimilated_desc:0 "Арабський світ відомий своїми сильними бойовими кіньми. Посадиввши наших солдатів на цих могутніх звірів, ми зробимо нашу кінноту ще страшнішою на полі бою."
 mughal_government_maghrebi_assimilated:0 "Берберські пірати"
 mughal_government_maghrebi_assimilated_desc:0 "Магрибці населяють північне узбережжя Африки. Вони мають багаторічний досвід піратва на багатій торгівлі, яка введеться італійськими державами. Ми повинні включити їх до нашого флоту й зробити їх каперами."
 mughal_government_malay_assimilated:0 "Малайські князі-купці"
 mughal_government_malay_assimilated_desc:0 "Малайці мають великий досвід і давні традиції в комерції. Будь-який малайський правитель, який бажає бути успішним, повинен мати тверде розуміння торгової політики та впливу місцевих торговців. Ця безліч меркантилістських знань добре нам послужить."
 mughal_government_mande_assimilated:0 "Західні течії ісламу"
 mughal_government_mande_assimilated_desc:0 "Ми об'єднали народи манде під нашим прапором, наша імперія простягається від Африки до Азії. Під владою нашого світового султанату іслам нарешті об'єднається."
 mughal_government_mon_khmer_assimilated:0 "Будівники храмів Південно-Східної Азії"
 mughal_government_mon_khmer_assimilated_desc:0 "Колосальні храми домінують у ландшафті кхмерських та в'єтнамських земель. Зважаючи на власний інтерес до будівництва пам'ятників, ми, безперечно, знайдемо те, що можна запозичити, вивчаючи архітектурні прийоми цих культур."
 mughal_government_pacific_assimilated:0 "Тихоокеанські моряки"
 mughal_government_pacific_assimilated_desc:0 "Народи Тихого океану є природженими моряками, що подорожують на величезні відстані найбільшим з відомих морів. Ми повинні використовувати їх у ролі невід'ємної частини нашого флоту, щоб захистити наші береги."
 mughal_government_sahelian_assimilated:0 "Пустельні кочовики"
 mughal_government_sahelian_assimilated_desc:0 "Сахельські народи – кочовики Сахари: вони здатні подорожувати на величезні відстані місцевостю, яку звичайна людина не пройде."
 mughal_government_scandinavian_assimilated:0 "Північне суперництво та інноваційність"
 mughal_government_scandinavian_assimilated_desc:0 "Скандинавія має давні традиції війни, завдяки цьому ми маємо хороший запас досвідчених офіцерів, цінні знання яких ми можемо використати."
 mughal_government_south_slavic_assimilated:0 "Слов'янський бастіон"
 mughal_government_south_slavic_assimilated_desc:0 "Південні слов'яни виступали для решти Європи в ролі бастіону на шляху іноземних вторгнень. Підкоривши їх, ми довели безглуздість цього всього й незабаром Європа також підкориться нам."
 mughal_government_southern_african_assimilated:0 "Південноафриканське золото"
 mughal_government_southern_african_assimilated_desc:0 "Південна Африка рясніє золотом, тому місцеві жителі мають дуже ефективні методи підрахунку, щоби переконатися, що їхня інфляція не вийде з-під контролю."
 mughal_government_sudanese_assimilated:0 "Суданські торгові маршрути"
 mughal_government_sudanese_assimilated_desc:0 "Суданці вже давно проклали торгові шляхи по небезпечній землі, яку вони займають. Завдяки цьому їхня торгівля поєднує південні частини Африки та багатий Єгипет."
 mughal_government_tartar_assimilated:0 "Степові коні"
 mughal_government_tartar_assimilated_desc:0 "Понтійський степ є прекрасним пасовищем для коней, і татари використовують його з великим успіхом. Їхня здатність до ефективних моделей випасу й методів конярства допоможе нам зібрати багато табунів для наших кавалеристів."
 mughal_government_southeastasian_group_assimilated:0 "Тайська урбанізація"
 mughal_government_southeastasian_group_assimilated_desc:0 "За політичною моделлю 'мандала', яка є поширеною серед тайських народів, правитель та його місто розміщуються в центрі світу. Велика увага, яку вони надають важливості столиці, призводить до створення тайцями величезних міст, здатних вміщати мільйони жителів. Оскільки ми також керуємо кількома великими містами, тайська майстерність у містобудуванні представлятиме для нас великий інтерес."
 mughal_government_tibetan_group_assimilated:0 "Тибетський аскетизм"
 mughal_government_tibetan_group_assimilated_desc:0 "Ченці Тибету присвячують свої життя аскетичній медитації в монастирях – як доступних, так і віддалених. Було би добре, як би ми наслідували їхню відданість."
 mughal_government_finno_ugric_assimilated:0 "Фінська гордість"
 mughal_government_finno_ugric_assimilated_desc:0 "Фінно-угорські народи називають своїм домом крижану північ старого світу – землю, яку більшість людей вважають позбавленою життя."
 mughal_government_west_african_assimilated:0 "Західноафриканський правлячий клас"
 mughal_government_west_african_assimilated_desc:0 "Наша імперія дотягнулася до племен Західної Африки, тож ми все більше покладаємось на віддалених місцевих правителів. Згодом ми навчимося інтегрувати ці локальні ієрархії в нашу власну, повільно руйнуючи місцеву владу й припиняючи їхню автономію."
 mughal_government_west_slavic_assimilated:0 "Слов'янські генерали"
 mughal_government_west_slavic_assimilated_desc:0 "Західні слов'яни десятиліттями випускали армійських лідерів, які досягли успіхів у використанні нової зброї в поєднанні з нестандартною тактикою. Підкоривши їх, ми повинні використовувати це в повній мірі."
 mughal_government_western_aryan_assimilated:0 "Гуджаратські торговці"
 mughal_government_western_aryan_assimilated_desc:0 "Гуджаратські торговці подорожують величезними просторами Індійського океану, шукаючи можливості для отримання прибутку. Вони зробили торгівлю точною наукою, яка стане для нас дуже корисною, коли ми асимілюємо їхні порти."
mughal_government_thai_group_assimilated:0 "Тропічні архітектори"
 mughal_government_thai_group_assimilated_desc:0 "Індокитай — суворий і дуже спекотний регіон, та все ж таки тайцям вдалося побудувати там прекрасні будівлі. Тепер ці архітектурні генії на нашій службі й ми отримали можливість будувати наші будівлі набагато ефективніше."
 mughal_government_kamchatkan_g_assimilated:0 "Сибірські мисливці"
 mughal_government_kamchatkan_g_assimilated_desc:0 "Камчатці міцні і вміють виживати в холодному середовищі Східного Сибіру. Вони також ефективні мисливці й можуть знищити будь-кого, хто настільки дурний, щоб вторгнутися на їхню територію. З їхньою допомогою жоден загарбник в нашому королівстві довго не виживе."
 
