l_ukrainian: 
 TUT_PART_BAS_SHORT:0 "Основи"
 TUT_BAS_CHAPTER01_PAGE02_TEXT:0 "Ви можете у будь-який момент зупинити час у грі, натиснувши §MПробіл§! на клавіатурі або клікнувши по  §MМеню контролю часу§!. Ви можете прискорити або знизити ігрову швидкість через меню контролю часу або натснувши клавішу '§M+§!' (плюс) / '§M-§!' (мінус) на клавіатурі."
 TUT_BAS_CHAPTER01_PAGE02_OBJECTIVES:0 "§Mзніміть гру з паузи§! І дочекайтесь 1 січня для продовження."
 TUT_BAS_CHAPTER01_PAGE03_TITLE:0 "§YЧас (3/8)§!"
 TUT_BAS_CHAPTER01_PAGE03_TEXT:0 "Коли ви призупинили час в Europa Universalis IV, ви можете продовжувати грати, віддавати накази і наводити порядок в поточній ситуації. У мирні часи ви напевне захочете пришвидшити перебіг часу, але під час війни вам знову знадобиться його сповільнити, або навіть натиснути паузу щоб приділити конфлікту всю увагу."
 TUT_BAS_CHAPTER01_PAGE03_OBJECTIVES:0 "Клацніть §MДалі§! Для продовження."
 TUT_BAS_CHAPTER01_PAGE04_TITLE:0 "§YКерування камерою (4/8)§!"
 TUT_BAS_CHAPTER01_PAGE04_TEXT:0 "Ви можете використовувати ваш §Mкурсор миші§! для руху камери, навівши і утримуючи курсор у верхній, нижній, лівій чи правій границі ігрового екрану. Також можна використовувати §MНавігаційні клавіші§! на клавіатурі або затиснути §MКоліщатко мишки§! і рухати нею. Якщо ви натиснете на мінікарту в правому нижньому кутку екрану то камера переміститься у відповідну локацію ігрового світу."
 TUT_BAS_CHAPTER01_PAGE04_OBJECTIVES:0 "Переміщуйте камеру, використовуючи навігаційні клавіші або рухаючи мишку. Клацніть §Mдалі§! для продовження."
 TUT_BAS_CHAPTER01_PAGE05_TITLE:0 "§YВіддалення камери (5/8)§!"
 TUT_BAS_CHAPTER01_PAGE05_TEXT:0 "У вас часто виникатиме необхідність змінювати відстань камери для отримання кращого вигляду світу або прораховування шляхів.\n\n§YВи можете віддалити камеру, використовуючи коліщатко миші або натиснувши кнопку §MВіддалити§Y , що розташована біля мінікарти в нижньому правому куті екрану.§W"
 TUT_BAS_CHAPTER01_PAGE05_OBJECTIVES:0 "Для продовження необхідно §Mвіддалити§! камеру, тож ви зможете побачити всю Європу."
 TUT_BAS_CHAPTER01_PAGE06_TITLE:0 "§YПриближення (6/8)§!"
 TUT_BAS_CHAPTER01_PAGE06_TEXT:0 "Тепер, коли ви віддалили камеру, спробуйте її приблизити.\n\n§YВи можете приблизити камеру використовуючи коліщатко миші або натиснувши кнопку §MПриблизити§Y, що розташована біля мінікарти в нижньому правому куті екрану.§W"
 TUT_BAS_CHAPTER01_PAGE06_OBJECTIVES:0 "Для продовження необхідно  §Mмаксимально можливо приблизити камеру§!."
 TUT_BAS_CHAPTER01_PAGE07_TITLE:0 "§YЗнайдіть провінцію (7/8)§!"
 TUT_BAS_CHAPTER01_PAGE07_TEXT:0 "Давайте перевіримо, наскільки гарно ви навчилися керувати камерою. Спробуйте знайти звичайну провінцію, керуючи камерою. Слідуйте за стрілочкою поки ви не знайдете провінцію. Коли ви знайдете її, стілочка стане над нею і вказуватиме вам на шукану територію."
 TUT_BAS_CHAPTER01_PAGE07_OBJECTIVES:0 "Рухайтеся за §Mстрілочкою§! на північ та знайдіть провінцію під назвою §MАбердін§!. Клацніть на неї лівою кнопкою миші для продовження."
 TUT_BAS_CHAPTER01_PAGE08_TITLE:0 "§YЗавершення розділу (8/8)§!"
 TUT_BAS_CHAPTER01_PAGE08_TEXT:0 "В цьому розділі ви набули навичок керування камерою. В наступному розділі ви навчитеся командувати армією та флотом."
 TUT_BAS_CHAPTER01_PAGE08_OBJECTIVES:0 "Клацніть §MДалі§! Для переходу в наступний розділ."
 TUT_BAS_CHAPTER02_BUTTON:0 "Керування юнітами"
 TUT_BAS_CHAPTER02_TITLE:0 "Керування юнітами"
 TUT_BAS_CHAPTER02_DESC:0 "Цей розділ присвячено на §Mкеруванню юнітами§!. Він дасть базові навички ведення §Mбитв§! та §Mоблоги§!."
 TUT_BAS_CHAPTER02_PAGE01_TITLE:0 "§Yкерування юнітами (1/10)§!"
 TUT_BAS_CHAPTER02_PAGE01_TEXT:0 "Повстанці захопили контроль над провінцією §MПейл§!, нам необхідно знищити їх! Виберіть армію, розташовану в провінції §MЛондон§! натиснувши на неї або утримувати натиснутою ЛКМ і рухати ракою вибору так, щоб туди потрапила армія."
 TUT_BAS_CHAPTER02_PAGE01_OBJECTIVES:0 "Виберіть §MКоролівську армію§! розташовану у провінції §MЛондон§! для продовження."
 TUT_BAS_CHAPTER02_PAGE02_TITLE:0 "§YПереміщення армії (2/10)§!"
 TUT_BAS_CHAPTER02_PAGE02_TEXT:0 "Тепер, коли ви вибрали армію, клацніть ПКМ для переміщення туди. Щоб дістатися в §MПейл§! спочатку потрібно дійти до §MГвінеду§!. Вибравши армію і натиснувши ПКМ на Гвінед, зніміть паузу з гри, щоб юніти змогли добратися до цілі.\n\n§YНе забудьте зняти гру з паузи."
 TUT_BAS_CHAPTER02_PAGE02_OBJECTIVES:0 "Перемістіть вашу армію у §MГвінед§!."
 TUT_BAS_CHAPTER02_PAGE03_TITLE:0 "§YПеревезення військ (3/10)§!"
 TUT_BAS_CHAPTER02_PAGE03_TEXT:0 "Вам доведеться доставити ваші війська у §MПейл§! за допомогою човнів. Клацніть кнопку §MПрикріпити до транспорту§!, щоб завантажити армію на кораблі в порту §MГвінеда§!. Коли транспортний корабель, до якого прикріплене військо, вирушить з гавані, армія автоматично завантажиться на корабель. \n\n§YКожен транспортний корабель може перевозити тільки один підрозділ військ.§!"
 TUT_BAS_CHAPTER02_PAGE03_OBJECTIVES:0 "Виберіть вашу армію і клацніть §MПрив'язати до транспорту§! для продовження."
 TUT_BAS_CHAPTER02_PAGE04_TITLE:0 "§YВибір флоту (4/10)§!"
 TUT_BAS_CHAPTER02_PAGE04_TEXT:0 "Ваші війська зараз успішно сіли на кораблі королівського флоту у порту Гвінеда. Для транспортування військ через Ірландське море вам необхідно вибрати флот, натиснувши на ньому ЛКМ або захопити його рамкою вибору.§W"
 TUT_BAS_CHAPTER02_PAGE04_OBJECTIVES:0 "Виберіть §MКоролівський флот§!, розташований у §Mпорту Гвінеда§!."
 TUT_BAS_CHAPTER02_PAGE05_TITLE:0 "§YПереміщення флоту (5/10)§!"
 TUT_BAS_CHAPTER02_PAGE05_TEXT:0 "Для переміщення вашого флоту, клацніть ПКМ на морську область §MІрландське море§!. Щойно ваш флот вирушить з порту, прикріплені загони сядуть на кораблі.\n\n§YНе забудьте зняти гру з паузи.§W"
 TUT_BAS_CHAPTER02_PAGE05_OBJECTIVES:0 "Відправте флот в §MІрландське море§! для продовження."
 TUT_BAS_CHAPTER02_PAGE06_TITLE:0 "§YАрмія на кораблях (6/10)§!"
 TUT_BAS_CHAPTER02_PAGE06_TEXT:0 "Щоб війська зробили висадку на берег, виберіть потрібний флот і клацніть кнопку §MТранспортується§! для вибору армії."
 TUT_BAS_CHAPTER02_PAGE06_OBJECTIVES:0 "Виберіть вашу §Mармію на кораблях§! для продовження."
 TUT_BAS_CHAPTER02_PAGE07_TITLE:0 "§YВисадка на берег (7/10)§!"
 TUT_BAS_CHAPTER02_PAGE07_TEXT:0 "Тепер, коли ви вибрали армію, клацніть ПКМ на провінції §MПейл§!, де засіли повстанці для віддавання наказу вашим військам почати висадку.§W"
 TUT_BAS_CHAPTER02_PAGE07_OBJECTIVES:0 "Відправте вашу армію в §MПейл§! для продовження."
 TUT_BAS_CHAPTER02_PAGE08_TITLE:0 "§YБитва (8/10)§!"
 TUT_BAS_CHAPTER02_PAGE08_TEXT:0 "На даний момент ваша армія воює з повстанцями в провінції §MПейл§!. Коли битва добіжить до кінця, ви розпочнете облогу провінції, тому що вона захоплена повстанцями. Вікно битви з'явиться, коли ви виберете армію-учасницю битви.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_BAS_CHAPTER02_PAGE08_OBJECTIVES:0 "Зніміть гру з паузи та §Mзнищіть повстанців§! для продовження."
 TUT_BAS_CHAPTER02_PAGE09_TITLE:0 "§YОблога (9/10)§!"
 TUT_BAS_CHAPTER02_PAGE09_TEXT:0 "Ви завдали поразки повстанцям на полі бою, але місто все ще знаходиться під їхнім контролем. Зараз ваша армія осаджує Пейл, тому необхідно почекати, поки не здадуться захисники.\n\n§YЧас, необхідний для виконання деяких дій, таких як облога, зменшений під час навчання. У звичайній кампанії ці речі триватимуть дещо довше.§!"
 TUT_BAS_CHAPTER02_PAGE09_OBJECTIVES:0 "§MВідновіть контроль над провінцією Пейл§! для продовження."
 TUT_BAS_CHAPTER02_PAGE10_TITLE:0 "§YЗавершення розділу (10/10)§!"
 TUT_BAS_CHAPTER02_PAGE10_TEXT:0 "Перемога! Ви знищили повстанців та відвоювали Пейл. На цьому закінчується 2-гий розділ навчання. У наступному розділі ви вивчите деякі речі про §MВиробництво§!."
 TUT_BAS_CHAPTER02_PAGE10_OBJECTIVES:0 "Клацніть §MДалі§! для переходу в наступний розділ."
 TUT_BAS_CHAPTER03_BUTTON:0 "Виробництво"
 TUT_BAS_CHAPTER03_TITLE:0 "Виробництво"
 TUT_BAS_CHAPTER03_DESC:1 "В третьому розділі навчання ви дізнаєтесь про основи §економіки, створення юнітів§! та про §будівництво будівель§!."
 TUT_BAS_CHAPTER03_PAGE01_TITLE:0 "§YОснови виробництва (1/12)§!"
 TUT_BAS_CHAPTER03_PAGE01_TEXT:0 "Пройшовши цей розділ ви навчитесь §Mформувати підрозділи§!, §Mбудувати кораблі§! та §Mбудівлі§!. Все виробництво відбуватиметься у провінціях."
 TUT_BAS_CHAPTER03_PAGE01_OBJECTIVES:0 "Клацніть на провінцію §MЛондон§! на карті для продовження."
 TUT_BAS_CHAPTER03_PAGE02_TITLE:0 "§YПровінція (2/12)§!"
 TUT_BAS_CHAPTER03_PAGE02_TEXT:0 "Кожна провінція своєрідна і має різну економічну та військову цінність, яка визначається такими речами, як §Mрівень оподаткування§!, §Mторгова сила§!, стратегічне розміщення чи який  §Mтовар§! у ній виробляється. Про ці характеристики ви дізнаєтесь пізніше. У провінціях створюються юніти. Ви можете §Mсформувати підрозділ§!, §Mзбудувати корабель§! і §Mнайняти найманців§!."
 TUT_BAS_CHAPTER03_PAGE02_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_BAS_CHAPTER03_PAGE03_TITLE:0 "§YФормування армії (3/12)§!"
 TUT_BAS_CHAPTER03_PAGE03_TEXT:0 "Армії складаються із підрозділів, яких є три різні типи: §Mпіхота§!, §Mкавалерія§! та §Mартилерія§!. В кожному підрозділі може бути до 1000 солдат. "
 TUT_BAS_CHAPTER03_PAGE03_OBJECTIVES:0 "Клацніть §MСформувати підрозділ§! для продовження."
 TUT_BAS_CHAPTER03_PAGE04_TITLE:0 "§YФормування підрозділу (4/12)§!"
 TUT_BAS_CHAPTER03_PAGE04_TEXT:0 "У вікні формування підрозділів ви побачите список всіх доступних для створення юнітів. Формування військового підрозділу коштуватиме вам 1,000 §Mрекрутів§! та певну суму §Mгрошей§!. Рекрути -  важливий людський ресурс, який відновлюється з часом. Не маючи достатньої кількості рекрутів,  ви не можете тренувати нові підрозділи або поповняти вже існуючі. Ви можете побачити кількість рекрутів у лівому верхньому кутку екрану."
 TUT_BAS_CHAPTER03_PAGE04_OBJECTIVES:0 "§MСформуйте будь-який підрозділ§! в Лондоні для продовження."
 TUT_BAS_CHAPTER03_PAGE05_TITLE:0 "§YФормування флоту (5/12)§!"
 TUT_BAS_CHAPTER03_PAGE05_TEXT:0 "Ви можете будувати кораблі,  вибравши прибережну провінцію і натиснувши кнопк §MЗбудувати корабель§!. Є 4 види кораблів: важкі кораблі, легкі кораблі, галери та транспортні.\n\n§YСпочатку клацніть §MНазад§Y для повернення до вікна провінції, а потім - кнопку §MЗбудувати корабель§Y.§W"
 TUT_BAS_CHAPTER03_PAGE05_OBJECTIVES:0 "Клацніть §MЗбудувати корабель§! для продовження."
 TUT_BAS_CHAPTER03_PAGE06_TITLE:0 "§YБудування кораблів (6/12)§!"
 TUT_BAS_CHAPTER03_PAGE06_TEXT:1 "Важкі кораблі чудово підходять для грандіозних морських битв. Легкі кораблі є швидкими і, зазвичай, використовуються для захисту торгівлі та відкритття нових земель. Галери - дешеві кораблі, якими зазвичай воюють держави, що мають вихід до внутрішніх морів (Чорне, Середземне). Транспортні кораблі необхідні для перевезення підрозділів.§W"
 TUT_BAS_CHAPTER03_PAGE06_OBJECTIVES:0 "§MЗбудуйте будь-який корабель§! в Лондоні для продовження."
 TUT_BAS_CHAPTER03_PAGE07_TITLE:0 "§YБудівлі (7/12)§!"
 TUT_BAS_CHAPTER03_PAGE07_TEXT:0 "Будівлі можуть бути сконструйовані для покращення характеристик провінцій. Покращення бувають різні, наприклад вищий рівень податків чи краща оборона форту. Конструювання будинків необхідне для нарощування економічної та військової потужності."
 TUT_BAS_CHAPTER03_PAGE07_OBJECTIVES:0 "Відкрийте §MМеню будування§! для продовження."
 TUT_BAS_CHAPTER03_PAGE08_TITLE:0 "§YБудування (8/12)§!"
 TUT_BAS_CHAPTER03_PAGE08_TEXT:0 "Будівлі поділено на різні категорії. Вищі рівні будівель називаються §Mспеціальними§!. Провінція може мати тільки одну спеціальну будівлю з усіх категорій. §MУнікальна будівля§! одного типу може бути тільки однією в державі і надає велику перевагу відносно звичайних."
 TUT_BAS_CHAPTER03_PAGE08_OBJECTIVES:0 "§MЗбудуйте будь-яку будівлю§! в Лондоні для продовження."
 TUT_BAS_CHAPTER03_PAGE09_TITLE:0 "§YКомірки (9/12)§!"
 TUT_BAS_CHAPTER03_PAGE09_TEXT:0 "Є дві різні комірки виробництва у провінції. Комірка юнітів дозволяє швидко віддати наказ про §Mбудування корабля§! чи §Mформування підрозділу§!. Комірка будівництва дає можливість виконати одну із наступних речей: §Mзбудувати будівлю§!, §Mвиготовити претензії§!, §Mзмінити провінційну релігію§! чи §Mкультуру§!. Кожна з двох комірок може бути зайнята виконанням тільки одного наказу одночасно."
 TUT_BAS_CHAPTER03_PAGE09_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_BAS_CHAPTER03_PAGE10_TITLE:0 "§YМеню виробництва (10/12)§!"
 TUT_BAS_CHAPTER03_PAGE10_TEXT:1 "Зі збільшенням імперії стає важче керувати державою. §MМеню виробництва§! дозволяє легше зводити будівлі чи формувати війська у великих кількостях. Вибір будівлі із списку обновить карту так, що ви зможете побачити де отримаєте більшу перевагу.\n\n§YВиберіть це меню із лівого верхнього кутка екрану.§!"
 TUT_BAS_CHAPTER03_PAGE10_OBJECTIVES:0 "Клацніть на кнопку §MМеню виробництва§! для продовження."
 TUT_BAS_CHAPTER03_PAGE11_TITLE:0 "§YМеню виробництва (11/12)§!"
 TUT_BAS_CHAPTER03_PAGE11_TEXT:0 "Виберіть юніт зі списку і клацніть на карті для початку виробництва. Ви можете просто клікнути по карті або натиснути '§M+§!' над провінцією. Якщо натиснути на провінцію декілька раз, то вибрані юніти будуть поставлені у чергу.\n\n§YНачніть формування юнітів у 5-ти і не забудьте зняти гру з паузи.§!"
 TUT_BAS_CHAPTER03_PAGE11_OBJECTIVES:0 "Виберіть будь-який §Mназемний юніт§! зі списку ліворуч і §Mсформуйте 5 підрозділів§! для продовження."
 TUT_BAS_CHAPTER03_PAGE12_TITLE:0 "§YКінець розділу (12/12)§!"
 TUT_BAS_CHAPTER03_PAGE12_TEXT:0 "Вітаємо, ви завершили 3-й розділ навчання. У наступному розділі вже буде §Mвійна§!."
 TUT_BAS_CHAPTER03_PAGE12_OBJECTIVES:0 "Клацніть §MДалі§! для переходу в наступний розділ."
 TUT_BAS_CHAPTER04_BUTTON:0 "Війна"
 TUT_BAS_CHAPTER04_TITLE:0 "Війна"
 TUT_BAS_CHAPTER04_DESC:0 "Цей розділ навчання присвячений §Mвійні§! та §Mдипломатії§!."
 TUT_BAS_CHAPTER04_PAGE01_TITLE:0 "§YОголошення війни (1/5)§!"
 TUT_BAS_CHAPTER04_PAGE01_TEXT:0 "Для оголошення війни необхідно мати §MCasus Belli§! проти ворога. Якщо у вас немає приводу до війни - ваша держава зазнає впливу негативних факторів.\n\n§YКлацніть на провінцію §MЛейнстер§Y, потім §MДипломатія§Y і виберіть §MОголосити війну§Y. У якості цілі війни виберіть Casus Belli §MЗавоювання-Захопити пров. Лейнстер§Y і клацніть §MОголосити війну§Y.§W"
 TUT_BAS_CHAPTER04_PAGE01_OBJECTIVES:0 "§MОголосіть війну Лейнстеру§! для продовження."
 TUT_BAS_CHAPTER04_PAGE02_TITLE:0 "§YВійна (2/5)§!"
 TUT_BAS_CHAPTER04_PAGE02_TEXT:0 "Відправте свої війська у провінцію Лейнстер, щоб вступити в бій з їхньою армією. Вам теж необхідно буде взяти місто в облогу і окупувати провінцію перед продовженням. Якщо ви бажаєте доставити всі ваші підрозділи на облогу, вам потрібно буде доставити їх у Лейнстер і сформувати  їх в одну армію.\n\n§YНе забудьте зняти гру з паузи.§!"
 TUT_BAS_CHAPTER04_PAGE02_OBJECTIVES:0 "§MПереможіть Лейнстер§! для продовження."
 TUT_BAS_CHAPTER04_PAGE03_TITLE:0 "§YПропозиція миру (3/5)§!"
 TUT_BAS_CHAPTER04_PAGE03_TEXT:0 "Для §Mвимагання данини§! в мирній угоді необхідно набрати певну кількість §Mwarscore§!. Наша §Mціль війни§! зменшує кількість воєнного рахунку для цієї провінції на 50%. Претензія на провінцію зменшує вартість дипломатичної сили на 50%.\n\n§YКлацніть ЛКМ на провінцію Лейнстер, потім на кнопку §MДипломатія§Y і виберіть §MПропозиція миру§Y.\nНе забудьте зняти гру з паузи.§W"
 TUT_BAS_CHAPTER04_PAGE03_OBJECTIVES:0 "Підпишіть будь-який §Mмирний договір§!  з Лейнстером для продовження."
 TUT_BAS_CHAPTER04_PAGE04_TITLE:0 "§Yперемир'я (4/5)§!"
 TUT_BAS_CHAPTER04_PAGE04_TEXT:0 "Коли закінчиться війна, обидві держави матимуть перемир'я між собою (окрім випадку повної анексії, тому що одна з держав просто не існуватиме). Ви можете побачити з якими державами у вас підписано перемир'я та їх строк дії навівши мишку на §MПовідомлення перемир'я§!. Якщо ви нападете на якусь державу під час перемир'я, то рівень §Mстабільності§! у державі сильно знизиться, тому це не рекомендується робити"
 TUT_BAS_CHAPTER04_PAGE04_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_BAS_CHAPTER04_PAGE05_TITLE:0 "§YКінець розділу (5/5)§!"
 TUT_BAS_CHAPTER04_PAGE05_TEXT:0 "Це повідомлення вказує на завершення курсу Основного навчання у Europa Universalis IV. Ви можете пройти курс заново, коли тільки забажаєте. Спробуйте пройти §MПоглибений практичний курс§!, а також ви зможете дізнатися більше про Europa Universalis IV в §MЕспанській кампанії для новачків§!."
 TUT_BAS_CHAPTER04_PAGE05_OBJECTIVES:0 "Клацніть §MВийти§! для повернення у навчальне меню."
 TUT_ADV_CHAPTER01_BUTTON:0 "Інтерфейс"
 TUT_ADV_CHAPTER01_TITLE:0 "Інтерфейс"
 TUT_ADV_CHAPTER01_DESC:1 "В цьому навчальному елементі ви зможете дізнатися більше про §ігровий інтерфейс§!."
 TUT_ADV_CHAPTER01_PAGE01_TITLE:0 "§YІнтерфейс (1/16)§!"
 TUT_ADV_CHAPTER01_PAGE01_TEXT:0 "Цей розділ навчання присвячений ігровому §Mінтерфейсу§!."
 TUT_ADV_CHAPTER01_PAGE01_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE02_TITLE:0 "§YЗолото (2/16)§!"
 TUT_ADV_CHAPTER01_PAGE02_TEXT:0 "Золото це один із основних ресурсів який використовується для оплати майже всього, починаючи від наймання армії та закінчуючи оплатою будівництва."
 TUT_ADV_CHAPTER01_PAGE02_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE03_TITLE:0 "§YРекрути (3/16)§!"
 TUT_ADV_CHAPTER01_PAGE03_TEXT:0 "Рекрути - це ресурс, що впливає на можливість мати велику армію. Максимальний ліміт рекрутів дорівнює розміру 10-ти річного приросту. Формування одного підрозділу коштуватиме вам 1000 рекрутів. Поповнення армії під час війни теж впливає на кількість рекрутів."
 TUT_ADV_CHAPTER01_PAGE03_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE04_TITLE:0 "§YСтабільність (4/16)§!"
 TUT_ADV_CHAPTER01_PAGE04_TEXT:0 "Стабільність відображає наскільки добре йдуть спави у вашій державі. Стабільність зв'язана із §MРизиком повстання§!, §Mрівнем оподаткування§!, §Mторговою силою§! та ін.\n\nСтабільність може бути підвищена у §MСтабільність і розширення tab§! за §Mадміністративні бали§! правителя. Стабільність може понизитися через §Mвипадкові події§!, §Mрозрив перемир'я§!, зміну §Mдержавної релігії§! чи смерті  §Mправителя§! під час бою. "
 TUT_ADV_CHAPTER01_PAGE04_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE05_TITLE:0 "§YПрестиж (5/16)§!"
 TUT_ADV_CHAPTER01_PAGE05_TEXT:0 "Престиж здобувається у виграних битвах, війнах або через випадкові події. Престиж збільшує §Mмораль війська§!, §MЛегітимність§! і §MBetter Relations Over Time§!."
 TUT_ADV_CHAPTER01_PAGE05_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE06_TITLE:0 "§YЛегітимність (6/16)§!"
 TUT_ADV_CHAPTER01_PAGE06_TEXT:0 "Тільки республіки отримують ефект республіканських традицій, який першочергово понижує §Mризик повстання§!. Республіканські традиції втрачаються при обиранні правителя на декілька термінів та ростуть повільно кожного року. Низький рівень республіканських традицій збільшує §Mвартість підвищення стабільності§!.\n\nТільки у монархіях присутня Легітимність, що відображає наскільки легітимним вважається правління вашого монарха. Легітимність впливає на §Mризик повстання§!, §Mрелігійну терпимість§! і §Mдипломатичну репутацію§!."
 TUT_ADV_CHAPTER01_PAGE06_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE07_TITLE:0 "§YДипломатична вага (7/16)§!"
 TUT_ADV_CHAPTER01_PAGE07_TEXT:0 "§MДипломатична вага§! показує, наскільки добре Ваша країна грає м'язами. Обираючи §Mсуперників§! і ведучи агресивну політику проти них, Ви збільшуєте свою дипломатичну вагу. Маючи високу дипломатичну вагу, Ви отримаєте перевагу над іншими. Капери, перемога у війнах, ембарго і підтримка повстанців можуть допомогти Вам підтримати свій дипломатичну вагу на максимумі."
 TUT_ADV_CHAPTER01_PAGE07_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE08_TITLE:0 "§YПосланці (8/16)§!"
 TUT_ADV_CHAPTER01_PAGE08_TEXT:0 "Посланці - це персонажі, які виконують Ваші доручення. Купці служать для отримання прибутку від торгівлі та напрямки її потоків. Колоністи призначені для заснування нових колоній. Дипломати для укладення договорів між країнами. Місіонери використовуються для звернення провінцій. Всі вони повертаються після виконання завдання."
 TUT_ADV_CHAPTER01_PAGE08_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE09_TITLE:0 "§YБали правителя (9/16)§!"
 TUT_ADV_CHAPTER01_PAGE09_TEXT:0 "У вашого правителя є три ресурси, комбінація яких називається §Mочками правителя§!. Є §Mадміністративні§!, §Mдипломатичні§! і §Mвійськові§! бали. Бали монарха накопичуються щомісячно, їх кількість залежить від навичок правителя та його радників."
 TUT_ADV_CHAPTER01_PAGE09_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE10_TITLE:0 "§YСповіщення (10/16)§!"
 TUT_ADV_CHAPTER01_PAGE10_TEXT:0 "Сповіщення надають вам швидкий доступ до інформації, що варта вашої уваги. Натискання ЛКМ на сповіщенні перенесе вас у те меню, де ви можете щось змінити, натискання ПКМ приховає дане сповіщення. Сповіщення червоного кольору мають високо-пріоритетні, жовтого - важливі, а зелені – мало-важливі. В цьому рядку також з'являються дипломатичні пропозиції від інших держав."
 TUT_ADV_CHAPTER01_PAGE10_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE11_TITLE:0 "§YМеню виробництва (11/16)§!"
 TUT_ADV_CHAPTER01_PAGE11_TEXT:0 "Меню виробництва створено для того щоб ви могли ефективніше керувати виробництвом. Ви можете прочитати більше про це у §Mрозділі 'Виробництво'§! в §MМеню навчання§!."
 TUT_ADV_CHAPTER01_PAGE11_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
 TUT_ADV_CHAPTER01_PAGE12_TITLE:0 "§YСвященна Римська імперія (12/16)§!"
 TUT_ADV_CHAPTER01_PAGE12_TEXT:0 "Екран Священної Римської імперії дозволяє побачити землі Імператора, держав, що його обирають, та землі інших держав, які входять у склад імперії."
 TUT_ADV_CHAPTER01_PAGE12_OBJECTIVES:0 "Клацніть §MДалі§! для продовження."
