l_ukrainian:
 NO_EDICT_PLAIN:0 "Немає едиктів"
 ASKTRIBUTARYDESC:0 "Держава §Y$ACTOR$§! хоче бути нашим §Yданником§!. Якщо вони погодяться, ми можемо вимагати від них щорічну данину у вигляді ¤, £adm£, £dip£, £mil£ або £icon_manpower£.\nВони, як і раніше, матимуть незалежні дипломатичні відносини з іншими країнами.\nЯкщо вони будуть менш технологічно просунуті в порівнянні з нами, то вартість технологій для них буде знижена на $EFFECT$."
 ESTABLISHTRIBUTARYDESC:0 "Держава §Y$ACTOR$§! хоче, щоб ми стали їхнім §Yданником§!. Якщо ми погодимося, вони будуть вимагати від нас щорічну данину у вигляді ¤, £adm£, £dip£, £mil£ або £icon_manpower£.\nМи, як і раніше, матимемо незалежні дипломатичні відносини з іншими країнами.\nЯкщо країна $ACTOR$ буде більш технологічно просунута в порівнянні з нами, то вартість технологій для нас буде знижена на $EFFECT$."
 ESTABLISHTRIBUTARYTRADELEAGUEWARNING:0 "§RПрийняття призведе до видалення нас з нашої Торгової Ліги!§!"
 ICON_TRIBUTARY:0 "Пропозиція стати §Yданником§!"
 ICON_ASK_TRIBUTARY:0 "Пропозиція стати нашим §Yданником§!"
 TRIBUTARY_MISSION_WAR_NAME:0 "$ORDER$$FIRST$а війна за данину держави $SECOND_NAME$"
 cb_force_tributary:0 "Змусити виплачувати данину"
 cb_force_tributary_desc:0 "Ми можемо змусити їх виплачувати данину."
 CB_ALLOWED_TRIBUTARY:0 "Примушення до виплати данини"
 CONFIRM_SEND_TRIBUTE_TITLE:0 "Підтвердження щорічної данини"
 CONFIRM_SEND_TRIBUTE_DESC:0 "Наш сюзерен, держава §Y$OVERLORD$§! вимагає від нас данину, цього року у вигляді §Y$AMOUNT$§! $TYPE$\nЦе підвищить довіру між нашими державами на §Y$POS_TRUST$§!.\nВідхиливши цю пропозицію, ми погіршимо стосунки й зменшимо довіру між нами на §Y$NEG_TRUST$§!."
 TRIBUTE_CANT_REFUSE_WHEN_TRUCE:0 "Ми не можемо відмовитися від виплати данини своєму повелителеві, оскільки між нами перемир'я."
 REFUSE:0 "Відмовити!"
 CREATE_SUBJECT:0 "Держава $YWHO$§! отримає статус $TYPE$.\n"
 REFUSED_CALL_FROM_TRIBUTARY_PENALTY:0 "Якщо ми відмовляємось, ми втратимо $MANDATE|R$ мандатів."
 tributary_state_behind_overlord_tech_adm:0 "Адміністративні технології данника менш розвинені, ніж у сюзерена"
 tributary_state_behind_overlord_tech_dip:0 "Дипломатичні технології данника менш розвинені, ніж у сюзерена"
 tributary_state_behind_overlord_tech_mil:0 "Військові технології данника менш розвинені, ніж у сюзерена"
 CURRENT_HARMONY:0 "Гармонія"
 HARMONY_DESCRIPTION:1 "Релігійна гармонія нашого народу природним чином збільшується з плином часу. Перетворення провінцій та гармонізація з іншими релігіями короткочасно зменшує нашу гармонію."
 CURRENT_HARMONY_VAL:0 "§YГармонія: $VAL$§!\nЩорічна зміна на $CHANGE$:\n"
 HARMONY_LOSS_FROM_CONV:0 "Це зменшить нашу гармонію §R$VAL$§!."
 HARMONY_FROM_HARMONIZING:0 "Гармонізація з вірою $RELIGION$: $VAL$"
 MISSIONARY_HARMONY_LOSS_DESC:1 "Перетворення цієї провінції зменшить нашу гармонію на §R$VAL$§!\n(§R$LOSS_PER_DEV$§! за бал розвитку)."
 MODIFIER_YEARLY_HARMONY:0 "Щорічне збільшення гармонії"
 low_harmony:0 "Низька гармонія"
 high_harmony:0 "Висока гармонія"
 overlord_daimyo_at_peace:0 "Даймьо знаходиться в мирі"
 overlord_daimyo_same_isolationism:0 "Ізоляціонізм даймьо"
 HARMONIZE_WITH_RELIGION:0 "§YГармонізація з релігією§!"
 HARMONIZE_DESC:0 "Терпимість до провінцій з гармонізованою релігією така ж, як якщо б вони сповідували §Y$NAME$§!.\nКраїни, які сповідують гармонізовану релігію, розглядатимуть вас так, як якщо б ви слідували їхній релігії."
 HARMONIZE_DESC_CURRENT:1 "Поточна гармонізація з релігією §Y$RELIGION$§!\nПрогрес: §Y$PROGRESS$§!\nОчікуване завершення: $DONE|Y$"
 HARMONIZE_GROUP_DESC_CURRENT:1 "Поточна гармонізація з релігійною групою §Y$GROUP$§!.\nПрогрес: §Y$PROGRESS$§!\nОчікуване завершення: $DONE|Y$"
 CANCEL_HARMONIZATION:0 "Скасувати гармонізацію"
 estate_shangbang:0 "Шаньбен"
 estate_gentry:0 "Шицзу"
 gentry_dominance:0 "Панування Шицзу"
 EST_VAL_CELESTIAL_EMPIRE:0 "Піднебесна імперія: §Y$VAL$%§!"
 desc_gentry_dominance:0 "Дворянські клани повністю контролюють наш уряд, і прийняття імператорського трону зведене до простої формальності."
 tributary_smuggling_ring_subject:0 "Шайка контрабандистів"
 desc_tributary_smuggling_ring_subject:0 "Вироби наших майстрів настільки популярні, що була створена невелика мережа для постачання покупців у країні нашого сюзерена. Це не зовсім законно і велика частина прибутку, безсумнівно, відбирається на шляху різними корумпованими чиновниками, але це все ще є головним благом для економіки нашої країни."
 tributary_smuggling_ring_overlord:0 "Наплив екзотичних товарів"
 desc_tributary_smuggling_ring_overlord:0 "Хоча це й не є законно, але між нами та одним з наших данників зростає нерегульована торгівля предметами розкоші."
 tributary_institution_influence:0 "Поширення знань"
 desc_tributary_institution_influence:0 "Наші взаємини з данниками дозволяють нам вибрати одного чи двох людей з найбільш освічених чоловіків і жінок з самого центру Імперії."
 tributary_diplomatic_influence:0 "Дипломатичний вплив"
 desc_tributary_diplomatic_influence:0 "Наші взаємини з данниками дозволяють нам надавати більший вплив на міжнародну політику, ніж ми б надавали в іншому випадку."
 tributary_diffusion_of_knowledge:0 "Розповсюдження знань"
 desc_tributary_diffusion_of_knowledge:0 "Мережа наших данників дозволила нам залучити ідеї та методи, які в іншому випадку досягли б наших кордонів набагато пізніше."
 tributary_overlord_trading_port:0 "Торговий порт данника"
 desc_tributary_overlord_trading_port:0 "Ця провінція переживає економічне зростання через те, що є головним портом для місцевих флотів данника. Це також те місце, звідки в країну прибуває велика кількість товарів від сюзерена і де оселилася більшість торговців з країни сюзерена."
 influential_tributary_network:0 "Політичний вплив"
 desc_influential_tributary_network:0 "Мережа наших данників надала нам значний вплив далеко за межами наших кордонів."
 tributary_overlord_refugees:0 "Врегулювання політичних біженців"
 desc_tributary_overlord_refugees:0 "Ця провінція переживає економічний підйом через розселення групи здібних політичних біженців."
 tributary_mission_piracy:0 "Піратство"
 desc_tributary_mission_piracy:0 "Наразі флоти данників страждають від піратів у відкритому морі. Це змушує нас втрачати дохід та збільшувати витрати на охорону морських шляхів."
 tributary_gave_up_political_refugees:0 "Покинув політичних біженців"
 tributary_forced_brain_drain:0 "Змусив еліту мігрувати"
 tributary_aiding_smugglers:0 "Допомога контрабандистам"
 tributary_stopped_smugglers:0 "Допоміг нам з контрабандистами"
 tributary_soured_relations:0 "Інцидент з данником"
 tributary_impressive_overlord:0 "Вражений сюзереном"
 tributary_same_overlord:0 "Данники одного сюзерена"
 forced_brain_drain:0 "Передані вчені"
 tributary_harbored_criminals:0 "Укривання злочинців"
 tributary_harbored_criminals_refused_compensation:0 "Переховування злочинців"
 tributary_paid_for_service:0 "Нагороджено за вірність"
 tributary_ungrateful_overlord:0 "Невдячний сюзерен"
 tributary_events.1.t:0 "[Root.GetAdjective]а діаспора"
 tributary_events.1.d:0 "Наші взаємини данника з державою [Root.Overlord.GetName], безумовно, дуже вільні, але сюзерен все ще відкриває світ можливостей для обдарованих чиновників і підприємців. Багато хто розглядає місто [Root.Overlord.Capital.GetCapitalName], як найкраще місце для кар'єри, і з кожною відправою данини все більше людей направляється туди, щоби побачити дива [Root.Overlord.GetAdjective]ої столиці.\nХоча спочатку було побоювання, що це буде супроводжуватися витіканням найцінніших людей нашої країни, це дійсно дає нам вплив на ширше коло країн навколо держави [Root.Overlord.GetName]. І ті нечисленні, що повернулися, вертаються з накопиченим цінним досвідом, який ми можемо використати у своїх інтересах."
 tributary_events.1.a:0 "Ми можемо знайти цим людям більш гідне застосування!"
 tributary_events.1.b:0 "Це найкраще для [Root.GetAdjective]их людей."
 tributary_events.2.t:0 "[Root.Overlord.GetAdjective]а сфера впливу"
 tributary_events.2.d:0 "Як частина [Root.Overlord.GetAdjective]ої системи данників, ми поступово стаємо частиною величезного [Root.Overlord.GetAdjective]ого культурного простору. [Root.Overlord.Culture.GetName] мова звучить на вулицях і навіть у коридорах влади міста [Root.Capital.GetCapitalName], і, одночасно з цим, [Root.Overlord.GovernmentName] держави [Root.Overlord.GetName] виказує все більше занепокоєння через зростання нашої країни."
 tributary_events.2.a:0 "Хороший спосіб знайти нових далеких друзів."
 tributary_events.2.b:0 "Наші сусіди будуть вражені."
 tributary_events.3.t:0 "Політична столиця"
 tributary_events.3.d:0 "Могутній захист, який надає [Root.Overlord.GovernmentName] – це допомога не лише від зовнішніх ворогів у військовому сенсі, а і явний та зрозумілий сигнал політичним групам, з яких формується [Root.GovernmentName]. Це також говорить про те, що [Root.Monarch.GetTitle] нашої держави має санкцію, що надає [Root.Overlord.Monarch.GetTitle] [Root.Overlord.GetAdjective]ої держави, і блиск [Root.Overlord.Monarch.GetHerHis] величі відбивається і на нас."
 tributary_events.3.a:0 "Це покладе край дрібній гризні!"
 tributary_events.3.b:0 "Це дозволить нам принести мир нашим підданим."
 tributary_events.4.t:0 "Зростаючий імперський вплив"
 tributary_events.4.d:0 "Хоча не кожна країна заслуговує бути частиною нашої мережі данників, стає все більш очевидним, що наш вплив у цьому регіоні зростає. Навіть у тих країнах, де наша влада практично не відчувається або зовсім відсутня, відчувається необхідність активно позиціонувати себе у відповідності з керівними принципами, які ми встановлюємо для країн у сфері нашого впливу. При багатьох дворах [Root.Culture.GetName] тепер розглядається як мова дипломатії та культури, а [Root.Monarch.GetTitle] нашої держави є визнаним авторитетом для чоловіків і жінок далеко за межами наших кордонів."
 tributary_events.4.a:0 "Ми повинні використати цей шанс для посилення нашого впливу за кордоном."
 tributary_events.4.b:0 "Нумо використаємо це якомога швидше."
 tributary_events.5.t:0 "[tributary_advanced_underling.GetAdjective]а місія данника"
 tributary_events.5.d:0 "З недавньою місією в державі-даннику [tributary_advanced_underling.GetName] ми не тільки отримали цінні дарунки, а й стикнулися з ідеями і технологіями, що відрізняються від наших. Було б розумно запитати, якомога ввічливіше, чи зможуть [tributary_advanced_underling.GetAdjective]і правителі надати нам свої найкращі та найяскравіші уми, щоб ми змогли перейняти їхні методи."
 tributary_events.5.a:0 "[Root.GovernmentName] завжди може використовувати більше євнухів."
 tributary_events.5.b:0 "Створимо квартал прямо в столиці – місті [Root.Capital.GetCapitalName]."
 tributary_events.5.c:0 "[Root.GetAdjective]і люди більше ніж здатні розвиватися самостійно."
 tributary_events.6.t:0 "[Root.Overlord.GetAdjective]і торговці"
 tributary_events.6.d:0 "Зростаюче число делегацій данників до держави [Root.Overlord.GetName] призвело до того, що порт у місті [tributary_trader_port.GetCapitalName] став основним пунктом входу для кораблів нашого сюзерена. Провінція [tributary_trader_port.GetName] також почала приваблювати багатьох [Root.Overlord.GetAdjective]их купців і авантюристів, дозволяючи подальше процвітання регіону.\nБезсумнівно, дехто бачить у цьому прекрасну можливість уникнути пильного контролю [Root.Overlord.GetAdjective]ої митниці та правоохоронних органів. Заохочення цих шукачів фортуни, швидше за все, продовжить економічний бум у провінції [tributary_trader_port.GetName], але це все одно може не відповідати нашим інтересам."
 tributary_events.6.a:0 "Привітаємо цих іммігрантів."
 tributary_events.6.a.tt:0 "Держава [Root.Overlord.GetName] засмутиться, якщо виявить, що ми переховуємо злочинців."
 tributary_events.6.b:0 "Краще уникати будь-яких порушників спокою."
 tributary_events.7.t:0 "Зловживання статусом данника"
 tributary_events.7.d:0 "Нам стало відомо, що [tributary_criminal_country.Monarch.GetTitle] держави [tributary_criminal_country.GetName] переховує велике число злочинців, піратів і злодіїв, надаючи їм безпечний порт, що представляє для нас безпосередній інтерес. Це завдає серйозної шкоди нашим інтересам у регіоні й призвело до втратити обличчя перед іншими данниками та при нашому власному дворі."
 tributary_events.7.a:0 "Негайно вимагати припинення приховування та компенсацію витрат!"
 tributary_events.7.b:0 "Гай-гай! Ми мало що можемо зробити."
 tributary_events.8.t:0 "Злочинні данники"
 tributary_events.8.d:0 "[Root.Overlord.GetAdjective]і чиновники звинувачують нас у наданні притулку економічним злочинцям і перешкоджанню правосуддю. Згідно з [Root.Overlord.GetAdjective]ими твердженнями, ми дозволяємо їм продовжувати свою незаконну діяльність всередині [Root.Overlord.GetAdjective]ої сфери торгівлі. Зараз наш повелитель переходить до придушення цих процесів і направив до нас посольство, вимагаючи від нас заплатити за це."
 tributary_events.8.a:0 "Приберіть злочинців!"
 tributary_events.8.b:0 "Дозвольте декільком оселитися на наших землях назавжди."
 tributary_events.9.t:0 "Керування мережею данників"
 tributary_events.9.d:0 "Ми отримали скарги від Міністерства церемоній про те, що численні делегації данників, що прибувають у столицю [Root.Capital.GetCapitalName], використовують занадто багато наших ресурсів. Прийом іноземних сановників належним чином і навіть турбота про подарунки, які вони приносять, стають все більшим складнішим завданням, і дехто побоюється, що через це наші дипломатичні зусилля постраждають у короткостроковій перспективі."
 tributary_events.9.a:0 "Це ціна, яку ми платимо за вплив."
 tributary_events.9.b:0 "Ми повинні розширити Міністерство церемоній."
 tributary_events.10.t:0 "Інцидент у місті [ningbo_province.GetCapitalName]"
 tributary_events.10.d:0 "Делегація данників – це щось більше, ніж просто подорож для виказання поваги державі [Root.GetTributaryOverlord], – це також шанс поторгувати з державою [Root.GetName]. Здається, прагнучи отримати від цього вигоду, конкуруючі благородні будинки держави [ningbo_country.GetName] звикли посилати свої власні делегації данників до нас із заявами, що вони діють від імені свого правителя, щоби отримати переваги для себе у внутрішній політиці держави [ningbo_country.GetName].\nОднак на цей раз у провінцію [ningbo_province.GetName] прибули одночасно дві такі делегації, через що їхні домашні конфлікти вилилися в кровопролиття."
 tributary_events.10.a:0 "Обмежити торгівлю з державою [ningbo_country.GetName]."
 tributary_events.10.b:0 "Призначити обом фракціям два різних місця збору данини."
 tributary_events.11.t:0 "Інцидент у провінції [ningbo_province.GetCapitalName]"
 tributary_events.11.d:0 "Ми отримали послання від держави [Root.Overlord.GetName] про те, що вони вводять обмеження на зовнішню торгівлю з нашою державою через нашу нездатність контролювати місцеві фракції, які зловмисно використовують місію передачі данини для вирішення своїх дрібних конфліктів. Якщо ми не будемо діяти рішуче, – це, швидше за все, стане проблемою на довгі роки."
 tributary_events.11.a:0 "Дуже прикро."
 tributary_events.11.b:0 "Компенсувати незручності державі [Root.Overlord.GetName]."
 tributary_events.12.t:0 "Данина від держави [ningbo_country.GetName]"
 tributary_events.12.d:0 "Посол держави [ningbo_country.GetName] прибув з величезним подарунком як компенсацією за заподіяні неприємності в провінції [ningbo_province.GetCapitalName]. [ningbo_country.Monarch.GetTitle] суворо покарали своїх непокірних підлеглих і тепер особисто гарантують збереження миру під час передачі данини в майбутньому."
 tributary_events.12.a:0 "Розумний вибір."
 tributary_events.12.a.tt:0 "[Root.GetName] отримає весь річний дохід від держави [ningbo_country.GetName]."
 tributary_events.13.t:0 "Екзотичні товари з країни [exotic_tributary.GetName]"
 tributary_events.13.d:0 "Наш двір у столиці – місті [Root.Capital.GetCapitalName] дивується великій безлічі екзотичних товарів, привезених делегацією данника від держави [exotic_tributary.GetName]. Заповзятливі чиновники і торговці вже розпізнали попит і формують союзи для захоплення ринку. Якщо ми не будемо діяти швидко, то, схоже, напевно сформується мережа контрабандистів, яка поставлятиме екзотичні товари в столицю."
 tributary_events.13.a:0 "Дозволимо, але гарантуйте, що ми отримаємо частку!"
 tributary_events.13.b:0 "Ми повинні негайно ввести суворі правила."
 tributary_events.14.t:0 "Нові можливості для бізнесу"
 tributary_events.14.d:0 "З тих пір, як ми почали сплачувати данину державі [Root.Overlord.GetName], попит на екзотичні товари наших ремісників у столиці [Root.Overlord.Capital.GetCapitalName] зріс у багато разів. Це призвело до зростання невеликої торгової мережі, яка, хоча і не зовсім законно, збагатила багатьох [Root.Overlord.GetAdjective]их чиновників і завзятих [Root.GetAdjective]их торговців.\nВиявивши масштаби операцій [Root.Overlord.Monarch.GetTitle] [Root.Overlord.GetAdjective]ої держави встановили значно суворіші правила, щоб зупинити те, що [Root.Overlord.Monarch.GetSheHe] вважають контрабандою. Однак, там де є попит, важко утримати людей від спроб збагатитися..."
 tributary_events.14.a:0 "[Root.Overlord.Monarch.GetTitle] отримає від нас всю необхідну допомогу і підтримку."
 tributary_events.14.b:0 "Прийшов час підтримати торгівлю, яку веде уряд держави [Root.GetName]."
 tributary_events.15.t:0 "[Root.Overlord.GetAdjective]ий попит"
 tributary_events.15.d:0 "Схоже, що прибуття наших делегацій з даниною до столиці – міста [Root.Overlord.Capital.GetCapitalName] було сприйнято досить прихильно. Екзотичні товари, що привезли наші посланці, призвели до збільшення попиту на [Root.GetAdjective]і товари. Можливо, ця торгівля не зовсім легальна, але [Root.Overlord.GetAdjective]а влада закриває на це очі."
 tributary_events.15.a:0 "Як добре!"
 tributary_events.16.t:0 "Політичні біженці"
 tributary_events.16.d:0 "Після поразки в боротьбі за владу, велика група політичних біженців з [Root.Overlord.GetAdjective]ого уряду почала шукати притулку в нашій державі. Конфлікт виглядає настільки незначним, переможна сторона в державі [Root.Overlord.GetName] не дуже зацікавлена в пошуку своїх утеклих співвітчизників, але вони все одно були би вдячні, якби ми передали біженців їм. З іншого боку, ці чоловіки і жінки володіють деякими здібностями, і, ймовірно, дуже згодилися б нашій державі, якщо б ми дозволили їм залишитися."
 tributary_events.16.a:0 "Ми можемо виділити для них трохи місця..."
 tributary_events.16.b:0 "Відправити їх назад в імперський центр."
 tributary_events.17.t:0 "Євнухи данників"
 tributary_events.17.d:0 "З цьогорічними делегаціями данників до наших лав приєдналося велике число євнухів. Ми зазначили здібності цих молодих людей і після мінімальної підготовки їх було відправлено на довічну службу нашому правителю.\nДеякі будуть служити в нашій адміністрації, тоді як інші можуть навіть піднятися на позиції довірених міністрів або командирів наших армій і флотів."
 tributary_events.17.a:0 "Така відданість є зразковою."
 tributary_events.18.t:0 "Пірати утискають флот данника"
 tributary_events.18.d:0 "Регулярні флоти данників, що привозять скарби із закордону до наших берегів, у деякому сенсі є занадто великою спокусою, щоб не привернути увагу любителів швидкої наживи. Група піратів почала здійснювати напади на делегації данників і отримувати гарний прибуток від безлічі подарунків, призначених для нашого правителя."
 tributary_events.18.a:0 "Виділіть для їхнього захисту додаткові ресурси."
 tributary_events.18.b:0 "Наш флот розправиться з ними!"
 tributary_events.19.t:0 "Винагороджена лояльність"
 tributary_events.19.d:0 "[tributary_loyal.GetName] багато в чому є ідеальною моделлю для держави-данника. Їхні делегації прибувають регулярно, а їхня покора ніколи не піддавалася сумніву.\nНаша система данини дозволяє нам отримувати подарунки та інші знаки поваги від тих, кому ми надали наш захист, але крім обіцянки захистити їх, ми повинні про них дбати й іншими способами. Можливо, прийшов час показати, що відданість буде винагороджено?"
 tributary_events.19.a:0 "[tributary_loyal.Monarch.GetTitle] отримає від нас найкращі подарунки!"
 tributary_events.19.b:0 "На жаль, ми не можемо дозволити собі таку фривольність."
 tributary_events.20.t:0 "Держава [From.GetName] готова полювати на піратів"
 tributary_events.20.d:0 "Незважаючи на те, що вони обіцяли допомогти очистити регіон, зрозуміло, що держава [From.GetName] з часом перетворилася на головний піратський притулок. Ми завжди знали, що вони варвари та навряд чи заслуговують нашої довіри, але [From.Monarch.GetTitle] недавніми діями фактично зблизили наші країни."
 tributary_events.20.a:0 "Нам є з чим працювати."
 tributary_events.21.t:0 "[From.GetName] – піратський притулок"
 tributary_events.21.d:1 "[From.Monarch.GetTitle] держави [From.GetName] вирішили продовжити переховування низки відомих піратів. Коли наші місцеві чиновники зажадали, щоб вони очистили свої порти, [From.Monarch.GetTitle] відмовилися підкоритися."
 tributary_events.21.a:0 "Ми переглянемо їхній статус данника."
 tributary_events.22.t:0 "Нагорода за лояльність"
 tributary_events.22.d:0 "Нам, як старим і вірним данникам, держава [Root.Overlord.GetName] надіслала колосальний подарунок. Це зміцнить нашу внутрішню владу й наповнить по самі вінця нашу скарбницю!"
 tributary_events.22.a:0 "Як добре, що все так вийшло."
 tributary_events.23.t:0 "Шукачі удачі"
 tributary_events.23.d:0 "Хоча щорічні місії данників в [Root.Capital.GetCapitalName] приносять як подарунки, так і цінні торгові можливості, вони також є способом для підприємливих чоловіків і жінок з інших країн досягти [Root.GetAdjective]ого двору. Опинившись тут вони шукають роботу слугами у нашого правителя, у надії на багатше і краще життя."
 tributary_events.23.a:0 "Це земля можливостей."
 tributary_events.24.t:0 "[Root.Overlord.GetAdjective]і шукачі пригод"
 tributary_events.24.d:0 "Сплачуючи данину такому правителеві, як [Root.Overlord.Monarch.GetTitle] держави [Root.Overlord.GetName] ми є частиною сфери [Root.Overlord.GetAdjective]ої торгівлі, і люди можуть вільно подорожувати між нашими країнами. Серед тих, хто користується цією можливістю, є багато шукачів удачі й авантюристів з усього регіону.\nЦі люди мають навички, знання та досвід, на відміну від більшості в нашій державі, і можуть зробити цінний внесок у нашу справу."
 tributary_events.24.a:0 "Ми вітаємо їхнє прибуття."
 tributary_events.25.t:0 "[Root.Overlord.GetAdjective]і фракції втручаються в [Root.GetAdjective]у політику"
 tributary_events.25.d:0 "Ряд впливових родин держави [Root.Overlord.GetName] намагаються скористатися нестачею довіри між нашими державами. Вони сподіваються, що наш уряд і [Root.Monarch.GetTitle] будуть повалені, якщо вони нададуть військову і економічну підтримку опозиції зі своїх кишень!\n[Root.Overlord.Monarch.GetTitle] держави [Root.Overlord.GetName] можливо, може приборкати цих бунтарів, але щоби переконати [Root.Overlord.Monarch.GetHerHim] прислухатися до нас, потрібний справді королівський подарунок."
 tributary_events.25.a:0 "Нас не лякають повстанці."
 tributary_events.25.b:0 "[Root.Overlord.Monarch.GetSheHe] отримає королівський подарунок!"
 tributary_events.26.t:0 "[Root.Overlord.GetName] здійснює набіги"
 tributary_events.26.d:0 "Погоджуючись на те, що [Root.Overlord.GovernmentName] держави [Root.Overlord.GetName] буде отримувати нашу данину, ми також погодилися з тим, що наші кордони залишаться відкритими. Ця обставина обурює мешканців прикордонних районів.\n\nПровінції, що безпосередньо прилягають до орди, ніколи не будуть безпечними, оскільки рейдери можуть з'явитися в будь-який час, щоби вимагати данину у вигляді рабів. Чоловіків і жінок потім продадуть на ринках міста [Root.Overlord.Capital.GetCapitalName]. Наші люди чекають того дня, коли ми зможемо скинути це ярмо, але поки армії держави [Root.Overlord.GetName] наводять на нас жах, нам доведеться терпіти ці набіги."
 tributary_events.26.a:0 "Одного разу ми будемо вільні!"
 tributary_events.27.t:0 "Підтримка [Root.Overlord.GetAdjective]их фракцій"
 tributary_events.27.d:0 "Наша війна проти [other_tributary_country.GetAdjective]ої держави не лишилася непоміченою в державі [Root.Overlord.GetName]. Хоча [Root.Overlord.Monarch.GetTitle] не опуститься до рівня наших дрібних конфліктів, здається, у деяких членів при [Root.Overlord.Monarch.GetHerHis] дворі подібні сумніви відсутні. Впливова лобістська група зацікавлена в нашому успіху й обіцяє нам допомогти.\nЗвичайно, у цьому світі немає нічого безплатного. Натомість вони очікують від нас деяких послуг для просування своїх власних політичних махінацій при дворі держави [Root.Overlord.GetName]."
 tributary_events.27.a:0 "Чудово!"
 tributary_events.27.a.tt:0 "[Root.Overlord.Monarch.HerHis] високість, [Root.Overlord.Monarch.GetTitle] держави [Root.Overlord.GetName], розгнівається."
 tributary_events.27.b:0 "Ми не будемо втручатися в [Root.Overlord.GetAdjective]у політику, яку проводить [Root.Overlord.GovernmentName]."
 tributary_events.28.t:0 "[Root.Overlord.GetAdjective]і групи підтримують [From.GetName]!"
 tributary_events.28.d:0 "Хоча здається, що це й сталося без офіційного дозволу, абсолютно очевидно, що певні зацікавлені [Root.Overlord.GetAdjective]і групи надали допомогу [From.GetAdjective]ій стороні в їхній війні проти нас. Це підло й ми очікували, що [Root.Overlord.GetName] буде краще контролювати своїх суб'єктів!"
 tributary_events.28.a:0 "Жахливо!"
 tributary_events.29.t:0 "[From.GetName] втручається в політику"
