l_english:
#TODO
 #Scripted effects and triggers here should probably be ported into coded triggers and effects for the sake of localization... 

 ME_GENERAL____:0 "§YГенерал§! додатково набуде "
 ME_GENERAL_2___2:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2___3:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__1_:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2__1_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__1_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__1_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__2_:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2__2_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__2_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__2_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__3_:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2__3_1:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__3_2:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2__3_3:0 "§YГенерал§! додатково набуде §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3___:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_3___1:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3___2:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3___3:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__1_:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3__1_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__1_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__1_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__2_:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3__2_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__2_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__2_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__3_:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3__3_1:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__3_2:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3__3_3:0 "§YГенерал§! додатково набуде §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1__:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! "
 ME_GENERAL__1__1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1__2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1__3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_1_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__1_1_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_1_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_1_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_2_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__1_2_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_2_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_2_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_3_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL__1_3_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_3_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL__1_3_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1__:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_1_1__1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1__2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1__3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_1_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_1_1_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_1_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_1_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_2_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_1_2_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_2_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_2_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_3_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_1_1_3_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_3_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_1_1_3_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+1§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1__:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_2_1__1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1__2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1__3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_1_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_1_1_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_1_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_1_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_2_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_1_2_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_2_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_2_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_3_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_2_1_3_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_3_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_2_1_3_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+2§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1__:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! "
 ME_GENERAL_3_1__1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1__2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1__3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_1_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_1_1_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_1_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_1_3:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+1§!£ME_manuever_text_icon£ §Yманевру§! §G+3§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_2_:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! "
 ME_GENERAL_3_1_2_1:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+1§!£ME_siege_text_icon£ §Yоблоги§! "
 ME_GENERAL_3_1_2_2:0 "§YГенерал§! додатково набуде §G+1§!£ME_shock_text_icon£ §Yнатиску§! §G+3§!£ME_fire_text_icon£ §Yвогневої сили§! §G+2§!£ME_manuever_text_icon£ §Yманевру§! §G+2§!£ME_siege_text_icon£ §Yоблоги§! "
