l_ukrainian:
 recover_east_anatolia_title:0 "Повернення Східної Анатолії"
 purple_phoenix.6.d:0 "Рим не завжди був під прямим контролем Імперії, а остаточну незалежність він отримав після коронування Карла Великого Папою Левом III. Проте зараз місто в наших руках, і хоча воно не в найкращому стані, його колишня велич і престиж мають значну вагу."
 purple_phoenix.6.a:0 "Рим, місто де все почалося, знову в наших руках..."
 purple_phoenix.7.t:0 "У Римі відновлено православ'я!"
 purple_phoenix.7.d:0 "Жителі Риму знову сповідують православ'я, але кілька твердолобих папістів ще десь ховаються. І хоча це ще не кінець Великого розколу, авторитет Східної Православної церкви значно виросте."
 purple_phoenix.7.a:0 "Шах і мат, схизматики!" 
 purple_phoenix.8.t:0 "Турків вигнано із Західних Балкан!"
 purple_phoenix.8.d:0 "Сили Османської імперії вигнано із Західних Балкан. Це важливий момент у відновленні нашої Імперії."
 purple_phoenix.8.a:0 "Відродження Фенікса!"
 purple_phoenix.9.t:0 "Турків вигнано зі Східних Балкан!"
 purple_phoenix.9.d:0 "Сили Османської імперії вигнано зі Східних Балкан. Після стількох років кордони Константинополя у безпеці!"
 purple_phoenix.9.a:0 "Відродження Фенікса!"
 purple_phoenix.10.t:0 "Турків вигнано з Анатолії!"
 purple_phoenix.10.d:0 "Сили Османської імперії вигнано з Анатолії, де колись було зосередження їхньої влади. З Анатолією наше процвітання забезпечене!"
 purple_phoenix.10.a:0 "Відродження Фенікса!"
 recent_BYZ_factions:0 "Активізація фракцій"
 purple_phoenix.11.t:0 "Вплив фракцій на правителя"
 purple_phoenix.11.d:0 "При Імперському дворі найбільш впливовою є фракція генералів. Тепер вся увага Імператора приділена потребам армії."
 purple_phoenix.11.a:0 "Треба завербувати ще більше солдат!"
 purple_phoenix.12.t:0 "Вплив фракцій на правителя"
 purple_phoenix.12.d:0 "Останнім часом фракція генералів знаходиться в опалі, тому інші фракції використовують цю можливість для скорочення військових витрат."
 purple_phoenix.12.a:0 "Чи дадуть вони здачі?"
 purple_phoenix.13.t:0 "Вплив фракцій на правителя"
 purple_phoenix.13.d:0 "При Імперському дворі найбільш впливовою є фракція дипломатів. Тепер наші справи доведеться вирішувати мирним шляхом."
 purple_phoenix.13.a:0 "Насильство ніколи не доводило до добра"
 purple_phoenix.14.t:0 "Вплив фракцій на правителя"
 purple_phoenix.14.d:0 "Останнім часом дипломатична фракція знаходиться в опалі, тому інші фракції спробують зруйнувати їхні починання."
 purple_phoenix.14.a:0 "Все життя – боротьба!"
 purple_phoenix.15.t:0 "Вплив фракцій на правителя"
 purple_phoenix.15.d:0 "В Імператорському дворі фракція бюрократів раптом отримала значний вплив, а це неминуче приведе до розширення бюрократичного апарату Імперії."
 purple_phoenix.15.a:0 "Імперія на папері"
 purple_phoenix.16.t:0 "Вплив фракцій на правителя"
 purple_phoenix.16.d:0 "Останнім часом фракція бюрократів знаходиться в опалі, а решта фракцій вимагає скорочення витрат на фінансування адміністрації."
 purple_phoenix.16.a:0 "А хто збиратиме податки?"
 triumph_greece_title:0 "Тріумф у Греції"
 triumph_greece_desc:0 "Повністю завоювавши Грецію, ми повинні вшанувати відвагу наших воїнів і генералів, пройшовши тріумфальним маршем вулицями нашої столиці. Ця традиція сягає ще часів Давнього Риму. Нею не користувалися багато років, але як відроджується Фенікс, так відродиться й ця традиція."
 triumph_balkans_title:0 "Тріумф на Балканах"
 triumph_balkans_desc:0 "Повністю відвоювавши Балкани, ми повинні вшанувати пам'ять полеглих воїнів і генералів, пройшовши тріумфальним маршем вулицями нашої столиці. На щастя тепер вона захищена від усіх європейських загроз."
 triumph_asia_title:0 "Тріумф на узбережжі Малої Азії"
 triumph_asia_desc:0 "Зараз узбережжя Малої Азії в безпеці, столиця захищена від азійської загрози. Солдати заслужили урочистості на вулицях, а генерали – відзнаки."
 triumph_anatolia_title:0 "Тріумф в Анатолії"
 triumph_anatolia_desc:0 "Солдати й генерали, які знову відвоювали Анатолію, заслуговують найвищих почестей!"
 triumph_italy_title:0 "Тріумф в Італії"
 triumph_italy_desc:0 "Наші генерали перевершили самого Велізарія, повернувши Італію в лоно Імперії. Найбільшого тріумфу наша Імперія ще не бачила!" 

