l_ukrainian:
 ONE_TIME_COST:0 "Одноразова виплата"
 PATRIARCH_DESCRIPTION:1 "Авторитет патріарха відображає рівень впливу православної церкви на країну. У православних провінціях високий авторитет патріарха зменшує ризик повстання і збільшує число рекрутів."
 EFFECTIVE_INCOME_EXPL:0 "Це збільшить щомісячний дохід з провінції на §Y$VAL$§!¤"
 EFFECTIVE_INCOME_EXPL_YEARLY:0 "Це збільшить річний дохід з провінції на §Y$VAL$§!¤"
 EFFECTIVE_MANPOWER_EXPL:0 "Це збільшить число рекрутів провінції на §Y$VAL$§!."
 EFFECTIVE_MANPOWER_NOGAIN:0 "§RНа даний момент ця будівля не збільшує число рекрутів, оскільки ефективність приросту рекрутів надто низька.§!"
 OTHER_KNOWN_PATROL:0 "Неподалік розташовано щонайменше §Y$NUM$§! інших флотів."
 SIEGE_TO_FEW_MEN:0 "Занадто мало військ для облоги провінції"
 CANCEL_MISSION_DESC:0 "Якщо ви скасуєте поточне завдання, то ви не зможете отримати нове до §Y$DATE$§W."
 CONFIRMCANCELMISSION:0 "Скасувати завдання"
 CONFIRMCANCELMISSION_TEXT:0 "Ви впевнені, що хочете скасувати завдання?"
 WAR_SCORE_99_DESC:0 "Це можливо тільки при 100% перемозі. Переможці повинні контролювати всі провінції ворога, а він не повинен контролювати жодної."
 WAR_OVERVIEW_ENEMY_TROOPS_LOST:1 "Загальні втрати ворога: $NUM|Y$ бойових одиниць."
 WAR_OVERVIEW_ENEMY_TROOPS_ATTRIT:0 "Втрати у війську ворога через виснаження: $NUM|Y$ смертей."
 WAR_OVERVIEW_ENEMY_SHIPS_LOST:0 "Втрати ворога: $NUM|Y$ кораблів."
 WAR_OVERVIEW_OUR_TROOPS_LOST:1 "Загальні втрати з нашого боку: $NUM|Y$ бойових одиниць."
 WAR_OVERVIEW_OUR_TROOPS_ATTRIT:0 "Втрати у нашому війську через виснаження: $NUM|Y$ смертей."
 WAR_OVERVIEW_OUR_SHIPS_LOST:0 "Втрати з нашого боку: $NUM|Y$ кораблів."
 WAR_OVERVIEW_ENEMY_CAVALRY:0 "Ворог має $NUM|Y$ кавалерії."
 WAR_OVERVIEW_WE_CAVALRY:0 "На нашій стороні $NUM|Y$ кавалерії."
 WAR_OVERVIEW_ENEMY_INFANTRY:0 "Ворог має $NUM|Y$ піхоти."
 WAR_OVERVIEW_WE_INFANTRY:0 "На нашій стороні $NUM|Y$ піхоти."
 WAR_OVERVIEW_ENEMY_ARTILLERY:0 "Ворог має $NUM|Y$ артилерії."
 WAR_OVERVIEW_WE_ARTILLERY:0 "На нашій стороні $NUM|Y$ артилерії."
 WAR_OVERVIEW_ENEMY_TRANSPORT:0 "Ворог має $NUM|Y$ транспортних кораблів."
 WAR_OVERVIEW_WE_TRANSPORT:0 "На нашій стороні $NUM|Y$ транспортних кораблів."
 WAR_OVERVIEW_ENEMY_GALLEY:0 "Ворог має $NUM|Y$ галер."
 WAR_OVERVIEW_WE_GALLEY:0 "На нашій стороні $NUM|Y$ галер."
 WAR_OVERVIEW_ENEMY_LIGHTSHIPS:0 "Ворог має $NUM|Y$ легких кораблів."
 WAR_OVERVIEW_WE_LIGHTSHIPS:0 "На нашій стороні $NUM|Y$ легких кораблів."
 WAR_OVERVIEW_ENEMY_BIGSHIPS:0 "Ворог має $NUM|Y$ важких кораблів."
 WAR_OVERVIEW_WE_BIGSHIPS:0 "На нашій стороні $NUM|Y$ важких кораблів."
 WAR_OVERVIEW_BATTLESCORE:0 "Битва змінила воєнний рахунок на $SCORE$."
 WAR_SCORE_BATTLE_OF:0 "Битва §Y$NAME$§!: $VAL$"
 WAR_OVERVIEW_BATTLE_VS:0 "$NUM1|Y$ полків @$TAG1$ої держави атакували $NUM2|Y$ полків @$TAG2$ої держави"
 WAR_OVERVIEW_BATTLE_VS_N:0 "$ATT$ий флот кількістю $NUM1|Y$ кораблів атакував $DEF2$ий флот кількістю $NUM2|Y$ кораблів."
 WAR_OVERVIEW_BATTLE_VS_L:0 "$NUM1|Y$ $TAG1$их солдат напали на $NUM2|Y$ $TAG2$их солдат."
 WAR_OVERVIEW_WARENTHUSIASM:1 "Їхній військовий ентузіазм: $VAL$ ($DESC$)."
 WAR_OVERVIEW_WAREXHAUSTION:1 "Втома від війни: $NUM$."
 WAR_OVERVIEW_STABILITY:1 "Поточна стабільність: $NUM$."
 WAR_OVERVIEW_BLOCKADEPERCENT:1 "Відсоток блокади: $NUM$."
 WAR_OVERVIEW_PARTICIPATION:1 "Рахунок їхнього внеску – $NUM$ ($NUM2$)."
 WAR_OVERVIEW_MP_HIDDEN:0 "В мережевій грі ця інформація прихована!"
 PARTICIPATION_DESC:1 "Рахунок внеску визначає наскільки активно дана держава брала участь у війні. Він збільшується від участі у битвах, облогах та блокадах."
 BLOCKADE_DESC:1 "Блокада портів знижує дохід від морської торгівлі для заблокованої держави."
 WARENTHUSIASM_DESC:1 "Бажання держави продовжувати війну. Низький військовий ентузіазм означає, що вони схильні погодитися на мир."
 PROVINCE_VIEW_TRADEGOODS_PRODUCTION:0 "Виготовлено $NUM|Y$ із загальної кількості зроблених товарів $TOTAL|Y$ одиниць."
 CONFIRMDOF:0 "Заявити права на титул Захисника Віри!"
 CONFIRMDOFDESC:0 "Ви впевнені, що хочете заявити права на титул Захисника Віри?"
 SUPPORTED_RELATIONS:0 "Дипломатичні зв'язки"
 SUPPORTED_RELATIONS_NONE:0 "Немає дипломатичних зв'язків."
 MAX_RELATIONS:0 "Ви можете мати $VALUE$ дипло стосунків без штрафу, завдяки:"
 GUARANTEEING:0 "Гарант"
 LEADING_UNION:0 "Лідер унії"
 LEADING_VASSAL:0 "Сюзерен васала"
 LEADING_SUBJECTTYPE:0 "Сюзерен васала $SUBJECTTYPE$"
 LEADING_MARCH:0 "Сюзерен марки"
 TRANSFERS_TRADE_POWER:0 "Передає торгову силу"
 RECEIVING_TRADE_POWER:0 "Отримує торгову силу від"
 MERCENARY_CANT_BUILD_COLONY:0 "Не можна наймати найманців у колоніальних провінціях"
 MERCENARY_CANT_BUILD_NO_FREE_MERC:0 "Немає доступних найманців для найму."
 MERCENARY_CANT_BUILD_OVERSEAS:0 "§RНе можна наймати найманців у заморських провінціях.§!"
 MERCENARIES_BUILD_TIME_REDUCTION:0 "Час вербування найманців скоротився на $NUM|Y%1$."
 BUILD_COST_MILTACTICS:0 "Воєнна тактика збільшує вартість вербування на $NUM|Y$"
 BUILD_COST_NAVAL_OVERFORCELIMIT:0 "Після перевищення ліміту військ, їхня вартість збільшується на $NUM|Y$"
 NAVY_COMBAT_TOOLTIP:0 "$NAME|Y$ – §Y'$TYPE$'§!.\nМораль дорівнює §Y$MORALE|1$%§! від максимального значення, їхня боєздатність дорівнює $STRENGTH|Y$."
 NAVY_COMBAT_TOOLTIP_LASTENGAGED:0 "Останній ворожий корабель, з яким був бій – $ENEMY|R$."
 NAVY_COMBAT_TOOLTIP_NOENGAGED:0 "Цей корабель не було задіяно в атаці у попередньому раунді."
 NAVY_COMBAT_TOOLTIP_DISENGAGED:0 "§YЦей корабель вийшов зі з'єднання та повернеться до флоту після закінчення битви.§!"
 NAVY_COMBAT_TOOLTIP_DEMORALIZED:0 "§YЦей корабель деморалізований і зараз буде намагатися вийти зі з'єднання.§!"
 LAND_COMBAT_TOOLTIP_LASTENGAGED:0 "Останній ворожий полк, з яким був бій – $ENEMY|R$."
 HOTJOIN_LABEL:0 "Швидке приєднання: "
 PREPARING_AFTER_HOTJOIN:0 "Підготовка до гри після швидкого приєднання."
 GAME_RESUME_IN:0 "Гра продовжиться через $VALUE$ секунд."
 SERVER_HOTJOIN:0 "сервер готовий до швидкого підключення."
 WAITING_FOR_HOTJOINING_PLAYER:1 "Очікування гравців швидкого приєднання..."
 CREATING_SAVEGAME:0 "Створення файлу збереження для відправлення."
 PLAYER_ENTERING_GAME:0 "Гравці швидкого приєднання заходять у гру."
 SENDING_SAVEGAME:0 "Відправлення файлу збереження гравцеві $NAME|Y$."
 SAVE_TRANSFER_COMPLETE:0 "Гравець $NAME|Y$ отримав файл збереження."
 CURRENTLY_ASSIGNED_TO:0 "Зараз призначений командувачем $NAME|Y$ у провінції $WHERE|Y$."
 NOT_CURRENTLY_ASSIGNED:0 "Цього командувача не призначено керувати армією."
 UNIT_VIEW_CHOOSE_LEADER_RETREAT:0 "Не можна вибрати командувача, тому що армія відступає!"
 UNIT_VIEW_CHOOSE_LEADER_COMBAT:0 "Не можна вибрати командувача, тому що армія в бою!"
 UNIT_VIEW_CHOOSE_LEADER_PORT:0 "Не можна вибрати командувача, тому що флот не в порту!"
 UNIT_VIEW_CHOOSE_LEADER_LOADED:0 "Не можна вибрати командувача, тому що на корабель завантажено армію!"
 UNIT_VIEW_CHOOSE_LEADER_ENEMY:0 "Не можна вибрати командувача, тому що армія на ворожих землях!"
 UNIT_VIEW_CHOOSE_LEADER_MERCENARY_COMPANY:0 "Це ватага найманців. Вони самі обирають свого лідера."
 UNIT_VIEW_CHOOSE_LEADER_CONDOTTIERI:0 "Неможливо призначити нового командувача, позаяк цей підрозділ у наймах в якості кондотьєрі!"
 CANNOT_ASSIGN_MONARCH_CONDOTTIERI:0 "Ви не можете призначити монарха, або спадкоємця на чолі підрозділу кондотьєрі."
 COMBATEND_UNIT_START:0 "На початку бою: $NUM|Y$."
 COMBATEND_UNIT_LOST:0 "Втрачено: $NUM|Y$."
 COMBATEND_UNIT_END:0 "$NUM|Y$ залишилося в живих після бою."
 COMBATEND_CAPTURED_SHIPS:0 "$NUM|Y$ кораблів було захоплено в сторони, що зазнала поразки!"
 NOCOLONISENONCITYADJACENT:1 "Ви можете колонізувати лише ті провінції, які суміжні з однією з ваших власних провінцій (не колонії) або які є прибережними провінціями."
 ADMIRAL_NO_NAVAL_FORCE_LIMIT:0 "Ліміт флоту становить §Y0§!, а щоб найняти адмірала необхідний позитивний ліміт!"
 LAG_BEHIND_HEADER:0 "$NAME$ відстає!"
 LAG_BEHIND_TEXT:0 "Швидкість гри було знижено, щоб дозволити йому/їй наздогнати інших."
 ECONOMY_ADVISOR_COST:0 "($SKILL|Y$) $NAME$ $COST|Y2$¤"
 ECONOMY_ADVISOR_NO_COST:0 "Немає найнятих радників!"
 ECONOMY_ADVISOR_COST_MODIFIER:0 "Плата радникам змінюється завдяки таким факторам:"
 ECONOMY_ADVISOR_COST_MODIFIER_YEAR:0 "Поточний рік: +$VAL|%1Y$ (щороку +$YEARLY|Y2$)"
 ECONOMY_ADVISOR_COST_CULTURE:0 "Для будь-яких радників одної з правителем культури:\n"
 SEND_GIFT_NOAMOUNT:0 "Сума подарунка не може становити $VAL|Y0$¤!"
 ECONOMY_LOAN_DESC:0 "У нас $AMOUNT|Y$ позик, ми виплачуємо відсотки в розмірі $INTEREST|Y$¤ щомісяця. Наступну позику необхідно повернути до $DATE|Y$."
 ECONOMY_NO_LOANS:0 "У нас немає позик."
 alert_max_loans_instant:0 "§YВи досягли максимальної кількості дозволених позик§!"
 alert_max_loans_delayed:0 ""
 BOOST_FACTION_TT:0 "Витратити §Y$POW$§! $TYPE$ сили для отримання §G+$VAL$§! впливу на $FACTION$."
 PAPAL_STATE_NO_INFLUENCE:0 "Папа не може отримати папський вплив чи контролювати кардиналів, але натомість має шанс контролювати Курію, який залежить від загальної кількості кардиналів."
 EXPENSEDIPLOMATIC:0 "Дипломатичні витрати"
 NO_EXPENSESUPPORTREBELS:0 "У нас немає жодних витрат на підтримку повстанців."
 WAR_OVERVIEW_NOT_FULL_ALLY:0 "Державі §Y$COUNTRY$§! не було оголошено війну, як співучаснику, тому анексія їхніх провінцій коштуватиме вдвічі більше."
 WAR_OVERVIEW_LEADER_NOT_DEMAND:0 "Лідер не може вимагати миру"
 WAR_OVERVIEW_LEADER_NOT_DEMAND_DESC:0 "Лідер альянсу НЕ може вимагати провінції для нас у мирному договорі, або віддавати наші."
 WAR_OVERVIEW_NO_PEACE:0 "Ми не можемо вести переговори про сепаратний мир з державою $COUNTRY$."
 WAR_OVERVIEW_LEADER_DEMAND:0 "Лідер може вести переговори"
 WAR_OVERVIEW_LEADER_DEMAND_DESC:0 "Лідер альянсу може вимагати провінції для нас у мирному договорі, або віддавати наші."
 BLOCKADE:0 "У блокаді"
 WAR_OVERVIEW_IS_LEADER_DESC:0 "$WHO$ є воєнним лідером і може вести переговори від імені всього альянсу."
 SORT_BY_WAR_CAPACITY:1 "Сортування за воєнним ентузіазмом"
 SORT_BY_WAR_EXHAUSTION:1 "Сортування за втомою від війни"
 SORT_BY_STABILITY:1 "Сортування за стабільністю"
 SORT_BY_BLOCKADE:1 "Сортування за відсотками блокад"
 SORT_BY_PARTICIPATION:1 "Сортувати за рахунком внеску"
 WAR_OVERVIEW_TICKING_WARSCORE:0 "Оскільки цю війну було оголошено без Casus Belli, приросту воєнного рахунку немає."
 WAR_OVERVIEW_TICKING_WARSCORE_WG:0 "Ваш поточний приріст воєнного рахунку: $SCORE$.\nВи можете збільшити воєнний рахунок на $MORE$, якщо захопите ціль війни."
 WAR_OVERVIEW_TICKING_WARSCORE_MAX:0 "Ви здобули максимальний воєнний рахунок: $MAXSCORE$."
 natives_american_inuit:0 "Інуїти"
 WG_ALLOW_TRADE_POWER:0 "Перенаправлення $AMOUNT|Y%1$ торгової сили"
 TRANSFER_TRADE_POWER_TO_DESC:0 "Держава $FROM$ перенаправлятиме $AMOUNT|Y%1$ торгової сили державі $TO$. Це триватиме до закінчення перемир'я."
 WOULD_CANCEL_TRANSFERING_TO_OTHER:1 "§Y\nВони також скасують свою передачу впливу державі $WHO$.§!"
 WOULD_LEAVE_TRADE_LEAGUE:0 "§R\nЦе змусить їх залишити Торгову лігу, очолювану державою $LEADER$.§!"
 TRANSFER_OTHERS_TRADE_POWER_TO_DESC:0 "Держава $FROM$ більше не передаватиме торгову силу державі $ORG$. Замість цього, вони передаватимуть §Y$AMOUNT|Y%1$§! своєї торгової сили державі $TO$ у торгових вузлах, де обидві мають силу. Це діятиме протягом усього перемир'я."
 HUMILIATE_PEACE_DESC:0 "$FROM$ втратить $AMOUNT|0Y$ престижу, а $TO$ отримає $POWER|0Y$ балів кожної сили монарха."
 HUMILIATE_RIVAL_PEACE_DESC:0 "Державу $FROM$ буде принижено."
 PEACE_TRANSFER_TRADE_POWER:0 "Перенаправлення торгової сили"
 PEACE_TRANSFER_OTHERS_TRADE_POWER:0 "Перенаправлення $WHOS$ої торгової сили"
 PEACE_SHOW_STRENGTH:0 "Показати силу"
 PEACE_HUMILIATE:0 "Принизити"
 INFLATION_DESC:0 "Інфляція збільшується від високого (відносно решти доходів) рівня золотовидобування, або від взятих позик."
 INLAND_SEA_DESC:1 "Це внутрішнє море. В ході бойових дій галери тут будуть ефективнішими, завдаючи на 100% більше шкоди в бою проти інших кораблів не-галер."
 SIEGE_ATTACKER_INFANTRY_DESC:0 "Атакувальник має $NUM|Y$ піхоти."
 SIEGE_ATTACKER_CAVALRY_DESC:0 "Атакувальник має $NUM|Y$ кавалерії."
 SIEGE_ATTACKER_ARTILLERY_DESC:0 "Атакувальник має $NUM|Y$ артилерії."
 SIEGE_TIME_DESC:0 "'$NAME|Y$' триває вже $NUM|Y$ днів."
 SEARCH_FIELD_TEXT:0 "Шукати тут…"
 MANAGE:0 "Керувати"
 SORT_BY_TAX:0 "Сортувати за податками"
 SORT_BY_DEVELOPMENT:0 "Сортувати за розвитком"
 SORT_BY_CULTURE:0 "Сортувати за культурою"
 SORT_BY_PRIMARY_CULTURE_GROUP:0 "Сортувати за основною культурною групою."
 BUTTON_EMBRACE:0 "Запровадити"
 INSTI_NOT_ACTIVE:0 "$NAME|Y$ ще не винайдено."
 INSTI_PRIMITIVE_CANNOT_EMBRACE_RELIGION:0 "Примітивні держави повинні реформувати свою релігію, щоб впровадити інституції."
 INSTI_PRIMITIVE_CANNOT_EMBRACE_GOVERNMENT:0 "Примітивні держави повинні реформувати свій уряд, щоб запровадити інституції."
 INSTI_TOO_EXPENSIVE:1 "Ми не можемо собі дозволити запровадити $NAME|Y$, оскільки це коштуватиме $COST|Y$¤, ми ж маємо лише $CASH|Y$¤"
 INSTI_NOT_ENOUGH_HOLD:0 "Інституція $NAME|Y$ ще не достатньо розповсюджена у нашій державі для повного її запровадження. Її повинні прийняти щонайменше $NEED|Y$ відсотків від нашого розвитку, з урахуванням автономії. На разі ж її прийняло $CURR|Y$ відсотків."
 EMBRACE_INSTI_COST:2 "Запровадження інституції $NAME|Y$ коштуватиме $COST|Y$¤."
 MANAGE_OVEREXTENSION:0 "Керування надрозширенням"
 EMPEROR_DIPACTIONS_DESC:0 "\nІмператор має доступ до таких дипломатичних дій: \n$LIST|Y$"
 PAPAL_CONTROLLER_DIPACTIONS_DESC:0 "Державі, яка контролює Папу Римського, доступні такі дипломатичні дії: \n$LIST|Y$"
 PAPACY_NEXT_CARDINALS:0 "§YІмовірні наступні кардинали§W"
 UNIT_UNLOCKED_AT_TECH:0 "$UNIT|Y$ можна буде використовувати після дослідження технології $TECH$ ($LEVEL$)."
 UNIT_REORG_TRANSFER:0 "Клацніть, щоб перемістити всі полки цього типу.\nКлацніть ПКМ, щоб перемістити половину полків цього типу."
 CONDITION:0 "Стан"
 SORT_BY_CONDITION:0 "Сортувати за станом"
 AVAILABLE_AT_MILTECH:0 "Доступно при $LEVEL$ рівні військових технологій"
 MP_NOT_IN_SYNC:0 "Зв'язок з гравцем §Y$PLAYER$§! відсутній, попросіть його/її пере-підключитися!"
 RELIGION_GROUP_NOT_DOF:0 "$RELIGION|Y$ належить до релігійної групи $GROUP|Y$ і не передбачає титул Захисника Віри!"
 MAPMODE_TERRAIN_DESC:0 "Відображає рельєф. Такий тип відображення важливий при визначенні місцевості, на якій ви плануєте вступити в бій. Штрихуванням позначено провінції, що захоплено іншими державами."
 MAPMODE_POLITICAL_DESC:0 "Кожній державі в цьому режимі відведено відповідний колір. Штрихуванням позначено провінції, що захоплено іншими державами."
 MAPMODE_RELIGION_DESC:0 "Відображає релігійні групи на карті. Заштриховані провінції мають релігію відмінну від державної."
 MAPMODE_EMPIRE_DESC:0 "Відображає провінції, які є частиною Священної Римської Імперії.\nБагряним позначені землі, що належать імператорові, коричневим – землі курфюрстів, синім позначені Вільні міста. Зеленим позначено інші землі, в складі СРІ. \nЖовтими штрихами позначено провінції, що входять до Імперії, проте їхні володарі – ні. \nПомаранчевими штрихами позначено провінції, які є частиною Імперії, але їхній сюзерен не перебуває у складі СРІ.\n"
 MAPMODE_TRADE_DESC:0 "Показує до якого торгового вузла відноситься та чи інша провінція. Шахівницею позначено провінції, що перебувають поза радіусом торгівлі."
 MAPMODE_DIPLOMACY_DESC:0 "Зафарбовує провінції відповідно до відношення їхнього власника до обраної держави. Штрихування показує, що обрана держава вважає дану провінцію національною."
