l_ukrainian:
 LIBERTY_DESIRE_CURRENT:0 "Бажання свободи: §Y$VAL$%§!"
 SUBJECT_INCOME:0 "§Y$NAME$§! щомісяця платить нам §Y$VAL$§!¤."
 SUBJECT_INCOME_DESC:0 "Ваші $TYPES$ мусять передавати вам $VALUE|Y$ своїх щомісячних податків."
 SUBJECT_NO_INCOME_DESC:0 "$TYPES$ не платять нам податки."
 SUBJECT_DISLOYAL_INCOME_DESC:0 "Непокірні васали відмовлятимуться платити нам податки та мито."
 SUBJECT_ARMY_SIZE:0 "Наш васал має §Y$NUM$§! полків. У нашій армії є §Y$LORD_NUM$§! полків."
 SUBJECT_ARMY_SIZE_DESC:0 "Васал, який має більшу армію ніж його сюзерен, більш схильний до повстання."
 SUBJECT_TP_FROM_PROT:0 "Передає таку кількість §Yторгової сили§! у вказаних вузлах."
 UNION_BREAK_OPINION:0 "Унія розірветься, якщо думка молодшого партнера про свого сюзерена буде менше §Y$LIMIT$§! (Поточне значення: $CURRENT$)."
 UNION_BREAK_PRESTIGE:0 "Унія розірветься, якщо престиж старшого партнера буде менше §Y$LIMIT$§! (Поточне значення: $CURRENT$)."
 PROTECTORATE_LEAD:0 "Протектором держави є $LIST$"
 PROTECTORATE_WEAK:0 "Є протекторатом держави $LIST$"
 HEADER_SUBJECTS:0 "Суб'єкти"
 HEADER_ESTATES:0 "Стани"
 HEADER_NATIVES:0 "Тубільці"
 HEADER_RELIGIOUS_REFORMS:0 "Релігійні реформи"
 NO_CURR_SUBJECTS_TT:0 "У вас немає підлеглих націй."
 ideas_invested:0 "Ідеї"
 FATHER_TIME_ON_TECH:0 "Приріст з часом: $VAL$\n"
 MIGRATE:0 "Міграція"
 MIGRATE_DESC:0 "При міграції $COUNTRY$ втратить контроль над провінцією $PROVINCE$. Вона займе вибрану сусідню провінцію. $COUNTRY$ також збільшить приріст балів монарха, коли мігруватиме."
 native_council:0 "Рада племені"
 native_council_desc:0 "Одне або кілька племен знаходяться під керуванням радою спадкових посад. Її члени ухвалюють одностайні постанови після тривалих дискусій. Хоча вони й обирають вождя, він виконує лише представницьку функцію."
 native_council_legacy:0 "Рада племені"
 native_council_legacy_desc:0 "Одне або кілька племен знаходяться під керуванням радою спадкових посад. Її члени ухвалюють одностайні постанови після тривалих дискусій. Хоча вони й обирають вождя, він виконує лише представницьку функцію."
 native_council_ruler:0 "Вождь"
 native_council_ruler_female:0 "Вождь"
 st_lawrence:0 "Затока Св. Лаврентія"
 laplata:0 "Ла-Плата"
 ACCESS_DEPEND:0 "Вам не потрібно просити право на прохід військ, якщо ваші стосунки достатньо близькі, або ви маєте спільного сюзерена."
 ACCESS_OVERLORDS_OVERLORD:0 "Сюзерену сюзерена держави не потрібно питати право на прохід військ."
 DIPLO_COLONY_NATION:0 "Колоніальна автономія: "
 COLONINAL_NATION_GROWTH_IMPACT:0 "Колоніальна автономія: §Rx$VAL$§!\n"
 merchant_republic_size:0 "Завелика торгова республіка"
 NATIVES_CANT_FABRICATE:0 "Тубільці не можуть фабрикувати претензії.\n"
 WEST_REASON_NATIVE:0 "Спочатку вам необхідно реформувати форму правління."
 WEST_REASON_RELIGION_REFORM:0 "Для початку вам треба реформувати релігію."
 REFORM_RELIGION_EXPL:1 "Реформувати нашу релігію та суспільство, перейнявши досвід у держави §Y$WHO$§!, що підніме рівень технологій до §Y$LVL$§! в усіх категоріях та запровадить $NUM|Y$ інституцій."
 REFORM_RELIGION_EXPL_DET_2:0 "Ми зможемо реформувати свою релігію та суспільство лише якщо проведемо всі релігійні реформи та або межуватимемо з європейською державою, АБО досягнемо $NEEDED|Y$ рівня технологій."
 REFORM_RELIGION_NO_SPONSOR_EXPL:0 "Реформувати нашу релігію та суспільство, використавши наші технологічні напрацювання. Це змінить наш уряд на більш сучасний та дасть нам на допомогу інституції."
 REFORM_NATIVE_EXPL:1 "Реформуватися до §Y$GOV$§!, ми отримаємо §Y$LVL$§! рівень технологій в усіх категоріях від держави §Y$WHO$§! та запровадить $NUM|Y$ інституцій."
 REFORM_NATIVE_EXPL_DET_2:0 "Ми можемо реформувати раду племені в більш досконалу форму правління, якщо ми запровадимо всі тубільні досягнення та або межуватимемо з європейською державою, АБО досягнемо $NEEDED|Y$ рівня технологій."
 REFORM_NATIVE_NO_SPONSOR_EXPL:0 "Реформувати нашу державу, використавши наші розуміння технологій. Це змінить наш уряд на більш сучасний та дозволить прийняти європейський стиль життя."
 GOTTA_CATCH_THEM_ALL:0 "§R- Необхідні всі тубільні досягнення.§!\n"
 GOTTA_CATCH_THEM_ALL_REFORMS:0 "§R- Необхідно провести всі релігійні реформи.§!\n"
 NEED_HELP_FOR_REFORM:1 "§R- Нам необхідно межувати з національною провінцією держави, яка запровадила бодай якісь інституції.§!\n"
 NATIVE_CHANGE_GOVERNMENT:0 "Реформувати уряд"
 MIGRATE_REASON_GOVERNMENT:0 "$NAME$ не може мігрувати."
 MIGRATE_REASON_OPM:0 "Для міграції необхідно володіти не більш ніж однією провінцією."
 MIGRATE_REASON_WAR:0 "Міграція неможлива в умовах війни."
 MIGRATE_REASON_COOLDOWN:0 "Наступна міграція стане можливою $DATE|Y$."
 MIGRATE_COOLDOWN:0 "$COUNTRY$ зможе мігрувати через $DAYS|Y$ дн. ($DATE|Y$)"
 MIGRATE_POSSIBLE_BUTTON_DESC:0 "Клацніть, щоб відкрити екран міграції."
 MIGRATE_TO_DESC:0 "$COUNTRY$ мігрує в провінцію $NEWPROV$ і втратить контроль над провінцією $OLDPROV$. $COUNTRY$ отримає $ADM$£adm£, $DIP$£dip£ і $MIL$£mil£ від міграції. $COUNTRY$ зможе мігрувати знову тільки $DATE$."
 alert_can_migrate_instant:0 "§YМіграція можлива.§!"
 alert_can_migrate_delayed:0 "Можлива міграція в сусідню провінцію."
 alert_religious_reform_instant:0 "§YВи можете провести релігійну реформу.§!"
 alert_religious_reform_delayed:0 "$LIST$"
 alert_can_upgrade_government_instant:0 "§YВам доступний уряд вищого рівня.§!"
 alert_can_upgrade_government_delayed:0 "Уряд вищого рівня дасть нам значні переваги."
 alert_native_advancement_instant:0 "§YВи можете дослідити індіанську ідею.§!"
 alert_native_advancement_delayed:0 "$LIST$"
 alert_federation_drop_instant:0 "§YВас скоро виженуть з федерації.§!"
 alert_federation_drop_delayed:0 "$LIST$\nВас виженуть із федерації, якщо її лідер матиме про вас негативну думку."
 alert_high_liberty_desire_instant:0 "§YЩонайменше один з ваших суб'єктів має високе бажання свободи.§!"
 alert_high_liberty_desire_delayed:0 "$LIST$\nЯкщо бажання свободи одного з ваших суб'єктів більше $LIMIT|Y0$, він вийде з покори і може оголосити війну за незалежність."
 WHO_LIBERTY_DESIRE:0 "§Y$WHO|Y$е§! бажання свободи: $VAL|Y$"
 FEDERATION_NEEDS_GOOD_OPINION:0 "Лідер федерації повинен мати позитивну думку про нового члена."
 MIGRATE_REASON_NOT_NEIGHBOR:0 "Не сусідня провінція."
 MIGRATE_REASON_NOT_DISCOVERED:0 "Неможливо мігрувати у провінцію, яку ви ще не відкрили."
 MIGRATE_REASON_NO_PROVINCES:0 "Ви не межуєте з жодною провінцією, доступною для міграції."
 MIGRATE_REASON_OWNED:0 "$PROVINCE$ у володінні держави $COUNTRY$."
 MIGRATE_REASON_WASTELAND:0 "Неможливо мігрувати в пустище."
 MIGRATE_REASON_SEA:0 "Неможливо мігрувати в морську провінцію."
 MIGRATE_REASON_POSSIBLE:0 "Можна мігрувати в провінцію $PROVINCE$."
 MODIFIER_NATIVE_ADVANCEMENT_COST:0 "Вартість індіанських ідей"
 WHEN_GROUPS_FILLED:0 "Відкривши всі $MAX|Y$ тубільні досягнення, ви зможете реформувати свій уряд. Зараз відкрито $UNLOCKED|Y$."
 MAPMODE_COLONIALANDTRADECOMPANYREGIONS:0 "Колоніальні й торгові регіони"
 MAPMODE_COLONIALANDTRADECOMPANYREGIONS_DESC:0 "В цих регіонах можуть бути сформовані колоніальні автономії й торгові компанії."
 NOT_IN_FEDERATION:0 "$NAME$ не член федерації."
 federation_leader:0 "Лідер федерації"
 FEDERATION_LEADER:0 "Лідер федерації: $LEADER|G$"
 FEDERATION_MEMBERS:0 "Члени федерації: $MEMBERS|Y$"
 FEDERATION_LEADER_BONUS:0 "Лідер федерації отримує такий бонус:\n$BONUS$"
 FEDERATION_OF:0 "Федерація племені $LEADER$"
 ONLY_FEDERATION_LEADER_MAY_INVITE:0 "Лише лідер федерації може запрошувати нових членів."
 NEW_LEADER_ON_DEATH:0 "Коли правитель племені $LEADER|Y$ помре, лідером федерації стане плем'я з найвищим рівнем поваги. Зараз це плем'я $NEWLEADER|Y$, з рівнем поваги $VAL|Y0$."
 FEDERAL_AUTHORITY:0 "Повага: $VAL|+2$"
 REQUEST_TO_JOIN_FEDERATIONTITLE:0 "Запит на вступ у федерацію."
 REQUEST_TO_JOIN_FEDERATIONDESC:0 "Ви хочете надіслати запит племені $ACTOR$ на вступ в їхню федерацію?"
 REQUEST_TO_JOIN_FEDERATIONREQDESC:0 "$ACTOR$ хоче увійти в нашу федерацію. Нам прийняти їхнє прохання?"
 INVITE_TO_FEDERATIONTITLE:0 "Запрошення у федерацію."
 INVITE_TO_FEDERATIONDESC:0 "Ви хочете запросити плем'я $ACTOR$ у нашу федерацію?"
 INVITE_TO_FEDERATIONREQDESC:0 "$ACTOR$ запрошує нас вступити в їхню федерацію. Чи варто приймати їхню пропозицію?"
 JOIN_FEDERATION:0 "Вступ у федерацію"
 JOIN_FEDERATION_REQ_DESC:0 "Вступ у федерацію племені $LEADER$."
 JOIN_FEDERATION_DESC:0 "Вступ у федерацію."
 JOIN_FEDERATION_TITLE:0 "Вступ у федерацію"
 INVITE_TO_FEDERATION:0 "Запрошення у федерацію"
 INVITE_TO_FEDERATION_REQ_DESC:0 "Запросити плем'я $COUNTRY$ у вашу федерацію."
 INVITE_TO_FEDERATION_DESC:0 "Запрошення у вашу федерацію."
 INVITE_TO_FEDERATION_TITLE:0 "Запрошення у федерацію"
 REQUESTTOJOINFEDERATIONTITLE:0 "Вступ у федерацію"
 REQUESTTOJOINFEDERATIONDESC:0 "Запропонувати племені $COUNTRY$ вступити у федерацію, очолювану племенем $LEADER$."
 INVITETOFEDERATIONTITLE:0 "Запросити у федерацію"
 INVITETOFEDERATIONDESC:0 "Запропонувати племені $THEY$ вступити у федерацію племені $LEADER$."
 LEAVEFEDERATIONTITLE:0 "Покинути федерацію"
 LEAVEFEDERATIONDESC:0 "Плем'я $COUNTRY$ покинуло федерацію племені $LEADER$."
 KICKFROMFEDERATIONTITLE:0 "Вигнати з федерації"
 KICKFROMFEDERATIONDESC:0 "Плем'я $COUNTRY$ буде вигнане з федерації племені $LEADER$."
 NEED_FEDERATION_LEADER_INVITE:0 "Плем'я $COUNTRY$ має бути лідером федерації, щоб мати змогу запрошувати нових членів."
 NEED_FEDERATION_LEADER_REQUEST:0 "Плем'я $COUNTRY$ має бути лідером федерації, щоб мати змогу ухвалювати нових членів."
 ALREADY_IN_FEDERATION:0 "Плем'я $COUNTRY$ вже знаходиться у федерації, яку очолює плем'я $LEADER$."
 REQUEST_JOIN_TO_LEADER:0 "Надіслати запит на вступ у федерацію треба надсилати її лідеру, племені $LEADER$."
 REQUEST_LEAVE_TO_LEADER:0 "Надіслати запит на вихід з федерації треба надсилати її лідеру, племені $LEADER$."
 humiliate:0 "Приниження"
 humiliate_desc:0 "Ваша мета не захопити їхні землі, а принизити їх, показавши хто тут господар."
 humiliate_rotw:0 "Приниження"
 humiliate_rotw_desc:0 "Мета - примусити вашого ворога признати поразку і бути приниженим перед усім світом."
 cb_humiliate_rotw:0 "Принизити суперника"
 cb_humiliate_rotw_desc:0 "Ми можемо принизити наших суперників."
 HUMILIATE_ROTW_WAR_NAME:0 "$ORDER$$FIRST$е приниження держави $SECOND_NAME$"
 NO_PROVS:0 "Не може бути застосовано для анексії провінцій."
 blockade_ports:0 "Блокада портів"
 blockade_ports_desc:0 "Ваша мета - перешкодити вільній торгівлі ваших ворогів, заблокувавши якомога більше їхніх портів."
 HAVE_HIGHER_LIBERTY_DESIRE_THEN:0 "Бажання свободи не менше §Y$VAL$%§!"
 HAVE_LOWER_LIBERTY_DESIRE_THEN:0 "Бажання свободи менше §Y$VAL$%§!"
 IS_NOT_IN_THE_COLONIAL_REGION:0 "НЕ у колоніальному регіоні "
 IS_IN_COLONIAL_REGION:0 "У колоніальному регіоні "
 AT_LEAST_ONE_PROVINCE_IN_COLONIAL_REGION:0 "Принаймні одна провінція у колоніальному регіоні $REGION$"
 NOT_ONE_PROVINCE_IN_COLONIAL_REGION:0 "Жодної провінції у колоніальному регіоні $REGION$"
 ALL_PROVINCES_IN_COLONIAL_REGION:0 "Всі провінції у колоніальному регіоні $REGION$"
 NOT_ALL_PROVINCES_IN_COLONIAL_REGION:0 "Не всі провінції у колоніальному регіоні $REGION$"
 LIBERTY_EFFECT:0 "Бажання свободи $DIRECTION$ на $PERC$.\n"
 TARIFF_VALUE_EFFECT:0 "Рівень мита $DIRECTION$ на $PERC$.\n"
 ADD_LOCAL_AUTONOMY_EFFECT:0 "Рівень автономії в провінції $WHERE$ $DIRECTION$ на $PERC$.\n"
 SET_LOCAL_AUTONOMY_EFFECT:0 "Встановити рівень автономії в провінції $WHERE|Y$ рівним $VALUE|Y$\n"
 IS_NOT_CLIENT_OF:0 "Не дочірня держава країни "
 IS_CLIENT_OF:0 "Дочірня держава країни "
 IS_NOT_CLIENT:0 "Не дочірня держава"
 IS_CLIENT:0 "Дочірня держава"
 IS_NOT_COLONY_OF:0 "Не колоніальна автономія держави "
 IS_COLONY_OF:0 "Колоніальна автономія держави "
 IS_NOT_COLONY:0 "Не колонія"
 IS_COLONY:0 "Колонія"
 IS_NOT_VASSAL:0 "Не васал"
 IS_VASSAL:0 "Васал"
 western_europe_coast:0 "Західна Європа"
 VASSAL_TOO_BACKWARD:0 "Ця країна є надто відсталою, щоб стати васалом. Вони можуть бути тільки протекторатом."
 VASSAL_EFF_EXPL:0 "Наш прибуток від васалів змінюється завдяки таким факторам:\n"
 COLON_EFF_EXPL:0 "Наш прибуток від колоній змінюється завдяки таким факторам:\n"
 LEDGER_COUNTRY_INCOME:0 "Порівняння прибутків"
 NEWCOLONIALCOUNTRY_SETUP:0 "Формування колоніальної автономії у заморських провінціях."
 NEWCOLONIALCOUNTRY_HEADER:0 "$MESSENGER$"
 NEWCOLONIALCOUNTRY_1:0 "Нова колоніальна автономія!"
 NEWCOLONIALCOUNTRY_2:0 "Колонія $NAME$"
 NEWCOLONIALCOUNTRY_3:0 "була сформована у заморських провінціях"
 NEWCOLONIALCOUNTRY_4:0 "держави $COUNTRY$ в регіоні $REGION$."
 NEWCOLONIALCOUNTRY_5:0 "Нова нація є автономією метрополії, але в майбутньому вона зможе вибороти свою незалежність, якщо нею бездарно керуватимуть."
 NEWCOLONIALCOUNTRY_6:0 ""
 NEWCOLONIALCOUNTRY_LOG:0 "Колонія $NAME$ сформована в регіоні $REGION$."
 NEWCOLONIALCOUNTRY_BTN1:0 "Гаразд"
 NEWCOLONIALCOUNTRY_BTN2:0 "Гаразд"
 NEWCOLONIALCOUNTRY_BTN3:0 "Перейти"
 NEWCOLONIALCOUNTRY_MAP:0 "Нова колоніальна автономія!"
 SUBJECT_SORT_TYPE:0 "За типом автономії"
 SUBJECT_SORT_NAME:0 "За іменем"
 SUBJECT_SORT_INCOME:0 "За прибутком"
 SUBJECT_SORT_EFFICIENCY:0 "За ефективністю прибутків"
 SUBJECT_SORT_BONUS:0 "За бонусами"
 SUBJECT_SORT_ACTION:0 "За діями"
 SUBJECT_SORT_INHERTIANCE:0 "За шансом на успадкування"
 SUBJECT_SORT_BREAK:0 "За шансом на розірвання договору"
 SUBJECT_SORT_ARMY:0 "За розміром армії"
 SUBJECT_COLONY_INCOME:0 "Прибуток колоній:"
 SUBJECT_VASSAL_INCOME_LABEL:0 "Прибуток васалів:"
 SUBECT_TOTAL_INCOME:0 "Загальний прибуток від автономій:"
 NO_TARIFFS_COUNTRIES:0 "Немає колоній"
 SUBJECT_SORT_TRADE:0 "За передачею торгової сили"
 SUBJECT_SORT_OPINION:0 "За ставленням автономій до нас"
 SUBJECT_NO_COLONIES:0 "В нас немає колоній"
 SUBJECT_NO_VASSALS:0 "В нас немає васалів"
 WE_ARE_AT_WAR:0 "Ми знаходимось у стані війні"
 cb_colonial_independance_war:0 "Колоніальна незалежність"
 cb_colonial_independance_war_desc:0 "Ми заслуговуємо незалежності."
 COLONIAL_NAME_FROM_OWNER_PROVINCE:0 "Нова $NAME$"
 TRADE_WIND_TITLE:0 "§YПасат§!"
 TRADE_WIND_DESC:0 "Утримання кораблів збільшується чи зменшується в залежності від напрямку їх руху відносно вітру. Це також впливає на торгову і колоніальну дистанцію."
 resource_depleted:0 "Виснаження ресурсів через мігрантів"
 desc_resource_depleted:0 "Поселенці повбивали всіх звірів, визбирали всі ягоди і виловили всю рибу. Природі потрібен час на відновлення."
 SUBJECT_SHOW_RELEASE_COLONY:0 "Звільнити одну з ваших колоніальних автономій"
 SUBJECT_SHOW_RELEASE_COLONY_DESC:0 "Ви можете продовжити гру за цю державу."
 LIBERATE_COLONY:0 "Звільнення колонії"
 LIBERATE_COLONY_DESC:0 "§Y$COUNTRY$§W отримає такі провінції: $LIST$.\n"
 RELEASEDCOLONY_SETUP:0 "При наданні колонії незалежності."
 RELEASEDCOLONY_HEADER:0 "$MESSENGER$"
 RELEASEDCOLONY_1:0 "Колонія отримала незалежність!"
 RELEASEDCOLONY_2:0 "Держава $NAME$"
 RELEASEDCOLONY_3:0 "надала незалежність своїй"
 RELEASEDCOLONY_4:0 "колишній колонії $COUNTRY$ в регіоні $REGION$."
 RELEASEDCOLONY_5:0 "Нова нація повністю незалежна."
 RELEASEDCOLONY_6:0 ""
 RELEASEDCOLONY_LOG:0 "Державу $NAME$ в регіоні $REGION$ звільнено."
 RELEASEDCOLONY_BTN1:0 "Гаразд"
 RELEASEDCOLONY_BTN2:0 "Гаразд"
 RELEASEDCOLONY_BTN3:0 "Перейти"
 RELEASEDCOLONY_MAP:0 "Колонію звільнено!"
 RELEASE_COLONY_BUTTON:0 "Надати колонії $COUNTRY|Y$ свободу"
 RELEASE_COLONY_BUTTON_TO_LOW:0 "Бажання свободи має бути більше $LIMIT|Y$. Поточне бажання становить $CURRENT|Y$"
 RELEASE_AT_WAR:0 "Неможливо звільнити колонію під час війни."
 IRONMANMODE_START:0 "Режим Ironman"
 RANDOM_WORLD_START:0 "Випадковий Новий Світ"
 CVIEW_LIBERTY_DESIRE_AFFECTS:0 "§YЕфекти від нашого бажання свободи:§W"
 liberty_desire:0 "Бажання свободи"
 ADM_SCORE_OCCUPATION:0 "Окупація: §R$VAL$§!\n"
 MIL_SCORE_EXHAUSTION:0 "Втома від війни: §R$VAL$§!\n"
 DIP_SCORE_WARSCORE:0 "Програні війни: §R$VAL$§!\n"
 MIL_SCORE_MAIN_FORT:0 "Утримання фортець: $VAL$\n"
 ENVOY_DIPLOMATING_IMPROVING_RELATION_DONE:0 "Ми можемо покращити наші стосунки на $OPINION|+$ до $DATE|Y$."
 CHECK_ALL_DLC:0 "Вибрати/Скасувати все"
