l_ukrainian:
 muslim_dlc.EVTNAME1:0 "Рамадан"
 muslim_dlc.EVTDESC4:0 "Кожен мусульманин, якому здоров'я дозволяє відправитися в хадж, повинен здійснити його хоча б раз у житті, оскільки хадж є релігійним обов'язком, і одним з п'яти стовпів ісламу. Хадж це паломництво в Мекку, й всі прочани-чоловіки надягають іхрам, щоб показати рівність всіх прочан перед Аллахом, і в хаджі немає різниці між принцем та бідняком. Під час хаджу прочанам заборонено голитися, обрізати нігті, використовувати парфуми, лаятися, лихословити, займатися сексом, заподіювати шкоду рослинам і диким тваринам, покривати голову, обличчя і руки, одружуватися, носити взуття вище щиколоток і мати при собі зброю. Ви є правителем держави $COUNTRY$ і вірним мусульманином, тому ви повинні подати приклад і здійснити хадж."
 muslim_dlc.EVTOPTA4:0 "Вперед, Мекка чекає!"
 muslim_dlc.EVTOPTB4:0 "Не зараз!"
 muslim_dlc.EVTNAME5:0 "Обряди під час хаджу"
 muslim_dlc.EVTDESC5:0 "Серед безлічі обрядів під час хаджу особливе місце займає Таваф, під час якого прочани сім раз обходять проти годинникової стрілки Каабу, читаючи під час цього молитви, після чого прочани сім разів здійснюють ходу між пагорбами Сафа і Марвах. Наступного дня прочани відправляються до гори Арафат, де вони весь день перебувають у роздумах, молитвах, і читанні рядків з Корану. Вночі вони сплять у долині Муздаліфа. Наступного дня прочани кидають камені у високий стовп під назвою Джамрат аль-акаба, щоб показати свою непокору Шайтанові. Після семи каменів, прочани приносять в жертву тварин, щоб вшанувати пам'ять Ібрагіма та Ізмаїла. На цьому паломництво підходить до завершення, і залишається лише кілька важливих обрядів."
 muslim_dlc.EVTOPTA5:0 "Добре"
 muslim_dlc.EVTNAME6:0 "Кінець хаджу"
 muslim_dlc.EVTDESC6:0 "Одним з останніх обрядів є повторне відвідування мечеті аль-Харам у Мецці, щоб ще раз обійти Каабу. Цей обряд називається Таваф аль-Іфада, і він символізує любов до Аллаха та готовність служити йому. Перед тим, як покинути Мекку, прочани також роблять прощальний обряд Таваф аль-вада. Деякі прочани, включаючи правителя держави $COUNTRY$, подорожують у Медіну, щоб відвідати Масджид аль-Набаві  - мечеть, де знаходиться гробниця пророка Магомета."
 muslim_dlc.EVTOPTA6:0 "Хадж завершено"
 muslim_dlc.EVTNAME7:0 "Реставрація мечеті аль-Харам"
 muslim_dlc.EVTDESC7:0 "Найбільша у світі мечеть аль-Харам оточує одне з найсвятіших місць для мусульман - Каабу. Саме сюди кожен мусульманин повинен хоч раз у житті здійснити хадж. Це перша будівля, споруджена для поклоніння Аллахові. Його дерев'яні колони були замінені мармуровими, а також був добудований мінарет. Шанований архітектор Мімар Сінан запропонував замінити плаский дах куполами, прикрашеними каліграфією."
 muslim_dlc.EVTOPTA7:0 "Найняти Мімара Сінана, і відреставрувати мечеть"
 muslim_dlc.EVTOPTB7:0 "Підтримати ідею, і відреставрувати мечеть"
 muslim_dlc.EVTOPTC7:0 "Нічого не робити"
 muslim_dlc.EVTNAME8:0 "Сухравардія"
 muslim_dlc.EVTDESC8:0 "Суфійський тарикат, заснований Абу аль-Наджибом Шихабеддіном, був сунітським орденом, підпорядкованим шафіїтській школі ісламського права. Цей орден існує з XI століття, і в останні роки він набирає сили, відіграючи важливу роль у формуванні консервативних релігійних поглядів. Сухравардія також відродила футувви - товариства, у яких цінувалися чесність, спокій, доброта, щедрість, гостинність і відсутність нарікань на життя."
 muslim_dlc.EVTOPTA8:0 "Ми повинні підтримати їхню справу"
 muslim_dlc.EVTOPTB8:0 "Те, чим вони займаються, це чудово, але ми не будемо брати в цьому участь"
 muslim_dlc.EVTNAME9:0 "Заборона алкоголю, тютюну і кави"
 muslim_dlc.EVTDESC9:0 "Мудрий і набожний османський султан Мурад IV зміг побороти корупцію, яка процвітала в часи правління його попередників. Хоча його найбільш мудрим рішенням вважається заборона алкоголю, тютюну й кави у Стамбулі. Ночами він особисто ходив вулицями і тавернами Стамбула в простому одязі, і наказував страчувати тих, хто порушував заборону. Втім, затятий прихильник сухого закону, Мурад IV сам був небайдужий до випивки. Він писав: 'Навіть якщо ріки перетворяться у вино, вони не зможуть наповнити мою склянку. Вино - диявол, і я повинен захищати своїх людей, випиваючи його сам'."
 muslim_dlc.EVTOPTA9:0 "Піти набожним шляхом Мурада IV"
 muslim_dlc.EVTOPTB9:0 "Просто збільшити податок на ці товари"
 muslim_dlc.EVTOPTC9:0 "Я не хочу нічого нав'язувати людям"
 muslim_dlc.EVTNAME10:0 "Мораль Ауранґзеба"
 muslim_dlc.EVTDESC10:0 "Шостий падишах Імперії Великих Монголів, Ауранґзеб, був відомим завдяки своїм переконанням. Він заборонив вживання і використання алкоголю, азартні ігри, кастрацію, рабство, євнухів, музику, науч (спеціальний вид танцю) і наркотики у всій імперії. Але його одержимість зайшла занадто далеко, оскільки крім всього іншого він наказував стратити всіх мусульман, які одягалися як не-мусульмани. Але ми могли б підтримати деякі його ідеї, щоб підвищити побожність у державі $COUNTRY$."
 muslim_dlc.EVTOPTA10:0 "Підтримати ідеї Ауранґзеба"
 muslim_dlc.EVTOPTB10:0 "Просто збільшити податок на алкоголь"
 muslim_dlc.EVTOPTC10:0 "Він божевільний!"
 muslim_dlc.EVTNAME11:0 "Магомет Салі Тахтаві - Глобус зоряного неба"
 muslim_dlc.EVTDESC11:0 "Сьогодні при дворі був представлений безшовний глобус зоряного неба з арабськими й перськими написами. Металург, астроном і експерт в області геометрії Магомет Салі Тахтаві використав секретну технологію лиття воску для створення цього шедевру. Він переконаний, що зможе відтворити цю технологію в металургії, і зробити ще більше таких глобусів для держави $COUNTRY$."
 muslim_dlc.EVTOPTA11:0 "Прийняти глобус, і попросити зробити їх ще більше"
 muslim_dlc.EVTOPTB11:0 "Запропонувати йому місце радника при нашому дворі"
 muslim_dlc.EVTNAME12:0 "Міан Мір"
 muslim_dlc.EVTDESC12:0 "При дворі зненацька виникла релігійна диллема, і ніхто з радників не може її вирішити. Їхнім найбільш доречним припущенням було: 'Можливо суфійський святий Міан Мір з Лахора міг би нам допомогти?'. Відомо, що Міан Мір поважає праведників, і уникає світських егоїстичних людей, жадібних емірів і амбіційних навабів. Тому його не так просто знайти. Його мюриди (послідовники) охороняють його будинок, зупиняючи тих, кого він не бажає бачити. Але Міан Мір можливо погодиться прийняти таку набожну людину, як правитель держави $COUNTRY$."
 muslim_dlc.EVTOPTA12:0 "Запропонувати йому місце радника при нашому дворі"
 muslim_dlc.EVTOPTB12:0 "Попросити його дати пораду"
 muslim_dlc.EVTOPTC12:0 "Знайти інше вирішення цієї проблеми"
 muslim_dlc.EVTNAME13:0 "Пожежа в Стамбулі"
 muslim_dlc.EVTDESC13:0 "Велика пожежа в Стамбулі знищила єврейські квартали, після чого було ухвалено рішення, що всі спалені квартали в обов'язковому порядку купить держава. Єврейські торговці проти цього рішення, і пропонують змінити його. Для цього вони пропонують Великому візиру величезний хабар з їхнього 'Фонду виплат потерпілим від нещасних випадків і надзвичайних подій'. Великий візир розповів нам про цю пропозицію, і очікує на нашу відповідь"
 muslim_dlc.EVTOPTA13:0 "Прийняти їхні гроші"
 muslim_dlc.EVTOPTB13:0 "Відхилити їхню пропозицію, і покарати хабарників"
 muslim_dlc.EVTNAME14:0 "Орден чішті"
 muslim_dlc.EVTDESC14:0 "В державі $COUNTRY$ поширився орден чішті, який звеличує любов, терпимість і щирість. Їхнє привітне ставлення до представників інших релігій може допомогти навернути більшу кількість людей в іслам. Однак вони доволі суворі у своїх віруваннях, приміром вчителям чішті не дозволяється відвідувати суди або займатися державною діяльністю, тому що мирські проблеми можуть зіпсувати їхню душу. Деякі мусульмани вважають музику харамом (забороненою), у той час як послідовники чішті вважають, що пісня або музика може пробудити в людині віру в Аллаха."
 muslim_dlc.EVTOPTA14:0 "Прийняти орден чішті"
 muslim_dlc.EVTOPTB14:0 "Вигнати його з держави $COUNTRY$!"
 muslim_dlc.EVTNAME15:0 "Кадирія"
 muslim_dlc.EVTDESC15:0 "Кадирія - впливовий суфійський тарикат, його дервіші носять білий одяг із символом зеленої троянди, і головні убори, прикрашені шестикінечною зіркою. Навчання кадирія ґрунтується на боротьбі проти бажань его. Існує два напрямки великої боротьби. Перший - проти діянь, заборонених релігійними догмами, другий - проти основних гріхів, таких як жадібність, марнославство і страх. 'Той, хто намагається знайти Аллаха, повинен побороти всі свої бажання, крім бажання бути під його опікою' - один з найбільш відомих висловів з навчання кадирії."
 muslim_dlc.EVTOPTA15:0 "Їхнє вчення істинне, вони отримають мою підтримку"
 muslim_dlc.EVTOPTB15:0 "В них ми нічому не навчимося"
 muslim_dlc.EVTNAME16:0 "Шаріат"
 muslim_dlc.EVTDESC16:0 "Кодекс морально-етичних і релігійних норм ісламу охоплює багато сфер, таких як злочини, політика, економіка, а також особистого життя: статеві зв'язки, гігієна, харчування, молитви і піст. Божий закон вважається непогрішним, і в ісламі існує два джерела права. Перше джерело - це наставляння, викладені в Корані, а другий - сунна, яка описує гідний наслідування спосіб життя Пророка. Кади й імами скаржаться на недостатню підтримку норм шаріату в державі  $COUNTRY$, і вимагають, щоб $MONARCHTITLE$ подбав про беззаперечне дотримання цих законів."
 muslim_dlc.EVTOPTA16:0 "Посилити норми шаріату"
 muslim_dlc.EVTOPTB16:0 "Пом'якшити норми шаріату"
 muslim_dlc.EVTNAME17:0 "Гулями"
 muslim_dlc.EVTDESC17:0 "Воїни-раби держави $COUNTRY$ навчались і тренувались за рахунок їхнього власника, після чого виконували будь-які поставлені ним завдання. Більшість з них були солдатами, деякі керівниками, але всі вони були вірними мусульманами. Деякі з них все ще блукають по державі $COUNTRY$ без господаря, і шукають те, що могло б повернути зміст у їхнє життя. Ці гулями навіть відправили свого представника до нашого правителя, щоб попросити про можливість служити на благо держави $COUNTRY$."
 muslim_dlc.EVTOPTA17:0 "Зайняти їхньою управлінською справою"
 muslim_dlc.EVTOPTB17:0 "Взяти їх до війська"
 muslim_dlc.EVTOPTC17:0 "Нехай допомагають нашим дипломатам"
 muslim_dlc.EVTNAME18:0 "Різа-Аббасі"
 muslim_dlc.EVTDESC18:0 "Жителі міста $CAPITAL$ говорять про надзвичайно красивий малюнок в муракках, альбомах ісламських мініатюр і зразків каліграфії. Його автором є Різа-Аббасі, син художника Алі Асгара. Згадана мініатюра зображує симпатичного юнака, що читає книгу під деревом."
 muslim_dlc.EVTOPTA18:0 "Його таланти пригодяться при дворі"
 muslim_dlc.EVTOPTB18:0 "Підтримати майстра і його мистецтво"
 muslim_dlc.EVTOPTC18:0 "Нехай кожен довідається про його майстерність!"
 muslim_dlc.EVTNAME19:0 "Баха ад-Дін ал-Амілі"
 muslim_dlc.EVTDESC19:0 "Нова захоплююча думка про те, що Сонце є центром всесвіту, і Земля обертається довкола нього, отримала поширення завдяки вченню філософа, архітектора, математика, астронома і поета Баха ад-Діна ал-Амілі. У своїй книзі 'Ташрих аль-афлак', або 'Будова небесних сфер', він дотримується теорії про позиційне обертання Землі."
 muslim_dlc.EVTOPTA19:0 "Його таланти потрібні при дворі"
 muslim_dlc.EVTOPTB19:0 "Він отримає нашу підтримку"
 muslim_dlc.EVTOPTC19:0 "Проігнорувати його"
 muslim_dlc.EVTNAME20:0 "Перетворити Софійський собор у мечеть"
 muslim_dlc.EVTDESC20:0 "Собор Святої Софії був побудований в 532 році архітекторами Ісидором Мілетським і Анфімієм Траллським за вказівкою візантійського імператора Юстиніана I. Під час будівництва собору використовувалися елліністичні колони з Храму Артеміди в Ефесі, величезні брили порфіру з єгипетських каменоломень, зелений мармур з Фессалії, чорний мармур з регіону Босфору, і жовтий мармур із Сирії. Люди стурбовані тим, що собор все ще використовується християнами, і вимагають перетворити його в мечеть. Але собор є дуже старим, і його необхідно спочатку відреставрувати."
 muslim_dlc.EVTOPTA20:0 "Відреставрувати собор, і перетворити його в мечеть"
 muslim_dlc.EVTOPTB20:0 "Нехай залишається собором"
 muslim_dlc.EVTNAME21:0 "Медресе"
 muslim_dlc.EVTDESC21:0 "Слово 'медресе' означає місце для навчання. У медресе вивчають тафсир - тлумачення Корану, шаріат - ісламське право, хадіси - вислови і вчинки пророка Магомета, а також мантик - логіку. У деяких медресе також вивчають математику, астрономію, астрологію, географію, алхімію, філософію, чаклунство й окультизм. Майбутнє нашої країни перебуває в руках наших дітей, і ми повинні навчити їх, перш ніж доручити їм керування нашою країною. Ми також повинні переконатися, що їхні знання ніколи їх не підведуть."
 muslim_dlc.EVTOPTA21:0 "Побудувати медресе по всій країні"
 muslim_dlc.EVTOPTB21:0 "Побудувати медресе лише в деяких вибраних провінціях"
 muslim_dlc.EVTOPTC21:0 "Нічого не робити"
 muslim_dlc.EVTNAME22:0 "Зубайда бінт Джафар"
 muslim_dlc.EVTDESC22:0 "Одна жінка просить аудієнції в нашого правителя. Вона просить дозволу побудувати колодязі, водойми та штучні озера на всьому шляху з Мекки до Медіни, щоб забезпечити водою мусульманських паломників. Ім'я цієї жінки Зубайда бінт Джафар, вона є дружиною одного із сусідніх правителів."
 muslim_dlc.EVTOPTA22:0 "Дозволити їй прохід через наші землі"
 muslim_dlc.EVTOPTB22:0 "Допомогти їй у її святій справі"
 muslim_dlc.EVTOPTC22:0 "Вигнати її з нашої країни"
 muslim_dlc.EVTNAME23:0 "Шерафеттін Сабунджуоглу"
 muslim_dlc.EVTDESC23:0 " Незважаючи на похилий вік, лікар і хірург Шерафеттін Сабунджуоглу все ще займається медициною в лікарні міста Амасья, яку побудували ще у 1308 році, за 80 років до його народження. Його робота 'Імперська хірургія' є першим атласом хірургічних операцій, і ґрунтується на книзі 'Аль-Тасріф' авторства Абу аль-Касима аль-Захраві. Однією з хірургічних технік, описаних в 'Імперській хірургії', є перев'язка скроневої артерії в якості способу лікування мігрені."
 muslim_dlc.EVTOPTA23:0 "Приведіть його в мій палац!"
 muslim_dlc.EVTOPTB23:0 "З нашою допомогою він ще довго зможе займатися лікарською справою"
 muslim_dlc.EVTOPTC23:0 "Ну і що?"
 muslim_dlc.EVTNAME24:0 "Аль-Бірджанді"
 muslim_dlc.EVTDESC24:0 "Аль-Бірджанді був талановитим астрономом, математиком і фізиком. Під час однієї з наукових суперечок з Кутб ад-Діном аль-Ширазі він заявив: 'І малий і великий камінь падають на землю по лінії, перпендикулярній площині обрію, це можна перевірити дослідним шляхом. Ця перпендикулярна лінія перебуває далеко від точки дотику із землею і площини видимого обрію. А точка, з якої починається падіння, рухається разом із Землею, тому місце падіння обох каменів буде однаковим'. Він написав безліч книг, включаючи 'Шарх аль-тадкірах' і 'Пояснення до мемуарів аль-Тусі', у яких описувалися астрономічні об'єкти."
 muslim_dlc.EVTOPTA24:0 "Мені потрібен такий радник"
 muslim_dlc.EVTOPTB24:0 "Я підтримаю його діяльність"
 muslim_dlc.EVTOPTC24:0 "Хто це? І чому це має мене хвилювати?"
 muslim_dlc.EVTNAME25:0 "Люди писання - зіммі"
 muslim_dlc.EVTDESC25:0 "Люди писання - це християни, іудеї та сабії, які визнають бога Ібрагіма єдиним богом, так само як і мусульмани. У державі $COUNTRY$ громадяни повинні терпимо ставитися до не-мусульман, і поважати їхні права. Також не-мусульманам дозволено жити на території країни в обмін на сплату податків. Це називається 'зіммі', і згідно з ним люди писання отримують повний захист і лише незначні обмеження. Люди писання не зобов'язані виконувати повинності, обов'язкові для мусульман, однак вони мають рівні права у питаннях власності, угод і зобов'язань."
 muslim_dlc.EVTOPTA25:0 "Дати їм право проживання в обмін на виплату податків"
 muslim_dlc.EVTOPTB25:0 "Навернути їх в іслам, вигнати, знищити!"
 muslim_dlc.EVTNAME26:0 "Махді"
 muslim_dlc.EVTDESC26:0 " Одна людина проголосила себе Махді, рятівником ісламського світу, який буде правити сім років перед настанням Судного дня. Ця людина обіцяє позбавити світ від зла, і відновити справедливість. Багато людей заявляють, що ця людина не є Махді, чим розлютили його послідовників. Зараз країна охоплена заворушеннями."
 muslim_dlc.EVTOPTA26:0 "Проголосити його рятівником ісламського світу"
 muslim_dlc.EVTOPTB26:0 "Визнати його шахраєм"
 muslim_dlc.EVTNAME27:0 "Шиїти проти сунітів"
 muslim_dlc.EVTDESC27:0 "Шиїти вважають, що лише спадкоємці четвертого халіфа Алі є законними спадкоємцями Магомета. Суніти ж вірять у те, що чотири перші халіфи - спадкоємці Магомета - законно успадкували його титул лідера мусульман, і тому вважають спадкоємців всіх чотирьох халіфів законними. Ми не перебували під правлінням законного релігійного діяча з часів зникнення дванадцятого імама в 931 році. В останні роки в державі $COUNTRY$ зросла напруга між сунітами та шиїтами, і лише завдяки дипломатичним службам не відбулося нічого поганого."
 muslim_dlc.EVTOPTA27:0 "Проігнорувати проблему"
 muslim_dlc.EVTOPTB27:0 "Знайти спосіб зняти напругу"
 muslim_dlc.EVTNAME28:0 "Суніти проти шиїтів"
 muslim_dlc.EVTDESC28:0 "Суніти вважають, що чотири перші халіфи - спадкоємці Магомета - законно успадкували його титул лідера мусульман, і тому вважають спадкоємців всіх чотирьох халіфів законними. Шиїти ж вважають, що лише спадкоємці четвертого халіфа Алі є законними спадкоємцями Магомета, і що наша держава не перебувала під правлінням законного релігійного діяча з часів зникнення дванадцятого імама в 931 році. В останні роки в державі $COUNTRY$ зросла напруга між шиїтами та сунітами, і лише завдяки дипломатичним службам не відбулося нічого поганого."
 muslim_hajj:0 "Хадж"
 desc_muslim_hajj:0 "Хадж це паломництво в Мекку і Каабу. Він є одним з п'яти стовпів ісламу, і релігійним обов'язком. Кожний здоровий мусульманин хоча б раз у житті повинен зробити хадж."
 completed_hajj:0 "Здійснений хадж"
 desc_completed_hajj:0 "Ваш правитель здійснив хадж у Мекку і Каабу, виконавши умову одного з п'яти стовпів ісламу."
 repaired_masjid_al_haram:0 "Відреставрована мечеть аль-Харам"
 desc_repaired_masjid_al_haram:0 "Мечеть аль-Харам оточує Каабу, одне з найбільш святих місць для мусульман."
 banned_alcohol_tobacco_coffee:0 "Заборона на алкоголь, тютюн і каву"
 desc_banned_alcohol_tobacco_coffee:0 "Алкоголь, тютюн і кава були заборонені в Стамбулі та у всій країні."
 tax_alcohol_tobacco_coffee:0 "Податок на алкоголь, тютюн і каву"
 desc_tax_alcohol_tobacco_coffee:0 "На алкоголь, тютюн і каву були введені високі податки."
 celestial_globe:0 "Глобус зоряного неба"
 desc_celestial_globe:0 "Цей глобус зоряного неба з арабськими і перськими написами був виготовлений металургом, астрономом і експертом у геометрії Магометом Салі Тахтаві."
 mian_mir:0 "Міан Мір"
 desc_mian_mir:0 "Мудрий суфійський святий Міан Мір дав важливу пораду, яка стосується релігійних питань у країні."
 reza_abbasi:0 "Різа-Аббасі"
 desc_reza_abbasi:0 "Великодушний правитель нашої держави підтримав відомого художника-мініатюриста Різу-Аббасі."
 baha_al_din_al_amili:0 "Баха ад-Дін ал-Амілі"
 desc_baha_al_din_al_amili:0 "Наш великодушний правитель вирішив підтримати вченого, філософа, архітектора, метематика, астронома і поета Баху ад-Дін ал-Амілі"
 muslim_madrassa:0 "Медресе"
 desc_muslim_madrassa:0 "По всій країні будуються медресе, щоб наші учні вивчали тафсир - тлумачення Корану, шаріат - ісламське право, хадіси - вислови і вчинки пророка Магомета, а також мантик - логіку."
 province_madrassa:0 "Провінційні медресе"
 desc_province_madrassa:0 "У деяких вибраних провінціях будуються медресе, щоб наші учні вивчали тафсир - тлумачення Корану, шаріат - ісламське право, хадіси - вислови і вчинки пророка Магомета, а також мантик - логіку."
 darb_zubaidah:0 "Дарб Зубайда"
 desc_darb_zubaidah:0 "В нашій державі будується Дарб Зубайда, або Шлях Зубайди. Це колодязі, водойми та штучні озера, які будуть забезпечувати водою мусульманських паломників, що подорожують у Мекку та Медіну."
 serafeddin_sabuncuoglu:0 "Шерафеттін Сабунджуоглу"
 desc_serafeddin_sabuncuoglu:0 "Щедрість нашого правителя дозволить старому хірургові й лікарю Шерафеттіну Сабунджуоглу продовжити роботу над своїм атласом операцій 'Імперська хірургія'."
 al_birjandi:0 "Аль-Бірджанді"
 desc_al_birjandi:0 "Наш щедрий правитель підтримав талановитого астронома, математика і фізика Аль-Бірджанді."
 dhimmi_residence:0 "Зіммі"
 desc_dhimmi_residence:0 "Зіммі гарантує безпеку людям писання - християнам, іудеям і сабіям. Їм дозволено жити на території нашої держави в обмін на сплату податків."
 true_mahdi:0 "Істинний Махді"
 desc_true_mahdi:0 "Прийшов Махді, обіцяний рятівник ісламського світу. Він буде правити протягом семи років перед Судним днем. Він позбавить країну від зла і відновить справедливість."
 invited_eid_al_fitr:0 "Запрошений на Ід аль-Фітр"
 unify_islam_title:0 "Об'єднати іслам"
 unify_islam_desc:0 "Об'єднання ісламу це політична єдність усієї громади мусульман, під правлінням одного правителя. Глава держави та інші посадові особи є представниками народу та ісламу, вони повинні керувати згідно з нормами шаріату."
 unified_islam:0 "Об'єднаний іслам"
 desc_unified_islam:0 "Всі мусульмани тепер об'єдналися і забули всі свої колишні внутрішні чвари заради єдиної мирної нації."
 change_religion_sunni_title:0 "Навернутися в сунізм"
 change_religion_sunni_desc:0 "Різниця між сунітами й шиїтами полягає в наступному - суніти вірять в те, що чотири перші халіфи - спадкоємці Магомета - законно успадкували його титул лідера мусульман. Однак шиїти вважають, що лише спадкоємці четвертого халіфа Алі є законними спадкоємцями Магомета."
 change_religion_shiite_title:0 "Навернутися в шиїзм"
 change_religion_shiite_desc:0 "Шиїти вірять в те, що лише спадкоємці четвертого халіфа Алі є законними спадкоємцями Магомета, в той час як суніти вважають, що чотири перші халіфи - спадкоємці Магомета - законно успадкували його титул лідера мусульман."
