l_ukrainian:
 MAY_MERCHANTS:0 "Можна посилати §Yторговців§W.\n"
 mil_tech_cs_4_desc:0 "Протягом Середніх віків єдиними, хто кидав виклик пануванню вершників на полі бою, були пікінери. У битвах при Беннокберні, або при Куртре, кавалерію було повністю розбито за допомогою списів. Комбінація покращеного тренування та дисципліни, а також підтримка мечників у ближньому бою, піднесла каре на пік ефективності."
 mil_tech_cs_5_desc:0 "Спис – це напрочуд проста зброя, але для найбільшого ефекту, необхідно щоб вся формація мала зброю однакової довжини та ширини леза."
 mil_tech_cs_6_desc:0 "Хоча ручні гармати було винайдено в Китаї у XII столітті, в Європі вони з'явилися лише біля XIV століття. Недоліки цих гармат зводили нанівець їхню користь під час бою. Втім легка та надійна аркебуза змогла змістити лук зі свого п'єдесталу завдяки трьом чинникам: вона краще пробиває броню, легка у навчанні та не залежить від сили стрільця."
 mil_tech_cs_7_desc:0 "Артилерія почала з'являтися в Європі ще у XIII столітті, але через низьку мобільність вона не була достатньо поширеною. Створення гарматного передка у 1470-х роках зробило гармати мобільнішими, а отже корисними."
 mil_tech_cs_8_desc:0 "Аркебуза – легка у використанні зброя, але надто повільна і неточна, що робило стрільців вразливими для кінноти. Поєднання аркебузирів і пікінерів захищає перших від атак кавалерії та піхоти."
 mil_tech_cs_9_desc:0 "Тренованість та досвід завжди високо цінувалися на полі бою. З появою пороха, яка призвела до появи нових видів зброї, та продиктованими цим змінами у тактиці, з'явилася потреба у вояках, які б розумілися на цих інноваціях. Професійним арміям було ще далеко до повного переходу на нове озброєння, тому ця прогалина була заповнена найманцями – такими як кондотьєри, швейцарські найманці, ландскнехти. Зростаючий прошарок професійних найманців-офіцерів з'явився як наслідок недостачі кваліфікованих військових під час переформування армій."
 mil_tech_cs_10_desc:0 "Поєднання списів і аркебуз виявилися серйозною загрозою для середньовічної кінноти. Спочатку їх реакцією було навішування важкої броні для захисту від вогнепальної зброї, але броня сповільнювала коней, зменшуючи натиск кавалерії. Рейтари ж зазвичай озброєні двома пістолетами та мечем, що дозволяє їм вести вогонь, або атакувати у ближньому бою, в залежності від потреб бою."
 mil_tech_cs_11_desc:0 "Аркебуза виявилася дуже ефективною зброєю для пробиття броні, в результаті чого броня стала важчою та міцнішою. Громіздкі мушкети, які стріляють важчими кулями, можуть пробити і цю броню."
 mil_tech_cs_12_desc:0 "Терція розвинулася з поєднання пікінерів та стрільців. Вона являла собою звичайне каре пікінерів, по кутах якого знаходились групи аркебузирів. Це істотно підвищувало бойову ефективність та живучість підрозділу."
 mil_tech_cs_13_desc:0 "У нової мобільної артилерії була одна проблема – гармати було складно направляти вгору чи вниз для регулювання дальності стрільби. Трунніони дозволили позбутися цієї проблеми, оскільки гармата встановлювалася на спеціальні виступаючі циліндри, що дозволяло її нахиляти, і відповідно краще цілитися."
 mil_tech_cs_14_desc:0 "Складно забезпечувати вогневе прикриття з-за вигнутих стін, тому коли ворог отримував можливість підійти під стіни укріплень, це зводило нанівець можливість флангового обстрілу захисниками. Розвиток бастіонних укріплень, збудованих у формі зірки, дозволяв вести перехресний вогонь, коли одна частина укріплень могла розраховувати на підтримку інших."
 mil_tech_cs_15_desc:0 "Великий розмір терції робив її неповороткою і громіздкою. Велика частина солдат навіть не бачила ворога. Моріц Оранський, штатгальтер Голландії, розділив терції на дрібніші і легші частини, у той же час зберігши їхню силу натиску та вогневі якості."
 mil_tech_cs_16_desc:0 "Із зростанням важливості артилерії на полі бою, росло й число вогнепальної зброї. Але оскільки кожний ствол був вироблений окремо, поповнення боєзапасу вимагало невиправдано великих зусиль. У 1544 році імператор Карл V звелів використовувати лише 5 калібрів вогнепальної зброї. В той же час король Франції Генріх II призначив 6 стандартних калібрів."
 mil_tech_cs_17_desc:0 "Найбільшою слабкістю ґнотового вогнепального механізму була необхідність завжди мати під руками вогонь. Хоча було винайдено колісний замок, але він був надто дорогим для масового виробництва. Винахід же кремнієвих механізмів значно підвищив скорострільність та надійність вогнепальної зброї."
 mil_tech_cs_18_desc:0 "Карабін – це коротша і легша версія мушкета. Карабіни використовувались переважно для озброєння особового складу кінноти та артилерії."
 mil_tech_cs_19_desc:0 "Густав Адольф, Король Швеції, вніс значні зміни у свою армію. Стрій піхоти став більш прямокутним і вузьким, що значно збільшило число мушкетів, готових до пострілу. А приєднання легкої артилерії ще більше посилило вогневу силу підрозділу."
 mil_tech_cs_20_desc:0 "З розвитком бастіонів інженери почали розвивати мистецтво їхніх розміщень. Атакувальна армія спрямовувалася до спеціально підготовлених смертельних зон, де захисники могли завдати максимум втрат супротивнику."
 mil_tech_cs_21_desc:0 "Завдяки багнетам кожен мушкет можна використати в якості списа. Це дозволило армії остаточно позбутися пікінерів, що значно посилило вогневу силу піхоти."
 mil_tech_cs_22_desc:0 "У 1620-х роках з'явилася ідея поєднати кулю і порох в одному патроні, значно збільшивши скорострільність рушниць, і відповідно, їхню вогневу потужність."
 mil_tech_cs_23_desc:0 "Важко-озброєні кавалеристи були надто повільними і вразливими на болі бою. Тому було створено легку кавалерію, яка виконувала обов'язки розвідників, і під час бою прикривала важку кінноту."
 mil_tech_cs_24_desc:0 "Зовнішній рів став ключовим місцем облоги. Коли атакувальники захоплювали гласіс (насип перед стінами), то фортецю можна було вважати втраченою. Рів став першою лінією оборони фортеці. Доступ до рову, а також його захист, стали ключовими чинниками в проектуванні фортець."
 mil_tech_cs_25_desc:0 "Розвиток металургії дозволив гарматам стати легшими та надійнішими. Це зробило їх ще ефективнішими на полі бою."
 mil_tech_cs_26_desc:0 "Легка піхота в якості нерегулярних військ вперше була використана австрійською армію під час Семирічної війни. Підрозділи легкої піхоти були розгорнуті у довільних порядках та довели свою ефективність під час дошкульних атак на супротивника та у перших рядах під час захоплення окопів."
 mil_tech_cs_27_desc:0 "Хоча мушкети можна використати в якості кийка, але через великі розміри це не дуже зручно. Багнет – це лезо, встановлене на кінці мушкета, що дозволяло зброї виконувати функції списа. Спочатку багнет встромлявся в дуло зброї, але винайдення кільцевого руків'я дозволило вести стрільбу з приєднаним багнетом."
 mil_tech_cs_28_desc:0 "Хоча кіраса (чи нагрудник) існувала протягом багатьох років, кавалеристи почали використовувати її зовсім нещодавно, захищаючи лише груди і спину. Це забезпечило їх ідеальним балансом між захистом і мобільністю."
 mil_tech_cs_29_desc:0 "Завдяки будівництву декількох рівнів укріплень, де кожна наступна фортеця була вищою за попередню, атакувальники були змушені готувати нові позиції для артилерії після захоплення кожного рівня фортеці, що збільшувало час облоги."
 mil_tech_cs_30_desc:0 "Введення легкої піхоти змінило правила ведення війни. Стрільці висувалися вперед довільним строєм, щоби відволікти та зламати стрій ворога перед основною атакою піхоти, яка зазвичай наступала вишикувавшись у лінію, або колону."
 mil_tech_cs_31_desc:0 "Головним недоліком мушкетів була погана точність на відстані більше 50 ярдів. Гвинтівки, хоч і не були стандартним озброєнням піхоти, поставлялися елітним підрозділам, збільшуючи прицільну дальність та вогневу потужність."
 mil_tech_cs_32_desc:0 "Спочатку розроблена для облоги, гаубиця запускала снаряд у фортецю під великим кутом. Польові гаубиці, легші та мобільніші за облогові, запускали снаряди, що вибухали над піхотою противника. У поєднанні з іншими видами артилерії, вони суттєво підвищили ефективність артилерійських бригад."
 adm_tech_cs_0_name:0 "Племінний уряд"
 adm_tech_cs_1_name:0 "Розвинуті племена"
 adm_tech_cs_2_name:0 "Феодальна монархія"
 adm_tech_cs_3_name:0 "Середньовічна адміністрація"
 adm_tech_cs_4_name:0 "Храми"
 adm_tech_cs_5_name:0 "Національні ідеї"
 adm_tech_cs_6_name:0 "Майстерня"
 adm_tech_cs_7_name:0 "Ідея ренесансу"
 adm_tech_cs_8_name:0 "Будинок суду"
 adm_tech_cs_9_name:0 "Коса"
 adm_tech_cs_10_name:0 "Сучасна теократія"
 adm_tech_cs_11_name:0 "Текстильна мануфактура"
 adm_tech_cs_12_name:0 "Рання сучасна адміністрація"
 adm_tech_cs_13_name:0 "Покращений дренаж"
 adm_tech_cs_14_name:0 "Науковий підхід"
 adm_tech_cs_15_name:0 "Військова адміністрація"
 adm_tech_cs_16_name:0 "Металургія"
 adm_tech_cs_17_name:0 "Університет"
 adm_tech_cs_18_name:0 "Державний суверенітет"
 adm_tech_cs_19_name:0 "Собор"
 adm_tech_cs_20_name:0 "Абсолютне правління"
 adm_tech_cs_21_name:0 "Розчищення земель"
 adm_tech_cs_22_name:0 "Конституція"
 adm_tech_cs_23_name:0 "Вимірювання світу"
 adm_tech_cs_24_name:0 "Бонди й тонтіни"
 adm_tech_cs_25_name:0 "Покращене виробництво"
 adm_tech_cs_26_name:1 "Поділ повноважень"
 adm_tech_cs_27_name:0 "Сучасна бюрократія"
 adm_tech_cs_28_name:0 "Ротерамський плуг"
 adm_tech_cs_29_name:1 "Права людини"
 adm_tech_cs_30_name:0 "Передове виробництво"
 adm_tech_cs_31_name:0 "Революційні ідеї"
 adm_tech_cs_32_name:0 "Чотирипілля"
 adm_tech_cs_0_desc:0 "Найпростішою спільнотою є розширене сімейство, де всі члени перебувають в родинних зв'язках  один з одним.  Іншими словами – плем'я."
 adm_tech_cs_1_desc:0 "Сімейна структура, у якій на верхівці суспільства сидять старійшини, може працювати й зі сторонніми людьми. У своїй простій формі така система є меритократичною, де владу отримують найбільш здібні люди."
 adm_tech_cs_2_desc:0 "З розвитком суспільства розвиваються також процеси виробництва. Нарощення виробництва продуктів харчування дозволило суспільству утримувати людей, не причетних до виробництва їжі. Вони стали військовою елітою, завданням якої був захист суспільства від військової еліти ворогів. На підтримці військової еліти ґрунтується весь феодальний лад."
 adm_tech_cs_3_desc:0 "Після військової еліти наступним етапом розвитку стала наявність освічених адміністраторів. Зазвичай ними були вихідці з духовенства."
 adm_tech_cs_4_desc:0 "Злагоджена робота державної машини також важлива, як і сама машина. Тому ніколи не варто забувати про важливість віри в державній справі."
 adm_tech_cs_5_desc:0 "Вибір напряму руху країни є найскладнішим в житті будь-якого правителя. Національні ідеї на довгі роки визначать в якому напрямі розвиватиметься держава."
 adm_tech_cs_6_desc:0 "До промислової революції саме майстерня (або система накладів) використовувалася у ранньо-феодальній Європі для організації виробництва різноманітних товарів: від текстилю до ковкого заліза. Якщо забезпечити ремісників необхідними матеріалами, вони зможуть виробляти різні товари у майстернях, або вдома, в обхід жорстких обмежень гільдій."
 adm_tech_cs_7_desc:0 "Ідея дворянської олігархії відома ще, щонайменше з часів Римської Імперії, залишається популярною в деяких частинах світу. Зараз ця ідея знову набирає популярність серед впливових осіб."
 adm_tech_cs_8_desc:0 "Проблемою спадкової знаті є те, що вони ставлять свої інтереси вище за інтереси народу. Нам необхідно розширити повноваження уряду, почавши з найважливішої області управління – правосуддя."
 adm_tech_cs_9_desc:0 "Хоча коса існує багато років, вона й досі залишається не дуже популярною серед селян. Заохотивши їх використовувати косу замість серпа, ми збільшимо ефективність женців."
 adm_tech_cs_10_desc:0 "Розвитку підлягають не лише аристократичні інститути суспільства. Духовенство теж зобов'язане вдосконалювати свої внутрішні органи управління. Це допоможе розвитку сучасної думки в нашій країні."
 adm_tech_cs_11_desc:0 "Тканини виготовлялися з незапам'ятних часів. Створення текстильного верстату у 1589 році стало поштовхом до промислової революції та початку механізації."
 adm_tech_cs_12_desc:0 "З часом стало очевидно, що більш централізований бюрократичний апарат, керований найнятими державою освідченими службовцями, був необхідністю для честолюбних правителів раннього феодалізму."
 adm_tech_cs_13_desc:0 "Чим більше землі ми обробляємо, тим більше людей ми можемо годувати. Останні вдосконалення дренажної системи дозволили використовувати непридатні раніше болота."
 adm_tech_cs_14_desc:0 "Незважаючи на те, що ми насправді стоїмо на плечах наших предків, зараз хороша нагода почати самім пізнавати світ на підставі наших особистих, добре документованих спостережень. Спостерігаючи за навколишнім світом та експериментуючи, щоб довести або заперечити наші уявлення про нього, ми можемо досягти значно більше, ніж ті, що були перед нами."
 adm_tech_cs_15_desc:0 "Постійний ріст армій у XVI столітті поставив більші та жорсткіші вимоги до державних адміністративних систем. Створивши постійну організацію, яка би займалася питаннями планування та розподілу військових поставок та утриманням війська напоготові навіть у холодну пору року, або під час перемир'я, ми у перспективі, зробимо розгортання великих армій набагато дешевшим та збільшимо ефективність їхнього постачання під час військових дій."
 adm_tech_cs_16_desc:0 "Процес отримання ковкого заліза постійно вдосконалювався, з початком XVII століття процес рафінування (кричної переробки) замінив старовинний процес Осмонда. Виробництво заліза стало спеціалізованим та більше не вимагало прив'язки виробництва до місця видобування залізної руди. Міцніше та чистіше залізо, з часом, призвело до розвитку інших галузей виробництва."
 adm_tech_cs_17_desc:0 "Великі середньовічні університети звичайно були величезними, але вони вже не могли забезпечувати потреби у випускниках зростаючого адміністративного апарату. Нам необхідно розширити університети, інакше ми почнемо відставати від інших країн."
 adm_tech_cs_18_desc:0 "Велика кількість затяжних війн у першій половині XVII століття призвела до створення міжнародної дипломатичної системи, наріжним каменем якої стала територіальна цілісність держав. Саме держави та наднаціональні угрупування, а не окремі правителі, стають гравцями на міжнародній арені. Жодна країна позбавлена права втручатися у внутрішні справи іншої."
 adm_tech_cs_19_desc:0 "Заохочення до релігії стане ключем до стабільної держави. Недостатньо просто бути великими, потрібно щоб люди бачили нашу велич. Предки знали як показати свою велич, і ми робитимемо теж саме. Ми побудуємо грандіозні монументи, які зможуть витримати випробування часом."
 adm_tech_cs_20_desc:0 "Є безліч людей, які вимагають місце в уряді, але насправді, переважно, хочуть отримувати нагороду, не докладаючи зусиль. З розповсюдженням дуже цікавої ідеї абсолютизму, ми могли би позбутися цих паразитів та правити одноосібно."
 adm_tech_cs_21_desc:0 "Великі лісові угіддя корисні як джерело дрів та місце для полювання. Але якщо їх розчистити, то ці землі принесуть користь сільському господарству."
 adm_tech_cs_22_desc:0 "Було розроблено нову філософську концепцію конституціоналізму, при якій уряд створює обмеження своїй владі. Це цікава ідея, але я не бачу в ній сенсу."
 adm_tech_cs_23_desc:0 "Нові наукові напрямки дали нам нові шляхи для опису і вимірювання навколишнього світу. Відправимо ж цих освічених людей досліджувати світ загалом та нашу країну зокрема. Ми можемо не підозрювати, які ресурси є у нашому розпорядженні, доки ми ретельно не дослідимо всі наші землі на наявність мінералів, не підрахуємо останнього підлеглого та не складемо ціну кожному підприємству."
 adm_tech_cs_24_desc:0 "Утримання армії, флоту та адміністрації складає основну частину витрат будь-якої держави. Ці витрати можуть швидко залишити скарбницю порожньою, тоді як її наповнення через податки та збори – довгий та болісний для платників процес. Щоби полегшати тягар боргів, що лежить на нашій державі, та змусити капітал працювати, ми запровадили до обігу облігації, тонтини та інші фінансові домовленості, які мають силу як всередині країни, так і за її межами. Це допоможе нам знайти краще застосування грошам, які підуть на розвиток нашої держави."
 adm_tech_cs_25_desc:0 "Наявність розвинених технологій недоцільна, якщо відсутнє бажання цими технологіями користуватися. Проведення земельної реформи збільшить швидкість запровадження нових способів вирощування врожаю."
 adm_tech_cs_26_desc:1 "З'явився анонімний трактат з політичною теорією, і, незважаючи на спроби придушити його, він швидко поширюється по всьому світу. Він стосується природи форм правління, будь то монархії, деспотії або демократії, і наполягає на суворому поділі виконавчої, законодавчої та судової гілок влади. Це захистило б людей і обмежило б владу монарха, що, зі зрозумілих причин, дуже популярно для багатьох наших підданих. Незважаючи на сумні наслідки для влади монархів, можуть значною мірою принести користь нашій нації."
 adm_tech_cs_27_desc:0 "Якщо ми сподіваємося отримати максимум з наших земель та підлеглих, нам необхідно збільшити, реорганізувати та модернізувати нашу бюрократію. Потужна організація зможе дати раду кожній частині нашої держави та уніфікувати розгляд складних питань, усунувши необхідність особистого втручання держави під час їхнього розгляду. Поставимо перед нашими університетами завдання – знайти найкращі шляхи ефективного управління державою, та заохотимо дітей нашої шляхти служити державі пером, а не мечем."
 adm_tech_cs_28_desc:0 "Простий плуг, яким користувалися в Європі, залишався незмінним з часів Римської імперії. Але тепер, завдяки вдосконаленню конструкції, плуг можна зробити значно легшим, що зменшить навантаження на тяглових тварин і, відповідно, збільшить їхню ефективність."
 adm_tech_cs_29_desc:1 "Найважливіше місце в нинішній революційній думці займає радикальне поняття рівності для всіх. Філософи з різних країн світу працювали разом над створенням документа, названого 'Декларація прав людини і громадянина', проголошуючи, що ці права є універсальними і повинні гарантуватися законом. Цілком ймовірно, що це буде мати чималі наслідки для розвитку і поширення понять свободи і демократії, і було б добре не відставати з його прийняттям."
 adm_tech_cs_30_desc:0 "На щастя для нас, ці так звані освічені філософи, не обмежилися написанням політичних трактатів, які підривають державний устрій, але й запропонували нові ідеї в галузях науки і техніки. Їхні винаходи призвели до збільшення виробництва і росту нашої економіки."
 adm_tech_cs_31_desc:0 "Ці безглузді революціонери думають, що можуть викинути сотні років прогресу на звалище історії, заради своїх чудернацьких понять про свободу і рівність. Їх план приречений на провал, адже ми скористаємося перевіреним методом –  просто використаємо ті їхні ідеї, які нам сподобаються."
 adm_tech_cs_32_desc:0 "Мій держсекретар запевняє мене в тому, що використання конюшини в якості кормової культури, та додання ріпи у систему 'чотири поля', може значно збільшити врожайність. Варто прислухатися до цієї ідеї."
 dip_tech_cs_0_name:0 "Ранні кораблі"
 dip_tech_cs_1_name:0 "Торгівля та купці"
 dip_tech_cs_2_name:0 "Барки"
 dip_tech_cs_3_name:0 "Ранні каракки"
 dip_tech_cs_4_name:0 "Ринок"
 dip_tech_cs_5_name:0 "Основні фінансові інструменти"
 dip_tech_cs_8_name:1 "Корабельні"
 dip_tech_cs_7_name:0 "Морські амбіції"
 dip_tech_cs_6_name:1 "Доки"
 dip_tech_cs_9_name:0 "Каракки і каравели"
 dip_tech_cs_10_name:0 "Флейт"
 dip_tech_cs_11_name:0 "Причал"
 dip_tech_cs_12_name:0 "Мановар"
 dip_tech_cs_13_name:0 "Фрахтувальні компанії"
 dip_tech_cs_14_name:0 "Галеас"
 dip_tech_cs_15_name:0 "Галеон"
 dip_tech_cs_16_name:0 "Розвиток морських законів"
 dip_tech_cs_17_name:0 "Торгове судно"
 dip_tech_cs_18_name:0 "Лінійна тактика"
 dip_tech_cs_19_name:0 "Військовий галеон"
 dip_tech_cs_20_name:0 "Професійний флот"
 dip_tech_cs_21_name:0 "Шебека"
 dip_tech_cs_22_name:0 "Лайми"
 dip_tech_cs_23_name:0 "Важкі фрегати"
 dip_tech_cs_24_name:0 "Гребні фрегати"
 dip_tech_cs_25_name:0 "Трипалубне судно"
 dip_tech_cs_26_name:0 "Ост-Індійський корабель"
 dip_tech_cs_27_name:0 "Публічні покарання"
 dip_tech_cs_28_name:0 "Акціонерні товариства"
 dip_tech_cs_29_name:0 "Мічмани"
 dip_tech_cs_30_name:0 "Страхові компанії"
 dip_tech_cs_31_name:0 "Покращене проектування"
 dip_tech_cs_32_name:0 "Золотий стандарт"
 dip_tech_cs_0_desc:0 "Суднобудуванням можна назвати різні речі. Наприклад, це просто дивовижно, як далеко ви можете заплисти на плоті. Проте це не те ж саме, що створення флоту для своєї держави. Це вимагає зовсім інших підходів до будівництва та управління флотом."
 dip_tech_cs_1_desc:0 "Торговельні зв'язки зазнали серйозних втрат у XIV столітті, ймовірно, через епідемії чуми та віспи. Зараз торгівля починає поступово відновлюватися."
 dip_tech_cs_2_desc:0 "Барки мають довгу історію, починаючи з річкового човна у Давньому Єгипті. Зараз барк – це легкий військовий корабель."
 dip_tech_cs_3_desc:0 "Перший справжній військовий корабель у океанських просторах. На відміну від галер і когів, каракки можуть виконувати роль військового корабля і в океані."
 dip_tech_cs_4_desc:0 "Створення місцевої інфраструктури сприятиме не тільки розвитку торгівлі, а й збору податків."
 dip_tech_cs_5_desc:0 "Зовнішня торгівля хоч і ризикована справа, але дуже прибуткова. Розвиток фінансових інструментів, таких як акредитиви, знизить ризик та збільшить наш прибуток."
 dip_tech_cs_8_desc:1 "Перевезення великих вантажів по суходолу є дуже дорогим задоволенням, набагато дешевше перевозити їх водою. Будівництво корабелень забезпечить достатню кількість кораблів для задоволення цих потреб."
 dip_tech_cs_7_desc:0 "З ростом бойового духу наші моряки приборкають хвилі та будуть правити морями. Колоністи зможуть досліджувати найпотаємніші куточки світу, засновуючи нові поселення ще далі від дому."
 dip_tech_cs_6_desc:1 "З часом розширення та значна модернізація корабле-будівельного сектора накладає нові вимоги на морські порти. Добре сплановані та доглянуті доки стали необхідністю для міст, які прагнуть бути центрами військово-морської або морської діяльності."
 dip_tech_cs_9_desc:0 "Створення трикутного (латинського) вітрила дозволило караккам ходити під кутом до вітру. Збільшена маневреність надала їм значної переваги над іншими кораблями."
 dip_tech_cs_10_desc:0 "Флейт є спеціальним транспортним кораблем, здатним перевозити великі вантажі з невеликим екіпажем. Вони були розроблені таким чином, щоб їх можна було дешево будувати у великих кількостях. Корисне судно, якщо вам треба щось перевезти через океан."
 dip_tech_cs_11_desc:0 "Великі причали та пристані служитимуть перевалочними пунктами для руху товарів з усього світу. Збудуймо їх і добробут не змусить себе довго чекати."
 dip_tech_cs_12_desc:0 "Протягом XVI століття зростаючі судоходні можливості кораблів, разом із зростаючим числом все ефективніших гармат, призвело до більшої спеціалізації кораблів. Мановар – корабель сконструйований виключно для морського бою, з більшим числом гармат та боєприпасів, ніж торговий корабель зміг би підняти. У довгостроковій перспективі це призведе до зростання постійних військових флотів та розвитку тактики морського бою, який відповідатиме новим реаліям битви на воді."
 dip_tech_cs_13_desc:0 "Світ – великий. І якщо ми бажаємо розвивати у ньому нашу торгівлю, іноді треба багато ризикувати. На щастя є купці у нашій країні, які бажають взяти більшість ризиків на свій капітал. Наділивши їхні компанії державним підрядом, надавши їм особливі права використовувати як силу держави, так і силу монополії у деяких галузях, ми можемо контролювати та заохочувати комерційний розвиток в усіх областях – від міжнародних торговельних зв'язків, до наших заморських колоніальних володінь."
 dip_tech_cs_14_desc:0 "Галери були невеликими і легкими кораблями, тому встановлення гармат на них було складним завданням. Галеас був більшим за галеру, здатним нести декілька рядів гармат. А щоб компенсувати надмірну вагу, галеас було обладнано додатковим вітрилом."
 dip_tech_cs_15_desc:0 "Галеон було створено за рахунок зниження бакової надбудови і подовження корпусу, що збільшило швидкість і стійкість корабля. В результаті галеон отримав кращу платформу для розміщення гармат. "
 dip_tech_cs_16_desc:0 "Зі збільшенням числа країн, що розсилали своїх підданих, або громадян у далекі землі для різних торговельних підприємств, та з такою кількістю люду, що живе поруч одне з одним протягомтривалого часу, з'явилася необхідність у хоча б загальних положеннях спільних морських законів. З публікаціями, такими як 'Mare Liberum', чи пізнішим 'De Dominio Maris Dissertatio', було закладено основи міжнародного морського права."
