l_ukrainian:
 HINTS_DISABLE_ALL_HINTS:0 "Вимкнути"
 HINT_GAINLEGITIMACY_TITLE:0 "Отримання легітимності"
 HINT_GAINLEGITIMACY_TEXT:0 "Легітимність може бути збільшена в ході випадкових подій. Династичні шлюби, контроль над кардиналами та високий показник престижу збільшують легітимність вашого правителя з часом."
 HINT_REPUBLICAN_TITLE:0 "Республіканські традиції"
 HINT_REPUBLICAN_TEXT:0 "Параметр 'республіканські традиції' вказує на те, як сильно вони розвинуті у вашій республіці. Республіки обирають свого правителя кожні декілька років, і якщо один і той самий представник виграє вибори протягом довгого часу, то це зменшить республіканські традиції. Якщо їхній рівень впаде нижче нуля - республіка перетвориться на деспотичну монархію."
 HINT_PRESTIGE_TITLE:0 "Престиж"
 HINT_PRESTIGE_TEXT:0 "Престиж показує наскільки добре ваша нація справляється загалом. Високий престиж дає безліч позитивних ефектів, які корисні, але не вирішальні. Низький престиж дає вам ті ж ефекти, але негативні. Інші держави, з якими укладено династичний шлюб, можуть висунути претензії на ваш трон, щоби примусити вас до особистої унії."
 HINT_INCREASEPRESTIGE_TITLE:0 "Підвищення престижу"
 HINT_INCREASEPRESTIGE_TEXT:0 "Престиж підвищується після виконання місій, в ході випадкових подій, і за перемогу у війні."
 HINT_LOSEPRESTIGE_TITLE:0 "Втрата престижу"
 HINT_LOSEPRESTIGE_TEXT:0 "Престиж може бути втрачений в ході випадкових подій, у випадку відмови вшанувати заклик до зброї від ваших союзників, та у випадку поразки у війні."
 HINT_ENVOYS_TITLE:0 "Посланці"
 HINT_ENVOYS_TEXT:0 "Посланці є своєрідною формою ресурсу в грі, що використовується для виконання певних завдань. Ресурс 'посланці' ніколи не споживається, а замість цього виконують певну дію протягом деякого часу і повертаються, коли закінчили задачу. Торговці, колоністи, дипломати та місіонери - це все посланці."
 HINT_MERCHANT_TITLE:0 "Торговці"
 HINT_MERCHANT_TEXT:0 "Торговці можуть використовуватись для виконання одного з двох завдань в торговому вузлі. Вони можуть Отримувати прибуток від торгівлі або Перенаправляти торговий потік. Торговець, який отримує прибуток від торгівлі збільшить надходження від Торгового вузла, в той час як торговець, який Перенаправляє торговий потік регулюватиме Значення торгівлі "
 HINT_MOREMERCHANT_TITLE:0 "Отримання торговців"
 HINT_MOREMERCHANT_TEXT:0 "Ви можете отримати більше торговців вибравши відповідні групові ідеї. Групи ідей торгівлі та експансії забезпечать вас додатковими торговцями, хоча група ідей торгівлі дасть більше торговців."
 HINT_COLONIST_TITLE:0 "Колоністи"
 HINT_COLONIST_TEXT:0 "Колоністи використовуються для утворення нових колоній в неколонізованих землях."
 HINT_MORECOLONIST_TITLE:0 "Отримання колоністів"
 HINT_MORECOLONIST_TEXT:0 "Більше колоністів можна отримати розблокувавши групи ідей розвідки та експансії."
 HINT_DIPLOMAT_TITLE:0 "Дипломати"
 HINT_DIPLOMAT_TEXT:0 "Дипломати використовуються для направлення дипломатичних пропозицій до інших націй. Як тільки дипломат доставив пропозиції, він повинен буде повернутися додому, перш ніж ви зможете дати йому нові завдання."
 HINT_MOREDIPLOMAT_TITLE:0 "Отримання дипломатів"
 HINT_MOREDIPLOMAT_TEXT:1 "Збільшити число доступних дипломатів можна вибравши Дипломатичні, або Аристократичні групи ідей. Контроль Папи Римського, або ранг уряду Королівство також надають додаткових дипломатів."
 HINT_MISSIONARY_TITLE:0 "Місіонери"
 HINT_MISSIONARY_TEXT:0 "Місіонери використовуються для зміни релігії в провінції. Якщо в якійсь провінції релігія відрізняється від державної, то ви можете відправити туди місіонера, щоб виправити ситуацію. Коли він закінчить свою справу, то повернеться додому і очікуватиме подальших завдань."
 HINT_MOREMISSIONARY_TITLE:0 "Отримання місіонерів"
 HINT_MOREMISSIONARY_TEXT:0 "Більше місіонерів може бути отримано вибравши релігійну групу ідей. Деякі національні ідеї також забезпечують додатковими місіонерами. Еспанські ідеї є одним із таких."
 HINT_SCORE_TITLE:0 "Рахунок"
 HINT_SCORE_TEXT:0 "Рахунок вказує на те, як добре ваша нація розвивається. Рахунок ділиться на три групи - адміністративну, дипломатичну та військову."
 HINT_ADMSCORE_TITLE:0 "Адміністративний рахунок"
 HINT_ADMSCORE_TEXT:0 "Адміністративний рахунок збільшується якщо у вас високий щомісячний прибуток, багато провінцій, висока стабільність, престиж та легітимність чи республіканські традиції."
 HINT_DIPSCORE_TITLE:0 "Дипломатичний рахунок"
 HINT_DIPSCORE_TEXT:0 "Дипломатичний рахунок збільшується за розвиток дипломатичних технологій, високі показники ефективності торгівлі, збільшенням числа торговців та адміралів, розвиток флоту, військо-морський бойовий дух, васалів та сильних союзників."
 HINT_MILSCORE_TITLE:0 "Військовий рахунок"
 HINT_MILSCORE_TEXT:0 "Військовий рахунок збільшується за розвиток військових технологій, високий бойовий дух, кількість генералів, високий рівень дисципліни та розмір армії."
 HINT_OUTLINER_TITLE:0 "Планувальник"
 HINT_OUTLINER_TEXT:0 "Планувальник це список інформації про вашу країну."
 HINT_WAROVERVIEW_TITLE:0 "Огляд війни"
 HINT_WAROVERVIEW_TEXT:0 "Результат війни залежить від воєнного рахунку. В кожної сторони конфлікту є лідер. При переговорах з лідером ви ведете переговори з усім альянсом. Підписання миру з лідером також автоматично підпише його з усім альянсом."
 HINT_HRE_TITLE:0 "Священна Римська Імперія"
 HINT_HRE_TEXT:0 "Священна Римська Імперія - це сукупність німецьких країн, які разом утворюють імперію з курфюрстами та імператором. Курфюрсти вибирають імператора після смерті старого. Напад на будь-яку країну Священної Римської Імперії дасть Імператору заклик до зброї для захисту держав-членів від зовнішньої загрози."
 HINT_PAPACY_TITLE:0 "Папський престол"
 HINT_PAPACY_TEXT:1 "Католицькі країни можуть конкурувати за вплив з Папством, витрачаючи свій Папський Вплив на шанс бути наступним контролером Курії."
 HINT_MACROBUILD_TITLE:0 "Вікно будівництва і найму"
 HINT_MACROBUILD_TEXT:0 "Вікно будівництва і найму створене для того, щоб спростити ефективне управління виробництвом у вашій країні. Також воно показує вам де і яка будівля принесе найбільшу вигоду. Виберіть те, що ви хочете створити, а потім провінцію, у якій ви хочете розпочати будівництво."
 HINT_ADMINPOWER_TITLE:0 "Адміністративні бали"
 HINT_ADMINPOWER_TEXT:0 "Адміністративні бали є, мабуть, найбільш необхідним ресурсом у грі. Основний вид їх використання - це перетворення провінцій на національні, підвищення показника адміністративних технологій та розблокування нових ідей."
 HINT_DIPLOPOWER_TITLE:0 "Дипломатичні бали"
 HINT_DIPLOPOWER_TEXT:0 "Дипломатичні бали є одним з основних ресурсів у грі. Вони використовується для зміни культури в провінціях, збільшення показника  дипломатичних технологій та для розблокування нових ідей."
 HINT_MILPOWER_TITLE:0 "Військові бали"
 HINT_MILPOWER_TEXT:0 "Військові бали є одним з основних ресурсів у грі. Вони використовується для підвищення показника військових технологій, найму лідерів та розблокування нових ідей."
 HINT_CHANGEGOV_TITLE:0 "Зміна уряду"
 HINT_CHANGEGOV_TEXT:1 "Ви можете змінити тип свого уряду. Монархії можуть змінити уряд тільки на інші монархії, і так далі. Окремі державні рішення - єдиний спосіб перейти від монархії до республіки. Зміна типу уряду коштуватиме вам 100 балів адміністративної сили."
 HINT_GOVTYPE_TITLE:0 "Форми правління"
 HINT_GOVTYPE_TEXT:0 "Форма правління визначає яким чином будуть змінюватися правителі. Монархії є спадковими і влада переходитиме до спадкоємця після смерті старого правителя. При теократії відбуваються вибори після смерті старого правителя, а у республіках вони відбуваються кожні 4-8 років"
 HINT_PRIMARYCULTURE_TITLE:0 "Основна культура"
 HINT_PRIMARYCULTURE_TEXT:0 "Основна культура вказує на те, яка культура є домінуючою в країні. Культура, яка належить до однієї культурної групи з вашою основною, є терпимою, і дає штраф -15% до кількості рекрутів та податків. Неприйняті культури дають штраф, -33%."
 HINT_ACCEPTCULTURE_TITLE:0 "Прийняті культури"
 HINT_ACCEPTCULTURE_TEXT:1 "Прийняті культури є культурами, які не дають штрафів до кількості рекрутів, надходжень податків та не збільшують ризик повстань. Держава, яка досягає рангу Імперія, являє собою культурне об'єднання і сприймає всі терпимі культури тієї культурної групи як прийнятні культури."
 HINT_COUNTRYMOD_TITLE:0 "Модифікатори держави"
 HINT_COUNTRYMOD_TEXT:0 "Модифікатори держави – це поточні ефекти, які впливають на вашу державу. Вони можуть бути як негативними, так і позитивними."
 HINT_ADVISOR_TITLE:0 "Радники"
 HINT_ADVISOR_TEXT:0 "Радники щомісяця дають бали монарха, а також свій бонус. Найм радників коштує золота, так само як і їхнє утримання. Найкращі радники приносять більше балів монарха, але й коштують набагато дорожче."
 HINT_TECHNOLOGY_TITLE:0 "Технологія"
 HINT_TECHNOLOGY_TEXT:0 "Існують три групи технологій, пов'язані з відповідними очками монарха. Адміністративні технології розблоковуються очками адміністративної сили, і так далі. Вартість визначається вашою технологічною групою і поточним рівнем розвитку."
 HINT_TECHGROUP_TITLE:0 "Технологічна група"
 HINT_TECHGROUP_TEXT:1 "Кожна держава належить до певної технологічної групи, що визначає типи бойових одиниць, які вона отримує."
 HINT_SPYEFFICIENCY_TITLE:0 "Шпигунські мережі"
 HINT_SPYEFFICIENCY_TEXT:1 "Шпигунські мережі розбудовуються іншими державами для здобуття пасивних бонусів. Вищі рівні швидкості Конструювання Шпигунських Мереж дозволять вам пришвидшити конструювання шпигунської мережі, також Викриття Іноземних Шпигунів дозволить вам ловити шпигунів у вашій державі швидше. Бали шпигунської мережі використовуються для підробки претензій, підтримки повстанців та інших таємних операцій."
 HINT_IDEAS_TITLE:0 "Ідеї"
 HINT_IDEAS_TEXT:0 "Ідеї - це те на чому спеціалізується ваша нація. Після вибору групи ідей ви можете відкривати самі ідеї в ній. Розблокування ідеї коштуватиме вам 400 балів монарха. Розблокувавши три ідеї ви також відкриєте одну національну ідею."
 HINT_IDEAGROUP_TITLE:0 "Групи ідей"
 HINT_IDEAGROUP_TEXT:0 "Групи ідей це певною мірою механіка, де ви обираєте спеціалізацію вашої держави. Кожна група ідей пов'язана з певним набором балів монарха. Кожна група ідей вміщує в себе 7 ідей, і відкривши всі ви отримаєте бонус. Слоти групи ідей розблоковуються по мірі розвитку адміністративних технологій."
 HINT_NATIONALIDEAS_TITLE:0 "Національні ідеї"
 HINT_NATIONALIDEAS_TEXT:0 "Національні ідеї додають певного різноманіття та історичного контексту. Розблокувавши 3 звичайні ідеї ви автоматично отримаєте одну національну. Ваші національні ідеї дають вам певні бонуси, а відкриття всіх принесе вам ще один додатковий."
 HINT_DIPUPKEEP_TITLE:0 "Дипломатичні відносини"
 HINT_DIPUPKEEP_TEXT:0 "Альянси, династичні шлюби, васали та право на прохід військ - все це складові дипломатичних відносин. Кожне перевищення ліміту дипломатичних відносин коштуватиме вам 1 очко дипломатичної сили щомісяця. Одна країна займає тільки один слот у системі дипломатичних відносин, тому якщо у вас з нею буде союз та династичний шлюб, то це не займе два слоти."
 HINT_DIPREPUTATION_TITLE:0 "Дипломатична репутація"
 HINT_DIPREPUTATION_TEXT:0 "Дипломатична репутація - це показник, який дозволяє вам досягати більшого успіху у виконанні певних дипломатичних дій. Анексія васалів - це процес, який займає декілька років, і цей час визначається вашою дипломатичною репутацією. Дипломатична репутація також підвищує ймовірність прийняття ваших дипломатичних пропозицій іншими народами."
 HINT_RELIGION_TITLE:0 "Релігія"
 HINT_RELIGION_TEXT:0 "Релігія це одна з головних відмінностей у грі, після культурних. Католицька країна, наприклад, розглядає протестантів, реформованих, коптів та православних як єретиків, у той час як решту релігій - як чужовірців. Всі провінції у вашій країні впливають на релігійну єдність. Змінити релігію провінції можна за допомогою місіонера."
 HINT_RIVAL_TITLE:0 "Суперники"
 HINT_RIVAL_TEXT:0 "Кожна країна може вибрати до трьох суперників. Стосунки із суперниками погіршуються, проте покращуються з їхніми ворогами. Країни-суперники мають вищі шанси отримати місії або події, які дають їм привід воювати одне з одним. Також стає значно дешевше оголошувати ембарго, і можна висунути більші вимоги при підписанні мирної угоди. Послаблюючи своїх суперників, ви збільшуєте свою Могутність. Вибір суперника залишається незмінним протягом 25 років, після чого він може бути змінений за 100 дипломатичних балів."
 HINT_ADMTECH_TITLE:0 "Адміністративні технології"
 HINT_ADMTECH_TEXT:0 "Адміністративні технології розвиваються за рахунок адміністративних балів. Це дуже важливі технології, які розблоковують слоти груп ідей, і відкривають урядові будівлі."
 HINT_DIPTECH_TITLE:0 "Дипломатичні технології"
 HINT_DIPTECH_TEXT:0 "Дипломатичні технології розвиваються за рахунок дипломатичних балів. Вони покращують торгівлю, відкривають торгові та морські будівлі, а також нові потужніші типи кораблів."
 HINT_MILTECH_TITLE:0 "Воєнні технології"
 HINT_MILTECH_TEXT:0 "Воєнні технології розвиваються за рахунок воєнних балів. Вони необхідні для відкриття нових типів військ, воєнних та оборонних будівель."
 HINT_TAXES_TITLE:0 "Податки"
 HINT_TAXES_TEXT:1 "Податки збираються з провінції, і безпосередньо пов'язані з базовим податком. Сума зібраних податків залежить від базового рівня податків у провінції, чи є вона національною та наскільки великий в ній рівень заворушень. Податкові надходження залежать від ефективності оподаткування."
 HINT_TRADE_TITLE:0 "Торгівля"
 HINT_TRADE_TEXT:0 "Торгівля може бути важливим джерелом доходу для країни. Світ поділено на торгові вузли, і кожен товар з провінції транспортується до відповідного вузла. Ви можете перенаправляти торгівлю, або збирати доходи в торгових вузлах. Торгова сила впливає на те, яку частину торгового вузла ви контролюєте. Прибуток від торгівлі безпосередньо залежить від ефективності торгівлі."
 HINT_INCOME_TITLE:0 "Прибуток"
 HINT_INCOME_TEXT:0 "Прибуток отримується від податків, виробництва та тарифів. Податки збираються з провінцій, і можуть бути збільшені за рахунок кращої ефективності оподаткування. Виробництво залежить від торгівлі в провінції, і покращується з розвитком ефективності виробництва. Тарифи являють собою прибуток від колоніальних автономій. Певні ідеї можуть збільшувати прибуток."
 HINT_ROYALMARRIAGE_TITLE:0 "Династичний шлюб"
 HINT_ROYALMARRIAGE_TEXT:0 "Династичний шлюб - це династичні зв'язки між двома країнами. Наявність династичного шлюбу покращує відносини, та збільшить можливість злиття двох династій. Дві країни з правителями одної династії будуть мати досить теплі стосунки. Якщо правитель помирає і не залишає спадкоємця, то з'являється шанс утворити особисту унію між країнами."
 HINT_ENTERROYALMARRIAGE_TITLE:0 "Укладення династичного шлюбу"
 HINT_ENTERROYALMARRIAGE_TEXT:0 "Укладення династичного шлюбу знаходиться в категорії династичні дії вікна дипломатії. Щоб укласти династичний шлюб зробіть наступне - клацніть ПКМ на країні, виберіть династичні дії у вікні дипломатії, та клацніть кнопку династичного шлюбу."
 HINT_ENTERPERSONALUNION_TITLE:0 "Укладення особистої унії"
 HINT_ENTERPERSONALUNION_TEXT:0 "Якщо у вас є династичний шлюб з іншою країною, яка має низький престиж, ви можете висунути претензії на трон. Це дасть вам привід до війни, щоб змусити укласти особисту унію. Коли правитель вмирає, не залишивши спадкоємця, і у вас з ним є династичний шлюб, то з'явиться шанс на особисту унію."
 HINT_PERSONALUNION_TITLE:0 "Особиста унія"
 HINT_PERSONALUNION_TEXT:0 "Особиста унія є формою васальної залежності, при котрій країни мають спільного правителя. Слабший партнер є васалом лідера унії. Якщо відносини досить гарні, то лідер унії має змогу успадкувати землі свого васала."
 HINT_INFLATION_TITLE:0 "Інфляція"
 HINT_INFLATION_TEXT:1 "Інфляція дає негативні економічні ефекти вашій державі. Інфляція призводить до збільшення вартості багатьох речей у вашій країні. Інфляція збільшується випадкових подій, та золотих шахт в провінціях. Її можна зменшити за допомогою радника Майстер Монетного Двору, або економічної ідеї 'Національний банк'. У вікні економіки ви можете зменшувати інфляцію за рахунок адміністративних балів."
 HINT_WARTAXES_TITLE:0 "Військовий податок"
 HINT_WARTAXES_TEXT:0 "Військовий податок може збиратися під час війни. Він знизить вартість військ, але коштуватиме 50£mil£ що два роки."
 HINT_WAREXHAUSTION_TITLE:0 "Виснаження від війни"
 HINT_WAREXHAUSTION_TEXT:0 "Виснаження від війни вказує на те, наскільки ваш народ розорений війною. Високе виснаження збільшує ризик повстань, час будівництва кораблів і формування військ. Також збільшує витрати на націоналізацію провінції. Цей показник можна зменшити за рахунок дипломатичних балів."
 HINT_REVOLTRISK_TITLE:0 "Ризик повстань"
 HINT_REVOLTRISK_TEXT:0 "Ризик повстань - це шанс появи повстанців у вашій провінції. Інша культура, інша релігія, випадкові події - все це може збільшити ризик повстань у ваших землях. Низька стабільність, низька легітимність, високий показник виснаження від війни - все це може спричинити повстання на рівні всієї держави."
 HINT_REBELS_TITLE:0 "Повстанці"
 HINT_REBELS_TEXT:0 "Повстанці можуть з'явитися у ваших провінціях за рахунок високого ризику повстань, та внаслідок випадкових подій. Якщо у вашої армії виникли проблеми з перемогою над повстанцями, то варто перейти у вкладку 'Стабільність і розширення', і зменшити ризик повстань."
 HINT_REBELTYPES_TITLE:0 "Види повстанців"
 HINT_REBELTYPES_TEXT:0 "Існує багато видів повстанців - від селян і єретиків, до націоналістів та претендентів на престол. Різні види повстанців відрізняються силою. Претенденти зазвичай найсильніші, оскільки мають доступ до сильніших військ, які очолює сам претендент на престол."
 HINT_LEADER_TITLE:0 "Лідери"
 HINT_LEADER_TEXT:0 "Лідери очолюють ваші армії і флот. Генерали очолюють армії, найняти генерала коштуватиме 50£mil£. Адмірали очолюють флот і коштують по 50£dip£. Кожен лідер, який перевищує ліміт, коштуватиме вам додатково 1 бал військової сили щомісяця."
 HINT_EXPCONQ_TITLE:0 "Мореплавці та конкістадори"
 HINT_EXPCONQ_TEXT:0 "Мореплавці - це адмірали, яких можна відіслати в нерозвідані морські провінції. Конкістадори - це генерали, що можуть відкрити недосліджені землі. Доступ до них відкривається по досягненні ідеї 'Мандрівка у Новий Світ', у групі ідей 'Дослідження'."
 HINT_EXPLORATION_TITLE:0 "Дослідження"
 HINT_EXPLORATION_TEXT:0 "Незвідані землі сховані за назвою Terra Incognita. Щоби їх відкрити, потрібно мати мореплавця або конкістадора. Мореплавці очолюють флоти, а конкістадори керують арміями."
 HINT_TERRAINCOGNITA_TITLE:0 "Terra Incognita"
 HINT_TERRAINCOGNITA_TEXT:1 "Terra Incognita - це частина світу, яку ви ще не відкрили. Якщо загони не знаходяться під керуванням мореплавця чи конкістадора, або ця земля не належить комусь, з ким ви воюєте, ваші загони не зможуть туди потрапити."
 HINT_TERRAINCOGNITA_ED_TEXT:0 "Terra Incognita - це частини світу, які ще не були вами вивчені. Для освоєння нових земель вам необхідно приписати до армії землепрохідця або мореплавця, і відправити її в експедиційну місію."
 HINT_TERRAINCOGNITA_QFTNW_WARN:0 "§R- Для дослідження морів і океанів ви повинні обрати ідею $IDEANAME$.§!"
 HINT_TERRAINCOGNITA_NEED_EXPLORER:0 "§R- Ваш флот повинен очолювати мореплавець у випадку дослідження Terra Incognita.§!"
 HINT_TERRAINCOGNITA_OUT_OF_RANGE:0 "§R- Наша колоніальна дистанція поки що не дозволяє нам це дослідити.§!"
 HINT_TERRAINCOGNITA_EXPLORE_REGION:0 "Клацніть ПКМ, щоб ваш флот досліджувати регіон §Y$REGION$§!"
 HINT_LOANS_TITLE:0 "Позики"
 HINT_LOANS_TEXT:0 "Позики можуть братися для того, щоб вберегти вашу державу в часи економічної скрути, або для економічних інвестицій з довгостроковою перспективою. Взявши позику, ви миттєво отримаєте золото, але будете щомісяця виплачувати відсотки, поки позика не буде погашена. Якщо ваш щомісячний прибуток є нижчим за відсотки, то держава збанкрутує."
 HINT_INTEREST_TITLE:0 "Відсотки"
 HINT_INTEREST_TEXT:1 "Щоразу коли ви берете кредит, ви будете платити щомісячні відсотки. Чим нижче стабільність, тим вища ставка відсотку."
 HINT_HEAVYSHIPS_TITLE:0 "Важкі кораблі"
 HINT_HEAVYSHIPS_TEXT:0 "Важкі кораблі є найпотужнішими бойовими кораблями у грі, і найбільш дорогими. На них встановлені найкращі гармати та захист корпусу."
 HINT_LIGHTSHIPS_TITLE:0 "Легкі кораблі"
 HINT_LIGHTSHIPS_TEXT:0 "Легкі кораблі мають високу швидкість, і використовуються для охорони торгових маршрутів. Флот, в якому присутні легкі кораблі, можна призначити охороняти торгівлю в торговому вузлі. При цьому легкі кораблі будуть підвищувати показник торгової сили в цьому вузлі."
 HINT_GALLEYS_TITLE:0 "Галери"
 HINT_GALLEYS_TEXT:0 "Галери - це дешеві військові кораблі, найбільш ефективні у внутрішніх морях, де вони отримують додатково 100% атаки проти кораблів інших типів. Можна навести курсор миші на море, щоб дізнатися чи воно є внутрішнім. Середземне море є одним з прикладів внутрішнього моря."
 HINT_TRANSPORTS_TITLE:0 "Транспорт"
 HINT_TRANSPORTS_TEXT:0 "Транспорт використовується, щоб переносити ваші війська через воду. Кожен транспортний корабель може перевозити один полк, незалежно від його укомплектованості."
 HINT_BLOCKADE_TITLE:0 "Блокада"
 HINT_BLOCKADE_TEXT:0 "Блокада стає доступною при досягненні 3 рівня дипломатичних технологій. Ви можете встановити блокаду, розмістивши кораблі в прибережних провінціях ворога. В заблокованих провінціях зменшуються доходи від податків та торгова сила. Також у заблокованих провінціях облога займає менше часу."
 HINT_COALITION_TITLE:0 "Коаліція"
 HINT_COALITION_TEXT:0 "Коаліції формуються з країн, які обурені агресивною експансією іншої держави. Незважаючи на те, що коаліцію буде розпущено, коли там не залишиться обурених країн, члени коаліції не мають бути обуреними, щоби приєднатися. Думка, дистанція, загроза - все це впливає на приєднання нових членів до коаліції. Вся коаліція приєднується до війни, якщо один член коаліції воює з ціллю коаліції."
 HINT_ATTRITION_TITLE:0 "Виснаження"
 HINT_ATTRITION_TEXT:0 "Ліміт забезпечення визначає скільки полків може знаходитись в провінції без виснаження. Виснаження повільно скорочує розміри завеликих армій і є набагато вищим у тропічному кліматі або взимку."
 HINT_COLONIALRANGE_TITLE:0 "Колоніальна дистанція"
 HINT_COLONIALRANGE_TEXT:0 "Колоніальна дистанція визначає максимальну відстань до провінції, яку можна колонізувати. Колоніальну дистанцію можна збільшити за допомогою ідей групи 'Відкриття', і розвитку дипломатичних технологій. Ви також можете придбати право на базування флоту в інших країнах, щоб розширити свою колоніальну дистанцію."
 HINT_COLONY_TITLE:0 "Колонії"
 HINT_COLONY_TEXT:0 "При відправі колоніста потрібен деякий час на те, щоб потрапити у провінцію. Щойно колоніст прибуває на місце, засновується колонія. Коли населення колонії досягає 1000 поселенців, провінція перетворюється на місто, і може будувати будівлі та приносити більше доходів."
 HINT_BUILDING_TITLE:0 "Будівлі"
 HINT_BUILDING_TEXT:1 "Будівлі можна будувати в провінції, яка не є колонією. Кожна провінція має обмежене число місць на яких можна будувати, це число залежить від місцевості та розвитку провінції."
 HINT_MONARCHY_TITLE:0 "Монархії"
 HINT_MONARCHY_TEXT:0 "Монархія - це така форма правління, при якій монарх править до самої смерті, і влада переходить до його спадкоємця. Монархії мають показник легітимності, який вказує на право монарха займати свій престол. Тільки монархії та шляхетні республіки можуть укладати династичні шлюби."
 HINT_REPUBLIC_TITLE:0 "Республіки"
 HINT_REPUBLIC_TEXT:1 "Республіка - це така форма правління, при якій правителя обирають на виборах кожні 4-8 років. Під час проведення виборів ви повинні вибрати нового правителя з кількох кандидатів. Якщо ви залишаєте правителя на новий термін, то це зменшить показник республіканських традицій. Основною перевагою республік є можливість вибору правителя з потрібними вам характеристиками."
 HINT_TRIBE_TITLE:0 "Племена"
 HINT_TRIBE_TEXT:0 "Плем'я - це найпримітивніша форма правління. Вони різняться між собою способом вибору вождів та ступенем централізації влади. Їх технологічний прогрес серйозно відставатиме, допоки не буде реформовано уряд."
 HINT_NOMAD_TITLE:0 "Степові кочовики"
 HINT_NOMAD_TEXT:0 "Степові кочовики є залишками монгольських орд. Ними правлять хани, які утримують владу та популярність за рахунок дроблення опозиції та грабування сусідніх держав. Їхній технологічний прогрес майже не розвиватиметься, допоки не буде реформовано уряд. Кочовики також отримують бонус до атаки, коли воюють на рівнинній місцевості."
 HINT_THEOCRACY_TITLE:0 "Теократії"
 HINT_THEOCRACY_TEXT:0 "Теократія - це форма правління, при якій правителем є релігійна особа, наприклад Папа Римський чи архієпископ. Він править до самої смерті, після чого проводяться вибори нового правителя. Теократії мають спеціальні національні ідеї."
 HINT_COMBATPOWER_TITLE:0 "Боєздатність"
