l_ukrainian:
 FLAGSHIPS_IN_NAVY:0 "Цей флот містить флагмани."
 EXPELLED_AT_LEAST:0 "Вислано принаймні $TOTAL|Y$ меншостей"
 MODIFIER_NUMBER_OF_CANNONS_FLAGSHIP_MODIFIER:0 "Флагманські гармати"
 MODIFIER_NUMBER_OF_CANNONS_FLAGSHIP:0 "Флагманські гармати"
 MODIFIER_MORALE_FLAGSHIP:0 "Бойовий дух флагмана"
 MODIFIER_NAVAL_MAINTENANCE_FLAGSHIP:0 "Утримання флагмана"
 MODIFIER_TRADE_POWER_IN_FLEET:0 "Торгова сила корабля у флоті"
 MODIFIER_FLAGSHIP_NAVAL_ENGAGEMENT_IN_FLEET:0 "Ширина флота"
 MODIFIER_FLAGSHIP_DURABILITY_MODIFIER:0 "Міцність флагмана"
 MODIFIER_BLOCKADE_IMPACT_ON_SIEGE_IN_FLEET:1 "Вплив блокади флоту на облогу"
 MODIFIER_MOVEMENT_SPEED_IN_FLEET:1 "Швидкість руху флоту"
 MODIFIER_NAVAL_MORALE_IN_FLEET:0 "Бойовий дух флоту"
 MODIFIER_EXPLORATION_MISSION_RANGE_IN_FLEET:0 "Дальність дослідження флоту"
 MODIFIER_NAVAL_BARRAGE_COST_IN_FLEET:0 "Вартість морського шквального вогню"
 MODIFIER_NAVAL_ATTRITION_IN_FLEET:0 "Виснаження флоту"
 MODIFIER_CANNONS_FOR_HUNTING_PIRATES_IN_FLEET:0 "Ефективність флоту в полюванні на піратів"
 MODIFIER_FLAGSHIP_LANDING_PENALTY:0 "Бойовий штраф під час висадки"
 PROVINCE_WITHOUT_PORT:0 "У вибраній провінції немає порту."
 COUNTRY_ALREADY_HAVE_FLAGSHIP:0 "У нас вже є флагман."
 COUNTRY_ALREADY_BUILDING_FLAGSHIP:0 "Ми вже будуємо флагман."
 FLAGSHIP_NAVY_TOO_SMALL:0 "Наш флот занадто малий. Нам потрібно мати щонайменше $REQUIRED_SAILORS|Y$ моряків у нашому флоті, ми ж маємо лише $USED_SAILORS|R$."
 FLAGSHIP_CONSTRUCTION_TOOLTIP:0 "Флагман "$NAME|Y$" вийде в море до $DATE|Y$."
 FLAGSHIP_MAINTENANCE_MODIFIER:0 "$VALUE|R$"
 FLAGSHIP_MAINTENANCE_TOTAL:0 "Загальне утримання: $VALUE|R$¤"
 FLAGSHIP_BASE_MAINTENANCE:0 "Базове утримання: $VALUE|R$¤"
 FLAGSHIP_MODIFICATION_MAINTENANCE:0 "$NAME$: $VALUE|R$¤"
 FLAGSHIP_NUMBER_OF_MODIFICATIONS:0 "$CURRENT$/$MAX$"
 FLAGSHIP_YOU_CAN_SELECT_MODIFICATION:0 "Для цього слота не вибрано жодної модифікації"
 FLAGSHIP_ICON_TEXT:0 "Це флагман"
 FLAGSHIP_ICON_TEXT_DESC:0 "Крім модифікацій, він має такі бонуси:\n$MODIFIERS$"
 FLAGSHIP_RANDOM_NAME:0 "Обрати флагману випадкове ім'я"
 FLAGSHIP:0 "Флагман"
 flavor_tun.EVTNAME1:0 "Хайр ад-Дін Барбаросса"
 flavor_tun.EVTDESC1:0 "Горезвісний пірат і адмірал Хайр ад-Дін Барбаросса прибув в Алжир, щоб створити базу для нещадних набігів у Середземному морі. Формально підданий турецького султана, грізний капітан готовий розглянути можливість вступу на нашу службу, якщо ми підтримаємо його в його війні проти християн."
 flavor_tun.EVTOPTA1:0 "Хай він править Алжиром."
 flavor_tun.EVTOPTB1:0 "Призначити його нашим великим адміралом."
 more_flavor_por.EVTNAME1:0 "Португальці в Макао"
 more_flavor_por.EVTDESC1:0 "Контрабанда та піратство - це джерело постійних проблем у затоці Гуанчжоу, але зросла присутність торгових і військових суден [From.GetName]ої держави в Південно-Китайському морі чимало зробило для боротьби з цією незаконною діяльністю. Прагнучи скористатися цим у своїх інтересах, представники португальського уряду запросили дозвіл оселитися в Макао для створення торгового товариства. Вони готові щедро заплатити сріблом за цей привілей."
 more_flavor_por.EVTOPTA1:0 "Дозволити їм взяти під контроль Макао."
 more_flavor_por.EVTOPTB1:0 "Цим іноземцям не можна довіряти."
 more_flavor_por.EVTNAME2:0 "Купівля Макао"
 more_flavor_por.EVTDESC2:0 "Під враженням від наших зусиль в боротьбі з піратством в Південно-Китайському морі [From.Monarch.GetTitle] держави [From.GetName] люб'язно дозволили [Root.GetAdjective]им торговцям влаштуватися в Макао в обмін на прийнятну оплату срібними таелями. Рідкісна можливість відкрито торгувати в Китаї, безсумнівно, буде надзвичайно прибутковою."
 more_flavor_por.EVTOPTA2:0 "Нарешті ми закріпилися в Китаї!"
 more_flavor_por.EVTNAME3:0 "Португальці в Наґасакі"
 more_flavor_por.EVTDESC3:0 "Ми не в перший раз зустрічаємося з нанбанськими торговцями, які намагаються торгувати в наших портах. Наша типова політика - виставити їх геть з порожніми руками. Однак, ці [From.GetAdjective]і єзуїти надали унікальні й переконливі аргументи; оскільки [From.GetAdjective]і торговці мають доступ до закритих портів Китаю, вони зможуть виступати як посередники в торгівлі між Китаєм і Японією. В обмін ми повинні дозволити їхнім священикам і торговцям створити постійне товариство в Наґасакі. Така пропозиція може дати їм небезпечний вплив на справи в Японії."
 more_flavor_por.EVTOPTA3:0 "Дозволити їм торгувати в Наґасакі."
 more_flavor_por.EVTOPTB3:0 "Нам не варто довіряти цим південним варварам."
 more_flavor_por.EVTNAME4:0 "Португальське Наґасакі"
 more_flavor_por.EVTDESC4:1 "Місіонери, яких ми відправили до Японії, принесли нам добрі новини; вони домоглися, щоб [From.Monarch.GetTitle] держави [From.GetName] передав порт Наґасакі Товариству Ісуса. Внаслідок нашої давно усталеної угоди з Церквою це означає, що фактичний контроль над портом переходить до держави [Root.GetName]. Тепер у нас буде безпрецедентний доступ до японської торгівлі та потенційна військова база, якщо ми вирішимо, що наші японські друзі припинили бути нам корисні."
 more_flavor_por.EVTOPTA4:1 "Надіслати Чорні кораблі."
 more_flavor_por.EVTNAME5:0 "Вигнання тигрів-перевертнів"
 more_flavor_por.EVTDESC5:0 "Після захоплення Малакки ми виявили, що в Індії, так само як і в Європі, страждають від демонічних перевертнів. У випадку з малайцями сатана дає звірові здатність носити шкіру людини та, таким чином, блукати їхніми містами непоміченим ніким, за винятком пильних вірян. Священики, яких ми привезли з собою в Малакку, негайно вигнали цих істот, чим показали всім, що Португалія не потерпить присутності демонів, які видають себе за людей."
 more_flavor_por.EVTOPTA5:0 "Брудне породження Сатани!"
 jesuit_order:0 "Єзуїти"
 jesuit_order_desc:0 "Серед видатних християнських євангелістів, місіонери Товариства Ісуса виділяються тим, що прагнуть поширювати слово Боже на чотири сторони світу."
 dominican_order:0 "Домініканці"
 dominican_order_desc:0 "Домініканський Орден є твердим прихильником природних прав усього людства. Зневажаючи рабство та жорстоке поводження, вони прагнуть змінити світ через милосердя."
 franciscan_order:0 "Францисканці"
 franciscan_order_desc:0 "Наступники Святого Франциска Ассізького прагнуть наставити вірян на праведні вчинки своїм прикладом. Для тих, хто не вірує, вони суворі педанти, які підуть на все, що необхідно, для встановлення закону Божого."
 HOLY_ORDER_WHEN_ESTABLISHED:0 "Під час розміщенні місії Ордену:"
 HOLY_ORDER_WHEN_ESTABLISHED_IN_PROVINCES:0 "Зміни в провінції під час розміщення місії:"
 HOLY_ORDER_WHEN_ESTABLISHED_PERMANENT:0 "Постійні ефекти провінції:"
 HOLY_ORDERS:0 "Святі ордени"
 HOLY_ORDER_NOT_AVAILABLE:0 "§RВи не можете розмістити місію цього Ордену:§!"
 ESTABLISH_COST:0 "Розміщення місії цього Ордену обійдеться вам у $COST|Y$$ICON$"
 CONFIRM_ESTABLISH_HOLY_ORDER:0 "Розмістити місію Святого Ордену"
 CONFIRM_ESTABLISH_HOLY_ORDER_DESC:0 "Ви впевнені, що хочете, щоб $ORDER|Y$ розмістили місію свого Святого Ордену у володінні $STATE|Y$? Після розміщення місії її неможливо змінити. Її розміщення матиме такі ефекти:\n\n$EFFECTS$"
 HOLY_ORDER_ESTABLISHED:0 "$ORDER|Y$ розмістили місію у володінні $STATE|Y$\n"
 HOLY_ORDER_CANNOT_AFFORD:0 "§RВи не можете дозволити собі розмістити місію цього Ордену прямо зараз.§!"
 HOLY_ORDER_NOT_ESTABLISHED:0 "$ORDER|Y$ не розмістили місію у володінні $STATE|Y$\n"
 ESTABLISH_HOLY_ORDER:0 "$ORDER|Y$ розмістять місію у володінні $STATE|Y$"
 ESTABLISH_HOLY_ORDER_WRONG_OWNER:0 "§RЩоб розмістити місію Святого Ордену, володіння повинно належати вам або одному з ваших васалів.§!"
 ESTABLISH_HOLY_ORDER_NOT_OWNING_ALL:1 "§RЩоб мати можливість розміщення місії Святого Ордену, усі провінції у володінні повинні належати вашій державі або васалу та бути національними.§!"
 removes_slaves_tooltip:0 "У володінні товар §Yраби§! буде замінено на інший товар."
 EVERY_PROVINCE_IN_STATE:0 "кожної провінції у володінні"
 HOLY_ORDER_DESC:1 "Ви можете розміщувати місії Святих Орденів у володіннях, які повністю належать вам і є національними. Місії Святих Орденів нададуть миттєві та постійні ефекти при їхньому розміщенні в усіх провінціях володіння. Встановивши місію, ви не можете її змінити."
 HOLY_ORDER_DISABLED_NOT_OWNING_ALL:0 "§RЦей Святий Орден не може зараз розмістити тут свою місію, тому що не всі провінції у володінні є національними або належать державі $COUNTRY$.§!"
 HOLY_ORDER_ESTABLISHED_BY:0 "Розміщено:\n$COUNTRY$"
 MACRO_CLICK_TO_BUILD_FLAGSHIP:0 "Клацніть, щоби збудувати флагман у провінції $PROVINCE$"
 MACRO_BUILD_FLAGSHIP:0 "Збудувати флагман"
 BUILD_FLAGSHIP_DETAILS:0 "§GЗбудувати флагман§!\nВідкриває проектування флагмана для додавання модифікацій.\nВитрати на обслуговування будуть залежати від класу флагману та застосованих модифікацій.\nМи втратимо престиж, якщо наш флагман буде потоплений або захоплений.\n\nНа додаток до модифікацій флагман має такі переваги:\n$MODIFIER$"
 BUILD_FLAGSHIP_FLAVOR:0 "Флагман є гордістю флоту. Наш флагман повинен бути розроблений з урахуванням першочергових потреб нації, будь то захист нашої морської торгівлі, панування на морі в морських битвах або організація вторгнень на сушу."
 tortoise.1.t:0 "Розведення черепах"
 tortoise.1.d:0 "Деякі поселенці на Галапагоських островах почали їсти гігантських черепах, що живуть там. Ці нерухомі та беззахисні велетні ідеально підійшли на роль худоби; вони стали товаром серед китобійних суден, що проходять повз острови й стали єдиним значним джерелом доходу колонії.\n\nКажуть, що після дегустації галапагоської черепахи попит на будь-яку іншу тваринну їжу значно падає. М'ясо є найлегшим для перетравлення і його можна їсти в кількості, що перевищує кількість будь-якої іншої їжі, не відчуваючи жодних незручностей."
 tortoise.1.a:0 "Смачні черепахи..."
 delicious_tortoises:0 "Розведення черепах"
 desc_delicious_tortoises:0 "Гігантських черепах розводять тут для їжі. Відомо, що вони дуже смачні."
 has_holy_order_trigger_tooltip:0 "Провінція є частиною володіння, призначеного для місії Святого Ордену"
 EXPEL_MINORITY:0 "Вигнати меншість $NAME$"
 EXPEL_MINORITIES_FROM:0 "Вигнати меншості з провінції $PROVINCE$"
 EXPEL_MINORITIES_TOOLTIP:0 "Меншості з провінції $PROVINCE|Y$ будуть повільно відправлятися до колонії $COLONY|Y$, внаслідок цього в ній залишаться лише піддані нашої основної культури і релігії."
 EXPEL_MINORITIES_TOOLTIP_EXTRA:0 "У колонії пошириться $CULTURE|Y$ культура та $RELIGION|Y$.\nЦе коштуватиме нам $COST|Y$£dip і знизить вартість колонізації на $MAINTENANCE$.\nВислані меншості також набудуть більший шанс отримання нових поселенців на $SETTLER_CHANCE$ і по завершенні колонізації піднімуть загальний розвиток на $VAL$."
 EXPEL_MINORITIES_ALREADY_SHIPPED_OFF:0 "Ця меншість вже відправляється в колонію $COLONY$."
 EXPEL_MINORITIES_NOT_CONTROLLED:0 "Ми можемо вислати меншості лише з контрольованих нами провінцій."
 EXPEL_MINORITIES_NOT_CORE:0 "Ми можемо вислати меншості лише з націоналізованих нами провінцій, котрі є частиною володіння."
 EXPEL_MINORITIES_SEPARATISM:0 "Ми не можемо вислати меншості з провінцій, де поширено націоналізм."
 EXPEL_MINORITIES_CHANGING_CULTURE:0 "Ми вже працюємо над поширенням нашої державної культури."
 EXPEL_MINORITIES_CHANGING_RELIGION:0 "Ми вже навертаємо їх у справжню віру."
 EXPEL_MINORITIES_TOO_MUCH_ZEAL:0 "Це релігійна меншість відрізняється особливим фанатизмом і буде протистояти нашим спробам позбутися від них."
 EXPELLING_MINORITIES:0 "Меншості зазнають вислання"
 NOT_EXPELLING_MINORITIES:0 "Меншості не зазнають вислання"
 EXPULSION_TARGET:0 "Кінцевий пункт вислання"
 EXPEL_MINORITIES_CANCEL:0 "Вислання меншості не можна скасувати після його початку, однак ми все ще можемо відкликати $NAME$, перш ніж він досягне пункту свого призначення."
 EXPEL_MINORITIES_NO_CANCEL:0 "Вислання меншості не може бути скасовано після його початку, однак ми можемо повністю покинути поселення."
 expelled_minority:0 "Вислана меншість"
 desc_expelled_minority:0 "Ця провінція була недавно колонізована висланою меншістю. Вони докладуть усіх зусиль, щоб захистити свої переконання."
 EXPEL_MINORITY_BONUS_DESC:0 "Вислання меншостей з провінції $PROVINCE$: $BONUS$\n"
 ENVOY_EXPELLING_MINORITIES:0 "$NAME|Y$ висилає меншості з провінції $PROV|Y$ до колонії $COLONY|Y$"
 MINORITY_EXPULSION_WORKING:0 "Вислання меншостей з провінції $PROVINCE|Y$"
 MINORITY_EXPULSION_PROGRESS_TRAVELING:0 "Колоніст прибуде сюди до $DATE|Y$, щоби завершити вислання меншостей з провінції $PROVINCE|Y$."
 MINORITY_EXPULSION_PROGRESS_WORKING:0 "$NAME|Y$ з держави $COUNTRY|Y$ займається виселенням меншості з провінції $PROVINCE|Y$ до колонії $COLONY|Y$. Кожен місяць він матиме $CHANCE|Y$ шанс збільшити населення на $NUM|Y$, що забезпечить зростання колонії в середньому на $VAL|Y$ осіб на рік."
 MINORITY_EXPULSION_MAPICON_PROGRESS:0 "Цю меншість висилають до колонії $COLONY|Y$."
 MINORITY_EXPULSION_ALREADY_WORKING:0 "Ми вже працюємо в провінції $PROVINCE|Y$, щоби вислати тамтешню меншість до колонії $COLONY|Y$."
 MINORITY_EXPULSION_GOTO_COLONY:0 "Клацніть, щоби перейти до колонії"
 CONFIRM_ABANDON_COLONY:0 "Підтвердити залишення колонії"
 CONFIRM_ABANDON_COLONY_DESC:0 "Відмовившись від колонії ми втратимо будь-які раніше вкладені інвестиції та дозволимо іншим країнам заявити права на цю землю."
 COLONIZE_PROVINCE:0 "Колонізувати провінцію"
 EXPEL_MINORITIES:0 "Вислати меншості"
 SEND_COLONIST:0 "Відправити колоніста"
 SEND_COLONIST_TOOLTIP:0 "Відправити колоніста до провінції $PROVINCE|Y$.\nВін створить колонію з нашою державною культурою і релігією."
 SEND_COLONIST_LABEL_TOOLTIP:0 "Ми можемо відправити колоніста до провінції $PROVINCE|Y$.\nВін створить колонію з нашою державною культурою і релігією."
 SEND_COLONIST_TOOLTIP_EXTRA:0 "У цю провінцію також можна вислати меншості, якщо в нас є такі, від яких ми хочемо позбутися."
 EXPEL_MINORITY_TOOLTIP:0 "Ми можемо вислати меншості до провінції $PROVINCE|Y$.\nКультуру і релігію їхньої рідної провінції буде перенесено в нову колонію, а в рідній провінції встановляться наша основна культура і релігія."
 SELECT_MINORITY_TOOLTIP:0 "Вислана до провінції $PROVINCE|Y$ $MINORITY|Y$ меншість повільно замінить їх підданими нашої культури і релігії."
 SELECT_MINORITY_TOOLTIP_EXTRA_ACCEPTED:0 "Ця меншість є §Yвизнаною§! і ми маємо $NUM|Y$ провінцій, які їм підходять."
 SELECT_MINORITY_TOOLTIP_EXTRA_NOT_ACCEPTED:0 "Ця меншість є §Rневизнаною§! і ми маємо $NUM|Y$ провінцій, які їм підходять."
 SELECT_MINORITY_TOOLTIP_EXTRA_UNVAILABLE:1 "У жодній з $NUM|Y$ можливих провінцій немає меншостей, які можна вислати.\nДля вислання меншостей необхідно, щоби потенційні провінції були національними, були частиною володіння, не мали націоналізму або релігійного фанатизму й не мали поточного будівництва або навернення."
 FLAGSHIP_BUILD_IN_PROVINCE:0 "Збудувати флагман у провінції $PROVINCE$"
 FLAGSHIP_CANCEL:0 "Скасувати"
 FLAGSHIP_BUILD:0 "Збудувати"
 HAS_FLAGSHIP:0 "Держава має флагман"
 HAS_NOT_FLAGSHIP:0 "Держава не має флагмана"
 MODIFIER_TRADE_COMPANY_INVESTMENT_COST:0 "Вартість інвестицій у торгову компанію"
 RECENT_TREASURE_SHIP_PASSAGE:0 "Корабель зі скарбами нещодавно пройшов через торговий вузол."
 NO_RECENT_TREASURE_SHIP_PASSAGE:0 "Жодний корабель зі скарбами останнім часом не проходив через торговий вузол."
 ANY_NATIVE_POLICY_SET:0 "Обрано політику щодо тубільців."
 NO_NATIVE_POLICY_SET:0 "Політику щодо тубільців не обрано."
 NATIVE_POLICY_SET:0 "Політику $NAME|Y$ щодо тубільців встановлено."
 NATIVE_POLICY_NOT_SET:0 "Політику $NAME|Y$ щодо тубільців не встановлено."
 NATIVE_POLICY_CHANGE:0 "Політику щодо тубільців змінено на $NAME|Y$."
 pirate_republic_reform:0 "Піратська республіка"
 pirate_republic_reform_desc:0 "Оскільки цей випадковий набір піратських команд назвався державою, Піратська Республіка стала раєм для злодіїв, убивць і контрабандистів."
 pirate_republic:0 "Піратська республіка"
 pirate_republic_desc:0 "Оскільки цей випадковий набір піратських команд назвався державою, Піратська Республіка стала раєм для злодіїв, убивць і контрабандистів."
 pr_buccaneers:0 "Буканьєри"
 pr_buccaneers_influence:0 "Вплив буканьєрів"
 pr_buccaneers_FACTION_DESC:0 "Буканьєрами стають відчайдушні та безправні. Колишні раби, заколотники і затавровані моряки – всі знаходять притулок від закону в Піратській Республіці.\n\n§YВони отримують вплив від рейдів на побережжя.§!"
 support_pr_buccaneers_title:0 "Стимулювати буканьєрів"
 support_pr_buccaneers_desc:0 ""
 pr_smugglers:0 "Контрабандисти"
 pr_smugglers_influence:0 "Вплив контрабандистів"
 pr_smugglers_FACTION_DESC:0 "Контрабандисти – підпільні торговці, готові ризикнути власною свободою, щоби продати свої незаконні товари. Вони служать напівлегальним прикриттям для продажу награбованих товарів.\n\n§YВони отримують вплив через перебування в мирі.§!"
 support_pr_smugglers_title:0 "Стимулювати контрабандистів"
 support_pr_smugglers_desc:0 ""
 pr_captains:0 "Капітани"
 pr_captains_influence:0 "Вплив капітанів"
 pr_captains_FACTION_DESC:0 "Піратські капітани, часто колишні капери, вигнані через жадібність або з політичних мотивів. Вони мають досвід, освіту та харизму, щоб очолити піратів.\n\n§YВони отримують вплив від каперства.§!"
 support_pr_captains_title:0 "Стимулювати капітанів"
 support_pr_captains_desc:0 ""
 PIRATE_REPUBLIC:0 "Піратська республіка"
 PIRATE_CONFEDERACY:0 "Піратська конфедерація"
 GRAND_PIRATE_CONFEDERACY:0 "Велика піратська конфедерація"
 CAPTAIN:0 "Капітан"
 CAPTAIN_fem:0 "Капітан"
 GRAND_CAPTAIN:0 "Гранд-капітан"
 GRAND_CAPTAIN_fem:0 "Гранд-капітанка"
 GRAND_ADMIRAL:0 "Гранд-адмірал"
 ADMIRAL_fem:0 "Гранд-адміралка"
 PIRATE_PRINCIPALITY:0 "Піратське князівство"
 PIRATE_KINGDOM:0 "Піратське королівство"
 PIRATE_EMPIRE:0 "Піратська імперія"
 PIRATE_PRINCE:0 "Піратський принц"
 PIRATE_KING:0 "Піратський король"
 PIRATE_EMPEROR:0 "Піратський імператор"
 PIRATE_PRINCESS:0 "Піратська принцеса"
 PIRATE_QUEEN:0 "Піратська королева"
 PIRATE_EMPRESS:0 "Піратська імператриця"
 mechanic_force_admiral_leader_yes:0 "Нові правителі стають адміралами."
 mechanic_force_admiral_leader_no:0 "" # deliberately blank
 mechanic_admirals_become_rulers_yes:0 "Адмірал стає правителем, коли нинішній правитель вмирає."
 mechanic_admirals_become_rulers_no:0 "" # deliberately blank
 pirates.1.t:0 "Election in the [Root.GovernmentName]"
 pirates.1.desc:0 "A [Root.Monarch.GetTitle] rules over a nation of thieves and murderers whose sole political desire is to not be ruled at all. It is a task comparable to herding sharks, yet some brave or foolhardy soul must fill the role.\n\nThe time has come once again to elect the [Root.Monarch.GetTitle], and [Root.Monarch.GetName] does not plan on giving up [Root.Monarch.GetHerHis] authority.  [Root.Monarch.GetName] must convince the assembled pirates through persuasion or dread intimidation that [Root.Monarch.GetHerHis] rule is preferable to that of [Root.Monarch.GetHerHis] rivals."
 pirates.1.desc2:0 "[Root.Monarch.GetName] has met the fate destined for most pirates; a brutal and untimely end. The crews have been called to assembly to elect a new [Root.Monarch.GetTitle].\n\nA [Root.Monarch.GetTitle] rules over a nation of thieves and murderers whose sole political desire is to not be ruled at all. It is a task comparable to herding sharks, yet some brave or foolhardy soul must fill the role."
 pirates.1.keep:0 "Keep $MONARCH$"
 historical_pirate_tooltip:0 "Re-electing this ruler will not cost any Republican Tradition."
 pirates.1.a:0 "An up-and-coming pirate."
 pirates.1.b:0 "A well-connected smuggler."
 pirates.1.c:0 "An experienced and dreaded captain."
 pirates.1.d:0 "Blackbeard!"
 pirates.1.e:0 "'Calico' Jack Rackham."
 pirates.1.f:0 "Anne Bonny."
 pirates.1.g:0 "Mary Read."
 pirates.1.h:0 "Charles Vane."
 pirates.1.i:0 "Black Caesar"
 pirates.1.j:0 "Ching Shih"
 pirates.1.k:0 "Yusuf Raïs, formerly Jack Ward."
 pirates.1.l:0 "Laurens de Graaf."
 pirates.1.m:0 "Michel de Grammont."
 pirates.1.n:0 "Piet Heyn."
 pirates.1.o:0 "Grace O'Malley."
 women_history_events.22.da:0 "She shall lead our Pirate Republic!"
 pirates.1.p:0 "François l'Olonnais"
 pirates.2.t:0 "The Pirate Republic"
 pirates.2.d:0 "Nassau has fallen! The pirates of New Providence have become so emboldened by the absence of civilized government in the Bahamas that they have overrun the fort and proclaimed a Republic of Pirates.\n\nChief among them is the pirate captain Benjamin Hornigold. Hornigold maintains a tenuous leadership over the traitors and criminals of the island; the ruthless lieutenants under his command watch him closely for signs of weakness.\n\nThis ‘Republic of Pirates’ is not only a violation of our sovereignty over the Bahamas, but an affront to all civilized peoples. Anarchy reigns in New Providence."
 pirates.2.a:0 "A pirate's life for me!"
 pirates.2.b:0 "They will hang for this!"
 pirates.3.t:0 "Libertatia"
 pirates.3.d:1 "An unlikely alliance between the pirate captains Misson and Tew, as well as the Dominican priest Caraccioli, have united the pirates of Madagascar into a single community. Naming their colony ‘Libertatia’, the pirates appear to follow a utopian doctrine of radical liberty and communalism. The pirates consider slavery and statecraft to be anathema to their ideals. They govern through majority voting and bolster their ranks by recruiting liberated slaves from Angola.\n\nWhile this ragtag republic will surely draw the ire of the European colonial powers, whose merchant vessels they mark as prey, this unruly crew of idealists may thrive under our protection."
 pirates.3.a:0 "A pirate's life for me!"
 pirates.3.b:0 "They are welcome to settle on our shores."
 pirates.4.t:0 "The Republic of Salé"
 pirates.4.d:0 "The zealous Spanish Inquisition continues to ruthlessly purge and deport the Moriscos, the descendents of converts whom they suspect of hiding their Muslim faith. A large group of wealthy Moriscos from the province of [218.GetName] have fled [218.Owner.GetName] in anticipation of further oppression.\n\nThey have settled in Salé, where they have abandoned their former lives and adopted a new profession; high seas piracy. Joined by a host of piratical slavers, the newly formed Republic of Salé is led by the Dutch pirate Jan Janszoon, now calling himself by his Muslim name Murat Reis.\n\nWe should take these ambitious refugees under our wing. After all, the enemy of our enemy is our friend."
 pirates.4.a:0 "A pirate's life for me!"
 pirates.4.b:0 "Let us make friends of these pirates."
 pirates.5.t:0 "The Pirate Queen of Tétouan"
 pirates.5.a:0 "A pirate's life for me!"
 pirates.5.b:0 "Let her reign from Tétouan."
 pirates.6.t:0 "The Pirates of Port Royal"
 pirates.6.d:0 "We have awarded a great number of letters of marque to enterprising privateers in the Caribbean with the goal of harassing [spanish_main_country.GetAdjective] shipping. These privateers have made their home in the town of Port Royal on [487.GetName], where they have found great opportunity for plunder.\n\nThe willingness of Port Royal’s authorities to deal in stolen goods has also attracted a less savory sort; pirates who bear no letter of marque and recognize no sovereign have begun to make their bases on the island. The appeals of lawlessness have not been lost on our privateers; several have already abandoned their commissions and turned pirate. The gossip in [Root.Capital.GetCapitalName] is that Port Royal has become a pirate utopia, a Sodom of the New World."
 pirates.6.a:0 "A pirate's life for me!"
 pirates.6.b:0 "We must restore order in Port Royal."
 pirates.7.t:0 "The Brethren of the Coast"
