l_ukrainian:
 #Legacy Missions
 conquer_moscow_ukr_title:0 "Завоювати Москву"
 HET_ADJ:0 "Гетьманськ"
 OTAMAN:0 "Отаман"
 OTAMAN_fem:0 "Отаманка"
 money_tributes_ukr:0 "Грошова данина"
 men_money_tributes_ukr:0 "Данина людьми і грошима"
 no_more_tributes_ukr:0 "Більше ніякої данини!"
 overlord_gets_forcelimit_ukr:0 "\n§Y[This.GetAdjective]ий§! ліміт військ зросте на §Y+1§! за кожну нашу провінцію, окрім нашої столичної."
 hetmanate_mil_tech_tooltp:0 "Якщо не вестернізований, Гетьманат отримає постійну знижку на вартість військових технологій §G-20%§!."
 overthroned_hetman:0 "Скинутий гетьман"
 kozatska_starshyna:0 "Козацька старшина"
 EST_VAL_RANDOMSTARSHYNA_LEADER:0 "Лідер від старшини: §Y$VAL$%§!"
 PROV4543:0 "Опішня"
 PROV_adj4543:0 "Опішнянськ"
 
 # Bookmarks
 RUTHENIAN_RECONQUISTA_NAME:0 "Велика Руська Реконкіста"
 RUTHENIAN_RECONQUISTA_DESC:0 "Після литовської Громадянської війни 1432–38, де об'єднані сили руської шляхти, попри поразку під Вількомиром усе ж продовжили боротьбу. Для послаблення напруги зі знаттю, яка розвоювалася, переможець князь Сигізмунд надав руським феодалам широку автономію. Невдовзі найсильніші князівства – Київське, Чернігівське, Волинське та на півдні, щойно заснована цитадель лицарства – Запоріжжя, – об'єднали під своїми стягами більшість руських земель у чотири незалежні держави, в яких Великий Князь Литовський не мав реальної влади. Час покаже хто вартий слави великої Русі."
 
