l_ukrainian:
 refused_food_import:0 "Відмова від імпорту продовольства"
 mercantilism_events.3.b:0 "Потрібно покладатися на власні ресурси."
 mercantilism_events.4.t:0 "Імпорт такелажу"
 mercantilism_events.4.d:0 "Спроби збільшити флот нашої держави ні до чого не привели. [Root.GetAdjective]і кораблебудівники потребують матеріалів. Дехто стверджує, що наш сусід має надлишки матеріалів, використання яких дозволить продовжити побудову сучасного флоту. Ми намагаємося зробити наш флот незалежним від іноземних поставок, але якщо ця політика загальмовує наш розвиток, то чи не варто нам відмовитися від неї на користь імпортних матеріалів?"
 mercantilism_events.4.a:0 "Можна ризикнути, якщо це допоможе."
 mercantilism_events.4.b:0 "Кораблі із закордонної деревини? Безпечніше робити їх з каменю."
 mercantilism_events.5.t:0 "$TRADER$, суперечки про торгову політику"
 mercantilism_events.5.d:0 "З того часу як $TRADER$ почав давати поради стосовно покращення торгової політики в державі [Root.GetName], внутрішня торгівля зросла за рахунок скорочення імпорту та збільшення державного регулювання торгівлі. На разі його рішення про вдосконалення інфраструктури було сприйняте суспільством позитивно, але багато впливових людей почало задаватися питаннями про те, що за ними стоїть. На їхню думку, [Root.Monarch.GetTitle] занадто охоче приймає його поради. І що ми повинні шукати взаємовигідні угоди з іншими країнами, а не намагатися домінувати в усіх сферах торгівлі."
 mercantilism_events.5.a:0 "$TRADER$ і його ідеї дуже допомогли нам."
 mercantilism_events.5.b:0 "Торговець повинен просувати вільну торгівлю, а не обмежувати її."
 mercantilism_events.6.t:0 "Радикальні реформи"
 mercantilism_events.6.d:0 "Двоє наших найдовіреніших слуг – $MASTER_OF_MINT$ і $TRADER$, недавно щось обговорювали. Деякі кажуть змову, інші – великі плани держави [Root.GetName]. Але справжня мета їхньої розмови залишається таємницею.\n\nНарешті через деякий час вони надсилають вам результати. Товстий стос паперів містить плани величезних змін у торговій політиці, включаючи збільшення протекціонізму, реформи у виробничій політиці. Деякі скажуть: 'Радикально'.\n'Необхідно' – говорить $MASTER_OF_MINT$.\n'Прибутково' – говорить $TRADER$.\n\nЩо скаже [Root.Monarch.GetName]?"
 mercantilism_events.6.a:0 "[Root.Monarch.GetTitle] підтримує ці реформи, а чернь нехай сидить тихо."
 mercantilism_events.6.b:0 "$MASTER_OF_MINT$ має поганий вплив, під який підпав $TRADER$."
 mercantilism_events.6.c:0 "$TRADER$ вважає, що ідеї, які сповідує $MASTER_OF_MINT$ занадто радикальні."
 mercantilism_events.6.e:0 "Забирайтеся геть зі своїми ідеями!"
 mercantilism_events.7.t:0 "Міжколоніальна торгівля"
 mercantilism_events.7.d:0 "Створення колоніальних підданств за кордоном дозволило нам розширити торгівлю, контролюючи потік товарів з [Root.GetAdjective]их земель. Поки ми постачаємо колонії всім необхідним, у них немає причин торгувати з ворогами. \n\nАле поселенці іноді маю інше бачення. Вони починають торгувати із сусідніми колоніями й тубільцями,в обхід торгових бар'єрів. Вони у виграші... але в чи виграші ми?"
 mercantilism_events.7.a:0 "Вони є частиною держави [Root.GetName]. Наші інтереси – їхні інтереси."
 mercantilism_events.7.b:0 "Вони є частиною держави [Root.GetName]. Їхні інтереси – наші інтереси."
 mercantilism_events.8.t:0 "Імпорт шоколаду"
 mercantilism_events.8.d:0 "Відомі економісти помічають збільшення поставок шоколаду до нашої країни. Після того як наш сусід став контролювати більшу частину світового експорту какао, його кондитерські вироби стали популярними навіть серед [Root.GetAdjective]ого народу. Протекціоністи сумніваються, чи вигідний такий імпорт колоніальних товарів з держави [Root.GetName], оскільки зростаюча залежність від іноземного імпорту веде до витоку золота зі скарбниці."
 mercantilism_events.8.a:0 "Але ж ріка солодкого шоколаду тече в нашу країну"
 mercantilism_events.8.b:0 "Обмежте поставки"
 mercantilism_events.8.c:0 "Припинити ввіз шоколаду. Краще налагодити виробництво цукру"
 mercantilism_events.9.t:0 "Імпорт кави"
 mercantilism_events.9.d:0 "Відомі економісти помічають збільшення поставок кави до нашої країни. Після того як наш сусід став контролювати більшу частину світового експорту кави, його кав'ярні стали популярними навіть серед [Root.GetAdjective]ого народу. Протекціоністи сумніваються, чи вигідний такий імпорт колоніальних товарів з держави [Root.GetName], оскільки зростаюча залежність від іноземного імпорту веде до витоку золота зі скарбниці."
 mercantilism_events.9.a:0 "Ці так звані економісти нічого не розуміють в напоях"
 mercantilism_events.9.b:0 "Ми повинні обмежити поширення цього неприродного наркотику."
 mercantilism_events.9.c:0 "Ми п'ємо чай. В нас немає кави."
 mercantilism_events.10.t:0 "Імпорт чаю"
 mercantilism_events.10.d:0 "Відомі економісти помічають збільшення поставок чаю до нашої країни. Після того як наш сусід став контролювати більшу частину світового експорту чаю, цей напій став популярним навіть серед [Root.GetAdjective]ого народу. Протекціоністи сумніваються, чи вигідний такий імпорт колоніальних товарів з держави [Root.GetName], оскільки залежність від іноземного імпорту веде до витоку золота зі скарбниці."
 mercantilism_events.10.a:0 "Чаювання вже стало нашою традицією."
 mercantilism_events.10.b:0 "Ми повинні викинути їхній чай за борт"
 mercantilism_events.10.c:0 "Кому потрібен чай, якщо є кава?"
