l_ukrainian:
 native:1 "Корінне плем'я"
 misl_confederacy_reform_desc:0 "Історія наших поневірянь навчила нас тому, що організація нашої держави повинна бути заснована на швидкому реагуванні на зовнішні загрози. Ми — Місальска конфедерація, що складається з окремих спільнот з власними арміями."
 khalsa_reform:0 "Сила Хальсів"
 khalsa_reform_desc:0 "З Хальсами, що стоять за нами, ми можемо майже все.\nОднак ми не можемо стати такими ж гнобителями, з якими так довго боролися. У нашій державі всі матимуть змогу піднятися по щаблях влади."
 rajput_kingdom:0 "Раджпутське королівство"
 rajput_kingdom_desc:0 "Раджпутське королівство керується тісними зв'язками вірності та спорідненості з кланами правлячої династії та їхніх спадкоємців. Як головний клан, ми маємо довгу історію і міцні традиціё військової майстерності, на які ми можемо покластися. Кожного разу, коли наближається війна або лихо, ми можемо покластися на наших прибічників як з усього королівства, так і з сусідніх регіонів."
 nayankara_reform:0 "Система Наянкара"
 nayankara_reform_desc:0 "Щоб краще контролювати ці землі й задовольняти наші військові амбіції, ми розділили багато наших володінь між наяками. Ми сподіваємося, що наяки подбають про них, як і про міста, храми та інші поселення що розташовані на їхніх територіях. Також ми содіваємося що вони подбають про створення армій, які нам потрібні для захисту й розширення нашого королівства."
 poligar_reform:0 "Надати владу Полігарам"
 poligar_reform_desc:0 "На наших землях чимало місцевих племен та кланів, які могли б нам прислужитися, якщо б ми забезбечили їм місце в нашій державній системі. Як клас, полігари можуть бути правохоронцями, зодчими оборонних споруд, місцевими чиновниками та військовими офіцерами. Більше того, вони могли би мобілізувати співплемінників, забезпечивши нас таким чином людськими ресурсами."
 merchants_reform:0 "Плутократія"
 merchants_reform_desc:0 "Плутократична республіка є державою, де багатство і торгівля диктують порядок денний. Правитель обирається з числа найвпливовіших торговельних родин держави й змушений покладатися на їхню підтримку."
 noble_elite_reform:0 "Дворянські еліти"
 noble_elite_reform_desc:0 "У цій Республіці керування державою є спадковим правом декількох шляхетних родин. Ці родини обирають правителя з власного кола, і цей обранець змушений покладатися на їхню підтримку."
 gond_kingdom:0 "Королівство Ґонду"
 gond_kingdom_desc:0 "Ґондвана є землею джунглів, пагорбів і фортець, але, перш за все, це земля багатьох племен. Контроль над цими землями означає надання різним незначним владним групам значних привілеїв та високого рівня самоуправління. Фортеці є ключем до контролю населення нашого королівства, і цей контроль дасть нам змогу ширити нашу волю серед ґондуських людей."
 deccani_society_reform:0 "Деканські еліти"
 deccani_society_reform_desc:0 "Декан лише нещодавно було завойовано ісламськими державами, і наші предки залежали від імміграції для пошуку управлінців і утримання своєї держави. З часом це створило нове покоління деканців, сповнених космополітичними ідеями."
 sidhi_recruitment:0 "Набір Сідгів"
 sidhi_recruitment_desc:0 "З часом стало ясно, що ми не можемо довіряти ні конфілктним амірам, ні місцевим землевласникам. Якщо ми хочемо занайти чиновників і командувачів яким ми можемо довіряти, нам варто спробувати залучитися підтримкою невільників."
 dakhni_culture_reform:0 "Дахнійська культура"
 dakhni_culture_reform_desc:0 "Оскільки наше царство росте та мужніє, деканська культура отримала поширення серед еліт великих міст. Усі вони говорять спільною мовою - дахні, - що являє собою суміш перської і тюркської. Треба скористатися цими елітами в нашій адміністрації та наймати управлінців, здатиних працювати в усіх кутках нашої країни."
 free_city:0 "Імперське місто"
 free_city_desc:0 "Це вільне імперське місто яке обдарував привілеями сам Імператор."
 revolutionary_republic_reform:0 "Революційна республіка"
 presidential_despot_reform:0 "Президентська диктатура"
 presidential_despot_reform_desc:0 "У цій державі обраний диктатор володіє майже абсолютною владою."
 republican_virtues:0 "Республіканські чесноти"
 republican_authoritarianism_reform:0 "Авторитаризм"
 republican_authoritarianism_reform_desc:0 "Ця республіка ставить закон та порядок на перше місце та намагається забезпечити повагу до центрального уряду по всій країні."
 nepotism_reform:0 "Політичні династії"
 nepotism_reform_desc:0 "У цій країні з часом з'явилися декілька родин, які готові взяти на себе тягар державності. Вони були настільки готові взяти на себе такі повноваження, що всі очікують що колись їм буде надана така можливість."
 republicanism_reform:0 "Республіканізм"
 republicanism_reform_desc:0 "Ця республіка проголосила себе оборонцем республіканських ідеалів, громадянської влади та всіх тих, хто працює разом для загального блага."
 frequent_elections_vs_consolidation_of_power:0 "Частота виборів"
 frequent_elections_reform:0 "Постійні вибори"
 frequent_elections_reform_desc:0 "Довгі терміни роблять правителів безрозсудними й саме поняття того, що хтось перебуває довгий час біля керма влади, суперечить ідеям республіки. Реформуймо нашу виборчу систему, щоби забезпечити кращу підзвітність наших виборних посадових осіб."
 consolidation_of_power_reform:0 "Консолідація влади"
 consolidation_of_power_reform_desc:0 "Поточні терміни для посадових осіб є занадто короткими для запровадження великих проектів. Це лише породжує популізм і призводить до недалекоглядної політики. Реформуймо нашу виборчу систему, щоб дозволити нашим виборним представникам посідати довші терміни. Це розв'яже їм руки, та надасть змогу реалізувати важливі проекти."
 federalism_vs_unitarism_vs_confederacy:0 "Регіоналізм"
 provincial_governments_reform:0 "Провінційні уряди"
 provincial_governments_reform_desc:0 "Щоб наша адміністрація була ефективною, ми повинні надати провінційним урядам свободу, якої вони потребують для виконання своїх функцій. Місцеві вибори забезпечать призначення надійних людей, які відповідатимуть перед центральним урядом."
 administrative_divisions_reform:0 "Адміністративний розподіл"
 administrative_divisions_reform_desc:0 "Розділимо державу на географічні регіони, якими керуватимуть посадові особи, призначені нашим центральним урядом."
 union_of_states_reform:0 "Державне об'єдання"
 union_of_states_reform_desc:0 "Замість однієї єдиної держави наша країна виросла з великого числа держав, інтегрованих в одну конфедерацію. Оскільки наша адміністрація росте і розвивається, ми повинні поважати права держав-членів, щоб не заплямувати самі принципи нашого існування."
 parliamentary_vs_presidential:0 "Розподіл влади"
 presidential_reform:0 "Президентська система"
 presidential_reform_desc:0 "Голову, або президента, наших керівних органів потрібно обирати окремо від законодавчої гілки влади. Таким чином президент зможе призначати чи звільняти членів уряду."
 consolidation_of_power_category:0 "Консолідація влади"
 broaden_executive_powers_reform:0 "Розширити виконавчі повноваження"
 broaden_executive_powers_reform_desc:0 "По мірі зростання країни, зростає й потреба діяти швидко та ефективно. Єдиним способом забезпечити це є розширення повноважень виконавчої влади, щоб вона мала необхідні інструменти управління."
 devolution_of_powers_reform:0 "Делегування влади"
 devolution_of_powers_reform_desc:0 "Жодна людина не може керувати такою великою і складною країною, як наша. Накопичення таких повноважень в руках одного правителя також суперечить республіканським ідеалам наших предків.\nДецентралізація і делегування означають нашу можливість задовольняти потреби постійно зростаючої держави."
 guiding_principle_of_administration:0 "Керівний принцип адміністрування"
 political_principle_reform:0 "Політичний принцип"
 political_principle_reform_desc:0 "Як і належить республіці, керівні принципи нашої держави повинні бути такими, що сприяють підвищенню ефективності політичного апарату й політичних ідеалів."
 moral_principle_reform:0 "Моральний принцип"
 moral_principle_reform_desc:0 "Однією з головних функцій держави є підтримка доброчесних та моральних цінностей. Оскільки наша Республіка багато в чому спирається на добру і доброчесну поведінку своїх громадян, корупція та гріховна поведінка повинні викорінюватися на благо всієї країни."
 electorate:0 "Електорат"
 landholders_reform:0 "Землевласники"
 landholders_reform_desc:0 "Землевласники є основою влади в будь-якому суспільстві й наша держава не є винятком. Надамо повноваження голосувати всім, хто має землю, та оцінюватимемо їхні голоси відповідно до розміру їхньої власності."
 citizenry_reform:0 "Громадяни"
 citizenry_reform_desc:0 "Республіка покладається на своїх громадян для належного функціонування, а тому правильно, що кожен громадянин нашої держави матиме право обирати тих, хто керуватиме нашою державою. Набуття привілею громадянства також буде стимулом для гідної поведінки всім тим, хто перебуває під нашим контролем."
 office_selection:0 "Відбір кандидатів"
 sortition_reform:0 "Жеребкування"
 sortition_reform_desc:0 "На жаль, голоси можна купити, а старі привілеї не зникають безслідно, що кидає тінь на прозорість виборів. Реалізуймо систему, в якій кандидата обиратимуть напіввипадково з реєстру претендентів на посаду."
 universal_suffrage_reform:0 "Розширене виборче право"
 universal_suffrage_reform_desc:0 "Розширимо можливість зайняття важливих посад для більшості людей, щоби мати ширший та адекватніший вибір на державні посади."
 question_of_dictatorship:0 "Питання диктатури"
 seize_executive_power_reform:0 "Захопити виконавчу владу"
 seize_executive_power_reform_desc:0 "Республіканізм послужив нам добре, але настав час, коли ми маємо надати змогу сильному правителю повести нашу державу в нову еру."
 proclaim_divine_guidance_reform:0 "Проголосити божественний провід"
 proclaim_divine_guidance_reform_desc:0 "Божественний провід, а не народна підтримка, повинен бути головним правилом нашої держави. Призначімо когось, хто дійсно піклується про моральний добробут наших підданих."
 strengthen_executive_powers_reform:0 "Посилити виконавчі повноваження"
 strengthen_executive_powers_reform_desc:0 "У республіці авторитет і сила держави є надзвичайно важливими якостями. Ми повинні зміцнити центральну владу та забезпечити, щоб усі рішення, прийняті в столиці, досягали кожного куточоку нашої країни."
 reinforce_republican_values_reform:0 "Посилити республіканські цінності"
 reinforce_republican_values_reform_desc:0 "Збереження республіканських цінностей, на яких побудована ця країна, є єдиним способом забезпечення успішного розвитку нашої держави."
 tribal_desc:0 "Ця держава є плем'ям. Хоча в них є чіткий лідер і аристократія, їм бракує державних інституцій монархії чи республіки."
 tribal_administration:0 "Племінна Адміністрація"
 tribal_cultural_values:0 "Культурні цінності"
 martial_society_reform:0 "Воєнізоване суспільство"
 martial_society_reform_desc:0 "Військові цінності завжди були важливі в нашому суспільстві, та оскільки ми розширюємо воєнізоване суспільство, ми повинні продовжувати розвивати та зберігати його, як основу нашої держави."
 civil_society_reform:0 "Громадянське суспільство"
 civil_society_reform_desc:0 "Жодна держава не може складатися лише з воїнів. Ми повинні зміцнювати зв'язки з громадянським суспільством і міськими жителями в нашій державі, щоб знімати з них прибутки ще ефективніше."
 tribal_religion:0 "Племінна релігія"
 religious_societies_reform:0 "Релігійне суспільство"
 religious_societies_reform_desc:0 "Ми можемо й надалі сподіватися на вірність кланів, наша експансія зробила нас господарями такого числа народів, якого ми не мали ніколи раніше. Сильне релігійне суспільство, здатне ефективніше впоратися з розширенням у часі та просторі, дасть нам необхідну згуртованість."
 lip_service_reform:0 "Порожні слова"
 lip_service_reform_desc:0 "Хоча для збереження нашої легітимності важливо дотримуватися релігійних практик, ми не повинні прив'язуватися до принципів праведного правління і моралі. Прагматичний підхід допоможе нам досягти успіху й дозволить підтримувати більшу державу та армію."
 tribal_modernization:0 "Модернізація"
 centralize_tribal_power_reform:0 "Централізувати владу"
 centralize_tribal_power_reform_desc:0 "Ми надто залежні від відданості кланів і племен у нашій державі. Почнімо замість цього формувати інституціональну вірність і розділимо обов'язки держави між підвладними нам чиновниками."
 retain_tribal_hierarchy_reform:0 "Зберегти племінну ієрархію"
 retain_tribal_hierarchy_reform_desc:0 "Будь-яка форма модернізації повинна зберігати давні ієрархії кланів та племен у нашій державі. Без підтримки цих груп наша країна не зможе розширюватися і процвітати, як дотепер."
 tribal_reformation:0 "Племінна реформація"
 tribe_becomes_monarchy_reform:0 "Реформуватися в монархію"
 tribe_becomes_monarchy_reform_desc:0 "Прийшов час відмовитися від нашого племінного устрою та створити повноцінну монархію, яка покладається на державні інституції, а не на відданість кланів."
 tribe_becomes_republic_reform:0 "Реформуватися в республіку"
 tribe_becomes_republic_reform_desc:0 "Ми повинні охороняти свободи наших громадян та формувати державу, де посада голови уряду є не спадковою, а виборною між тими, хто володіє необхідними якостями."
 tribe_becomes_theocracy_reform:0 "Реформуватися в теократію"
 tribe_becomes_theocracy_reform_desc:0 "Релігійне керівництво - це шлях вперед для нашого народу. Залучімо духовенство до управління державою та пожнемо плоди справедливого та благочестивого керівництва."
 tribe_becomes_horde_reform:0 "Стати ордою"
 tribe_becomes_horde_reform_desc:0 "Степи звуть наших людей. Відмовимося від осілих традицій наших предків і повністю приймемо вільне життя відкритих рівнин."
 theocratic_leadership:0 "Лідерство"
 monastic_order_reform:0 "Чернечий орден"
 monastic_order_reform_desc:0 "Цією державою керують члени чернечого ордену. Ієрархічні структури та закони ордену заміщують необхідність більшості законів та адміністрування."
 papacy_reform:0 "Папство"
 papacy_reform_desc:0 "Політична структура, де нацією керує духовний лідер - Папа - вища посадова особа Римо-католицької церкви."
 leading_clergy_reform:0 "Клерикальна держава"
 leading_clergy_reform_desc:0 "Цією державою керує духовенство, яке використовує ієрархію релігійних інституцій для досягнення всіх урядових цілей."
 internal_vs_external_mission:0 "Внутрішні та зовнішні місії"
 internal_mission_reform:0 "Внутрішні місії"
 internal_mission_reform_desc:0 "Ми мусимо зосередитися на нашій релігійній місії всередині країни: захистити вірян, нагодувати бідних та виконати свої релігійні обов'язки."
 external_mission_reform:0 "Зовнішні місії"
 external_mission_reform_desc:0 "Поширення нашої священної віри повинно бути нашою головною місією, і ми не заспокоїмося, поки не здолаємо всіх ворогів нашої релігії."
 divine_cause:0 "Божественне призначення"
 safeguard_holy_sites_reform:0 "Захистити святі місця"
 safeguard_holy_sites_reform_desc:0 "Нашим святим обов'язком є догляд за святими паломницькими місцями, які нам підконтрольні, та захист усіх паломників, що ступають на наші землі."
 combat_heresy_reform:0 "Боротьба з єрессю"
 combat_heresy_reform_desc:0 "У борні за розповсюдження істинної віри ми ніколи не повинні зраджувати нашим переконаннням і бути готовими викорінити єресь, - де б вона не з'являлася."
 expel_heathens_reform:0 "Вигнання чужовірців"
 expel_heathens_reform_desc:0 "Наша держава росте, а разом з цим збільшується і вразливість від неправедних вчень. Ми не повинні терпіти чужовірців або єретиків у наших стінах. Натомість ці люди можуть жити в наших містах, лише якщо вони навернуться до істинної віри."
 clergy_in_administration:0 "Духовенство в адміністрації"
 subservient_administrators_reform:0 "Покірні бюрократи"
 subservient_administrators_reform_desc:0 "Наша бюрократія розростається й вимагає вірних чиновників, які виконуватимуть свій обов'язок перед державою та віритимуть у те, що ми дбаємо насамперед про інтереси віри."
 religious_administrators_reform:0 "Ревносні управлінці"
 religious_administrators_reform_desc:0 "Релігійна переконаність повинна бути невід'ємною частиною нашої держави у всіх її частинах. Під час навчання управлінців серед духовенства ми повинні переконатися, що всі вони здобувають фундаментальну теологічну освіту, щоб вони могли приймати правильні рішення в усіх ситуаціях."
 secularization:0 "Секуляризація?"
 maintain_religious_head_reform:0 "Посилення влади духовного лідера"
 maintain_religious_head_reform_desc:0 "Ми повинні зміцнювати владу та здатності нашого лідера, щоб завжди бути впевненими, що божественна воля здійснюється відповідно до його задумів."
 hereditary_religious_leadership_reform:0 "Спадковий релігійний провід"
 hereditary_religious_leadership_reform_desc:0 "Багато хто починає вважати наших провідників не лише великими духовними та світовими лідерами, а й самими напів божественними істотами. Безліч послідовників фактично створили свого роду релігійний орден, який наслідує нашого провідника в усьому. Реформуймо країну таким чином, щоб усі піддані стали членами цієї секти."
 crown_leader_reform:0 "Коронований правитель"
 crown_leader_reform_desc:0 "Прийшла пора відкинути релігійні традиції та коронувати нашого провідника як монарха."
 proclaim_republic_reform:0 "Проголосити Республіку"
 proclaim_republic_reform_desc:0 "Хоча ми ніколи не повинні забувати про своє релігійне коріння, не менш важливо, дозволити нашій державі еволюціонувати. Створімо вільну республіку, де голова держави безперешкодно обиратиметься з групи чинних кандидатів."
 mandala_reform:0 "Система мандали"
 mandala_reform_desc:0 "Система мандала використовується як спосіб організації держави у вигляді кола, або мандали, навколо центрального мегаполіса. Таким чином, політичні та географічні реалії можуть визначати ступінь прямого контролю з боку центру. Від васалів, які перебувають на периферії, до контрольованіших міст ближче до центру."
 mughal_government:0 "Могольский диван"
 mughal_government_desc:0 "Якщо і є одне, чому протягом століть навчилася наша династія, так це те, що ми повинні вміти адаптуватися до місцевого населення в регіонах, в яких ми розширюємося. Переконаймося, що ми переймаємо найкраще в тих, кого ми перемагаємо. Тоді наша імперія зможе продовжувати своє зростання."
 mansabdari_reform:0 "Система мансабдарі"
 mansabdari_reform_desc:0 "Наша імперія потребує вірних і здібних слуг. Реформуймо аристократію згідно з числовою системою мансаба. Кожному аристократу буде присвоєно ранг, що залежить від його зобов'язань, і наш уряд даруватиме землі в імперії на підтримку аристократії згідно з цим рангом. Визначальним принципом високої оцінки будь-кого будуть його здатності, і цей шлях повинен бути доступний незалежно від віросповідання чи походження. Тільки таким чином ми можемо бути впевнені в тому, що зібрали при дворі тих, хто здатний вивести нашу імперію вперед."
 zabt_reform:0 "Система забт"
 zabt_reform_desc:0 "Здатність управляти віддаленими землями завжди була найбільшою перешкодою для будь-якої імперії в цьому регіоні. В інтересах держави стимулювати економічне виробництво, і ми повинні постійно пам'ятати про це та постійно стежити за регіональною економікою. Розв'язання цієї проблеми потребує великих ресурсів і зусиль, оскільки немає простого способу управляти такою кількістю васалів, як ми задумали.\nСтворімо службу, яка проводитиме регулярні кадастрові дослідження землі, вирощуваних культур, земельних податків і місцевої економіки. Крім того, ми повинні постійно вимагати грошових виплат від усіх наших підданих і пропонувати легші податки, коли це необхідно для стимулювання місцевої економіки."
 chinese_warlord:0 "Китайське королівство"
 chinese_warlord_desc:0 "Королівство на території Піднебесної імперії, що розпалася, повстале проти нинішнього сина неба."
 FEDERAL_KINGDOM:0 "Федеральне королівство"
 FEDERAL_EMPIRE:0 "Федеральна імперія"
 mechanic_enables_plutocratic_idea_group_yes:1 "Доступні §Yплутократичні§! ідеї."
 mechanic_enables_plutocratic_idea_group_no:1 "§YПлутократичні§! ідеї недоступні."
 mechanic_enables_aristocratic_idea_group_yes:1 "Доступні §Yдворянські§! ідеї."
 mechanic_enables_aristocratic_idea_group_no:1 "§YДворянські§! ідеї недоступні."
 mechanic_enables_horde_idea_group_yes:1 "Доступні §Yстепові§! ідеї."
 mechanic_enables_horde_idea_group_no:1 "§YСтепові§! ідеї недоступні."
 mechanic_enables_divine_idea_group_yes:1 "Доступні §Yцерковні§! ідеї."
 mechanic_enables_divine_idea_group_no:1 "§YЦерковні§! ідеї недоступні."
 mechanic_allow_convert_yes:0 ""
 mechanic_allow_convert_no:1 ""
 mechanic_has_unify_china_cb_yes:1 "Є доступ до casus belli §YОб'єднати Китай§!."
 mechanic_papacy_yes:0 "Використовуються механіки §Yпапства§!."
 mechanic_papacy_no:0 "Механіки папства недоступні."
 mechanic_fixed_rank:1 "Закріплено ранг §Y$RANK$§!."
 mechanic_monastic_yes:0 "Релігійна єдність впливає на праведність при зміні релігії."
 mechanic_monastic_no:0 "Релігійна єдність не впливає на праведність при зміні релігії."
 mechanic_rulers_can_be_generals_yes:0 "Правителі можуть бути командувачами."
 mechanic_rulers_can_be_generals_no:0 "Правителі не можуть бути командувачами."
 mechanic_heirs_can_be_generals_yes:0 "Спадкоємці можуть бути командувачами."
 mechanic_heirs_can_be_generals_no:0 "Спадкоємці не можуть бути командувачами."
 battle_pope_reform:0 "Magister Militum Dei"
 battle_pope_reform_desc:0 "Вбивайте всіх, Господь своїх впізнає."
 mechanic_militarised_society_yes:1 "Доступна механіка §Yмілітаризації§!"
 mechanic_militarised_society_no:1 "Механіка §Yмілітаризації§! недоступна"
 mechanic_allow_banners_yes:1 "Дозволяє вербувати §Yкорогви§!"
 mechanic_allow_banners_no:0 ""
 ability_mamluk_mechanic:0 "мамлюцької культури"
 ability_tribal_federation_mechanic:0 "племінної федерації"
 mechanic_foreign_slave_rulers_yes:1 "Вмикає механіку §YЧужоземні раби-правителі§!."
 mechanic_foreign_slave_rulers_no:1 "Вимикає механіку §YЧужоземні раби-правителі§!."
