l_ukrainian:
 DIPLO_NO_FIGHTING:0 "Немає поточних боїв: "
 DIPLO_PEACE_ABOVE_WAR_SCORE:0 "Вартість пропозиції миру перевищує військовий рахунок: "
 DIPLO_PEACE_SCORE_UNDER:0 "Вартість пропозиції миру менша ніж $SCORE$: "
 DIPLO_PEACE_SCORE_OVER:0 "Вартість пропозиції миру більша ніж $SCORE$: "
 DIPLO_NO_UNION_AND_VASSAL:0 "Не хочуть бути в унії або васалом: "
 DIPLO_NEED_MORE_PROVINCES:0 "Держава $WHO$ потребує більше провінцій ($VAL$): "
 DIPLO_NEED_MORE_MILITARY:0 "Держава $WHO$ потребує сильнішої армії ($VAL$): "
 DIPLO_NEED_MORE_IN_INCOME:0 "Держава $WHO$ потребує більших щомісячних доходів ($VAL$): "
 DIPLO_SUPERIORITY_IN_PROV_MIL_INC:0 "Перевага в провінціях, військовій силі та економіці: "
 DIPLO_IS_DEPENDENT_ON:0 "Залежні від держави $WHO$: "
 DIPLO_NUM_OF_PROVINCES:0 "Число провінцій: "
 DIPLO_HAS_NO_PROVINCES:0 "Не мають провінцій: "
 DIPLO_BASE_TAX:0 "Економіка $WHO$ої держави у порівнянні з державою $OTHER$: "
 DIPLO_MORE_BASE_TAX_THAN:0 "Розвиток держави $WHO$ більше $VAL$: "
 DIPLO_LESS_BASE_TAX_THAN:0 "Розвиток держави $WHO$ менше $VAL$: "
 DIPLO_TOTAL_DEVELOPMENT:0 "Держава $TARGET$ має $VAL$ розвитку: "
 DIPLO_MILITARY_POWER:0 "Військова сила держави $WHO$ у порівнянні з державою $OTHER$: "
 DIPLO_HAS_MORE_PROVINCES_THAN:0 "Держава $WHO$ має більше провінцій ніж $VAL$: "
 DIPLO_WAR_ON_OVERLORD:0 "Війна проти сюзерена держави $WHO$: "
 DIPLO_NO_ENEMIES:0 "Немає реальних ворогів: "
 DIPLO_IS_CONSOLIDATING:0 "Мають плани на їхню власність: "
 DIPLO_HAS_TRUCE_WITH:0 "Держава $WHO1$ має укладене перемир'я з державою $WHO2$: "
 DIPLO_FEAR_OF_BEING_ANNEXED:0 "Анексуються: "
 DIPLO_TRADING_CITY:0 "Торгове місто: "
 DIPLO_SELL_PROVINCE_FREE_CITY:0 "Втратить статус §YВільного міста§!: "
 DIPLO_SELL_PROVINCE_TRADE_LEAGUE:0 "Будуть змушені вийти з §YТорговельної ліги§!: "
 DIPLO_WANT_WAR:0 "Ставлення до ворогів: "
 DIPLO_OVERLORDS_ATTITUDE:0 "$ATTITUDE$ ставлення сюзерена до держави $COUNTRY$: "
 DIPLO_TO_LOW_WAR_CAPACITY:0 "Держава $WHO$ має занизьку військову потужність."
 DIPLO_OVERLORD:0 "$WHO$ – сюзерен: "
 DIPLO_WAR_NOT_ACTIVE:0 "Війна активно не ведеться: "
 DIPLO_ONLY_CALL_PRIMITIVES:0 "Це неприйнятно, якщо суб'єкт $SUBJECTTYPE$: "
 DIPLO_COALITION_VS_SUBJECT:0 "Держава $SUBJECTTYPE$, що належить нам, накликали на себе цю коаліцію: "
 DIPLO_CURRENT_WARSCORE:0 "Поточний воєнний рахунок: "
 DIPLO_WARSCORE_LESSER_THAN:0 "Воєнний рахунок менший ніж $VAL$: "
 DIPLO_WARSCORE_LARGER_THAN:0 "Воєнний рахунок більший ніж $VAL$: "
 DIPLO_WAREXHAUSTION:0 "Втома від війни: "
 DIPLO_WAREXHAUSTION_LARGER_THAN:0 "Втома від війни більша ніж $VAL$: "
 DIPLO_PART_OF_EMPIRE:0 "$PART$ – частина Імперії, а $EMPEROR$ – Імператор: "
 DIPLO_NOT_WANT_BIG_SHIP:0 "Держава WHO$ не потребує важких кораблів: "
 DIPLO_NOT_WANT_GALLEY:0 "Держава $WHO$ не потребує галер: "
 DIPLO_TOO_MANY_BIG_SHIP:0 "Держава WHO$ бажає не більше В§R$NUM$В§! важких кораблів: "
 DIPLO_TOO_MANY_LIGHT_SHIP:0 "Держава $WHO$ бажає не більше В§R$NUM$В§! легких кораблів: "
 DIPLO_TOO_MANY_GALLEY:0 "Держава $WHO$ бажає не більше В§R$NUM$В§! галер: "
 DIPLO_TOO_MANY_TRANSPORT:0 "Держава $WHO$ бажає не більше В§R$NUM$В§! транспортних кораблів: "
 DIPLO_MORE_THAN:0 "більш ніж "
 DIPLO_ALLYS_FOR_YEARS:0 "Держава $ALLY1$ була у союзі з державою $ALLY2$ протягом $YEARS$ років: "
 DIPLO_NOT_BEEN_ALLYS_FOR_YEARS:0 "Держава $ALLY1$ не була у союзі з державою $ALLY2$ протягом $YEARS$ років: "
 DIPLO_DEFENSIVE_BAD_WARSCORE:0 "Це оборонна війна і ваш воєнний рахунок менше $VAL$: "
 DIPLO_DIPLOMATIC_REP:0 "Дипломатична репутація $WHO$ої держави: "
 DIPLO_FED_DIPLOMATIC_REP:0 "Загальна дипломатична репутація держави $WHO$: "
 DIPLO_DIPLOMATIC_SKILL:0 "Дипломатична майстерність держави $WHO$: "
 DIPLO_DIPLOMATIC_SKILL_MODIFIERS:0 "Модифікатори дипломатичної майстерності держави $WHO$: "
 DIPLO_DIPLOMATIC_SKILL_DIFF:0 "Відмінності дипломатичної майстерності між державами $WHO$ та $WHO2$: "
 DIPLO_DIPLOMATIC_SKILL_MODIFIERS_DIFF:0 "Модифікатори відмінності дипломатичної майстерності держав $WHO$ та $WHO2$: "
 DIPLO_NUMBER_OF_ALLIES:0 "Число союзників держави $WHO$: "
 DIPLO_NUMBER_OF_GREAT_POWER_ALLIES:0 "Число сильних союзників держави $WHO$: "
 DIPLO_GREAT_POWER:0 "$WHO$ є Великою Державою: "
 DIPLO_TRUST_WITH:0 "Довіра до держави $WHO$: "
 DIPLO_NUMBER_OF_POWERFUL_ALLIES:0 "$WHO$ вже має сильного союзника в $ALLY$: "
 DIPLO_THREATENED_BY_RIVAL:0 "Держава $WHO$ налякана суперником $RIVAL$: "
 DIPLO_RIVAL_ALLIES:0 "$WHO$ має союз з державою $RIVAL$: "
 DIPLO_HISTORICAL_RIVAL:0 "Історичний суперник: "
 DIPLO_HISTORICAL_NEUTRAL:0 "Історичний нейтралітет: "
 DIPLO_SIZE_OF_WAR:0 "Розмір війни: "
 DIPLO_ROYAL_MARRIAGE_BETWEEN:0 "Династичний шлюб між державами $WHO1$ та $WHO2$: "
 DIPLO_CANNOT_MARRY:0 "$WHO$ не може укласти династичний шлюб: "
 DIPLO_WHO_TRUST:0 "$WHO1$ довіряє державі $WHO2$: "
 DIPLO_TRUST:0 "Довіра: "
 DIPLO_TRUST_BELOW:0 "Довіра нижче $TRUSTVALUE|Y$: "
 DIPLO_DISTRUST:0 "Недовіра: "
 DIPLO_THREAT:0 "Загроза: "
 DIPLO_RIVALS:0 "Бонус суперництва: "
 DIPLO_COMMON_RIVALS:0 "Основні суперники: "
 DIPLO_NUM_OF_RIVALS:0 "Число суперників: "
 DIPLO_GAVE_WAR_ACCESS_TO_ENEMY:0 "Надали прохід військам ворога: "
 DIPLO_WAR_WITH_RIVAL:0 "Воюють із суперником: "
 DIPLO_WAR_WITH_OVERLORDS_RIVAL:0 "Воюють із суперником сюзерена: "
 DIPLO_WAR_WITH_ALLY:0 "Воюють із союзником: "
 DIPLO_WAR_WITH_NEIGHBOUR_RIVAL:0 "Воюють з сусідом-суперником: "
 DIPLO_WAR_WITH_NEIGHBOUR_OVERLORDS_RIVAL:0 "Воюють з сусідом-суперником сюзерена: "
 DIPLO_WAR_WITH_NEIGHBOUR_ALLY:0 "Воюють із сусідом-союзником: "
 DIPLO_SAME_CULTURE_GROUP:0 "Однакова культурна група: "
 DIPLO_SAME_RELIGION_GROUP:0 "Однакова релігійна група: "
 DIPLO_NOT_SAME_CULTURE_GROUP:0 "Інша культурна група: "
 DIPLO_NOT_SAME_RELIGION_GROUP:0 "Інша релігійна група: "
 DIPLO_SAME_RELIGION:0 "Обидві країни сповідують $NAME$: "
 DIPLO_SAME_CULTURE:0 "Однакова культура: "
 DIPLO_NOT_SAME_RELIGION:0 "Інша релігія: "
 DIPLO_NOT_SAME_LEAGUE_LEADER:0 "Лідер протиборчої ліги: "
 DIPLO_NOT_SAME_CULTURE:0 "Інша культура: "
 DIPLO_RELIGIOUS_SCHOOL_RELATIONS:0 "Стосунки релігійних шкіл: "
 DIPLO_SAME_RELIGIOUS_SCHOOL:0 "Однакова релігійна школа: "
 DIPLO_NOT_ACCEPTED_CULTURE:0 "$WHO$ не приймає культуру $CULTURE$: "
 DIPLO_SUPERIOR_SIZE:0 "$WHO$ має більше число земель та розмір армії: "
 DIPLO_SUPERIOR_ARMY_SIZE:0 "$WHO$ має більший розмір армії: "
 DIPLO_RELATIVE_POWER_ALLIANCE:0 "Сила альянсу $WHO$ порівняно до держави $US$: "
 DIPLO_RECENTLY_FORCED_TO_RETURN_TERRITORY:0 "Держава $WHO$ нещодавно змусила державу $US$ повернути території: "
 DIPLO_MANPOWER:0 "$WHO$ий резерв рекрутів: "
 DIPLO_LOW_MANPOWER:0 "$WHO$ має малий резерв рекрутів: "
 DIPLO_LOANS:0 "$WHO$ має борг $GOLD|0$¤: "
 DIPLO_TRADE_POWER_ASKED_FOR:0 "Запитаний торговий вплив: "
 DIPLO_ARMY_SIZE:0 "$WHO$і наземні сили: "
 DIPLO_NAVY_SIZE:0 "$WHO$і морські сили : "
 DIPLO_FELLOW_VASSAL:0 "$COUNTRY01$ є вірним підданим держави $COUNTRY02$: "
 DIPLO_HALF_LAND_SIZE:0 "$COUNTRY01$ має половину від числа провінцій держави $COUNTRY02$: "
 DIPLO_LESSER_IN_VASSAL:0 "$WHO$ – васал: "
 DIPLO_BETRAYED_ALLY:0 "Держава $WHO$ недавно зрадила своїм обіцянкам про передачу земель: "
 DIPLO_NOT_WANT_PROVINCES_NOT_ENOUGH_FAVORS:0 "Не достатньо прихильності та не бажає нових земель: "
 DIPLO_NOT_WANT_PROVINCES:0 "Не бажає земель держави $WHO$, на які держава $CALLER$ не заявила претензії: "
 DIPLO_WANTS_PROVINCES:0 "Обіцяні землі держави $WHO$: "
 DIPLO_PREPARED_FOR_WAR:0 "Готовий до війни: "
 DIPLO_PLAYER_AI_PREFS_KEEP_ALLY:1 "$WHO$ §Gзберігає союзників та суперників§! цю опцію ШІ §Gувімкнено§!: "
 DIPLO_UNION_WAR_GREAT_POWER:0 "$WHO$ не хоче щоб $TARGET$ була в унії під державою $THEM$: "
 DIPLO_PLAYER_AI_PREFS_FIGHT_TO_DEATH:0 "$WHO$ §Gбажає підписати швидкий мир§! цю опцію ШІ §Gувімкнено§!: "
 DIPLO_VASSAL_UNDER:0 "$VASSAL$ – васал держави $LEADER$: "
 DIPLO_VASSAL_LOYAL:0 "$VASSAL$ ставиться лояльно до держави $OVERLORD$"
 DIPLO_UNION_UNDER:0 "$UNDER$ – молодший партнер в унії під державою $LEADER$: "
 DIPLO_IN_OUR_UNION:0 "$WHO$ в унії з нами: "
 DIPLO_SUPPORTING_INDEPENDENCE:0 "$COUNTRY01$ підтримує $COUNTRY02_ADJ$у незалежність: "
 DIPLO_OPINION:0 "Думка $COUNTRY01$ої держави про державу $COUNTRY02$: "
 DIPLO_FED_OPINION:0 "Загальна думка держави $COUNTRY01$ про державу $COUNTRY02$: "
 DIPLO_OPINION_LESSER_THAN:0 "Думка держави $COUNTRY01$ про державу $COUNTRY02$ нижча ніж $VAL|Y$: "
 DIPLO_OPINION_LARGER_THAN:0 "Думка держави $COUNTRY01$ про державу $COUNTRY02$ вища ніж $VAL|Y$: "
 DIPLO_CANT_AFFORD:0 "$WHO$ не може дозволити собі більше дипломатичних стосунків: "
 DIPLO_FRIENDLINESS:0 "Бажання дружби: "
 DIPLO_ANTAGONISM:0 "Ворожнеча: "
 DIPLO_MORE_OWNED_PROVINCES:0 "Держава $WHO$ є більшою: "
 DIPLO_AT_WAR_OFFENSIVE:0 "Держава $WHO$ воює в загарбницькій війні: "
 DIPLO_AT_WAR:0 "Держава $WHO$ воює: "
 DIPLO_IN_IMPORTANT_WAR:0 "Держава $WHO$ воює у важливій війні: "
 DIPLO_AT_WAR_AGAINST:0 "Держава $WHO$ воює з державою $AGAINST$: "
 DIPLO_NOT_VALID_FOR_SUPPORT_INDEPENDENCE:0 "Не є допустимим об'єктом для Підтримки Незалежності: "
 DIPLO_DIPLOMATIC_DISTANCE:0 "Відстань між столицями: "
 DIPLO_ORIGINAL_ENEMY_NOT_BEATEN:0 "Держава $COUNTRY$ окупована не повністю"
 DIPLO_BORDER_DISTANCE:0 "Відстань між кордонами: "
 DIPLO_PROTECTORATES:0 "Число протекторатів: "
 DIPLO_OTHER_PROTECTORATE:0 "Держава $WHO$ є протекторатом у тому ж торговому вузлі: "
 DIPLO_FED_BORDER_DISTANCE:0 "Середня відстань до $FEDNAME$: "
 DIPLO_CANNOT_REACH:0 "$TARGET$ поза зоною досяжності держави $WHO$: "
 DIPLO_ROYAL_MARRIAGES_FOR:0 "Число династичних шлюбів держави $WHO$: "
 DIPLO_LIBERTY_DESIRE_BELOW:0 "Бажання свободи держави $WHO$ менше $VAL$: "
 DIPLO_LIBERTY_DESIRE_ABOVE:0 "Бажання свободи держави $WHO$ більше $VAL$: "
 DIPLO_STABHIT_FROM_NO_CB:0 "Немає Casus Belli: "
 DIPLO_RECENTLY_DID_ACTION:0 "Недавня дія $ACTION$: "
 DIPLO_MSG_FILTER_NEIGHBOURS:0 "Сусіди: "
 DIPLO_IS_EMPEROR:0 "$WHO$ – імператор Священної Римської Імперії: "
 DIPLO_IS_EMPEROR_ALLY:0 "$WHO$ в союзі з імператором Священної Римської Імперії: "
 DIPLO_INVALID_TARGET:0 "Недійсна ціль: "
 DIPLO_SAME_CONTINENT:0 "Мають провінцію на цьому ж континенті: "
 DIPLO_TOO_LARGE_FREE_CITY:0 "Держава $WHO$ занадто велика, щоб стати вільним містом: "
 DIPLO_HAS_SUBJECTS:0 "Держава $WHO$ має васалів: "
 DIPLO_IS_LESSERVASSAL_OR_UNION:0 "Є васалом, або членом унії: "
 DIPLO_IS_STRONGER:0 "Ми набагато сильніші: "
 DIPLO_IS_SUBJECT:0 "Держава $WHO$ є васалом: "
 DIPLO_IS_THREAT:0 "Вони дивляться на нас, як на загрозу: "
 DIPLO_MAY_REPLACE_WAR:0 "Можуть замінити державу $WHO$ на місці лідера війни: "
 DIPLO_WE_HAVE_ROYAL_MARRIAGE:0 "У нас є династичний шлюб: "
 DIPLO_GOVERNMENT:0 "Держава $COUNTRY$ – $GOVERNMENT$: "
 DIPLO_CHANCE_LESSER_THAN:0 "Підстави менші ніж $VAL|Y$: "
 DIPLO_CHANCE_LARGER_THAN:0 "Підстави більші ніж $VAL|Y$: "
 DIPLO_PEACE_ACCEPTABLE:0 "Мир прийнятний: "
 DIPLO_ENFORCE_PEACE_WILLINGNESS:0 "Прагнення до миру: "
 DIPLO_ENFORCE_PEACE_FEAR:0 "Страх перед державою $WHO$: "
 DIPLO_MAY_NOT_DECLARE_WAR:0 "Не можуть оголосити війну державі $WHO$: "
 DIPLO_IS_DOF:0 "$WHO$ – захисник віри ($RELIGION$): "
 DIPLO_PRESTIGE:0 "Престиж: "
 DIPLO_OVER_FORCE_LIMIT:0 "Купівля цих кораблів перевищить допустимий ліміт флоту: "
 DIPLO_OVEREXTENDED:0 "Держава $WHO$ надрозширена: "
 DIPLO_PROVINCE_PRICE:0 "Ціна: "
 DIPLO_PROVINCE_CORE:0 "$PROV$ – національна провінція держави $WHO$: "
 DIPLO_PROVINCE_CLAIM:0 "Держава $WHO$ має претензії на провінцію $PROV$: "
 DIPLO_PROVINCE_NO_STRATEGIC_INTEREST:0 "Провінція $PROV$ не є національною, претензією, чи колишнім володінням держави $WHO$: "
 DIPLO_PROVINCE_SAME_RELIGION:0 "Провінція $PROV$ та держава $WHO$ сповідують $RELIGION$: "
 DIPLO_NOT_NEIGHBOURS:0 "Не є сусідами: "
 DIPLO_SELLPROV_NEIGHBOUR_AND_PRICE:0 "Провінція $PROV$ межує з державою $WHO$, її ціна – $VAL$: "
 DIPLO_SELLPROV_NOPORT_NOCORE:0 "Провінція $PROV$ не може бути націоналізована державою $WHO$: "
 DIPLO_PROVINCE_ISCORE_OFNUM:0 "Провінція $PROV$ є національною для $NUM$ країн: "
 DIPLO_UNOCCUPIED:0 "Держава $WHO1$ не окупована державою $WHO2$: "
 DIPLO_CONQUER_VALUE:0 "Ціна завоювання: "
 DIPLO_TREASURY:0 "Скарбниця держави $WHO$: "
 DIPLO_DIPLOMATIC_REPUTATION:0 "Дипломатична репутація: "
 DIPLO_SELLPROV_ABOVE_TREASURY:0 "Ціна більша за скарбницю держави $WHO$: "
 DIPLO_INVALID_LOAN:0 "Позика недійсна: "
