l_ukrainian:
 X_BECOMES_HARMONIZED:0 "Релігія $NAME|Y$ тепер гармонізована.\n"
 HAS_CUSTOM_IDEAS:0 "Використовує індивідуальні національні ідеї.\n"
 HAS_NOT_CUSTOM_IDEAS:0 "НЕ використовує індивідуальні національні ідеї.\n"
 HAVE_NO_DISASTER_TRIGGER:0 "На даний момент немає катастроф.\n"
 HAVE_DISASTER_TRIGGER:0 "Маємо катастрофу.\n"
 HAVE_INF_IN:0 "$COUNTRY$ має піхоту в провінції $PROVINCE$."
 HAVE_NO_INF_IN:0 "$COUNTRY$ НЕ має піхоти в провінції $PROVINCE$."
 HAVE_CAV_IN:0 "$COUNTRY$ має кавалерію в провінції $PROVINCE$."
 HAVE_NO_CAV_IN:0 "$COUNTRY$ НЕ має кавалерії в провінції $PROVINCE$."
 HAVE_ART_IN:0 "$COUNTRY$ має артилерію в провінції $PROVINCE$."
 HAVE_NO_ART_IN:0 "$COUNTRY$ НЕ має артилерії в провінції $PROVINCE$."
 HAVE_HEAVY_SHIP_IN:0 "$COUNTRY$ має важкі кораблі у морській провінції $PROVINCE$."
 HAVE_NO_HEAVY_SHIP_IN:0 "$COUNTRY$ не має важких кораблів у морській провінції $PROVINCE$."
 HAVE_LIGHT_SHIP_IN:0 "$COUNTRY$ має легкі кораблі у морській провінції $PROVINCE$."
 HAVE_NO_LIGHT_SHIP_IN:0 "$COUNTRY$ не має легких кораблів у морській провінції $PROVINCE$."
 HAVE_GALLEYS_IN:0 "$COUNTRY$ має галери у морській провінції $PROVINCE$."
 HAVE_NO_GALLEYS_IN:0 "$COUNTRY$ не має галер у морській провінції $PROVINCE$."
 HAVE_TRANSPORTS_IN:0 "$COUNTRY$ має транспортні кораблі у морській провінції $PROVINCE$."
 HAVE_NO_TRANSPORTS_IN:0 "$COUNTRY$ не має транспортних кораблів у морській провінції $PROVINCE$."
 ADD_CORE_CONSTRUCTION_EFFECT:0 "Націоналізація коштуватиме §Y$COST$%§! від початкової вартості та візьме §Y$SPEED$%§! часу.\n"
 ADD_BUILDING_CONSTRUCTION_EFFECT:0 "Будівництво §Y$BUILDING$§! коштуватиме §Y$COST$%§! від початкової вартості та візьме §Y$SPEED$%§! часу.\n"
 ADD_CULTURE_CONSTRUCTION_EFFECT:0 "Зміна культури коштуватиме §Y$COST$%§! від початкової вартості та візьме §Y$SPEED$%§! часу.\n"
 SIBIERIAN_EFFECT:0 "$VAL|Y$ колоністів прибуде на фронтір $WHERE|Y$.\n"
 SEND_MISSIONARY_EFFECT:0 "Місіонер почав навернення провінції\n"
 KILL_UNITS_EFFECT:0 "Втрати держави $COUNTRY$ складають $AMOUNT|Y$ людей\n"
 KILL_UNITS_OF_TYPE_EFFECT:0 "Втрати держави $COUNTRY$ складають $AMOUNT|Y$ людей ($TYPE|Y$)\n"
 TURN_OFF_PRIM_EFF:0 "Держава $WHO|Y$ більше не примітивна.\n"
 TURN_ON_PRIM_EFF:0 "Держава $WHO|Y$ тепер примітивна.\n"
 MORE_THAN_NUM_OF_UNITS_IN_PROVINCE:0 "Присутні щонайменше $AMOUNT|$ полків"
 LESS_THAN_NUM_OF_UNITS_IN_PROVINCE:0 "Присутні менше ніж $AMOUNT|$ полків"
 MORE_THAN_NUM_OF_UNITS_OF_TYPE_IN_PROVINCE:0 "Присутні щонайменше $AMOUNT|$ полків типу $TYPE|$"
 LESS_THAN_NUM_OF_UNITS_OF_TYPE_IN_PROVINCE:0 "Присутні менше ніж $AMOUNT|$ полків типу $TYPE|$"
 DISSOLVE_PARLIAMENT:0 "Розпустити парламент"
 REINSTATE_PARLIAMENT:0 "Відновити парламент"
 HAS_RULER_LEADER_FROM:0 "Армія під керівництвом правителя держави $COUNTRY|Y$"
 HAS_NOT_RULER_LEADER_FROM:0 "Правитель держави $COUNTRY|Y$ не очолює ні одної армії"
 HAS_HEIR_LEADER_FROM:0 "Армія під керівництвом спадкоємця держави $COUNTRY|Y$"
 HAS_NOT_HEIR_LEADER_FROM:0 "Спадкоємець держави $COUNTRY|Y$ не очолює жодної армії"
 HAVE_HEIR_WITH_LOWER_ADM_THEN:0 "Адміністративні здібності спадкоємця нижче $VALUE|Y$"
 HAVE_HEIR_WITH_HIGHER_ADM_THEN:0 "Адміністративні здібності спадкоємця щонайменше $VALUE|Y$"
 HAVE_HEIR_WITH_LOWER_DIP_THEN:0 "Дипломатичні здібності спадкоємця менше $VALUE|Y$"
 HAVE_HEIR_WITH_HIGHER_DIP_THEN:0 "Дипломатичні здібності спадкоємця щонайменше $VALUE|Y$"
 HAVE_HEIR_WITH_LOWER_MIL_THEN:0 "Військові здібності спадкоємця менше $VALUE|Y$"
 HAVE_HEIR_WITH_HIGHER_MIL_THEN:0 "Військові здібності спадкоємця щонайменше $VALUE|Y$"
 REMOVE_LOOT_TAG_EFFECT:0 "Держава $COUNTRY|Y$ награбувала $AMOUNT|Y$¤"
 REMOVE_LOOT_ENEMY_EFFECT:0 "Ворожі загони награбували $AMOUNT|Y$¤"
 PROVINCE_SIZE_AT_LEAST:0 "Розмір провінції щонайменше $SIZE|Y$"
 PROVINCE_SIZE_LESS_THAN:0 "Розмір провінції менше $SIZE|Y$"
 IS_NOT_STATE:0 "НЕ у складі володіння"
 IS_STATE:0 "У складі володіння"
 in_state:0 "Є частиною володіння"
 in_territory:0 "Є частиною території"
 IS_NOT_TERRITORY:0 "НЕ є територією"
 IS_TERRITORY:0 "Є територією"
 HAVE_LESS_STATES_THAN:0 "Число володінь менше $VALUE|Y$"
 HAVE_MORE_STATES_THAN:0 "Число володінь щонайменше $VALUE|Y$"
 HAVE_GROWN_BY_LESS_STATES_THAN:0 "Число володінь збільшилося менше ніж на $VALUE|Y$"
 HAVE_GROWN_BY_MORE_STATES_THAN:0 "Число володінь збільшилося щонайменше на $VALUE|Y$"
 HAVE_LESS_TERRITORIES_THAN:0 "Число територій менше $VALUE|Y$"
 HAVE_MORE_TERRITORIES_THAN:0 "Число територій щонайменше $VALUE|Y$"
 HAVE_LESS_OWNED_AREAS_THAN:0 "Число округ менше $VALUE|Y$"
 HAVE_MORE_OWNED_AREAS_THAN:0 "Число округ щонайменше $VALUE|Y$"
 HAVE_LESS_PROVINCES_IN_STATES_THAN:0 "Число провінцій у складі володінь менше $VALUE|Y$"
 HAVE_MORE_PROVINCES_IN_STATES_THAN:0 "Число провінцій у складі володінь щонайменше $VALUE|Y$"
 HAVE_LESS_PROVINCES_IN_TERRITORIES_THAN:0 "Число провінцій у складі територій менше $VALUE|Y$"
 HAVE_MORE_PROVINCES_IN_TERRITORIES_THAN:0 "Число провінцій у складі територій щонайменше $VALUE|Y$"
 EXCOMMUNICATE_EFFECT:0 "Держава $TARGET|Y$ відлучена від церкви\n"
 LIFT_EXCOMMUNICATE_EFFECT:0 "Анафему з держави $TARGET|Y$ знято\n"
 ADD_HISTORICAL_FRIEND_EFFECT:0 "Оголосити державу $TARGET|Y$ історичним другом\n"
 REMOVE_HISTORICAL_FRIEND_EFFECT:0 "Припинити вважати державу $TARGET|Y$ історичним другом\n"
 ADD_HISTORICAL_RIVAL_EFFECT:0 "Оголосити державу $TARGET|Y$ історичним ворогом\n"
 REMOVE_HISTORICAL_RIVAL_EFFECT:0 "Припинити вважати державу $TARGET|Y$ історичним ворогом\n"
 EXILE_RULER_AS_EFFECT:0 "$NAME|Y$ йде у вигнання\n"
 EXILE_HEIR_AS_EFFECT:0 "$NAME|Y$ йде у вигнання\n"
 SET_RULER_EFFECT:1 "$NAME|Y$ ($AGE$ років, $ADM$/$DIP$/$MIL$) стає правителем\n"
 SET_HEIR_EFFECT:0 "$NAME|Y$ ($ADM$/$DIP$/$MIL$) стає спадкоємцем\n"
 DEFINE_LEADER_TO_RULER_EFFECT:0 "$LEADERTYPE$ $NAME|Y$ ($ADM$/$DIP$/$MIL$), який має претензію $CLAIM$ стає правителем\n"
 CREATE_MARCH_EFFECT:0 "Держава $WHO|Y$ стає маркою.\n"
 BREAK_ROYAL_MARRIAGE_EFFECT:0 "Розрив династичного шлюбу з державою §Y$WHO$§!.\n"
 ADD_MERCENARY_SUB_UNIT_EFFECT:0 "Отримати полк найманців $UNIT$ в провінції §Y$WHERE$§!."
 ADD_STRELTSY_SUB_UNIT_EFFECT:0 "Отримати полк '§Gстрільців§!' $UNIT$ в провінції §Y$WHERE$§!."
 ADD_COSSACKS_SUB_UNIT_EFFECT:0 "Отримати полк '§Gкозаків§!' $UNIT$ в провінції $WHERE|Y$."
 ADD_RAJPUT_SUB_UNIT_EFFECT:0 "Отримати полк '§Gраджпутів§!' $UNIT$ в провінції $WHERE|Y$."
 ADD_CAWA_SUB_UNIT_EFFECT:0 "Отримати полк '§Gчава§!' $UNIT$ в провінції $WHERE|Y$."
 CHANGE_GRAPHICAL_CULTURE_EFFECT:0 "Змінити графічну культуру на $CULTURE|Y$.\n"
 DO_NOT_OWN_OR_VASSAL_OF:1 "Не належить державі $COUNTRY$ або суб'єкту"
 OWNS_OR_VASSAL_OF:1 "належить державі $COUNTRY$ або суб'єкту"
 DO_NOT_OWN_OR_NON_SOVEREIGN_SUBJECT_OF:1 "НЕ належить державі $COUNTRY$ або суб'єкту (виключаючи данників)."
 OWNS_OR_NON_SOVEREIGN_SUBJECT_OF:1 "належить державі $COUNTRY$ або суб'єкту (виключаючи данників)."
 TRIG_IS_NOT_IN_COALITION_AGAINST:0 "Не у коаліції проти держави §Y$WHO$§!.\n"
 TRIG_ISIN_COALITION_AGAINST:0 "У коаліції проти держави §Y$WHO$§!.\n"
 DISBAND_REBELS:0 "§Y$NAME$§! розійдуться.\n"
 EMPIRE_NO_FEMALE:0 "Жінки не можуть займати імператорський трон.\n"
 EMPIRE_CAN_BE_FEMALE:0 "Жінки можуть займати імператорський трон.\n"
 HAVE_LESS_MERCENARIES_THAN:0 "Число найманців менше §Y$VALUE$§!.\n"
 HAVE_AT_LEAST_MERCENARIES_THAN:0 "Число найманців щонайменше §Y$VALUE$§!.\n"
 HAVE_LESS_BANNERS_THAN:1 "Число корогов менше §Y$VALUE$§!.\n"
 HAVE_AT_LEAST_BANNERS_THAN:1 "Число корогов щонайменше §Y$VALUE$§!.\n"
 HAVE_LESS_STRELTSY_THAN:1 "Число стрільців менше §Y$VALUE$§!.\n"
 HAVE_AT_LEAST_STRELTSY_THAN:1 "Число стрільців щонайменше §Y$VALUE$§!.\n"
 HAVE_LESS_COSSACKS_THAN:1 "Число козаків менше §Y$VALUE$§!.\n"
 HAVE_AT_LEAST_COSSACKS_THAN:1 "Число козаків щонайменше §Y$VALUE$§!.\n"
 HAVE_LESS_HARMONIZED_THAN:1 "Число гармонізованих релігій або груп менше $VALUE|Y$ (поточне значення $CURRENTVALUE|Y$)."
 HAVE_AT_LEAST_HARMONIZED_THAN:1 "Число гармонізованих релігій або груп щонайменше $VALUE|Y$ (поточне значення $CURRENTVALUE|Y$)."
 HAVE_LESS_HARMONIZED_THAN_COMP:1 "Гармонізовано менше релігій або груп, ніж у держави $COUNTRYNAME|Y$ ($VALUE|Y$). Поточне значення $CURRENTVALUE|Y$."
 HAVE_AT_LEAST_HARMONIZED_THAN_COMP:1 "Гармонізовано не менше релігій або груп, ніж у держави $COUNTRYNAME|Y$ ($VALUE|Y$). Поточне значення $CURRENTVALUE|Y$."
 HAS_FEWER_TRADE_BONUS:0 "Має менше $VAL|Y$ торгових бонусів."
 HAS_AT_LEAST_TRADE_BONUS:0 "Має щонайменше $VAL|Y$ торгових бонусів."
 RICHEST_TRADE_NODE:0 "Вузол $NAME$ має найвищу торговельну цінність у світі."
 NOT_RICHEST_TRADE_NODE:0 "Вузол $NAME$ НЕ має найвищої торговельної цінності у світі."
 HAS_FEWER_POWERFUL_ESTATES:0 "Має менш ніж $VAL|Y$ станів з впливом §Y70%§! і вище."
 HAS_AT_LEAST_POWERFUL_ESTATES:0 "Має щонайменше $VAL|Y$ станів з впливом §Y70%§! і вище."
 HAS_FEWER_UNLOCKED_CULTS:0 "Число розблокованих Культів менше $VAL|Y$."
 HAS_AT_LEAST_UNLOCKED_CULTS:0 "Число розблокованих Культів щонайменше $VAL|Y$."
 HAS_FEWER_ACTIVE_BLESSINGS:0 "Число активних Благословень менше $VAL|Y$."
 HAS_AT_LEAST_ACTIVE_BLESSINGS:0 "Число активних Благословень щонайменше $VAL|Y$."
 HAS_FEWER_TRUSTED_ALLIES:0 "Має менш ніж $VAL|Y$ союзників, чия довіра складає §Y100§!."
 HAS_AT_LEAST_TRUSTED_ALLIES:0 "Має щонайменше $VAL|Y$ союзників, чия довіра складає §Y100§!."
 NATION_DESIGNER_POINTS_LESS_THAN:0 "Використано менш ніж $VAL|Y$ балів під час створення індивідуальної держави."
 NATION_DESIGNER_POINTS_AT_LEAST:0 "Використано щонайменше $VAL|Y$ балів під час створення індивідуальної держави."
 NATION_DESIGNER_TECH_GROUP_COST:0 "Вартість балів дорівнює $COST|Y$ за таких обставин:\n"
 REFORM_DESIRE_IS_LESS_THAN:0 "Бажання реформ менше §Y$SIZE$§!.\n"
 REFORM_DESIRE_IS_AT_LEAST:0 "Бажання реформ щонайменше §Y$SIZE$§!.\n"
 REFORM_DESIRE_EFFECT:1 "Католицизм: бажання реформ $DIRECTION$ на $PERC|%-$.\n"
 RELIG_ATTACK:0 "Напад на невірних"
 GOV_ATTACK:0 "Напасти на носія іншої форми правління"
 HAS_NOT_IDEA_ALLOWING:1 "Немає ідеї, що дозволяє '$WHICH$'.\n"
 HAS_IDEA_ALLOWING:1 "Є ідея, що дозволяє '$WHICH$'.\n"
 HAS_NOT_FEATURE_ALLOWING:1 "НЕ має особливості, що дозволяє '$WHICH$'.\n"
 HAS_FEATURE_ALLOWING:1 "Має особливість, що дозволяє '$WHICH$'.\n"
 OPPOSE_NEXT_REFORM:1 "Не підтримують наступну реформу."
 WANTS_NEXT_REFORM:1 "Підтримують наступну реформу."
 HAVE_LESS_THAN_ADM_POWER:0 "Адміністративна сила менше "
 HAVE_MORE_THAN_ADM_POWER:0 "Адміністративна сила щонайменше "
 HAVE_LESS_THAN_DIP_POWER:0 "Дипломатична сила менше "
 HAVE_MORE_THAN_DIP_POWER:0 "Дипломатична сила щонайменше "
 HAVE_LESS_THAN_MIL_POWER:0 "Військова сила менше "
 HAVE_MORE_THAN_MIL_POWER:0 "Військова сила щонайменше "
 HAVE_LESS_THAN_SPLENDOR:0 "Велич менше "
 HAVE_MORE_THAN_SPLENDOR:0 "Велич щонайменше "
 HAVE_LESS_THAN_ABSOLUTISM:0 "Абсолютизм менше "
 HAVE_MORE_THAN_ABSOLUTISM:0 "Абсолютизм щонайменше "
 HAVE_LESS_THAN_ACCEPTED_CULTURES:1 "Число просунутих культур менше "
 HAVE_MORE_THAN_ACCEPTED_CULTURES:2 "Число просунутих культур щонайменше $VAL|Y$\n"
 OWN_CONTROL_LESS_INSTITUTIONS:0 "Володіти і контролювати менше ніж $TXT$ центри походження інституцій\n"
 OWN_CONTROL_AT_LEAST_INSTITUTIONS:0 "Володіти і контролювати щонайменше $TXT$ центри походження інституцій\n"
 HASNT_3_STAR_TR:0 "Не має 3-зіркового командувача"
 HAS_3_STAR_TR:0 "Має 3-зіркового генерала або адмірала"
 HAS_UNIFIED_CUL:0 "Володіють всіма провінціями культурної групи '$WHICH|Y$'"
 HASNT_UNIFIED_CULTUREGR:0 "Не об'єднали культурну групу."
 IS_VARIABLE_EQUAL:0 "$VAR|Y$ дорівнює $VALUE|Y$"
 NOT_IS_VARIABLE_EQUAL:0 "$VAR|Y$ не дорівнює $VALUE|Y$"
 IS_NOT_MARCH:0 "Не марка"
 IS_MARCH:0 "Марка"
 IS_NOT_MARCH_OF:0 "Не марка держави "
 IS_MARCH_OF:0 "Марка держави "
 HAVE_LESS_MARCHES_THAN:0 "Число марок менше "
 HAVE_MORE_MARCHES_THAN:0 "Число марок щонайменше "
 CAN_NOT_CREATE_MARCH:0 "Не може створити марку"
 CAN_CREATE_MARCH:0 "Може створити марку"
 CAN_CREATE_SUBJECT:0 "Може створити суб'єкт типу $TYPE$"
 CAN_NOT_CREATE_SUBJECT:0 "Не може створити суб'єкт типу $TYPE$"
 CAN_HAVE_SUBJECTS:1 "Може мати $SUBJECTS$"
 CAN_NOT_HAVE_SUBJECTS:1 "НЕ може мати $SUBJECTS$"
 IS_NOT_A_POSSIBLE_MARCH:0 " НЕ може стати маркою"
 IS_A_POSSIBLE_MARCH:0 " може стати маркою"
 HAS_NOT_TERRAIN:0 "Рельєф НЕ – $TERRAIN|Y$"
 HAS_TERRAIN:0 "Рельєф – $TERRAIN|Y$"
 ADM_POWER_EFFECT:0 "Сила монарха $DIRECTION$ на $VALUE$ адміністративних балів.\n"
 DIP_POWER_EFFECT:0 "Сила монарха $DIRECTION$ на $VALUE$ дипломатичних балів.\n"
 MIL_POWER_EFFECT:0 "Сила монарха $DIRECTION$ на $VALUE$ військових балів.\n"
 ADD_IDEA_GROUP_EFFECT:0 "Додати групу ідей – $IDEAGROUP|Y$"
 REMOVE_IDEA_GROUP_EFFECT:0 "Видалити групу ідей – $IDEAGROUP|Y$"
 ADD_IDEA_EFFECT:0 "Додати ідею – $IDEA|Y$"
 REMOVE_IDEA_EFFECT:0 "Видалити ідею – $IDEA|Y$"
 HRE_INHERITABLE_ENABLED:1 "Тепер імператорський трон СРІ успадковується однією державою.\nПринци-суб'єкти більше не займають слоти дипломатичних стосунків Імператора\n"
 HRE_INHERITABLE_DISABLED:1 "СРІ тепер мають виборчу систему!\nІмператорські принци-суб'єкти використовуватимуть слоти для дипломатичних стосунків.\n"
 HAS_IDEAGROUP_TRIGGER:0 "Держава §Y$COUNTRY$§W активувала групу ідей §Y$GROUP$§W.\n"
 HAS_NOT_IDEAGROUP_TRIGGER:0 "Держава §Y$COUNTRY$§W не активувала групу ідей §Y$GROUP$§W\n"
 HAS_MAXIDEAGROUP_TRIGGER:0 "Держава §Y$COUNTRY$§W завершила всі ідеї групи §Y$GROUP$§W\n"
 HAS_NOT_MAXIDEAGROUP_TRIGGER:0 "Держава §Y$COUNTRY$§W не завершила всі ідеї групи §Y$GROUP$§W.\n"
 HAS_IDEAGROUPLEVEL_TRIGGER:0 "Держава §Y$COUNTRY$§W отримала доступ до ідеї §Y$IDEA$§W.\n"
 HAS_NOT_IDEAGROUPLEVEL_TRIGGER:0 "Держава §Y$COUNTRY$§W не отримала доступ до ідеї §Y$IDEA$§W.\n"
 IS_NOT_COUNTRY_CLAIM:0 "Не є $COUNTRYADJ$§Yою§! ціллю."
 IS_COUNTRY_CLAIM:0 "Є $COUNTRYADJ$§Yою§! ціллю."
 ADVISOR_NOT_EMPLOYED:0 "Радник §Y$NAME$§W не найнятий.\n"
 ADVISOR_EMPLOYED:0 "Радник §Y$NAME$§W найнятий.\n"
 ADVISOR_TYPE_NOT_EMPLOYED_0:0 "На даний момент не найнятий $TYPE$.\n" #Example: No Quartermaster is currently employed
 ADVISOR_TYPE_NOT_EMPLOYED_1:0 "На даний момент не найнятий $ARG0$ий $TYPE$.\n" #Example: No French Advisor is currently employed
 ADVISOR_TYPE_NOT_EMPLOYED_2:0 "На даний момент не найнятий $ARG1$ий $TYPE$-$ARG0$.\n" #Example: No Protestant English Statesman is currently employed
 ADVISOR_TYPE_NOT_EMPLOYED_3:0 "На даний момент не найнятий $ARG1$ий $TYPE$-$ARG0$ радник-$ARG2$.\n" #Example: No Protestant English female Statesman is currently employed
 ADVISOR_TYPE_EMPLOYED_0:0 "На даний момент найнятий $TYPE$.\n" #Example: Quartermaster is currently employed
 ADVISOR_TYPE_EMPLOYED_1:0 "На даний момент найнятий $ARG0$ий $TYPE$.\n" #Example: French Advisor is currently employed
 ADVISOR_TYPE_EMPLOYED_2:0 "На даний момент найнятий $ARG1$ий $TYPE$-$ARG0$.\n" #Example: Protestant English Statesman is currently employed
 ADVISOR_TYPE_EMPLOYED_3:0 "На даний момент найнятий $ARG1$ий $TYPE$-$ARG0$ радник-$ARG2$.\n" #Example: Protestant English male Statesman is currently employed
 ADD_SPY_NETWORK_IN:0 "Збільшити розмір шпигунської мережі у державі $TARGET$ на $VAL|+$.\n"
 ADD_SPY_NETWORK_FROM:0 "$TARGET$ збільшить розмір своєї шпигунської мережі на $VAL|-$.\n"
 HAVE_SPY_NETWORK_IN:0 "Розмір шпигунської мережі у державі $TARGET$ щонайменше $VAL$.\n"
 NOT_HAVE_SPY_NETWORK_IN:0 "Розмір шпигунської мережі у державі $TARGET$ не перевищує $VAL$.\n"
 HAVE_SPY_NETWORK_FROM:0 "Розмір шпигунської мережі держави $TARGET$ щонайменше $VAL$.\n"
 NOT_HAVE_SPY_NETWORK_FROM:0 "Розмір шпигунської мережі держави $TARGET$ не перевищує $VAL$.\n"
 HAVENT_CLAIM:0 "Немає претензій на провінцію "
 HAVE_CLAIM_IN:0 "Має претензії на провінцію "
 HAVE_PERMANENT_CLAIM_IN:0 "Має довічні претензії на провінцію "
 PIETY_LESS_THAN:0 "Благочестя менше §Y$VAL$§!.\n"
 PIETY_AT_LEAST:0 "Благочестя щонайменше §Y$VAL$§!.\n"
 KARMA_LESS_THAN:0 "Карма менше §Y$VAL$§!.\n"
 KARMA_AT_LEAST:0 "Карма щонайменше §Y$VAL$§!.\n"
 DOOM_LESS_THAN:0 "Приреченість менше §Y$VAL$§!.\n"
 DOOM_AT_LEAST:0 "Приреченість щонайменше §Y$VAL$§!.\n"
 AUTHORITY_LESS_THAN:0 "Авторитетність менше §Y$VAL$§!.\n"
 AUTHORITY_AT_LEAST:0 "Авторитетність щонайменше §Y$VAL$§!.\n"
 REPUBLIC_TRAD_LESS_THAN:0 "Республіканські традиції менше §Y$VAL$§!.\n"
 REPUBLIC_TRAD_AT_LEAST:0 "Республіканські традиції щонайменше §Y$VAL$§!.\n"
 DIPLO_REP_LESS_THAN:0 "Дипломатична репутація менше §Y$VAL$§!.\n"
 DIPLO_REP_AT_LEAST:0 "Дипломатична репутація щонайменше §Y$VAL$§!.\n"
 TARGET_GETS_NEW_CLAIM_EFFECT:0 "§Y$WHO$§W отримає претензії: §Y$NEW$§W.\n"
 TARGET_GETS_NEW_PERMANENT_CLAIM_EFFECT:0 "§Y$WHO$§W отримає довічні претензії: §Y$NEW$§W.\n"
