l_ukrainian:
 ALLOW_ATTACH:0 "Союзники\nможуть приєднуватися"
 reduction_of_charles_xi:0 "Конфіскація"
 desc_reduction_of_charles_xi:0 "Забрати землі знаті заради росту наших доходів."
 reichshofrat:0 "Надвірна рада"
 desc_reichshofrat:0 "Імперська надвірна рада була заснована Імператором на противагу Імперському камеральному суду, нав'язаному Рейхстагом."
 saint_lawrence_estuary_modifier:0 "Гирло Св. Лаврентія"
 desc_saint_lawrence_estuary_modifier:0 "Контроль гирла Св. Лаврентія посилить нашу торгівлю в регіоні."
 hudson_estuary_modifier:0 "Гирло Гудзону"
 desc_hudson_estuary_modifier:0 "Контроль гирла Гудзону посилить нашу торгівлю в регіоні."
 nelson_eastuary_modifier:0 "Гирло Нельсона"
 desc_nelson_eastuary_modifier:0 "Контроль гирла важливої ріки Нельсон посилить нашу торгівлю в регіоні."
 desc_ship_building_problems:0 "Через різке збільшення попиту на доставку деревини зросли терміни і вартість будівництва кораблів."
 tariffs_on_cocoa:0 "Мито на какао"
 desc_tariffs_on_cocoa:0 "Метрополія посилила тиск на нашу економіку шляхом введення спеціального мита на какао."
 aspiration_for_liberty:0 "Прагнення до волі"
 desc_aspiration_for_liberty:0 "Населення прагне свободи, а їхнє захоплення ідеалами просвітництва наближає революцію, яка тепер здається неминучою."
 PROV2025:0 "Південна Джорджія"
 HAVNT_NEW_DYNASTY:0 "Не має нової династії"
 HAVE_NEW_DYNASTY:0 "Має нову династію"
 EV_WOMAN:0 "жінка"
 EV_MAN:0 "чоловік"
 EV_MOTHER:0 "матір"
 EV_FATHER:0 "батько"
 EV_WIFE:0 "дружина"
 EV_HUSBAND:0 "чоловік"
 EV_DAUGHTER:0 "дочка"
 EV_SON:0 "син"
 EV_SISTER:0 "сестра"
 EV_BROTHER:0 "брат"
 MASANDIS:0 "Масандіс"
 support_independence:0 "Підтримка сепаратизму"
 ADVANCEMENTS_HEADER:0 "Розвиток"
 FEDERATION_HEADER:0 "Федерація"
 MIGRATION_HEADER:0 "Міграція"
 PEACE_SUMMARY:0 "Загалом"
 HEADER_DEMOGRAPHICS:0 "Населення"
 EVTOPTB6138:0 "Направити їх в існуючу колонію"
 EVTOPTB6400:0 "Направити їх в існуючу колонію"
 flavor_hun.10.t:0 "Угорський трон"
 flavor_hun.10.d:0 "[From.Monarch.GetTitle] держави [From.GetName] підозріло помер, не залишивши після себе спадкоємців. [From.GetAdjective]ий Сейм проігнорував той факт, що колишній [From.Monarch.GetTitle] належав до династії Габсбургів, і вибрав свого [From.Monarch.GetTitle], повністю ігноруючи наші законні вимоги трону."
 flavor_hun.10.a:0 "Війна - продовження політики іншими засобами..."
 colonial.EVTDESC20:0 "Поселенці з держави [Root.Owner.ColonialParent.GetName] сповідують реформаторство, яке [Root.Owner.ColonialParent.GetAdjective]а церква вважає єрессю. В надії знайти більш толерантне суспільство вони поселилися в провінції [Root.GetName]."
 colonial.EVTDESC21:0 "Поселенці з держави [Root.Owner.ColonialParent.GetName] сповідують протестантизм, який [Root.Owner.ColonialParent.GetAdjective]а церква вважає єрессю. У надії знайти більш толерантне суспільство вони поселилися в провінції [Root.GetName]."
 colonial.EVTDESC22:0 "Поселенці з держави [Root.Owner.ColonialParent.GetName] сповідують католицизм, який [Root.Owner.ColonialParent.GetAdjective]а церква вважає єрессю. У надії знайти більш толерантне суспільство вони поселилися в провінції [Root.GetName]."
 flavor_fra.EVTNAME100:0 "Пекельна машина"
 flavor_fra.EVTDESC100:0 "'Змова на вулиці Сен-Нікайсе' - спроба замаху на життя Наполена Бонапарта, першого консула Франції, в Парижі 24 грудня 1800 року. Замах намагалися провести сім роялістів, які були знайомі між собою з часів Шуанської революції. Бомба, захована в бочці всередині припаркованого візка, вибухнула, коли Наполеон і його придворні йшли в Оперу на відкриття ораторії Йозефа Гайдна 'Створення'. Бомба, яку згодам назвали 'Пекельна машина', була наповнена порохом, горючими матеріалами й кулями, і була запущена за допомогою довгого ґноту. Вибух вбив кількох перехожих, але не Наполеона."
 flavor_fra.EVTOPTA100:0 "Давайте помолимося за його життя..."
 flavor_fra.EVTNAME101:0 "Прагнення Імперії"
 flavor_fra.EVTDESC101:0 "Перебуваючи на посаді першого консула Франції, Наполеон Бонапарт зіштовхнувся з рядом змов і замахів на його життя, здійснених якобінцями і роялістами, яких спонсорувала династія Бурбонів - колишніх правителів держави. Оскільки владу Бурбонів було б важче відновити, якби спадкоємність Бонапартів була закріплена у конституції, Наполеон вирішив відновити монархію у Франції, і 2 грудня 1804 року отримав імператорську корону з рук Папи Пія VII в Нотр-Дамі."
 flavor_fra.EVTOPTA101:0 "Франція буде імперією!"
 flavor_fra.EVTOPTB101:0 "Революція буде тривати!"
 flavor_fra.EVTNAME110:0 "Революційна республіка"
 flavor_fra.EVTDESC110:0 "Війни держави [Root.GetName] є нескінченним виснаженням людських ресурсів держави, і люди, які вважали що зміна уряду може принести мир, тепер зневірилися в республіці."
 flavor_fra.EVTOPTA110:0 "Республіка буде жити!"
 flavor_fra.EVTDESC111:0 "Люди держави [Root.GetName] втомилися від постійних війн. Багато з тих, хто підтримував революцію, тепер зневірився в республіці."
 flavor_fra.EVTDESC112:0 "Зміна влади лише погіршила фінансову ситуацію. Коли республіка [Root.GetName] оголосила про банкрутство, багато з її колишніх прихильників тепер запитують себе, чи не жилося їм краще до революції?"
 flavor_fra.EVTDESC113:0 "Державний борг є проблемою в очах людей. З п'ятьма десятками позик фінанси держави знаходяться не в кращому стані, ніж до зміни уряду. Віра в республіку похитнулася."
 flavor_fra.EVTDESC114:0 "Схоже, що революція зупиняється. Більш ніж чверть держави перебуває в руках повстанців, віра в республіку неухильно падає."
 flavor_fra.EVTDESC115:0 "Люди, які вважали що революція і республіка в державі [Root.GetName] вирішить всі проблеми, все більше і більше розчаровуються. Коли в країні повернеться стабільність?"
 flavor_fra.EVTDESC116:0 "Віра людей у республіку падає. Занадто мало зусиль докладається, щоб вирішити проблеми старого режиму."
 flavor_fra.EVTOPTA116:0 "Хто сміє сумніватися в республіці?"
 flavor_fra.EVTOPTB116:0 "Профінансувати програми державної допомоги"
 flavor_fra.EVTOPTC116:0 "Зменшити витрати на флот"
 flavor_fra.EVTOPTD116:0 "Зменшити витрати на армію"
 religious_events.EVTNAME1:0 "Політика терпимості"
 religious_events.EVTDESC1:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти коптську віру."
 religious_events.EVTOPTA1:0 "Дійсно небажані"
 religious_events.EVTDESC2:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти католицизм."
 religious_events.EVTDESC3:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти протестантську віру."
 religious_events.EVTDESC4:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти реформовану віру."
 religious_events.EVTDESC5:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти православ'я."
 religious_events.EVTDESC6:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти ібадійську віру."
 religious_events.EVTDESC7:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти сунізм."
 religious_events.EVTDESC8:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти шиїзм."
 religious_events.EVTDESC9:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти сикхизм."
 religious_events.EVTDESC10:0 "Наша політика віротерпимості схоже привела до небажаних результатів. Деякі з наших громадян вирішили прийняти гіндуїзм."
 religious_events.15.t:0 "Відродження неоконфуціанства"
 religious_events.15.d:0 "Філософські ідеї неоконфуціанського мислителя Чжу Сі щодо знання і дій з акцентом на логічні міркування і узгодженість, привернули вашу увагу завдяки роботам Ван Янміна. Ці ідеї з'явилися більше під впливом даосизму, ніж самого конфуціанства. Ми повинні вирішити, який шлях ми хочемо обрати для нашої держави."
 religious_events.15.a:0 "Підтримати неоконфуціанство"
 religious_events.15.b:0 "Заборонити неоконфуціанство"
 religious_events.16.t:0 "[Root.Monarch.GetName] має супротивників"
 religious_events.16.d:0 "Значна мусульманська громада держави [Root.GetName] заперечувала проти коронації правителя [Root.Monarch.GetName]. Оскільки стара мусульманська аристократія і духовенство залишаються дуже впливовими і досі займають багато керівних посад в нашій державі, що не можна ігнорувати. Було висловлено припущення, що, можливо, ситуацію можна виправити якщо [Root.Monarch.GetName] зречеться на користь родича-мусульманина. Вся повнота влади залишиться в руках династії [Root.Dynasty.GetName] і в той же час заспокоїть улемів і могутніх аристократів. Якщо [Root.Monarch.GetName] продовжить керувати нашою країною, мусульмани можуть спробувати звести на престол кандидатуру з більш сприятливим ставленням до ісламу."
 religious_events.16.a:0 "[Root.Monarch.GetName] відрікся."
 religious_events.16.b:0 "Ми ніколи не підемо на зустріч невірним!"
 religious_events.17.t:0 "Переворот в державі [From.GetName]"
 religious_events.17.d:0 "Піднесення гіндуїстської династії в державі [From.GetName] розлютило її мусульманські громади. Пішовши їм назустріч, династія [From.Dynasty.GetName] звела на престол мусульманина, зберігши владу у себе і в той же час заспокоївши народ."
 religious_events.17.a:0 "Це обурливо!"
 religious_events.17.b:0 "Чудово"
 religious_events.18.t:0 "[Root.GetName] приймає християнство"
 religious_events.18.d:0 "Християнські громади нашої держави святкують, оскільки до них дійшли чутки, що ми вирішили прийняти християнство. Всі ті місіонери, яких було відправлено в столицю [Root.Capital.GetName], нарешті зробили свою справу."
 religious_events.18.a:0 "Святий Отець буде вражений."
 religious_events.18.b:0 "Ми станемо Новим Римом."
 religious_events.18.c:0 "Ми повинні відправити звістку коптському патріарху."
 religious_events.18.dd:0 "Це був божий замисел."
 religious_events.18.e:0 "Це час для державної церкви."
 religious_events.18.f:0 "Давайте залишимося вірними вірі наших предків."
 religious_events.19.t:0 "[Root.GetName] приймає іслам"
 religious_events.19.d:0 "Мусульманські громади нашої держави святкують, оскільки до них дійшли чутки, що ми вирішили прийняти іслам. Всі ті місіонери, яких було відправлено в столицю [Root.Capital.GetName], нарешті зробили свою справу."
 religious_events.19.a:0 "Відтепер ми будемо йти шляхом Сунни."
 religious_events.19.b:0 "Настав час вшановувати імамів."
 religious_events.19.c:0 "Ми звернемося до консервативного ібн Ібаду."
 religious_events.20.t:0 "[Root.GetName] приймає буддизм"
 religious_events.20.d:0 "Східні громади нашої держави святкують, оскільки до них дійшли чутки, що ми вирішили прийняти буддизм. Всі ті монахи і просвітителі, яких було відправлено в столицю [Root.Capital.GetName], нарешті зробили свою справу."
 religious_events.20.a:0 "Відтепер ми будемо дотримуватися Палійських канонів."
 religious_events.20.b:0 "Ми повинні запросити Ламу в столицю [Root.Capital.GetCapitalName] якомога швидше."
 religious_events.20.c:0 "Завдяки ретельному вивченню класики ми знайдемо кращий шлях."
 religious_events.20.dd:0 "Ми повинні прагнути до розуміння Камі."
 religious_events.21.t:0 "Навернення держави [Root.GetName]"
 religious_events.21.d:0 "Громади дхармів нашої держави святкують, позаяк до них дійшли чутки, що ми вирішили прийняти гіндуїзм. Всі ті гуру, яких було відправлено в столицю [Root.Capital.GetName], нарешті були почуті!"
 religious_events.21.a:0 "Відтепер ми будемо почитати Санатану Дхарму."
 religious_events.21.b:0 "Ми будемо йти слідами великих Гуру."
 religious_events.22.t:0 "[Root.GetName] приймає зороастризм"
 religious_events.22.d:0 "Зороастрійські громади нашої держави святкують, оскільки до них дійшли чутки, що ми вирішили прийняти зороастризм. Вогні їхньої віри повинні палати вічно в столиці [Root.Capital.GetName]."
 religious_events.22.a:0 "Добрі думки, добрі слова і добрі справи."
 religious_events.23.t:0 "[Root.GetName] приймає юдаїзм"
 religious_events.23.d:0 "Юдейські громади нашої держави святкують, позаяк до них дійшли чутки, що ми вирішили прийняти їхню релігію."
 religious_events.23.a:0 "Слухай, о, Ізраїль! Господь Бог наш єдиний Господь."
 indian_religious_tensions:0 "Релігійні тертя"
 desc_indian_religious_tensions:0 "Ми порвали з мусульманськими громадами і відновили релігію наших предків. Ніколи більше не будуть чутні вигуки язичників. В міру того, що мусульманська меншина залишається досить великою, в країні спостерігається певна напруга."
 move_capital_to_rome:0 "Перемістити столицю в Рим"
 move_capital_to_rome_title:0 "Перемістити столицю в Рим"
 move_capital_to_rome_desc:0 "Провінція і місто Рим знову в руках Папи. Настав час відродити святу землю."
 DIPLOMATIC_RELATIONS_LESS_THAN:0 "Дипломатичних зв'язків менше "
 DIPLOMATIC_RELATIONS_AT_LEAST:0 "Дипломатичних зв'язків щонайменше "
 FREE_DIPLOMATIC_RELATIONS_LESS_THAN:0 "Вільних дипломатичних зв'язків менше "
 FREE_DIPLOMATIC_RELATIONS_AT_LEAST:0 "Вільних дипломатичних зв'язків щонайменше "
 CORE_EXPLAIN_LOSE_CULTURE_GROUP_NOLOSE:0 "Держава §Y$WHO$§! має однакову культурну групу (§Y$PROVCULTURE$§!) і ніколи не втратить національне ядро у провінції §Y$PROV$§!."
 CORE_EXPLAIN_LOSE_PRIMARY_TAG_NOLOSE:0 "Держава §Y$WHO$§! є основною для культури §Y$PROVCULTURE$§! і ніколи не втратить національне ядро у провінції §Y$PROV$§!."
 HISTORY_DISCOVERED_BY_GROUP:0 "Була виявлена групою §Y$GROUP$§W."
 WESTERNIZATION_AFFECTS:0 "§YЕфекти під час вестернізації:§W"
 SUBJECT_COUNTRY_STARTS:0 "Залежна держава"
 ALL_SUBJECT_COUNTRY_STARTS:0 "Всі залежні держави"
 gen_trade_access_denied:0 "Відмовлено в ексклюзивних привілеях торгівлі через Босфор"
 gen_trade_given:0 "Даровані ексклюзивні привілеї торгівлі через Босфор"
 opinion_congratulated_new_primas_germaniae:0 "Привітав нового примаса Німеччини"
 opinion_supported_monarch:0 "Підтримав данського монарха"
 religious_compromise:0 "Користь від релігійного компромісу"
 favors_catholics_catholics:0 "Підтримка католиків"
 favors_catholics_protestants:0 "Підтримка католиків"
 favors_protestants_protestants:0 "Підтримка протестантів"
 favors_protestants_catholics:0 "Підтримка протестантів"
 royal_letter_of_bohemia:0 "Королівський лист з Богемії"
 refused_royal_letter_of_bohemia:0 "Відмовив королівському листу з Богемії"
 SHA_ideas:0 "Ідеї шауні"
 SHA_ideas_start:0 "Традиції шауні"
 SHA_ideas_bonus:0 "Амбіції шауні"
 the_wandering_people:0 "Мандрівний народ"
 the_wandering_people_desc:0 "Куди б ми не пішли, війна йде за нами. Але ми завжди йшли далі, в інші землі, від моря вздовж Великої Ріки. Коли війна прийде знову, ми знову вирушимо в дорогу."
 dark_and_bloody_ground:0 "Темна і кривава земля"
 dark_and_bloody_ground_desc:0 "На нашій прадавній батьківщині одна війна йшла за іншою війною. Якщо хтось заявляв претензії й захоплював її, то він платив високу ціну. Ми повинні переконатися, що так буде завжди."
 the_bread_dance:0 "Хлібний танець"
 the_bread_dance_desc:0 "Організувавши церемонії святкування посівних робіт і збору врожаю, ми зможемо краще керувати нашим життям, і прищеплювати почуття традицій."
 shaawanwaki_identity:0 "Ідентичність шааванвакі"
 shaawanwaki_identity_desc:0 "Хоч ми й розкидані за вітром, а між нашими селами багато місяців шляху, ми не забуваємо, що ми - Шааванвакі - Шауні - люди."
 autonomous_clans:0 "Незалежні роди"
 autonomous_clans_desc:0 "Через велику відстань між нашими кланами, кожен повинен навчитися самостійності, а також відшукати серед свого народу лідерів. Це дасть людям шауні ще один привід проявити себе."
 farreaching_relations:0 "Далекосяжні зв'язки"
 farreaching_relations_desc:0 "Під час наших міграцій ми зустріли безліч народностей. Деякі стали друзями, деякі ворогами, але якби ми з'єднали цих людей разом, то ми могли б і не покидати нашу батьківщину."
 private_war_parties:0 "Приватне військо"
 private_war_parties_desc:0 "Ми повинні підтримувати членів нашого племені, якщо вони втратилися майно через набіги сусідніх племен. Ми повинні переконати їх сформувати приватний військовий загін заради помсти. Таким чином більше людей зможе стати на шлях війни, і в разі потреби ми зможемо покластися на більшу кількість навчених воїнів."
 POWER_COST_CORE:0 "Кількість провінцій на які ми маємо законні права: $VAL$\n"
 CRE_ideas:0 "Крікські ідеї"
 CRE_ideas_start:0 "Крікські традиції"
 CRE_ideas_bonus:0 "Крікські амбіції"
 creek_caste_system:0 "Кастова система"
 creek_caste_system_desc:0 "При збереженні сформованої кастової системи, ми можемо гарантувати, що наше суспільство залишиться стабільним."
 green_corn_celebration:0 "Свято зеленої кукурудзи"
 green_corn_celebration_desc:0 "Сільськогосподарські свята, такі як свято зеленої кукурудзи, заохочують наших людей до підвищення врожаю у своїх областях."
 four_mother_towns:0 "Чотири рідних міста"
 four_mother_towns_desc:0 "Ми ніколи не забудемо про чотири міста, з яких походить наш народ. Ми повинні підтримати їхню славну спадщину."
 micos_leadership:0 "Лідерство микосів"
 micos_leadership_desc:0 "Надавши лідерство в бою старості поселення, мікосу, який краще знає своїх людей, ми значно збільшимо підтримку від місцевих сіл."
 muscogee_neutrality:0 "Крікський нейтралітет"
 muscogee_neutrality_desc:0 "Ми не повинні приймати участь у війнах людей навколо нас. Замість цього ми будемо торгувати з ними."
 red_sticks:0 "Червоні палиці"
 red_sticks_desc:0 "Червоні палиці - це традиційне спорядження воїна, що нагадує про наші військові традиції та силу в бою. Ми не повинні це забувати!"
 coptic:0 "Коптизм"
 ibadi:0 "Ібадизм"
 dharmic:0 "Дхарма"
 sikhism:0 "Сикхізм"
 coptic_rebels_demand:0 "Прийняти релігію $RELIGION$"
 coptic_rebels_demand_desc:0 "Фанатики, які сповідують $RELIGION$, вимагають зміни державної релігії, або хоча б припинення гонінь на їхню віру."
 coptic_rebels_title:0 "Релігійні"
 coptic_rebels_name:0 "Фанатики-копти"
 coptic_rebels_desc:0 "Релігійні фанатики повстають у провінціях, що мають відмінну від державної релігію. Вони прагнуть поширити своє вірування, знищуючи всіх невірних."
 coptic_rebels_army:0 "Армія коптських фанатиків"
 ibadi_rebels_demand:0 "Прийняти релігію $RELIGION$"
 ibadi_rebels_demand_desc:0 "Фанатики, які сповідують $RELIGION$, вимагають зміни державної релігії, або хоча б припинення гонінь на їхню віру."
 ibadi_rebels_title:0 "Релігійні"
 ibadi_rebels_name:0 "Фанатики-ібадити"
 ibadi_rebels_desc:0 "Релігійні фанатики повстають у провінціях, що мають відмінну від державної релігію. Вони прагнуть поширити своє вірування, знищуючи всіх невірних."
 ibadi_rebels_army:0 "Армія ібадитських фанатиків"
 sikhism_rebels_demand:0 "Прийняти релігію $RELIGION$"
 sikhism_rebels_demand_desc:0 "Фанатики, які сповідують $RELIGION$, вимагають зміни державної релігії, або хоча б припинення гонінь на їхню віру."
 sikhism_rebels_title:0 "Релігійні"
 sikhism_rebels_name:0 "Фанатики-сикхи"
 sikhism_rebels_desc:0 "Релігійні фанатики повстають у провінціях, що мають відмінну від державної релігію. Вони прагнуть поширити своє вірування, знищуючи всіх невірних."
 sikhism_rebels_army:0 "Армія сикхів"
 ZAMIKAELITES:0 "Замікаеліти"
 STEPHANITES:0 "Стефаніанці"
 EUSTATHIANS:0 "Євстафіанці"
 HARURI:0 "Харури"
 SUFRI:0 "Суфрії"
 NAJADAT:0 "Наджадати"
 AZRAQI:0 "Азраки"
 construct_kiel_canal_title:0 "Будівництво Кільского каналу"
 construct_kiel_canal_desc:0 "Спорудження каналу між Балтійським і Північним морями це воістину титанічне завдання, яке принесе величезну користь нашому судноплавству. Але проект дуже дорогий, і може згодом привести до додаткових ускладнень..."
 construct_suez_canal_title:0 "Будівництво Суецького каналу"
 construct_suez_canal_desc:0 "Спорудження каналу між Середземним і Червоним морями це воістину титанічне завдання, яке принесе величезну користь нашому судноплавству. Але проект дуже дорогий, і може згодом привести до додаткових ускладнень..."
 construct_panama_canal_title:0 "Будівництво Панамського каналу"
 construct_panama_canal_desc:0 "Спорудження каналу, що поєднає Атлантичний і Тихий океан, це воістину титанічне завдання, яке принесе величезну користь нашому судноплавству. Але проект дуже дорогий, і може згодом привести до додаткових ускладнень..."
 cancel_kiel_canal_title:0 "Скасування побудови Кільского каналу"
 cancel_kiel_canal_desc:0 "Наш проект спорудження Кільского каналу був визнаний занадто дорогим, і його скасували."
 cancel_suez_canal_title:0 "Скасування побудови Суецького каналу"
 cancel_suez_canal_desc:0 "Наш проект спорудження Суецького каналу був визнаний занадто дорогим, і його скасували."
 cancel_panama_canal_title:0 "Скасування побудови Панамського каналу"
 cancel_panama_canal_desc:0 "Наш проект спорудження Панамського каналу був визнаний занадто дорогим, і його скасували."
 canal_events.EVTNAME1:0 "Недостатнє планування"
 canal_events.EVTDESC1:0 "Схоже, що приготування до будівництва в провінції [Root.GetName] були недостатніми. Проект недавно зазнав ряд невдач через погане планування. Створення комісії з реорганізації й перепланування допоможе повернути проект у графік."
 canal_events.EVTOPTA1:0 "Зробіть це"
 canal_events.EVTOPTB1:0 "Занадто дорого"
 canal_events.EVTNAME2:0 "Погане керування"
 canal_events.EVTDESC2:0 "Багато проблем при будівництві в провінції [Root.GetName] схоже виникає від поганого керування на будівництві. Ми повинні розглянути питання про заміну відповідальних осіб."
 canal_events.EVTOPTA2:0 "Відправити нових керівників"
 canal_events.EVTOPTB2:0 "Обійдуться"
 canal_events.EVTNAME3:0 "Нове керування?"
 canal_events.EVTDESC3:0 "У світлі численних невдач і труднощів, які переслідують наш проект по будівництву в провінції [Root.GetName], не дивно що місцеве керівництво засмутилося, а більша частина робітників перебуває в апатії. Можливо слід послати когось, хто взяв би на себе реорганізацію робіт?"
 canal_events.EVTOPTA3:0 "Послати нового управителя на проект"
 canal_events.EVTOPTB3:0 "В нас немає на це часу"
 canal_events.EVTNAME4:0 "Занепад місцевої торгівлі"
 canal_events.EVTDESC4:0 "Багато з тих, хто працює на будівництві в провінції [Root.GetName], приторговують із місцевим населенням. Але останнім часом ця торгівля занепала, а без неї багато працівників ледве зводять кінці з кінцями."
 canal_events.EVTOPTA4:0 "Надайте їм допомогу"
 canal_events.EVTOPTB4:0 "Не наші проблеми"
 canal_events.EVTNAME5:0 "Зсув ґрунту"
 canal_events.EVTDESC5:0 "Наш проект будівництва каналу в провінції [Root.GetName] схоже хтось прокляв. Катастрофічний зсув засипав кілька таборів робітників. Багато людей загинуло, а деякі ділянки каналу доведеться копати заново."
 canal_events.EVTOPTA5:0 "Надішліть більше ресурсів"
 canal_events.EVTOPTB5:0 "Ми нічого не можемо зробити"
 canal_events.EVTNAME6:0 "Недостатньо продовольства"
 canal_events.EVTDESC6:0 "Непередбачені проблеми зупинили будівництво в провінції [Root.GetName], і викликали недостачу продовольства для робітників. Якщо додаткова провізія не прибуде якомога скоріше, проект очікують серйозні проблеми."
 canal_events.EVTOPTA6:0 "Переконайтеся, що вони отримали все необхідне"
 canal_events.EVTOPTB6:0 "Ми нічого не можемо зробити"
 canal_events.EVTNAME7:0 "Сильні повені"
 canal_events.EVTDESC7:0 "Сильні повені завдали великої шкоди в провінції [Root.GetName], і сповільнили будівництво. Якщо не буде виділено додаткових коштів, проект може серйозно сповільнитися."
 canal_events.EVTOPTA7:0 "Виділити кошти"
 canal_events.EVTOPTB7:0 "Ми не можемо собі цього дозволити"
 canal_events.EVTNAME8:0 "Зростаюче пияцтво"
 canal_events.EVTDESC8:0 "Наша ідея преміювання працівників додатковими порціями алкоголю на будівництві в провінції [Root.GetName] схоже принесла небажані результати. Ріст пияцтва був прогнозованим, але це крім того збільшило кількість смертей від дизентерії та лихоманки."
 canal_events.EVTOPTA8:0 "Зменшити порції"
 canal_events.EVTOPTB8:0 "Що зроблено, то зроблено"
 canal_events.EVTNAME9:0 "Порції алкоголю"
 canal_events.EVTDESC9:0 "Жахливі умови, які панують на будівництві в провінції [Root.GetName], вганяють наших робітників у зневіру й депресію. Щось потрібно зробити, інакше все ця витівка закінчиться не почавшись. Дехто пропонує збільшити порції спиртного для робітників, але можуть бути проблеми в майбутньому."
 canal_events.EVTOPTA9:0 "Непогана ідея"
 canal_events.EVTOPTB9:0 "Не варто"
 canal_events.EVTNAME10:0 "Створено будівельну компанію"
 canal_events.EVTDESC10:0 "Група багатих інвесторів і торговців зацікавлена економічними перспективами, пов'язаними зі споруджуваним проектом у провінції [Root.GetName], і заснувала приватне підприємство для підтримки будівництва."
 canal_events.EVTOPTA10:0 "Прекрасно!"
 canal_events.EVTNAME11:0 "Це фінансова піраміда!"
 canal_events.EVTDESC11:0 "Схоже, що приватна компанія, яка фінансувала будівництво, збанкрутувала. Вони очевидно зіштовхнулися із серйозними економічними проблемами, але приховали цю інформацію від громадськості, й обманювали інвесторів, вкладаючи все більше й більше грошей у проект. Багато людей втратили свої заощадження через те, що тепер називають 'пірамідою каналу', і озлоблений натовп збирається в столиці [Root.Owner.Capital.GetCapitalName], вимагаючи справедливості й відшкодування збитків."
 canal_events.EVTOPTA11:0 "Ця не наша провина!"
 canal_events.EVTOPTB11:0 "Доведеться платити..."
 canal_events.EVTNAME12:0 "Прекрасне керівництво?"
 canal_events.EVTDESC12:0 "Неймовірно, схоже будівництво в провінції [Root.GetName] випереджає графік!"
 canal_events.EVTOPTA12:0 "Невже правда?"
 canal_events.EVTNAME13:0 "Гарна погода"
 canal_events.EVTDESC13:0 "Гарна погода на будівництві в провінції [Root.GetName] сприяла прискоренню робіт і випередженню графіка!"
 canal_events.EVTOPTA13:0 "Нарешті хороші новини!"
