l_ukrainian:
 nw_native_ideas:0 "Ідеї тубільців Північного Заходу"
 native_americans.26.e:0 "Потлач був досить бідний. Ми розчаровані."
 potlatch_bad:0 "Нам не сподобався потлач"
 native_americans.27.t:1 "Холодний прийом"
 native_americans.27.d:1 "When we were visiting [From.Monarch.GetName] and [From.Monarch.GetHerHim] people, a potlatch should have been held in our honor. In this ceremony great gifts should have been given to us as a way to both honor our visit and prove how wealthy [From.Monarch.GetName] is. How should we respond?"
 native_americans.27.a:0 "Ми розуміємо, що не на часі."
 native_americans.27.b:0 "Насправді це дуже образливо."
 native_americans.28.t:0 "День полювання"
 native_americans.28.d:1 "Today is a good day to hunt and [Root.Monarch.GetName] have woken up with that in mind. [Root.Monarch.GetName] approaches [Root.GetMJOGO] men and tell them [Root.GetMJOGO] wish to go on hunting. One of [Root.GetMJOGO] most expert men approaches and asks [Root.Monarch.GetHerHim] which prey [Root.GetMSheHe] wants to hunt."
 native_americans.28.a:0 "Шукаємо оленів."
 native_americans.28.b:1 "Здобиччю стане лосось."
 native_americans.28.c:0 "Немає нічого кращого за полювання на тюленів."
 native_americans.28.e:0 "Вилороги – справжнє випробування."
 native_americans.28.f:0 "Лише бізони є належною здобиччю."
 native_americans.29.t:0 "Велика здобич"
 native_americans.29.d1:1 "While [Root.Monarch.GetName] was going on a hunt with some of [Root.GetMJOGO] warriors, trying to surround a group of deers and bring some food for [Root.GetMJOGO] tribe, one of [Root.GetMJOGO] men approaches [Root.Monarch.GetHerHim] and says that he has seen a really big deer deep in the forest. [Root.Monarch.GetName] does not hesitate and follow the man through the woods until [Root.GetMSheHe] finds [Root.GetMJOGO] prey. A big deer, the biggest [Root.GetMSheHe] has ever seen poses majestic in the middle of a clearing. [Root.GetMSheHe] whispers a short 'thank you' to the spirits of the forest for this opportunity that [Root.GetMSheHe] will not miss. [Root.GetMSheHe] orders [Root.GetMJOGO] men to stay quiet and in their positions as [Root.GetMSheHe] starts to silently move towards the best position to fire [Root.GetMJOGO] bow. The bow is ready to release the arrow destined to kill the animal. [Root.Monarch.GetName]'s breath is calm. [Root.GetMJOGO] fingers start to free the arrow."
 native_americans.29.d2:1 "A woman from [Root.Monarch.GetHerHim]'s tribe approaches [Root.Monarch.GetHerHim] while [Root.GetMSheHe] is fishing as [Root.GetMJOGO] tribe usually does to feed their people. [Root.Monarch.GetName] raises [Root.GetMJOGO] head towards her, [Root.GetMJOGO] eyes meet and [Root.Monarch.GetName] knows she has seen something unusual, but good, nevertheless. With piety in her gaze, she whispers how she has seen the biggest salmon ever, a true incarnation of the spirit of the river we so deeply worship. [Root.Monarch.GetName] follows her to the spot where she saw it and after a few breaths [Root.Monarch.GetName] finally sees it. It is huge indeed. [Root.Monarch.GetName] prepares [Root.GetMJOGO] tools to capture it."
 native_americans.29.d3:2 "As [Root.Monarch.GetName] was going back home with [Root.GetMJOGO] canoe after a good day of seal hunting, [Root.Monarch.GetName] saw not far away from [Root.GetMJOGO] position a huge seal, a true blessing from the gods, emerge from the depths of the sea. [Root.GetMSheHe] prepares [Root.GetMJOGO] harpoon and quietly moves closer to it. [Root.GetMSheHeCap] leaves the row over [Root.GetMJOGO] canoe, stand up and have the harpoon ready to be fired. The seal emerges, their gazes contact as [Root.Monarch.GetName] releases the weapon."
 native_americans.29.d4:2 "The hunting group is coming back home when among the group of pronghorns that comes across [Root.Monarch.GetName], the biggest antelope [Root.GetMSheHe] has ever seen appears. Almost as if it was a deity, [Root.GetMSheHe] can feel a special bright aura around it and immediately knows [Root.GetMSheHe] have to hunt it. [Root.GetMSheHe] leaves the group behind and move silently to sneak the animal. When [Root.GetMSheHe] is ready, [Root.GetMSheHe] prepares [Root.GetMJOGO] weapon, hoping to not miss the chance."
 native_americans.29.d5:1 "The land trembles as [Root.Monarch.GetName] gets closer to the herd of bison. These animals can kill anyone with their gore attacks with ease, but they are also life for our people. Suddenly, among them, [Root.Monarch.GetName] can see a massive male that [Root.GetMSheHe] knows has to be [Root.GetMJOGO] prey. [Root.GetMSheHe] prepares [Root.Monarch.GetHerselfHimself] for this unequal fight before [Root.GetMJOGO] ancestors with a quick pray. The opportunity emerges right in front of [Root.Monarch.GetHerHim], and [Root.GetMSheHe] tries."
 native_americans.29.a:1 "Хай духи вирішують, чи заслуговує [Root.Monarch.GetName] нагороди."
 unsuccessful_hunt:1 "[Root.Monarch.GetName] промахнеться."
 successful_hunt:1 "[Root.Monarch.GetName] вб'є тварину."
 native_americans.30.t:0 "Ганебний стовп"
 native_americans.30.d:1 "A messenger approaches [Root.Monarch.GetName] and tells [Root.Monarch.GetHerHim] that a shame pole has been erected to let everyone know about [Root.GetMJOGO] debt. This is a quite embarrassing situation that will weaken [Root.Monarch.GetName]'s position, what shall we do?"
 native_americans.30.a:1 "Ok, [Root.Monarch.GetName] will pay and let this gossip die."
 native_americans.30.b:1 "Ми не платитимемо."
 pay_debt_shame_pole_title:0 "Ганебний стовп боргу"
 pay_debt_shame_pole_desc:0 "A shame pole has been erected to embarrass us. If we pay our debt, the pole will be removed, and we will stop losing face."
 shame_pole:0 "Ганебний стовп"
 desc_shame_pole:0 "A shame pole is making us lose face."
 native_americans.31.t:1 "Почесний стовп для союзника"
 native_americans.31.d:1 "Our allies have proved their value to us and our people have asked to erect an honor pole for them to show our gratitude. Shall we erect one?"
 native_americans.31.a:0 "They deserve this."
 native_americans.31.b:0 "Not this time."
 erect_honour_pole_ally_title:1 "Почесний стовп для союзника"
 erect_honour_pole_ally_desc:1 "We have the chance to erect an honor pole for an ally. This will improve our relations even more."
 erect_honour_pole_title:1 "Почесний стовп для нашого племені"
 erect_honour_pole_desc:1 "We want to remind people about an important event or honor ancestors or someone deserving by erecting an honor pole."
 native_americans.32.t:1 "Почесний стовп"
 native_americans.32.d:1 "During the last days you have been thinking about erecting an honor pole in the village. It has been a long time since the last was created, and it is a good chance to make your tribe look better in the eyes of everyone, including your people. You have to decide whether it would be in your honor, of someone else or to please the ancestors."
 native_americans.32.a:0 "Це непогана ідея."
 native_americans.32.b:0 "Не цього разу."
 honour_pole:1 "Почесний стовп"
 desc_honour_pole:1 "An honor pole has been erected in our lands to remember an ancestor, an event or the eternal friendship between tribes."
 native_americans.33.t:0 "Lost Animals"
 native_americans.33.d1:1 "Someone has not been careful and our dogs have disappeared from our camp. Without them we cannot move our tipis and belongings, so we are stuck in this land until we recover them."
 native_americans.33.d2:1 "Someone has not been careful and some of our horses have disappeared from our camp. Without them we cannot move our tipis and belongings, so we are stuck in this land until we recover them."
 native_americans.33.a:0 "Send everyone available to look for them."
 native_americans.33.b:0 "It will cost too much, they will eventually come back."
 travois_no_dogs:1 "Немає собак для наших травуа"
 desc_travois_no_dogs:0 "Поки ми не повернемо наших собак, наші травуа непридатні."
 travois_no_horses:1 "Немає коней для наших травуа"
 desc_travois_no_horses:0 "Поки ми не повернемо наших коней, наші травуа непридатні."
 native_americans.34.t:0 "Пліт орла"
 native_americans.34.d:1 "An eagle flies over the camp. Nobody pays much attention until our priest starts to be nervous. People surround him. Even you are dragged near him. His words are bad. The flight of the eagle is too irregular, and our priest thinks that is a bad omen."
 native_americans.34.a:0 "We should make some sacrifices to appease the spirits."
 native_americans.34.b:0 "It is just an eagle."
 native_americans.35.t:1 "Bison Are Breeding"
 native_americans.35.d:1 "The last few months have been rainy with the best possible outcome. Grass has grown greener and stronger than ever, food is so abundant that bison have bred in incredible numbers. Spirits have really blessed us."
 native_americans.35.a:0 "This will be a good hunting year."
 native_americans.36.t:0 "Розпис шкур"
 native_americans.36.d:1 "The last hunt was very good, and we managed to gather a lot of bison hides. While painted hides are common in other tribes, they usually do not have access to bison, making these big hides something that can be traded for a good price. Our traders have just come back. They bring riches with them."
 native_americans.36.a:0 "This wealth will be good for the tribe."
 native_americans.37.t:0 "Мир на рівнинах"
 native_americans.37.d:0 "Some tribe leaders have accepted our invitation to gather together and bring peace back to the Plains. While many people do not think this would work, others think it is well worth the effort."
 native_americans.37.a:0 "Some gifts will ease things."
 native_americans.37.b:1 "We simply cannot forget past aggressions."
 native_americans.38.t:1 "Нестача жолуддя"
 native_americans.38.d:0 "Acorns are the base of our diet. We use them for several of our dishes and this year, for some reason, the acorns are scarce."
 native_americans.38.a:0 "We will have to rely on other things."
 native_americans.39.t:1 "Життя має повернутися"
 native_americans.39.d:1 "After the last fires that have devastated our land, people have started to wonder how we can remove this ugly scar from the land that so generously nurtures us. With great ingenuity, our leader [Root.Monarch.GetName] has remembered an old tradition where our people, in most cases women, would use a specially shaped baskets that would contain seeds. As people walked, the deposited seeds would fall to the ground and eventually colonize the once devastated land, which becomes green again."
 native_americans.39.a:1 "We will devote our resources to create lots of these baskets for this noble endeavor."
 native_americans.39.b:0 "It is not the moment."
 native_americans.40.t:1 "Парна для громади"
 native_americans.40.d:1 "Нашій громаді довго не вистачало 'хатини поту', після того, як попередня згоріла. Оскільки в нас було багато нагальніших проблем, громада обходилася без цього. Тепер же, плем'я проживає відносно спокійний період і люди згадали про належну парну, де наші чоловіки і діти зможуть очистити свої тіла і душі. Було б непогано призначити людей для зведення цієї будови на користь громади."
 native_americans.40.a:1 "Ми її зведемо."
 native_americans.40.b:1 "Краще використаємо ресурси на щось інше."
 native_americans.41.t:0 "Кошики продано"
 native_americans.41.d:1 "A trader from another tribe has shown interest in the baskets our women were weaving and asked to buy some. This could open new trade opportunities."
 native_americans.41.a:0 "I see a new way to benefit our people."
 be_the_leader_title:0 "Бути лідером"
 be_the_leader_desc:0 "Ми повинні показати всім, що ми тут, щоб вести за собою."
 honour_the_ancestors_title:1 "Шанування предків"
 honour_the_ancestors_desc:0 "Встановлюючи тотемний стовп на згадку про наших предків та їхні подвиги, ми висловлюємо повагу."
 smells_like_teen_spirit_title:0 "Запалити серця"
 smells_like_teen_spirit_desc:0 "Хоча демонстрація сили іншим народам важлива, ми нічого не досягнемо, якщо нас не поважатиме наш народ. Нам потрібно, щоб це почуття переповнювало їх, як коли вони були молодші, сповнені енергії, здатної поглинути весь світ."
 celebrate_a_potlatch_title:0 "Відсвяткувати потлач"
 celebrate_a_potlatch_desc:0 "Нехай до нас прийдуть наші союзники, ми осиплемо їх подарунками, і тоді вони дізнаються, наскільки ми багаті."
 show_military_strength_title:0 "Показати військову силу"
 show_military_strength_desc:0 "Інші племена можуть бути нашими союзниками, але ми покажемо свою силу і дамо їм зрозуміти, хто встановлює правила."
 bond_to_the_land_title:0 "Прив'язатися до землі"
 bond_to_the_land_desc:0 "Мисливських угідь багато, але нам потрібно десь розміщувати свій крам."
 why_cant_we_be_friends_title:0 "Чому ми не можемо бути друзями?"
 why_cant_we_be_friends_desc:0 "Мешканці рівнин завжди були досить мирними, нумо покажемо всім, що ми хочемо все так і залишити."
 teach_plains_sign_language_title:0 "Навчити рівнини мови жестів"
 teach_plains_sign_language_desc:1 "Наші предки створили мову жестів, яка не використовується як лінгва франка для торгівлі, ми повинні продовжувати вчити цьому наших дітей."
 plains_power_title:0 "Сила рівнин"
 plains_power_desc:0 "Якщо ми будемо вихвалятись, наскільки ми розвинені, всі будуть захоплюватися нами."
 horse_culture_title:0 "Культура коней"
 horse_culture_desc:0 "Коні здійснили революцію у нашому способі життя. Нам потрібно адаптуватися та прийняти нових себе."
 such_a_lovely_place_title:0 "Таке чудове місце"
 such_a_lovely_place_desc:0 "Наша земля багата, з багатьма ресурсами для нашого народу, нам просто потрібно зібрати їх і побачити, як кількість наших людей зростає."
 lovely_place:0 "Таке чудове місце"
 desc_lovely_place:0 "Ласкаво просимо до Каліфорнії\nТаке чудове місце\nТаке чудове обличчя\nУ Каліфорнії багато місця\nБудь-якої пори року\nВи завжди знайдете тут."
 in_harmony_with_nature_title:0 "У гармонії з природою"
 in_harmony_with_nature_desc:1 "Наш народ може отримувати все необхідне, просто займаючись збиральництвом, щонайбільше, що може знадобитися – деякі лісові садівництва, щоб допомогти природі виробляти більше."
 basketweaving_trade_title:1 "Торгівля кошиками"
 basketweaving_trade_desc:1 "Наші люди, особливо наші жінки, традиційно плетуть кошики, які часто використовуються в наших громадах. Ми повинні зробити це центральною частиною нашої економіки та розглянути можливість торгівлі ними з іншими племенами в обмін на товари, до яких ми не маємо доступу."
 commission_some_rock_art:0 "Замовити наскельний живопис"
 commission_some_rock_art_desc:0 "Щоб вшанувати наших предків, ми замовимо наскельний живопис."
 rock_art_dec:0 "Наскельний живопис"
 desc_rock_art_dec:1 "Ми замовили створення нового скельного живопису в наших землях на честь наших предків."
 paint_the_land_title:0 "Розфарбувати землю"
 paint_the_land_desc:0 "Розпис скель дуже дорогий нашому народові. Він пов'язує нас із землею, і щоб зміцнити цей зв'язок, ми знову замовимо цей живопис."
 settle_our_tribe_title:0 "Осісти своїм племенем"
 settle_our_tribe_desc:0 "Багато зим наш народ кочував, але зараз цього не потрібно. Ми осядемо на нашій землі на славу нашого народу."
 colonize_the_continent:0 "Колонізувати континент"
 desc_colonize_the_continent:1 "Навколо нас багато вільних земель, які мусить зайняти наш народ, якщо ми хочемо витримати нові хвилі іноземців, які прибувають до наших берегів."
 ne_native_ideas:0 "Ідеї північно-східних лісів"
 ne_native_ideas_start:0 "Північно-східні традиції"
 ne_native_ideas_bonus:0 "Північно-східні амбіції"
 ne_turtle_clan:0 "Клан черепахи"
 ne_turtle_clan_desc:0 "Панцир такий же міцний, як камінь. Черепахи – одні з найвитриваліших і довгоживучих тварин, ми, напевно, зможемо навчитися у них захисту."
 ne_deer_clan:0 "Клан оленя"
 ne_deer_clan_desc:0 "Поетів і казкарів треба вихваляти та поважати. Олені є одними з найважливіших тварин, на яких коли-небудь полювали, завдяки своїй величності та витонченості вони стали джерелом натхнення для наших митців."
 ne_bear_clan:0 "Клан ведмедя"
 ne_bear_clan_desc:1 "Ведмеді – охоронці. Вони вміють захищати та лікувати. Через це багато наших шаманів прийняли слово «ведмідь» як частину своїх імен, і його дух збільшить їхні здібності."
 ne_wolf_clan:0 "Клан вовка"
 ne_wolf_clan_desc:1 "Вовки – мудреці, розумні та наполегливі лідери. Однак їхня відданість є їхньою найдорожчою рисою, оскільки, подібно до вірних і лютих собак, вони ніколи не покинуть своїх сімей."
 ne_marten_clan:0 "Клан куниці"
 ne_marten_clan_desc:0 "Куниці – мисливці, воїни; вони завжди контролюють бій, що робить їх грізними ворогами. Їхній войовничий дух надихав наш народ у час війни."
 ne_eagle_clan:0 "Клан орла"
 ne_eagle_clan_desc:0 "Орли – благородні, шановані тварини. Вони стали символом сімейної цілісності та представляють хороший баланс між добротою та небезпекою. Члени інших племен повинні бути під впливом їхньої величної поведінки."
 ne_crane_clan:0 "Клан журавля"
 ne_crane_clan_desc:0 "Журавлі – природжені лідери. Коли журавель чомусь повчає, його гучний голос можна почути здалеку, тому його неможливо проігнорувати."
 se_native_ideas:0 "Ідеї південно-східних лісів"
 se_native_ideas_start:0 "Південно-східні традиції"
 se_native_ideas_bonus:0 "Південно-східні амбіції"
 se_mississippian_legacy:0 "Спадщина Міссісіпі"
 se_mississippian_legacy_desc:0 "Спадщина створюється історіями. Розповіді про місця, які ми населяли, предмети, якими ми користувалися, життя, яким ми жили. Стародавня культура Міссісіпі простягалася вздовж річки як релігійна та торгова мережа, яка об'єднувала різні племена."
 se_matrilineal_lineage:0 "Матрилінійний родовід"
 se_matrilineal_lineage_desc:0 "Діти народжуються в кланах своїх батьків, вони навчатимуться і зростатимуть разом із ними. Більшість племен у нашому регіоні простежують матрилінійну організацію, а мати клану є важливою фігурою в наших урядах."
 se_refined_ceramics:0 "Витончена кераміка"
 se_refined_ceramics_desc:1 "У всіх життях, які ми проживаємо, бруд і камінь завжди йдуть за нами. Своїми голими руками ми перетворюємо їх на щось більше, ніж просто бруд або камінь. Протягом століть ми вдосконалювали наші технології кераміки та вдихали в них життя."
 se_cultivation_of_the_earth:0 "Землеробство"
 se_cultivation_of_the_earth_desc:0 "Земля є одночасно початком і кінцем усілякого життя. Вона живить нас, змушує нас голодувати, перетворює наші тіла на гнилі трупи та пожирає нас. Ми з неї харчуємось, вона харчується нами. Зараз ми оптимізували наше землеробство, щоб гарантувати використання всіх його переваг."
 se_mound_builders:0 "Будівельники курганів"
 se_mound_builders_desc:0 "Вшановувати померлих – це те, що потрібно робити не лише на словах, а й справами. Наші предки були відомі тим, що споруджували кургани як місця поховання і як спосіб віддати шану покійним."
 se_exogamous_marriages:0 "Позакланові шлюби"
 se_exogamous_marriages_desc:0 "Одруження за межами наших кланів забезпечить нам певні союзи, а також запобіжить деяким хворобам, характерним для наших сімей."
 se_stomp_dancers:0 "Церемоніальні танці"
 se_stomp_dancers_desc:0 "Щоб виконати винятковий танець стомп, учасники повинні дотримуватися певних суворих правил для проведення церемонії належним чином. Ці правила, зокрема, передбачають контроль як над тілом, так і над розумом, а також постувати, не спати та приймати деякі ліки, які допоможуть їм у цьому важливому завданні."
 sw_native_ideas:1 "Ідеї американського південного заходу"
 sw_native_ideas_start:0 "Південно-західні традиції"
 sw_native_ideas_bonus:0 "Південно-західні амбіції"
 sw_the_old_tales:0 "Старі оповідання"
 sw_the_old_tales_desc:0 "Слухаючи казки та оповідання нашого минулого, ми можемо дізнатися про наше майбутнє. Необхідно, щоб ми не нехтували їхніми вченнями."
 sw_four_clans:0 "Чотири клани"
 sw_four_clans_desc:1 "У деяких племен нашого регіону кожна дитина стає при народженні членом чотирьох кланів: маминого, татусевого, бабусиного і дідусевого. Кожен з них наповнить дитину силою та мудрістю, роблячи наших воїнів особливо витривалими."
 sw_raiding_nomads:0 "Рейдери-кочовники"
 sw_raiding_nomads_desc:0 "Деякі з племен, що населяють пустелю, люті й грізні; однієї лише згадки про їхнє прибуття достатньо, щоб вороги злякано сховалися."
 sw_prosperous_sedentarism:0 "Квітуче осіле життя"
 sw_prosperous_sedentarism_desc:0 "Деякі племена вирішують жити у фермерських селах, зосереджуючись на своєму розвитку."
 sw_the_grand_canyon:0 "Великий каньйон"
 sw_the_grand_canyon_desc:0 "Гострий поріз у плоті Землі. Це Великий каньйон. Тріщина на його кам'янистій шкірі. Це небезпечне місце, але знання цього завжди дасть нам додаткову перевагу над ворогами."
 sw_into_the_desert:0 "У пустелю"
 sw_into_the_desert_desc:0 "Пустелю неможливо зупинити. Її неможливо подолати, з нею неможливо боротися. Пустелю можна тільки прийняти, зрозуміти. Ми навчилися жити в ній, але наші вороги, на щастя, не мають такого знання."
 sw_far_west:0 "Далекий Захід"
 sw_far_west_desc:0 "Буває момент, коли людина розуміє, що далі йти вже не може. Що за цією межею нічого немає: води, спокою, нічого. Однак ірраціональний імпульс спонукає нас просуватися далі."
 PROV4846:0 "Вулна"
 PROV_ADJ4846:0 "Вулнськ"
 PROV4847:0 "Юнава"
 PROV_ADJ4847:0 "Юнавськ"
 PROV4848:0 "Мінгін"
 PROV_ADJ4848:0 "Мінгінськ"
 PROV4849:0 "Кунггара"
 PROV_ADJ4849:0 "Кунггарськ"
 PROV4850:0 "Бірі"
 PROV_ADJ4850:0 "Бірськ"
 PROV4851:0 "Гуренг"
 PROV_ADJ4851:0 "Гуренгськ"
 PROV4852:0 "Вулі-Вулі"
 PROV_ADJ4852:0 "Вульськ"
 PROV4853:0 "Біджара"
 PROV_ADJ4853:0 "Біджарськ"
 PROV4854:0 "Бадтжала"
 PROV_ADJ4854:0 "Бадтжалійськ"
 PROV4855:0 "Йіман"
 PROV_ADJ4855:0 "Йіманськ"
 PROV4856:0 "Баругам"
 PROV_ADJ4856:0 "Баругамськ"
 PROV4857:0 "Бунджалунг"
 PROV_ADJ4857:0 "Бунджалунгськ"
