l_ukrainian:
 usa_dlc.EVTNAME1:0 "Конгрес Конфедерації"
 usa_dlc.EVTDESC29:0 "'Юніон фаєр', також відома як 'Пожежна бригада Бенджаміна Франкліна' - це добровільна пожежна бригада сформована в 1736 році, після того як у декількох публікаціях газети 'The Pennsylvania Gazette' Франклін та кілкьа інших автоірв вказали на необхідність організації більш ефективного способу гасіння пожеж. 'Юнион Фаєр' складався лише з 30 членів, які збиралися 8 разів на рік. За підтримки страхової компанії 'Hand in Hand Fire & Life Insurance Society' в 1752 році 'Юніон Фаєр' придбала пожежний дзвін, який відразу ж було встановлено на Четвертій вулиці. Його звук можна було почути з будь-якого куточка міста. Для гасіння пожеж бригада використовує відра з водою, драбину, і два пожежні багри. Планує купити пожежний рукав. Однак зараз у бригади зовсім кепські справи із грішми, навіть незважаючи на те, що учасники вже зробили внески. Тому підтримка уряду була б доречною як ніколи. Чим більше грошей ми виділимо, тим довший пожежний рукав зможе купити бригада."
 usa_dlc.EVTOPTA29:0 "25 метрів буде достатньо."
 usa_dlc.EVTOPTB29:0 "Потрібно принаймні 30 метрів!"
 usa_dlc.EVTOPTC29:0 "Не менше 45 метрів!"
 usa_dlc.EVTOPTD29:0 "Нам це ні до чого."
 usa_dlc.EVTNAME30:0 "Договір про дружбу і співробітництво"
 usa_dlc.EVTDESC30:0 "Прем'єр-міністр Прусії, граф Карл-Вільгельм Фінк фон Фінкенштейн і Посол США у Франції Томас Джефферсон представили уряду США договір про дружбу і співробітництво між Королівством Прусія і Сполученими Штатами Америки, який фактично сформує економічний союз між двома державами. Якщо цей договір буде підписано, то це сприятиме вільній торгівлі та комерції.\n\n Головними пунктами цієї угоди є:\n\n Мир і дружба між Королівством Прусія й США\n Взаємне сприяння торгівлі та навігації\nЗахист кораблів обох держав, а також їх вантажу, у територіальних водах США і Прусії\n Право громадян зазначених держав володіти землями в обох країнах\n Взаємне право на обшук кораблів союзника, які виходять з ворожих портів, на предмет контрабанди\n Взаємне право торгувати з ворогами свого союзника лише в тому випадку, коли товари не є контрабандними\n Якщо раптом держави стануть ворожими одна одній, то встановлюється період ненападу на торгові кораблі на ворожій території терміном на 9 місяців\n Гуманне ставлення до військовополонених\n Взаємне право мати консулів, віце-консулів і вповноважених представників у союзних портах."
 usa_dlc.EVTOPTA30:0 "Підписати договір"
 usa_dlc.EVTOPTB30:0 "Може пізніше"
 usa_dlc.EVTNAME31:0 "Листівка Данлепа"
 usa_dlc.EVTDESC31:0 "Копії Декларації незалежності друкуються і поширюються по всіх колоніях під керівництвом комітету, який написав цей документ. У ніч 4 липня 29-літній ірландський іммігрант Джон Данлеп отримав завдання вручну набрати текст Декларації незалежності, виправити в ньому друкарські помилки, і роздрукувати листівки. Головнокомандувач Континентальної армії Джордж Вашингтон віддав наказ, щоб усьому війську зачитали текст Декларації."
 usa_dlc.EVTOPTA31:0 "Переконайтеся, що кожний зможе її прочитати!"
 usa_dlc.EVTNAME32:0 "Акт невтручання"
 usa_dlc.EVTDESC32:0 "'Продаж землі в межах території США індіанцями або племенами індіанців певній особі, групі осіб або ж державі, навіть при наявності переважного права покупки, вважається недійсним у всіх випадках, крім тих, які здійснюються у відповідності з певною публічною угодою, яка не суперечить законодавству США.'\n\nБуло внесено пропозицію видати Акт невтручання для того, щоб регулювати  торгівлю землею між індіанцями та іншими громадянами."
 usa_dlc.EVTOPTA32:0 "Видати Акт невтручання"
 usa_dlc.EVTOPTB32:0 "Відхилити акт"
 usa_dlc.EVTNAME33:0 "Повстання віскі"
 usa_dlc.EVTDESC33:0 "Міністр фінансів Александер Гамільтон встановив новий податок у якості одного з методів своєї нової програми зміцнення центральної влади. Головною метою цього податку був збір коштів у тих штатах, які не змогли виплатити свою частину боргу за Війну за незалежність. Тепер фермери, які робили віскі із залишків зерна й кукурудзи, змушені платити новий податок, що багатьом з них не сподобалося. Фермери заявляють про те, що вони захищають принципи американської революції, зокрема виступають проти оподатковування без місцевого представництва. Однак уряд вважає, що податки є правомірним вираженням повноважень Конгресу.\nСпротив переріс у повстання, коли маршал прибув у західну частину Пенсільванії, щоб вручити повістку до суду людям, які відмовилися платити акцизний збір. 500 озброєних фермерів напали укріплений будинок податкового інспектора генерала Джона Невілла. Джорджу Вашингтону вдалося розбити повстанців, однак опір оподатковуванню все ще доволі високий."
 usa_dlc.EVTOPTA33:0 "Залишити акт без змін"
 usa_dlc.EVTOPTB33:0 "Внести зміни в акт"
 usa_dlc.EVTNAME34:0 "Бостонський поштовий тракт"
 usa_dlc.EVTDESC34:0 "Дороги існували завжди. Наприклад Верхній поштовий тракт раніше використовувався індіанцями, які називали його 'Шляхом пекотів'. Деякі з цих доріг раніше були лише стежками шириною не більше пів метра. Бостонський поштовий тракт повинен стати дорогою між Мангеттеном, Коннектикутом, Наррагансеттом і Массачусетсом, і буде включати в себе старі індіанські стежки. Цей тракт буде використовуватися для доставки пошти з одного міста в інше. Нам потрібно організувати всю роботу, виміряти відстань доріг, і розробити маршрути.\nКому ви б хотіли доручити це відповідальне завдання? Адміністрації, військам чи дипломатичним корпусам?"
 usa_dlc.EVTOPTA34:0 "Адміністрація вирішить це питання."
 usa_dlc.EVTOPTB34:0 "Нехай цим займаються військові."
 usa_dlc.EVTOPTC34:0 "Дипломатичні корпуси впораються із цим завданням."
 usa_dlc.EVTNAME35:0 "Американське філософське товариство"
 usa_dlc.EVTDESC35:0 "Засноване у 1743 році Бенджаміном Франкліном і Джоном Бартрамом, товариство перестало функціонувати у 1746 році, але відновилося у 1769, і об'єдналося з Американським товариством розвитку корисних наук, і стало називатися 1Американське філософське товариство Філадельфії з розвитку корисних наук'. Воно постійно підтримувало Американський комітет з вдосконалень, і одним з його останніх проектів було вивчення перспективи будівництва каналу між Чесапікською затокою і рікою Делавер.\nТовариство розглядає можливість створення нагороди за досягнення в області навігації, астрономії і фізики. Вчений Жан-Гіацинт Магеллан запропонував грант президентові товариства, Бенджаміну Франкліну, з метою створення премії Магеллана, однак суспільству явно не зашкодили б додаткові інвестиції..."
 usa_dlc.EVTOPTA35:0 "Звучить переконливо, давайте підтримаємо їх"
 usa_dlc.EVTOPTB35:0 "Знайдемо менш витратний спосіб, щоб підтримати їх"
 usa_dlc.EVTOPTC35:0 "Не звертати уваги"
 usa_dlc.EVTNAME36:0 "День Евакуації"
 usa_dlc.EVTDESC36:0 "Британські війська в Нью-Йорку - останній оплот королівської влади в Сполучених Штатах - відступили до Мангеттену 25 листопада. Континентальна армія на чолі із Джорджем Вашингтоном з тріумфом пройшла через місто. Там пролунав останній постріл війни, коли британський канонір вистрелив з гармати по юрбі, яка глузувала, на березі Стейтен-Айленд. Однак постріл не досяг берега, і юрба закричала в тріумфі."
 usa_dlc.EVTOPTA36:0 "Нарешті!"
 usa_dlc.EVTNAME37:0 "Массачусетське товариство порятунку"
 usa_dlc.EVTDESC37:0 "Жителі Бостона, стурбовані безглуздими смертями в результаті корабельних аварій, заснували Массачусетське товариство порятунку. Спочатку товариство склало й оголосило порядок надання допомоги жертвам корабельних аварій, та інших морських катастроф. Пізніше з'явилися інструкції про рятувальне спорядження і притулки, які товариство розмістило на островах і узбережжі Массачусетської затоки."
 usa_dlc.EVTOPTA37:0 "Це те, що нам необхідно заохочувати і підтримувати!"
 usa_dlc.EVTOPTB37:0 "Вони й самі непогано справляються, їм не потрібна наша допомога."
 usa_dlc.EVTNAME38:0 "Комітет безпеки"
 usa_dlc.EVTDESC38:0 "З 'Синів Свободи' було сформовано численні комітети безпеки для обговорення і поширення інформації про проблеми того часу. Місцеве ополчення перебувало під контролем комітетів, які не довіряли королівському уряду Великобританії, і продовжували за ними спостерігати. Джон Хенкок запропонував, щоб ці комітети безпеки, які були діючим урядом усіх колоній до Конгресу Конфедерації, зберегли контроль над ополченням, і їм були б дані повноваження мобілізації ополчення. Також планувалося ввести штрафи для людей, які ухиляються від мобілізації, а також забезпечити ополчення засобами оборони."
 usa_dlc.EVTOPTA38:0 "Залишити комітети безпеки"
 usa_dlc.EVTOPTB38:0 "Вони виконали свою роль у революції"
 usa_dlc.EVTNAME39:0 "Дерево свободи"
 usa_dlc.EVTDESC39:0 "Перемир'я з Великобританією відзначається по всій країні за допомогою 'дерев свободи', високих дерев'яних стовпів посаджених у землю, увінчаних фригійським ковпаком. Його використовували під час війни за незалежність Сини Свободи в якості символу протесту проти Великобританії. У Нью-Йорку Сини Свободи постійно садили 'дерева свободи', які періодично руйнували представники королівської влади. Тепер 'дерево свободи' у Нью-Йорку увінчане позолоченим флюгером з одним єдиним словом - 'Свобода'."
 usa_dlc.EVTOPTA39:0 "Чудово!"
 usa_dlc.EVTNAME40:0 "Велика пожежа в Нью-Йорку"
 usa_dlc.EVTDESC40:0 "Британські війська, які окупували Мангеттен, запекло намагалися погасити вогонь, що поступово охоплював Нью-Йорк. Пожежа ймовірно почався в таверні 'Бійцівські півні', неподалік від причалу Уайтхолл. Це засвідчив Джон Джозеф Генрі, який побачив початок пожежі з борту фрегата 'Перлина', де він перебував у полоні. Суха погода і сильні вітри поширили полум'я на північ і захід, де перебували щільно забудовані житлові будинки і торгові підприємства. Рятуючись від вогню, жителі вибігали на вулиці. У менш забудованій далекій частині міста простий народ почував себе досить безпечно, щоб зорієнтуватися та оцінити пошкодження."
 usa_dlc.EVTOPTA40:0 "Допомогти їм будь-яким способом"
 usa_dlc.EVTOPTB40:0 "Залишити це британським військам"
 usa_dlc.EVTNAME41:0 "Експедиція Льюїса і Кларка"
 usa_dlc.EVTDESC41:0 "Капітан Мерівезер Льюїс і його старий друг молодший лейтенант Вільям Кларк запропонували здійснити експедицію в західну частину Америки, з метою знайти прямий і прохідний водний шлях через континент. Разом з невеликою групою добровольців вони перетнули континент, і дослідили ріку Міссурі, щоб знайти кращі торгові шляхи через ріки Колумбія, Орегон і Колорадо."
 usa_dlc.EVTOPTA41:0 "Профінансувати їхню експедицію"
 usa_dlc.EVTOPTB41:0 "Їм потрібно краще підготуватися"
 usa_dlc.EVTNAME42:0 "Перший банк Сполучених Штатів"
 usa_dlc.EVTDESC42:0 "Міністр фінансів Александер Гамільтон запропонував три основні фінансові нововведення. Перше - це національний банк, який за твердженнями Гамільтона був найбільш важливим для досягнення трьох цілей, які він поставив перед США: \nВстановити фінансовий порядок у недавно створених Сполучених Штатах.\nСформувати кредит - як всередині країни, так і за її межами.\nВирішити проблему незабезпеченої валюти 'континенталь', яку видавав Континентальний Конгрес безпосередньо до і під час Війни за незалежність США."
 usa_dlc.EVTOPTA42:0 "Прислухатися до порад Гамільтона, і надати привілеї центральному банку"
 usa_dlc.EVTOPTB42:0 "Знайти інший шлях для досягнення цілей Гамільтона"
 usa_dlc.EVTNAME43:0 "Жінки в Американській революції"
 usa_dlc.EVTDESC43:0 "Рух ткачів закликає жінок ткати і прясти свій власний одяг для своїх родин, а не носити або купувати імпортний одяг з британського матеріалу. Під час Війни за Незалежність рух був видом опору Великобританії. Відмова від шовку, атласної тканини та інших предметів розкоші на користь домотканої тканини, була потужною ідеєю, що об'єднувала проти британських гнобителів. Навіть Континентальна армія, на чолі із Джорджем Вашингтоном, була забезпечена одягом, створеним цим рухом.\nВ Едентоні, Північна Кароліна, 51 жінка демонстративно відмовилися від чаювання, і вирішили бойкотувати чай та інші англійські продукти. В той час було багато жінок, які бажали звільнити США від британської влади, і в наш час ми шануємо їх, і дякуємо їм за підтримку."
 usa_dlc.EVTOPTA43:0 "Ура жінкам Америки!"
 usa_dlc.EVTNAME44:0 "Винахід бавовноочистки"
 usa_dlc.EVTDESC44:0 "Зараз випробовується нова машина, яка швидким і простим способом відокремлює бавовняні волокна від насіння. Коттон-джин являє собою дерев'яний барабан з невеликими гачками з дроту, які тягнуть бавовняне волокно через сито, щоб відокремити насіння від бавовни,тоді як щітки вилучають вільні нитки, щоб запобігти застряганню. Винахідник Елі Вітні стверджує, що його машина може виробляти до 25 кілограм очищеної бавовняної тканини щодня. Зараз він намагається знайти більше місць, де б можна було випробувати цей винахід."
 usa_dlc.EVTOPTA44:0 "Купити трохи його машин"
 usa_dlc.EVTOPTB44:0 "Допомогти йому з патентним процесом"
 usa_dlc.EVTNAME45:0 "Монетний двір США"
 usa_dlc.EVTDESC45:0 "Конгрес Сполучених Штатів обговорює необхідність прийняття Монетного акту. Створення Монетного двору приведе до контролю над карбуванням монет у США. Також запропоновано нову валюту — срібний долар. А за основу підрахунків береться десяткова система. В якості посадових осіб Монетного двору США запропоновано: директора, хіміка, головного карбувальника, гравера і скарбника."
 usa_dlc.EVTOPTA45:0 "Заснувати Монетний двір і прийняти Монетний акт"
 usa_dlc.EVTOPTB45:0 "Ми повернемося до цього пізніше"
 usa_dlc.EVTNAME46:0 "Текумсе"
 usa_dlc.EVTDESC46:0 "Корінні американці північного заходу сформували Конфедерацію Текумсе, яка складалася з декількох тисяч воїнів під керівництвом лідера індіанців шауні Текумсе. Конфедерація формувалася навколо вчення Тенскватави, релігійного і політичного лідера, а також його брата Текумсе, відомого як Пророк. Два релігійні лідери племені ленапе - Неолін і Скаттамек, які пророкують апокаліпсис, у якому білі люди будуть скинуті надприродними силами, вплинули на Тенскватаву, і тепер він переконує індіанців відмовитися від способу життя білих: вживання алкоголю, носіння європейського одягу, і використання вогнепальної зброї. Його брат Текумсе обурений захопленням земель американцями, і разом вони закликають племена не віддавати територію США. Багато різних індіанських племен об'єдналися на чолі з цими двома братами. Було створено племінну конфедерацію, достатньо сильну, щоб протистояти США."
 usa_dlc.EVTOPTA46:0 "Ми переможемо їх, як перемогли британців!"
 usa_dlc.EVTNAME47:0 "Повстання Даніела Шейса"
 usa_dlc.EVTDESC47:0 "Післявоєнна економічна депресія привела до фінансових труднощів. Жорсткість умов кредитування, викликана відсутністю твердої валюти, і введення більш суворої державної політики заради вирішення проблеми державного боргу. Багато ветеранів війни протестували проти цього, і блокували роботу окружних судів, щоб зупинити судові слухання з питань податків і повернення заборгованостей. Фермери не мали твердої валюти для оплати товарів, купці відмовилися продовжувати кредити для них, що привело до втрати орендарями земель та іншого майна. Це привело до масових заворушень, спрямованих проти збирачів податків, які отимали судові рішення на конфіскацію майна боржників.\nВнесення змін у Статті Конфедерації могло б послабити тиск на фермерів, і дати їм засоби для самозабезпечення..."
 usa_dlc.EVTOPTA47:0 "Ми не ведемо переговорів із бунтівниками!"
 usa_dlc.EVTOPTB47:0 "Внести зміни в Статті"
 usa_dlc.EVTNAME48:0 "США: Незалежна Держава"
 usa_dlc.EVTDESC48:0 "Джон Адамс є хорошим другом Іоанна ван дер Капеллена тот ден Пола, лідера голландських патріотів, і прихильника американців. Він проголосував проти передачі шотландських бригад британському королеві Георгу III для участі у війні з Американською Республікою, і продовжував підтримку Війни за незалежність США. Його вплив міг би допомогти переконати Генеральні Штати визнати Сполучені Штати незалежною державою."
 usa_dlc.EVTOPTA48:0 "Нехай спробує"
 usa_dlc.EVTOPTB48:0 "Нам не потрібне їхнє схвалення"
 usa_dlc.EVTDESC49:0 "Іоанн Дерк ван дер Капеллен тот ден Пол, лідер голландських патріотів, намагається переконати Генеральні Штати Нідерландів визнати незалежність США. Він завжди був прихильником американських інтересів, і голосував проти передачі шотландських бригад під тимчасове командування королю Георгу III для участі у Війні за незалежність США. Він ставить Американську революцію за приклад голландським патріотам, і вважає визнання незалежності США значним кроком для голландського народу."
 usa_dlc.EVTOPTA49:0 "Визнати незалежність США"
 usa_dlc.EVTOPTB49:0 "Не визнавати їхню незалежність"
 usa_dlc.EVTDESC50:0 "Завдяки впливу Іоанна Дерка ван дер Капеллена тот ден Пола, Джону Адамсу вдалося добитися визнання незалежності США державою [From.GetName] у Гаазі."
 usa_dlc.EVTOPTA50:0 "Чудово!"
 usa_dlc.EVTDESC51:0 "Держава [From.GetName] вирішила не визнавати нашу незалежність, незважаючи на всі зв'язки Іоанна ван дер Капеллена тот ден Пола і старання Джона Адамса."
 usa_dlc.EVTOPTA51:0 "От виродки!"
